album.msbt
armor.msbt
Fighter00	みならいのよろい
W4-TalkSage_S01_E_04	わたしは　{r2[せかい]}世界{/r2}を{r2[たび]}旅{/r2}する\nただの{r2[まほうつか]}魔法使{/r2}いです{[1100|04cd1000630061006c006d0044006f0077006e00]}
W4-TalkSage_S01_E_05	{r2[たびさき]}旅先{/r2}で　{r2[ひとびと]}人々{/r2}に\nいろいろ{r2[おし]}教{/r2}えていたら{[1100|04cd0e0062006c0069006e006b005f004500]}
W4-TalkSage_S01_E_06	いつからか　そう\n{r2[よ]}呼{/r2}ばれていました{[1100|04cd04006f006800]}
W4-TalkSage_S01_E_07	{r2[かしこ]}賢{/r2}い{r2[もの]}者{/r2}…\n{r2[だいけんじゃ]}大賢者{/r2}などとね{[1100|04cd06006e006f006400]}
W4-TalkSage_S01_E_08	{r2[じつ]}実{/r2}をいうと\n{r2[きは]}気恥{/r2}ずかしいのです{[1100|04cd160073006300720061007400630068004800650061006400]}
W4-TalkSage_S01_A_09	そうなんだー{[1100|00cd06006e006f006400]}{[1100|04cd1000630061006c006d0044006f0077006e00]}
W4-TalkSage_S01_A_10	{r2[だいけんじゃ]}大賢者{/r2}{[0f00|08005300610067006500]}さま\nかっこいい！{[1100|00cd1000770061006b007500770061006b007500]}{[1100|04cd1400730075007200700072006900730065005f004500]}
W4-TalkSage_S01_E_11	やっ　やめて\nくださいよー{[1100|04cd160073006300720061007400630068004800650061006400]}{[1100|04cd0e0073006d0069006c0065005f004500]}
W4-TalkSage_S02_A_00	{r2[だいまおう]}大魔王{/r2}は　なんで\nカオを　うばうの？{[1100|00cd0c00770065006c006c0030003100]}{[1100|00cd100073006f00720072006f0077005f004500]}
W4-TalkSage_S02_E_01	フム　そうですね\n{r2[ひとこと]}一言{/r2}でいうと…{[1100|04cd0e0062006c0069006e006b005f004500]}
W4-TalkSage_S02_E_02	{r2[かいぶつ]}怪物{/r2}を　あやつるため{[1100|04cd100062006100740074006c00650049006e00]}{[1100|00cd1400730075007200700072006900730065005f004500]}
W4-TalkSage_S02_A_03	どういうこと？{[1100|00cd0c00770065006c006c0030003000]}
W4-TalkSage_S02_E_04	{r2[だいまおう]}大魔王{/r2}は　たくさんの\n{r2[かいぶつ]}怪物{/r2}を{r2[う]}生{/r2}み{r2[だ]}出{/r2}します{[1100|04cd0e0062006c0069006e006b005f004500]}
W4-TalkSage_S02_E_05	でも　その\n{r2[かいぶつ]}怪物{/r2}たちは…{[1100|04cd1000630061006c006d0044006f0077006e00]}
W4-TalkSage_S02_E_06	そのままでは　まだ{r2[よわ]}弱{/r2}く\n{r2[ふかんぜん]}不完全{/r2}な{r2[いきもの]}生物{/r2}です{[1100|04cd04006f006800]}
W4-TalkSage_S02_E_07	そこに　{r2[ちから]}力{/r2}をあたえ\n{r2[だいまおう]}大魔王{/r2}に{r2[したが]}従{/r2}わせるのが…{[1100|04cd0e0061006e006700650072005f004500]}
W4-TalkSage_S02_A_08	{r2[にんげん]}人間{/r2}のカオ？{[1100|00cd0c00770065006c006c0030003100]}{[1100|00cd0e0061006e006700650072005f004500]}
W4-TalkSage_S02_E_09	そうなのです{[1100|04cd100062006100740074006c00650049006e00]}{[1100|00cd08007700610069007400]}{[1100|00cd1400730075007200700072006900730065005f004500]}
W4-TalkSage_S02_A_10	カオって\nフシギだねー{[1100|00cd0c00770065006c006c0030003100]}{[1100|00cd0e0062006c0069006e006b005f004500]}{[1100|04cd1000630061006c006d0044006f0077006e00]}
W4-TalkSage_S02_E_11	{r2[ほんとう]}本当{/r2}に\nフシギですね{[1100|04cd0a006e006f00640030003100]}
W4-TalkSage03_A_00	{[0f00|08005300610067006500]}って\n{r2[だいまおう]}大魔王{/r2}より{r2[つよ]}強{/r2}い？{[1100|00cd0c00770065006c006c0030003000]}
W4-TalkSage03_E_01	フム　さて\nどうでしょう{[1100|04cd0c00770065006c006c0030003000]}
W4-TalkSage03_A_02	{r2[ほんき]}本気{/r2}でたたかったら\n{r2[か]}勝{/r2}てるよ　きっと{[1100|00cd080067006f0047006f00]}
W4-TalkSage03_E_03	そうかも\nしれませんね{[1100|04cd06006e006f006400]}{[1100|00cd08007700610069007400]}
W4-TalkSage03_E_04	でも　あらそいごとは\n{r2[す]}好{/r2}きではないので{[1100|04cd04006f006800]}{[1100|00cd1000630061006c006d0044006f0077006e00]}
W4-TalkSage03_E_05	それに…{[1100|04cd1000630061006c006d0044006f0077006e00]}
W4-TalkSage03_E_06	{r2[だいまおう]}大魔王{/r2}を{r2[たお]}倒{/r2}すのは\nあなたの{r2[しめい]}使命{/r2}{[1100|04cd100062006100740074006c00650049006e00]}{[1100|00cd1200730075007200700072006900730065006400]}
W4-TalkSage03_E_07	そんな{r2[き]}気{/r2}が\nするのですよ{[1100|04cd0c00770065006c006c0030003100]}{[1100|04cd0e0062006c0069006e006b005f004500]}{[1100|00cd08007700610069007400]}
W4-TalkSage03_A_08	できるかな\n{[0302|00cd]}に…{[1100|00cd100073006f00720072006f0077005f004500]}
W4-TalkSage03_E_09	できますよ\nきっと！{[1100|04cd06006e006f006400]}{[1101|00cd0e0073006d0069006c0065005f004500]}
W4-Explorer00_First_E_00	ムムム{[1100|04cd0e0062006c0069006e006b005f004500]}
W4-Explorer00_First_E_01	それにしても\nココ　{r2[あつ]}暑{/r2}いなー{[1100|04cd0a0074006900720065006400]}
W4-Explorer00_First_E_02	{r2[ふく]}服{/r2}も　ぼうしも\n{r2[あせ]}汗{/r2}でベトベトだよ{[1100|04cd08006f00680030003100]}
W4-Explorer00_First_E_03	{r2[ぬ]}脱{/r2}いだら\nスッキリするかな？{[1100|04cd0c00770065006c006c0030003100]}{[1100|04cd0e0062006c0069006e006b005f004500]}{[1100|00cd1400730075007200700072006900730065005f004500]}
W4-Explorer00_First_E_04	どうせ　だれも\n{r2[み]}見{/r2}てないし{[1100|04cd04006f006800]}{[1100|00cd14007700680061007400480061007000700065006e00]}
W4-Explorer00_First_E_05	よし　{r2[ぬ]}脱{/r2}ごう！{[1100|04cd06006a006f007900]}{[1100|00cd18007700680061007400480061007000700065006e0030003100]}
W4-Explorer00_Second_E_00	わーっ　キミは！{[1100|00cd100062006100740074006c00650049006e00]}
W4-Explorer00_Second_E_01	ボクだよ　{r2[たんけんか]}探検家{/r2}の\n{[0f00|1e0054006f0077006e00300031005f004500780070006c006f00720065007200]}だよ{[1100|04cd06006e006f006400]}{[1100|00cd06006e006f006400]}
W4-Explorer00_Second_E_02	こんなところで\n{r2[あ]}会{/r2}えるなんて{[1100|00cd1000630061006c006d0044006f0077006e00]}
W4-Explorer00_Second_E_03	{r2[きねん]}記念{/r2}に　イイこと\n{r2[おし]}教{/r2}えてあげる{[1100|04cd080067006c0061006400]}{[1100|00cd10006100700070006c006100750073006500]}
W4-Explorer00_Second_E_04	「お{r2[たから]}宝{/r2}を　{r2[もと]}求{/r2}めるのなら\n　{r2[み]}見{/r2}えない{r2[みち]}道{/r2}を{r2[ゆ]}行{/r2}け」{[1100|04cd100062006100740074006c00650049006e00]}{[1100|00cd0c00770065006c006c0030003000]}
W4-Explorer00_Second_E_05	{r2[ゆうめい]}有名{/r2}な{r2[たんけんか]}探検家{/r2}の\n{r2[ことば]}言葉{/r2}なんだ{[1100|04cd0e0062006c0069006e006b005f004500]}{[1100|00cd0c00770065006c006c0030003000]}
W4-Explorer00_Second_E_06	じゃあ　また\nどこかで{[1100|04cd06006e006f006400]}{[1100|00cd0e0073006d0069006c0065005f004500]}
W6-TalkSatan00_E_00	{r2[いま]}今{/r2}でも\n{r2[しん]}信{/r2}じられないよ{[1100|04cd08006f00680030003100]}
W6-TalkSatan00_A_01	{r2[なに]}何{/r2}が？{[1100|00cd0c00770065006c006c0030003000]}
W6-TalkSatan00_E_02	ボクが　{r2[だいまおう]}大魔王{/r2}\nだったこと{[1100|04cd0c00770065006c006c0030003100]}
W6-TalkSatan00_E_03	そして
W6-TalkSatan00_E_04	{r2[せかいじゅう]}世界中{/r2}の{r2[ひとびと]}人々{/r2}を\nひどい{r2[め]}目{/r2}にあわせたこと{[1100|04cd18006400690073006100700070006f0069006e00740065006400]}
W6-TalkSatan00_A_05	{r2[おぼ]}覚{/r2}えてないの？{[1100|00cd1000730074006100720074006c0065006400]}
W6-TalkSatan00_E_06	ううん　{r2[きおく]}記憶{/r2}は\nあるんだ{[1100|04cd04006f006800]}{[1100|00cd1000630061006c006d0044006f0077006e00]}
W6-TalkSatan00_E_07	でも　{r2[からだ]}体{/r2}の{r2[じゆう]}自由{/r2}を\nうばわれて…{[1100|04cd1000630061006c006d0044006f0077006e00]}
W6-TalkSatan00_E_08	{r2[だいまおう]}大魔王{/r2}が　やることを\n{r2[み]}見{/r2}てるしかなかった{[1100|04cd0a0074006900720065006400]}
W6-TalkSatan00_A_09	そうなんだー{[1100|00cd0a006e006f00640030003100]}{[1100|00cd100073006f00720072006f0077005f004500]}
W6-TalkSatan01_A_00	そもそも　なんで\n{r2[だいまおう]}大魔王{/r2}になったの？{[1100|00cd0c00770065006c006c0030003100]}
W6-TalkSatan01_E_01	{[1100|00cd1000630061006c006d0044006f0077006e00]}…それは{[1100|04cd0e0062006c0069006e006b005f004500]}
W6-TalkSatan01_E_02	ボクは　バナナ{r2[こうじょう]}工場{/r2}の\n{r2[さぎょうしゃ]}作業者{/r2}だった{[1100|04cd080067006c0061006400]}{[1100|00cd1400730075007200700072006900730065005f004500]}
W6-TalkSatan01_E_03	{r2[まいにち]}毎日{/r2}　たくさんの\nＨＰバナナを{r2[つく]}作{/r2}ってた{[1100|04cd1000770061006b007500770061006b007500]}
W6-TalkSatan01_E_04	このまま　{r2[いっしょう]}一生{/r2}バナナを\n{r2[つく]}作{/r2}り{r2[つづ]}続{/r2}けるのかな{[1100|04cd0c00770065006c006c0030003000]}{[1100|00cd1000630061006c006d0044006f0077006e00]}
W6-TalkSatan01_E_05	{r2[ほんとう]}本当{/r2}に　そんな\n{r2[じんせい]}人生{/r2}でいいのかな{[1100|04cd0c00770065006c006c0030003100]}
W6-TalkSatan01_E_06	そんなこと\n{r2[かんが]}考{/r2}えていたときに{[1100|04cd0e0062006c0069006e006b005f004500]}{[1100|00cd0e0062006c0069006e006b005f004500]}
W6-TalkSatan01_E_07	あの{r2[こえ]}声{/r2}が\n{r2[き]}聞{/r2}こえたんだ！{[1100|04cd1000730074006100720074006c0065006400]}
W6-TalkSatan01_E_08	「{r2[ちから]}力{/r2}を　やろう」と{[1100|04cd08007700610069007400]}{[1100|04cd0e0062006c0069006e006b005f004500]}
W6-TalkSatan01_E_09	「オマエを　{r2[いだい]}偉大{/r2}な\n{r2[そんざい]}存在{/r2}にしてやろう」と{[1100|04cd0a0073007000690074006500]}
W6-TalkSatan01_E_10	ボクは　その{r2[こえ]}声{/r2}に\nそそのかされて{[1100|04cd1000630061006c006d0044006f0077006e00]}
W6-TalkSatan01_E_11	{r2[あ]}開{/r2}けてしまった\n…{r2[きんだん]}禁断{/r2}の{r2[はこ]}箱{/r2}を{[1100|04cd04006f006800]}
W6-TalkSatan01_E_12	{r2[くろ]}黒{/r2}い{r2[なに]}何{/r2}かが{r2[と]}飛{/r2}び{r2[だ]}出{/r2}して\nボクに　とりついた{[1100|04cd1000730074006100720074006c0065006400]}
W6-TalkSatan01_E_13	アイツが…\n{r2[まおう]}魔王{/r2}の{r2[のろ]}呪{/r2}いが{[1100|04cd100061006600720061006900640030003100]}
W6-TalkSatan01_E_14	{r2[からだ]}体{/r2}を　うばわれた\nボクは　あんな{r2[すがた]}姿{/r2}に{[1100|04cd08006f00680030003100]}
W6-TalkSatan01_E_15	{r2[じゃあく]}邪悪{/r2}な{r2[だいまおう]}大魔王{/r2}の{r2[すがた]}姿{/r2}に\n{r2[か]}変{/r2}わっていた…{[1100|04cd0e0061006e006700650072005f004500]}
W6-TalkSatan01_A_16	{[0e01]}{[1201]}……{[1100|04cd1400730075007200700072006900730065005f004500]}
W6-TalkSatan01_A_17	{[1200|1a00530045005f00440045004d004f005f0053004c00450045005000]}{[1201]}すやすや{[1100|04cd1200730075007200700072006900730065006400]}
W6-TalkSatan01_E_18	あの…\n{r2[き]}聞{/r2}いてる？{[1100|04cd0a0074006900720065006400]}
W6-TalkSatan01_A_19	うっ　うん\n{r2[たいへん]}大変{/r2}だったね{[1100|00cd1200730075007200700072006900730065006400]}
W6-TalkSatan01_E_20	ところで{[1100|04cd1000630061006c006d0044006f0077006e00]}{[1100|00cd160073006300720061007400630068004800650061006400]}
W6-TalkSatan01_E_21	{r2[いま]}今{/r2}　{r2[まおう]}魔王{/r2}の{r2[のろ]}呪{/r2}いが\nとりついてるのって…{[1100|04cd0c00770065006c006c0030003000]}{[1100|00cd1000630061006c006d0044006f0077006e00]}
W6-TalkSatan01_A_22	{[0e00|03cd08005300610067006500]}{r2[だいけんじゃ]}大賢者{/r2}{[0f00|08005300610067006500]}{[1100|00cd0a006e006f00640030003100]}{[1100|00cd0e0061006e006700650072005f004500]}{[1100|04cd1400730075007200700072006900730065005f004500]}
W6-TalkSatan01_A_23	{[0302|00cd]}の{r2[おんじん]}恩人{/r2}だよ{[1100|00cd100062006100740074006c00650049006e00]}{[1100|00cd0e0061006e006700650072005f004500]}{[1100|04cd1200730075007200700072006900730065006400]}
W6-TalkSatan01_E_24	そんな…\n{r2[だいけんじゃ]}大賢者{/r2}さまが！{[1100|04cd0c00610066007200610069006400]}{[1100|00cd0a006e006f00640030003100]}{[1100|00cd100073006f00720072006f0077005f004500]}
W6-TalkSatan02_E_00	ボクが　{r2[だいまおう]}大魔王{/r2}\nだったとき
W6-TalkSatan02_A_01	うん{[1100|00cd0c00770065006c006c0030003000]}
W6-TalkSatan02_E_02	{r2[まおう]}魔王{/r2}が{r2[かんが]}考{/r2}えてること\n{r2[すこ]}少{/r2}しだけ　わかったんだ{[1100|04cd0a006e006f00640030003100]}{[1100|04cd0e0061006e006700650072005f004500]}{[1100|00cd1400730075007200700072006900730065005f004500]}
W6-TalkSatan02_A_03	{r2[まおう]}魔王{/r2}の{r2[もくてき]}目的{/r2}って\nなんなの？{[1100|00cd100073006f00720072006f0077005f004500]}
W6-TalkSatan02_E_04	たぶん　{r2[にんげん]}人間{/r2}たちを\n{r2[くる]}苦{/r2}しめること{[1100|04cd100062006100740074006c00650049006e00]}
W6-TalkSatan02_E_05	{r2[まおう]}魔王{/r2}の{r2[こころ]}心{/r2}は…{[1100|04cd0e0062006c0069006e006b005f004500]}
W6-TalkSatan02_E_06	{r2[にんげん]}人間{/r2}への{r2[にく]}憎{/r2}しみ　{r2[しっと]}嫉妬{/r2}\nそして　{r2[いか]}怒{/r2}り{[1100|04cd0a0061006e00670072007900]}
W6-TalkSatan02_E_07	{r2[にんげん]}人間{/r2}への{r2[あくい]}悪意{/r2}で\nあふれてた{[1100|04cd100062006100740074006c00650049006e00]}
W6-TalkSatan02_A_08	うわー　{r2[ほう]}放{/r2}って\nおけないね{[1100|00cd0c00770065006c006c0030003100]}{[1100|00cd0e0061006e006700650072005f004500]}
W6-TalkSatan02_E_09	ボクの{r2[せきにん]}責任{/r2}だ…{[1100|04cd100073006f00720072006f0077005f004500]}{[1100|00cd1000630061006c006d0044006f0077006e00]}
W6-TalkSatan02_E_10	アイツの　{r2[さそ]}誘{/r2}いに\nのったせいで{[1100|04cd08006f00680030003100]}{[1100|00cd100073006f00720072006f0077005f004500]}
W6-TalkSatan02_A_11	{r2[だいじょうぶ]}大丈夫{/r2}\nまかせて{[1100|00cd100062006100740074006c00650049006e00]}
W6-TalkSatan02_A_12	{[0302|00cd]}が\nやっつけるよ{[1100|00cd080067006c0061006400]}
W6-TalkSatan02_E_13	うん…\nありがとう{[1100|04cd06006e006f006400]}
W4-AfterSage00_A_00	{[0e00|03cd08005300610067006500]}{r2[だいけんじゃ]}大賢者{/r2}{[0f00|08005300610067006500]}\n{r2[い]}行{/r2}っちゃったね{[1100|00cd08006f00680030003100]}
W4-AfterSage00_A_01	さびしいなー\n{r2[こころぼそ]}心細{/r2}いなー{[1100|00cd0c00770065006c006c0030003100]}
W4-AfterSage00_B_02	{r2[だいけんじゃ]}大賢者{/r2}なんて\nいなくても{r2[だいじょうぶ]}大丈夫{/r2}{[1100|01cd100062006100740074006c00650049006e00]}{[1100|00cd1400730075007200700072006900730065005f004500]}
W4-AfterSage00_B_03	この　{[0300|01cd]}が\nいるじゃない{[1100|01cd06006a006f007900]}
W4-AfterSage00_A_04	{[0e01]}{[1201]}………{[1100|00cd0c00770065006c006c0030003000]}
W4-AfterSage00_A_05	さびしいなー\n{r2[こころぼそ]}心細{/r2}いなー{[1100|00cd0a0074006900720065006400]}{[1100|01cd1000730074006100720074006c0065006400]}
W4-DragonTopic00_A_00	ドラゴンって\n{r2[し]}知{/r2}ってる？
W4-DragonTopic00_B_01	うん\nもちろん{[1100|01cd06006e006f006400]}
W4-DragonTopic00_B_02	ものすごく\n{r2[おお]}大{/r2}きな{r2[い]}生{/r2}き{r2[もの]}物{/r2}で…{[1100|01cd0e00640061006e006300650030003000]}
W4-DragonTopic00_A_03	{r2[そら]}空{/r2}を{r2[じゆう]}自由{/r2}に\n{r2[と]}飛{/r2}び{r2[まわ]}回{/r2}るとか{[1100|00cd080067006c0061006400]}{[1100|01cd1000630061006c006d0044006f0077006e00]}
W4-DragonTopic00_B_04	{r2[くち]}口{/r2}からはく{r2[ほのお]}炎{/r2}で…{[1100|01cd100062006100740074006c00650049006e00]}
W4-DragonTopic00_A_05	すべてを\n{r2[や]}焼{/r2}きつくすとか{[1100|00cd0a0073007000690074006500]}
W4-DragonTopic00_B_06	{r2[ほん]}本{/r2}で{r2[よ]}読{/r2}んだよ{[1100|01cd1000630061006c006d0044006f0077006e00]}{[1100|00cd1000630061006c006d0044006f0077006e00]}
W4-DragonTopic00_A_07	まあ　{r2[じつざい]}実在{/r2}は\nしないよね{[1100|00cd100063006100720065006600720065006500]}{[1100|01cd06006e006f006400]}
W4-PreBossSatan00_A_00	ドラゴン…\nホントにいたんだ{[1100|00cd100061006600720061006900640030003100]}
W4-PreBossSatan00_B_01	こわかったー{[1100|01cd18006400690073006100700070006f0069006e00740065006400]}
W4-PreBossSatan00_A_02	でも　{r2[しょうき]}正気{/r2}に\nもどったら{[1100|00cd0c00770065006c006c0030003000]}{[1100|01cd1000630061006c006d0044006f0077006e00]}
W4-PreBossSatan00_A_03	なんか　たよりない\n{r2[かん]}感{/r2}じだったね…{[1100|00cd0e0062006c0069006e006b005f004500]}
W4-PreBossSatan00_B_04	うん…{[1100|01cd0a006e006f00640030003100]}
W4-PreBossSatan00_A_05	さあ　そろそろ\n{r2[だいまおう]}大魔王{/r2}の{r2[ぎょくざ]}玉座{/r2}かな{[1100|00cd100062006100740074006c00650049006e00]}
W4-PreBossSatan00_B_06	{r2[さいご]}最後{/r2}の{r2[たたか]}戦{/r2}いだね{[1100|01cd100062006100740074006c00650049006e00]}
W4-PreBossSatan00_A_07	がんばろー！{[1100|00cd080067006f0047006f00]}
W4-PreBossSatan00_B_08	おー！{[1100|01cd080067006f0047006f00]}
W4-PreBossFriend00_A_00	{[0301|03cd]}のカオ\n…この{r2[へん]}辺{/r2}かな{[1100|00cd0600730065006500]}{[1100|00cd100073006f00720072006f0077005f004500]}
W4-PreBossFriend00_A_01	{[0301|03cd]}…\nなつかしいなー{[1100|00cd0e0062006c0069006e006b005f004500]}{[1100|00cd0c00770065006c006c0030003100]}
W4-PreBossFriend00_A_02	あれっ{[1100|00cd1400730075007200700072006900730065005f004500]}
W4-PreBossFriend00_A_03	{[0301|03cd]}って\nどんなカオだっけ？{[1100|00cd100061006600720061006900640030003100]}
W4-PreBossFriend00_A_04	まあ　{r2[み]}見{/r2}たら\n{r2[おも]}思{/r2}い{r2[だ]}出{/r2}せるよね{[1100|00cd160073006300720061007400630068004800650061006400]}{[1100|00cd0e0062006c0069006e006b005f004500]}
W4-PreBossFriend01_A_00	{[0e00|03cd0e004800650072006f005f0030003900]}{[0301|09cd]}のカオ\n…そろそろかな{[1100|00cd0a0077006800650072006500]}
W4-PreBossFriend01_A_01	どんな　{r2[かいぶつ]}怪物{/r2}に\nくっついてるんだろ{[1100|00cd0c00770065006c006c0030003100]}{[1100|00cd0e0062006c0069006e006b005f004500]}
W4-PreBossFriend01_A_02	ちょっと\n{r2[たの]}楽{/r2}しみだったり{[1100|00cd0c00670061007a0065005f004500]}
W4-PreBossFriend01_A_03	…いやいや{[1100|00cd04006f006800]}
W4-PreBossFriend01_A_04	{r2[はや]}早{/r2}く　{r2[たす]}助{/r2}けて\nあげないと{[1100|00cd100062006100740074006c00650049006e00]}
Interested00_A_00	{r2[さいきん]}最近{/r2}\n{r2[き]}気{/r2}になってます
Interested00_A_01	{[0e00|03cd0e004800650072006f005f0030003100]}{[0300|01cd]}が\nときどき…{[1100|00cd0e0062006c0069006e006b005f004500]}
Interested00_A_02	{r2[ふく]}服{/r2}を　{r2[うらがえ]}裏返{/r2}しで\n{r2[き]}着{/r2}てるんです{[1100|00cd10006e006f0072006d0061006c005f004500]}
Interested00_A_03	{r2[ほんにん]}本人{/r2}には　まだ\n{r2[い]}言{/r2}ってません{[1100|00cd04006f006800]}
Interested01_A_00	{r2[さいきん]}最近{/r2}\n{r2[き]}気{/r2}になってます
Interested01_A_01	{[0e00|03cd0e004800650072006f005f0030003100]}{[0300|01cd]}が\nたたかってるとき…{[1100|00cd0e0062006c0069006e006b005f004500]}
Interested01_A_02	こっそりオナラを\nしています{[1100|00cd10006e006f0072006d0061006c005f004500]}
Interested01_A_03	{r2[ほんにん]}本人{/r2}は　バレてるとは\n{r2[し]}知{/r2}らないみたい
Interested01_A_04	でも　{[0302|00cd]}には\nバレバレだよ！{[1100|00cd0c00670061007a0065005f004500]}
W4-LoudVoice00_A_00	{r2[てき]}敵{/r2}が\n{r2[て]}手{/r2}ごわいね…{[1100|00cd100073006f00720072006f0077005f004500]}
W4-LoudVoice00_A_01	{r2[み]}見{/r2}つからないよう\nコッソリ{r2[すす]}進{/r2}もう{[1100|00cd0a006e006f00640030003100]}{[1100|00cd0e0061006e006700650072005f004500]}
W4-LoudVoice00_B_02	{[1200|3400530045005f004d00410050004500560045004e0054005f004c004f00550044005f004c004f005500440056004f00490043004500]}{[1201]}オーッ！{[1100|01cd100062006100740074006c00650049006e00]}{[1100|00cd1200730075007200700072006900730065006400]}
W4-LoudVoice00_A_03	わっ　{r2[こえ]}声{/r2}が\n{r2[おお]}大{/r2}きいよ{[1100|00cd14007700680061007400480061007000700065006e00]}
W4-LoudVoice00_B_04	ごめん\nごめん{[1100|01cd160073006300720061007400630068004800650061006400]}{[1100|00cd08007700610069007400]}{[1100|01cd100073006f00720072006f0077005f004500]}
W4-LoudVoice00_B_05	やる{r2[き]}気{/r2}が\nあふれちゃった{[1100|01cd0e0062006c0069006e006b005f004500]}
W4-SafetyZone00_A_00	もう　つかれて\nクタクタだよ…{[1100|00cd0a0074006900720065006400]}
W4-SafetyZone00_B_01	そんなときは\n「{r2[あんぜんちたい]}安全地帯{/r2}」！{[1100|01cd080067006c0061006400]}{[1100|00cd1000730074006100720074006c0065006400]}
W4-SafetyZone00_B_02	ちょっとずつ　{r2[ちから]}力{/r2}を\n{r2[かいふく]}回復{/r2}できるよ{[1100|01cd06006a006f007900]}{[1100|00cd0c00770065006c006c0030003000]}
W4-SafetyZone00_A_03	イイね！{[1100|00cd080067006c0061006400]}{[1100|01cd08007700610069007400]}
W4-SafetyZone00_A_04	{[0302|00cd]}　ずっと\n{r2[あんぜん]}安全{/r2}{r2[ちたい]}地帯{/r2}にいたいな{[1100|00cd1000770061006b007500770061006b007500]}
W4-SafetyZone00_B_05	サボりは\nダメッ{[1100|01cd16006c0069006b006500570069006e006b004c005f004500]}{[1100|01cd0a006e006f00640030003100]}
W4-SafetyZone00_A_06	えへへ{[1100|00cd160073006300720061007400630068004800650061006400]}{[1100|00cd16006c0069006b006500570069006e006b004c005f004500]}
W4-Twosome00_B_00	なかまが{r2[ふ]}増{/r2}えて\nにぎやかになったね{[1100|01cd0e0073006d0069006c0065005f004500]}
W4-Twosome00_A_01	ひとりのときは\n{r2[こころぼそ]}心細{/r2}かったなあ{[1100|00cd0e0062006c0069006e006b005f004500]}
W4-Twosome00_B_02	これからは…{[1100|00cd10006e006f0072006d0061006c005f004500]}{[1100|01cd10006e006f0072006d0061006c005f004500]}
W4-Twosome00_B_03	ひとりじゃできない\nことができるね{[1100|01cd06006e006f006400]}
W4-Twosome00_A_04	ほうほう\nたとえば？{[1100|00cd0c00770065006c006c0030003000]}
W4-Twosome00_B_05	おたがいに\n{r2[たす]}助{/r2}けあったり{[1100|01cd1000770061006b007500770061006b007500]}
W4-Twosome00_A_06	うんうん{[1100|00cd06006e006f006400]}
W4-Twosome00_B_07	{r2[ちから]}力{/r2}いっぱい\nケンカしたり{[1100|01cd06006a006f007900]}{[1100|00cd1000730074006100720074006c0065006400]}
W4-Twosome00_A_08	えっ？
W4-Twosome00_B_09	あぶないときは\n{r2[たて]}盾{/r2}になってもらう！{[1100|01cd080067006c0061006400]}
W4-Twosome00_A_10	{r2[いがい]}意外{/r2}と\nしたたかだね…{[1100|00cd0a0074006900720065006400]}
W6-Explorer00_First_E_00	ムムム{[1100|04cd0e0062006c0069006e006b005f004500]}
W6-Explorer00_First_E_01	ここは　もう\n{r2[くも]}雲{/r2}の{r2[うえ]}上{/r2}かー{[1100|04cd0c00770065006c006c0030003100]}
W6-Explorer00_First_E_02	まるで　{r2[かみ]}神{/r2}さまに\nなった{r2[きぶん]}気分{/r2}だよ{[1100|04cd06006e006f006400]}{[1100|00cd0e0073006d0069006c0065005f004500]}
W6-Explorer00_First_E_03	…コホン{[1100|04cd08007700610069007400]}{[1100|04cd0e0062006c0069006e006b005f004500]}{[1100|00cd10006e006f0072006d0061006c005f004500]}
W6-Explorer00_First_E_04	{r2[にんげん]}人間{/r2}たちよ　ボクを\nあがめるがいい{[1100|04cd0e00640061006e006300650030003000]}{[1100|00cd1000730074006100720074006c0065006400]}
W6-Explorer00_First_E_05	フハハハーッ！{[1100|00cd100061006600720061006900640030003100]}{[1100|04cd0c00670061007a0065005f004500]}
W6-Explorer00_First_E_06	{[0e01]}{[1201]}………
W6-Explorer00_Second_E_00	…ハッ　キミは！{[1100|00cd0c00770065006c006c0030003000]}
W6-Explorer00_Second_E_01	{r2[ひさ]}久{/r2}しぶり　{r2[たんけんか]}探検家{/r2}の\n{[0f00|1e0054006f0077006e00300031005f004500780070006c006f00720065007200]}だよ{[1100|04cd080067006c0061006400]}{[1100|00cd06006e006f006400]}
W6-Explorer00_Second_E_02	よく　こんな{r2[ところ]}所{/r2}まで\nのぼってこれたね{[1100|04cd06006e006f006400]}{[1100|00cd160073006300720061007400630068004800650061006400]}
W6-Explorer00_Second_E_03	えっ　もっと{r2[うえ]}上{/r2}に\n{r2[い]}行{/r2}きたいって？{[1100|04cd0c00770065006c006c0030003000]}{[1100|04cd10006e006f0072006d0061006c005f004500]}{[1100|00cd10006e006f0072006d0061006c005f004500]}
W6-Explorer00_Second_E_04	だったら　この{r2[かい]}階{/r2}を\n{r2[さが]}探{/r2}すといいよ{[1100|04cd080067006c0061006400]}{[1100|00cd0a006e006f00640030003100]}
W6-Explorer00_Second_E_05	そうそう{[1100|04cd10006e006f0072006d0061006c005f004500]}
W6-Explorer00_Second_E_06	ずーっと{r2[うえ]}上{/r2}に　{r2[ほうもつ]}宝物{/r2}{r2[こ]}庫{/r2}が\nあるんだってさ{[1100|04cd1000630061006c006d0044006f0077006e00]}
W6-Explorer00_Second_E_07	そこで　この{r2[ことば]}言葉{/r2}を\n{r2[おも]}思{/r2}い{r2[だ]}出{/r2}して{[1100|04cd0c00770065006c006c0030003100]}{[1100|00cd0c00770065006c006c0030003000]}
