AchieveList.msbt
AchieveListCategoriesHeroKirby	Abilities
Rogue_DialogExplain2	Head toward {c[ff8c00]}the true Summit\n{c[000000]}while being mindful of the\n{c[ff8c00]}number of tries left {c[000000]}and the\n{c[ff8c00]}items you choose{c[000000]}.
MenuMatching.msbt
HeaderTitle	Matching...
OperationBack	\x0e\x04\x06\x022\0 Back
CloseRoom	Confirm
UserNameFront	\x0e\x02\n\0
CpNameFront	\x0e\x17\x02\0CPU \x0e\x02\x01\0\x0f\x17\x02
WaitingPlate	Please wait for a moment.
WaitingPlate_WithoutBg	Please wait for everyone to join.
MenuMemberSel.msbt
HeaderTitle	# of Players
PlayersCount1	1{s[070]} Player{s[100]}
PlayersCount2	2{s[070]} Players{s[100]}
PlayersCount3	3{s[070]} Players{s[100]}
PlayersCount4	4{s[070]} Players{s[100]}
OperationBack	\x0e\x04\x06\x022\0 Back
MenuMemberSelRogue.msbt
HeaderTitle	# of Players
PlayersCount1	1{s[070]} Player{s[100]}
PlayersCount2	2{s[070]} Players{s[100]}
OperationBack	\x0e\x04\x06\x022\0 Back
RogueStart	Start!
RogueContinue	{s[070]}From {s[100]}Bookmark Save
MenuPlayerBase.msbt
PlayerOk	OK
MenuPlayerCursor.msbt
MenuPlayerLamp.msbt
MenuPlayerNum.msbt
MenuRoomSel.msbt
HeaderTitle	Select Group
OperationBack	\x0e\x04\x06\x022\0 Back
OperationSearchRoom	\x0e\x04\n\x02a\0 Refresh List
NoRoom	No groups found.\nPress \x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 to create a group,\nor press \x0e\x04\n\x02a\0 to search again.
NoRoomTrial	No group is hosting.\nPress \x0e\x04\n\x02a\0 to search again.
CreateRoom	Press \x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0 to create a group.
HostName	\x0e\x02\n\0
MenuStageSel.msbt
HeaderTitle	Select Stage
OperationBack	\x0e\x04\x06\x022\0 Back
SelectPanelStageCastleLololo	Castle Lololo
SelectPanelStageBubblyClouds	Bubbly Clouds
SelectPanelStageForestCoo	Coo's Forest
SelectPanelStageDededeRing	Dedede Arena
SelectPanelStageFactory	Factory Tour
SelectPanelStageBoyoyonHand	Springy Hand Land
SelectPanelStageDynaBlade	Dyna Blade's Nest
SelectPanelStageButterBuilding	Butter Building
SelectPanelStageVolcano	Haldera Volcano
SelectPanelStageRainbowResort	Fountain of Dreams
SelectPanelStageRunawayTrain	Waddle Dee Train Tracks
SelectPanelStageGreenGreeting	Green Gardens
SelectPanelStageJambastion	Jambastion Entrance
SelectPanelStageSummit	The Empyrean
SelectPanelStageGigavolt	Gigavolt
SelectPanelStageGigantGround	Dried-up Sea
SelectPanelStageGourmetRace	Gourmet Go Go
SelectPanelStageDededeTower	Stage of Destined Rivals
SelectPanelStageDededeTower2	Stage of the Partners
SelectPanelStagePractice	Training
SelectPanelStageRandom	Random
MenuStartBtn.msbt
MenuTeamSel.msbt
HeaderTitle	Create Teams
SettingTeam	Team
SettingDecide	Confirm
SettingPlayerName	\x0e\x02\n\0
SettingGuestName1	Guest 1
SettingGuestName2	Guest 2
SettingGuestName3	Guest 3
SettingCPName1	CPU 1
SettingCPName2	CPU 2
SettingCPName3	CPU 3
OperationBack	\x0e\x04\x06\x022\0 Back
OperationTeamShuffle	\x0e\x04\x07\x023\0 Shuffle Teams
MenuTutorial.msbt
ModeEveryoneTitle	Battle Mode
ModeEveryone	Fight with {c[ffe614]}Copy Abilities{c[000000]} and {c[ffe614]}buddies{c[000000]}!\nIf you're {c[ffe614]}by yourself{c[000000]}, play with a CPU. {c[ffe614]}Up to\nfour {c[000000]}can play by sharing Joy-Con controllers!
ModeSomeoneTitle	Random Match
ModeSomeone	Enjoy a{c[ffe614]} 2 vs 2 team battle{c[000000]} with players\naround the world over the {c[ffe614]}internet{c[000000]}!\nGo for a high winning streak!
ModeRogueTitle	Story Mode
ModeRogue	Enemies await in the {c[ffe614]}tower{c[000000]}. Climb it\nwith a {c[ffe614]}buddy {c[000000]}as you {c[ffe614]}select items\n{c[000000]}and power up along the way!
ModeSingleTitle	Single-Handed Mode
ModeSingle	Compete for time in {c[ffe614]}nine solo battles{c[000000]}!\nSelect a {c[ffe614]}difficulty {c[000000]}and the challenge begins!
GhostTitle	Being a Ghost
Ghost	When you're defeated, fight on as a\n{c[ffe614]}ghost{c[000000]}! If you can land a hit on an\nenemy, you'll be {c[ffe614]}revived{c[000000]}!
OldGame.msbt
ShopConfirmDialogEclair	Jump to the {c[ff8c00]}Kirby Star Allies\n{c[000000]}page on Nintendo eShop?
ShopConfirmDialogLime2	Jump to the {c[ff8c00]}Super Kirby Clash\n{c[000000]}page on Nintendo eShop?
HardwareName_00	Nintendo Switch
HardwareName_01	Nintendo 3DS
HardwareName_02	Wii U
ShopTitleTextParufe	Kirby: Triple Deluxe
ShopTitleTextParufeDetail	Featuring action that moves not just left and right but into the\nforeground and background of stages. In addition to 25 different\nCopy Abilities, this game boasts the powerful Hypernova Copy Ability.
ShopTitleTextPizza	Kirby Fighters Deluxe
ShopTitleTextPizzaDetail	A subgame from Kirby: Triple Deluxe with newly added features!\nBattle with your choice of 10 different Copy Abilities and up\nto three other players via local wireless.
ShopTitleTextDrop	Dedede's Drum Dash Deluxe
ShopTitleTextDropDetail	A subgame from Kirby: Triple Deluxe with newly added features!\nControl King Dedede as he moves with the rhythm, using different\nkinds of jumps to aim for the goal.
ShopTitleTextTorte	Kirby: Planet Robobot
ShopTitleTextTorteDetail	To save a world invaded by an evil corporation, Kirby\ndons the Robobot Armor, which can transform into\nover 10 different modes. Supports all amiibo.
ShopTitleTextEclair	Kirby Star Allies
ShopTitleTextEclairDetail	Turn enemies into allies with Friend Hearts! Combine your pals'\npowers to invoke mighty Friend Abilities as you fight to save\nthe world! Play with up to four players by sharing Joy-Con.
ShopTitleTextYarns	Kirby's Extra Epic Yarn
ShopTitleTextYarnsDetail	An action game where a Kirby made of yarn uses a new\nset of abilities only possible with yarn. Along with various\ntransformations, Kirby also has new Ravel Abilities.
ShopTitleTextIbiza	Kirby Battle Royale
ShopTitleTextIbizaDetail	An action game in which Kirby faces off against hordes of\nrivals in all sorts of different battles. Up to four players\ncan get in on the action via the internet or local wireless.
ShopTitleTextSuck	Kirby's Blowout Blast
ShopTitleTextSuckDetail	A subgame from Kirby: Planet Robobot reborn as a scrolling\n3D action game. Race through a 3D space, inhaling and spitting\nout objects (and enemies!) to defeat foes and aim for the high score.
ShopTitleTextlime	Team Kirby Clash Deluxe
ShopTitleTextlimeDetail	A subgame from Kirby: Planet Robobot with newly added features!\nWith new quests and over 80 types of Gear, it's a free-to-start\ngame that can be enjoyed with up to four players cooperatively.
ShopTitleTextTouch	Kirby and the Rainbow Curse
ShopTitleTextTouchDetail	Guide Kirby to his goal by drawing a rainbow line with the stylus.\nKirby can also transform into three types of vehicles and team\nup with Waddle Dee for up to four-player cooperative action.
ShopTitleTextlime2	Super Kirby Clash
ShopTitleTextlime2Detail	A free-to-start action game in which four Kirbys with different\nabilities take on quests together. In addition to the single-player\nmode, enjoy multiplayer via online and couch co-op play.
ShopHeaderText	{s[070]}View {s[100]}Past Games
OldGameOperationBack	\x0e\x04\x06\x022\0 Back
OptionTop.msbt
OptionTopHeaderTitle	Options
OptionTopOperationBack	\x0e\x04\x06\x022\0 Back
OptionTopVersionTitle	ver. 
OptionTopOldGame	Other Games
OptionTopEndCredit	Credits
OptionTopVibrationTitle	Rumble Settings
OptionTopVibrationOn	ON
OptionTopVibrationOff	OFF
OptionTopCreditSelect	Which credits do you want to see?
OptionTopCreditSelectNormal	Normal
OptionTopCreditSelectExtra	Secret
OptionTopCreditSelectBack	\x0e\x04\x06\x022\0 Back
Pause.msbt
OperationBack	\x0e\x04\x06\x022\0 Close
OperationExit	\x0e\x04\x08\x024\0 Quit this mode
RogueTitleLevel1	{s[055]}Chapter 1 {s[100]}\x0e\x02\x01\0F
RogueTitleLevel2	{s[055]}Chapter 2 {s[100]}\x0e\x02\x01\0F
RogueTitleLevel3	{s[055]}Chapter 3 {s[100]}\x0e\x02\x01\0F
RogueTitleLevel4	{s[055]}Chapter 4 {s[100]}\x0e\x02\x01\0F
RogueTitleLevel5	{s[055]}Final Chapter {s[100]}\x0e\x02\x01\0F
SingleTitleEasy	{s[055]}Easy {s[100]}{s[085]}Round {s[100]}\x0e\x02\x01\0
SingleTitleNormal	{s[055]}Normal {s[100]}{s[085]}Round {s[100]}\x0e\x02\x01\0
SingleTitleHard	{s[055]}Hard {s[100]}{s[085]}Round {s[100]}\x0e\x02\x01\0
SingleTitleVeryHard	{s[055]}Very Hard {s[100]}{s[085]}Round {s[100]}\x0e\x02\x01\0
ModeRogueTitle	Story Mode: The Destined Rivals
ModeRogue	{c[ffe614]}Team up{c[000000]} with a buddy for a duo adventure!\nDefeat enemies on each floor and get the\n{c[ffe614]}Story Items{c[000000]}! Grab power-ups and climb to\nthe highest heights of {c[ffe614]}Buddy Fighters Tower{c[000000]}!
ModeSingleTitle	Single-Handed Mode
ModeSingle	In this challenge mode, you compete for\nthe best {c[ffe614]}clear time{c[000000]} as you fight battle\nafter battle all {c[ffe614]}alone{c[000000]}! Show your skills\nby taking out enemies as fast as you can!
StageRogueSpeedUpTitle	Speedy Stage
StageRogueSpeedUp	The mysterious effect of this stage causes\nboth you and your enemy to move at {c[ffe614]}double\nspeed{c[000000]}! Read their moves, fight smart, and\ndon't go so fast that you run into a {c[ffe614]}hazard{c[000000]}!
StageRogueDoublePointTitle	Double-Score Stage
StageRogueDoublePoint	The mysterious effect of this stage\n{c[ffe614]}doubles your score{c[000000]} after the battle!\nAim for {c[ffe614]}high-scoring {c[000000]}goals like\nFirst Strike and No-Damage Bonus.
StageRogueMomentTitle	Hustle Stage
StageRogueMoment	The mysterious effect of this stage\ngives you {c[ffe614]}less time{c[000000]} to defeat the\nenemy than usual! Hurry and win\nbefore {c[ffe614]}time is up{c[000000]}!
StageRogueDriftIceTitle	Ice Container Stage
StageRogueDriftIce	The mysterious effect of this stage\ncauses nothing but {c[ffe614]}Ice Containers{c[000000]}\nto appear! Get the {c[ffe614]}powerful items{c[000000]}\ninside them before your enemies do!
StageRoguePainfulTerrainTitle	Deadly Hazard Stage
StageRoguePainfulTerrain	The mysterious effect of this stage\n{c[ffe614]}doubles the damage {c[000000]}done by {c[ffe614]}hazards{c[000000]}!\nIt's a risky battleground, but if you can\nlure enemies into the {c[ffe614]}hazards{c[000000]}, it might\npay off!
StageRogueMuscularStrengthTitle	Brutal-Foe Stage
StageRogueMuscularStrength	The mysterious effect of this room\nincreases the enemy's {c[ffe614]}attack {c[000000]}power!\nKeep your {c[ffe614]}Guard {c[000000]}up and fight!
StageRogueLotOfNeedlesTitle	Gordo Ball Stage
StageRogueLotOfNeedles	The mysterious effect of this stage\ncauses nothing but {c[ffe614]}Gordo Balls{c[000000]} to\nappear! If you didn't bring an {c[ffe614]}Anti-\nGordo Charm{c[000000]}, don't let them hit you!
StageRogueHighSpeedGearTitle	Speedy-Mech Stage
StageRogueHighSpeedGear	The mysterious effect of this stage\ncauses {c[ffe614]}hazards {c[000000]}to move at {c[ffe614]}double\nspeed{c[000000]}! Be careful not to get blindsided!
StageRogueExplosionTitle	Explosive Stage
StageRogueExplosion	The mysterious effect of this stage\ncauses nothing but {c[ffe614]}Bombers {c[000000]}and\n{c[ffe614]}Timed Dynamite {c[000000]}to appear! Careful\nnot to get caught up in an {c[ffe614]}explosion{c[000000]}!
StageRogueShellsTitle	Crackler Stage
StageRogueShells	The mysterious effect of this stage\ncauses nothing to appear but {c[ffe614]}Cracklers{c[000000]}!\nHold on to your Crackler and catch your\nenemies in the {c[ffe614]}arc{c[000000]} of its shots!
StageRogueWonderlandTitle	Action Star Stage
StageRogueWonderland	The mysterious effect of this stage\ncauses nothing but {c[ffe614]}Action Stars{c[000000]} to\nappear! Falling {c[ffe614]}food {c[000000]}and sudden {c[ffe614]}naps{c[000000]}...\nCross your fingers and hope for the best!
BossTwinWoods1Title	Twin Woods
BossTwinWoods1	Here comes {c[ffe614]}Twin Woods{c[000000]} again!\nWith a bond stronger than ever, {c[ffe614]}the\ngiant arbor twins{c[000000]} drop apples and\nCapillers. They've mastered the {c[ffe614]}Stomp\nJump{c[000000]} too! Don't underestimate them!
BossTwinWoods2Title	Twin Woods
BossTwinWoods2	You reached {c[ffe614]}Buddy Fighters Tower{c[000000]}'s\nSummit, but look out! {c[ffe614]}Twin Woods{c[000000]}\nis blocking your way! Watch out for\nthe {c[ffe614]}giant apple{c[000000]} the pair produces.\nIf you get careless, it'll squash you flat!
BossGigantEdgeandBlazeEdgeTitle	Duo Edge
BossGigantEdgeandBlazeEdge	Here comes {c[ffe614]}Duo Edge{c[000000]}! This {c[ffe614]}tag team\n{c[000000]}of red and green armor stands in your\npath! Dodge their flying swords and\nscorching flames so that your buddy\ncan get in a critical hit!
BossShadowKirbyRogueTitle	Shadow Kirby
BossShadowKirbyRogue	This {c[ffe614]}naughty shadow{c[000000]} was said to have\nbeen born from the {c[ffe614]}mirror {c[000000]}reflecting\nKirby's innocently pure soul. He has all\nthe power of the real Kirby and uses his\n{c[ffe614]}mirror-copying{c[000000]} technique to thwart you!
BossShadowKirbyRogue51Title	Shadow Kirby
BossShadowKirbyRogue51	{c[ffe614]}Kirby's shadow {c[000000]}is back for more!\nThis {c[ffe614]}stubby gray ball{c[000000]} seems to think\nhe's pulling a little prank, but he's\nway too powerful for that!
BossShadowKirbyRogue52Title	Shadow Kirby
BossShadowKirbyRogue52	The mightiest {c[ffe614]}Shadow Kirby {c[000000]}yet is back\nfor another round! His devastating\npower suggests that he is a guardian of\nthe {c[ffe614]}Mirror World{c[000000]}, found far beyond\nthe sky.
BossKingDededeandMetaknightLv2Title	King Dedede & Meta Knight
BossKingDededeandMetaknightLv2	A battle with the long-awaited tag team of\n{c[ffe614]}King Dedede {c[000000]}and {c[ffe614]}Meta Knight{c[000000]}! You and\nyour {c[ffe614]}buddy{c[000000]} face this great challenge\ntogether! But doesn't something about\nthem seem strange?
BossKingDededeandMetaknightLv3Title	King Dedede & Meta Knight
BossKingDededeandMetaknightLv3	Here come {c[ffe614]}King Dedede{c[000000]} and {c[ffe614]}Meta Knight\n{c[000000]}again! Their might shows that they're\nthe {c[ffe614]}real thing{c[000000]} this time! Beware of the\nrelentless {c[ffe614]}combo attacks{c[000000]} they developed\njust to beat you.
BossKingDededeandMetaknightLv4Title	King Dedede & Meta Knight
BossKingDededeandMetaknightLv4	The {c[ffe614]}king and knight{c[000000]} have returned! They\nare{c[ffe614]} brimming with power{c[000000]} this time, but\nthen again, your climb up the tower has\nchanged you too. Whose {c[ffe614]}partnership{c[000000]} is\nstronger? We'll see in this {c[ffe614]}destined battle{c[000000]}!
BossKingDededeandMetaknightLv5Title	King Dedede & Meta Knight
BossKingDededeandMetaknightLv5	It's a {c[ffe614]}clash between bonds{c[000000]} in a battlefield\namong the stars! King Dedede and Meta\nKnight draw on their memory of past fights\nto ready themselves for the {c[ffe614]}last battle{c[000000]}.\nTheir {c[ffe614]}blazing bond{c[000000]} glows in their eyes!
BossKingDededeandMetaknightGreatMaskTitle	Waning Masked Dedede & Waxing Masked Meta Knight
BossKingDededeandMetaknightGreatMask	Wearing the {c[ffe614]}mysterious masks{c[000000]} that hid the\nknight's true nature, they are like the {c[ffe614]}waning\nand waxing crescent moons{c[000000]} in the moonlight!\nOld rivals prepare to meet their destiny.\nThe time is ripe. {c[ffe614]}Let the battle be joined{c[000000]}!
BossShadowKirbySingleTitle	Shadow Kirby
BossShadowKirbySingle	Like Kirby's own shade, {c[ffe614]}Shadow Kirby\n{c[000000]}appears out of nowhere and vanishes again.\nThis naughty shadow rejoins the battle\nafter a long absence! Difficult though it may\nbe, you must defeat {c[ffe614]}this copycat{c[000000]}!
ParameterTitle	Current Stats
ParameterFloor	{s[060]}FLOOR {s[100]}\x0e\x02\x01\0
ParameterNextFloor	{s[060]}Floors left: {s[100]}{c[ffe614]}\x0e\x02\x01\0{c[000000]}
ParameterNextLastFloor	{s[060]}Next up: {s[100]}{s[060]} {s[100]}{s[080]}{c[ffe614]}The Summit!{c[000000]}{s[100]}
ParameterScoreLabel	Total Score
ParameterOperationItems	\x0e\x04\x07\x023\0 Collection
ParameterGaugeAttackPower	Attack
ParameterGaugeRecoverySpeed	Recovery-\nItem Boost
ParameterGaugeGhostSpeed	Ghost Boost
ParameterGaugeChargeSpeed	Charge Speed
RougeItemList_Title	Collection
RougeItemList_GuideReturn	\x0e\x04\x06\x022\0 Back
RougeItemList_NoItem	No items.
RougeItemList_ItemNum	{s[070]}You have {s[100]}\x0e\x02\x01\0{s[070]}.{s[100]}
ItemName023	Buddy Skill Up
ItemInfo023	This very rare item {c[ffe614]}increases your buddy's\nskill{c[000000]}, making them stronger and more\neffective.
ItemName044	Bandana Waddle Dee Badge
ItemInfo044	This badge multiplies your {c[ffe614]}attack {c[000000]}power\nagainst {c[ffe614]}Bandana Waddle Dee{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName045	Gooey Badge
ItemInfo045	This badge multiplies your {c[ffe614]}attack {c[000000]}power\nagainst {c[ffe614]}Gooey{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName046	Magolor Badge
ItemInfo046	This badge multiplies your {c[ffe614]}attack {c[000000]}power\nagainst {c[ffe614]}Magolor{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName047	Boss Badge
ItemInfo047	This badge supercharges your {c[ffe614]}attack\n{c[000000]}power against {c[ffe614]}bosses {c[000000]}in the tower.
ItemName048	Mint Leaf Sticker
ItemInfo048	Each sticker of this type multiplies the\n{c[ffe614]}attack {c[000000]}power of a {c[ffe614]}Mint Leaf{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName049	Anti-Mike Charm
ItemInfo049	This charm reduces the damage\nfrom enemy {c[ffe614]}Mike {c[000000]}attacks by {c[ffe614]}75%{c[000000]}.
ItemName050	Crackler Sticker
ItemInfo050	Each sticker of this type multiplies the\n{c[ffe614]}attack {c[000000]}power of a {c[ffe614]}Crackler{c[000000]} by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName051	Explosives Sticker
ItemInfo051	Each sticker of this type multiplies the\n{c[ffe614]}attack {c[000000]}power of {c[ffe614]}Timed Dynamite {c[000000]}and\n{c[ffe614]}Bombers {c[000000]}against enemies by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName052	Extension Sticker
ItemInfo052	Each sticker of this type extends\nthe {c[ffe614]}remaining time {c[000000]}for the battle by\n{c[ffe614]}\x0e\x02\x01\0 seconds{c[000000]}.
ItemName053	Auto-Heal Sticker
ItemInfo053	This sticker increases the {c[ffe614]}auto-heal\n{c[000000]}after winning a battle by {c[ffe614]}\x0e\x02\x01\0{c[000000]}.
ItemName054	Auto-Guard I
ItemInfo054	This rare item {c[ffe614]}guards you automatically\n{c[000000]}every so often. It might end up saving you!
ItemName055	Auto-Guard II
ItemInfo055	This very rare item {c[ffe614]}guards you automatically\n{c[000000]}sometimes. It might end up saving you!
ItemName056	Anti-Hazard Charm
ItemInfo056	This charm reduces the damage from\n{c[ffe614]}hazards{c[000000]} such as Magma and Springy\nHands by {c[ffe614]}50%{c[000000]}.
ItemName057	Anti-Explosion Charm
ItemInfo057	This charm greatly reduces the damage\nfrom {c[ffe614]}Timed Dynamite {c[000000]}and{c[ffe614]} Bombers{c[000000]}.
ItemName059	Anti-Gordo Charm
ItemInfo059	This charm reduces the damage from\n{c[ffe614]}Gordo Balls{c[000000]} and {c[ffe614]}Gordos {c[000000]}thrown by\nbosses by {c[ffe614]}75%{c[000000]}.
ItemName060	Zap Weapon Sticker
ItemInfo060	This sticker increases a {c[ffe614]}Zap Weapon{c[000000]}'s\ncharge speed and {c[ffe614]}doubles {c[000000]}its electric\n{c[ffe614]}attack {c[000000]}power.
ItemName061	Ice Container Breaking Sticker
ItemInfo061	This sticker helps you {c[ffe614]}break Ice Containers\n3 times{c[000000]} faster.
ItemName062	Quick-Cheer Sticker
ItemInfo062	This sticker reduces by {c[ffe614]}half{c[000000]} the {c[ffe614]}time{c[000000]} it takes\nfor a successful {c[ffe614]}Cheer{c[000000]} dance. It also {c[ffe614]}doubles\n{c[000000]}the dance's {c[ffe614]}attack {c[000000]}power.
ItemName063	Score-Bonus Sticker
ItemInfo063	This sticker increases the {c[ffe614]}score {c[000000]}you\ncan get from a single battle {c[ffe614]}by 10%{c[000000]}.
ItemName064	Item Selection Plus
ItemInfo064	This very rare gear {c[ffe614]}adds an extra\n{c[000000]}item slot in the {c[ffe614]}Item Room{c[000000]}.
ItemName065	Cursed Auto-Heal Ring
ItemInfo065	A cursed ring. It {c[ffe614]}multiplies{c[000000]} the {c[ffe614]}auto-\nhealing{c[000000]} after a battle by {c[ffe614]}\x0e\x02\x01\0{c[000000]}...but in\nreturn, {c[ffe614]}no food will appear{c[000000]}.
ItemName066	Cursed Attack Ring
ItemInfo066	A cursed ring. It {c[ffe614]}multiplies{c[000000]} your {c[ffe614]}attack\n{c[000000]}power by {c[ffe614]}\x0e\x02\x02\0{c[000000]}...but in return, your\n{c[ffe614]}maximum health is cut by 66%{c[000000]}.
ItemName067	Cursed Anti-Ghost Ring
ItemInfo067	A cursed ring. It stops your enemies from\n{c[ffe614]}becoming ghosts{c[000000]}...but in return, you and\nyour buddy {c[ffe614]}can't become ghosts{c[000000]} either.
AblNoteRightDirection	Facing Right
AblSwordTitle1	Sword (1/3)
AblSwordTitle2	Sword (2/3)
AblSwordTitle3	Sword (3/3)
AblSwordNormal	Overhead Slash
AblSwordComboAttack	Multisword Attack
AblSwordDril	Drill Stab
AblSwordDash	Sword Spin
AblSwordChopping	Chop and Thrust
AblSwordChoppingUnder	Hat Thrust
AblSwordUnder	Down Thrust
AblSwordUpper	Upward Slash
AblSwordMteoend	Sword Dive
AblSwordRoll	Spin Slash
AblSwordTornade	Twister Slash
AblSwordSkyCharge	Sky Energy Sword
AblSwordNormalBtn	\x0e\x04\x06\x022\0
AblSwordComboAttackBtn	\x0e\x04\x06\x022\0 after Overhead Slash
AblSwordDrilBtn	Dash + \x0e\x04\x06\x022\0
AblSwordDashBtn	Dash + \x0e\x04\x06\x022\0 in midair
AblSwordChoppingBtn	\x0e\x04\x06\x022\0 in midair
AblSwordChoppingUnderBtn	Chop and Thrust, and\nthen \x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblSwordUnderBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblSwordUpperBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblSwordMteoendBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 while rising during Upward Slash
AblSwordRollBtn	Press and hold \x0e\x04\x06\x022\0, then release
AblSwordTornadeBtn	Press and hold \x0e\x04\x06\x022\0, then release + \x0e\x04\x17\x02Ä\0
AblSwordSkyChargeBtn	Hold \x0e\x04\x17\x02Ä\0, then release + \x0e\x04\x06\x022\0
AblCutterTitle1	Cutter (1/2)
AblCutterTitle2	Cutter (2/2)
AblCutterBoomerang	Cutter Boomerang
AblCutterBoomerangHyper	Hyper Boomerang
AblCutterDashAttack	Cutter Dash
AblCutterDrop	Sweep Cutter
AblCutterDropHight	Cutter Drop
AblCutterKaratake	Cleaving Cutter
AblCutterFinalCombo	Final Cutter
AblCutterBoomerangBtn	\x0e\x04\x06\x022\0
AblCutterBoomerangHyperBtn	Press and hold \x0e\x04\x06\x022\0, then release
AblCutterDashAttackBtn	Dash + \x0e\x04\x06\x022\0
AblCutterDropBtn	Press and hold \x0e\x04\x06\x022\0 in midair
AblCutterDropHightBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblCutterKaratakeBtn	\x0e\x04\x06\x022\0 near an enemy
AblCutterFinalComboBtn	\x0e\x04\x06\x022\0 repeatedly when\nnear an enemy
AblBeamTitle1	Beam (1/2)
AblBeamTitle2	Beam (2/2)
AblBeamWhip	Beam Whip
AblBeamCircle	Cycle Beam
AblBeamMachinegun	Beam Blast
AblBeamCannon	Wave Beam
AblBeamCapture	Capture Beam
AblBeamWhipBtn	Press and release \x0e\x04\x06\x022\0
AblBeamCircleBtn	Dash + \x0e\x04\x06\x022\0
AblBeamMachinegunBtn	Dash + \x0e\x04\x06\x022\0 in midair
AblBeamCannonBtn	Press and hold \x0e\x04\x06\x022\0, then release
AblBeamCaptureBtn	Either \x0e\x04\x17\x02Ä\0/\x0e\x04\x14\x02Á\0 + \x0e\x04\x06\x022\0 near an enemy 
AblParasolTitle1	Parasol (1/2)
AblParasolTitle2	Parasol (2/2)
AblParasolSwing	Parasol Swing
AblParasolSheild	Parasol Shield
AblParasolDirection	Change Shield Direction
AblParasolDril	Parasol Drill
AblParasolGuriguri	Parasol Twirl
AblParasolDiving	Parasol Dive
AblParasolThrow	Circus Throw
AblParasolFalling	Parasol Drift
AblParasolClose	Drift Stall
AblParasolSwingBtn	\x0e\x04\x06\x022\0
AblParasolSheildBtn	Press and hold \x0e\x04\x06\x022\0
AblParasolDirectionBtn	Move \x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0 during Parasol Shield
AblParasolDrilBtn	Dash + \x0e\x04\x06\x022\0
AblParasolGuriguriBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblParasolDivingBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0 in midair
AblParasolThrowBtn	Either \x0e\x04\x17\x02Ä\0/\x0e\x04\x14\x02Á\0 + \x0e\x04\x06\x022\0 near an enemy 
AblParasolFallingBtn	Activates while falling
AblParasolCloseBtn	\x0e\x04\x15\x02Â\0 while falling
AblHammerTitle1	Hammer (1/2)
AblHammerTitle2	Hammer (2/2)
AblHammerNormal	Hammer
AblHammerUnder	Hammer Twirl
AblHammerGiantSwing	Hammer Swing
AblHammerRoll	Giant Swing
AblHammerRoolHyper	Ultra-Giant Swing
AblHammerFire	Hammer Flip
AblHammerFireChargingMove	Move While Charging
AblHammerNormalBtn	\x0e\x04\x06\x022\0
AblHammerUnderBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblHammerGiantSwingBtn	Dash + \x0e\x04\x06\x022\0
AblHammerRollBtn	\x0e\x04\x06\x022\0 in midair
AblHammerRoolHyperBtn	Dash + \x0e\x04\x06\x022\0 in midair
AblHammerFireBtn	\x0e\x04\x17\x02Ä\0 + \x0e\x04\x06\x022\0
AblHammerFireChargingMoveBtn	\x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0 during Hammer Flip
AblBombTitle1	Bomb (1/2)
AblBombTitle2	Bomb (2/2)
AblBombHold	Bomb Prep
AblBombDirection	Bomb Throw
AblBombThrow	Target Throw
AblBombBombBombing	Self-Destruct
AblBombStrikeBall	Bomb Bowl
AblBombRunaway	Bomb Drop
AblBombSet	Bomb Set
AblBombHoldBtn	Press and hold \x0e\x04\x06\x022\0
AblBombDirectionBtn	Release \x0e\x04\x06\x022\0 during Bomb Prep
AblBombThrowBtn	\x0e\x04\x13\x02À\0 during Bomb Prep
AblBombBombBombingBtn	Don't release bomb during Bomb Prep
AblBombStrikeBallBtn	Dash + \x0e\x04\x06\x022\0
AblBombRunawayBtn	\x0e\x04\x06\x022\0 near an enemy
AblBombSetBtn	\x0e\x04\x15\x02Â\0 + \x0e\x04\x06\x022\0
AblWhipTitle1	Whip (1/3)
AblWhipTitle2	Whip (2/3)
AblWhipTitle3	Whip (3/3)
AblWhipItemCatch	Use any whip attack to grab items!
AblWhipSlash	Whip Strike
