AchieveList.msbt
AchieveListCategoriesHeroKirby	のうりょく
AblFighterBackThrowBtn	つかみ＋\x0e\x04\x15\x02Â\0\x0e\x04\x16\x02Ã\0どれか
AblNinjaTitle1	ニンジャ1
AblNinjaTitle2	ニンジャ2
AblNinjaTitle3	ニンジャ3
AblNinjaKunai	クナイしゅりけん
AblNinjaSlash	はたきぎり
AblNinjaDash	いあいぬき
AblNinjaKick	ニンジャキック
AblNinjaSmoke	えんまく
AblNinjaFlowerShower	みだれ{r2[はな]}花{/r2}ふぶき
AblNinjaSlashCombo	はたきぎり～かえし4れん
AblNinjaAirDrop	いづなおとし
AblNinjaStickWall	カベはりつき
AblNinjaStickWallKunai	はりつきうち
AblNinjaTriangleJump	{r2[さんかく]}三角{/r2}とび
AblNinjaHide	かわりみのじゅつ
AblNinjaKunaiBtn	\x0e\x04\x06\x022\0はなす
AblNinjaSlashBtn	\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし
AblNinjaDashBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblNinjaKickBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblNinjaSmokeBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblNinjaFlowerShowerBtn	\x0e\x04\x17\x02Ä\0\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblNinjaSlashComboBtn	てきのそばで\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし
AblNinjaAirDropBtn	てきのそばで\x0e\x04\x17\x02Ä\0\x0e\x04\x14\x02Á\0どれか＋\x0e\x04\x06\x022\0
AblNinjaStickWallBtn	{r2[くうちゅう]}空中{/r2}で カベをおす
AblNinjaStickWallKunaiBtn	カベはりつきで\x0e\x04\x06\x022\0
AblNinjaTriangleJumpBtn	カベはりつきで\x0e\x04\x05\x021\0
AblNinjaHideBtn	こうげきをうける ちょくぜんに\x0e\x04\x15\x02Â\0＋\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblBeetleTitle1	ビートル1
AblBeetleTitle2	ビートル2
AblBeetleTitle3	ビートル3
AblBeetleTitle4	ビートル4
AblBeetleHornUpper	ホーンアッパー
AblBeetleBackSlash	さみだれホーン～バックスラッシュ
AblBeetleRocketHorn	ロケットホーン
AblBeetleRocketHornDiving	ロケットホーン～ダイビング
AblBeetleSpiralHorn	スパイラルホーン
AblBeetleHoverWing	ホバーウィング
AblBeetleHeadPress	{r2[いし]}石{/r2}あたまノック
AblBeetleHeadPressLanding	キャッチホーン
AblBeetleCaptureHorn	うんぱん
AblBeetleCaptureThrow	ぶんなげ
AblBeetleCaptureJumpHold	なげおとし
AblBeetleCaptureFall	のうてんおとし
AblBeetleCaptureDrill	ドリルたたきつけ
AblBeetleHornUpperBtn	\x0e\x04\x06\x022\0
AblBeetleBackSlashBtn	\x0e\x04\x06\x022\0れんだ
AblBeetleRocketHornBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblBeetleRocketHornDivingBtn	ダッシュ＋\x0e\x04\x06\x022\0＋\x0e\x04\x17\x02Ä\0
AblBeetleSpiralHornBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblBeetleHoverWingBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x05\x021\0
AblBeetleHeadPressBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblBeetleHeadPressLandingBtn	てきのそばで\x0e\x04\x17\x02Ä\0\x0e\x04\x14\x02Á\0どれか＋\x0e\x04\x06\x022\0
AblBeetleCaptureHornBtn	キャッチ＋\x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0
AblBeetleCaptureThrowBtn	キャッチ＋\x0e\x04\x06\x022\0
AblBeetleCaptureJumpHoldBtn	キャッチ＋\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblBeetleCaptureFallBtn	キャッチ＋\x0e\x04\x16\x02Ã\0＋\x0e\x04\x06\x022\0
AblBeetleCaptureDrillBtn	キャッチ＋\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblBellTitle1	ベル1
AblBellTitle2	ベル2
AblBellRingDong	リンドン
AblBellRingDingDong	リンディンドン
AblBellKnockRingDong	ノックドン
AblBellFinalDingDong	ディンフィナーレ
AblBellFinalDingDongFast	そっこうディンフィナーレ
AblBellThrowBell	ツインティンカー
AblBellTinkerMelody	ティンカーメロディ
AblBellInBell	イン・ベル
AblBellRingDongBtn	\x0e\x04\x06\x022\0
AblBellRingDingDongBtn	\x0e\x04\x06\x022\0れんだ
AblBellKnockRingDongBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblBellFinalDingDongBtn	\x0e\x04\x06\x022\0れんだ～\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblBellFinalDingDongFastBtn	\x0e\x04\x17\x02Ä\0{r2[なが]}長{/r2}おし～\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblBellThrowBellBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblBellTinkerMelodyBtn	\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし～はなす
AblBellInBellBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblWrestlerTitle1	レスラー1
AblWrestlerTitle2	レスラー2
AblWrestlerTitle3	レスラー3
AblWrestlerTitle4	レスラー4
AblWrestlerTitle5	レスラー5
AblWrestlerChop	チョップ
AblWrestlerChopRush	れんぞくチョップ～きめチョップ
AblWrestlerTorrentLariat	うちあげラリアット
AblWrestlerDashAmbit	つかみタックル
AblWrestlerCatchBody	リフトアップ
AblWrestlerBackBleecker	ねっけつバックブリーカー
AblWrestlerBodySlam	メガトンスラム
AblWrestlerGermanSuplex	レスラーバックドロップ
AblWrestlerGiantSwing	レスラースイング
AblWrestlerRockDrop	ローリングブレイカー
AblWrestlerJumpingCatch	つかみ{r2[たか]}高{/r2}とび
AblWrestlerBackBleeckerSpin	ウルトラバックブリーカー
AblWrestlerAirUnderBodySlam	{r2[くうちゅう]}空中{/r2}スクリューダウン
AblWrestlerRollingSobat	ローリングソバット
AblWrestlerHeadButt	ヘッドバット
AblWrestlerPinpointKick	レスラーピンポイントキック
AblWrestlerFuryStomp	レスラーもうれつストンピング
AblWrestlerRocketKick	フライングドロップキック
AblWrestlerBombingPlancha	メテオぷらんちゃ
AblWrestlerBombingPlanchaHigh	かべげりメテオぷらんちゃ
AblWrestlerCatchBodyInfo01	－リフトアップの{r2[あと]}後{/r2} その1－
AblWrestlerCatchBodyInfo02	－リフトアップの{r2[あと]}後{/r2} その2－
AblWrestlerJumpingCatchInfo	－つかみ{r2[たか]}高{/r2}とびでの {r2[くうちゅう]}空中{/r2}リフトアップ{r2[ちゅう]}中{/r2}－
AblWrestlerChopBtn	\x0e\x04\x06\x022\0
AblWrestlerChopRushBtn	\x0e\x04\x06\x022\0れんだ
AblWrestlerTorrentLariatBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblWrestlerDashAmbitBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblWrestlerCatchBodyBtn	てきのちかくで\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblWrestlerBackBleeckerBtn	\x0e\x04\x17\x02Ä\0
AblWrestlerBodySlamBtn	\x0e\x04\x15\x02Â\0
AblWrestlerGermanSuplexBtn	\x0e\x04\x16\x02Ã\0
AblWrestlerGiantSwingBtn	\x0e\x04\x14\x02Á\0
AblWrestlerRockDropBtn	\x0e\x04\x05\x021\0
AblWrestlerJumpingCatchBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblWrestlerBackBleeckerSpinBtn	\x0e\x04\x05\x021\0
AblWrestlerAirUnderBodySlamBtn	\x0e\x04\x06\x022\0/\x0e\x04\x15\x02Â\0
AblWrestlerRollingSobatBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x06\x022\0
AblWrestlerHeadButtBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblWrestlerPinpointKickBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblWrestlerFuryStompBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし
AblWrestlerRocketKickBtn	ダッシュ＋\x0e\x04\x06\x022\0と\x0e\x04\x05\x021\0どうじに
AblWrestlerBombingPlanchaBtn	\x0e\x04\x15\x02Â\0\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblWrestlerBombingPlanchaHighBtn	{r2[くうちゅう]}空中{/r2}で カベをおして\x0e\x04\x06\x022\0
AblStickTitle1	スティック1
AblStickTitle2	スティック2
AblStickTitle3	スティック3
AblStickAttackFront	ぼう
AblStickAttackBack	うらぼう
AblStickAttackUpper	たかたかぼう
AblStickAttackBothSides	さこんうこん
AblStickAttackWildDance	ぼうじゅつらんぶ
AblStickHighJumpAttack	たかとびざつぎ
AblStickFallUnderAttack	つくつくぼう
AblStickDashAttack	にょいぼうせんり
AblStickDashChargeAttack	にょいぼうばんり
AblStickTornadoAttack	たけとんぼう
AblStickGuardAttack	きゅうそのかまえ
AblStickAttackFrontBtn	\x0e\x04\x06\x022\0
AblStickAttackBackBtn	\x0e\x04\x06\x022\0の{r2[あと]}後{/r2}に\x0e\x04\x16\x02Ã\0＋\x0e\x04\x06\x022\0
AblStickAttackUpperBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblStickAttackBothSidesBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblStickAttackWildDanceBtn	\x0e\x04\x06\x022\0れんだ
AblStickHighJumpAttackBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblStickFallUnderAttackBtn	たかとびざつぎ{r2[ちゅう]}中{/r2}に\x0e\x04\x06\x022\0れんだ
AblStickDashAttackBtn	ダッシュ＋\x0e\x04\x06\x022\0はなす
AblStickDashChargeAttackBtn	ダッシュ＋\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし～はなす
AblStickTornadoAttackBtn	\x0e\x04\x15\x02Â\0\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblStickGuardAttackBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblArtistTitle1	アーティスト1
AblArtistTitle2	アーティスト2
AblArtistSlash	{r2[え]}絵{/r2}ふでスラッシュ
AblArtistSlashUpper	{r2[てん]}天{/r2}じょうがスラッシュ
AblArtistSplash	{r2[え]}絵{/r2}ふでスプラッシュ
AblArtistPainterCanvas	ペインター
AblArtistSculptureAttack	スカルプチャー
AblArtistSculptureBreak	じょうねつのはかい
AblArtistSculptureMove	さくひんいどう
AblArtistSlashBtn	\x0e\x04\x06\x022\0
AblArtistSlashUpperBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblArtistSplashBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblArtistPainterCanvasBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblArtistSculptureAttackBtn	\x0e\x04\x15\x02Â\0\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblArtistSculptureBreakBtn	スカルプチャーの{r2[あと]}後{/r2}に\x0e\x04\x06\x022\0
AblArtistSculptureMoveBtn	スカルプチャーの{r2[あと]}後{/r2}に\x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0
AblYoyoTitle1	ヨーヨー1
AblYoyoTitle2	ヨーヨー2
AblYoyoThrowFront	ヨーヨーなげ
AblYoyoThrowUp	{r2[うえ]}上{/r2}なぎヨーヨー
AblYoyoThrowSide	よこなぎヨーヨー
AblYoyoWalkDog	いぬのさんぽ
AblYoyoStartWalk	さんぽかいし
AblYoyoBreakSpin	ブレイクスピン
AblYoyoJumpingSpin	ジャンプスピン
AblYoyoHammerDrop	ハンマードロップ
AblYoyoGeyserSpiral	ゲイザースパイラル
AblYoyoThrowFrontBtn	\x0e\x04\x06\x022\0
AblYoyoThrowUpBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblYoyoThrowSideBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0はなす
AblYoyoWalkDogBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし
AblYoyoStartWalkBtn	いぬのさんぽ＋\x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0
AblYoyoBreakSpinBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblYoyoJumpingSpinBtn	ダッシュ＋{r2[くうちゅう]}空中{/r2}で\x0e\x04\x06\x022\0
AblYoyoHammerDropBtn	てきのそばで\x0e\x04\x17\x02Ä\0\x0e\x04\x14\x02Á\0どれか＋\x0e\x04\x06\x022\0～\x0e\x04\x13\x02À\0/\x0e\x04\x06\x022\0
AblYoyoGeyserSpiralBtn	\x0e\x04\x15\x02Â\0\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblWaterTitle1	ウォーター1
AblWaterTitle2	ウォーター2
AblWaterWaveShot	ウェーブショット
AblWaterWaterRide	なみのり
AblWaterUpAttack	かんけつせん
AblWaterUnderAttack	ふんすいホバー
AblWaterSurfingTackle	サーファータックル
AblWaterRainbowRain	レインボーレイン
AblWaterWaterCrown	ウォータークラウン
AblWaterWaveShotBtn	\x0e\x04\x06\x022\0
AblWaterWaterRideBtn	ダッシュ
AblWaterUpAttackBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblWaterUnderAttackBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblWaterSurfingTackleBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblWaterRainbowRainBtn	\x0e\x04\x15\x02Â\0 \x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblWaterWaterCrownBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblKingDededeTitle1	デデデ{r2[だいおう]}大王{/r2}1
AblKingDededeTitle2	デデデ{r2[だいおう]}大王{/r2}2
AblKingDededeHammerAttack	ハンマーたたき
AblKingDededeGuriguriHammer	ぐりぐりハンマー
AblKingDededeSwing	ジャイアントデデデスイング
AblKingDededeAirSpin	だいしゃりん
AblKingDededeAirSpinStrong	ごく・だいしゃりん
AblKingDededeOnigorosiHammerAttack	おにごろしデデデハンマー
AblKingDededeChargingMove	ためながらいどう
AblKingDededeThrowExplosion	ばくれつデデデハンマーなげ
AblKingDededeSliding	ヘッドスライディング
AblKingDededeSuperJump	スーパーデデデジャンプ
AblKingDededeHammerAttackBtn	\x0e\x04\x06\x022\0
AblKingDededeGuriguriHammerBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblKingDededeSwingBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblKingDededeAirSpinBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x06\x022\0
AblKingDededeAirSpinStrongBtn	ダッシュ＋{r2[くうちゅう]}空中{/r2}で\x0e\x04\x06\x022\0
AblKingDededeOnigorosiHammerAttackBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblKingDededeChargingMoveBtn	おにごろしデデデハンマー{r2[ちゅう]}中{/r2}に\x0e\x04\x16\x02Ã\0/\x0e\x04\x14\x02Á\0
AblKingDededeThrowExplosionBtn	ダッシュ＋\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblKingDededeSlidingBtn	ダッシュ＋\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblKingDededeSuperJumpBtn	\x0e\x04\x15\x02Â\0 \x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblMetaknightTitle1	メタナイト1
AblMetaknightTitle2	メタナイト2
AblMetaknightTitle3	メタナイト3
AblMetaknightTitle4	メタナイト4
AblMetaknightAttack	たてぎり
AblMetaknightMoonShot	ムーンショット
AblMetaknightAttackTriple	メタ3れんぎり
AblMetaknightAttackRush	メタ{r2[ひゃく]}百{/r2}れつぎり～きめぎり
AblMetaknightDrillSlash	ドリルスラッシュ
AblMetaknightSpinningKnight	スピニングナイト
AblMetaknightChopping	メタチョッピング
AblMetaknightUnderThrust	したづき
AblMetaknightUpperThrust	うえつき
AblMetaknightCounterAttack	ギャラクティックカウンター
AblMetaknightSpinningAttack	メタ{r2[かい]}回{/r2}てんぎり
AblMetaknightTornado	マッハトルネイド
AblMetaknightCondorDive	メタコンドルダイブ
AblMetaknightShuttleLoop	シャトルループ
AblMetaknightFlight	はばたき
AblMetaknightAttackBtn	\x0e\x04\x06\x022\0
AblMetaknightMoonShotBtn	\x0e\x04\x17\x02Ä\0{r2[なが]}長{/r2}おし～はなす＋\x0e\x04\x06\x022\0
AblMetaknightAttackTripleBtn	たてぎり{r2[ご]}後{/r2}に \x0e\x04\x06\x022\0を 2{r2[かい]}回{/r2}
AblMetaknightAttackRushBtn	メタ3れんぎり{r2[ご]}後{/r2}に \x0e\x04\x06\x022\0
AblMetaknightDrillSlashBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblMetaknightSpinningKnightBtn	ダッシュ＋{r2[くうちゅう]}空中{/r2}で\x0e\x04\x06\x022\0
AblMetaknightChoppingBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x06\x022\0
AblMetaknightUnderThrustBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblMetaknightUpperThrustBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblMetaknightCounterAttackBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblMetaknightSpinningAttackBtn	\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし～はなす
AblMetaknightTornadoBtn	\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし～はなす＋\x0e\x04\x17\x02Ä\0
AblMetaknightCondorDiveBtn	ダッシュ＋{r2[くうちゅう]}空中{/r2}で\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblMetaknightShuttleLoopBtn	\x0e\x04\x15\x02Â\0 \x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblMetaknightFlightBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x05\x021\0
AblBandanaWaddledeeTitle1	バンダナワドルディ1
AblBandanaWaddledeeTitle2	バンダナワドルディ2
AblBandanaWaddledeeTitle3	バンダナワドルディ3
AblBandanaWaddledeeAttackFront	ヤリつき
AblBandanaWaddledeeAttackBack	うらつき
AblBandanaWaddledeeRush	ワド{r2[ひゃく]}百{/r2}れつスピア～きゅうしょつき
AblBandanaWaddledeeCopter	ワドコプター
AblBandanaWaddledeeAttackUpper	{r2[てんくう]}天空{/r2}つき
AblBandanaWaddledeeGroundThrust	{r2[だいち]}大地{/r2}づき
AblBandanaWaddledeeMoonDrop	{r2[つき]}月{/r2}おとし
AblBandanaWaddledeeThrow	ワドスピアスロー
AblBandanaWaddledeeThrowContinuity	れんぞくワドスピアスロー
AblBandanaWaddledeeThrowTriple	ワドトリプルスロー
AblBandanaWaddledeeAttackFrontBtn	\x0e\x04\x06\x022\0
AblBandanaWaddledeeAttackBackBtn	\x0e\x04\x06\x022\0の{r2[あと]}後{/r2}に\x0e\x04\x16\x02Ã\0＋\x0e\x04\x06\x022\0
AblBandanaWaddledeeRushBtn	\x0e\x04\x06\x022\0れんだ
AblBandanaWaddledeeCopterBtn	\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし～はなす
AblBandanaWaddledeeAttackUpperBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblBandanaWaddledeeGroundThrustBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblBandanaWaddledeeMoonDropBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblBandanaWaddledeeThrowBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblBandanaWaddledeeThrowContinuityBtn	ダッシュ＋{r2[くうちゅう]}空中{/r2}で\x0e\x04\x06\x022\0れんだ
AblBandanaWaddledeeThrowTripleBtn	ダッシュ＋\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし～はなす
AblGooeyTitle1	グーイ1
AblGooeyTitle2	グーイ2
AblGooeyTitle3	グーイ3
AblGooeyItemCatch	べろ こうげきは {r2[すべ]}全{/r2}て アイテムキャッチ！
AblGooeyAttackFront	べろーん
AblGooeyRush	べろべろーん
AblGooeyCaptureShot	べろほしょく
AblGooeyCaptureRelease	したうち
AblGooeyParasolUpper	グーイパラソル
AblGooeyParasolUpperShild	くるくるパラソル
AblGooeyBurning	グーイバーニング
AblGooeyStoneChange	グーイストーン
AblGooeyDarkLaserSpread	かくさんダークレーザー
AblGooeyMatterImitation	マターもどき
AblGooeyDarkLaser	ダークレーザー
AblGooeyOmamori	おまもりぶくろ
AblGooeyAttackFrontBtn	\x0e\x04\x06\x022\0はなす
AblGooeyRushBtn	\x0e\x04\x06\x022\0れんだ
AblGooeyCaptureShotBtn	\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし～はなす
AblGooeyCaptureReleaseBtn	べろほしょく＋\x0e\x04\x06\x022\0/べろほしょく＋\x0e\x04\x14\x02Á\0
AblGooeyParasolUpperBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblGooeyParasolUpperShildBtn	グーイパラソル～\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし
AblGooeyBurningBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblGooeyStoneChangeBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblGooeyDarkLaserSpreadBtn	\x0e\x04\x15\x02Â\0 \x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblGooeyMatterImitationBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x05\x021\0
AblGooeyDarkLaserBtn	マターもどき{r2[ちゅう]}中{/r2}に\x0e\x04\x06\x022\0
AblGooeyOmamoriBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMahoroaTitle1	マホロア1
AblMahoroaTitle2	マホロア2
AblMahoroaTitle3	マホロア3
AblMahoroaTitle4	マホロア4
AblMahoroaMagicBall	まりょくきゅう
AblMahoroaRevoBall	レボリューションボウル
AblMahoroaRevoFlame	レボリューションフレイム
AblMahoroaKillNeedle	キルニードル
AblMahoroaKillNeedleDouble	ダブルキルニードル
AblMahoroaKillNeedleQuad	クアッドキルニードル
AblMahoroaStorm	マホロアストーム
AblMahoroaGemAppleExplosion	ジェムリンゴボム
AblMahoroaDetonationGemApple	きばく
AblMahoroaBlackHole	ブラックホール
AblMahoroaUltraSword	ウルトラソード
AblMahoroaReflectBarrier	リフバリア
AblMahoroaVanish	いくうかんバニシュ
AblMahoroaMagicBallBtn	\x0e\x04\x06\x022\0はなす
AblMahoroaRevoBallBtn	\x0e\x04\x06\x022\0ちょい{r2[なが]}長{/r2}おし～はなす
AblMahoroaRevoFlameBtn	\x0e\x04\x06\x022\0めちゃ{r2[なが]}長{/r2}おし～はなす
AblMahoroaKillNeedleBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0はなす
AblMahoroaKillNeedleDoubleBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0ちょい{r2[なが]}長{/r2}おし～はなす
AblMahoroaKillNeedleQuadBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0めちゃ{r2[なが]}長{/r2}おし～はなす
AblMahoroaStormBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblMahoroaGemAppleExplosionBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblMahoroaDetonationGemAppleBtn	ジェムリンゴボム～\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblMahoroaBlackHoleBtn	{r2[くうちゅう]}空中{/r2}で \x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblMahoroaUltraSwordBtn	\x0e\x04\x15\x02Â\0{r2[なが]}長{/r2}おし～\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblMahoroaReflectBarrierBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMahoroaVanishBtn	{r2[くうちゅう]}空中{/r2}で\x0e\x04\x13\x02À\0をうごかす＋\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblGhostTitle	ゴースト
AblGhostAttack	はたき
AblGhostDoubleAttack	おうふくはたき
AblGhostTackle	たいあたり
AblGhostVanish	ドロン
AblGhostAttackBtn	\x0e\x04\x06\x022\0
AblGhostDoubleAttackBtn	\x0e\x04\x06\x022\0{r2[なが]}長{/r2}おし～はなす
AblGhostTackleBtn	ダッシュ＋\x0e\x04\x06\x022\0
AblGhostVanishBtn	\x0e\x04\x05\x021\0
AblGrabTitle	ほおばり/つかみ
AblGrabGrab	ほおばり/つかみ
AblGrabDirection	むきへんこう
AblGrabVomit	はきだし/なげる
AblGrabGrabBtn	\x0e\x04\x07\x023\0 （もしくは \x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0＋\x0e\x04\x06\x022\0）
AblGrabDirectionBtn	ほおばり/つかみ{r2[ちゅう]}中{/r2}に\x0e\x04\x18\x02Å\0
AblGrabVomitBtn	ほおばり/つかみ{r2[ちゅう]}中{/r2}に\x0e\x04\x07\x023\0 （もしくは\x0e\x04\x06\x022\0）
DialogExit	バトルをやめて\nメニューに もどりますか？
Result.msbt
ClearRogue_LastScoreText	このバトルのスコア
ClearRogue_TotalScoreText	ごうけいスコア
ClearRogue_TotalScoreNewRecord	NEW
ClearRogue_TotalScoreText_Lv1	{r2[だい]}第{/r2}1{r2[しょう]}章{/r2}\nさいしゅうスコア
ClearRogue_TotalScoreText_Lv2	{r2[だい]}第{/r2}2{r2[しょう]}章{/r2}\nさいしゅうスコア
ClearRogue_TotalScoreText_Lv3	{r2[だい]}第{/r2}3{r2[しょう]}章{/r2}\nさいしゅうスコア
ClearRogue_TotalScoreText_Lv4	{r2[だい]}第{/r2}4{r2[しょう]}章{/r2}\nさいしゅうスコア
ClearRogue_TotalScoreText_Lv5	{r2[だい]}第{/r2}5{r2[しょう]}章{/r2}\nさいしゅうスコア
ClearRogue_WinCount	\x0e\x02\x01\0
ClearSingle_LastClearTimeText	クリアタイム
ClearSingle_LastClearTimeNum	\x0e\x02\x02\0:\x0e\x02\x02\0.{s[075]}\x0e\x02\x02\0{s[100]}
ClearSingle_TotalClearTimeText	ごうけいクリアタイム
ClearSingle_TotalClearTimeNum	\x0e\x02\x02\0:\x0e\x02\x02\0.{s[075]}\x0e\x02\x02\0{s[100]}
ClearSingle_WinStreak	\x0e\x02\x01\0{s[080]}{r2[れんしょう]}連勝{/r2}！{s[100]}
ClearSingle_HandicapEasy	{s[075]}なんいど{s[100]} やさしい
ClearSingle_HandicapNormal	{s[075]}なんいど{s[100]} ふつう
ClearSingle_HandicapHard	{s[075]}なんいど{s[100]} むずかしい
ClearSingle_HandicapVeryHard	{s[075]}なんいど{s[100]} めちゃむず
