Glossary.msbt
glossary_Place01	テールのほらあな
Seekuribo	{c[d9456d]}クリボーのフィギュア{c[ededed]}だ。\nキリッとした マユゲ… やっぱり ふみたい\x0e\x01\x04\0
Seetogezo	{c[d9456d]}トゲゾーのフィギュア{c[ededed]}だ。\nひっくりかえした　あの{r2[ひ]}日{/r2}を{r2[わす]}忘{/r2}れない…\x0e\x01\x04\0
Seeteresa	{c[d9456d]}テレサのフィギュア{c[ededed]}だ。\n…ん？ こっちを{r2[み]}見{/r2}て {r2[わら]}笑{/r2}ってる？\x0e\x01\x04\0
Seepukupuku	{c[d9456d]}プクプクのフィギュア{c[ededed]}だ。\nくちびるが とってもチャーミング！\x0e\x01\x04\0
SeeGeso	{c[d9456d]}ゲッソーのフィギュア{c[ededed]}だ。\n{r2[いま]}今{/r2}じゃ すっかり{r2[にんきもの]}人気者{/r2}だなー\x0e\x01\x04\0
SeeHeiho	{c[d9456d]}ヘイホーのフィギュア{c[ededed]}だ。\n{r2[め]}目{/r2}の{r2[おく]}奥{/r2}は {r2[ま]}真{/r2}っ{r2[くら]}暗{/r2}で {r2[なに]}何{/r2}も{r2[み]}見{/r2}えない…\x0e\x01\x04\0
SeePakkun	{c[d9456d]}パックンフラワーのフィギュア{c[ededed]}だ。\n{r2[いま]}今{/r2}まで {r2[なんにん]}何人{/r2} パクパクされたんだろう…\x0e\x01\x04\0
SeeSanbo	{c[d9456d]}サンボのフィギュア{c[ededed]}だ。\n{r2[あたま]}頭{/r2}と {r2[からだ]}体{/r2}は {r2[と]}取{/r2}り{r2[はず]}外{/r2}し{r2[かのう]}可能{/r2}！\x0e\x01\x04\0
SeeBowwow	{c[d9456d]}ワンワンのフィギュア{c[ededed]}だ。\nうーん {r2[いま]}今{/r2}にも{r2[うご]}動{/r2}き{r2[だ]}出{/r2}しそうだ\x0e\x01\x04\0
AddHeartContainer	{c[d9456d]}ハートのかけら{c[ededed]}が ４つそろった！\nハートの{r2[さいだいち]}最大値{/r2}が{r2[ふ]}増{/r2}えた！ {r2[たいりょく]}体力{/r2}も{r2[ぜんかいふく]}全回復{/r2}！\x0e\x01\x04\0
TouchIceBlock	まっさおな{r2[こおり]}氷{/r2}だ！\n……おおっ？ つ {r2[つめ]}冷{/r2}たいぞ！！\x0e\x01\x04\0
TouchBombRock	ムムッ！ かなり ヒビわれてる？\nなんとかすれば こわせそうだぞ！\x0e\x01\x04\0
TouchAttackRock	ムッ？ えたいのしれないかたまりだ！\n{r2[いっき]}一気{/r2}につっこめば こわせるかも\x0e\x01\x04\0
TouchKeyBlock	ん？ このブロック カギ{r2[あな]}穴{/r2}がある……。\nカギを{r2[も]}持{/r2}って また{r2[こ]}来{/r2}よう！！\x0e\x01\x04\0
TouchLiftRock	ウッ！！ こいつは {r2[おも]}重{/r2}いぞ！\nすでじゃ ムリみたいだ……\x0e\x01\x04\0
TouchLiftHeavyObject	ウッ！！ {r2[おも]}重{/r2}くて{r2[も]}持{/r2}ち{r2[あ]}上{/r2}げられない！\n{r2[ちから]}力{/r2}が {r2[た]}足{/r2}りないようだ…\x0e\x01\x04\0
TouchWeathercock	ぜんぜん びくともしない…\x0e\x01\x04\0
NotSongOcarina	オカリナだ！ し しかし……\nまだ {r2[きょく]}曲{/r2}を {r2[おぼ]}覚{/r2}えてなかった\x0e\x01\x04\0
GetPowerBracelet	{c[d9456d]}パワーブレスレット{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nこれで ツボや{r2[いわ]}岩{/r2}が かつげるぞ！\x0e\x01\x04\0
GetHookShot	{c[d9456d]}フックショット{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nボヨヨーンと のばして{r2[つか]}使{/r2}おう！\x0e\x01\x04\0
GetMagicRod	{c[d9456d]}マジックロッド{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\n{r2[も]}燃{/r2}やせ！ {r2[も]}燃{/r2}やせ！ {r2[や]}焼{/r2}きつくせ！！\x0e\x01\x04\0
GetPegasusBoots	{c[d9456d]}ペガサスのくつ{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\n\x0e\x01\x01\x01\x0cで ダッシュ！　ジャンプも{r2[とお]}遠{/r2}くまでとどくぞ！\x0e\x01\x04\0
GetOcarina	{c[d9456d]}オカリナ{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\n{r2[いろ]}色{/r2}んな{r2[きょく]}曲{/r2}が {r2[ふ]}吹{/r2}けるといいな\x0e\x01\x04\0
GetRocsFeather	{c[d9456d]}ロック{r2[ちょう]}鳥{/r2}の{r2[はね]}羽根{/r2}{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nなんだか {r2[からだ]}体{/r2}がかるくなる\x0e\x01\x04\0
GetScoop	{c[d9456d]}スコップ{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！ さあ {r2[あな]}穴{/r2}をほろう！\n\x0e\x01\x01\x01\x0eでアイテム{r2[がめん]}画面{/r2}を{r2[ひら]}開{/r2}いて \x0e\x01\x01\x01\x04か\x0e\x01\x01\x01\x05にセットしよう\x0e\x01\x04\0
GetBomb	{c[d9456d]}バクダン{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nドーンといこう ドーンと！！\x0e\x01\x04\0
GetAnglerWeb	{c[d9456d]}アングラーの{r2[みず]}水{/r2}かき{c[ededed]}だっ！\n\x0e\x01\x01\x01.で もぐれるし \x0e\x01\x01\x017で {r2[はや]}速{/r2}くおよげるぞっ！\x0e\x01\x04\0
GetDrug	なんと？ これは{c[d9456d]}ヒミツのくすり{c[ededed]}だ！\nヌリ ヌリ…… {r2[じぶん]}自分{/r2}でぬった\x0e\x01\x04\0
GetTailkey	{c[d9456d]}テールのカギ{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nこれで テールのとびらが{r2[ひら]}開{/r2}く！\x0e\x01\x04\0
GetSlimeKey	{c[d9456d]}スライムのカギ{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nウクク{r2[そうげん]}草原{/r2}の{r2[いりぐち]}入口{/r2}へ {r2[い]}行{/r2}こう\x0e\x01\x04\0
GetAnglerKey	{c[d9456d]}アングラーのカギ{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\x0e\x01\x04\0
GetFaceKey	{c[d9456d]}フェイスのカギ{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\x0e\x01\x04\0
GetBirdKey	{c[d9456d]}バードのカギ{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nチームワークの{r2[しょうり]}勝利{/r2}だっ！\x0e\x01\x04\0
GetMap	やっと {c[d9456d]}{r2[ちず]}地図{/r2}{c[ededed]}を {r2[み]}見{/r2}つけた！\n\x0e\x01\x01\x01\x0fで マップ{r2[がめん]}画面{/r2}を{r2[み]}見{/r2}よう！\x0e\x01\x04\0
GetCompass	{c[d9456d]}コンパス{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nボスと {r2[たから]}宝{/r2}の{r2[ばしょ]}場所{/r2}が わかるぞ！\x0e\x01\x04\0\nさらにっ！ カギが{r2[ちか]}近{/r2}くにあると\n{r2[おと]}音{/r2}で{r2[し]}知{/r2}らせる {r2[しん]}新{/r2}{r2[きのう]}機能{/r2}{r2[つ]}付{/r2}き！\x0e\x01\x04\0
GetStoneBeak	{c[d9456d]}{r2[せきぞう]}石像{/r2}のクチバシ{c[ededed]}を {r2[み]}見{/r2}つけた！\nフクロウの{r2[せきぞう]}石像{/r2}を {r2[さが]}探{/r2}そう\x0e\x01\x04\0
GetBossKey	{c[d9456d]}ボスのカギ{c[ededed]}を{r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nボスの{r2[へや]}部屋{/r2}のとびらを {r2[あ]}開{/r2}けられるぞ\x0e\x01\x04\0
GetSmallKey	{c[d9456d]}{r2[ちい]}小{/r2}さなカギ{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nカギのかかった とびらが{r2[ひら]}開{/r2}くぞ\x0e\x01\x04\0
Get1Rupee	{c[d9456d]}１ルピー{c[ededed]} {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\x0e\x01\x04\0
Get5Rupee	{c[d9456d]}５ルピー{c[ededed]} {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\x0e\x01\x04\0
Get20Rupee	{c[d9456d]}２０ルピー{c[ededed]} {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nちょっと うれしい\x0e\x01\x04\0
Get50Rupee	{c[d9456d]}５０ルピー{c[ededed]} {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nわりと うれしい\x0e\x01\x04\0
Get100Rupee	{c[d9456d]}１００ルピー{c[ededed]} {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nかなり うれしい\x0e\x01\x04\0
Get300Rupee	{c[d9456d]}３００ルピー{c[ededed]} {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nめっちゃ うれしい！\x0e\x01\x04\0
GetGoldLeaf	やった！\n{c[d9456d]}{r2[おうごん]}黄金{/r2}の{r2[は]}葉{/r2}っぱ{c[ededed]}を {r2[み]}見{/r2}つけた！\x0e\x01\x04\0
GetMirrorShield	{c[d9456d]}{r2[かがみ]}鏡{/r2}の{r2[たて]}盾{/r2}{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nこれで ビームも はね{r2[かえ]}返{/r2}せるぞ！\x0e\x01\x04\0
GetPowerfulBracelet	{c[d9456d]}パワフルブレスレット{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた\nこんどは ゾウだって かつげるぞ！\x0e\x01\x04\0
GetSecretShell	{c[d9456d]}ヒミツの{r2[かい]}貝{/r2}がら{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nたくさん{r2[あつ]}集{/r2}めて いいモノをもらおう\x0e\x01\x04\0
GetSecretShellAnother	{c[d9456d]}ヒミツの{r2[かい]}貝{/r2}がら{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\n…{r2[なに]}何{/r2}に {r2[つか]}使{/r2}うんだろう？\x0e\x01\x04\0
GetBottleFairy	{c[d9456d]}{r2[ようせい]}妖精{/r2}{c[ededed]}を ビンに{r2[い]}入{/r2}れた！\n{r2[つか]}使{/r2}えば いつでもハート{r2[かいふく]}回復{/r2}！\x0e\x01\x04\0
CheckBookshelf	これは {r2[ほん]}本{/r2}だなです\x0e\x01\x04\0\x0e\0\x04\0えっ？ {r2[し]}知{/r2}ってるって？ あっそう\x0e\x01\x04\0
CheckDresser	\x0e\x01\x03\0 はタンスを{r2[しら]}調{/r2}べた\x0e\x01\x04\0\x0e\0\x04\0ウーン なかなか いいタンスだ\x0e\x01\x04\0
CheckShelf	\x0e\x01\x03\0 は{r2[ひ]}引{/r2}き{r2[だ]}出{/r2}しを{r2[しら]}調{/r2}べた\x0e\x01\x04\0\x0e\0\x04\0{r2[き]}気{/r2}になるものは… {r2[とく]}特{/r2}になかった！\x0e\x01\x04\0
CheckGhostShelf	タンスのとびらが {r2[はず]}外{/r2}れている…\nもうずいぶんと{r2[まえ]}前{/r2}から {r2[つか]}使{/r2}われていないようだ…\x0e\x01\x04\0
CheckMermaidFigure	 「{r2[かな]}悲{/r2}しみの{r2[にんぎょ]}人魚{/r2}{r2[ぞう]}像{/r2}」\n        シュール{r2[さく]}作{/r2}\x0e\x01\x04\0\n？ ……{c[d9456d]}ウロコ{c[ededed]}が１{r2[まい]}枚{/r2} {r2[か]}欠{/r2}けてる\x0e\x01\x04\0
CheckMermaidFigure2	 「{r2[かな]}悲{/r2}しみの{r2[にんぎょ]}人魚{/r2}{r2[ぞう]}像{/r2}」\n        シュール{r2[さく]}作{/r2}\x0e\x01\x04\0
CheckShieldBook	「{r2[たて]}盾{/r2}の{r2[つか]}使{/r2}い{r2[かた]}方{/r2}」\nこの{r2[ほん]}本{/r2}を {r2[よ]}読{/r2}もうかな？\x0e\x01\x07\0\x0e\0\x04\0{r2[よ]}読{/r2}む\x0e\0\x04\0\x0e\x01\t\0{r2[よ]}読{/r2}まない
ReadShieldBook	\x0e\x01\x01\x01\x0dを {r2[お]}押{/r2}している{r2[あいだ]}間{/r2}は {r2[てき]}敵{/r2}の{r2[こうげき]}攻撃{/r2}を\n{c[63e343]}{r2[ふせ]}防{/r2}いだり{c[ededed]} {r2[てき]}敵{/r2}を{c[63e343]}はじいたり {c[ededed]}できます\x0e\x01\x04\0\nさらに ビームも はじき{r2[かえ]}返{/r2}せる\n{c[d9456d]}{r2[かがみ]}鏡{/r2}の{r2[たて]}盾{/r2}{c[ededed]}が あるそうです\x0e\x01\x04\0
CheckItemSelect	「アイテムのセット{r2[ほうほう]}方法{/r2}」\nこの{r2[ほん]}本{/r2}を {r2[よ]}読{/r2}もうかな？\x0e\x01\x07\0\x0e\0\x04\0{r2[よ]}読{/r2}む\x0e\0\x04\0\x0e\x01\t\0{r2[よ]}読{/r2}まない
ReadItemSelect	\x0e\x01\x01\x01\x0eを{r2[お]}押{/r2}すと {c[63e343]}アイテム{r2[がめん]}画面{/r2}{c[ededed]}で\n{r2[も]}持{/r2}っているアイテムを {r2[み]}見{/r2}ることができます\x0e\x01\x04\0\nアイテム{r2[がめん]}画面{/r2}では \x0e\x01\x01\x01\x04 \x0e\x01\x01\x01\x05 それぞれのボタンに\n{r2[す]}好{/r2}きなアイテムを セットできます\x0e\x01\x04\0\nどれも ぼうけんに {r2[やくだ]}役立{/r2}つものばかり。\nいろいろ お{r2[ため]}試{/r2}しあれ！\x0e\x01\x04\0
CheckMapandMemo	「マップ{r2[がめん]}画面{/r2}でできること」\nこの{r2[ほん]}本{/r2}を {r2[よ]}読{/r2}もうかな？\x0e\x01\x07\0\x0e\0\x04\0{r2[よ]}読{/r2}む\x0e\0\x04\0\x0e\x01\t\0{r2[よ]}読{/r2}まない
ReadMapandMemo	\x0e\x01\x01\x01\x0fを{r2[お]}押{/r2}すと {c[63e343]}マップ{r2[がめん]}画面{/r2}{c[ededed]}で\n{r2[しま]}島{/r2}の{r2[ちず]}地図{/r2}を {r2[み]}見{/r2}ることができます\x0e\x01\x04\0\n\x0e\x01\x01\x01\x1bで ズームの{r2[き]}切{/r2}りかえ。\n{r2[み]}見{/r2}えない{r2[ところ]}所{/r2}は まだ {r2[い]}行{/r2}ってない{r2[ところ]}所{/r2}です\x0e\x01\x04\0\n{r2[もくてきち]}目的地{/r2}や あとで また{r2[き]}来{/r2}たい{r2[ばしょ]}場所{/r2}には\n\x0e\x01\x01\x01\x15で {c[63e343]}ピン{c[ededed]}をさすこともできます\x0e\x01\x04\0\n\x0e\x01\x01\x01\x16を{r2[お]}押{/r2}せば {c[63e343]}おもいで{r2[がめん]}画面{/r2}{c[ededed]}で\nぼうけんを ふりかえることができます\x0e\x01\x04\0\nメモを{r2[と]}取{/r2}らなくても よいわけです。\nううーーん べんり！\x0e\x01\x04\0
CheckTurnAttack	「{r2[ひでん]}秘伝{/r2}！ {r2[かいてん]}回転{/r2}{r2[ぎ]}斬{/r2}り」\nこの{r2[ほん]}本{/r2}を {r2[よ]}読{/r2}もうかな？\x0e\x01\x07\0\x0e\0\x04\0{r2[よ]}読{/r2}む\x0e\0\x04\0\x0e\x01\t\0{r2[よ]}読{/r2}まない
ReadTurnAttack	ある{r2[いちぞく]}一族{/r2}の {r2[ち]}血{/r2}を{r2[ひ]}引{/r2}く{r2[もの]}者{/r2}だけに\n{r2[つた]}伝{/r2}わる {r2[ひ]}秘{/r2}{r2[けん]}剣{/r2}が ある\x0e\x01\x04\0\n\x0e\x01\x01\x01/を {r2[お]}押{/r2}し{r2[つづ]}続{/r2}けて {r2[ちから]}力{/r2}をためろ！\nたまったら ボタンをはなすのだ！\x0e\x01\x04\0\nはたして アナタには できるか？\x0e\x01\x04\0
CheckWarpRule	「ワープの{r2[ほうそく]}法則{/r2}」\nこの{r2[ほん]}本{/r2}を {r2[よ]}読{/r2}もうかな？\x0e\x01\x07\0\x0e\0\x04\0{r2[よ]}読{/r2}む\x0e\0\x04\0\x0e\x01\t\0{r2[よ]}読{/r2}まない
ReadWarpRule	この{r2[しま]}島{/r2}には {c[63e343]}「ワープポイント」{c[ededed]}\nというものが あります\x0e\x01\x04\0\nこのワープポイントに {r2[と]}飛{/r2}びこめば\n{r2[ほか]}他{/r2}のワープポイントへ ワープすることができます\x0e\x01\x04\0\nただし {r2[いちど]}一度{/r2}も{r2[み]}見{/r2}たことのないワープポイントには\nワープできません！\x0e\x01\x04\0
CheckLiftBomb	「バクダンは かつげる」\nこの{r2[ほん]}本{/r2}を {r2[よ]}読{/r2}もうかな？\x0e\x01\x07\0\x0e\0\x04\0{r2[よ]}読{/r2}む\x0e\0\x04\0\x0e\x01\t\0{r2[よ]}読{/r2}まない
ReadLiftBomb	{r2[お]}置{/r2}いた バクダンは {r2[まえ]}前{/r2}に{r2[た]}立{/r2}って\n{c[63e343]}\x0e\x01\x01\x010を{r2[お]}押{/r2}せば かつげる{c[ededed]}のです\x0e\x01\x04\0\nかついだバクダンは さらに\n\x0e\x01\x01\x010で {r2[な]}投{/r2}げられます！\x0e\x01\x04\0\n     {r2[し]}知{/r2}ってた？\x0e\x01\x04\0
CheckIslandMap	「コホリント{r2[じま]}島{/r2}の{r2[ちず]}地図{/r2}」\n{r2[しま]}島{/r2}の{r2[かくち]}各地{/r2}の {r2[ちめい]}地名{/r2}が{r2[か]}書{/r2}いてある\x0e\x01\x04\0\nこの{r2[ちず]}地図{/r2}を {r2[み]}見{/r2}ようかな？\x0e\x01\x07\0\x0e\0\x04\0{r2[み]}見{/r2}る\x0e\0\x04\0\x0e\x01\t\0{r2[み]}見{/r2}ない
CheckSecretBook	「ヒミツの{r2[ほん]}本{/r2}？！」\nこの{r2[ほん]}本{/r2} {r2[よ]}読{/r2}みたい……？\x0e\x01\x07\0\x0e\0\x04\0うん！\x0e\0\x04\0\x0e\x01\t\0べ {r2[べつ]}別{/r2}に
BadSecretBook	おおっと！ こ これはっ！\x0e\x01\x04\0\x0e\0\x04\0……………………\n……………………\x0e\x01\x04\0\nこの{r2[ほん]}本{/r2}は{c[d9456d]}{r2[みとお]}見通{/r2}しレンズ{c[ededed]}がなければ {r2[よ]}読{/r2}めません。\n…レンズの{r2[ばしょ]}場所{/r2}？ {r2[ひとだす]}人助{/r2}けするといいよ！\x0e\x01\x04\0
CheckSecretBook1	めぐるめぐる タマゴの ロウカ\n \x0e\x01\x02\x01\0 \x0e\x01\x02\x01\x01 \x0e\x01\x02\x01\x02 \x0e\x01\x02\x01\x03 \x0e\x01\x02\x01\x04 \x0e\x01\x02\x01\x05 \x0e\x01\x02\x01\x06 \x0e\x01\x02\x01\x07\x0e\x01\x04\0\n？？ ……うーん\nヒミツのニオイが するゾ\x0e\x01\x04\0
TouchTailKeyhole	ムッ こんなところに カギ{r2[あな]}穴{/r2}が？\n{c[d9456d]}テールのカギ{r2[あな]}穴{/r2}{c[ededed]}と {r2[か]}書{/r2}いてある\x0e\x01\x04\0
TouchSlimeKeyhole	ムッ こんなところに カギ{r2[あな]}穴{/r2}が？\n{c[d9456d]}スライムのカギ{r2[あな]}穴{/r2}{c[ededed]}だってさ\x0e\x01\x04\0
TouchAnglerKeyhole	ムッ こんなところに カギ{r2[あな]}穴{/r2}が？\n{c[d9456d]}アングラーのカギ{r2[あな]}穴{/r2}{c[ededed]}だってさ\x0e\x01\x04\0
TouchBirdKeyhole	ムッ こんなところに カギ{r2[あな]}穴{/r2}が？\n{c[d9456d]}バードのカギ{r2[あな]}穴{/r2}{c[ededed]}と{r2[か]}書{/r2}いてある\x0e\x01\x04\0
TouchFaceKeyhole	ムッ こんなところに カギ{r2[あな]}穴{/r2}が？\n{c[d9456d]}フェイスのカギ{r2[あな]}穴{/r2}{c[ededed]}だってさ\x0e\x01\x04\0
LockColorDungeon	「ひとりで いどむ {r2[ゆうき]}勇気{/r2}がない{r2[もの]}者{/r2}\n{r2[ちから]}力{/r2}なき{r2[もの]}者{/r2}！\x0e\x01\x04\0\nそのような{r2[もの]}者{/r2}が {r2[お]}押{/r2}しても\nこの{r2[はか]}墓{/r2}は {r2[うご]}動{/r2}かせぬ！」\x0e\x01\x04\0
CheckColorPower	「{r2[いろ]}色{/r2}の{r2[ちから]}力{/r2}について」\nこの{r2[ほん]}本{/r2}を {r2[よ]}読{/r2}んでみる？\x0e\x01\x07\0\x0e\0\x04\0{r2[よ]}読{/r2}む\x0e\0\x04\0\x0e\x01\t\0{r2[よ]}読{/r2}まない
ReadColorPower	{r2[ひ]}秘{/r2}められし {r2[いろ]}色{/r2}の{r2[ちから]}力{/r2}\n５つ{r2[なら]}並{/r2}ぶ {r2[はか]}墓{/r2}の{r2[ちか]}地下{/r2}にあり\x0e\x01\x04\0\n３\x0e\x01\0\x01\x12  ４\x0e\x01\0\x01\x14  ５\x0e\x01\0\x01\x12\n２\x0e\x01\0\x01\x15  １\x0e\x01\0\x01\x13  　　\x0e\x01\x04\0\n{r2[ちから]}力{/r2}の{r2[かぎ]}限{/r2}り {r2[お]}押{/r2}し{r2[つづ]}続{/r2}けるべし\n{r2[あたら]}新{/r2}しき {r2[みち]}道{/r2}が {r2[ひら]}開{/r2}かれる！\x0e\x01\x04\0\n{r2[しかく]}資格{/r2}のある{r2[もの]}者{/r2}には\n{r2[いろ]}色{/r2}の{r2[ちから]}力{/r2}が {r2[ふく]}服{/r2}に {r2[やど]}宿{/r2}る\x0e\x01\x04\0\nうむむ？ ……これって\nどういうことだろう？\x0e\x01\x04\0
GetShellRader	{c[d9456d]}{r2[かい]}貝{/r2}がらセンサー{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\n{r2[ちか]}近{/r2}くに{r2[かい]}貝{/r2}がらがあると お{r2[し]}知{/r2}らせしてくれる！\x0e\x01\x04\0
GetHeartContainer	{c[d9456d]}ハートの{r2[うつわ]}器{/r2}{c[ededed]}を {r2[て]}手{/r2}に{r2[い]}入{/r2}れた！\nハートの{r2[さいだいち]}最大値{/r2}が{r2[ふ]}増{/r2}えた！ {r2[たいりょく]}体力{/r2}も{r2[ぜんかいふく]}全回復{/r2}！\x0e\x01\x04\0
PanelTheme1_1	キソをおぼえるダ
PanelTheme1_2	きめられたパネルを{r2[お]}置{/r2}くダ
PanelTheme1_3	はなれたパネルをつなぐダ
PanelTheme1_4	ハートまんたんダ！
PanelTheme2_1	{r2[たからばこ]}宝箱{/r2}をめざすダ
PanelTheme2_2	ダンジョンはばくはつダ
PanelTheme2_3	お{r2[たから]}宝{/r2}の{r2[くら]}蔵{/r2}に{r2[はい]}入{/r2}るダ
PanelTheme2_4	はなれたパネルをつなぐダ ２
PanelTheme3_1	たくさん{r2[かいだん]}階段{/r2}を{r2[お]}置{/r2}くダ
PanelTheme3_2	ハートが{r2[すく]}少{/r2}ないダ
PanelTheme3_3	{r2[けん]}剣{/r2}が{r2[つか]}使{/r2}えないダ
PanelTheme3_4	５{r2[ふん]}分{/r2}でクリアするダ
PanelTheme4_1	{r2[けん]}剣{/r2}の{r2[かたち]}形{/r2}で{r2[う]}埋{/r2}めるダ
PanelTheme4_2	{r2[たて]}盾{/r2}の{r2[かたち]}形{/r2}で{r2[う]}埋{/r2}めるダ
PanelTheme4_3	{r2[とお]}遠{/r2}くのマモノをたおすダ
PanelTheme4_4	オカリナの{r2[かたち]}形{/r2}で{r2[う]}埋{/r2}めるダ
PanelTheme4_5	ヒノックスのおやしきダ
PanelTheme4_6	{r2[いりぐち]}入口{/r2}にもどされるダ
PanelTheme4_7	{r2[て]}手{/r2}をかりるのも {r2[て]}手{/r2}ダ
PanelTheme4_8	タテタテ ヨコヨコ ダ
PanelTheme4_9	{r2[かいだん]}階段{/r2}ばっかりダ
PanelTheme4_10	お{r2[たから]}宝{/r2}の{r2[やま]}山{/r2}ダ
PanelTheme4_11	ダンジョンと{r2[い]}言{/r2}えばドクロ ダ
PanelTheme4_12	この{r2[かたち]}形{/r2}がいちばんダ
PanelExplanation1_1	スタートとゴールのボスパネルは オラが{r2[お]}置{/r2}いたから\nあとは {r2[ても]}手持{/r2}ちのパネルでつないでみるダ。\n\n{r2[たからばこ]}宝箱{/r2}があるパネルも{r2[お]}置{/r2}いてあるから\n{c[d9456d]}つながっていない{r2[つうろ]}通路{/r2}{c[ededed]}が{r2[な]}無{/r2}いか{r2[ちゅうい]}注意{/r2}するダ
PanelExplanation1_2	{r2[たからばこ]}宝箱{/r2}や カギのマークのあるマスには\n{r2[おな]}同{/r2}じマークのパネルを{r2[お]}置{/r2}かなきゃならねえダ。\n\nカギのマークのパネルには {c[d9456d]}カギで{r2[ひら]}開{/r2}くトビラ{c[ededed]}があるから\n{r2[さき]}先{/r2}に {r2[たからばこ]}宝箱{/r2}から{c[d9456d]}カギ{c[ededed]}が{r2[て]}手{/r2}に{r2[はい]}入{/r2}るように {r2[つうろ]}通路{/r2}をつなぐダ
PanelExplanation1_3	{r2[しゅうい]}周囲{/r2}の {c[d9456d]}マスがブロックされているところ{c[ededed]}には\n{r2[そと]}外{/r2}からパネルを{r2[お]}置{/r2}いて {r2[つうろ]}通路{/r2}でつなぐことができねえダ。\n\n{r2[つうろ]}通路{/r2}でつなぐことのできねえパネルをつなぐには\n{c[d9456d]}{r2[かいだん]}階段{/r2}のマークのパネル{c[ededed]}を{r2[つか]}使{/r2}ってみるといいダ
PanelExplanation1_4	ハートの{r2[かたち]}形{/r2}に パネルを うめるダよ。\nどこに どんなパネルを{r2[お]}置{/r2}くかは おめえの{r2[じゆう]}自由{/r2}ダ。\n\n{c[d9456d]}ぜんぶのマスを うめなきゃならねえ{c[ededed]}から\n{r2[つうろ]}通路{/r2}や{r2[かいだん]}階段{/r2}を うまく つなげるダよ
PanelExplanation2_1	はじめから{r2[お]}置{/r2}かれた カギで{r2[ひら]}開{/r2}くトビラのあるパネルと\n{r2[たからばこ]}宝箱{/r2}のマークのあるマスを パネルでつなぐダ。\n\n{r2[たからばこ]}宝箱{/r2}のマークのマスが ちょっと はなれているから\nそこを どう つなぐかは おめえのセンスがとわれるダな
PanelExplanation2_2	はじめから{r2[お]}置{/r2}かれた パネルをつないで\nバクダンの{r2[かたち]}形{/r2}を パネルで うめるダ。\n\nぜんぶのマスを うめても ばくはつはしねーから\n{r2[お]}落{/r2}ちついて お{r2[だい]}題{/r2}をとくダ
PanelExplanation2_3	ブロックでかこまれた{r2[なか]}中{/r2}に {r2[たからばこ]}宝箱{/r2}のパネルを{r2[お]}置{/r2}くダ。\nそこに{r2[そと]}外{/r2}からパネルをつなぐ{r2[ほうほう]}方法{/r2}は もう わかるダな？
PanelExplanation2_4	ブロックでかこまれた はなれたパネルを\nつなぐっていう お{r2[だい]}題{/r2}の ばーじょん２ダ。\n\n{r2[いま]}今{/r2}までやってきたことの おさらいダよ。\nさあ おめえなら どんなダンジョンを{r2[つく]}作{/r2}るダ？
PanelExplanation3_1	{r2[かいだん]}階段{/r2}のあるパネルは ２つが{r2[つい]}対{/r2}になるのは{r2[し]}知{/r2}ってるダな？\nこのお{r2[だい]}題{/r2}には それが５つある。 ってことは…\n\nあっちのパネルが こっちのパネルとつながって…\nうーん {r2[かんが]}考{/r2}えたオラまで {r2[あたま]}頭{/r2}がこんがらがるダ
