FlowchartMsg_JPja_szs\ActivityAchievements.msbt
Conjunction00	さらに…!
S_SB51	\x0e\n\x16\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0あら!? あなたが 着ているのは\n\x0e\0\x03\x02\0\0バランスマスター\x0e\0\x03\x02ÿÿじゃない??\nちょっとだけ 貸して下さらないかしら??
S_SB16	ワシは目覚めたらまず \n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0{d}\x0e\0\x03\x02ÿÿを\n一杯飲むことにしとるんだ!
S_SB17	\x0e\n\x15\x0e\x0c\0H\0a\0p\0p\0y\00\0すきっ腹に\x0e\0\x03\x02\0\0リンゴと玉ねぎのスープ\x0e\0\x03\x02ÿÿが\nスーッと染み渡ってくる あの感じが好きでな
S_SB19	\x0e\n\x15\x0e\x0c\0T\0h\0i\0n\0k\00\0ただ材料の\x0e\0\x03\x02\0\0りんご\x0e\0\x03\x02ÿÿが \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物のせいで\n手に入りにくくなってな\n……最近は あまり飲めていないんだ
S_SB20	……そこでボウズ
S_SB21	……そこで嬢ちゃん
S_SB22	\x0e\n\x15\x0c\n\0C\0a\0l\0l\01\0俺に\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0リンゴと玉ねぎのスープ\x0e\0\x03\x02ÿÿを\n持ってきてくれないか? 礼は弾むからさ!
S_SB23	\x0e\n\x15\x0e\x0c\0P\0a\0n\0i\0c\00\0そんなこと言わずに 頼むよぉ\nオッちゃんの 唯一の楽しみなんだよぉ
S_SB24	\x0e\n\x15\x0e\x0c\0L\0a\0u\0g\0h\01\0{s[150]}そう来なくっちゃ!{s[100]}
S_SB25	\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0{d}\x0e\0\x03\x02ÿÿだからな!\n礼は弾むし 頼んだぜ!
S_SB26	\x0e\n\x15\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\00\0{s[150]}これだよ これ!{s[100]}
S_SB27	\x0e\n\x15\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0うーん\nこの色 この香り……\nやっぱり俺にはこれしかないよ! 
S_SB28	無理言ってすまなかったな\nこれは礼だ
S_SB29	\x0e\n\x15\x0e\x0c\0T\0h\0i\0n\0k\00\0……でも明日から\nどうやって調達したもんかな……
S_SB50	\x0e\n\x15\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0甘すぎず コクもあるのに さっぱりしている\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0リンゴと玉ねぎのスープ\x0e\0\x03\x02ÿÿを 飲める幸せ!
FlowchartMsg_JPja_szs\Sub_Smoothie.msbt
Sub00	今受けている依頼を中断して\n新しく依頼を受けますか?\x0e\x01\x04\x06\x04\0\x05\0\x01\0
0004	引き受けない
0005	引き受ける
Sub01	この依頼を断りますか?\x0e\x01\x04\x06\x01\0\0\0\x01\0
Sub10	『\x0e\0\x03\x02\x01\0シャドーパッシオーネ\x0e\0\x03\x02ÿÿを着よう!』\nこの依頼を断りますか?\x0e\x01\x04\x06\x01\0\0\0\x01\0
Sub11	『\x0e\0\x03\x02\x01\0ソレイユダンサー\x0e\0\x03\x02ÿÿを着よう!』\nこの依頼を断りますか?\x0e\x01\x04\x06\x01\0\0\0\x01\0
Sub13	『\x0e\0\x03\x02\x01\0クールロボティクス\x0e\0\x03\x02ÿÿを着よう!』\nこの依頼を断りますか?\x0e\x01\x04\x06\x01\0\0\0\x01\0
Sub14	『\x0e\0\x03\x02\x01\0アブドミナルマスター\x0e\0\x03\x02ÿÿを着よう!』\nこの依頼を断りますか?\x0e\x01\x04\x06\x01\0\0\0\x01\0
Sub15	『\x0e\0\x03\x02\x01\0ストームダンサー\x0e\0\x03\x02ÿÿを着よう!』\nこの依頼を断りますか?\x0e\x01\x04\x06\x01\0\0\0\x01\0
0000	断る
0001	続ける
Sub02	おヌシ \x0e\0\x03\x02\0\0モグラたたき\x0e\0\x03\x02ÿÿが遊べる\x0e\0\x03\x02\0\0遊技場\x0e\0\x03\x02ÿÿには\nもう行ったかいのぅ?\n\x0e\0\x03\x02\0\0モグラたたき\x0e\0\x03\x02ÿÿ一筋50年\nワシは そこの\x0e\0\x03\x02\0\0ぐらんどちゃんぴおん\x0e\0\x03\x02ÿÿなんじゃ
Sub16	\x0e\n\x17\x10\x0e\0D\0a\0m\0a\0g\0e\00\0もちろん 一番のちゃんぴおんは\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0ドラゴ\x0e\0\x03\x02ÿÿ様じゃが……
Sub03	\x0e\n\x17\x0c\n\0C\0a\0l\0l\01\0おヌシ なかなか見どころありそうだのぅ\n\nちょっとワシと腕比べといかんか?
Sub04	\x0e\n\x17\n\x08\0S\0a\0d\00\0ちっとは骨があるかと思ったが……\nふうむ…… つまらんのぅ
Sub05	\x0e\n\x17\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\01\0なんだ?\n怖気づいたか?\nまあ ワシは\x0e\0\x03\x02\0\0モグラたたき\x0e\0\x03\x02ÿÿの\n\x0e\0\x03\x02\0\0ぐらんどおちゃんぴおん\x0e\0\x03\x02ÿÿ! \n怖気づくのもわからんではないがな!
Sub06	\x0e\n\x17\x0e\x0c\0L\0a\0u\0g\0h\00\0おヌシがどんな記録を出すのか\n楽しみだのぅ
Sub07	\x0e\n\x17\n\x08\0S\0a\0d\01\0まさかワシの……\n\x0e\0\x03\x02\0\0ぐらんどちゃんぴおん\x0e\0\x03\x02ÿÿの記録が抜かれるとは…
Sub08	悔しいが さすがという以外なかろう\nこれはワシが今まで受け取ってきた賞金じゃ
Sub09	\x0e\n\x17\x0c\n\0C\0a\0l\0l\01\0\x0e\0\x03\x02\0\0新しいちゃんぴおん\x0e\0\x03\x02ÿÿが現れたら\n渡そうと思っとったんじゃ
FlowchartMsg_JPja_szs\Sub_TrueMirror.msbt
S_TM00	\x0e\n\x12\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0また会ったね!\nこの前は助けてくれてありがとう!
S_TM01	\x0e\n\x12\n\x08\0S\0a\0d\00\0散々な目にあったけど……
S_TM02	\x0e\n\x12\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\00\0でも世界一ヒップラインが美しいって言われて\nちょっと うれしかったから\nヒップアップ教室を開くことにしたの!
S_TM03	君もレッスン受けて行かない?\n\n今ならオープン記念で レッスンクリア時に\nご褒美ノベルティプレゼント中だよ!
S_TM04	\x0e\n\x12\n\x08\0S\0a\0d\00\0残念……\nけっこう いいノベルティ用意したんだけどね
S_TM05	\x0e\n\x12\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0そうこなくっちゃ!\n\nレッスンは この先の\x0e\0\x03\x02\0\0レッグンレール\x0e\0\x03\x02ÿÿ!\n\x0e\0\x03\x02\0\0フィットスキル\x0e\0\x03\x02ÿÿもこっちが選んだものだけ!\n私が考えた 美尻強化コースよ!
S_TM06	\x0e\n\x12\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0レッスンは この先の\x0e\0\x03\x02\0\0レッグンレール\x0e\0\x03\x02ÿÿ!\n\x0e\0\x03\x02\0\0フィットスキル\x0e\0\x03\x02ÿÿもこっちが選んだものだけ!\n私が考えた 美尻強化コースよ!\n\nそれに 今ならオープン記念で\nレッスンクリア時にノベルティプレゼント中よ!
S_TM07	\x0e\n\x12\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0お疲れ様でした!\n\nはい これ\nご褒美ノベルティ!
S_TM08	\x0e\n\x12\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0どうだった?\n私の美尻強化コースは?\nここのコースは 下半身に効果的な\n運動がそろってるから 私もよく来てるの!\n君も 下半身が気になったら\nここに来るといいかもね
FlowchartMsg_JPja_szs\Sub_Wing.msbt
Sub00	今受けている依頼を中断して\n新しく依頼を受けますか?\x0e\x01\x04\x06\x04\0\x05\0\x01\0
0004	引き受けない
0005	引き受ける
Sub01	この依頼を断りますか?\x0e\x01\x04\x06\x01\0\0\0\x01\0
0000	断る
0001	続ける
Wing_00	\x0e\n\x11\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\00\0またお会いしましたね!\n\n僕のジイちゃんは\nこの村一番の発明家なのです!\n僕は『魔物を倒すロボ』を作って\nジイちゃんを驚かそうと思ってるんです!\nスゴイでしょ!
Wing_03	\x0e\n\x11\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\01\0アナタは 大変強いとジイちゃんから聞きました\n魔物退治を見学させてもらえませんか?
Wing_04	\x0e\n\x11\n\x08\0S\0a\0d\00\0頼れるのは おニイさんしか\nいなかったんですが……
Wing_05	\x0e\n\x11\n\x08\0S\0a\0d\00\0頼れるのは おネエさんしか\nいなかったんですが……
Wing_06	\x0e\n\x11\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0{s[150]}ありがとうございます!{s[100]}\n\nさっそく \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物が沢山いる場所に\n案内しますね!
Wing_07	\x0e\n\x11\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0{s[150]}スゴい スゴかったです!!!{s[100]}
Wing_08	\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物って\nあんな風に倒すんですね!
Wing_09	\x0e\n\x11\n\x08\0S\0a\0d\01\0ボク……発明は得意なのですが\n戦いとなると てんでダメでして……
Wing_10	\x0e\n\x11\x0e\x0c\0H\0a\0p\0p\0y\00\0これお礼です!
Wing_11	\x0e\n\x11\x0c\n\0C\0a\0l\0l\01\0今日の事 忘れないうちに メモっておかないと!\nでは失礼します!
Wing_12	\x0e\n\x11\x1c\x1a\0T\0a\0l\0k\0P\0o\0s\0i\0t\0i\0v\0e\00\0準備は出来ましたか?\nなら 魔物退治に早速出発ですよ!
Wing_13	\x0e\n\x12\x0e\x0c\0T\0h\0i\0n\0k\01\0{s[075]}……魔物と戦わないですむ方法\n……魔物と戦わないで……{s[100]}
Wing_14	\x0e\n\x12\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\01\0{s[150]}あっ そうだ!{s[100]}
Wing_15	\x0e\n\x12\x0e\x0c\0H\0a\0p\0p\0y\00\0避ければいいだけじゃない!
Wing_16	\x0e\n\x12\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物がいたら\nぴょーんって飛んで避けるの!\n助走して スピードつけて～\n\nそれから たか～く ジャンプして～
Wing_44	…………\n…………
Wing_45	\x0e\n\x12\x0e\x0c\0T\0h\0i\0n\0k\00\0本当に 飛んで\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物を\n避けられるかしら!?
Wing_17	誰か 実際にお手本を\n見せてくれるといいんだけど……
Wing_18	\x0e\n\x12\x0c\n\0S\0a\0d\0L\00\0\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物を 飛んで避けられたら\n楽に 生きていけそうなのになぁ……
Wing_19	\x0e\n\x12\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0え? アナタが \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物の避け方\n教えてくれるの?
Wing_23	\x0e\n\x12\x0e\x0c\0H\0a\0p\0p\0y\00\0{s[150]}かっこよかった!{s[100]}
Wing_24	\x0e\n\x12\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0助走して \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物に近づいて\n思いっきり ジャンプすると 避けられるのね!!
Wing_25	\x0e\n\x12\n\x08\0S\0a\0d\00\0あたし に出来るかしら……!?
Wing_46	\x0e\n\x12\x0e\x0c\0T\0h\0i\0n\0k\00\0{s[075]}……魔物を避けないですむ方法\n……魔物を避けないですむ方法……ないかしら……{s[100]}
Wing_27	\x0e\n\x15\x0e\x0c\0P\0a\0n\0i\0c\00\0君!! いいところに来てくれたね!\n大変なんだ!!!!
Wing_28	\x0e\n\x15\x0e\x0c\0P\0a\0n\0i\0c\01\0私の孫が……\n孫が 戻ってこないんだ……
Wing_29	\x0e\n\x15\n\x08\0S\0a\0d\00\0\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物を倒すためのロボを作って\n世の中を驚かせるんだと\n張り切っていたところまでは\nよかったんだが
Wing_30	もう少し \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物の生態を知りたいと\n調査に行ったっきり 戻ってこないんだ……
Wing_31	\x0e\n\x15\x0e\x0c\0P\0a\0n\0i\0c\00\0たった一人の孫なんだ……\n\nお願いだ……\n孫を……\x0e\0\x03\x02\0\0チュクロ\x0e\0\x03\x02ÿÿを探してきてくれないか?
Wing_32	\x0e\n\x15\x0e\x0c\0P\0a\0n\0i\0c\01\0こんな時に 役に立たないなんて\n発明家として 私は失格だ……
Wing_33	\x0e\n\x15\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0ありがとうございます!!!!
Wing_34	アナタだけが頼りなんです\n孫を…… \x0e\0\x03\x02\0\0チュクロ\x0e\0\x03\x02ÿÿをよろしくお願いします
Wing_35	\x0e\n\x11\x0e\x0c\0P\0a\0n\0i\0c\00\0わーん ジイちゃーん!\n怖かったよーー!!
Wing_36	\x0e\n\x15\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\00\0おお! 孫よ!
Wing_37	\x0e\n\x11\x0e\x0c\0P\0a\0n\0i\0c\01\0ごめんよ…… 出口に\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物がいて\n出て来られなかったんだ
Wing_38	\x0e\n\x11\x0e\x0c\0H\0a\0p\0p\0y\01\0でもおネエさんが\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物をドーンって吹っ飛ばしてくれたんだ!
Wing_39	\x0e\n\x11\x0e\x0c\0H\0a\0p\0p\0y\01\0でもおニイさんが\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物をドーンって吹っ飛ばしてくれたんだ!
Wing_40	\x0e\n\x15\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0ありがとうございます\n\nアナタには何から何まで\n助けられっぱなしですね……\nこんな事しかできませんが\nこちらをお納めください
Wing_41	\x0e\n\x15\x0c\n\0C\0a\0l\0l\01\0さあ 孫よ\n帰ろうか
Wing_42	\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\00\0おネエさんありがとね!\n\n今度 会う時までには\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物と戦うロボ\n作っちゃうからね!!
Wing_43	\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\00\0おニイさんありがとね!\n\n今度 会う時までには\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物と戦うロボ\n作っちゃうからね!!
Wing_47	\x0e\n\x11\x0e\x0c\0T\0h\0i\0n\0k\00\0……ロボの名前は
Wing_48	\x0e\n\x11\x0e\x0c\0H\0a\0p\0p\0y\01\0魔物討伐ロボ \x0e\x0b\0\0!
Wing_49	\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\00\0……へへっ!\nおネエさんの名前 借りちゃった!
Wing_50	\x0e\n\x11\x0e\x0c\0L\0a\0u\0g\0h\00\0……へへっ!\nおニイさんの名前 借りちゃった!
Wing_51	隠れているチュクロを見つけた
FlowchartMsg_JPja_szs\Sub_WolfBoy.msbt
S_WB00	クラスで一番 足が遅かった子が\nいたんだけど……
S_WB01	最近 その子 走るのが速くなってきて\n僕がビリになりそうなんだ……
S_WB02	\x0e\n\x11\x10\x0e\0N\0o\0t\0i\0c\0e\00\0お姉ちゃん……\n走るの速そうだね……
S_WB03	\x0e\n\x11\x10\x0e\0N\0o\0t\0i\0c\0e\00\0お兄ちゃん……\n走るの速そうだね……
S_WB04	お兄ちゃんが走る姿見たら\n僕も 速く走れる気がするんだけどなぁ…… 
S_WB05	お姉ちゃんが走る姿見たら\n僕も 速く走れる気がするんだけどなぁ…… 
S_WB06	\x0e\n\x11\n\x08\0S\0a\0d\00\0どうしよう……\nこのままじゃ ビリになっちゃうよ……
S_WB07	\x0e\n\x11\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0わー!\nありがとう!!
S_WB08	楽しみだなぁ
S_WB09	\x0e\n\x11\x0e\x0c\0H\0a\0p\0p\0y\01\0お姉ちゃんが本気で走ったら\nすっごい速いんだろうね!
S_WB10	\x0e\n\x11\x0e\x0c\0H\0a\0p\0p\0y\01\0お兄ちゃんが本気で走ったら\nすっごい速いんだろうね!
S_WB11	す……
S_WB12	\x0e\n\x11\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0{s[150]}すごいね お姉ちゃん!{s[100]}
S_WB13	\x0e\n\x11\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0{s[150]}すごいね お兄ちゃん!{s[100]}
S_WB14	なんだか 僕も速く走れそうな気がしたよ!\nありがとう!!
S_WB15	お礼にコレあげる!
S_WB16	\x0e\n\x11\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\00\0……へへへ \nクラスで一番 速くなっちゃうかも……!
S_WB17	\x0e\n\x15\x0e\x0c\0T\0h\0i\0n\0k\00\0最近 なんだか\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物達が\n増えた 気がするんだよなぁ……
S_WB18	お前さん みたところ腕が立ちそうだが\nどうだ? ちょっと頼まれてくれないか?
S_WB19	\x0e\n\x15\x0c\n\0C\0a\0l\0l\01\0なあに 簡単な事だ\nこの辺りを ちょっと見回ってくるだけだ
S_WB20	ただ もし\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物を見つけた時は\n見過ごさず 全部倒してくれよ!
S_WB21	\x0e\n\x15\n\x08\0S\0a\0d\01\0この村に 腕の立つ若者がいればなぁ……
S_WB22	\x0e\n\x15\x0e\x0c\0L\0a\0u\0g\0h\01\0おお!\n助かるよ!
S_WB23	\x0e\n\x15\x10\x0e\0N\0o\0t\0i\0c\0e\00\0\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物を見かけたのに\n見過ごした場合は 報酬は払えないからな
S_WB24	\x0e\n\x15\x0c\n\0E\0a\0s\0e\01\0全く なんでこんなに物騒に\nなっちまったんだろう
S_WB25	\x0e\n\x15\x0e\x0c\0H\0a\0p\0p\0y\01\0お!\nどうだった? \n…………\n…………
S_WB26	\x0e\n\x15\x0e\x0c\0T\0h\0i\0n\0k\01\0そうかやっぱり\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物がいたか……
S_WB27	\x0e\n\x15\x0e\x0c\0H\0a\0p\0p\0y\01\0ありがとう!\n見てきてもらったところは もう安心だな!\nこれは約束の報酬だ!
S_WB28	\x0e\n\x15\x0e\x0c\0H\0a\0p\0p\0y\00\0また頼むよ!!\n\n…………\n…………
S_WB53	\x0e\n\x15\x10\x0e\0N\0o\0t\0i\0c\0e\00\0……ん??\n\nオレがパトロールすれば\nいいんじゃないかって??\n…………\n…………\n\x0e\n\x15\x0e\x0c\0T\0h\0i\0n\0k\00\0まぁそこは 深く考えない方が\nいいところだぜ!
S_WB36	\x0e\n\x15\x0e\x0c\0A\0n\0g\0r\0y\01\0自分の身は自分で守る!
S_WB37	\x0e\n\x15\x0c\n\0E\0a\0s\0e\01\0って 言いたいところなんだけど\nあまり 体力ないしね……\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物と バトルってのは\n無理な話だよなぁ……\n……で 思ったんだ!
S_WB54	\x0e\n\x15\x0c\n\0E\0a\0s\0e\01\0って 言いたいところなんだけど\n寝てないせいか…… 力でなくて……\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物と バトルってのは\n無理な話だよなぁ……\n……で 思ったんだ!
S_WB38	\x0e\n\x15\x0e\x0c\0H\0a\0p\0p\0y\00\0バトルができないなら\nジャンプで避けたら いいって!
S_WB39	それで 今ちょうど \x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物を避ける師匠を\n探してたところなんだ!
S_WB40	君……\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物を避けられる人 知らない?
S_WB41	\x0e\n\x15\n\x08\0S\0a\0d\00\0まあ そんなに都合よく\nいるわけないか……
S_WB42	\x0e\n\x15\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0S\00\0え? 君 できるの?
S_WB43	\x0e\n\x15\x0e\x0c\0L\0a\0u\0g\0h\01\0すごいなぁ……!\n\nいや～\n言ってみるもんだね!
S_WB44	\x0e\n\x15\x0e\x0c\0T\0h\0i\0n\0k\00\0でも……\n本当に?
S_WB45	疑ってるわけじゃないけどね\n\nまずは ちょっとお手本見せてほしいなぁと……
S_WB46	\x0e\n\x15\x0e\x0c\0T\0h\0i\0n\0k\00\0いや……\n君の事を疑ってるわけじゃないんだ!\nただ ちょっと\nお手本を見せてほしいなぁと……
S_WB47	\x0e\n\x15\x18\x16\0S\0u\0r\0p\0r\0i\0s\0e\0_\0L\01\0すごい!\n本当に 全部ジャンプして避けちゃったよ!
S_WB48	\x0e\n\x15\x0e\x0c\0A\0n\0g\0r\0y\00\0いいものを 見せていただき\nありがとうございました!
S_WB49	これからは……
S_WB50	\x0e\n\x15\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0師匠!
S_WB51	と 呼ばせていただきたいところですが……
S_WB52	\x0e\n\x15\x0e\x0c\0T\0h\0i\0n\0k\00\0ジャンプも\nそんなに簡単じゃなさそうだし\n\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ魔物を見かけた時は\nやっぱり逃げることにします
FlowchartMsg_JPja_szs\Sub_Yomi.msbt
S_YM00	\x0e\n\x14\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0アナタが今日のお掃除当番?\n今日のお掃除は \x0e\0\x03\x02\0\0ウンドウ浄土\x0e\0\x03\x02ÿÿよ!
S_YM01	\x0e\n\x14\x0e\x0c\0A\0n\0g\0r\0y\00\0全く! あんなキレイな場所に\n誰がゴミなんか捨てたのかしら!
S_YM02	\x0e\n\x14\x0c\n\0C\0a\0l\0l\01\0今日の目標は\x0e\0\x01\x02\0\0\x0e\0\x01\x02ÿÿ\x0e\0\x03\x02\0\0ゴミ \x0eú\x01\x04\0\0\0Í個\x0e\0\x03\x02ÿÿ!\nさあ 早速行きましょうか?
S_YM03	\x0e\n\x14\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\01\0あら…… アナタお掃除当番の方じゃないの?\nでも覚えておくといいわ\nお掃除は 思い立った時にやらないと\n面倒になるだけよ
S_YM04	\x0e\n\x14\x0c\n\0C\0a\0l\0l\00\0さあ 張り切って\nお掃除がんばりましょう!
S_YM05	\x0e\n\x14\x0e\x0c\0L\0a\0u\0g\0h\00\0お疲れ様!\n\nアナタのお陰で \x0e\0\x03\x02\0\0ウンドウ浄土\x0e\0\x03\x02ÿÿも\nいつもの美しい姿に戻ったわ!
S_YM06	\x0e\n\x14\x0e\x0c\0H\0a\0p\0p\0y\01\0アナタ なかなか素晴らしいお掃除センス\n持ってるじゃない!\nうん 決めた! アナタを 今日から\nこの国の美化委員に 任命しちゃいます!\n私は 美化委員長の\x0e\0\x03\x02\0\0クリーナ\x0e\0\x03\x02ÿÿよ!\nこれからよろしくね!
S_YM07	\x0e\n\x14\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0待ってたわ!\n今日のお掃除は \x0e\0\x03\x02\0\0ヨーガー浄土\x0e\0\x03\x02ÿÿよ!
S_YM08	\x0e\n\x14\x0e\x0c\0A\0n\0g\0r\0y\00\0誰が置いたのか あんなキレイな場所に\n木箱が散乱してるのよ!!
S_YM09	\x0e\n\x14\x0c\n\0C\0a\0l\0l\01\0今日の目標は\x0e\0\x03\x02\0\0木箱 \x0eú\x01\x04\0\0\0Í個\x0e\0\x03\x02ÿÿ!\nさあ 早速行きましょうか?
S_YM10	\x0e\n\x14\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\01\0あら…… お掃除に来てくれたんじゃないの?\nでも覚えておくといいわ\nお掃除は 思い立った時にやらないと\n面倒になるだけよ
S_YM11	\x0e\n\x14\x0c\n\0C\0a\0l\0l\00\0さあ 張り切って\nお掃除がんばりましょう!
S_YM12	\x0e\n\x14\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0お疲れ様!\n\nアナタのお陰で \x0e\0\x03\x02\0\0ヨーガー浄土\x0e\0\x03\x02ÿÿも\nいつもの美しい姿に戻ったわ!
S_YM32	\x0e\n\x14\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0……しっかし やるじゃない!
S_YM33	木箱の壊し方が キレイなのよね\n本当にセンスを 感じるわ
S_YM13	\x0e\n\x14\x0c\n\0C\0a\0l\0l\01\0私の目に狂いはなかったわ\nアナタを 美化委員に任命して大正解だわ!\nさあ この調子で\n\x0e\0\x03\x02\0\0黄泉の国\x0e\0\x03\x02ÿÿをお掃除しちゃいましょう!
S_YM14	\x0e\n\x14\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0待ってたわ!\n今日のお掃除は \x0e\0\x03\x02\0\0サバキノ関所\x0e\0\x03\x02ÿÿよ!
S_YM15	\x0e\n\x14\x0e\x0c\0A\0n\0g\0r\0y\00\0どこから落ちてきたのか\nあんなキレイな場所が 岩だらけなのよ!
S_YM16	\x0e\n\x14\x0c\n\0C\0a\0l\0l\00\0今日の目標は その岩全てを壊すことよ!\n……さあ 早速行きましょうか?
S_YM17	\x0e\n\x14\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\01\0あら…… お掃除に来てくれたんじゃないの?\nでも覚えておくといいわ\nお掃除は 思い立った時にやらないと\n面倒になるだけよ
S_YM18	\x0e\n\x14\x0c\n\0C\0a\0l\0l\01\0今日の場所は \x0e\0\x03\x02\0\0サバキノ関所\n\x0e\0\x03\x02ÿÿ落ちている岩全てを壊すのよ!\nさあ 張り切って\nお掃除がんばりましょう!
S_YM19	\x0e\n\x14\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\01\0お疲れ様!\n\nアナタのお陰で \x0e\0\x03\x02\0\0サバキノ関所\x0e\0\x03\x02ÿÿも\nいつもの美しい姿に戻ったわ!
S_YM29	\x0e\n\x14\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0……こっそり アナタの仕事っぷり\n見ていたんだけど
S_YM30	もくもくと 岩を壊して進む アナタの背中!!
S_YM31	もくもくと 岩を壊す時のアナタの表情!!
S_YM34	\x0e\n\x14\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\00\0かっこよくて ちょっと ホレそうになったわ!
S_YM35	\x0e\n\x14\x18\x16\0I\0m\0p\0r\0e\0s\0s\0i\0o\0n\00\0可愛かったわよ!!
S_YM20	\x0e\n\x14\x14\x12\0R\0e\0s\0p\0o\0n\0s\0e\00\0アナタは 今までの美化委員の中で\n2番目に 素晴らしい美化委員だわ!
S_YM21	\x0e\n\x14\x14\x12\0G\0r\0e\0e\0t\0i\0n\0g\01\0待ってたわ!\n今日のお掃除は \x0e\0\x03\x02\0\0シアガッテン堂\x0e\0\x03\x02ÿÿよ!
