bag
SS_bag_000	零用錢
ITEMINFO_1430	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1431	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1432	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1433	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1434	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1435	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1436	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1437	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1438	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1439	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1440	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1441	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1442	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1443	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1444	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1445	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1446	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1447	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1448	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1449	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1450	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1451	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1452	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1453	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1454	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1455	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1456	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1457	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1458	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1459	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1460	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1461	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1462	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1463	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1464	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1465	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1466	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1467	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1468	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1469	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1470	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1471	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1472	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1473	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1474	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1475	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1476	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1477	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1478	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1479	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1480	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1481	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1482	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1483	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1484	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1485	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1486	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1487	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1488	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1489	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1490	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1491	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1492	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1493	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1494	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1495	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1496	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1497	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1498	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1499	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1500	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1501	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1502	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1503	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1504	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1505	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1506	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1507	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1508	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1509	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1510	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1511	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1512	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1513	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1514	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1515	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1516	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1517	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1518	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1519	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1520	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1521	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1522	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1523	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1524	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1525	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1526	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1527	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1528	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1529	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1530	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1531	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1532	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1533	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1534	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1535	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1536	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1537	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1538	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1539	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1540	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1541	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1542	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1543	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1544	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1545	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1546	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1547	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1548	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1549	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1550	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1551	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1552	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1553	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1554	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1555	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1556	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1557	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1558	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1559	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1560	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1561	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1562	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1563	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1564	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1565	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1566	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1567	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1568	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1569	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1570	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1571	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1572	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1573	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1574	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1575	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1576	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1577	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1578	使用後的當天，\n[VAR 0101(0000)]會出現在\n曠野地帶的瞭望塔巨巢。
ITEMINFO_1579	由極巨化的蜂女王製造的蜜汁。\n放進極巨湯裡，湯就會變得又甜又醇。\n也有與活力塊相同的效果。
ITEMINFO_1580	蘊藏著神奇力量的蘑菇，\n可以讓寶可夢改變極巨化的樣子。\n在戰鬥中能提高寶可夢的所有能力。
ITEMINFO_1581	生長在伽勒爾部分地區的\n伽勒荳蔻的嫩枝。\n常被用來製成某種寶可夢的飾品。
ITEMINFO_1582	用伽勒荳蔻枝編成的手環。\n幫伽勒爾地區的呆呆獸戴上，\n牠就會很高興。
ITEMINFO_1583	擁有這張卡，就能在時裝店買到\n更多商品。到美髮沙龍時，\n也能有更多樣化的髮型選項。
ITEMINFO_1584	前往鎧島的車票。\n在木桿鎮的車站\n把它出示給站務員看吧。
ITEMINFO_1585	能用洛托姆的力量進行渦輪加速，\n還能在水上移動的自行車。\n潔白耀眼的閃亮白。
ITEMINFO_1586	能用洛托姆的力量進行渦輪加速，\n還能在水上移動的自行車。\n會閃閃發出赤黑亮光的炫耀黑。
ITEMINFO_1587	只要擁有這個護符，\n寶可夢能獲得的經驗值就會增加。\n內部有類似機械的東西。
ITEMINFO_1588	能夠在鎧島找到的稀奇石頭。\n把它送給鎧島上的收藏家，\n就會有好事發生。
ITEMINFO_1589	又神奇又個性十足的護符。\n只要擁有它，就會變得\n容易遇見有證章的寶可夢。
ITEMINFO_1590	過去曾由人們獻給國王的韁繩。\n能夠增強豐饒之力，\n使蕾冠王與愛馬合體。
ITEMINFO_1591	過去曾由人們獻給國王的韁繩。\n韁繩相繫的生物可以彼此溝通。\n能夠解開蕾冠王與愛馬的合體。
ITEMINFO_1592	用伽勒荳蔻枝編成的花冠。\n給伽勒爾地區的呆呆獸戴上它，\n呆呆獸就會很開心。
ITEMINFO_1593	皮歐尼針對豐饒之王傳說\n所整理的筆記。\n上面貼著很舊的照片。
ITEMINFO_1594	皮歐尼針對巨人傳說\n所整理的筆記。\n上面畫有個性十足的圖案。
ITEMINFO_1595	皮歐尼針對鳥寶可夢傳說\n所整理的筆記。\n上面畫有個性十足的圖案。
ITEMINFO_1596	皮歐尼掉落的神秘筆記。\n上面貼的照片裡可以看見\n極巨巢穴有個發光的大洞。
ITEMINFO_1597	前往王冠雪原的車票。\n在木桿鎮的車站\n把它出示給站務員看吧。
ITEMINFO_1598	神秘的木頭雕刻。\n上面有著像是缺損的痕跡，\n很可能是某種東西的一部分。
ITEMINFO_1599	從豐饒之王那裡\n得到的一片花瓣。\n散發著淡淡的光輝。
ITEMINFO_1600	豐饒之王的愛馬\n「雪暴馬」的鬃毛。\n既結實又柔韌。
ITEMINFO_1601	豐饒之王的愛馬\n「靈幽馬」的鬃毛。\n觸感柔滑。
ITEMINFO_1602	豐饒之王的愛馬喜歡吃的農作物。\n生長在積雪深厚的田地。
ITEMINFO_1603	豐饒之王的愛馬喜歡吃的農作物。\n生長在光線幽暗的田地。
ITEMINFO_1604	能夠在極巨巢穴找到的神秘石頭。\n把它送給王冠雪原上的收藏家，\n就會有好事發生。
ITEMINFO_1605	可以種在田地裡的種子。\n長出來的蘿蔔種類會根據\n種下它的田地而不同。
ITEMINFO_1606	使用於擁有常見特性的寶可夢，\n就能把寶可夢的特性改變成\n稀有特性的膏藥。
ITEMINFO_1607	透光時會熠熠生輝的布料。\n人們曾經將它獻給豐饒之王，\n藉此表達感謝之意。
ITEMINFO_1608	能感受到神奇力量的小碎片。\n碎片中浮現著像是玫瑰花的花紋。
ITEMINFO_1609	能感受到神奇力量的大碎片。\n碎片中浮現著像是玫瑰花的花紋。
ITEMINFO_1610	能在牆壁上開洞，\n建造秘密基地的拋棄式鑽錐。
ITEMINFO_1611	充滿神奇力量的石板。\n感覺它和玫瑰公園的關都之廳\n有很深的關係。
ITEMINFO_1612	充滿神奇力量的石板。\n感覺它和玫瑰公園的城都之廳\n有很深的關係。
ITEMINFO_1613	充滿神奇力量的石板。\n感覺它和玫瑰公園的心之廳\n有很深的關係。
ITEMINFO_1614	充滿神奇力量的石板。\n感覺它和玫瑰公園的彩虹之廳\n有很深的關係。
ITEMINFO_1615	充滿神奇力量的石板。\n感覺它和玫瑰公園的暴風之廳\n有很深的關係。
ITEMINFO_1616	充滿神奇力量的石板。\n感覺它和玫瑰公園的大海之廳\n有很深的關係。
ITEMINFO_1617	充滿神奇力量的石板。\n感覺它和玫瑰公園的大陸之廳\n有很深的關係。
ITEMINFO_1618	充滿神奇力量的石板。\n感覺它和玫瑰公園的天空之廳\n有很深的關係。
ITEMINFO_1619	充滿神奇力量的石板。\n感覺它和玫瑰公園的基因之廳\n有很深的關係。
ITEMINFO_1620	充滿神奇力量的石板。\n感覺它和玫瑰公園的引導之廳\n有很深的關係。
ITEMINFO_1621	充滿神奇力量的石板。\n感覺它和玫瑰公園的毀壞之廳\n有很深的關係。
ITEMINFO_1622	可以聽到懷舊歌曲的\n音樂播放機。\n可一鍵切換歌曲。
itemname
ITEMNAME_000	無
ITEMNAME_001	大師球
ITEMNAME_002	高級球
ITEMNAME_003	超級球
ITEMNAME_004	精靈球
ITEMNAME_005	狩獵球
ITEMNAME_006	捕網球
ITEMNAME_007	潛水球
ITEMNAME_008	巢穴球
ITEMNAME_009	重複球
ITEMNAME_010	計時球
ITEMNAME_011	豪華球
ITEMNAME_012	紀念球
ITEMNAME_013	黑暗球
ITEMNAME_014	治癒球
ITEMNAME_015	先機球
ITEMNAME_016	貴重球
ITEMNAME_017	傷藥
ITEMNAME_018	解毒藥
ITEMNAME_019	灼傷藥
ITEMNAME_020	解凍藥
ITEMNAME_021	解眠藥
ITEMNAME_022	解麻藥
ITEMNAME_023	全復藥
ITEMNAME_024	全滿藥
ITEMNAME_025	厲害傷藥
ITEMNAME_026	好傷藥
ITEMNAME_027	萬靈藥
ITEMNAME_028	活力碎片
ITEMNAME_029	活力塊
ITEMNAME_030	美味之水
ITEMNAME_031	勁爽汽水
ITEMNAME_032	果汁牛奶
ITEMNAME_033	哞哞鮮奶
ITEMNAME_034	元氣粉
ITEMNAME_035	元氣根
ITEMNAME_036	萬能粉
ITEMNAME_037	復活草
ITEMNAME_038	ＰＰ單項小補劑
ITEMNAME_039	ＰＰ單項全補劑
ITEMNAME_040	ＰＰ多項小補劑
ITEMNAME_041	ＰＰ多項全補劑
ITEMNAME_042	釜炎仙貝
ITEMNAME_043	樹果汁
ITEMNAME_044	聖灰
ITEMNAME_045	ＨＰ增強劑
ITEMNAME_046	攻擊增強劑
ITEMNAME_047	防禦增強劑
ITEMNAME_048	速度增強劑
ITEMNAME_049	特攻增強劑
ITEMNAME_050	神奇糖果
ITEMNAME_051	ＰＰ提升劑
ITEMNAME_052	特防增強劑
ITEMNAME_053	ＰＰ極限提升劑
ITEMNAME_054	森之羊羹
ITEMNAME_055	能力防守
ITEMNAME_056	要害攻擊
ITEMNAME_057	力量強化
ITEMNAME_058	防禦強化
ITEMNAME_059	速度強化
ITEMNAME_060	命中強化
ITEMNAME_061	特攻強化
ITEMNAME_062	特防強化
ITEMNAME_063	皮皮玩偶
ITEMNAME_064	向尾喵的尾巴
ITEMNAME_065	藍色玻璃哨
ITEMNAME_066	黃色玻璃哨
ITEMNAME_067	紅色玻璃哨
ITEMNAME_068	黑色玻璃哨
ITEMNAME_069	白色玻璃哨
ITEMNAME_070	淺灘海鹽
ITEMNAME_071	淺灘貝殼
ITEMNAME_072	紅色碎片
ITEMNAME_073	藍色碎片
ITEMNAME_074	黃色碎片
ITEMNAME_075	綠色碎片
ITEMNAME_076	白銀噴霧
ITEMNAME_077	黃金噴霧
ITEMNAME_078	離洞繩
ITEMNAME_079	除蟲噴霧
ITEMNAME_080	日之石
ITEMNAME_081	月之石
ITEMNAME_082	火之石
ITEMNAME_083	雷之石
ITEMNAME_084	水之石
ITEMNAME_085	葉之石
ITEMNAME_086	小蘑菇
ITEMNAME_087	大蘑菇
ITEMNAME_088	珍珠
ITEMNAME_089	大珍珠
ITEMNAME_090	星星沙子
ITEMNAME_091	星星碎片
ITEMNAME_092	金珠
ITEMNAME_093	心之鱗片
ITEMNAME_094	甜甜蜜
ITEMNAME_095	速速肥
ITEMNAME_096	濕濕肥
ITEMNAME_097	久久肥
ITEMNAME_098	黏黏肥
ITEMNAME_099	根狀化石
ITEMNAME_100	爪子化石
ITEMNAME_101	貝殼化石
ITEMNAME_102	甲殼化石
ITEMNAME_103	秘密琥珀
ITEMNAME_104	盾甲化石
ITEMNAME_105	頭蓋化石
ITEMNAME_106	貴重骨頭
ITEMNAME_107	光之石
ITEMNAME_108	暗之石
ITEMNAME_109	覺醒之石
ITEMNAME_110	渾圓之石
ITEMNAME_111	楔石
ITEMNAME_112	白金寶珠
ITEMNAME_113	茶
ITEMNAME_114	？？？
ITEMNAME_115	馬志士的簽名
ITEMNAME_116	水流卡帶
ITEMNAME_117	閃電卡帶
ITEMNAME_118	火焰卡帶
ITEMNAME_119	冰凍卡帶
ITEMNAME_120	？？？
ITEMNAME_121	寶可夢盒
ITEMNAME_122	回復口袋
ITEMNAME_123	招式學習器盒
ITEMNAME_124	糖果罐
ITEMNAME_125	強化口袋
ITEMNAME_126	換裝箱
ITEMNAME_127	捕捉口袋
ITEMNAME_128	對戰口袋
ITEMNAME_129	？？？
ITEMNAME_130	？？？
ITEMNAME_131	？？？
ITEMNAME_132	？？？
ITEMNAME_133	？？？
ITEMNAME_134	心形甜點
ITEMNAME_135	金剛寶珠
ITEMNAME_136	白玉寶珠
ITEMNAME_137	初次郵件
ITEMNAME_138	喜愛郵件
ITEMNAME_139	邀請郵件
ITEMNAME_140	感謝郵件
ITEMNAME_141	詢問郵件
ITEMNAME_142	推薦郵件
ITEMNAME_143	回覆郵件
ITEMNAME_144	橋梁郵件Ｓ
ITEMNAME_145	橋梁郵件Ｈ
ITEMNAME_146	橋梁郵件Ｃ
ITEMNAME_147	橋梁郵件Ｖ
ITEMNAME_148	橋梁郵件Ｗ
ITEMNAME_149	櫻子果
ITEMNAME_150	零餘果
ITEMNAME_151	桃桃果
ITEMNAME_152	莓莓果
ITEMNAME_153	利木果
ITEMNAME_154	蘋野果
ITEMNAME_155	橙橙果
ITEMNAME_156	柿仔果
ITEMNAME_157	木子果
ITEMNAME_158	文柚果
ITEMNAME_159	勿花果
ITEMNAME_160	異奇果
ITEMNAME_161	芒芒果
ITEMNAME_162	樂芭果
ITEMNAME_163	芭亞果
ITEMNAME_164	蔓莓果
ITEMNAME_165	墨莓果
ITEMNAME_166	蕉香果
ITEMNAME_167	西梨果
ITEMNAME_168	凰梨果
ITEMNAME_169	榴石果
ITEMNAME_170	藻根果
ITEMNAME_171	比巴果
ITEMNAME_172	哈密果
ITEMNAME_173	萄葡果
ITEMNAME_174	茄番果
ITEMNAME_175	玉黍果
ITEMNAME_176	岳竹果
ITEMNAME_177	茸丹果
ITEMNAME_178	檬檸果
ITEMNAME_179	刺角果
ITEMNAME_180	椰木果
