msg_bgm+us_en.msbt
bgm_arrange	Remix
spi_devil	Devil{[010a|0a0064006500760069006c00]}
spi_tamagon	Tamagon{[010a|0e00740061006d00610067006f006e00]}
spi_urban_champion_hero	Urban Champion Fighter{[010a|280075007200620061006e006300680061006d00700069006f006e006600690067006800740065007200]}
spi_bubbles	Bubbles{[010a|0e0062007500620062006c0065007300]}
spi_unira	Unira{[010a|0a0075006e00690072006100]}
spi_motocrosser	Excitebike{[010a|1400650078006300690074006500620069006b006500]}
spi_balloon_fighter	Balloon Fighter{[010a|1c00620061006c006c006f006f006e006600690067006800740065007200]}
spi_balloon_fish	Fish{[010a|08006600690073006800]}
spi_mach_rider	Mach Rider{[010a|14006d00610063006800230072006900640065007200]}
spi_takamaru	Takamaru{[010a|1000740061006b0061006d00610072007500]}
spi_disk_kun	Diskun{[010a|0c006400690073006b0075006e00]}
spi_volleyball_player	Volleyball Player{[010a|200076006f006c006c0065007900620061006c006c0070006c006100790065007200]}
spi_donbe_and_hikari	Donbe & Hikari{[010a|160064006f006e0062006500680069006b00610072006900]}
spi_donbe_hikari_shin_oni	Donbe & Hikari {size[5000]}(Shin Onigashima Kouhen){size[6400]}{[010a|3e0064006f006e0062006500680069006b006100720069007300680069006e006f006e006900670061007300680069006d0061006b006f007500680065006e00]}
spi_hockey_player	Hockey Players{[010a|1a0068006f0063006b006500790070006c0061007900650072007300]}
spi_monster	MONSTER{[010a|0e006d006f006e007300740065007200]}
spi_ayumi_tachibana	Ayumi Tachibana{[010a|1c006100790075006d00690074006100630068006900620061006e006100]}
spi_tank_and_infantry	Tank & Infantry{[010a|1800740061006e006b0069006e00660061006e00740072007900]}
spi_olaf	Olaf{[010a|08006f006c0061006600]}
spi_andy	Andy{[010a|080061006e0064007900]}
spi_yakuman	Yakuman Player{[010a|1a00790061006b0075006d0061006e0070006c006100790065007200]}
spi_goku_and_chao	Goku & Chao{[010a|100067006f006b0075006300680061006f00]}
spi_light_plane	Plane{[010a|0a0070006c0061006e006500]}
spi_dr_wright	Dr. Wright{[010a|180064006f00630074006f007200770072006900670068007400]}
spi_training_academy_coach	Commander{[010a|120063006f006d006d0061006e00640065007200]}
spi_prince_of_sable	Prince of Sablé{[010a|1a007000720069006e00630065006f0066007300610062006c006500]}
spi_frog_and_snake	Frog & Snake{[010a|1200660072006f00670073006e0061006b006500]}
spi_prince_richard	Prince Richard{[010a|1a007000720069006e00630065007200690063006800610072006400]}
spi_sukapon	Sukapon{[010a|0e00730075006b00610070006f006e00]}
spi_st_falcon	ST Falcon{[010a|1200730074002300660061006c0063006f006e00]}
spi_f_type	F-Type{[010a|0c00660023007400790070006500]}
spi_trailer	Tractor Trailer{[010a|1c00740072006100630074006f00720074007200610069006c0065007200]}
spi_harry	Harry{[010a|0a0068006100720072007900]}
spi_lip	Lip{[010a|06006c0069007000]}
spi_muddy_mole	Muddy Mole{[010a|12006d0075006400640079006d006f006c006500]}
spi_ryota_hayami	Ryota Hayami{[010a|1600720079006f007400610068006100790061006d006900]}
spi_dion_max_jack	Dion, Max, & Jack{[010a|1600640069006f006e006d00610078006a00610063006b00]}
spi_hakkun	Hakkun{[010a|0c00680061006b006b0075006e00]}
spi_akari_hayama	Akari Hayami{[010a|160061006b0061007200690068006100790061006d006900]}
spi_komurasaki	Girl from Hajimari no Mori{[010a|2c006700690072006c00660072006f006d00680061006a0069006d006100720069006e006f006d006f0072006900]}
spi_flare	Flare{[010a|0a0066006c00610072006500]}
spi_bayonette	Bayonette{[010a|12006200610079006f006e006500740074006500]}
spi_ray	Ray Mk II{[010a|180072006100790023006d00610072006b006b00740077006f00]}
spi_rya_mk_3	Ray Mk III{[010a|1a0072006100790023006d00610072006b0074006800720065006500]}
spi_maruo_maruhige	Maruhige Shop Owner{[010a|22006d006100720075006800690067006500730068006f0070006f0077006e0065007200]}
spi_saki_amamiya	Saki Amamiya{[010a|1600730061006b00690061006d0061006d00690079006100]}
spi_isa_jo	Isa Jo{[010a|0c0069007300610023006a006f00]}
spi_helirin	Helirin{[010a|0e00680065006c006900720069006e00]}
spi_alessandro_inzaghi	Alessandro Inzaghi{[010a|220061006c0065007300730061006e00640072006f0069006e007a006100670068006900]}
spi_isaac	Isaac{[010a|0a0069007300610061006300]}
spi_garet	Garet{[010a|0a0067006100720065007400]}
spi_ivan	Ivan{[010a|08006900760061006e00]}
spi_mia	Mia{[010a|06006d0069006100]}
spi_felix	Felix{[010a|0a00660065006c0069007800]}
spi_jenna	Jenna{[010a|0a006a0065006e006e006100]}
spi_matthew	Matthew{[010a|0e006d00610074007400680065007700]}
spi_isaac_dark_dawn	Isaac {size[5000]}(Dark Dawn){size[6400]}{[010a|1a00690073006100610063006400610072006b006400610077006e00]}
spi_magicalvacation_player	Magical Vacation Protagonists{[010a|34006d00610067006900630061006c007600610063006100740069006f006e00700072006f007400610067006f006e00690073007400]}
spi_traveling_putty	Putty{[010a|0a0070007500740074007900]}
spi_mokka	Mokka{[010a|0a006d006f006b006b006100]}
spi_demille	DeMille{[010a|0e00640065006d0069006c006c006500]}
spi_tomatrio	Tomatrio{[010a|100074006f006d0061007400720069006f00]}
spi_pig	Pig{[010a|0600700069006700]}
spi_alexandra_roivas	Alexandra Roivas{[010a|1e0061006c006500780061006e0064007200610072006f006900760061007300]}
spi_starfy	Starfy{[010a|0c00730074006100720066007900]}
spi_moe	Moe{[010a|06006d006f006500]}
spi_old_man_lobber	Old Man Lobber{[010a|18006f006c0064006d0061006e006c006f006200620065007200]}
spi_mermaid	Mermaid{[010a|0e006d00650072006d00610069006400]}
spi_starly	Starly{[010a|0c0073007400610072006c007900]}
spi_materu	Mattel{[010a|0c006d0061007400740065006c00]}
spi_mappo	Mappo{[010a|0a006d006100700070006f00]}
spi_barbara_the_bat	Barbara the Bat{[010a|1a006200610072006200610072006100740068006500620061007400]}
spi_ashley_ac	Ashley Robbins{[010a|1a006100730068006c006500790072006f006200620069006e007300]}
spi_cupid	Cupid{[010a|0a0063007500700069006400]}
spi_hanenbow	Hanenbow{[010a|1000680061006e0065006e0062006f007700]}
spi_owner_yamanouti	Yama{[010a|0800790061006d006100]}
spi_dr_kawashima	Dr. Kawashima{[010a|1e0064006f00630074006f0072006b006100770061007300680069006d006100]}
spi_dr_kawashima_ct	Dr. Kawashima {size[5000]}(Concentration Training){size[6400]}{[010a|480064006f00630074006f0072006b006100770061007300680069006d00610063006f006e00630065006e00740072006100740069006f006e0074007200610069006e0069006e006700]}
spi_lil_blue	Li'l Blue{[010a|10006c0069006c00230062006c0075006500]}
spi_chibi_robo	Chibi-Robo{[010a|12006300680069006200690072006f0062006f00]}
spi_telly_vision	Telly{[010a|0a00740065006c006c007900]}
spi_drake_redcrest	Drake Redcrest{[010a|1a006400720061006b00650072006500640063007200650073007400]}
spi_chibi_tot	Chibi-Tot{[010a|10006300680069006200690074006f007400]}
spi_super_chibi_robo	Super Chibi-Robo{[010a|1c00730075007000650072006300680069006200690072006f0062006f00]}
spi_dr_lobe	Dr. Lobe{[010a|140064006f00630074006f0072006c006f0062006500]}
spi_yuuhi_town_ouendan	Ouendan{[010a|0e006f00750065006e00640061006e00]}
spi_cheer_girls	Ouendan Cheerleaders{[010a|26006f00750065006e00640061006e00630068006500650072006c00650061006400650072007300]}
spi_elite_beat_agents	Elite Beat Agents{[010a|1e0065006c0069007400650062006500610074006100670065006e0074007300]}
spi_elite_beat_divas	Elite Beat Divas{[010a|1c0065006c00690074006500620065006100740064006900760061007300]}
spi_jill_drill_dozer	Jill & the Drill Dozer{[010a|22006a0069006c006c007400680065006400720069006c006c0064006f007a0065007200]}
spi_sagi	Sagi{[010a|08007300610067006900]}
spi_milly	Milly{[010a|0a006d0069006c006c007900]}
spi_calciobit_player	Pocket Football Player{[010a|280070006f0063006b006500740066006f006f007400620061006c006c0070006c006100790065007200]}
spi_satoru_amatsubo	Satoru Amatsubo{[010a|1c007300610074006f007200750061006d00610074007300750062006f00]}
spi_gauss	Warrior Mech Gauss{[010a|2000770061007200720069006f0072006d0065006300680067006100750073007300]}
spi_kyle_hyde	Kyle Hyde{[010a|10006b0079006c0065006800790064006500]}
spi_kurikin	Kurikin{[010a|0e006b007500720069006b0069006e00]}
spi_hsien	Hsien{[010a|0a0068007300690065006e00]}
spi_magkid	Magkid{[010a|0c006d00610067006b0069006400]}
spi_wandering_samurai	The Wandering Samurai{[010a|2600740068006500770061006e0064006500720069006e006700730061006d007500720061006900]}
spi_dr_cutlery	Sick Beats Doctor{[010a|1e007300690063006b006200650061007400730064006f00630074006f007200]}
spi_munchy_monk	Munchy Monk{[010a|14006d0075006e006300680079006d006f006e006b00]}
spi_reporter_wrestler	Reporter & Wrestler{[010a|20007200650070006f007200740065007200770072006500730074006c0065007200]}
spi_baxter_forthinton	Baxter & Forthington{[010a|220062006100780074006500720066006f0072007400680069006e00670074006f006e00]}
spi_wandering_samurai_fever	Wandering Samurai {size[5000]}(Rhythm Heaven Fever){size[6400]}{[010a|4200770061006e0064006500720069006e006700730061006d007500720061006900720068007900740068006d00680065006100760065006e0066006500760065007200]}
spi_sumo_brothers	Sumo Brothers{[010a|1800730075006d006f00620072006f0074006800650072007300]}
spi_aisya	Aisya{[010a|0a0061006900730079006100]}
spi_numbers	Num Diddly{[010a|12006e0075006d0064006900640064006c007900]}
spi_satoru	Satoru{[010a|0c007300610074006f0072007500]}
spi_idea	Idea{[010a|08006900640065006100]}
spi_welt	Welt{[010a|0800770065006c007400]}
spi_t_rex	T-Rex{[010a|0a0074002300720065007800]}
spi_nibbles	Nibbles{[010a|0e006e006900620062006c0065007300]}
spi_glory_of_heracles_hero	Glory of Heracles Hero{[010a|260067006c006f00720079006f006600680065007200610063006c00650073006800650072006f00]}
spi_heracles	Heracles{[010a|1000680065007200610063006c0065007300]}
spi_chef_ptc	Chef {size[5000]}(Personal Trainer: Cooking){size[6400]}{[010a|3400630068006500660070006500720073006f006e0061006c0074007200610069006e006500720063006f006f006b0069006e006700]}
spi_amakura_mayu_mio	Mio & Mayu Amakura{[010a|1c006d0069006f006d0061007900750061006d0061006b00750072006100]}
spi_yuri_kozukata	Yuri Kozukata{[010a|180079007500720069006b006f007a0075006b00610074006100]}
spi_captain_rainbow	Captain Rainbow{[010a|1c006300610070007400610069006e007200610069006e0062006f007700]}
spi_nick	Nick{[010a|08006e00690063006b00]}
spi_raymond_bryce	Raymond Bryce{[010a|18007200610079006d006f006e00640062007200790063006500]}
spi_shop_assistant	Shop Assistant{[010a|1a00730068006f00700061007300730069007300740061006e007400]}
spi_beetle	Beetle{[010a|0c0062006500650074006c006500]}
spi_orville	Orville{[010a|0e006f007200760069006c006c006500]}
spi_frey_and_freya	Frey & Freya{[010a|1200660072006500790066007200650079006100]}
spi_looksley	Looksley{[010a|10006c006f006f006b0073006c0065007900]}
spi_prince_saruno	Prince Saruno{[010a|18007000720069006e006300650073006100720075006e006f00]}
spi_and_kensaku	Ando Kensaku{[010a|160061006e0064006f006b0065006e00730061006b007500]}
spi_zip	Zip{[010a|06007a0069007000]}
spi_zael	Zael{[010a|08007a00610065006c00]}
spi_calista	Calista{[010a|0e00630061006c006900730074006100]}
spi_toy_poodle	Toy Poodle{[010a|120074006f00790070006f006f0064006c006500]}
spi_labrador_retriever	Labrador Retriever{[010a|22006c00610062007200610064006f007200720065007400720069006500760065007200]}
spi_aeron	Aeron{[010a|0a006100650072006f006e00]}
spi_elena	Elena{[010a|0a0065006c0065006e006100]}
spi_mallo	Mallo{[010a|0a006d0061006c006c006f00]}
spi_sakura_maru	Sakura Samurai{[010a|1a00730061006b00750072006100730061006d007500720061006900]}
spi_nikki	Nikki{[010a|0a006e0069006b006b006900]}
spi_noise	Noise{[010a|0a006e006f00690073006500]}
spi_dillon	Dillon{[010a|0c00640069006c006c006f006e00]}
spi_culdra	Culdra{[010a|0c00630075006c00640072006100]}
spi_goligan	Goligan{[010a|0e0067006f006c006900670061006e00]}
spi_allen	Allen{[010a|0a0061006c006c0065006e00]}
spi_tempo	Tempo{[010a|0a00740065006d0070006f00]}
spi_kurabe_kagesina	Kageshina Kurabe{[010a|1e006b006100670065007300680069006e0061006b0075007200610062006500]}
spi_darumesi_inuzi	Inuji Darumeshi{[010a|1c0069006e0075006a00690064006100720075006d006500730068006900]}
spi_rusty	Rusty Slugger{[010a|18007200750073007400790073006c0075006700670065007200]}
spi_wonder_red	Wonder-Red{[010a|120077006f006e00640065007200720065006400]}
spi_wonder_bule	Wonder-Blue{[010a|140077006f006e0064006500720062006c0075006500]}
spi_rayman	Rayman{[010a|0c007200610079006d0061006e00]}
spi_arcade_bunny	Arcade Bunny{[010a|1600610072006300610064006500620075006e006e007900]}
spi_qbby	Qbby{[010a|08007100620062007900]}
spi_henry_fleming	Henry Fleming{[010a|1800680065006e007200790066006c0065006d0069006e006700]}
spi_shovel_knight	Shovel Knight{[010a|1800730068006f00760065006c006b006e006900670068007400]}
spi_shield_knight	Shield Knight{[010a|180073006800690065006c0064006b006e006900670068007400]}
spi_pikachu	Pikachu{[010a|0e00700069006b006100630068007500]}
spi_jigglypuff	Jigglypuff{[010a|14006a006900670067006c0079007000750066006600]}
spi_pichu	Pichu{[010a|0a0070006900630068007500]}
spi_mewtwo	Mewtwo{[010a|0c006d0065007700740077006f00]}
spi_male_pokemon_trainer_ssb	Pokémon Trainer {size[5000]}(Male){size[6400]}{[010a|240070006f006b0065006d006f006e0074007200610069006e00650072006d0061006c006500]}
spi_female_pokemon_trainer_ssb	Pokémon Trainer {size[5000]}(Female){size[6400]}{[010a|280070006f006b0065006d006f006e0074007200610069006e0065007200660065006d0061006c006500]}
spi_squirtle	Squirtle{[010a|10007300710075006900720074006c006500]}
spi_ivysaur	Ivysaur{[010a|0e006900760079007300610075007200]}
spi_charizard	Charizard{[010a|1200630068006100720069007a00610072006400]}
spi_lucario	Lucario{[010a|0e006c00750063006100720069006f00]}
spi_greninja	Greninja{[010a|10006700720065006e0069006e006a006100]}
spi_incineroar	Incineroar{[010a|140069006e00630069006e00650072006f0061007200]}
spi_venusaur	Venusaur{[010a|1000760065006e0075007300610075007200]}
spi_charmander	Charmander{[010a|140063006800610072006d0061006e00640065007200]}
spi_mega_charizard_x	Mega Charizard X{[010a|1c006d00650067006100630068006100720069007a006100720064007800]}
spi_blastoise	Blastoise{[010a|120062006c006100730074006f00690073006500]}
spi_metapod	Metapod{[010a|0e006d0065007400610070006f006400]}
spi_pidgey	Pidgey{[010a|0c00700069006400670065007900]}
spi_arbok	Arbok{[010a|0a006100720062006f006b00]}
spi_alolan_raichu	Alolan Raichu{[010a|180061006c006f006c0061006e00720061006900630068007500]}
spi_sandshrew	Sandshrew{[010a|1200730061006e00640073006800720065007700]}
spi_clefairy	Clefairy{[010a|100063006c00650066006100690072007900]}
spi_vulpix	Vulpix{[010a|0c00760075006c00700069007800]}
spi_alolan_vulpix	Alolan Vulpix{[010a|180061006c006f006c0061006e00760075006c00700069007800]}
spi_dugtrio	Dugtrio{[010a|0e006400750067007400720069006f00]}
spi_meowth	Meowth{[010a|0c006d0065006f00770074006800]}
spi_psyduck	Psyduck{[010a|0e007000730079006400750063006b00]}
spi_arcanine	Arcanine{[010a|100061007200630061006e0069006e006500]}
spi_abra	Abra{[010a|08006100620072006100]}
spi_machamp	Machamp{[010a|0e006d0061006300680061006d007000]}
spi_geodude	Geodude{[010a|0e00670065006f006400750064006500]}
spi_rapidash	Rapidash{[010a|100072006100700069006400610073006800]}
spi_slowpoke	Slowpoke{[010a|100073006c006f00770070006f006b006500]}
spi_magneton	Magneton{[010a|10006d00610067006e00650074006f006e00]}
spi_farfetchd	Farfetch'd{[010a|1200660061007200660065007400630068006400]}
spi_gengar	Gengar{[010a|0c00670065006e00670061007200]}
spi_electrode	Electrode{[010a|120065006c0065006300740072006f0064006500]}
spi_alolan_exeggutor	Alolan Exeggutor{[010a|1e0061006c006f006c0061006e0065007800650067006700750074006f007200]}
spi_cubone	Cubone{[010a|0c006300750062006f006e006500]}
spi_hitmonlee	Hitmonlee{[010a|12006800690074006d006f006e006c0065006500]}
spi_weezing	Weezing{[010a|0e007700650065007a0069006e006700]}
spi_chansey	Chansey{[010a|0e006300680061006e00730065007900]}
spi_kangaskhan	Kangaskhan{[010a|14006b0061006e006700610073006b00680061006e00]}
spi_mega_kangaskhan	Mega Kangaskhan{[010a|1c006d006500670061006b0061006e006700610073006b00680061006e00]}
spi_goldeen	Goldeen{[010a|0e0067006f006c006400650065006e00]}
spi_staryu	Staryu{[010a|0c00730074006100720079007500]}
spi_pinsir	Pinsir{[010a|0c00700069006e00730069007200]}
spi_tauros	Tauros{[010a|0c0074006100750072006f007300]}
spi_gyarados	Gyarados{[010a|10006700790061007200610064006f007300]}
spi_lapras	Lapras{[010a|0c006c0061007000720061007300]}
spi_ditto	Ditto{[010a|0a0064006900740074006f00]}
spi_eevee	Eevee{[010a|0a0065006500760065006500]}
spi_porygon	Porygon{[010a|0e0070006f007200790067006f006e00]}
spi_snorlax	Snorlax{[010a|0e0073006e006f0072006c0061007800]}
spi_zapdos_moltres_articuno	Articuno, Zapdos, & Moltres{[010a|2a006100720074006900630075006e006f007a006100700064006f0073006d006f006c007400720065007300]}
spi_dragonite	Dragonite{[010a|120064007200610067006f006e00690074006500]}
spi_mega_mewtwo_y	Mega Mewtwo Y{[010a|16006d006500670061006d0065007700740077006f007900]}
spi_mew	Mew{[010a|06006d0065007700]}
spi_chikorita	Chikorita{[010a|12006300680069006b006f007200690074006100]}
spi_togepi	Togepi{[010a|0c0074006f006700650070006900]}
spi_ampharos	Ampharos{[010a|100061006d0070006800610072006f007300]}
spi_bellossom	Bellossom{[010a|1200620065006c006c006f00730073006f006d00]}
spi_marill	Marill{[010a|0c006d006100720069006c006c00]}
spi_sudowoodo	Sudowoodo{[010a|12007300750064006f0077006f006f0064006f00]}
spi_wooper	Wooper{[010a|0c0077006f006f00700065007200]}
spi_unown	Unown{[010a|0a0075006e006f0077006e00]}
spi_wobbuffet	Wobbuffet{[010a|120077006f006200620075006600660065007400]}
spi_steelix	Steelix{[010a|0e0073007400650065006c0069007800]}
spi_scizor	Scizor{[010a|0c007300630069007a006f007200]}
spi_heracross	Heracross{[010a|12006800650072006100630072006f0073007300]}
spi_skarmory	Skarmory{[010a|100073006b00610072006d006f0072007900]}
spi_houndoom	Houndoom{[010a|100068006f0075006e0064006f006f006d00]}
spi_smeargle	Smeargle{[010a|100073006d0065006100720067006c006500]}
spi_miltank	Miltank{[010a|0e006d0069006c00740061006e006b00]}
spi_raikou_entei_suicune	Raikou, Entei, & Suicune{[010a|24007200610069006b006f00750065006e00740065006900730075006900630075006e006500]}
spi_tyranitar	Tyranitar{[010a|120074007900720061006e006900740061007200]}
spi_lugia	Lugia{[010a|0a006c007500670069006100]}
spi_ho_oh	Ho-Oh{[010a|0a0068006f0023006f006800]}
spi_celebi	Celebi{[010a|0c00630065006c00650062006900]}
spi_blaziken	Blaziken{[010a|100062006c0061007a0069006b0065006e00]}
spi_gardevoir	Gardevoir{[010a|12006700610072006400650076006f0069007200]}
spi_shedinja	Shedinja{[010a|1000730068006500640069006e006a006100]}
spi_flygon	Flygon{[010a|0c0066006c00790067006f006e00]}
spi_milotic	Milotic{[010a|0e006d0069006c006f00740069006300]}
spi_absol	Absol{[010a|0a006100620073006f006c00]}
spi_salamence	Salamence{[010a|1200730061006c0061006d0065006e0063006500]}
spi_metagross	Metagross{[010a|12006d00650074006100670072006f0073007300]}
spi_latias_latios	Latias & Latios{[010a|18006c00610074006900610073006c006100740069006f007300]}
spi_kyogre	Kyogre{[010a|0c006b0079006f00670072006500]}
spi_primal_kyogre	Primal Kyogre{[010a|18007000720069006d0061006c006b0079006f00670072006500]}
spi_groudon	Groudon{[010a|0e00670072006f00750064006f006e00]}
spi_primal_groudon	Primal Groudon{[010a|1a007000720069006d0061006c00670072006f00750064006f006e00]}
spi_rayquaza	Rayquaza{[010a|10007200610079007100750061007a006100]}
spi_jirachi	Jirachi{[010a|0e006a00690072006100630068006900]}
spi_deoxys	Deoxys{size[5000]} (Normal Forme){size[6400]}{[010a|2200640065006f007800790073006e006f0072006d0061006c0066006f0072006d006500]}
spi_piplup	Piplup{[010a|0c007000690070006c0075007000]}
spi_garchomp	Garchomp{[010a|1000670061007200630068006f006d007000]}
spi_abomasnow	Abomasnow{[010a|1200610062006f006d00610073006e006f007700]}
spi_rotom	Rotom{[010a|0a0072006f0074006f006d00]}
spi_uxie_mesprit_azelf	Uxie, Mesprit, & Azelf{[010a|200075007800690065006d0065007300700072006900740061007a0065006c006600]}
spi_dialga	Dialga{[010a|0c006400690061006c0067006100]}
spi_palkia	Palkia{[010a|0c00700061006c006b0069006100]}
spi_regigigas	Regigigas{[010a|1200720065006700690067006900670061007300]}
spi_giratina	Giratina{size[5000]} (Altered Forme){size[6400]}{[010a|28006700690072006100740069006e00610061006c007400650072006500640066006f0072006d006500]}
spi_giratina_origin_form	Giratina{size[5000]} (Origin Forme){size[6400]}{[010a|26006700690072006100740069006e0061006f0072006900670069006e0066006f0072006d006500]}
spi_cresselia	Cresselia{[010a|12006300720065007300730065006c0069006100]}
spi_manaphy	Manaphy{[010a|0e006d0061006e006100700068007900]}
spi_darkrai	Darkrai{[010a|0e006400610072006b00720061006900]}
spi_shaymin_land_form	Shaymin{size[5000]} (Land Forme){size[6400]}{[010a|200073006800610079006d0069006e006c0061006e00640066006f0072006d006500]}
spi_shaymin_sky_form	Shaymin{size[5000]} (Sky Forme){size[6400]}{[010a|1e0073006800610079006d0069006e0073006b00790066006f0072006d006500]}
spi_arceus	Arceus{[010a|0c00610072006300650075007300]}
spi_victini	Victini{[010a|0e00760069006300740069006e006900]}
spi_oshawott	Oshawott{[010a|10006f0073006800610077006f0074007400]}
spi_zoroark	Zoroark{[010a|0e007a006f0072006f00610072006b00]}
spi_chandelure	Chandelure{[010a|14006300680061006e00640065006c00750072006500]}
spi_hydreigon	Hydreigon{[010a|120068007900640072006500690067006f006e00]}
spi_cobalion_terrakion_virizion	Cobalion, Terrakion, & Virizion{[010a|320063006f00620061006c0069006f006e00740065007200720061006b0069006f006e0076006900720069007a0069006f006e00]}
spi_reshiram	Reshiram{[010a|100072006500730068006900720061006d00]}
spi_zekrom	Zekrom{[010a|0c007a0065006b0072006f006d00]}
spi_landorus_therian	Landorus{size[5000]} (Therian Forme){size[6400]}{[010a|28006c0061006e0064006f007200750073007400680065007200690061006e0066006f0072006d006500]}
spi_kyurem	Kyurem{[010a|0c006b0079007500720065006d00]}
spi_kyurem_black	Kyurem{size[5000]} (Black Kyurem){size[6400]}{[010a|22006b0079007500720065006d0062006c00610063006b006b0079007500720065006d00]}
spi_kyurem_white	Kyurem{size[5000]} (White Kyurem){size[6400]}{[010a|22006b0079007500720065006d00770068006900740065006b0079007500720065006d00]}
spi_keldeo	Keldeo{size[5000]} (Ordinary Form){size[6400]}{[010a|24006b0065006c00640065006f006f007200640069006e0061007200790066006f0072006d00]}
spi_keldeo_resolute	Keldeo{size[5000]} (Resolute Form){size[6400]}{[010a|24006b0065006c00640065006f007200650073006f006c0075007400650066006f0072006d00]}
spi_meloetta	Meloetta{size[5000]} (Aria Forme){size[6400]}{[010a|22006d0065006c006f006500740074006100610072006900610066006f0072006d006500]}
spi_genesect	Genesect{[010a|1000670065006e0065007300650063007400]}
spi_mega_lucario	Mega Lucario{[010a|16006d006500670061006c00750063006100720069006f00]}
spi_chespin	Chespin{[010a|0e006300680065007300700069006e00]}
spi_aegislash	Aegislash{[010a|1200610065006700690073006c00610073006800]}
spi_inkay	Inkay{[010a|0a0069006e006b0061007900]}
spi_dedenne	Dedenne{[010a|0e0064006500640065006e006e006500]}
spi_xerneas	Xerneas{[010a|0e007800650072006e00650061007300]}
spi_yveltal	Yveltal{[010a|0e007900760065006c00740061006c00]}
spi_zygarde	Zygarde{size[5000]} (50% Forme){size[6400]}{[010a|30007a0079006700610072006400650066006900660074007900700065007200630065006e00740066006f0072006d006500]}
spi_zygarde_complete	Zygarde{size[5000]} (Complete Forme){size[6400]}{[010a|28007a0079006700610072006400650063006f006d0070006c0065007400650066006f0072006d006500]}
spi_diancie	Diancie{[010a|0e006400690061006e00630069006500]}
spi_mega_diancie	Mega Diancie{[010a|16006d006500670061006400690061006e00630069006500]}
spi_hoopa	Hoopa{size[5000]} (Confined){size[6400]}{[010a|1a0068006f006f007000610063006f006e00660069006e0065006400]}
spi_hoopa_unbound	Hoopa{size[5000]} (Unbound){size[6400]}{[010a|180068006f006f007000610075006e0062006f0075006e006400]}
spi_volcanion	Volcanion{[010a|120076006f006c00630061006e0069006f006e00]}
spi_rowlet	Rowlet{[010a|0c0072006f0077006c0065007400]}
spi_bewear	Bewear{[010a|0c00620065007700650061007200]}
spi_pyukumuku	Pyukumuku{[010a|12007000790075006b0075006d0075006b007500]}
spi_togedemaru	Togedemaru{[010a|140074006f0067006500640065006d00610072007500]}
spi_mimikyu	Mimikyu{[010a|0e006d0069006d0069006b0079007500]}
spi_tapu_koko	Tapu Koko{[010a|100074006100700075006b006f006b006f00]}
spi_solgaleo	Solgaleo{[010a|100073006f006c00670061006c0065006f00]}
spi_lunala	Lunala{[010a|0c006c0075006e0061006c006100]}
spi_nihilego	Nihilego{[010a|10006e006900680069006c00650067006f00]}
spi_necrozma	Necrozma{[010a|10006e006500630072006f007a006d006100]}
spi_magearna	Magearna{[010a|10006d00610067006500610072006e006100]}
spi_solid_snake	Solid Snake{[010a|140073006f006c006900640073006e0061006b006500]}
spi_cardboard_box	Cardboard Box{[010a|1800630061007200640062006f0061007200640062006f007800]}
spi_liquid_snake	Liquid Snake{[010a|16006c006900710075006900640073006e0061006b006500]}
spi_hal_emmerich	Hal Emmerich{[010a|1800680061006c00230065006d006d0065007200690063006800]}
spi_revolver_ocelot	Revolver Ocelot{size[5000]} (Metal Gear Solid V){size[6400]}{[010a|3a007200650076006f006c007600650072006f00630065006c006f0074006d006500740061006c00670065006100720073006f006c00690064003500]}
spi_gray_fox	Gray Fox{[010a|0e00670072006100790066006f007800]}
spi_metal_gear_rex	Metal Gear REX{[010a|18006d006500740061006c006700650061007200720065007800]}
spi_mei_ling	Mei Ling{[010a|0e006d00650069006c0069006e006700]}
spi_roy_campbell	Roy Campbell{[010a|160072006f007900630061006d007000620065006c006c00]}
spi_meryl_silverburgh	Meryl Silverburgh{[010a|20006d006500720079006c00730069006c0076006500720062007500720067006800]}
spi_solidus_snake	Solidus Snake{[010a|180073006f006c00690064007500730073006e0061006b006500]}
spi_metal_gear_ray	Metal Gear RAY{[010a|18006d006500740061006c006700650061007200720061007900]}
spi_rosemary	Rosemary{[010a|100072006f00730065006d00610072007900]}
spi_naked_snake	Naked Snake{[010a|14006e0061006b006500640073006e0061006b006500]}
spi_big_boss	Big Boss{[010a|0e0062006900670062006f0073007300]}
spi_the_boss	The Boss{[010a|0e0074006800650062006f0073007300]}
spi_eva	EVA{[010a|0600650076006100]}
spi_revolver_ocelot_mgs3	Revolver Ocelot{size[5000]} (Metal Gear Solid 3){size[6400]}{[010a|3a007200650076006f006c007600650072006f00630065006c006f0074006d006500740061006c00670065006100720073006f006c00690064003300]}
spi_zero_mgs	Zero {size[5000]}(Metal Gear Solid 3){size[6400]}{[010a|30007a00650072006f0023006d006500740061006c00670065006100720073006f006c006900640074006800720065006500]}
spi_raiden	Raiden{[010a|0c00720061006900640065006e00]}
spi_gekko	Gekko{[010a|0a00670065006b006b006f00]}
spi_kazuhira_miller	Kazuhira Miller{[010a|1c006b0061007a00750068006900720061006d0069006c006c0065007200]}
spi_strangelove	Strangelove{[010a|160073007400720061006e00670065006c006f0076006500]}
spi_paz_ortega_andrade	Paz Ortega Andrade{[010a|2000700061007a006f007200740065006700610061006e0064007200610064006500]}
