msg_bgm+zh_cn.msbt
bgm_arrange	改编
spi_octobot_king	Octobot King{[010a|18006f00630074006f0062006f00740020006b0069006e006700]}
spi_capn_cuttlefish	Cap'n Cuttlefish{[010a|200063006100700020006e00200063007500740074006c0065006600690073006800]}
spi_annie	Annie{[010a|0a0061006e006e0069006500]}
spi_jelonzo	Jelonzo{[010a|0e006a0065006c006f006e007a006f00]}
spi_judd	Judd{[010a|08006a00750064006400]}
spi_sheldon	Sheldon{[010a|0e007300680065006c0064006f006e00]}
spi_crusty_sean	Crusty Sean{[010a|160063007200750073007400790020007300650061006e00]}
spi_spyke	Spyke{[010a|0a007300700079006b006500]}
spi_octoling	Octoling{[010a|10006f00630074006f006c0069006e006700]}
spi_super_sea_snail	Super Sea Snail{[010a|1e00730075007000650072002000730065006100200073006e00610069006c00]}
spi_mii_brawler_ssb	Mii斗士 格斗类型{[010a|36006d0069006900b00064006f0075002000730068006900200067006500200064006f00750020006c00650069002000780069006e006700]}
spi_mii_gunner_ssb	Mii斗士 射击类型{[010a|36006d0069006900b00064006f0075002000730068006900200073006800650020006a00690020006c00650069002000780069006e006700]}
spi_mii_swordfighter_ssb	Mii斗士 剑术类型{[010a|3a006d0069006900b00064006f007500200073006800690020006a00690061006e00200073006800750020006c00650069002000780069006e006700]}
spi_tutes	Sebastian Tute{[010a|1e00730065006200610073007400690061006e00200074007500740065002000]}
spi_woopy	Party Phil{[010a|14007000610072007400790020007000680069006c00]}
spi_monita	Monita{[010a|0c006d006f006e00690074006100]}
spi_dark_load	黑暗皇帝{[010a|2000b000680065006900200061006e0020006800750061006e006700200064006900]}
spi_iris_archwell	Iris Archwell{[010a|1a00690072006900730020006100720063006800770065006c006c00]}
spi_gold_bone_gang	Gold Bone{[010a|120067006f006c006400200062006f006e006500]}
spi_coraline	Coraline{[010a|100063006f00720061006c0069006e006500]}
spi_shinobu	Shinobu{[010a|0e007300680069006e006f0062007500]}
spi_crispin	Crispin{[010a|0e006300720069007300700069006e00]}
spi_nico_fire	Nico Fire{[010a|12006e00690063006f0020006600690072006500]}
spi_master_hand	大师之手{[010a|2200b000640061003400200073006800690020007a00680069002000730068006f007500]}
spi_crazy_hand	疯狂之手{[010a|2a00b000660065006e006700310020006b00750061006e00670020007a00680069002000730068006f007500]}
spi_giga_bawser	巨兽酷霸王{[010a|2600b0006a0075002000730068006f00750020006b0075002000620061002000770061006e006700]}
spi_sandbag	沙包哥{[010a|1600b0007300680061002000620061006f00200067006500]}
spi_fighting_alloy_team	谜之杂兵军团{[010a|3400b0006d00690032002000b0007a006800690020007a0061002000620069006e00670020006a0075006e0020007400750061006e00]}
spi_tabuu	禁忌{[010a|1000b0006a0069006e00340020006a006900]}
spi_galleom	加雷欧姆{[010a|1e00b0006a0069006100310020006c006500690020006f00750020006d007500]}
spi_duon	杜昂{[010a|1000b000640075003400200061006e006700]}
spi_roturret	死亡转炮{[010a|2600b0007300690033002000770061006e00670020007a006800750061006e002000700061006f00]}
spi_ancient_minister	上古阁下{[010a|2000b0007300680061006e0067002000670075002000670065002000780069006100]}
spi_mite	微多{[010a|1200b00077006500690031002000640075006f00]}
spi_primid	普利姆{[010a|1200b0007000750020006c00690020006d007500]}
spi_bytans	倍弹{[010a|1000b0006200650069002000640061006e00]}
spi_shadow_bug	影虫{[010a|1800b000790069006e00670033002000630068006f006e006700]}
spi_subspace_bomb	亚空间炸弹{[010a|2a00b0007900610020006b006f006e00670020006a00690061006e0020007a00680061002000640061006e00]}
spi_smash_ball	乱斗球{[010a|1c00b0006c00750061006e003400200064006f0075002000710069007500]}
spi_master_giant	大师之巨人{[010a|2600b000640061003400200073006800690020007a006800690020006a0075002000720065006e00]}
spi_master_beast	大师之兽{[010a|2200b000640061003400200073006800690020007a00680069002000730068006f007500]}
spi_master_edges	大师之刃{[010a|2000b000640061003400200073006800690020007a00680069002000720065006e00]}
spi_master_core	大师之核{[010a|1e00b000640061003400200073006800690020007a0068006900200068006500]}
spi_kiila	吉拉{[010a|0e00b0006a006900320020006c006100]}
spi_darz	达兹{[010a|0e00b00064006100320020007a006900]}
spi_sheriff	西部警长{[010a|2600b000780069003100200023006200750020006a0069006e00670020006300680061006e006700]}
spi_pitcher_and_batter	Pitcher & Batter{[010a|1c0070006900740063006800650072002000620061007400740065007200]}
spi_tennis_player	网球选手{[010a|2800b000770061006e0067003200200071006900750020007800750061006e002000730068006f007500]}
spi_devil	Devil{[010a|0a0064006500760069006c00]}
spi_tamagon	Tamagon{[010a|0e00740061006d00610067006f006e00]}
spi_urban_champion_hero	街头格斗的主人公{[010a|4000b0006a00690065003100200074006f007500200067006500200064006f00750020006400650020007a00680075002000720065006e00200067006f006e006700]}
spi_bubbles	Bubbles{[010a|0e0062007500620062006c0065007300]}
spi_unira	Unira{[010a|0a0075006e00690072006100]}
spi_motocrosser	越野摩托手{[010a|2600b00079007500650020007900650020006d006f002000740075006f002000730068006f007500]}
spi_balloon_fighter	打气球的主人公{[010a|3600b000640061003300200071006900200071006900750020006400650020007a00680075002000720065006e00200067006f006e006700]}
spi_balloon_fish	Fish{[010a|08006600690073006800]}
spi_mach_rider	Mach Rider{[010a|14006d00610063006800200072006900640065007200]}
spi_takamaru	Takamaru{[010a|1000740061006b0061006d00610072007500]}
spi_disk_kun	Diskun{[010a|0c006400690073006b0075006e00]}
spi_volleyball_player	Volleyball选手{[010a|280076006f006c006c0065007900620061006c006c00b0007800750061006e002000730068006f007500]}
spi_donbe_and_hikari	Donbe & Hikari{[010a|180064006f006e00620065002000680069006b00610072006900]}
spi_donbe_hikari_shin_oni	Donbe{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}&{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}Hikari{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}{size[5000]}（Shin Onigashima Kouhen）{size[6400]}{[010a|460064006f006e00620065002000680069006b0061007200690020007300680069006e0020006f006e006900670061007300680069006d00610020006b006f007500680065006e00]}
spi_hockey_player	Hockey选手{[010a|200068006f0063006b0065007900b0007800750061006e002000730068006f007500]}
spi_monster	MONSTER{[010a|0e006d006f006e007300740065007200]}
spi_ayumi_tachibana	Ayumi Tachibana{[010a|1e006100790075006d006900200074006100630068006900620061006e006100]}
spi_tank_and_infantry	Tank & Infantry{[010a|1a00740061006e006b00200069006e00660061006e00740072007900]}
spi_olaf	Olaf{[010a|08006f006c0061006600]}
spi_andy	Andy{[010a|080061006e0064007900]}
spi_yakuman	Yakuman选手{[010a|2200790061006b0075006d0061006e00b0007800750061006e002000730068006f007500]}
spi_goku_and_chao	Goku & Chao{[010a|120067006f006b00750020006300680061006f00]}
spi_light_plane	Plane{[010a|0a0070006c0061006e006500]}
spi_dr_wright	Dr. Wright{[010a|1200640072002000770072006900670068007400]}
spi_training_academy_coach	Commander{[010a|120063006f006d006d0061006e00640065007200]}
spi_prince_of_sable	Prince of Sablé{[010a|1e007000720069006e006300650020006f00660020007300610062006c006500]}
spi_frog_and_snake	Frog & Snake{[010a|1400660072006f006700200073006e0061006b006500]}
spi_prince_richard	Prince Richard{[010a|1c007000720069006e006300650020007200690063006800610072006400]}
spi_sukapon	Sukapon{[010a|0e00730075006b00610070006f006e00]}
spi_st_falcon	ST飞隼{[010a|140073007400b0006600650069002000730075006e00]}
spi_f_type	F-Type{[010a|0c00660023007400790070006500]}
spi_trailer	Tractor Trailer{[010a|1e00740072006100630074006f007200200074007200610069006c0065007200]}
spi_harry	Harry{[010a|0a0068006100720072007900]}
spi_lip	Lip{[010a|06006c0069007000]}
spi_muddy_mole	Muddy Mole{[010a|14006d00750064006400790020006d006f006c006500]}
spi_ryota_hayami	Ryota Hayami{[010a|1800720079006f0074006100200068006100790061006d006900]}
spi_dion_max_jack	Dion, Max, & Jack{[010a|1a00640069006f006e0020006d006100780020006a00610063006b00]}
spi_hakkun	Hakkun{[010a|0c00680061006b006b0075006e00]}
spi_akari_hayama	Akari Hayami{[010a|180061006b00610072006900200068006100790061006d006900]}
spi_komurasaki	Girl from Hajimari no Mori{[010a|34006700690072006c002000660072006f006d002000680061006a0069006d0061007200690020006e006f0020006d006f0072006900]}
spi_flare	耀斑{[010a|1000b000790061006f002000620061006e00]}
spi_bayonette	Bayonette{[010a|12006200610079006f006e006500740074006500]}
spi_ray	Ray Mk II{[010a|120072006100790020006d006b00200069006900]}
spi_rya_mk_3	Ray Mk III{[010a|140072006100790020006d006b002000690069006900]}
spi_maruo_maruhige	Maruhige Shop Owner{[010a|26006d0061007200750068006900670065002000730068006f00700020006f0077006e0065007200]}
spi_saki_amamiya	Saki Amamiya{[010a|1800730061006b006900200061006d0061006d00690079006100]}
spi_isa_jo	Isa Jo{[010a|0c0069007300610020006a006f00]}
spi_helirin	Helirin{[010a|0e00680065006c006900720069006e00]}
spi_alessandro_inzaghi	Alessandro Inzaghi{[010a|240061006c0065007300730061006e00640072006f00200069006e007a006100670068006900]}
spi_isaac	Isaac{[010a|0a0069007300610061006300]}
spi_garet	Garet{[010a|0a0067006100720065007400]}
spi_ivan	Ivan{[010a|08006900760061006e00]}
spi_mia	Mia{[010a|06006d0069006100]}
spi_felix	Felix{[010a|0a00660065006c0069007800]}
spi_jenna	Jenna{[010a|0a006a0065006e006e006100]}
spi_matthew	Matthew{[010a|0e006d00610074007400680065007700]}
spi_isaac_dark_dawn	Isaac{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}{size[5000]}（Dark Dawn）{size[6400]}{[010a|1e006900730061006100630020006400610072006b0020006400610077006e00]}
spi_magicalvacation_player	Magical Vacation的主人公{[010a|40006d00610067006900630061006c0020007600610063006100740069006f006e00b0006400650020007a00680075002000720065006e00200067006f006e006700]}
spi_traveling_putty	Putty{[010a|0a0070007500740074007900]}
spi_mokka	Mokka{[010a|0a006d006f006b006b006100]}
spi_demille	DeMille{[010a|0e00640065006d0069006c006c006500]}
spi_tomatrio	Tomatrio{[010a|100074006f006d0061007400720069006f00]}
spi_pig	Pig{[010a|0600700069006700]}
spi_alexandra_roivas	Alexandra Roivas{[010a|200061006c006500780061006e00640072006100200072006f006900760061007300]}
spi_starfy	Starfy{[010a|0c00730074006100720066007900]}
spi_moe	Moe{[010a|06006d006f006500]}
spi_old_man_lobber	Old Man Lobber{[010a|1c006f006c00640020006d0061006e0020006c006f006200620065007200]}
spi_mermaid	Mermaid{[010a|0e006d00650072006d00610069006400]}
spi_starly	Starly{[010a|0c0073007400610072006c007900]}
spi_materu	Mattel{[010a|0c006d0061007400740065006c00]}
spi_mappo	Mappo{[010a|0a006d006100700070006f00]}
spi_barbara_the_bat	Barbara the Bat{[010a|1e00620061007200620061007200610020007400680065002000620061007400]}
spi_ashley_ac	Ashley Robbins{[010a|1c006100730068006c0065007900200072006f006200620069006e007300]}
spi_cupid	Cupid{[010a|0a0063007500700069006400]}
spi_hanenbow	Hanenbow{[010a|1000680061006e0065006e0062006f007700]}
spi_owner_yamanouti	Yama{[010a|0800790061006d006100]}
spi_dr_kawashima	川岛博士{[010a|2200b00063006800750061006e002000640061006f00200062006f002000730068006900]}
spi_dr_kawashima_ct	川岛博士{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}{size[5000]}（魔鬼锻炼）{size[6400]}{[010a|4400b00063006800750061006e002000640061006f00200062006f00200073006800690020006d006f00200067007500690020006400750061006e0020006c00690061006e00]}
spi_lil_blue	Li'l Blue{[010a|10006c00690023006c0062006c0075006500]}
spi_chibi_robo	Chibi-Robo{[010a|140063006800690062006900200072006f0062006f00]}
spi_telly_vision	Telly{[010a|0a00740065006c006c007900]}
spi_drake_redcrest	Drake Redcrest{[010a|1c006400720061006b006500200072006500640063007200650073007400]}
spi_chibi_tot	Chibi-Tot{[010a|120063006800690062006900200074006f007400]}
spi_super_chibi_robo	Super Chibi-Robo{[010a|200073007500700065007200200063006800690062006900200072006f0062006f00]}
spi_dr_lobe	Dr. Lobe{[010a|0e006400720020006c006f0062006500]}
spi_yuuhi_town_ouendan	Ouendan{[010a|0e006f00750065006e00640061006e00]}
spi_cheer_girls	Ouendan Cheerleaders{[010a|28006f00750065006e00640061006e002000630068006500650072006c00650061006400650072007300]}
spi_elite_beat_agents	Elite Beat Agents{[010a|220065006c006900740065002000620065006100740020006100670065006e0074007300]}
spi_elite_beat_divas	Elite Beat Divas{[010a|200065006c0069007400650020006200650061007400200064006900760061007300]}
spi_jill_drill_dozer	Jill & the Drill Dozer{[010a|28006a0069006c006c00200074006800650020006400720069006c006c00200064006f007a0065007200]}
spi_sagi	Sagi{[010a|08007300610067006900]}
spi_milly	Milly{[010a|0a006d0069006c006c007900]}
spi_calciobit_player	Pocket Football选手{[010a|300070006f0063006b006500740066006f006f007400620061006c006c00b0007800750061006e002000730068006f007500]}
spi_satoru_amatsubo	Satoru Amatsubo{[010a|1e007300610074006f0072007500200061006d00610074007300750062006f00]}
spi_gauss	Warrior Mech Gauss{[010a|2400770061007200720069006f00720020006d00650063006800200067006100750073007300]}
spi_kyle_hyde	Kyle Hyde{[010a|12006b0079006c00650020006800790064006500]}
spi_kurikin	Kurikin{[010a|0e006b007500720069006b0069006e00]}
spi_hsien	仙人{[010a|1200b0007800690061006e002000720065006e00]}
spi_magkid	Magkid{[010a|0c006d00610067006b0069006400]}
spi_wandering_samurai	The Wandering Samurai{[010a|2a007400680065002000770061006e0064006500720069006e0067002000730061006d007500720061006900]}
spi_dr_cutlery	Sick Beats Doctor{[010a|22007300690063006b00200062006500610074007300200064006f00630074006f007200]}
spi_munchy_monk	Munchy Monk{[010a|16006d0075006e0063006800790020006d006f006e006b00]}
spi_reporter_wrestler	Reporter & Wrestler{[010a|22007200650070006f0072007400650072002000770072006500730074006c0065007200]}
spi_baxter_forthinton	Baxter & Forthington{[010a|2400620061007800740065007200200066006f0072007400680069006e00670074006f006e00]}
spi_wandering_samurai_fever	Wandering Samurai{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}{size[5000]}（Rhythm Heaven Fever）{size[6400]}{[010a|4a00770061006e0064006500720069006e0067002000730061006d0075007200610069002000720068007900740068006d002000680065006100760065006e00200066006500760065007200]}
spi_sumo_brothers	Sumo Brothers{[010a|1a00730075006d006f002000620072006f0074006800650072007300]}
spi_aisya	Aisya{[010a|0a0061006900730079006100]}
spi_numbers	Num Diddly{[010a|14006e0075006d00200064006900640064006c007900]}
spi_satoru	Satoru{[010a|0c007300610074006f0072007500]}
spi_idea	Idea{[010a|08006900640065006100]}
spi_welt	Welt{[010a|0800770065006c007400]}
spi_t_rex	T-Rex{[010a|0c00740023002d00720065007800]}
spi_nibbles	Nibbles{[010a|0e006e006900620062006c0065007300]}
spi_glory_of_heracles_hero	Glory of Heracles的主人公{[010a|420067006c006f007200790020006f0066002000480065007200610063006c0065007300b0006400650020007a00680075002000720065006e00200067006f006e006700]}
spi_heracles	Heracles{[010a|1000680065007200610063006c0065007300]}
spi_chef_ptc	Chef{[010a|08006300680065006600]}
spi_amakura_mayu_mio	Mio & Mayu Amakura{[010a|20006d0069006f0020006d00610079007500200061006d0061006b00750072006100]}
spi_yuri_kozukata	Yuri Kozukata{[010a|1a00790075007200690020006b006f007a0075006b00610074006100]}
spi_captain_rainbow	Captain Rainbow{[010a|1e006300610070007400610069006e0020007200610069006e0062006f007700]}
spi_nick	Nick{[010a|08006e00690063006b00]}
spi_raymond_bryce	Raymond Bryce{[010a|1a007200610079006d006f006e006400200062007200790063006500]}
spi_shop_assistant	Shop Assistant{[010a|1c00730068006f007000200061007300730069007300740061006e007400]}
spi_beetle	Beetle{[010a|0c0062006500650074006c006500]}
spi_orville	Orville{[010a|0e006f007200760069006c006c006500]}
spi_frey_and_freya	Frey & Freya{[010a|14006600720065007900200066007200650079006100]}
spi_looksley	Looksley{[010a|10006c006f006f006b0073006c0065007900]}
spi_prince_saruno	Prince Saruno{[010a|1a007000720069006e0063006500200073006100720075006e006f00]}
spi_and_kensaku	Ando Kensaku{[010a|180061006e0064006f0020006b0065006e00730061006b007500]}
spi_zip	Zip{[010a|06007a0069007000]}
spi_zael	Zael{[010a|08007a00610065006c00]}
spi_calista	Calista{[010a|0e00630061006c006900730074006100]}
spi_toy_poodle	玩具贵宾犬{[010a|2800b000770061006e0020006a00750020006700750069002000620069006e0020007100750061006e00]}
spi_labrador_retriever	拉布拉多犬{[010a|2400b0006c00610020006200750020006c0061002000640075006f0020007100750061006e00]}
spi_aeron	Aeron{[010a|0a006100650072006f006e00]}
spi_elena	Elena{[010a|0a0065006c0065006e006100]}
spi_mallo	Mallo{[010a|0a006d0061006c006c006f00]}
spi_sakura_maru	Sakura Samurai{[010a|1c00730061006b007500720061002000730061006d007500720061006900]}
spi_nikki	Nikki{[010a|0a006e0069006b006b006900]}
spi_noise	Noise{[010a|0a006e006f00690073006500]}
spi_dillon	Dillon{[010a|0c00640069006c006c006f006e00]}
spi_culdra	Culdra{[010a|0c00630075006c00640072006100]}
spi_goligan	Goligan{[010a|0e0067006f006c006900670061006e00]}
spi_allen	Allen{[010a|0a0061006c006c0065006e00]}
spi_tempo	Tempo{[010a|0a00740065006d0070006f00]}
spi_kurabe_kagesina	Kageshina Kurabe{[010a|20006b006100670065007300680069006e00610020006b0075007200610062006500]}
spi_darumesi_inuzi	Inuji Darumeshi{[010a|1e0069006e0075006a006900200064006100720075006d006500730068006900]}
spi_rusty	Rusty Slugger{[010a|1a0072007500730074007900200073006c0075006700670065007200]}
spi_wonder_red	Wonder-Red{[010a|140077006f006e006400650072002000720065006400]}
spi_wonder_bule	Wonder-Blue{[010a|160077006f006e00640065007200200062006c0075006500]}
spi_rayman	雷曼{[010a|1000b0006c006500690020006d0061006e00]}
spi_arcade_bunny	Arcade Bunny{[010a|18006100720063006100640065002000620075006e006e007900]}
spi_qbby	Qbby{[010a|08007100620062007900]}
spi_henry_fleming	Henry Fleming{[010a|1a00680065006e0072007900200066006c0065006d0069006e006700]}
spi_shovel_knight	铲子骑士{[010a|1e00b0006300680061006e0020007a0069002000710069002000730068006900]}
spi_shield_knight	圆盾骑士{[010a|2000b0007900750061006e002000640075006e002000710069002000730068006900]}
spi_pikachu	皮卡丘{[010a|1600b00070006900320020006b0061002000710069007500]}
spi_jigglypuff	胖丁{[010a|1400b000700061006e0067002000640069006e006700]}
spi_pichu	皮丘{[010a|1000b0007000690032002000710069007500]}
spi_mewtwo	超梦{[010a|1400b0006300680061006f0020006d0065006e006700]}
spi_male_pokemon_trainer_ssb	宝可梦训练家{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}{size[5000]}（男性）{size[6400]}{[010a|4600b000620061006f00330020006b00650020006d0065006e0067002000780075006e0020006c00690061006e0020006a006900610020006e0061006e002000780069006e006700]}
spi_female_pokemon_trainer_ssb	宝可梦训练家{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}{size[5000]}（女性）{size[6400]}{[010a|4400b000620061006f00330020006b00650020006d0065006e0067002000780075006e0020006c00690061006e0020006a006900610020006e0076002000780069006e006700]}
spi_squirtle	杰尼龟{[010a|1800b0006a0069006500320020006e0069002000670075006900]}
spi_ivysaur	妙蛙草{[010a|1800b0006d00690061006f002000770061002000630061006f00]}
spi_charizard	喷火龙{[010a|1a00b000700065006e002000680075006f0020006c006f006e006700]}
spi_lucario	路卡利欧{[010a|1a00b0006c007500340020006b00610020006c00690020006f007500]}
spi_greninja	甲贺忍蛙{[010a|1e00b0006a006900610033002000680065002000720065006e00200077006100]}
spi_incineroar	炽焰咆哮虎{[010a|2800b0006300680069002000790061006e002000700061006f0020007800690061006f00200068007500]}
spi_venusaur	妙蛙花{[010a|1800b0006d00690061006f002000770061002000680075006100]}
spi_charmander	小火龙{[010a|1c00b0007800690061006f002000680075006f0020006c006f006e006700]}
spi_mega_charizard_x	超级喷火龙Ｘ{[010a|3200b0006300680061006f0020006a0069002000700065006e002000680075006f0020006c006f006e0067002000230078002000]}
spi_blastoise	水箭龟{[010a|1c00b000730068007500690020006a00690061006e002000670075006900]}
spi_metapod	铁甲蛹{[010a|1a00b00074006900650020006a0069006100200079006f006e006700]}
spi_pidgey	波波{[010a|0e00b00062006f003100200062006f00]}
spi_arbok	阿柏怪{[010a|1400b0006100200062006f0020006700750061006900]}
spi_alolan_raichu	雷丘{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}{size[5000]}（阿罗拉的样子）{size[6400]}{[010a|3800b0006c006500690020007100690075002000610020006c0075006f0020006c0061002000640065002000790061006e00670020007a006900]}
spi_sandshrew	穿山鼠{[010a|2000b00063006800750061006e00310020007300680061006e002000730068007500]}
spi_clefairy	皮皮{[010a|0e00b000700069003200200070006900]}
spi_vulpix	六尾{[010a|1000b0006c00690075002000770065006900]}
spi_alolan_vulpix	六尾{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}{size[5000]}（阿罗拉的样子）{size[6400]}{[010a|3800b0006c006900750020007700650069002000610020006c0075006f0020006c0061002000640065002000790061006e00670020007a006900]}
spi_dugtrio	三地鼠{[010a|1600b000730061006e002000640069002000730068007500]}
spi_meowth	喵喵{[010a|1600b0006d00690061006f0020006d00690061006f002000]}
spi_psyduck	可达鸭{[010a|1400b0006b0065003300200064006100200079006100]}
spi_arcanine	风速狗{[010a|1c00b000660065006e00670031002000230073007500200067006f007500]}
spi_abra	凯西{[010a|0e00b0006b0061006900200078006900]}
spi_machamp	怪力{[010a|1000b000670075006100690020006c006900]}
spi_geodude	小拳石{[010a|1c00b0007800690061006f0020007100750061006e002000730068006900]}
spi_rapidash	烈焰马{[010a|1600b0006c00690065002000790061006e0020006d006100]}
spi_slowpoke	呆呆兽{[010a|1a00b00064006100690020006400610069002000730068006f007500]}
spi_magneton	三合一磁怪{[010a|2400b000730061006e0020006800650020007900690020006300690020006700750061006900]}
spi_farfetchd	大葱鸭{[010a|1800b000640061003400200063006f006e006700200079006100]}
spi_gengar	耿鬼{[010a|1200b000670065006e0067002000670075006900]}
spi_electrode	顽皮雷弹{[010a|1e00b000770061006e0020007000690020006c00650069002000640061006e00]}
spi_alolan_exeggutor	椰蛋树{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}{size[5000]}（阿罗拉的样子）{size[6400]}{[010a|3e00b000790065002000640061006e0020007300680075002000610020006c0075006f0020006c0061002000640065002000790061006e00670020007a006900]}
spi_cubone	卡拉卡拉{[010a|1800b0006b00610020006c00610020006b00610020006c006100]}
spi_hitmonlee	飞腿郎{[010a|1c00b0006600650069003100200074007500690020006c0061006e006700]}
spi_weezing	双弹瓦斯{[010a|2200b00073006800750061006e0067002000640061006e00200077006100200073006900]}
spi_chansey	吉利蛋{[010a|1600b0006a006900320020006c0069002000640061006e00]}
spi_kangaskhan	袋兽{[010a|1200b0006400610069002000730068006f007500]}
spi_mega_kangaskhan	超级袋兽{[010a|2200b0006300680061006f0020006a00690020006400610069002000730068006f007500]}
spi_goldeen	角金鱼{[010a|1a00b0006a00690061006f00330020006a0069006e00200079007500]}
spi_staryu	海星星{[010a|1c00b0006800610069002000780069006e0067002000780069006e006700]}
spi_pinsir	凯罗斯{[010a|1600b0006b006100690020006c0075006f00200073006900]}
spi_tauros	肯泰罗{[010a|1800b0006b0065006e00200074006100690020006c0075006f00]}
spi_gyarados	暴鲤龙{[010a|1c00b000620061006f003400200023006c00690020006c006f006e006700]}
spi_lapras	拉普拉斯{[010a|1800b0006c00610020007000750020006c006100200073006900]}
spi_ditto	百变怪{[010a|1e00b000620061006900330020006200690061006e0020006700750061006900]}
spi_eevee	伊布{[010a|0c00b00079006900200062007500]}
spi_porygon	多边兽{[010a|1c00b000640075006f0020006200690061006e002000730068006f007500]}
spi_snorlax	卡比兽{[010a|1600b0006b0061002000620069002000730068006f007500]}
spi_zapdos_moltres_articuno	急冻鸟{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}&{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}闪电鸟{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}&{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}火焰鸟{[010a|5400b0006a0069003200200064006f006e00670020006e00690061006f0020007300680061006e0020006400690061006e0020006e00690061006f002000680075006f002000790061006e0020006e00690061006f00]}
spi_dragonite	快龙{[010a|1400b0006b0075006100690020006c006f006e006700]}
spi_mega_mewtwo_y	超级超梦Ｙ{[010a|2c00b0006300680061006f0020006a00690020006300680061006f0020006d0065006e0067002000230079002000]}
spi_mew	梦幻{[010a|1600b0006d0065006e006700340020006800750061006e00]}
spi_chikorita	菊草叶{[010a|1400b0006a0075002000630061006f00200079006500]}
spi_togepi	波克比{[010a|1400b00062006f00310020006b006500200062006900]}
spi_ampharos	电龙{[010a|1400b0006400690061006e0020006c006f006e006700]}
spi_bellossom	美丽花{[010a|1600b0006d006500690020006c0069002000680075006100]}
spi_marill	玛力露{[010a|1400b0006d006100330020006c00690020006c007500]}
spi_sudowoodo	树才怪{[010a|1c00b0007300680075003400200063006100690020006700750061006900]}
spi_wooper	乌波{[010a|0e00b000770075003100200062006f00]}
spi_unown	未知图腾{[010a|2200b000770065006900340020007a00680069002000740075002000740065006e006700]}
spi_wobbuffet	果然翁{[010a|1c00b000670075006f0033002000720061006e002000770065006e006700]}
spi_steelix	大钢蛇{[010a|1a00b0006400610034002000670061006e0067002000730068006500]}
spi_scizor	巨钳螳螂{[010a|2600b0006a00750020007100690061006e002000740061006e00670020006c0061006e0067002000]}
spi_heracross	赫拉克罗斯{[010a|2200b00068006500340020006c00610020006b00650020006c0075006f00200073006900]}
spi_skarmory	盔甲鸟{[010a|1a00b0006b007500690020006a006900610020006e00690061006f00]}
spi_houndoom	黑鲁加{[010a|1600b00068006500690020006c00750020006a0069006100]}
spi_smeargle	图图犬{[010a|1800b00074007500320020007400750020007100750061006e00]}
spi_miltank	大奶罐{[010a|1a00b00064006100340020006e006100690020006700750061006e00]}
spi_raikou_entei_suicune	雷公{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}&{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}炎帝{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}&{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}水君{[010a|3200b0006c0065006900200067006f006e0067002000790061006e002000640069002000730068007500690020006a0075006e00]}
spi_tyranitar	班基拉斯{[010a|1a00b000620061006e0020006a00690020006c006100200073006900]}
spi_lugia	洛奇亚{[010a|1600b0006c0075006f003400200071006900200079006100]}
spi_ho_oh	凤王{[010a|1600b000660065006e00670034002000770061006e006700]}
spi_celebi	时拉比{[010a|1400b00073006800690020006c006100200062006900]}
spi_blaziken	火焰鸡{[010a|1800b000680075006f0033002000790061006e0020006a006900]}
spi_gardevoir	沙奈朵{[010a|1800b00073006800610020006e00610069002000640075006f00]}
spi_shedinja	脱壳忍者{[010a|2200b000740075006f0031002000b0006b0065002000720065006e0020007a0068006500]}
spi_flygon	沙漠蜻蜓{[010a|2400b00073006800610020006d006f002000710069006e0067002000740069006e0067002000]}
spi_milotic	美纳斯{[010a|1400b0006d006500690020006e006100200073006900]}
spi_absol	阿勃梭鲁{[010a|1800b0006100200062006f002000730075006f0020006c007500]}
spi_salamence	暴飞龙{[010a|1e00b000620061006f0034002000230066006500690020006c006f006e006700]}
spi_metagross	巨金怪{[010a|1800b0006a00750020006a0069006e0020006700750061006900]}
spi_latias_latios	拉帝亚斯{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}&{color[ff00ff00]}{size[3200]}_{size[6400]}{color[000000ff]}拉帝欧斯{[010a|3000b0006c00610020006400690020007900610020007300690020006c00610020006400690020006f007500200073006900]}
spi_kyogre	盖欧卡{[010a|1400b00067006100690020006f00750020006b006100]}
