msg_bgm+jp_ja.msbt
bgm_arrange	アレンジ
nam_technique_title_become_conscious	すばやく{r2[しょうき]}正気{/r2}にもどる
nam_technique_explain_become_conscious	ふらふらして{r2[うご]}動{/r2}けなくなったら\r\n{[0105|1300]}をガチャガチャ{r2[うご]}動{/r2}かしたり、ボタン{r2[れんだ]}連打{/r2}で\r\nすばやく{r2[た]}立{/r2}ち{r2[なお]}直{/r2}れ!!
nam_technique_title_final_smashes	{r2[さいご]}最後{/r2}の{r2[き]}切{/r2}りふだ
nam_technique_explain_final_smashes	“スマッシュボール”が{r2[あらわ]}現{/r2}れたら、{r2[こうげき]}攻撃{/r2}して{r2[と]}取{/r2}れ！\r\n{r2[と]}取{/r2}ったら{[0105|1300]}を{r2[たお]}倒{/r2}さず、{r2[ひっさつ]}必殺{/r2}ワザボタンで{r2[はつどう]}発動{/r2}!!\r\n\r\n{r2[つか]}使{/r2}えるのは1{r2[かい]}回{/r2}だけなので、よく{r2[み]}見{/r2}て{r2[あ]}当{/r2}てるべし
nam_technique_title_meteor_smash	メテオスマッシュ
nam_technique_explain_meteor_smash	{r2[あいて]}相手{/r2}を{r2[ました]}真下{/r2}にふっとばし､{r2[いっき]}一気{/r2}にK.O.!!\r\n\r\n{r2[いろいろ]}色々{/r2}なワザでメテオスマッシュを{r2[ねら]}狙{/r2}える\r\n\r\n　・ マリオ              ： {r2[まえくうちゅうこうげき]}前空中攻撃{/r2}\r\n　・ ドンキーコング ： {r2[まえくうちゅうこうげき]}前空中攻撃{/r2}\r\n　・ サムス              ： {r2[したくうちゅうこうげき]}下空中攻撃{/r2}\r\n　・ ヨッシー           ： {r2[まえくうちゅうこうげき]}前空中攻撃{/r2}\r\n　・ カービィ           ： {r2[したくうちゅうこうげき]}下空中攻撃{/r2}　　　など
nam_technique_title_shift_attack	シフト{r2[こうげき]}攻撃{/r2}
nam_technique_explain_shift_attack	{r2[いちぶ]}一部{/r2}の{r2[よこきょうこうげき]}横強攻撃{/r2}や{r2[よこ]}横{/r2}スマッシュ{r2[こうげき]}攻撃{/r2}は、\r\n{[0105|1300]}で{r2[ほうこう]}方向{/r2}を{r2[う]}打{/r2}ち{r2[わ]}分{/r2}けられる\r\n\r\n　・ {[0105|1300]}{r2[なな]}斜{/r2}め{r2[うえ]}上{/r2} ： {r2[うえむ]}上向{/r2}き{r2[こうげき]}攻撃{/r2}\r\n　・ {[0105|1300]}{r2[なな]}斜{/r2}め{r2[した]}下{/r2} ： {r2[したむ]}下向{/r2}き{r2[こうげき]}攻撃{/r2}\r\n\r\n{r2[あいて]}相手{/r2}と{r2[こうていさ]}高低差{/r2}がある{r2[とき]}時{/r2}に{r2[べんり]}便利{/r2}
nam_technique_title_smash_hold	スマッシュホールド
nam_technique_explain_smash_hold	スマッシュ{r2[こうげき]}攻撃{/r2}の{r2[とき]}時{/r2}、\r\n{r2[こうげき]}攻撃{/r2}ボタンを{r2[お]}押{/r2}し{r2[つづ]}続{/r2}けると{r2[ちから]}力{/r2}をためる\r\n1{r2[びょう]}秒{/r2}で{r2[さいだい]}最大{/r2}{r2[いりょく]}威力{/r2}になるが､\r\nその{r2[あと]}後{/r2}もしばらく{r2[と]}止{/r2}まっていられる
nam_technique_title_sjump	{r2[しょう]}小{/r2}ジャンプ
nam_technique_explain_sjump	ジャンプボタンを{r2[みじか]}短{/r2}く{r2[お]}押{/r2}すと、{r2[ちい]}小{/r2}さく{r2[は]}跳{/r2}ねる\r\n\r\nジャンプボタンと{r2[こうげき]}攻撃{/r2}ボタンを{r2[どうじ]}同時{/r2}に{r2[お]}押{/r2}すと、\r\n{r2[しょう]}小{/r2}ジャンプ{r2[ご]}後{/r2}､{r2[そくざ]}即座{/r2}に{r2[こうげき]}攻撃{/r2}できる\r\n\r\n{r2[ていくう]}低空{/r2}からの{r2[くうちゅうこうげき]}空中攻撃{/r2}は､さまざまな{r2[つか]}使{/r2}いみちがある
nam_technique_title_break_fall	{r2[う]}受{/r2}け{r2[み]}身{/r2}
nam_technique_explain_break_fall	ふっとばされ､カベや{r2[ゆか]}床{/r2}にぶつかる{r2[ちょくぜん]}直前{/r2}に\r\nシールドボタンを{r2[お]}押{/r2}すことでバウンドを{r2[ふせ]}防{/r2}げる\r\n\r\nスキを{r2[つく]}作{/r2}らず､バウンドによるミスを{r2[ふせ]}防{/r2}げる
nam_technique_title_hit_move	ふっとびずらし
nam_technique_explain_hit_move	ふっとばされる{r2[しゅんかん]}瞬間{/r2}､\r\n{[0105|1300]}でふっとび{r2[ほうこう]}方向{/r2}をずらすことができる\r\n\r\n{r2[すこ]}少{/r2}しでも{r2[たす]}助{/r2}かりやすい{r2[ほうこう]}方向{/r2}に{r2[む]}向{/r2}けるべし
nam_technique_title_hit_stop_move	ヒットストップずらし
nam_technique_explain_hit_stop_move	{r2[こうげき]}攻撃{/r2}を{r2[う]}受{/r2}けた{r2[しゅんかん]}瞬間{/r2}に{[0105|1300]}をはじくと、\r\n{r2[じぶん]}自分{/r2}の{r2[いち]}位置{/r2}をはじいた{r2[ほうこう]}方向{/r2}にずらせる\r\n\r\n{r2[なんど]}何度{/r2}もずらせば、{r2[あいて]}相手{/r2}の{r2[れんぞく]}連続{/r2}{r2[こうげき]}攻撃{/r2}から\r\n{r2[ぬ]}抜{/r2}け{r2[だ]}出{/r2}すことができる
nam_technique_title_just_shield	ジャストシールド
nam_technique_explain_just_shield	シールド{r2[ちゅう]}中{/r2}、{r2[あいて]}相手{/r2}の{r2[こうげき]}攻撃{/r2}が{r2[あ]}当{/r2}たる{r2[ちょくぜん]}直前{/r2}に\r\nシールドボタンを{r2[はな]}離{/r2}すと、{r2[あいて]}相手{/r2}の{r2[こうげき]}攻撃{/r2}を{r2[むこうか]}無効化{/r2}する\r\n\r\nシールドが{r2[ちい]}小{/r2}さくならない\r\nまた{r2[こうちょく]}硬直{/r2}せず、すばやい{r2[はんげき]}反撃{/r2}ができる
nam_technique_title_shieldshift	シールドシフト
nam_technique_explain_shieldshift	シールド{r2[ちゅう]}中{/r2}に{[0105|1300]}を{r2[かる]}軽{/r2}く{r2[たお]}倒{/r2}すと、シールドがずれる\r\n\r\n　・ シールドボタン ＋ シールドボタン\r\n　・ シールドボタン ＋ {r2[ひっさつ]}必殺{/r2}ワザボタン\r\n\r\nのどちらかで、{r2[かくじつ]}確実{/r2}に{r2[だ]}出{/r2}すことができる\r\n\r\nシールドが{r2[ちい]}小{/r2}さくなった{r2[とき]}時{/r2}に{r2[やくだ]}役立{/r2}つ
nam_technique_title_shieldcancel_smashattack	シールドキャンセル{r2[うえ]}上{/r2}スマッシュ{r2[こうげき]}攻撃{/r2}
nam_technique_explain_shieldcancel_smashattack	シールド{r2[ちゅう]}中{/r2}に{[0105|1300]}{r2[うえ]}上{/r2}はじき ＋ {r2[こうげき]}攻撃{/r2}ボタンで、\r\nすぐに{r2[うえ]}上{/r2}スマッシュ{r2[こうげき]}攻撃{/r2}を{r2[だ]}出{/r2}すことができる\r\n\r\nシールドで{r2[あいて]}相手{/r2}の{r2[ようす]}様子{/r2}をうかがいながら、\r\nすばやい{r2[たいおう]}対応{/r2}が{r2[かのう]}可能{/r2}
nam_technique_title_air_escape_move	{r2[くうちゅうかいひ]}空中回避{/r2}
nam_technique_explain_air_escape_move	{r2[くうちゅう]}空中{/r2}でシールドボタンを{r2[お]}押{/r2}すと、\r\nすばやく{r2[こうげき]}攻撃{/r2}をかわす\r\n{[0105|1300]}を{r2[たお]}倒{/r2}していると、\r\nその{r2[ほうこう]}方向{/r2}に{r2[いどう]}移動{/r2}しながらかわす\r\n\r\nガケぎわの{r2[ふっき]}復帰{/r2}にも{r2[やくだ]}役立{/r2}つ
nam_technique_title_item_catch	アイテムキャッチ
nam_technique_explain_item_catch	アイテムがぶつかる{r2[ちょくぜん]}直前{/r2}に\r\n{r2[こうげき]}攻撃{/r2}ボタンで、アイテムをつかむ\r\n{r2[ちじょう]}地上{/r2}だけでなく、{r2[くうちゅう]}空中{/r2}でも{r2[かのう]}可能{/r2}
nam_technique_title_step_jump	{r2[ふ]}踏{/r2}み{r2[だい]}台{/r2}ジャンプ
nam_technique_explain_step_jump	{r2[あいて]}相手{/r2}の{r2[ずじょう]}頭上{/r2}でジャンプすると、\r\n{r2[ふ]}踏{/r2}みつけジャンプを{r2[おこな]}行{/r2}える\r\n\r\n{r2[ふっき]}復帰{/r2}の{r2[ぼうがい]}妨害{/r2}に{r2[つか]}使{/r2}えることもある
nam_technique_title_beanbag	お{r2[てだま]}手玉{/r2}
nam_technique_explain_beanbag	{r2[あいて]}相手{/r2}を{r2[かる]}軽{/r2}く{r2[う]}浮{/r2}かせるワザで、\r\n{r2[れんぞくてき]}連続的{/r2}に{r2[たた]}叩{/r2}ける{r2[ばあい]}場合{/r2}がある\r\n{r2[おも]}主{/r2}に{r2[うえきょうこうげき]}上強攻撃{/r2}が{r2[つか]}使{/r2}える\r\n\r\n{r2[あいて]}相手{/r2}の{r2[ちくせき]}蓄積{/r2}ダメージが\r\nたまっていないときがチャンス
nam_technique_title_dive	{r2[きゅうこうか]}急降下{/r2}
nam_technique_explain_dive	{r2[くうちゅう]}空中{/r2}で{[0105|1300]}を{r2[した]}下{/r2}にはじくと、すばやく{r2[らっか]}落下{/r2}\r\n\r\n{r2[あいて]}相手{/r2}の{r2[ついげき]}追撃{/r2}を{r2[う]}受{/r2}けにくくなるが、{r2[じめつ]}自滅{/r2}に{r2[ちゅうい]}注意{/r2}
nam_technique_title_dash_hold	ダッシュつかみ
nam_technique_explain_dash_hold	ダッシュや{r2[そうこうちゅう]}走行中{/r2}につかみをおこなうと、\r\nより{r2[ひろ]}広{/r2}い{r2[はんい]}範囲{/r2}の{r2[あいて]}相手{/r2}をつかむことができる\r\n\r\nからぶりしたときのスキも{r2[おお]}大{/r2}きいので{r2[ちゅうい]}注意{/r2}
nam_technique_title_cliff_meteor	ガケメテオ
nam_technique_explain_cliff_meteor	{r2[せんじょう]}戦場{/r2}や{r2[しゅうてん]}終点{/r2}のガケぎわで、{r2[あいて]}相手{/r2}をカベにぶつけると\r\n{r2[した]}下{/r2}に{r2[む]}向{/r2}かってはね{r2[かえ]}返{/r2}る\r\n\r\nリスクがあるが、{r2[こうげき]}攻撃{/r2}のチャンス！
nam_technique_title_catch_cliff_taking	ガケつかみを{r2[うば]}奪{/r2}う
nam_technique_explain_catch_cliff_taking	{r2[あいて]}相手{/r2}がガケにつかまっているとき、\r\n{r2[あと]}後{/r2}からつかまると、{r2[あいて]}相手{/r2}を{r2[お]}押{/r2}し{r2[だ]}出{/r2}す\r\n\r\n{r2[お]}押{/r2}し{r2[だ]}出{/r2}された{r2[あいて]}相手{/r2}を{r2[ついげき]}追撃{/r2}することもできる
nam_technique_title_catch_cliff_careful	{r2[れんぞく]}連続{/r2}ガケつかまりの{r2[ちゅういてん]}注意点{/r2}
nam_technique_explain_catch_cliff_careful	{r2[ちゃくち]}着地{/r2}せず{r2[れんぞく]}連続{/r2}でガケをつかむと、ペナルティを{r2[う]}受{/r2}ける\r\n\r\nガケをつかむたびにスキが{r2[ふ]}増{/r2}え、\r\nガケをのぼる{r2[とき]}時{/r2}の{r2[むてき]}無敵{/r2}{r2[じかん]}時間{/r2}が{r2[へ]}減{/r2}る\r\n\r\n{r2[さいご]}最後{/r2}にはガケをつかめなくなる
nam_technique_title_score_snatch	{r2[とくてん]}得点{/r2}の{r2[よこど]}横取{/r2}り
nam_technique_explain_score_snatch	{r2[あいて]}相手{/r2}を{r2[げきつい]}撃墜{/r2}したときの{r2[とくてん]}得点{/r2}は、\r\n{r2[さいご]}最後{/r2}に{r2[こうげき]}攻撃{/r2}を{r2[あ]}当{/r2}てたプレイヤーのものになる\r\n\r\n{r2[ほか]}他{/r2}のプレイヤーにふっとばされている{r2[あいて]}相手{/r2}に\r\n{r2[こうげき]}攻撃{/r2}を{r2[あ]}当{/r2}てて、{r2[よこど]}横取{/r2}りをねらえ!!
nam_technique_title_keep_charge	{r2[ひっさつ]}必殺{/r2}ワザのためを{r2[ほじ]}保持{/r2}
nam_technique_explain_keep_charge	{r2[いちぶ]}一部{/r2}の{r2[ひっさつ]}必殺{/r2}ワザは､\r\nボタンを{r2[お]}押{/r2}すとチャージできる\r\n{r2[さいだい]}最大{/r2}チャージ{r2[ご]}後{/r2}の{r2[こうげき]}攻撃{/r2}は{r2[いりょく]}威力{/r2}バツグン!!\r\n\r\nチャージ{r2[ちゅう]}中{/r2}にシールドすると\r\nその{r2[とき]}時{/r2}の{r2[いりょく]}威力{/r2}を{r2[たも]}保{/r2}つことができる\r\n\r\n【チャージを{r2[たも]}保{/r2}てるワザ】\r\n　・ ドンキーコング ： ジャイアントパンチ\r\n　・ サムス　　　　 ： チャージショット\r\n　・ パックマン　　 ： フルーツターゲット\r\n　・ ロボット　　　 ： ジャイロ\r\n　・ ルカリオ　　　 ： はどうだん　　　など
nam_technique_title_counter	カウンター
nam_technique_explain_counter	かまえ{r2[ちゅう]}中{/r2}に{r2[あいて]}相手{/r2}の{r2[こうげき]}攻撃{/r2}を{r2[う]}受{/r2}けると{r2[はんげき]}反撃{/r2}する\r\nくらった{r2[こうげき]}攻撃{/r2}が{r2[つよ]}強{/r2}いほど、{r2[はんげき]}反撃{/r2}の{r2[いりょく]}威力{/r2}もアップ!!\r\n\r\n【カウンターできるワザ】\r\n　・ マルス            ： カウンター\r\n　・ リトル・マック ： スリッピングカウンター\r\n　・ シュルク         ： ビジョン\r\n　・ カムイ            ： {r2[はんりゅうせん]}反竜穿{/r2}　　　など
nam_technique_title_reflection	{r2[はんしゃ]}反射{/r2}
nam_technique_explain_reflection	{r2[と]}飛{/r2}び{r2[どうぐ]}道具{/r2}やアイテムをはね{r2[かえ]}返{/r2}して{r2[はんげき]}反撃{/r2}できる\r\nスピードが{r2[たか]}高{/r2}まり、{r2[いりょくだい]}威力大{/r2}!!\r\n\r\n【{r2[はんしゃ]}反射{/r2}できるワザ】\r\n　・ マリオ　　 ： スーパーマント\r\n　・ フォックス ： リフレクター\r\n　・ ネス　　　 ： バットスイング\r\n　・ ゼルダ 　   ： ネールの{r2[あい]}愛{/r2}\r\n　・ ピット　    ： {r2[えいせい]}衛星{/r2}ガーディアンズ　　　など\r\n\r\nお{r2[たが]}互{/r2}いに{r2[はんしゃ]}反射{/r2}を{r2[く]}繰{/r2}り{r2[かえ]}返{/r2}すと､\r\n{r2[こうげきりょく]}攻撃力{/r2}が{r2[たか]}高{/r2}まり{r2[はんしゃ]}反射{/r2}が{r2[やぶ]}破{/r2}られる
nam_technique_title_absorption_recovery	{r2[きゅうしゅう]}吸収{/r2}による{r2[かいふく]}回復{/r2}
nam_technique_explain_absorption_recovery	ワザ{r2[ちゅう]}中{/r2}に、エネルギー{r2[けい]}系{/r2}の{r2[と]}飛{/r2}び{r2[どうぐ]}道具{/r2}を{r2[う]}受{/r2}けると、{r2[かいふく]}回復{/r2}する\r\n{r2[かいふくりょう]}回復量{/r2}は{r2[と]}飛{/r2}び{r2[どうぐ]}道具{/r2}の{r2[つよ]}強{/r2}さに{r2[ひれい]}比例{/r2}\r\n\r\n【{r2[きゅうしゅう]}吸収{/r2}して{r2[かいふく]}回復{/r2}できるワザ】\r\n　・ ネス / リュカ ： サイマグネット\r\n　・ Mii({r2[しゃげき]}射撃{/r2})       ： アブソーバー
nam_technique_title_gamewatch_absorb_reflect	{r2[きゅうしゅう]}吸収{/r2}と{r2[はんしゃ]}反射{/r2}を{r2[か]}兼{/r2}ねたワザ
nam_technique_explain_gamewatch_absorb_reflect	{r2[した]}下{/r2}{r2[ひっさつ]}必殺{/r2}ワザで、エネルギー{r2[けい]}系{/r2}{r2[と]}飛{/r2}び{r2[どうぐ]}道具{/r2}を{r2[きゅうしゅう]}吸収{/r2}する\r\n\r\n{r2[さいだい]}最大{/r2}まで{r2[きゅうしゅう]}吸収{/r2}すると、{r2[いりょく]}威力{/r2}バツグンのオイル{r2[こうげき]}攻撃{/r2}!!\r\n\r\nオイルの{r2[つよ]}強{/r2}さは、{r2[と]}飛{/r2}び{r2[どうぐ]}道具{/r2}の{r2[つよ]}強{/r2}さに{r2[ひれい]}比例{/r2}する\r\n\r\n{r2[きゅうしゅう]}吸収{/r2}できないものは{r2[はんしゃ]}反射{/r2}する
nam_technique_title_palutena_counter_reflect	カウンターと{r2[はんしゃ]}反射{/r2}を{r2[か]}兼{/r2}ねたワザ
nam_technique_explain_palutena_counter_reflect	{r2[した]}下{/r2}{r2[ひっさつ]}必殺{/r2}ワザは、2つのワザに{r2[ぶんき]}分岐{/r2}する\r\n\r\n　・ {r2[こうげき]}攻撃{/r2}を{r2[う]}受{/r2}けるとカウンター\r\n　・ {r2[と]}飛{/r2}び{r2[どうぐ]}道具{/r2}を{r2[う]}受{/r2}けると{r2[はんしゃばん]}反射盤{/r2}
nam_technique_title_wire_recovery	ワイヤー{r2[ふっき]}復帰{/r2}
nam_technique_explain_wire_recovery	ガケにワイヤーの{r2[こうげき]}攻撃{/r2}を{r2[あ]}当{/r2}てると、\r\nひっかかってぶら{r2[さ]}下{/r2}がる\r\n\r\nぶら{r2[さ]}下{/r2}がったら、{r2[こうげき]}攻撃{/r2}ボタンで\r\n{r2[ま]}巻{/r2}き{r2[あ]}上{/r2}げてガケをつかめる\r\n{[0105|1300]}{r2[うえ]}上{/r2}でも{r2[かのう]}可能{/r2}\r\n\r\n【ワイヤーをガケにひっかけられるファイター】\r\n　・ サムス\r\n　・ こどもリンク\r\n　・ トゥーンリンク\r\n　・ ゼロスーツサムス\r\n　・ シモン　　　　　　　　　　など
nam_technique_title_wall_jump	カベジャンプ
nam_technique_explain_wall_jump	{r2[くうちゅう]}空中{/r2}でカベに{r2[ふ]}触{/r2}れている{r2[とき]}時{/r2}に\r\n{[0105|1300]}を{r2[はんたいがわ]}反対側{/r2}に{r2[たお]}倒{/r2}すと、\r\nカベを{r2[け]}蹴{/r2}ってジャンプする\r\n\r\n【カベを{r2[け]}蹴{/r2}ってジャンプできるファイター】\r\n　・ マリオ\r\n　・ サムス\r\n　・ フォックス\r\n　・ ピカチュウ\r\n　・ むらびと\r\n　・ パックマン　　　など\r\n\r\n{r2[き]}切{/r2}り{r2[た]}立{/r2}った{r2[あしば]}足場{/r2}なら、{r2[ふっき]}復帰{/r2}に{r2[やくだ]}役立{/r2}つ
nam_technique_title_jumps	{r2[ただん]}多段{/r2}ジャンプ
nam_technique_explain_jumps	{r2[いちぶ]}一部{/r2}のファイターは、\r\n{r2[くうちゅう]}空中{/r2}ジャンプを{r2[すうかい]}数回{/r2}できる\r\n{r2[と]}跳{/r2}ぶたびに、{r2[じょうしょうそくど]}上昇速度{/r2}はだんだん{r2[お]}落{/r2}ちる\r\n\r\n【{r2[ただん]}多段{/r2}ジャンプできるファイター】\r\n　・ カービィ\r\n　・ ピット\r\n　・ リザードン\r\n　・ デデデ\r\n　・ プリン\r\n　・ リドリー　　　　　など\r\n\r\n{r2[くうちゅう]}空中{/r2}ジャンプできる{r2[かいすう]}回数{/r2}は、ファイターごとに{r2[こと]}異{/r2}なる
nam_technique_title_change_special	{r2[にゅうりょく]}入力{/r2}で{r2[へんか]}変化{/r2}する{r2[ひっさつ]}必殺{/r2}ワザ
nam_technique_explain_change_special	{r2[いちぶ]}一部{/r2}の{r2[ひっさつ]}必殺{/r2}ワザは、ボタンやスティックの\r\n{r2[そうさ]}操作{/r2}の{r2[しかた]}仕方{/r2}で{r2[こうか]}効果{/r2}が{r2[か]}変{/r2}わる\r\n\r\n{r2[たと]}例{/r2}えば、サムスの{r2[よこひっさつ]}横必殺{/r2}ワザは\r\n{r2[つうじょう]}通常{/r2}だとミサイルだが、はじき{r2[にゅうりょく]}入力{/r2}をすると\r\n{r2[そくど]}速度{/r2}が{r2[はや]}速{/r2}いスーパーミサイルになる\r\n\r\n【{r2[そうさ]}操作{/r2}で{r2[こうか]}効果{/r2}が{r2[か]}変{/r2}わる{r2[ひっさつ]}必殺{/r2}ワザ】　\r\n　リンク　 ： ブーメラン\r\n　ヨッシー ： たまご{r2[な]}投{/r2}げ\r\n　マルス　 ： マーベラスコンビネーション\r\n　デデデ　  ： ゴルドー{r2[な]}投{/r2}げ　　　　　　　　　　など
nam_technique_title_mario_doctor_invert	{r2[はんてん]}反転{/r2}
nam_technique_explain_mario_doctor_invert	スーパーマントやスーパーシーツは、\r\n{r2[あいて]}相手{/r2}の{r2[む]}向{/r2}きを{r2[ぎゃく]}逆{/r2}にする\r\n\r\n　・ {r2[あいて]}相手{/r2}を{r2[ぎゃく]}逆{/r2}{r2[む]}向{/r2}きにして{r2[だげき]}打撃{/r2}を{r2[さ]}避{/r2}ける\r\n　・ {r2[あしば]}足場{/r2}に{r2[もど]}戻{/r2}ろうとする{r2[あいて]}相手{/r2}を{r2[ぼうがい]}妨害{/r2}\r\n　・ {r2[と]}飛{/r2}び{r2[どうぐ]}道具{/r2}を{r2[はんしゃ]}反射{/r2}する　　　　　　　　　などが{r2[かのう]}可能{/r2}\r\n\r\nなお、マントよりもシーツの{r2[ほう]}方{/r2}が、{r2[たてなが]}縦長{/r2}の{r2[はんい]}範囲{/r2}を{r2[おお]}覆{/r2}う
nam_technique_title_donkey_lifting	 リフティング
nam_technique_explain_donkey_lifting	つかみ{r2[ちゅう]}中{/r2}に、{[0105|1300]}{r2[まえ]}前{/r2}で{r2[あいて]}相手{/r2}を{r2[も]}持{/r2}ち{r2[あ]}上{/r2}げる\r\n\r\n　・ {r2[も]}持{/r2}ち{r2[あ]}上{/r2}げたまま、{r2[ある]}歩{/r2}きやジャンプが{r2[かのう]}可能{/r2}\r\n　・ {r2[こうげき]}攻撃{/r2}ボタンで{r2[な]}投{/r2}げ\r\n\r\nガケから{r2[お]}落{/r2}ちながら{r2[あいて]}相手{/r2}を{r2[な]}投{/r2}げる{r2[せんぽう]}戦法{/r2}もある
nam_technique_title_link_snake_remocon_bomb	リモコン{r2[ばくだん]}爆弾{/r2}
nam_technique_explain_link_snake_remocon_bomb	{r2[した]}下{/r2}{r2[ひっさつ]}必殺{/r2}ワザで{r2[と]}取{/r2}り{r2[だ]}出{/r2}した{r2[ばくだん]}爆弾{/r2}を{r2[てばな]}手放{/r2}したら\r\n{r2[ふたた]}再{/r2}び{r2[した]}下{/r2}{r2[ひっさつ]}必殺{/r2}ワザで{r2[きばく]}起爆{/r2}!!\r\n\r\nここぞというタイミングを{r2[ねら]}狙{/r2}うべし
nam_technique_title_kirby_suction	すいこみ
nam_technique_explain_kirby_suction	{r2[つうじょうひっさつ]}通常必殺{/r2}ワザで{r2[あいて]}相手{/r2}をすいこむ\r\n\r\nほおばったら\r\n　・ {r2[ひっさつ]}必殺{/r2}ワザボタン ： {r2[あいて]}相手{/r2}をコピー\r\n　・ {r2[つうじょう]}通常{/r2}ワザボタン ： {r2[あいて]}相手{/r2}を{r2[ほしがただん]}星型弾{/r2}として{r2[は]}吐{/r2}き{r2[だ]}出{/r2}す\r\n\r\nコピーすると、{r2[あいて]}相手{/r2}の{r2[つうじょうひっさつ]}通常必殺{/r2}ワザを{r2[つか]}使{/r2}える\r\nアピールすると、コピーを{r2[かいじょ]}解除{/r2}できる
nam_technique_title_pikachu_gekkouga_turn	{r2[ほうこう]}方向{/r2}{r2[てんかん]}転換{/r2}できる{r2[ひっさつ]}必殺{/r2}ワザ
nam_technique_explain_pikachu_gekkouga_turn	でんこうせっかやハイドロポンプは、{[0105|1300]}の{r2[む]}向{/r2}きに{r2[と]}飛{/r2}ぶ\r\n{r2[とちゅう]}途中{/r2}で{r2[む]}向{/r2}きを{r2[か]}変{/r2}えれば、2{r2[かい]}回{/r2}{r2[と]}飛{/r2}べる\r\n\r\nすばやく{r2[ほうこう]}方向{/r2}を{r2[か]}変{/r2}えて、{r2[ひきょり]}飛距離{/r2}アップ!!
nam_technique_title_ness_lucas_pkthunder_recovery	PKサンダーでの{r2[ふっき]}復帰{/r2}
nam_technique_explain_ness_lucas_pkthunder_recovery	PKサンダーを{r2[そうさ]}操作{/r2}して{r2[じぶん]}自分{/r2}に{r2[あ]}当{/r2}てると､\r\n{r2[きょうりょく]}強力{/r2}な{r2[たいあ]}体当{/r2}たり{r2[こうげき]}攻撃{/r2}になる\r\n\r\nこれを{r2[つか]}使{/r2}って{r2[あしば]}足場{/r2}にもどることができる
nam_technique_title_purin_rest	ねむる
nam_technique_explain_purin_rest	{r2[あいて]}相手{/r2}と{r2[かさ]}重{/r2}なっている{r2[とき]}時{/r2}に{r2[した]}下{/r2}{r2[ひっさつ]}必殺{/r2}ワザでねむると､\r\n{r2[あいて]}相手{/r2}に{r2[つよ]}強{/r2}いダメージを{r2[あた]}与{/r2}えられる\r\n\r\nこうかはばつぐんだ！
nam_technique_title_diddy_barreljet	バレルジェット
nam_technique_explain_diddy_barreljet	{r2[うえ]}上{/r2}{r2[ひっさつ]}必殺{/r2}ワザは、{r2[ひっさつ]}必殺{/r2}ワザボタン{r2[ながお]}長押{/r2}しで{r2[ちから]}力{/r2}をためる\r\nためてから{r2[はな]}離{/r2}すと、{r2[ひきょり]}飛距離{/r2}アップ!!
nam_technique_title_peach_daisy_levitation	{r2[くうちゅう]}空中{/r2}{r2[ふゆう]}浮遊{/r2}
nam_technique_explain_peach_daisy_levitation	ジャンプボタンを{r2[お]}押{/r2}し{r2[つづ]}続{/r2}けると、\r\nその{r2[ば]}場{/r2}で{r2[たか]}高{/r2}さを{r2[たも]}保{/r2}てる\r\n\r\n{[0105|1300]}を{r2[した]}下{/r2}に{r2[たお]}倒{/r2}したままジャンプボタンで\r\n{r2[じめん]}地面{/r2}すれすれに{r2[う]}浮{/r2}かぶこともできる
nam_technique_title_poketrainer_pokemon_change	ポケモンチェンジ
nam_technique_explain_poketrainer_pokemon_change	{r2[した]}下{/r2}{r2[ひっさつ]}必殺{/r2}ワザで、バトルで{r2[つか]}使{/r2}うポケモンを{r2[か]}変{/r2}える\r\n\r\nポケモンは\r\nゼニガメ → フシギソウ → リザードン\r\nの{r2[じゅん]}順{/r2}に{r2[い]}入{/r2}れ{r2[か]}替{/r2}わる
nam_technique_title_monadoarts	モナドアーツ
