aaa.msbt
pro_00	有信喔～
msg_mail_peach_stg4_00	瑪利歐：\n我知道傳說中的寶物是什麼了。\n那就是「魔物的靈魂」。\n他們企圖用那股力量來征服世界。\n\n雖然他們蒐集星之石的目的，\n是為了打開千年之門，\n並解除魔物靈魂的封印，\n不過星之石同時也是\n能夠再次封印魔物的東西。\n\n絕對不能把星之石交給他們。\n瑪利歐，拜託你了。\n請阻止他們的計畫吧。\n\n{[0202]}碧姬上\x0f\x02\x02
msg_mail_peach_stg5_name_00	好消息
msg_mail_peach_stg5_00	瑪利歐：\n告訴你一個好消息。\n我被關的地方有台怪怪的電腦，\n名字叫做「提克」。\n我和「提克」聯手之後，\n成功得到那些人的重要資料了。\n現在「提克」正在分析那些資料。\n等資料分析完畢，\n應該就能更加了解他們的計畫內容。\n\n如果有新發現，我會再寄郵件給你。\n\n{[0202]}碧姬上\x0f\x02\x02
msg_mail_peach_stg6_name_00	我所在的地方
msg_mail_peach_stg6_00	瑪利歐：\n我知道我被抓來的地方是哪裡了。\n\n這裡是「月亮」。\n高掛在夜空中的那個「月亮」。\n\n而且我還得知了一件\n更加不妙的事情。\n那就是如果要讓「魔物的靈魂」復活，\n就會需要我的…………
msg_mail_nazo_stg3_name_00	無主旨
msg_mail_nazo_stg3_name_00_from	匿名
msg_mail_nazo_stg3_00	如 果 你 想 接 近 星 之 石 ，\n今 後 得 聽 從 我 的 指 示 。\n\n{[0202]}X 上\x0f\x02\x02
msg_mail_nazo_stg3_01	去 鬥 技 場 附 近 的 飲 料 吧。\n\n{[0202]}X 上\x0f\x02\x02
msg_mail_nazo_stg3_02	把 休 息 室 裡\n封 住 的 牆 壁 破 壞 掉 。\n\n{[0202]}X 上\x0f\x02\x02
msg_mail_nazo_stg3_03	如果繼續多管閒事，\n小心小命不保。
msg_mail_nazo_stg3_04	去 烏 龍 街 的 電 話 亭 。\n\n{[0202]}X 上\x0f\x02\x02
msg_mail_nazo_stg3_05	打 開 倉 庫 的 門 。\n\n{[0202]}X 上\x0f\x02\x02
msg_mail_nazo_stg3_06	找 出 爬 上 2 樓 的 開 關。\n\n{[0202]}X 上\x0f\x02\x02
msg_mail_nazo_stg3_07	這是最後的警告！\n不要再繼續追查星之石了。\n\n否則你也會和下落不明的人\n落到同樣下場……
msg_mail_nazo_stg3_08	把 貼 在 大 廳 的\n偉 大 的 岡 薩 雷 茲 海 報 撕 掉 。\n\n{[0202]}X 上\x0f\x02\x02
msg_mail_nazo_stg3_09	打 開 倉 庫 2 樓 的 門 。\n\n{[0202]}X 上\x0f\x02\x02
msg_mail_nazo_stg3_10	查 明 幽 靈 的 真 實 身 分。\n\n{[0202]}X 上\x0f\x02\x02
msg_mail_contact_lens_name	到貨通知
msg_mail_contact_lens_name_from	奇諾奇諾兄弟
msg_mail_contact_lens	瑪利歐您好：\n\n感謝您對「奇諾奇諾兄弟的店」\n一直以來的支持。\n\n您之前詢問的「隱形眼鏡」已經到貨了，\n歡迎您蒞臨本店購買。\n\n{[0202]}奇諾奇諾兄弟的店\x0f\x02\x02
msg_mail_badge_stg2_name	關於推薦的徽章
msg_mail_badge_stg2_from	富朗克栗
msg_mail_badge_stg2	瑪利歐，你有沒有好好努力啊？\n老夫是富朗克栗。\n\n瑪利歐\n老夫有件事情忘記告訴你了。\n那就是老夫推薦的徽章。\n\n那徽章名叫「火速殲滅徽章」，\n裝備後遇到弱小的敵人時，不用和他戰鬥，\n只需要發動先制攻擊就能打倒對方喔。\n\n「火速殲滅徽章」可以在\n惡棍鎮的徽章店買到。\n\n如果要去徽章店，\n可以從旅館2樓過去。\n建議你買一下比較好喔。\n\n{[0202]}富朗克栗上\x0f\x02\x02
msg_mail_tips_01_name	關於方便的按鍵
msg_mail_tips_01_from	富朗克栗
msg_mail_tips_01	瑪利歐，你有沒有好好努力啊？\n老夫是富朗克栗。\n\n相信你在冒險旅途中，\n像克栗斯汀這樣的同伴會越來越多。\n\n長按打開同伴環，\n就能快速切換身邊的同伴。\n\n無法前進時切換成其他同伴，\n或許就會想到新點子喔。\n\n另外還有一件事，\n你平常也許都是按/來查看選單，\n但是按也能開啟選單中的各個頁面。\n\n是持有物品\n是同伴\n是徽章\n是旅行記錄\n\n……可像這樣立刻開啟對應的頁面。\n非常方便，建議你記起來喔。\n\n那麼，祝你們旅途平安。\n\n{[0202]}富朗克栗上\x0f\x02\x02
msg_mail_princemush_name	請和我切磋！
msg_mail_princemush_from	奇諾辛切夫
msg_mail_princemush	瑪利歐，好久不見了！\n你還記得我嗎？\n我是奇諾席可娃的弟弟，奇諾辛切夫。\n\n感謝你上次救了我！\n如果沒有姊姊和瑪利歐幫忙，\n真不知道我會變成怎麼樣……\n光想像就覺得可怕。\n\n對了，瑪利歐。\n你知道我正為了復出而在努力鍛鍊當中嗎？\n從那以後我歷經千辛萬苦，\n完成了無數艱難的鍛鍊。\n\n終於……\n蘑力王子復出的時候到了！\n\n我無論如何都想讓瑪利歐看看現在的我，\n所以跑去拜託姊姊替我和瑪利歐\n安排了一場特別的比賽！\n\n我在鬥技場的「熱身賽」等你！\n並讓你看看強化過後的蘑力王子！\n\n{[0202]}奇諾辛切夫上\x0f\x02\x02
info_mail_name_08	惡宣電　號外
info_mail_08	{[0200]}－－－－－－－－－－－－－－－－－－\x0f\x02\0\n{[0200]}惡宣電　號外\x0f\x02\0\n{[0200]}緊急特別版！\x0f\x02\0\n{[0200]}100層地下城的底部\x0f\x02\0\n{[0200]}發現了夢幻生物！！\x0f\x02\0　\n{[0200]}－－－－－－－－－－－－－－－－－－\x0f\x02\0\n今日的惡棍鎮\n今日凌晨，編輯部收到了一則消息，\n內容指出有神秘生物棲息在\n100層地下城底部的邪龍巢穴當中。\n根據目擊者表示，\n該生物與部分人士認為已絕種的\n「那個」生物極為相似……\n編輯部期待讀者提供進一步的消息！\n\n編輯後記\n各位勇於挑戰100層地下城的讀者們！\n請務必做好萬全準備！祝你們一切順利！！\n這地方非常危險，好孩子們千萬別靠近喔！\n\n\n{[0200]}\x0f\x02\0\n{[0200]}惡宣電　發行‧編輯\x0f\x02\0\n{[0200]}「惡棍鎮復興委員」\x0f\x02\0\n{[0200]}\x0f\x02\0
msg_mail_complete_00_name	「百科知識」蒐集完畢！
msg_mail_complete_00	恭喜你！\n你蒐集完所有敵人的資訊了！\n\n在此頒發「百科知識獎盃」，\n證明百科知識已全數蒐集完畢！\n\n獎盃放在重要物品裡面，\n拿去向朋友炫耀一番吧！
msg_mail_complete_01_name	「徽章」蒐集完畢！
msg_mail_complete_01	恭喜你！\n你獲得這個世界的所有徽章了！\n\n在此頒發「徽章獎盃」，\n證明徽章已全數蒐集完畢！\n\n獎盃放在重要物品裡面，\n拿去向朋友炫耀一番吧！
msg_mail_complete_02_name	「料理」蒐集完畢！
msg_mail_complete_02	恭喜你！\n你獲得所有南希製作的料理了！\n\n在此頒發「料理獎盃」，\n證明料理已全數蒐集完畢！\n\n獎盃放在重要物品裡面，\n拿去向朋友炫耀一番吧！
msg_mail_complete_all_name	「列表」蒐集完畢！
msg_mail_complete_all	恭喜你！\n你蒐集完「百科知識」「徽章」\n「料理」列表的所有內容了！\n\n快去惡棍鎮廣場看看吧！\n\n閃閃發光的東西正在等著你！
moo.msbt
stg7_moo_03_kur	啊，真是嚇一跳栗～{[0004]}沒想到會被這樣發射過來……
stg7_moo_03_nok	啊，嚇了我一跳～{[0004]}沒想到會被這樣發射過來……
stg7_moo_03_win	討厭，嚇了我一跳。{[0004]}沒想到會被這樣發射過來呢……
stg7_moo_03_yos	哇，嚇我一跳～{[0004]}沒想到會被這樣發射過來……
stg7_moo_03_viv	啊，害人家嚇了一跳～{[0004]}沒想到會被這樣發射過來……
stg7_moo_03_bom	喔，嚇老夫一跳。{[0004]}想不到會被這樣發射過來……
stg7_moo_03_chu	啊，嚇了我一跳呢。{[0004]}沒想到會被這樣發射過來……
stg7_moo_04_kur	不過，看來我們總算是來到月亮上了。{[0004]}好了，瑪利歐！{[0100|fa000000]}\n我們去尋找最後一顆星之石，\n救出碧姬公主吧！
stg7_moo_04_nok	不過，我們總算是來到月亮上了。{[0004]}那麼，瑪利歐！{[0100|fa000000]}\n我們去尋找最後一顆星之石，\n救出碧姬公主吧！
stg7_moo_04_win	不過，我們總算是來到月亮上了呢。{[0004]}好了，瑪利歐！{[0100|fa000000]}\n我們要找出最後一顆星之石，\n拯救碧姬唷～！
stg7_moo_04_yos	不過，看來總算是到月亮上了。{[0004]}好了，岡薩雷茲！{[0100|fa000000]}\n我們去尋找最後一顆星之石，\n救出碧姬公主吧！
stg7_moo_04_viv	不過，我們總算來到月亮上了。{[0004]}走吧，瑪利歐！{[0100|fa000000]}\n我們去尋找最後一顆星之石，\n拯救碧姬公主吧！
stg7_moo_04_bom	不過看來總算是到月亮上了。{[0004]}好了，瑪利歐！{[0100|fa000000]}\n我們去找出最後一顆星之石，\n拯救碧姬公主吧！
stg7_moo_04_chu	不過，我們總算是來到月亮上了呢。{[0004]}好了，瑪利歐！{[0100|fa000000]}\n我們去尋找最後一顆星之石，\n拯救碧姬公主吧！
stg7_moo_01_kur	{size[9600]}呀啊啊啊～{size[6400]}
stg7_moo_01_nok	{size[9600]}哇啊啊啊～{size[6400]}
stg7_moo_01_win	{size[9600]}哎呀呀呀～{size[6400]}
stg7_moo_01_yos	{size[9600]}哇啊啊啊～{size[6400]}
stg7_moo_01_viv	{size[9600]}呀啊啊啊～{size[6400]}
stg7_moo_01_bom	{size[9600]}唔喔喔喔……{size[6400]}
stg7_moo_01_chu	{size[9600]}呀啊啊啊～{size[6400]}
stg7_aji_63	{[0203]}{[0200]}{[0103|32000000]}碧 姬 公 主 … …　　　{[0100|dc050000]}永 別 了 。\x0f\x02\0{[0100|d0070000]}
mri.msbt
stg2_mri_e03_02	你們看！{[0100|fa000000]}\n咱不在的時候，\n居然蓋了一道沒見過的門。{[0004]}而且還打不開……{[0100|f4010000]}\n還以為總算能把大家救出來了說……
stg2_mri_e03_03_kur	這看起來沒辦法輕易打開。{[0100|f4010000]}\n到底該如何是好呀？
stg2_mri_e03_03_nok	這看起來沒辦法輕易打開耶。{[0100|f4010000]}\n究竟該怎麼辦才好呢？
stg2_mri_e03_04	………………{[0004]}………………\n………………………………{[0004]}………………\n………………………………\n……………………………………………………
stg2_mri_e03_07	{[0307|00004040]}對了！{[0307|0000803f]}{[0100|fa000000]}\n瑪利歐，過來這邊！
stg2_mri_e03_05	瑪利歐，{[0101]}過來這邊！
stg2_mri_e03_06	老婆婆以前曾經說過，\n這附近有個秘密入口，\n應該可以從那邊進去裡面。
stg2_mri_e03_10	{[0100|fa000000]}啊……{[0100|64000000]}但是……{[0100|fa000000]}\n尋找那個入口的方法\n讓人有點傷腦筋……
stg2_mri_e03_07_kur	尋找入口？{[0100|fa000000]}\n到底要怎麼找？
stg2_mri_e03_07_nok	尋找入口？{[0100|fa000000]}\n究竟是要怎麼找呢？
stg2_mri_e03_08	入口好像被某種看不見的\n「東西」藏起來了。\n必須把它移開才行。{[0004]}但是到底該怎麼做，\n才能把看不見的東西移開呢？{[0004]}……………………{[0100|2c010000]}{[0004]}{[0101]}{[0307|00004040]}對了！{[0100|64000000]}找庫蘿妲！{[0307|0000803f]}{[0004]}只要有庫蘿妲夫人的力量，\n也許就有辦法解決！
stg2_mri_e03_09	庫蘿妲是一位身材豐滿的性感夫人，\n住在這座森林裡……{[0004]}他同時也是一位雲精靈，\n能夠自由地操控風喔。{[0004]}所以只要請他用強風用力一吹，\n把看不見的東西吹飛的話，\n一定就能找到入口。{[0004]}庫蘿妲的家在森林深處。{[0100|fa000000]}\n咱們先離開這裡，回去森林一趟吧。
stg2_mri_e10_00	太好了！！{[0100|fa000000]}\n是秘密入口！{[0100|fa000000]}\n這樣咱就能進去裡面了！！
stg2_mri_e10_01	普尼們真的都是些好孩子呢～
stg2_mri_e10_01_01	瑪利歐，你知道嗎？{[0100|fa000000]}\n其實我不久之前還是個\n了不起的舞台演員唷。{[0004]}只要提起庫蘿妲夫人，\n在那個業界可是人人都知曉，\n可說是名滿天下呢。{[0004]}不過嘛，光彩奪目的世界背後，\n其實相當醜陋不堪。{[0100|fa000000]}\n也就是所謂大人的世界……{[0004]}我是因為厭倦了那個世界，{[0100|fa000000]}\n才會跑來這座森林唷。
stg2_mri_e10_01_02	不過，\n由於內心純真的普尼們時不時會來找我玩，\n就在與他們相處的過程中……{[0004]}不知不覺間……{[0100|fa000000]}\n也喚醒了我當初想成為演員的初衷唷。{[0004]}於是我發現……{[0100|fa000000]}\n自己依然很喜歡舞台……{[0004]}我想要再次站上舞台，\n沐浴在耀眼的聚光燈下。{[0004]}普尼們讓我察覺到這點，\n所以我很感謝他們唷。
stg2_mri_e10_02	瑪利歐！
stg2_mri_e10_03	咱從裡面打開了！{[0100|fa000000]}\n往這邊走。
stg2_mri_e10_04	我可不能忘記對普尼們的感謝之情，\n必須好好報恩才行。{[0100|fa000000]}\n好了瑪利歐，我們走吧。
stg2_mri_e10_05	快點、快點！{[0100|fa000000]}\n進去裡面吧！瑪利歐！
stg2_mri_e26_00_01	瑪利歐，\n感謝你幫了這麼多忙。{[0004]}這下咱們就能平靜地過日子了。
stg2_mri_e26_00_02	你要走了嗎？{[0100|fa000000]}\n真是叫人寂寞……{[0004]}有空再來聽聽我的金玉良言吧。
stg2_mri_e26_00_03	我們也會等你回來喔。
stg2_mri_e26_00_04	咱們會努力不讓這種事情再次發生。{[0004]}所以瑪利歐也要努力蒐集\n剩下的星之石喔。
stg2_mri_e26_00_05_kur	謝謝你們。{[0100|fa000000]}\n我們一定還會再來。\n再見。
stg2_mri_e26_00_05_nok	非常謝謝你們。{[0100|fa000000]}\n我們一定會再次來訪。\n那麼先告辭了。
stg2_mri_e26_00_05_win	各位普尼，謝謝你們唷。{[0004]}雖然我要和瑪利歐一起去冒險了……{[0100|fa000000]}\n不過我一定會再來找你們玩唷。
stg2_mri_e26_00_06	再見了，瑪利歐。
stg2_mri_e26_00_07	咱們會好好努力。{[0100|fa000000]}\n瑪利歐也要努力蒐集星之石喔。
stg2_mri_e26_00_08	如果你們下次再來，\n我就送你們在這座森林裡摘的蘑菇♪
stg2_mri_e26_00_09	鬍子大叔，要保重喔！
stg2_mri_e26_00_10	我本來想把青春水嫩時代的\n故事說給你聽呢……{[0100|fa000000]}\n真是可惜啊……
stg2_mri_00_07	我們是正在周遊世界各地、\n最喜歡旅行的三個姐妹淘！
stg2_mri_00_08	這棵樹好大——！\n我想爬上去——！
stg2_mri_00_09	我也想爬上去～！\n咦？\n沒有裝電梯嗎～？
irai_28_006_1	大樹……{[0004]}當這棵樹看到我們\n一再重演愚蠢的歷史……{[0100|fa000000]}\n不知會作何感想……{[0004]}只能無能為力地默默看著……{[0100|fa000000]}\n不對……{[0004]}認為樹木無能為力這種傲慢不已的思維，\n正是人類的愚蠢之處。
stg2_mri_e11_00	咦？好奇怪喔？？{[0100|fa000000]}\n大家平常都在這裡才對……
stg2_mri_e11_01	喂～老婆婆～！{[0100|fa000000]}\n喂～大家～！{[0100|fa000000]}\n快點出來啊～{[0004]}喂……
stg2_mri_e11_02	你們幾個是誰！？{[0004]}怎麼有辦法進來這裡來著？
stg2_mri_e11_03	喂！{[0100|fa000000]}\n這傢伙……{[0100|fa000000]}\n該不會是瑪利歐來著？
stg2_mri_e11_04	什麼！{[0100|fa000000]}\n那得趕緊把他解決掉來著！
stg2_mri_e11_05	但是艾克斯達大人說過，\n如果發現瑪利歐的話，\n要立刻向他報告來著。
stg2_mri_e11_06	你是傻瓜來著？{[0100|fa000000]}\n只要在這裡把瑪利歐解決掉，\n功勞就是我們的來著！
stg2_mri_e11_07	原～來如此……{[0100|fa000000]}\n那我們就把他解決掉來著！
stg2_mri_e11_08	把他解決掉來著！
stg2_mri_e11_09	可……可惡！{[0100|fa000000]}\n再這樣下去沒完沒了來著……
stg2_mri_e11_10	作戰的下一步是……{[0100|fa000000]}\n向艾克斯達大人報告來著！！
stg2_mri_e12_00	居然能打倒那幫傢伙，\n真不愧是瑪利歐！{[0004]}……話說回來，\n大家到底跑到哪裡去了？{[0004]}該不會已經不在這裡了吧……
stg2_mri_e12_01	什麼嘛，原來躲在這種地方啊！{[0004]}快出來吧。{[0100|fa000000]}\n咱帶了強大的同伴過來喔。
stg2_mri_e12_02	好、好高大……
stg2_mri_e12_03	那個鬍子壯漢會不會把我們吃掉啊？
stg2_mri_e12_04	啊！{[0100|fa000000]}\n你也在那裡啊！！
stg2_mri_e12_05	真的好高大……{[0100|e8030000]}
stg2_mri_e12_07	太危險了。{[0100|e8030000]}
stg2_mri_e12_09	會被他壓扁的！{[0100|e8030000]}
stg2_mri_e12_10	看起來不好惹喔。{[0100|e8030000]}
stg2_mri_e12_08	快看他的鬍子。{[0100|e8030000]}
stg2_mri_e12_11	好可怕喔……{[0100|e8030000]}
stg2_mri_e12_06	但是好想摸摸看。{[0100|e8030000]}
stg2_mri_e12_12	大家放心吧。{[0100|fa000000]}\n瑪利歐是咱們的同伴。{[0004]}瑪利歐會像剛才解決那幫傢伙一樣，\n把所有壞人統統解決掉喔。
stg2_mri_e12_13	瑪利歐，咱來向你介紹。{[0100|fa000000]}\n這是……
stg2_mri_e12_13_01	{[0307|00004040]}等等！{[0307|0000803f]}
stg2_mri_e12_14	現在還不知道這傢伙是不是\n真的站在我們這一邊吧？{[0004]}說不定……{[0100|fa000000]}\n他是那幫傢伙派來的間諜喔。
stg2_mri_e12_15	普尼塔，你在說什麼？{[0100|fa000000]}\n瑪利歐才不是那幫傢伙的同伴呢。{[0100|fa000000]}\n他是來幫助咱們的。{[0004]}大家同心協力把那幫傢伙趕出這裡，\n一起奪回這棵大樹吧！
stg2_mri_e12_16	哼！{[0100|fa000000]}\n區區普尼奧，少裝作領袖的樣子了！{[0004]}你都不知道你不在的時候，\n我們吃了多少苦頭！
stg2_mri_e12_17_02	……經你這麼一說，\n數量好像少很多啊！{[0100|fa000000]}\n其他人怎麼了？
stg2_mri_e12_18	全被那幫傢伙抓走了……{[0100|90010000]}\n老婆婆和大家……{[0100|fa000000]}\n還有……{[0004]}{[0101]}{[0307|00004040]}你妹妹也被抓走了！{[0307|0000803f]}
stg2_mri_e12_19	{[0307|00004040]}什麼！普尼珂被抓走了！？{[0307|0000803f]}
stg2_mri_e12_20	……大家都被那幫傢伙抓走，\n帶去這棵大樹的某個地方了！！{[0004]}他們說這都是因為\n我們不肯說出什麼石的位置。{[0100|fa000000]}\n但我們根本不知道那是什麼……
stg2_mri_e12_21	怎麼會這樣……{[0100|fa000000]}\n那、那得馬上把大家救出來才行！
stg2_mri_e12_22	說什麼傻話！{[0100|fa000000]}\n我們哪可能做得到啊？{[0004]}{[0101]}雖然我不知道這鬍子大叔是什麼來頭，\n不過多了他也沒用啦！
stg2_mri_e12_23	別這麼說嘛！{[0100|fa000000]}\n不試試看怎麼知道！！{[0004]}只要大家一起努力，\n一定有辦法打倒那幫傢伙！！！{[0004]}{[0101]}所以……{[0100|fa000000]}\n所以大家要團結起來啊！
stg2_mri_e12_24	哼！{[0100|fa000000]}\n既然你都說到這個份上了……{[0004]}就讓我看看這位鬍子大叔有多厲害吧！
stg2_mri_e12_24_01	如果只靠你和這個鬍子大叔\n就能救出不知被抓到哪去的同伴們……{[0004]}那我就願意協助你們。{[0004]}{[0101]}不過……\n我猜一定辦不到啦。
stg2_mri_e12_25	咱就做給你看！{[0004]}{[0101]}瑪利歐，{[0100|fa000000]}\n跟咱一起來吧！{[0100|fa000000]}\n咱想要拯救大家！！{[0101]}{b}
stg2_mri_e12_26	哼！{[0100|fa000000]}\n快去把同伴救回來啊。{[0100|fa000000]}\n還是說，你根本辦不到？
stg2_mri_e12_27	瑪利歐，你要離開了嗎？{[0100|fa000000]}\n咱會在這裡等你。{[0100|fa000000]}\n咱相信你一定會回來！{[0101]}{b}
stg2_mri_e12_28	瑪利歐！{[0100|fa000000]}\n你回來了啊。{[0100|fa000000]}\n好，咱們走吧！{[0101]}{b}
stg2_mri_e15_00	是普尼奧啊……{[0004]}哼。{[0100|fa000000]}\n你能救出老婆婆，\n確實讓我吃了一驚……
stg2_mri_e15_01	咱不都說過了嗎？
stg2_mri_e15_02	你可別誤會了！{[0100|fa000000]}\n我還沒有認同你……{[0004]}{[0101]}也還沒完全相信那個鬍子大叔！{[0004]}再說你也還沒救出其他同伴！{[0004]}在你救出他們之前，我都不會出手幫忙！
stg2_mri_e15_03	{[0101]}{[0203]}{[0307|00004040]}{size[fa00]}{[0309|01000000]}{[0200]}愚蠢的東西！\x0f\x02\0{[0309|00000000]}{size[6400]}{[0307|0000803f]}{[0110]}{[0100|ee020000]}\x0f\x01\x10
stg2_mri_e15_03_01	都這種時候了你還說這種話，\n真是丟人現眼！{[0004]}尖刺族和那幫傢伙聯手，\n打算把我們從這棵樹中趕出去！{[0004]}現在正是我們普尼族必須\n同心協力對抗那幫傢伙的時候！{[0004]}{[0101]}{[0307|00004040]}你連這點都不懂嗎！？{[0307|0000803f]}
stg2_mri_e15_04	什麼！？{[0100|fa000000]}\n你說尖刺族和那幫傢伙聯手了！？{[0004]}這樣的話，藍色牢房鑰匙\n可能在尖刺族的手中。
stg2_mri_e15_05	普尼塔、普尼奧，聽好了。{[0100|fa000000]}\n你們和這個鬍子男……{[0004]}呃，名字叫……{[0100|fa000000]}\n瑪利珂……是吧？
stg2_mri_e15_06	是瑪利歐啦，瑪利歐。{[0100|fa000000]}\n老婆婆，好好記住啦。
stg2_mri_e15_07	沒錯，你們要和那個瑪利歐合力救出大家，\n把闖進這棵大樹的那幫傢伙趕出去！
stg2_mri_e15_08	我……我知道了。{[0100|fa000000]}\n既然老婆婆這麼說，那我也只好照辦了。{[0004]}{[0101]}不過老實說……{[0100|fa000000]}\n我也很擔心普尼珂。{[0004]}既然如此，就給他們好看。{[0100|fa000000]}\n大家沒意見吧？
stg2_mri_e15_09	嗯！{[0100|fa000000]}\n這才是普尼族該有的樣子！！
stg2_mri_e15_11	普尼族的同伴增加了10隻，\n總共變為11隻了！
stg2_mri_e15_12	大家……謝謝你們……
stg2_mri_e15_13_kur	對了，我可以問個問題嗎？{[0004]}我們正在尋找一種\n名叫星之石的石頭……{[0100|fa000000]}\n你們知道些什麼嗎？
stg2_mri_e15_13_nok	對了，可以請教一下嗎？{[0004]}我們正在尋找一種\n名叫星之石的石頭……{[0100|fa000000]}\n請問你們有頭緒嗎？
stg2_mri_e15_13_win	對了，我能不能問個問題呢？{[0004]}我們正在尋找一種\n名叫星之石的石頭……{[0100|fa000000]}\n你們知道些什麼嗎？
stg2_mri_e15_14	什麼？你說星之石……{[0004]}嗯……{[0100|90010000]}\n原來如此……{[0100|90010000]}{b}{[0004]}其實在這棵大樹底下很深很深的地方，\n藏著一顆有著奇妙顏色的寶石……{[0004]}守護它不落入壞人手中，\n並將之授予心地純潔之人……{[0004]}這是我們普尼族歷代長老\n傳承下來的教誨……{[0100|fa000000]}\n想必那顆寶石就是星之石吧。
stg2_mri_e15_15	嗯……{[0100|fa000000]}\n鬍子瑪利珂啊……{[0004]}我就相信你是教誨中所提到的\n心地純潔之人吧。{[0004]}瑪利珂，星之石就由你去取吧。{[0004]}雖然現在還不清楚，\n不過那一定也和我們奪回大樹一事有所關聯。{[0004]}聽好了……{[0100|fa000000]}\n星之石就在這棵大樹的地下最深處。
stg2_mri_e15_16	哎呀，對了……{[0100|fa000000]}\n差點忘記一件重要的事。{[0004]}如果要得到星之石，\n必須先把其他被關著的同伴都救出來。{[0004]}傳承說我們普尼族必須團結一心，\n否則無法抵達星之石的所在地。{[0004]}把這個拿去吧。{[0100|fa000000]}\n這是普尼族領袖的象徵……{[0100|fa000000]}\n「普尼寶珠」！
stg2_mri_e15_16_01	只要把這個嵌進路途中的底座，\n就能把我們普尼族召集到那裡。{[0004]}但是用完要記得拿下來喔。{[0004]}否則我們會一直在寶珠前動彈不得。
stg2_mri_e15_18	好了，瑪利歐！{[0100|fa000000]}\n先把藍色牢房鑰匙找出來，\n拯救咱們的同伴吧！
stg2_mri_e15_19	喔，對了，還有一件事。
stg2_mri_e15_20	抱歉抱歉。{[0100|fa000000]}\n我最近記性很差。
stg2_mri_e15_21	如果你在尋找星之石的途中\n和身邊的普尼走散了，\n屆時就來這裡找我吧。{[0004]}老婆婆我會{[0101]}{[0307|00004040]}大喊{[0307|0000803f]}一聲，\n幫你把走散的普尼召回來。{[0100|fa000000]}\n記住了嗎？{[0101]}{b}
stg2_mri_e15_22	哦，怎麼了嗎？{[0101]}
stg2_mri_e15_22_sel	{[010d|0000000002000000220100003c000000]}召回普尼\n我愛你\n只是打個招呼
stg2_mri_e15_23	好，我知道了。\n你稍等一下。
stg2_mri_e15_24	{[0203]}{[0307|00004040]}{size[fa00]}{[0309|01000000]}{[030a|01000000]}{[0200]}普普尼普——！\x0f\x02\0{[0100|e8030000]}{size[6400]}
stg2_mri_e15_25	好了，瑪利珂，快去吧！！
stg2_mri_e15_26	嗯……？{[0100|fa000000]}\n沒有人走散啊。{[0004]}你是不是搞糊塗了？
stg2_mri_e15_27	咦？你說什麼？？{[0100|fa000000]}\n大家都被關在牢房裡？{[0004]}那我再怎麼厲害，\n也沒辦法召回他們呀。{[0004]}好了好了。{[0100|fa000000]}\n你快點去救他們吧。
stg2_mri_e15_28	瑪利珂啊，你聽好了。{[0100|fa000000]}\n星之石就在這棵樹的地下最深處。{[0004]}事關普尼族的未來，\n千萬別讓那幫傢伙拿到它。
stg2_mri_e15_29	哎呀，你這孩子真是討厭……{[0100|fa000000]}\n不要調戲我這種老婆婆。{[0004]}{[0101]}我至少要再年輕10歲，\n才能和瑪利珂你相配呀。{[0004]}不過我年輕時也曾是貌美如花的少女，\n想追求我的雄性多不勝數。{[0004]}你會被我的魅力迷倒也是理所當然。{[0100|fa000000]}\n呵呵呵……{[0004]}對了，以前我的追求者裡有個叫普尼斯萊的，\n他真的是一位性感的雄性……
stg2_mri_e15_30	2小時後……
stg2_mri_e15_31	……於是我就當上了長老，\n領導整個普尼族。{[0004]}總之事情就是這樣，\n瑪利珂也要加油喔。
stg2_mri_e24_00	嗯？{[0100|fa000000]}\n你是什麼人啊？
stg2_mri_e24_01	走開！{[0100|64000000]}不要擋路！{[0100|fa000000]}\n你這{[0307|00004040]}臭老太婆！！
stg2_mri_e24_02	{[0203]}{[0307|00004040]}{size[fa00]}{[0309|01000000]}{[0200]}愚蠢的{[0100|0a000000]}東西！！\x0f\x02\0{[0309|00000000]}{size[6400]}{[0307|0000803f]}{[0110]}{[0100|ee020000]}\x0f\x01\x10
stg2_mri_e24_05	{[0101]}居然叫別人臭老太婆，\n怎麼可以這樣說話！！{[0004]}{[0101]}小看老婆婆可是會吃大虧喔！！{[0004]}{[0101]}看來我得以普尼族長老之名，\n讓你聽聽我的金玉良言才行了！
stg2_mri_e24_03	這、這老太婆是怎樣啊……
stg2_mri_e24_04	那件事我永遠忘不了……{[0100|fa000000]}\n當時的我還很青春水嫩……
stg2_mri_e24_04_00	唔……！{[0100|f4010000]}
stg2_mri_e24_04_01	哎呀呀……{[0100|fa000000]}\n我好像太激動了。{[0100|fa000000]}\n竟然在這種時候閃到腰……
stg2_mri_e24_04_02	耶嘿！你活該啦！{[0100|fa000000]}\n居然敢對老夫說教，\n真不知天高地厚！
stg2_mri_e24_05_kur	你給我站住！
stg2_mri_e24_05_nok	等一下！
stg2_mri_e24_05_win	給我等等嘛！
stg2_mri_e24_05_01_kur	你別想逃跑！{[0004]}好了，乖乖把星之石還來。{[0004]}然後快點離開這座森林吧！
stg2_mri_e24_05_01_nok	我不會讓你逃走的。{[0004]}請把星之石還給我們。{[0004]}然後快點離開這座森林吧！
