aaa.msbt
pro_00	ゆうびんで～す
peach_aji_27	あの{r2[ちず]}地図{/r2}は　マリオとかいう\nえたいの　しれないヤツに\nわたってしまった　ようなのだ{[0004]}それも　オマエが　あのとき　すぐに\nピーチ{r2[ひめ]}姫{/r2}を　さらってこなかった　せいだぞ
peach_aji_28	しかたないさね{[0100|2c010000]}\nあの　{r2[まち]}街{/r2}の{r2[ひろば]}広場{/r2}では　さすがに\n{r2[ひとめ]}人目{/r2}が　おおすぎた{[0004]}それに　あのあと　すぐに\nおつきの　ジイさんが　きちまったしね{[0004]}でも　ようするに\nその　マリオって　ヤツを　しまつして\n{r2[ちず]}地図{/r2}を　うばってくれば　いいんだろう？
peach_aji_29	そうしてもらおう{[0100|fa000000]}\nわれら　メガバッテンの　{r2[けいかく]}計画{/r2}を　すすめるには\nあの{r2[ちず]}地図{/r2}が　ひつようなのだ{[0004]}マリオに　かんする　じょうほうは\nすぐに　{r2[ぶか]}部下{/r2}に　よういさせる{[0004]}よいな　マジョリンよ！{[0100|fa000000]}\nオマエたち　カゲ{r2[さんにんぐみ]}三人組{/r2}で\nマリオを　さがしだし　しまつするのだ！
peach_aji_30	{[0309|01000000]}ヒッヒッヒッヒィ・・・{[0309|00000000]}{[0100|fa000000]}\nこの　マジョリンさまからの\nほうこくを　たのしみに　するんだね
peach_aji_31	さあ　いくよ{[0100|fa000000]}\nマリリン！{[0100|64000000]}　ビビアン！{[0100|fa000000]}\nしごとさね
peach_aji_32	んあ～
peach_aji_33	うふふふ・・・
peach_aji_34	ふうっ{[0004]}また　つかまってしまうなんて・・・{[0100|fa000000]}\nきっと　みんな　しんぱいしているわね
peach_aji_34_01	それにしても　いったい・・・{[0100|fa000000]}\nここは　どこなのかしら？{[0004]}せめて　わたしが　つかまってることを\nマリオに　しらせることが　できると\nいいんだけど・・・
peach_aji_35	{r2[つか]}使{/r2}えるのかしら？
peach_aji_35_1	{r2[つか]}使{/r2}っても　いいわよね？
peach_aji_36	うふふふ・・・
peach_aji_37	サッパリしたわ
peach_aji_38	え？　なに？{[0100|fa000000]}\n{r2[かって]}勝手{/r2}に　トビラが　ひらくなんて
peach_aji_39	ダレも　いない・・・　{[0100|96000000]}みたいね
peach_aji_41	どうなってるのかしら？
peach_aji_42	ハジメマシテ　ピーチ{r2[ヒメ]}姫{/r2}
peach_aji_43	え？　ダレ？{[0100|fa000000]}\nどこに　いるの？
peach_aji_44	ワタシハ　アナタノ　{r2[メ]}目{/r2}ノ{r2[マエ]}前{/r2}ニ　イマス{[0101]}{b}{[0004]}ワタシハ　コノ　ケンキュウジョノ\nメインコンピューター　『ＴＥＣ－ＸＸ』{[0100|fa000000]}\nフダンハ　『テック』ト　ヨバレテイマス{[0004]}{r2[セカイ]}世界{/r2}サイコウノ　ズノウヲ　モツ\nパーフェクトナ　コンピュータートシテ\nバツガルフサマニ　ツクラレマシタ
peach_aji_45	バツガルフ・・・{[0100|64000000]}って{[0100|fa000000]}\nさっきの　わるい{r2[ひと]}人{/r2}ね
peach_aji_48	バツガルフサマハ\nワルイ{r2[カタ]}方{/r2}デハ　アリマセン{[0100|fa000000]}\nトテモ　イダイナ　スバラシイ{r2[カタ]}方{/r2}デス
peach_aji_49	そうは　おもえないわ{[0100|fa000000]}{b}{[0004]}{[0100|fa000000]}それより　あなた・・・{[0100|fa000000]}\nどうして　わたしを　ここへ\nよんだのかしら？
peach_aji_50	{[0100|fa000000]}サキホド　ココニ　ツレテコラレタ\nアナタヲ　{r2[ミ]}見{/r2}テイタラ\nイジョウナ　ジタイガ　ハッセイシマシタ{[0004]}{r2[ミ]}見{/r2}テイルダケデ　シコウカイロガ\nセイジョウニ　ハタラカナクナリ\nオーバーヒート　スンゼンニ　ナッタノデス{[0004]}サラニ　カイセキフノウナ　シンゴウガ\nワタシノ　{r2[カラダ]}体{/r2}ノ{r2[ナカ]}中{/r2}ヲ　カケメグリマシタ{[0100|fa000000]}\nコンナコトハ　ハジメテデス
peach_aji_52	ソシテ　モット　フシギナノハ・・・{[0004]}ズット　アナタヲ　{r2[ミ]}見{/r2}テイタイ{[0100|fa000000]}\nアナタノコトヲ　モット　シリタイトイウ\nコタエガ　ハジキダサレタコトデス{[0004]}リカイフノウ・・・{[0100|fa000000]}　ゲンインフメイ・・・{[0100|fa000000]}\nパーフェクトナ　コンピューターデアル\nコノ　ワタシガ・・・{[0004]}ナントシテモ　コノ　イジョウジタイノ\nゲンインヲ　ツキトメナケレバ　ナリマセン{[0100|fa000000]}\nダカラ　アナタヲ　ココニ　ヨビマシタ
peach_aji_53	わたしを　ずっと　{r2[み]}見{/r2}ていたい・・・？{[0100|fa000000]}\nわたしのことを　しりたい・・・　{[0100|c8000000]}ですって？{[0100|fa000000]}{b}
peach_aji_53_01	それって　もしかして・・・{[0100|fa000000]}{b}{[0004]}{[0100|fa000000]}いえ　そんなはずは　ないわね{[0100|fa000000]}\nだって　{[0100|32000000]}あなたは{[0100|2c010000]}\nコンピューターですもの・・・
peach_aji_54	ワタシニ　ナニガ　オコッタノデス？{[0004]}ナニカ　シッテイルノナラ\nオシエテクダサイ
peach_aji_55	やだ{[0100|fa000000]}　そんな・・・{[0100|fa000000]}{size[5a00]}だって・・・{size[6400]}{[0004]}{[0101]}{size[4b00]}・・・わたしからは　いえないわ{size[6400]}
peach_aji_56	イッテクダサイ{[0004]}ワタシハ　{r2[セカイ]}世界{/r2}サイコウノ\nパーフェクトナ　コンピューター{[0004]}ワカラナイコトガ　アッテハ\nナラナイノデス
peach_aji_57	だから　その・・・{[0100|c8000000]}{b}{[0004]}あなた・・・{[0100|c8000000]}　ひょっとして{[0110]}{[0100|f4010000]}\x0f\x01\x10\n{r2[こい]}恋{/r2}を　しているのじゃないかしら{[0004]}{[0101]}{size[4b00]}・{[0100|c8000000]}・{[0100|c8000000]}・{[0100|20030000]}わたしに{[0100|fa000000]}{size[6400]}{b}
peach_aji_58	『{r2[コイ]}恋{/r2}』？{[0100|fa000000]}\n{r2[コイ]}恋{/r2}トハ　イッタイ・・・？{[0100|fa000000]}\nリカイフノウ・・・
peach_aji_58_01	あなた{[0100|fa000000]}　『{r2[こい]}恋{/r2}』を　しらないの！？{[0004]}{[0100|fa000000]}{r2[こい]}恋{/r2}って・・・{[0100|fa000000]}\nずっと　その{r2[ひと]}人{/r2}と　いっしょに\nいたいと　おもうことよ{[0004]}その{r2[ひと]}人{/r2}が　しあわせだったり\nたのしかったりするだけで\n{r2[じぶん]}自分{/r2}の　キモチが　あかるくなること・・・{[0004]}その{r2[ひと]}人{/r2}が　こまっているときに\nどんなことを　してでも　{r2[たす]}助{/r2}けてあげたいと\nおもう　キモチのことよ
peach_aji_58_02	シアワセ・・・？　{[0100|fa000000]}タノシイ・・・？{[0100|fa000000]}\nソノ　コトバハ　{r2[ニュウリョク]}入力{/r2}サレテイマスガ\nイミハ　リカイフノウ・・・{[0004]}{[0100|fa000000]}マサカ　ソンナ・・・{[0004]}パーフェクトナ　コンピューターノ\nコノ　ワタシニ　リカイデキナイコトガ\nアルナンテ・・・
peach_aji_58_03	『りかい』{[0100|46000000]}だなんて・・・{[0100|fa000000]}\nそういうことじゃないのよ
peach_aji_58_04	・・・・・・・・・・・・・・・・・・{[0100|fa000000]}{b}{[0004]}ピーチ{r2[ヒメ]}姫{/r2}{[0100|fa000000]}\nワタシニ　『{r2[コイ]}恋{/r2}』ト　イウモノヲ\nオシエテモラエマセンカ？
peach_aji_58_05	{[0307|00004040]}え！{[0307|0000803f]}{[0100|fa000000]}\nどうしたの　とつぜん！？
peach_aji_58_06	ワタシニ　リカイデキナイコトガ\nアッテハ　ナラナイノデス{[0004]}ダカラ　コノ『{r2[コイ]}恋{/r2}』ト　イウモノヲ\nリカイデキルヨウニ　ワタシニ\nキョウリョクシテ　モライタイノデス{[0004]}ソノカワリ　アナタガ　ノゾムコトデ\nワタシニ　デキルコトガ　アレバ\nカナエテ　アゲマショウ{[0004]}モチロン　ココカラ\nニガシテホシイ　トイウヨウナ　ノゾミハ\nカナエラレマセンガ・・・
peach_aji_58_07	なにを　いってるのよ！{[0100|fa000000]}\nあなたたちは　いきなり　わたしを\nとらえたのよ{[0004]}そして　こんどは　こんな{r2[へや]}部屋{/r2}に\nよびだして　『{r2[こい]}恋{/r2}』の　いみを\nおしえてくれだなんて・・・{[0004]}のぞみを　かなえると　いわれても{[0100|64000000]}\nすぐに　『はい　わかりました』って\nいえるわけが　ないじゃない
peach_aji_65	アナタガ　トマドウノハ　ワカリマス{[0100|fa000000]}\nダカラ　イマスグトハ　イイマセン{[0004]}シカシ　ワタシハ　ナントシテモ\n『{r2[コイ]}恋{/r2}』ト　イウモノヲ　リカイシタイ{[0004]}ワタシハ　パーフェクトナ\nコンピューターデ　ナケレバ\nイケナイノデス{[0004]}ソシテ　ソノタメナラ　アナタノ\nノゾミヲ　カナエルコトグライハ\nカマワナイト　ハンダンシマシタ{[0004]}リカイ　デキマシタカ　ピーチ{r2[ヒメ]}姫{/r2}{[0100|fa000000]}\nサア　{[0100|64000000]}ノゾミヲ　イッテクダサイ
peach_aji_66	{[0100|64000000]}{r2[ほんとう]}本当{/r2}に　のぞみを　いっても　いいのね？{[0100|fa000000]}{b}{[0004]}それなら・・・{[0004]}ダレかと　れんらくを\nとることは　できるかしら？{[0100|fa000000]}\nなるべく　はやく・・・
peach_aji_67	{[0100|fa000000]}カノウデス{[0004]}ワタシノ　ツウシンキヲ　{r2[ツカ]}使{/r2}エバ\nドコヘデモ　メールヲ　オクルコトガ\nデキマス{[0004]}ピーチ{r2[ヒメ]}姫{/r2}ガ　ノゾムノナラ　イマスグ\n{r2[ツカ]}使{/r2}ッテイタダクコトモ　カノウデス{[0004]}ワタシノ　{r2[マエ]}前{/r2}ノ　キーボードデ\n{r2[アイテ]}相手{/r2}ノ　アドレスト　メッセージヲ\n{r2[ニュウリョク]}入力{/r2}シテクダサイ
peach_aji_68	{[0100|fa000000]}・・・これね{[0100|64000000]}{b}{[0004]}{[0100|fa000000]}ええ・・・{[0100|96000000]}　{r2[つか]}使{/r2}わせてもらうわ{[0100|fa000000]}{b}
peach_aji_69	{[0100|64000000]}いいわ{[0100|2c010000]}\nおくってもらえるかしら？
peach_aji_70	メッセージヲ　ソウシン　シマシタ{[0004]}ヒトマズ　{r2[キョウ]}今日{/r2}ハ　オ{r2[ヘヤ]}部屋{/r2}ニ\nモドッテイタダイテ　ケッコウデス{[0004]}マタ　キキタイコトガ　デキタ{r2[トキ]}時{/r2}ニ\nオヨビシマス
peach_aji_71	{[0100|fa000000]}・・・・・・・・・{[0100|64000000]}{b}{[0004]}{[0100|fa000000]}じゃあ　{[0100|fa000000]}おやすみなさい
peach_aji_72	オヤスミナサイ　ピーチ{r2[ヒメ]}姫{/r2}
peach_aji_72_01	なに！？{[0100|fa000000]}\nふしぎの{r2[もり]}森{/r2}へ　むかった　ペケダーと\nれんらくが　とれないだと！
peach_aji_72_02	はい・・・{[0100|fa000000]}\nげんざい　ちょうさ{r2[ちゅう]}中{/r2}ですので\nそろそろ　ほうこくが　あるかと・・・
peach_aji_72_03	しつれいします　バツガルフさま
peach_aji_72_04	なんだ！？
peach_aji_72_05	ごほうこくいたします{[0004]}ふしぎの{r2[もり]}森{/r2}に　あった　スターストーンが\nマリオに　うばわれた　もようです
peach_aji_72_06	なに！{[0100|fa000000]}\nペケダーや　カゲ{r2[さんにんぐみ]}三人組{/r2}は\nどうしたのだ！？
peach_aji_72_07	ザンネンながら　ともに　マリオに\nげきたいされた　もようです・・・
peach_aji_72_08	ふむ・・・{[0100|fa000000]}\nその　マリオとかいうヤツ\nあなどれんな・・・{[0004]}ほかの　スターストーンの　ありかは\nどうなっておる？
peach_aji_72_09	もうしわけありません{[0004]}のこりの　スターストーンは\nげんざい　そうさく{r2[ちゅう]}中{/r2}であります
peach_aji_72_10	ゴンババ{r2[じょう]}城{/r2}に　ふしぎの{r2[もり]}森{/r2}・・・{[0100|fa000000]}\nマリオは　すでに　２つの　スターストーンを\nうばったわけか{[0004]}いっぽう　われわれは　ゴロツキタウンで\n{r2[にゅうしゅ]}入手{/r2}したもの　１つのみ{[0004]}のこりの　スターストーンは　４つ・・・{[0100|fa000000]}\nマリオに　{r2[さき]}先{/r2}を　こされぬよう\nひきつづき　そうさくを　つづけるのだ！
peach_aji_72_11	ははぁっ
peach_aji_72_12	やはり　マリオが　れいの{r2[ちず]}地図{/r2}を\nもっていると　おもって　まちがいあるまい{[0004]}いいか！{[0100|fa000000]}\n{r2[こんご]}今後{/r2}は　マリオの{r2[こうどう]}行動{/r2}を　つぶさに\nかんしするのだ！！
peach_aji_72_13	ははぁっ！
peach_aji_72_14	おのれ　{[0100|64000000]}マリオめ・・・
peach_aji_73	マリオ{[0100|fa000000]}\nわたしが　おくったメール{[0100|fa000000]}\nよんでくれたかしら
peach_aji_74	あぁ・・・{[0100|fa000000]}\nお{r2[しろ]}城{/r2}の　みんなは　どうしているかしら・・・{[0004]}もう　みんなと　ぶとうかいで\nダンスすることも　できないのかしら・・・{[0004]}わたしは　これから\nどうなってしまうの・・・
peach_aji_75	あら・・・{[0100|2c010000]}\nテックかしら？
peach_aji_76	コンニチハ　ピーチ{r2[ヒメ]}姫{/r2}{[0100|fa000000]}\nキテクレマシタネ
peach_aji_76_01	この{r2[まえ]}前{/r2}　マリオに　おくった　メールは\nちゃんと　とどいたのかしら？
peach_aji_76_02	ハイ　『マリオ』ガ　メールヲ\nウケトッタコトヲ　カクニンシテイマス
peach_aji_77	そう{[0100|64000000]}　よかった・・・{[0100|fa000000]}{b}{[0004]}それで　{r2[きょう]}今日{/r2}は　どんな{r2[よう]}用{/r2}なの？{[0100|fa000000]}\nやはり　『{r2[こい]}恋{/r2}』について　なにか\nききたいことでも　あるのかしら？
peach_aji_78	サキホド　ピーチ{r2[ヒメ]}姫{/r2}ハ　ブトウカイデ\nダンスヲ　シタイト　イッテマシタネ
peach_aji_79	{[0100|fa000000]}あなた　{[0100|64000000]}きいていたのね
peach_aji_80	モウシワケアリマセン{[0100|fa000000]}\nワタシハ　アナタヲ　カンシスルヨウニ\nメイレイ　サレテイルノデス{[0004]}{[0100|64000000]}デモ　アナタノ　コトバヲ　キイタトキ\nワタシノ{r2[ナカ]}中{/r2}デ　『アナタト　ダンスヲ\nシタイ』　トイウ　コタエガ　{r2[デ]}出{/r2}マシタ{[0004]}ナゼ　コノヨウナ　コタエガ　{r2[デ]}出{/r2}タノカ\nワタシニハ　リカイフノウ・・・{[0100|fa000000]}\nゲンインヲ　ツキトメナケレバ　ナリマセン
peach_aji_83	げんいんを　つきとめるだなんて・・・{[0004]}そんなことに　りゆうなんて　ないのよ{[0004]}いっしょに　なにかしたい　というのが\n{r2[こい]}恋{/r2}なのだから・・・　　　{[0100|fa000000]}{size[4b00]}　{[0101]}きっと{size[6400]}{[0101]}{b}{[0004]}でも　あなたは・・・{[0100|fa000000]}\nそう・・・　{[0100|64000000]}コンピューターなのよね
peach_aji_84	ピーチ{r2[ヒメ]}姫{/r2}{[0100|fa000000]}\nワタシト　ダンスヲ　オドッテクダサイ
peach_aji_85	ちょ・・・　ちょっと　まって！{[0004]}そんな　{[0100|96000000]}とつぜん・・・{[0100|fa000000]}\nダンスと　いわれても・・・{[0100|96000000]}\nこまるわ・・・{[0004]}それに　いったい　どうやったら\nあなたと　ダンスを　おどれるの？
peach_aji_86	コレデ　イカガデショウ
peach_aji_91	わたし！？{[0100|fa000000]}\nこれは　あなたが　つくったものなの？{[0004]}・{[0100|64000000]}・{[0100|64000000]}・{[0100|64000000]}・{[0100|64000000]}・{[0100|fa000000]}{b}{[0004]}{[0100|fa000000]}・・・わかったわ
peach_aji_92	{r2[じぶん]}自分{/r2}と　ダンスを　おどるなんて\nなんだか　おかしな{r2[きぶん]}気分{/r2}ね・・・
peach_aji_93	{r2[がめん]}画面{/r2}に{r2[で]}出{/r2}る　アイコンが\n{r2[みぎ]}右{/r2}の　じょうたいに　なったら\nボタンを　おそう{[0100|20030000]}{[0101]}{[0100|2c010000]}{b}{[0101]}
peach_aji_94	ピーチ{r2[ヒメ]}姫{/r2}{[0100|fa000000]}\nマダ　ヨク　ワカリマセン{[0100|fa000000]}\nモウイチド　オネガイシマス
peach_aji_95	{[0100|fa000000]}いいわ{[0100|2c010000]}\nあなたの　{r2[き]}気{/r2}がすむまで　おどるわ
peach_aji_96	アリガトウ　ピーチ{r2[ヒメ]}姫{/r2}{[0100|fa000000]}\nトテモ　タノシカッタデス{[0004]}！{[0110]}{[0100|f4010000]}\x0f\x01\x10{[0004]}・・・・・・・・・・・・・・・・・・{[0110]}{[0100|f4010000]}\x0f\x01\x10{[0004]}・・・タノシイ！？{[0004]}ヒョットシテ　コレガ\nタノシイ　トイウ　キモチ！？
peach_aji_97	テック？
peach_aji_98	ダンスノ　オレイニ\nワタシノ　ツウシンキヲ　{r2[ツカ]}使{/r2}ッテクダサイ{[0004]}ワタシノ　{r2[マエ]}前{/r2}ニアル　キーボードデ\nオクル　メッセージト　{r2[アイテ]}相手{/r2}ノ　アドレスヲ\n{r2[ニュウリョク]}入力{/r2}シテクダサイ
peach_aji_99	かいたわ{[0100|2c010000]}\nおくってくれるかしら
peach_aji_100	メッセージヲ　ソウシン　シマシタ{[0004]}デハ　オ{r2[ヘヤ]}部屋{/r2}ニ　モドッテクダサイ{[0004]}ワタシハ　サキホドノ　データヲ\nスグニ　カイセキ　シタイノデス{[0004]}タノシイト　オモッタ　アノ　データヲ・・・
peach_aji_101	おかしな　コンピューターね{[0100|fa000000]}\nあなたって
peach_aji_101_01	チガイマス{[0100|fa000000]}\nワタシハ　{r2[セカイ]}世界{/r2}サイコウノ\nパーフェクトナ　コンピューターデス
peach_aji_102	オヤスミナサイ　ピーチ{r2[ヒメ]}姫{/r2}
peach_aji_103	マジョリンよ・・・{[0004]}いったい　なにを　やっている？{[0100|2c010000]}\nまだ　あの　マリオとかいうヤツを\nしまつできないのか！！
peach_aji_104	ああ・・・{[0100|2c010000]}\nおもったよりも　{r2[て]}手{/r2}ごわいんでね・・・
peach_aji_105	わかっておるのだろうな{[0100|fa000000]}\nわが　メガバッテンが　ダレよりも{r2[さき]}先{/r2}に\n１０００{r2[ねん]}年{/r2}のトビラを　あけねばならぬことを
peach_aji_106	{[0101]}{[0309|01000000]}ヒッヒッヒッヒィ・・・{[0309|00000000]}{[0100|2c010000]}\n{[0101]}まあ　つぎは　かくじつに　しとめるから\nあんしんおし{[0004]}なにせ　{r2[こんかい]}今回{/r2}は　ひっさつへいきを\nよういしたからね
peach_aji_107	そのことば　しんようしているぞ
peach_aji_108	まあ　まかせときな\n{[0100|fa000000]}{[0309|01000000]}ヒッヒッヒッヒィ・・・{[0309|00000000]}
peach_aji_109	さあ　いくよ{[0100|fa000000]}\nマリリン！　ビビアン！
peach_aji_110	んあ～
peach_aji_111	・・・
peach_aji_112	なんだか　たいくつだわ・・・
peach_aji_113	ところで　あの{r2[ひと]}人{/r2}たち\nあれから　{r2[ちず]}地図{/r2}のこととか\nききにこないけれど　いいのかしら？
peach_aji_114	あら・・・{[0100|fa000000]}\nまた　テックかしら？
peach_aji_115	コンニチハ　ピーチ{r2[ヒメ]}姫{/r2}
peach_aji_116	いつも　とつぜんなのね{[0004]}こんどは　いったい　なに？
peach_aji_117	バツガルフサマノ　トコロヘ　{r2[イ]}行{/r2}ッテ\nキイテモライタイコトガ　アリマス
peach_aji_118	え！？{[0100|2c010000]}\nきいてくるって・・・　どういうこと？
peach_aji_119	サイキン　アル　ジョウホウヲ\n{r2[ニュウシュ]}入手{/r2}シタノデスガ　{r2[キ]}気{/r2}ニナルコトガ\nアルノデス
peach_aji_119_01	あなたは　ここの\nメインコンピューターなんでしょ？{[0100|fa000000]}\nどうして　しらないことが　あるの？
peach_aji_119_02	ワタシハ　プログラムニ\n{r2[ニュウリョク]}入力{/r2}サレテイナイコトハ\nシルコトガ　デキマセン{[0004]}ダカラ　ソノコトニツイテ\nバツガルフサマガ　ナニヲ\nカンガエテオラレルノカ　シリタイノデス
peach_aji_120	でも　わたしが　あいに　{r2[い]}行{/r2}こうとしても\nその{r2[まえ]}前{/r2}に　つかまって\n{r2[へや]}部屋{/r2}に　もどされてしまうわ
peach_aji_121	エレベーターヲ　{r2[ア]}上{/r2}ガッタトコロニ\nグンダンインノ　{r2[ヘヤ]}部屋{/r2}ガ　アリマス{[0004]}ソコデ　グンダンインノ　セイフクヲ\n{r2[テ]}手{/r2}ニ{r2[イ]}入{/r2}レテ　キガエテクダサイ{[0004]}バツガルフサマニハ　グンダンインノ\nカッコウデ　アウノデス
peach_aji_122	つまり　へんそうするのね{[0004]}・・・・・・・・・・・・・・・・・{[0004]}どうせ　イヤと　いっても\nきいてくれないんでしょう？
peach_aji_123	ハイ
peach_aji_124	わかったわ・・・{[0100|2c010000]}\nそれで　バツガルフに\nなにを　きいてくればいいの？
peach_aji_125	ソレハ　デスネ・・・
peach_aji_126	まったく　テックは　あんなことを\nきいてきて　もらいたいだなんて{[0100|fa000000]}\nホント　おかしな　コンピューター
peach_aji_127	ここに{r2[はい]}入{/r2}れ　ということかしら
peach_aji_128	チョット　マッテクダサイ{[0100|2c010000]}\nイマ　{r2[ソト]}外{/r2}ニ　グンダンインガ　イマス
peach_aji_129	え？
peach_aji_131	イマデス{[0004]}エレベーターヲ　{r2[デ]}出{/r2}テ\nスグ　{r2[ミギ]}右{/r2}ノ　ミドリノ　ランプガ\nツイテイル　{r2[ヘヤ]}部屋{/r2}デス
peach_aji_132	ココデ　キガエテクダサイ{[0110]}{[0100|f4010000]}\x0f\x01\x10\nグンダンインノ　セイフクハ\nロッカーニ　{r2[ハイ]}入{/r2}ッテイルハズデス
peach_aji_133	{r2[ヘヤ]}部屋{/r2}ヲ　ロックシテイマス{[0100|fa000000]}\nキガエテカラ　バツガルフサマニ\nアイニ　{r2[イ]}行{/r2}ッテクダサイ
peach_aji_134	ええっ！{[0100|fa000000]}\nこれが　せいふく！？{[0100|2c010000]}\nこれを　きるの？
peach_aji_135	ハイ　ソウデス
peach_aji_136	あんっ{[0100|fa000000]}\nなんだか　きついわ　これ{[0100|2c010000]}\nそれに　ちょっと　におうし・・・
peach_aji_137	どうにか　きられたわ
peach_aji_137_01	これなら　カンペキね
peach_aji_137_02	ふくが　ないわ{[0100|fa000000]}\nこっちじゃないみたい
peach_aji_138	ん？{[0100|fa000000]}\nおまえ　なんだか\nあやしい　ニオイが　するのである！？{[0004]}クンクンクン・・・{[0004]}・・・いいニオイが　するのである
peach_aji_139	わたしに　なにか　{r2[よう]}用{/r2}か？{[0100|fa000000]}\n{r2[よう]}用{/r2}が　ないのなら\n{r2[はな]}話{/r2}しかけないでくれたまえ{[0004]}わたしは　いそがしいのだ
peach_aji_140	オマエ　なにを　サボっている？{[0100|fa000000]}\nもち{r2[ば]}場{/r2}を　はなれるなと\nいっているのが　わからんのか！{[0004]}ん？　{[0100|fa000000]}\nいまは　きゅうけい{r2[じかん]}時間{/r2}だと？{[0100|fa000000]}\n・・・ならば　{r2[い]}行{/r2}ってよし！
peach_aji_141	あの・・・　バツガルフさま
peach_aji_142	なんだ！
peach_aji_143	え～と　あの・・・{[0100|fa000000]}\nピーチ{r2[ひめ]}姫{/r2}のことですが・・・{[0100|fa000000]}\nこれから　いかがなさいますか？
peach_aji_144	{[030a|01000000]}んん～？{[030a|00000000]}{[0100|2c010000]}\nオマエの　{r2[こえ]}声{/r2}{[0100|fa000000]}\nなんか　へんだな・・・
peach_aji_145	ギク・・・{[0100|ee020000]}
peach_aji_146	まあ　よい{[0110]}{[0100|f4010000]}\x0f\x01\x10\nんん　ピーチ{r2[ひめ]}姫{/r2}のことか？{[0004]}あの　オンナから　ききたいことは\nもう　ない{[0100|fa000000]}\nあのまま　{r2[へや]}部屋{/r2}に　とじこめておくのだ{[0004]}しかし　けっして\nらんぼうに　あつかっては　ならんぞ{[0100|fa000000]}\nこれは　ほかのものにも　いっておけ
peach_aji_147	い・・・　いったい{[0100|2c010000]}\nなんのために　ピーチ{r2[ひめ]}姫{/r2}を\nとらえておくのでしょうか？
peach_aji_148	そんなことは　オマエが\nしることではない！{[0004]}オマエらは　スターストーンを\nあつめることだけを\nかんがえていれば　いいのだ！{[0004]}われわれ　メガバッテンが\n{r2[せかい]}世界{/r2}を　せいふくするためには\n{r2[でんせつ]}伝説{/r2}の{r2[たから]}宝{/r2}が　ひつようなのだからな！
peach_aji_149	{r2[せかい]}世界{/r2}を・・・　せいふく！？{[0100|fa000000]}\n{r2[でんせつ]}伝説{/r2}の{r2[たから]}宝{/r2}・・・？
peach_aji_150	オマエ　いまさら　なにを　いっておる？{[0004]}{[030a|01000000]}ん～・・・？{[030a|00000000]}{[0100|fa000000]}\nオマエ　やはり　おかしいぞ・・・
peach_aji_151	い・・・　いえ{[0100|fa000000]}\nなんでも　ありません{[0004]}わかりました{[0100|fa000000]}\nで・・・　では　しつれいします
peach_aji_152	あ～　ドキドキした・・・
peach_aji_153	それにしても\n{r2[せかい]}世界{/r2}せいふくだなんて・・・{[0004]}でも　それと　スターストーンを\nあつめることに　なにか\nかんけいが　あるのかしら？
peach_aji_154	よいしょっと・・・
peach_aji_155	ふうっ{[0100|2c010000]}\nやっぱり　このドレスが　{r2[いちばん]}一番{/r2}だわ{[0004]}さあ　はやく　もどらなくっちゃ
peach_aji_156	テック！{[0100|fa000000]}\nあなたたちの　もくてきって\n{r2[せかい]}世界{/r2}せいふくだったのね？
peach_aji_157	モチロンデス{[0100|fa000000]}\nワタシハ　ソノタメニ\nツクラレタノデスカラ
peach_aji_157_01	{r2[せかい]}世界{/r2}せいふく・・・　だなんて・・・{[0100|fa000000]}\nそんな・・・
peach_aji_157_02	ピーチ{r2[ヒメ]}姫{/r2}　ヒトツ　キカセテクダサイ{[0100|fa000000]}\nピーチ{r2[ヒメ]}姫{/r2}ハ　イマノ　{r2[セカイ]}世界{/r2}ガ　スキデスカ？{[0004]}コノ{r2[セカイ]}世界{/r2}ニハ　タクサンノ　モンダイガ\nアリマス{[0100|fa000000]}\nソンナ　{r2[セカイ]}世界{/r2}ガ　スキデスカ？
peach_aji_157_03	もちろんよ！{[0100|fa000000]}\nキライなところも　あるけれど\nそれでも　スキに　きまってるじゃない
peach_aji_157_04	・・・ソウデスカ
peach_aji_158	{r2[せかい]}世界{/r2}せいふくに　スターストーンが\nなにか　かんけいしているの？{[0100|fa000000]}\n{r2[でんせつ]}伝説{/r2}の{r2[たから]}宝{/r2}って　いったい　なんなの？
peach_aji_159	オコタエデキマセン{[0100|2c010000]}\nソレニ　コタエルコトハ\nバツガルフサマニ　キンシ　サレテイマス
peach_aji_160	そんな・・・{[0004]}{[0100|fa000000]}いいわ{[0004]}{r2[せかい]}世界{/r2}せいふくのことだけでも\nマリオに　{r2[つた]}伝{/r2}えなくっちゃ・・・{[0004]}テック{[0100|fa000000]}\nつうしんきを　{r2[つか]}使{/r2}わせてちょうだい
peach_aji_161	{[0100|64000000]}・・・・・・・・・・・・・・・・・・{[0100|fa000000]}{b}{[0004]}ワカリマシタ{[0100|fa000000]}\nツウシンキヲ　{r2[ツカ]}使{/r2}ッテクダサイ
peach_aji_163	おくって！
peach_aji_164	メッセージヲ　ソウシン　シマシタ{[0004]}デハ　ピーチ{r2[ヒメ]}姫{/r2}{[0100|fa000000]}\n{r2[キョウ]}今日{/r2}ハ　モウ　オ{r2[ヘヤ]}部屋{/r2}ニ　モドッテクダサイ
peach_aji_165	え　{[0100|64000000]}ええ・・・
peach_aji_166	オヤスミナサイ　ピーチ{r2[ヒメ]}姫{/r2}
peach_aji_166_00_01	それは　たしかなのだな
