0.msbt
ActionScore_AvoidKouraB	Spiny Shell dodged!
Classic_Gds_MarioCircuitRX	DS Mario Circuit R/T
Classic_Gds_MarioCircuitRX_HashTag	DSMarioCircuitRT
Classic_Gds_MarioCircuitRX_Short	{size[5d00]}Mario Circuit R/T{size[6400]}
Classic_Gds_MarioCircuitX	DS Mario Circuit T
Classic_Gds_MarioCircuitX_HashTag	DSMarioCircuitT
Classic_Gds_MarioCircuitX_Short	{size[5d00]}Mario Circuit T{size[6400]}
Classic_Gds_MushroomRidgeway	{size[5d00]}DS Shroom Ridge{size[6400]}
Classic_Gds_MushroomRidgeway_HashTag	DSShroomRidge
Classic_Gds_MushroomRidgeway_Short	Shroom Ridge
Classic_Gds_MushroomRidgewayR	{size[5d00]}DS Shroom Ridge R{size[6400]}
Classic_Gds_MushroomRidgewayR_HashTag	DSShroomRidgeR
Classic_Gds_MushroomRidgewayR_Short	Shroom Ridge R
Classic_Gds_MushroomRidgewayRX	{size[5d00]}DS Shroom Ridge R/T{size[6400]}
Classic_Gds_MushroomRidgewayRX_HashTag	DSShroomRidgeRT
Classic_Gds_MushroomRidgewayRX_Short	Shroom Ridge R/T
Classic_Gds_MushroomRidgewayX	{size[5d00]}DS Shroom Ridge T{size[6400]}
Classic_Gds_MushroomRidgewayX_HashTag	DSShroomRidgeT
Classic_Gds_MushroomRidgewayX_Short	Shroom Ridge T
Classic_Gds_PeachGarden	{size[5d00]}DS Peach Gardens{size[6400]}
Classic_Gds_PeachGarden_HashTag	DSPeachGardens
Classic_Gds_PeachGarden_Short	Peach Gardens
Classic_Gds_PeachGardenR	{size[5d00]}DS Peach Gardens R{size[6400]}
Classic_Gds_PeachGardenR_HashTag	DSPeachGardensR
Classic_Gds_PeachGardenR_Short	Peach Gardens R
Classic_Gds_PeachGardenRX	{size[5d00]}DS Peach Gardens R/T{size[6400]}
Classic_Gds_PeachGardenRX_HashTag	DSPeachGardensRT
Classic_Gds_PeachGardenRX_Short	Peach Gardens R/T
Classic_Gds_PeachGardenX	{size[5d00]}DS Peach Gardens T{size[6400]}
Classic_Gds_PeachGardenX_HashTag	DSPeachGardensT
Classic_Gds_PeachGardenX_Short	Peach Gardens T
Classic_Gds_WaluigiPinball	{size[5d00]}DS Waluigi Pinball{size[6400]}
Classic_Gds_WaluigiPinball_HashTag	DSWaluigiPinball
Classic_Gds_WaluigiPinball_Short	Waluigi Pinball
Classic_Gds_WaluigiPinballR	{size[5d00]}DS Waluigi Pinball R{size[6400]}
Classic_Gds_WaluigiPinballR_HashTag	DSWaluigiPinballR
Classic_Gds_WaluigiPinballR_Short	Waluigi Pinball R
Classic_Gds_WaluigiPinballRX	{size[5d00]}DS Waluigi Pinball R/T{size[6400]}
Classic_Gds_WaluigiPinballRX_HashTag	DSWaluigiPinballRT
Classic_Gds_WaluigiPinballRX_Short	Waluigi Pinball R/T
Classic_Gds_WaluigiPinballX	{size[5d00]}DS Waluigi Pinball T{size[6400]}
Classic_Gds_WaluigiPinballX_HashTag	DSWaluigiPinballT
Classic_Gds_WaluigiPinballX_Short	Waluigi Pinball T
Classic_Ggc_BabyPark	{size[5d00]}GCN Baby Park{size[6400]}
Classic_Ggc_BabyPark_HashTag	GCNBabyPark
Classic_Ggc_BabyPark_Short	Baby Park
Classic_Ggc_BabyParkR	{size[5d00]}GCN Baby Park R{size[6400]}
Classic_Ggc_BabyParkR_HashTag	GCNBabyParkR
Classic_Ggc_BabyParkR_Short	Baby Park R
Classic_Ggc_BabyParkRX	{size[5d00]}GCN Baby Park R/T{size[6400]}
Classic_Ggc_BabyParkRX_HashTag	GCNBabyParkRT
Classic_Ggc_BabyParkRX_Short	Baby Park R/T
Classic_Ggc_BabyParkX	{size[5d00]}GCN Baby Park T{size[6400]}
Classic_Ggc_BabyParkX_HashTag	GCNBabyParkT
Classic_Ggc_BabyParkX_Short	Baby Park T
Classic_Ggc_DaisyCruiser	{size[5d00]}GCN Daisy Cruiser{size[6400]}
Classic_Ggc_DaisyCruiser_HashTag	GCNDaisyCruiser
Classic_Ggc_DaisyCruiser_Short	Daisy Cruiser
Classic_Ggc_DaisyCruiserR	{size[5d00]}GCN Daisy Cruiser R{size[6400]}
Classic_Ggc_DaisyCruiserR_HashTag	GCNDaisyCruiserR
Classic_Ggc_DaisyCruiserR_Short	Daisy Cruiser R
Classic_Ggc_DaisyCruiserRX	{size[5d00]}GCN Daisy Cruiser R/T{size[6400]}
Classic_Ggc_DaisyCruiserRX_HashTag	GCNDaisyCruiserRT
Classic_Ggc_DaisyCruiserRX_Short	Daisy Cruiser R/T
Classic_Ggc_DaisyCruiserX	{size[5d00]}GCN Daisy Cruiser T{size[6400]}
Classic_Ggc_DaisyCruiserX_HashTag	GCNDaisyCruiserT
Classic_Ggc_DaisyCruiserX_Short	Daisy Cruiser T
Classic_Ggc_DinoDinoJungle	{size[5d00]}GCN Dino Dino Jungle{size[6400]}
Classic_Ggc_DinoDinoJungle_HashTag	GCNDinoDinoJungle
Classic_Ggc_DinoDinoJungle_Short	Dino Dino Jungle
Classic_Ggc_DinoDinoJungleR	{size[5d00]}GCN Dino Dino Jungle R{size[6400]}
Classic_Ggc_DinoDinoJungleR_HashTag	GCNDinoDinoJungleR
Classic_Ggc_DinoDinoJungleR_Short	Dino Dino Jungle R
Classic_Ggc_DinoDinoJungleRX	{size[5d00]}GCN Dino Dino Jungle R/T{size[6400]}
Classic_Ggc_DinoDinoJungleRX_HashTag	GCNDinoDinoJungleRT
Classic_Ggc_DinoDinoJungleRX_Short	Dino Dino Jungle R/T
Classic_Ggc_DinoDinoJungleX	{size[5d00]}GCN Dino Dino Jungle T{size[6400]}
Classic_Ggc_DinoDinoJungleX_HashTag	GCNDinoDinoJungleT
Classic_Ggc_DinoDinoJungleX_Short	Dino Dino Jungle T
Classic_Ggc_DKMountain	{size[5d00]}GCN DK Mountain{size[6400]}
Classic_Ggc_DKMountain_HashTag	GCNDKMountain
Classic_Ggc_DKMountain_Short	DK Mountain
Classic_Ggc_DKMountainR	{size[5d00]}GCN DK Mountain R{size[6400]}
Classic_Ggc_DKMountainR_HashTag	GCNDKMountainR
Classic_Ggc_DKMountainR_Short	DK Mountain R
Classic_Ggc_DKMountainRX	{size[5d00]}GCN DK Mountain R/T{size[6400]}
Classic_Ggc_DKMountainRX_HashTag	GCNDKMountainRT
Classic_Ggc_DKMountainRX_Short	DK Mountain R/T
Classic_Ggc_DKMountainX	{size[5d00]}GCN DK Mountain T{size[6400]}
Classic_Ggc_DKMountainX_HashTag	GCNDKMountainT
Classic_Ggc_DKMountainX_Short	DK Mountain T
Classic_Ggc_MushroomBridge	{size[5d00]}GCN Mushroom Bridge{size[6400]}
Classic_Ggc_MushroomBridge_HashTag	GCNMushroomBridge
Classic_Ggc_MushroomBridge_Short	Mushroom Bridge
Classic_Ggc_MushroomBridgeR	{size[5d00]}GCN Mushroom Bridge R{size[6400]}
Classic_Ggc_MushroomBridgeR_HashTag	GCNMushroomBridgeR
Classic_Ggc_MushroomBridgeR_Short	Mushroom Bridge R
Classic_Ggc_MushroomBridgeRX	{size[5d00]}GCN Mushroom Bridge R/T{size[6400]}
Classic_Ggc_MushroomBridgeRX_HashTag	GCNMushroomBridgeRT
Classic_Ggc_MushroomBridgeRX_Short	Mushroom Bridge R/T
Classic_Ggc_MushroomBridgeX	{size[5d00]}GCN Mushroom Bridge T{size[6400]}
Classic_Ggc_MushroomBridgeX_HashTag	GCNMushroomBridgeT
Classic_Ggc_MushroomBridgeX_Short	Mushroom Bridge T
Classic_Ggc_WaluigiStadium	{size[5d00]}GCN Waluigi Stadium{size[6400]}
Classic_Ggc_WaluigiStadium_HashTag	GCNWaluigiStadium
Classic_Ggc_WaluigiStadium_Short	Waluigi Stadium
Classic_Ggc_WaluigiStadiumR	{size[5d00]}GCN Waluigi Stadium R{size[6400]}
Classic_Ggc_WaluigiStadiumR_HashTag	GCNWaluigiStadiumR
Classic_Ggc_WaluigiStadiumR_Short	Waluigi Stadium R
Classic_Ggc_WaluigiStadiumRX	{size[5d00]}GCN Waluigi Stadium R/T{size[6400]}
Classic_Ggc_WaluigiStadiumRX_HashTag	GCNWaluigiStadiumRT
Classic_Ggc_WaluigiStadiumRX_Short	Waluigi Stadium R/T
Classic_Ggc_WaluigiStadiumX	{size[5d00]}GCN Waluigi Stadium T{size[6400]}
Classic_Ggc_WaluigiStadiumX_HashTag	GCNWaluigiStadiumT
Classic_Ggc_WaluigiStadiumX_Short	Waluigi Stadium T
Classic_Ggc_YoshiCircuit	{size[5d00]}GCN Yoshi Circuit{size[6400]}
Classic_Ggc_YoshiCircuit_HashTag	GCNYoshiCircuit
Classic_Ggc_YoshiCircuit_Short	Yoshi Circuit
Classic_Ggc_YoshiCircuitR	{size[5d00]}GCN Yoshi Circuit R{size[6400]}
Classic_Ggc_YoshiCircuitR_HashTag	GCNYoshiCircuitR
Classic_Ggc_YoshiCircuitR_Short	Yoshi Circuit R
Classic_Ggc_YoshiCircuitRX	{size[5d00]}GCN Yoshi Circuit R/T{size[6400]}
Classic_Ggc_YoshiCircuitRX_HashTag	GCNYoshiCircuitRT
Classic_Ggc_YoshiCircuitRX_Short	Yoshi Circuit R/T
Classic_Ggc_YoshiCircuitX	{size[5d00]}GCN Yoshi Circuit T{size[6400]}
Classic_Ggc_YoshiCircuitX_HashTag	GCNYoshiCircuitT
Classic_Ggc_YoshiCircuitX_Short	Yoshi Circuit T
Classic_Gn64_ChocoMountain	{size[5d00]}N64 Choco Mountain{size[6400]}
Classic_Gn64_ChocoMountain_HashTag	N64ChocoMountain
Classic_Gn64_ChocoMountain_Short	Choco Mountain
Classic_Gn64_ChocoMountainR	{size[5d00]}N64 Choco Mountain R{size[6400]}
Classic_Gn64_ChocoMountainR_HashTag	N64ChocoMountainR
Classic_Gn64_ChocoMountainR_Short	Choco Mountain R
Classic_Gn64_ChocoMountainRX	{size[5d00]}N64 Choco Mountain R/T{size[6400]}
Classic_Gn64_ChocoMountainRX_HashTag	N64ChocoMountainRT
Classic_Gn64_ChocoMountainRX_Short	Choco Mountain R/T
Classic_Gn64_ChocoMountainX	{size[5d00]}N64 Choco Mountain T{size[6400]}
Classic_Gn64_ChocoMountainX_HashTag	N64ChocoMountainT
Classic_Gn64_ChocoMountainX_Short	Choco Mountain T
Classic_Gn64_FrappeSnowland	{size[5d00]}N64 Frappe Snowland{size[6400]}
Classic_Gn64_FrappeSnowland_HashTag	N64FrappeSnowland
Classic_Gn64_FrappeSnowland_Short	Frappe Snowland
Classic_Gn64_FrappeSnowlandR	{size[5d00]}N64 Frappe Snowland R{size[6400]}
Classic_Gn64_FrappeSnowlandR_HashTag	N64FrappeSnowlandR
Classic_Gn64_FrappeSnowlandR_Short	Frappe Snowland R
Classic_Gn64_FrappeSnowlandRX	{size[5d00]}N64 Frappe Snowland R/T{size[6400]}
Classic_Gn64_FrappeSnowlandRX_HashTag	N64FrappeSnowlandRT
Classic_Gn64_FrappeSnowlandRX_Short	Frappe Snowland R/T
Classic_Gn64_FrappeSnowlandX	{size[5d00]}N64 Frappe Snowland T{size[6400]}
Classic_Gn64_FrappeSnowlandX_HashTag	N64FrappeSnowlandT
Classic_Gn64_FrappeSnowlandX_Short	Frappe Snowland T
Classic_Gn64_KalimariDesert	{size[5d00]}N64 Kalimari Desert{size[6400]}
Classic_Gn64_KalimariDesert_HashTag	N64KalimariDesert
Classic_Gn64_KalimariDesert_Short	Kalimari Desert
Classic_Gn64_KalimariDesert2	{size[5d00]}N64 Kalimari Desert 2{size[6400]}
Classic_Gn64_KalimariDesert2_HashTag	N64KalimariDesert2
Classic_Gn64_KalimariDesert2_Short	Kalimari Desert 2
Classic_Gn64_KalimariDesert2R	{size[5d00]}N64 Kalimari Desert 2R{size[6400]}
Classic_Gn64_KalimariDesert2R_HashTag	N64KalimariDesert2R
Classic_Gn64_KalimariDesert2R_Short	Kalimari Desert 2R
Classic_Gn64_KalimariDesert2RX	{size[5d00]}N64 Kalimari Desert 2R/T{size[6400]}
Classic_Gn64_KalimariDesert2RX_HashTag	N64KalimariDesert2RT
Classic_Gn64_KalimariDesert2RX_Short	Kalimari Desert 2R/T
Classic_Gn64_KalimariDesert2X	{size[5d00]}N64 Kalimari Desert 2T{size[6400]}
Classic_Gn64_KalimariDesert2X_HashTag	N64KalimariDesert2T
Classic_Gn64_KalimariDesert2X_Short	Kalimari Desert 2T
Classic_Gn64_KalimariDesertR	{size[5d00]}N64 Kalimari Desert R{size[6400]}
Classic_Gn64_KalimariDesertR_HashTag	N64KalimariDesertR
Classic_Gn64_KalimariDesertR_Short	Kalimari Desert R
Classic_Gn64_KalimariDesertRX	{size[5d00]}N64 Kalimari Desert R/T{size[6400]}
Classic_Gn64_KalimariDesertRX_HashTag	N64KalimariDesertRT
Classic_Gn64_KalimariDesertRX_Short	Kalimari Desert R/T
Classic_Gn64_KalimariDesertX	{size[5d00]}N64 Kalimari Desert T{size[6400]}
Classic_Gn64_KalimariDesertX_HashTag	N64KalimariDesertT
Classic_Gn64_KalimariDesertX_Short	Kalimari Desert T
Classic_Gn64_KoopaTroopaBeach	{size[5d00]}N64 Koopa Troopa Beach{size[6400]}
Classic_Gn64_KoopaTroopaBeach_HashTag	N64KoopaTroopaBeach
Classic_Gn64_KoopaTroopaBeach_Short	Koopa Troopa Beach
Classic_Gn64_KoopaTroopaBeachR	{size[5d00]}N64 Koopa Troopa Beach R{size[6400]}
Classic_Gn64_KoopaTroopaBeachR_HashTag	N64KoopaTroopaBeachR
Classic_Gn64_KoopaTroopaBeachR_Short	Koopa Troopa Beach R
Classic_Gn64_KoopaTroopaBeachRX	{size[5d00]}N64 Koopa Troopa Beach R/T{size[6400]}
Classic_Gn64_KoopaTroopaBeachRX_HashTag	N64KoopaTroopaBeachRT
Classic_Gn64_KoopaTroopaBeachRX_Short	Koopa Troopa Beach R/T
Classic_Gn64_KoopaTroopaBeachX	{size[5d00]}N64 Koopa Troopa Beach T{size[6400]}
Classic_Gn64_KoopaTroopaBeachX_HashTag	N64KoopaTroopaBeachT
Classic_Gn64_KoopaTroopaBeachX_Short	Koopa Troopa Beach T
Classic_Gn64_LuigiCircuit	{size[5d00]}N64 Luigi Raceway{size[6400]}
Classic_Gn64_LuigiCircuit_HashTag	N64LuigiRaceway
Classic_Gn64_LuigiCircuit_Short	Luigi Raceway
Classic_Gn64_LuigiCircuitR	{size[5d00]}N64 Luigi Raceway R{size[6400]}
Classic_Gn64_LuigiCircuitR_HashTag	N64LuigiRacewayR
Classic_Gn64_LuigiCircuitR_Short	Luigi Raceway R
Classic_Gn64_LuigiCircuitRX	{size[5d00]}N64 Luigi Raceway R/T{size[6400]}
Classic_Gn64_LuigiCircuitRX_HashTag	N64LuigiRacewayRT
Classic_Gn64_LuigiCircuitRX_Short	Luigi Raceway R/T
Classic_Gn64_LuigiCircuitX	{size[5d00]}N64 Luigi Raceway T{size[6400]}
Classic_Gn64_LuigiCircuitX_HashTag	N64LuigiRacewayT
Classic_Gn64_LuigiCircuitX_Short	Luigi Raceway T
Classic_Gn64_MarioRaceway	{size[5d00]}N64 Mario Raceway{size[6400]}
Classic_Gn64_MarioRaceway_HashTag	N64MarioCircuit
Classic_Gn64_MarioRaceway_Short	Mario Raceway
Classic_Gn64_MarioRacewayR	{size[5d00]}N64 Mario Raceway R{size[6400]}
Classic_Gn64_MarioRacewayR_HashTag	N64MarioCircuitR
Classic_Gn64_MarioRacewayR_Short	Mario Raceway R
Classic_Gn64_MarioRacewayRX	{size[5d00]}N64 Mario Raceway R/T{size[6400]}
Classic_Gn64_MarioRacewayRX_HashTag	N64MarioRacewayRT
Classic_Gn64_MarioRacewayRX_Short	Mario Raceway R/T
Classic_Gn64_MarioRacewayX	{size[5d00]}N64 Mario Raceway T{size[6400]}
Classic_Gn64_MarioRacewayX_HashTag	N64MarioCircuitT
Classic_Gn64_MarioRacewayX_Short	Mario Raceway T
Classic_Gn64_PeachCircuit	{size[5d00]}N64 Royal Raceway{size[6400]}
Classic_Gn64_PeachCircuit_HashTag	N64RoyalRaceway
Classic_Gn64_PeachCircuit_Short	Royal Raceway
Classic_Gn64_PeachCircuitR	{size[5d00]}N64 Royal Raceway R{size[6400]}
Classic_Gn64_PeachCircuitR_HashTag	N64RoyalRacewayR
Classic_Gn64_PeachCircuitR_Short	Royal Raceway R
Classic_Gn64_PeachCircuitRX	{size[5d00]}N64 Royal Raceway R/T{size[6400]}
Classic_Gn64_PeachCircuitRX_HashTag	N64RoyalRacewayRT
Classic_Gn64_PeachCircuitRX_Short	Royal Raceway R/T
Classic_Gn64_PeachCircuitX	{size[5d00]}N64 Royal Raceway T{size[6400]}
Classic_Gn64_PeachCircuitX_HashTag	N64RoyalRacewayT
Classic_Gn64_PeachCircuitX_Short	Royal Raceway T
Classic_Gn64_YoshiValley	{size[5d00]}N64 Yoshi Valley{size[6400]}
Classic_Gn64_YoshiValley_HashTag	N64YoshiValley
Classic_Gn64_YoshiValley_Short	Yoshi Valley
Classic_Gn64_YoshiValleyR	{size[5d00]}N64 Yoshi Valley R{size[6400]}
Classic_Gn64_YoshiValleyR_HashTag	N64YoshiValleyR
Classic_Gn64_YoshiValleyR_Short	Yoshi Valley R
Classic_Gn64_YoshiValleyRX	{size[5d00]}N64 Yoshi Valley R/T{size[6400]}
Classic_Gn64_YoshiValleyRX_HashTag	N64YoshiValleyRT
Classic_Gn64_YoshiValleyRX_Short	Yoshi Valley R/T
Classic_Gn64_YoshiValleyX	{size[5d00]}N64 Yoshi Valley T{size[6400]}
Classic_Gn64_YoshiValleyX_HashTag	N64YoshiValleyT
Classic_Gn64_YoshiValleyX_Short	Yoshi Valley T
Classic_Gsfc_BowserCastle3	{size[5d00]}SNES Bowser Castle 3{size[6400]}
Classic_Gsfc_BowserCastle3_HashTag	SNESBowserCastle3
Classic_Gsfc_BowserCastle3_Short	Bowser Castle 3
Classic_Gsfc_BowserCastle3R	{size[5d00]}SNES Bowser Castle 3R{size[6400]}
Classic_Gsfc_BowserCastle3R_HashTag	SNESBowserCastle3R
Classic_Gsfc_BowserCastle3R_Short	Bowser Castle 3R
Classic_Gsfc_BowserCastle3RX	{size[5d00]}SNES Bowser Castle 3R/T{size[6400]}
Classic_Gsfc_BowserCastle3RX_HashTag	SNESBowserCastle3RT
Classic_Gsfc_BowserCastle3RX_Short	Bowser Castle 3R/T
Classic_Gsfc_BowserCastle3X	{size[5d00]}SNES Bowser Castle 3T{size[6400]}
Classic_Gsfc_BowserCastle3X_HashTag	SNESBowserCastle3T
Classic_Gsfc_BowserCastle3X_Short	Bowser Castle 3T
Classic_Gsfc_ChocoIsland1	{size[5d00]}SNES Choco Island 1{size[6400]}
Classic_Gsfc_ChocoIsland1_HashTag	SNESChocoIsland1
Classic_Gsfc_ChocoIsland1_Short	Choco Island 1
Classic_Gsfc_ChocoIsland1R	{size[5d00]}SNES Choco Island 1R{size[6400]}
Classic_Gsfc_ChocoIsland1R_HashTag	SNESChocoIsland1R
Classic_Gsfc_ChocoIsland1R_Short	Choco Island 1R
Classic_Gsfc_ChocoIsland1RX	{size[5d00]}SNES Choco Island 1R/T{size[6400]}
Classic_Gsfc_ChocoIsland1RX_HashTag	SNESChocoIsland1RT
Classic_Gsfc_ChocoIsland1RX_Short	Choco Island 1R/T
Classic_Gsfc_ChocoIsland1X	{size[5d00]}SNES Choco Island 1T{size[6400]}
Classic_Gsfc_ChocoIsland1X_HashTag	SNESChocoIsland1T
Classic_Gsfc_ChocoIsland1X_Short	Choco Island 1T
Classic_Gsfc_ChocoIsland2	{size[5d00]}SNES Choco Island 2{size[6400]}
Classic_Gsfc_ChocoIsland2_HashTag	SNESChocoIsland2
Classic_Gsfc_ChocoIsland2_Short	Choco Island 2
Classic_Gsfc_ChocoIsland2R	{size[5d00]}SNES Choco Island 2R{size[6400]}
Classic_Gsfc_ChocoIsland2R_HashTag	SNESChocoIsland2R
Classic_Gsfc_ChocoIsland2R_Short	Choco Island 2R
Classic_Gsfc_ChocoIsland2RX	{size[5d00]}SNES Choco Island 2R/T{size[6400]}
Classic_Gsfc_ChocoIsland2RX_HashTag	SNESChocoIsland2RT
Classic_Gsfc_ChocoIsland2RX_Short	Choco Island 2R/T
Classic_Gsfc_ChocoIsland2X	{size[5d00]}SNES Choco Island 2T{size[6400]}
Classic_Gsfc_ChocoIsland2X_HashTag	SNESChocoIsland2T
Classic_Gsfc_ChocoIsland2X_Short	Choco Island 2T
Classic_Gsfc_DonutsPlain1	{size[5d00]}SNES Donut Plains 1{size[6400]}
Classic_Gsfc_DonutsPlain1_HashTag	SNESDonutPlains1
Classic_Gsfc_DonutsPlain1_Short	Donut Plains 1
Classic_Gsfc_DonutsPlain1R	{size[5d00]}SNES Donut Plains 1R{size[6400]}
Classic_Gsfc_DonutsPlain1R_HashTag	SNESDonutPlains1R
Classic_Gsfc_DonutsPlain1R_Short	Donut Plains 1R
Classic_Gsfc_DonutsPlain1RX	{size[5d00]}SNES Donut Plains 1R/T{size[6400]}
Classic_Gsfc_DonutsPlain1RX_HashTag	SNESDonutPlains1RT
Classic_Gsfc_DonutsPlain1RX_Short	Donut Plains 1R/T
Classic_Gsfc_DonutsPlain1X	{size[5d00]}SNES Donut Plains 1T{size[6400]}
Classic_Gsfc_DonutsPlain1X_HashTag	SNESDonutPlains1T
Classic_Gsfc_DonutsPlain1X_Short	Donut Plains 1T
Classic_Gsfc_DonutsPlain2	{size[5d00]}SNES Donut Plains 2{size[6400]}
Classic_Gsfc_DonutsPlain2_HashTag	SNESDonutPlains2
Classic_Gsfc_DonutsPlain2_Short	Donut Plains 2
Classic_Gsfc_DonutsPlain2R	{size[5d00]}SNES Donut Plains 2R{size[6400]}
Classic_Gsfc_DonutsPlain2R_HashTag	SNESDonutPlains2R
Classic_Gsfc_DonutsPlain2R_Short	Donut Plains 2R
Classic_Gsfc_DonutsPlain2RX	{size[5d00]}SNES Donut Plains 2R/T{size[6400]}
Classic_Gsfc_DonutsPlain2RX_HashTag	SNESDonutPlains2RT
Classic_Gsfc_DonutsPlain2RX_Short	Donut Plains 2R/T
Classic_Gsfc_DonutsPlain2X	{size[5d00]}SNES Donut Plains 2T{size[6400]}
Classic_Gsfc_DonutsPlain2X_HashTag	SNESDonutPlains2T
Classic_Gsfc_DonutsPlain2X_Short	Donut Plains 2T
Classic_Gsfc_DonutsPlain3	{size[5d00]}SNES Donut Plains 3{size[6400]}
Classic_Gsfc_DonutsPlain3_HashTag	SNESDonutPlains3
Classic_Gsfc_DonutsPlain3_Short	Donut Plains 3
Classic_Gsfc_DonutsPlain3R	{size[5d00]}SNES Donut Plains 3R{size[6400]}
Classic_Gsfc_DonutsPlain3R_HashTag	SNESDonutPlains3R
Classic_Gsfc_DonutsPlain3R_Short	Donut Plains 3R
Classic_Gsfc_DonutsPlain3RX	{size[5d00]}SNES Donut Plains 3R/T{size[6400]}
Classic_Gsfc_DonutsPlain3RX_HashTag	SNESDonutPlains3RT
Classic_Gsfc_DonutsPlain3RX_Short	Donut Plains 3R/T
Classic_Gsfc_DonutsPlain3X	{size[5d00]}SNES Donut Plains 3T{size[6400]}
Classic_Gsfc_DonutsPlain3X_HashTag	SNESDonutPlains3T
Classic_Gsfc_DonutsPlain3X_Short	Donut Plains 3T
Classic_Gsfc_GhostValley1	{size[5d00]}SNES Ghost Valley 1{size[6400]}
Classic_Gsfc_GhostValley1_HashTag	SNESGhostValley1
Classic_Gsfc_GhostValley1_Short	Ghost Valley 1
Classic_Gsfc_GhostValley1R	{size[5d00]}SNES Ghost Valley 1R{size[6400]}
Classic_Gsfc_GhostValley1R_HashTag	SNESGhostValley1R
Classic_Gsfc_GhostValley1R_Short	Ghost Valley 1R
Classic_Gsfc_GhostValley1RX	{size[5d00]}SNES Ghost Valley 1R/T{size[6400]}
Classic_Gsfc_GhostValley1RX_HashTag	SNESGhostValley1RT
Classic_Gsfc_GhostValley1RX_Short	Ghost Valley 1R/T
Classic_Gsfc_GhostValley1X	{size[5d00]}SNES Ghost Valley 1T{size[6400]}
Classic_Gsfc_GhostValley1X_HashTag	SNESGhostValley1T
Classic_Gsfc_GhostValley1X_Short	Ghost Valley 1T
Classic_Gsfc_GhostValley2	{size[5d00]}SNES Ghost Valley 2{size[6400]}
Classic_Gsfc_GhostValley2_HashTag	SNESGhostValley2
Classic_Gsfc_GhostValley2_Short	Ghost Valley 2
Classic_Gsfc_GhostValley2R	{size[5d00]}SNES Ghost Valley 2R{size[6400]}
Classic_Gsfc_GhostValley2R_HashTag	SNESGhostValley2R
Classic_Gsfc_GhostValley2R_Short	Ghost Valley 2R
Classic_Gsfc_GhostValley2RX	{size[5d00]}SNES Ghost Valley 2R/T{size[6400]}
Classic_Gsfc_GhostValley2RX_HashTag	SNESGhostValley2RT
Classic_Gsfc_GhostValley2RX_Short	Ghost Valley 2R/T
Classic_Gsfc_GhostValley2X	{size[5d00]}SNES Ghost Valley 2T{size[6400]}
Classic_Gsfc_GhostValley2X_HashTag	SNESGhostValley2T
Classic_Gsfc_GhostValley2X_Short	Ghost Valley 2T
Classic_Gsfc_KoopaTroopaBeach2	{size[5d00]}SNES Koopa Troopa Beach 2{size[6400]}
Classic_Gsfc_KoopaTroopaBeach2_HashTag	SNESKoopaTroopaBeach2
Classic_Gsfc_KoopaTroopaBeach2_Short	Koopa Troopa Beach 2
Classic_Gsfc_KoopaTroopaBeach2R	{size[5d00]}SNES Koopa Troopa Beach 2R{size[6400]}
Classic_Gsfc_KoopaTroopaBeach2R_HashTag	SNESKoopaTroopaBeach2R
Classic_Gsfc_KoopaTroopaBeach2R_Short	Koopa Troopa Beach 2R
Classic_Gsfc_KoopaTroopaBeach2RX	{size[5500]}SNES Koopa Troopa Beach 2R/T{size[6400]}
Classic_Gsfc_KoopaTroopaBeach2RX_HashTag	SNESKoopaTroopaBeach2RT
Classic_Gsfc_KoopaTroopaBeach2RX_Short	Koopa Troopa Beach 2R/T
Classic_Gsfc_KoopaTroopaBeach2X	{size[5d00]}SNES Koopa Troopa Beach 2T{size[6400]}
Classic_Gsfc_KoopaTroopaBeach2X_HashTag	SNESKoopaTroopaBeach2T
Classic_Gsfc_KoopaTroopaBeach2X_Short	Koopa Troopa Beach 2T
Classic_Gsfc_MarioCircuit1	{size[5d00]}SNES Mario Circuit 1{size[6400]}
Classic_Gsfc_MarioCircuit1_HashTag	SNESMarioCircuit1
Classic_Gsfc_MarioCircuit1_Short	Mario Circuit 1
Classic_Gsfc_MarioCircuit1R	{size[5d00]}SNES Mario Circuit 1R{size[6400]}
Classic_Gsfc_MarioCircuit1R_HashTag	SNESMarioCircuit1R
Classic_Gsfc_MarioCircuit1R_Short	Mario Circuit 1R
Classic_Gsfc_MarioCircuit1RX	{size[5d00]}SNES Mario Circuit 1R/T{size[6400]}
Classic_Gsfc_MarioCircuit1RX_HashTag	SNESMarioCircuit1RT
Classic_Gsfc_MarioCircuit1RX_Short	Mario Circuit 1R/T
Classic_Gsfc_MarioCircuit1X	{size[5d00]}SNES Mario Circuit 1T{size[6400]}
Classic_Gsfc_MarioCircuit1X_HashTag	SNESMarioCircuit1T
Classic_Gsfc_MarioCircuit1X_Short	Mario Circuit 1T
Classic_Gsfc_MarioCircuit2	{size[5d00]}SNES Mario Circuit 2{size[6400]}
Classic_Gsfc_MarioCircuit2_HashTag	SNESMarioCircuit2
Classic_Gsfc_MarioCircuit2_Short	Mario Circuit 2
Classic_Gsfc_MarioCircuit2R	{size[5d00]}SNES Mario Circuit 2R{size[6400]}
Classic_Gsfc_MarioCircuit2R_HashTag	SNESMarioCircuit2R
Classic_Gsfc_MarioCircuit2R_Short	Mario Circuit 2R
