0.msbt
ActionScore_AvoidKouraB	避開刺刺龜殼！
event-598-detail	目標第１名！
event-600	VS巨大害羞幽靈王
event-600-detail	目標第１名！
event-607	VS巨大洛伊
event-607-detail	目標第１名！
event-611	VS巨大枯骨庫巴
event-611-detail	目標第１名！
event-617	VS巨大拉里
event-617-detail	目標第１名！
event-632	打倒栗寶寶
event-632-detail	打倒栗寶寶！
event-639	通過圓環
event-639-detail	通過圓環！
event-712	完成跳躍動作
event-712-detail	做出跳躍動作！
event-714	破壞道具箱
event-714-detail	破壞道具箱！
event-716	通過圓環
event-716-detail	通過圓環！
event-742	展開滑翔翼
event-742-detail	讓滑翔距離越遠越好！
event-743	學習基本操作！
event-743-detail	學習基本操作！
event-750	破壞道具箱
event-750-detail	破壞道具箱！
event-751	展開滑翔翼
event-751-detail	讓滑翔距離越遠越好！
event-753	通過圓環
event-753-detail	通過圓環！
event-767	打倒栗寶寶
event-767-detail	打倒栗寶寶！
event-769	通過圓環
event-769-detail	通過圓環！
event-771	通過圓環
event-771-detail	通過圓環！
event-772	不要失控
event-772-detail	不失控並通過終點
event-776	打倒栗寶寶
event-776-detail	打倒栗寶寶！
event-777	打倒栗寶寶
event-777-detail	打倒栗寶寶！
event-778	打倒栗寶寶
event-778-detail	打倒栗寶寶！
event-779	不要失控
event-779-detail	不失控並通過終點
event-780	展開滑翔翼
event-780-detail	讓滑翔距離越遠越好！
event-784	大逆轉比賽
event-784-detail	目標第１名！
event-785	展開滑翔翼
event-785-detail	讓滑翔距離越遠越好！
event-787	打倒栗寶寶
event-787-detail	打倒栗寶寶！
event-788	完成跳躍動作
event-788-detail	做出跳躍動作！
event-792	不要失控
event-792-detail	不失控並通過終點
event-793	通過圓環
event-793-detail	通過圓環！
event-795	打倒栗寶寶
event-795-detail	打倒栗寶寶！
event-796	完成跳躍動作
event-796-detail	做出跳躍動作！
event-798	通過圓環
event-798-detail	通過圓環！
event-801	完成跳躍動作
event-801-detail	做出跳躍動作！
event-804	通過圓環
event-804-detail	通過圓環！
event-805	大逆轉比賽
event-805-detail	目標第１名！
event-807	不要失控
event-807-detail	不失控並通過終點
event-810	通過圓環
event-810-detail	通過圓環！
event-811	破壞道具箱
event-811-detail	破壞道具箱！
event-815	打倒栗寶寶
event-815-detail	打倒栗寶寶！
event-816	完成跳躍動作
event-816-detail	做出跳躍動作！
event-817	不要失控
event-817-detail	不失控並通過終點
event-823	通過圓環
event-823-detail	通過圓環！
event-825	打倒栗寶寶
event-825-detail	打倒栗寶寶！
event-827	展開滑翔翼
event-827-detail	讓滑翔距離越遠越好！
event-835	完成跳躍動作
event-835-detail	做出跳躍動作！
event-840	完成跳躍動作
event-840-detail	做出跳躍動作！
event-842	大逆轉比賽
event-842-detail	目標第１名！
event-843	大逆轉比賽
event-843-detail	目標第１名！
event-844	通過圓環
event-844-detail	通過圓環！
event-845	不要失控
event-845-detail	不失控並通過終點
event-847	通過圓環
event-847-detail	通過圓環！
event-848	不要失控
event-848-detail	不失控並通過終點
event-850	大逆轉比賽
event-850-detail	目標第１名！
event-853	完成跳躍動作
event-853-detail	做出跳躍動作！
event-854	通過圓環
event-854-detail	通過圓環！
event-859	不要失控
event-859-detail	不失控並通過終點
event-864	破壞道具箱
event-864-detail	破壞道具箱！
event-867	大逆轉比賽
event-867-detail	目標第１名！
event-868	完成跳躍動作
event-868-detail	做出跳躍動作！
event-870	不要失控
event-870-detail	不失控並通過終點
event-871	不要失控
event-871-detail	不失控並通過終點
event-872	打倒栗寶寶
event-872-detail	打倒栗寶寶！
event-875	VS巨大雷米
event-875-detail	目標第１名！
event-881	踩扁小碎碎龜
event-881-detail	踩扁碎碎龜！
event-882	踩扁小碎碎龜
event-882-detail	踩扁碎碎龜！
event-885	不要失控
event-885-detail	不失控並通過終點
event-888	不要失控
event-888-detail	不失控並通過終點
event-891	大逆轉比賽
event-891-detail	目標第１名！
event-892	大逆轉比賽
event-892-detail	目標第１名！
event-893	大逆轉比賽
event-893-detail	目標第１名！
event-897	大逆轉比賽
event-897-detail	目標第１名！
event-898	展開滑翔翼
event-898-detail	讓滑翔距離越遠越好！
event-899	VS巨大森喜剛
event-899-detail	目標第１名！
event-900	VS巨大庫巴
event-900-detail	目標第１名！
event-902	完成跳躍動作
event-902-detail	做出跳躍動作！
event-904	踩扁小碎碎龜
event-904-detail	踩扁碎碎龜！
event-907	不要失控
event-907-detail	不失控並通過終點
event-909	踩扁小碎碎龜
event-909-detail	踩扁碎碎龜！
event-911	打倒栗寶寶
event-911-detail	打倒栗寶寶！
event-916	展開滑翔翼
event-916-detail	讓滑翔距離越遠越好！
event-919	完成跳躍動作
event-919-detail	做出跳躍動作！
event-920	完成跳躍動作
event-920-detail	做出跳躍動作！
event-922	踩扁小碎碎龜
event-922-detail	踩扁碎碎龜！
event-923	踩扁小碎碎龜
event-923-detail	踩扁碎碎龜！
event-936	打倒栗寶寶
event-936-detail	打倒栗寶寶！
event-938	VS巨大枯骨庫巴
event-938-detail	目標第１名！
event-939	VS巨大瓦利歐
event-939-detail	目標第１名！
event-943	VS巨大洛德威格
event-943-detail	目標第１名！
event-944	踩扁小碎碎龜
event-944-detail	踩扁碎碎龜！
event-945	踩扁小碎碎龜
event-945-detail	踩扁碎碎龜！
event-946	大逆轉比賽
event-946-detail	目標第１名！
event-947	大逆轉比賽
event-947-detail	目標第１名！
event-951	完成跳躍動作
event-951-detail	做出跳躍動作！
event-952	踩扁小碎碎龜
event-952-detail	踩扁碎碎龜！
event-958	通過圓環
event-958-detail	通過圓環！
event-960	展開滑翔翼
event-960-detail	讓滑翔距離越遠越好！
event-961	VS巨大庫巴
event-961-detail	目標第１名！
event-967	通過圓環
event-967-detail	通過圓環！
event-969	大逆轉比賽
event-969-detail	目標第１名！
event-970	完成跳躍動作
event-970-detail	做出跳躍動作！
event-971	展開滑翔翼
event-971-detail	讓滑翔距離越遠越好！
event-972	通過圓環
event-972-detail	通過圓環！
event-974	破壞道具箱
event-974-detail	破壞道具箱！
event-975	大逆轉比賽
event-975-detail	目標第１名！
event-976	展開滑翔翼
event-976-detail	讓滑翔距離越遠越好！
event-979	打倒栗寶寶
event-979-detail	打倒栗寶寶！
event-981	打倒栗寶寶
event-981-detail	打倒栗寶寶！
event-982	打倒栗寶寶
event-982-detail	打倒栗寶寶！
event-989	踩扁小碎碎龜
event-989-detail	踩扁碎碎龜！
event-991	通過圓環
event-991-detail	通過圓環！
event-992	破壞道具箱
event-992-detail	破壞道具箱！
event-996	踩扁小碎碎龜
event-996-detail	踩扁碎碎龜！
7.msbt
Battle_Bagb_BattleCourse1	GBA 對戰賽道 1
Battle_Bagb_BattleCourse1_HashTag	GBABattleCourse1
Battle_Bagb_BattleCourse1_Short	對戰賽道 1
Battle_Bds_TwilightHouse	DS 薄暮之家
Battle_Bds_TwilightHouse_HashTag	DSTwilightHouse
Battle_Bds_TwilightHouse_Short	薄暮之家
Battle_Bgc_CookieLand	GC 餅乾樂園
Battle_Bgc_CookieLand_HashTag	GCNCookieLand
Battle_Bgc_CookieLand_Short	餅乾樂園
Battle_Bmob_NewYork1	紐約分鐘 B
Battle_Bmob_NewYork1_HashTag	NewYorkMinuteB
Battle_Bmob_NewYork1_Short	紐約分鐘 B
Classic_G3ds_BowserCastle	3DS 庫巴城堡
Classic_G3ds_BowserCastle_HashTag	3DSBowsersCastle
Classic_G3ds_BowserCastle_Short	庫巴城堡
Classic_G3ds_BowserCastleR	3DS 庫巴城堡 R
Classic_G3ds_BowserCastleR_HashTag	3DSBowsersCastleR
Classic_G3ds_BowserCastleR_Short	庫巴城堡 R
Classic_G3ds_BowserCastleRX	3DS 庫巴城堡 RX
Classic_G3ds_BowserCastleRX_HashTag	3DSBowsersCastleRT
Classic_G3ds_BowserCastleRX_Short	庫巴城堡 RX
Classic_G3ds_BowserCastleX	3DS 庫巴城堡 X
Classic_G3ds_BowserCastleX_HashTag	3DSBowsersCastleT
Classic_G3ds_BowserCastleX_Short	庫巴城堡 X
Classic_G3ds_CheepCheepLagoon	3DS 泡泡魚潟湖
Classic_G3ds_CheepCheepLagoon_HashTag	3DSCheepCheepLagoon
Classic_G3ds_CheepCheepLagoon_Short	泡泡魚潟湖
Classic_G3ds_CheepCheepLagoonR	3DS 泡泡魚潟湖 R
Classic_G3ds_CheepCheepLagoonR_HashTag	3DSCheepCheepLagoonR
Classic_G3ds_CheepCheepLagoonR_Short	泡泡魚潟湖 R
Classic_G3ds_CheepCheepLagoonRX	3DS 泡泡魚潟湖 RX
Classic_G3ds_CheepCheepLagoonRX_HashTag	3DSCheepCheepLagoonRT
Classic_G3ds_CheepCheepLagoonRX_Short	泡泡魚潟湖 RX
Classic_G3ds_CheepCheepLagoonX	3DS 泡泡魚潟湖 X
Classic_G3ds_CheepCheepLagoonX_HashTag	3DSCheepCheepLagoonT
Classic_G3ds_CheepCheepLagoonX_Short	泡泡魚潟湖 X
Classic_G3ds_DaisyHills	3DS 黛西公主丘陵
Classic_G3ds_DaisyHills_HashTag	3DSDaisyHills
Classic_G3ds_DaisyHills_Short	黛西公主丘陵
Classic_G3ds_DaisyHillsR	3DS 黛西公主丘陵 R
Classic_G3ds_DaisyHillsR_HashTag	3DSDaisyHillsR
Classic_G3ds_DaisyHillsR_Short	黛西公主丘陵 R
Classic_G3ds_DaisyHillsRX	3DS 黛西公主丘陵 RX
Classic_G3ds_DaisyHillsRX_HashTag	3DSDaisyHillsRT
Classic_G3ds_DaisyHillsRX_Short	黛西公主丘陵 RX
Classic_G3ds_DaisyHillsX	3DS 黛西公主丘陵 X
Classic_G3ds_DaisyHillsX_HashTag	3DSDaisyHillsT
Classic_G3ds_DaisyHillsX_Short	黛西公主丘陵 X
Classic_G3ds_MarioCircuit	3DS 瑪利歐賽道
Classic_G3ds_MarioCircuit_HashTag	3DSMarioCircuit
Classic_G3ds_MarioCircuit_Short	瑪利歐賽道
Classic_G3ds_MarioCircuitR	3DS 瑪利歐賽道 R
Classic_G3ds_MarioCircuitR_HashTag	3DSMarioCircuitR
Classic_G3ds_MarioCircuitR_Short	瑪利歐賽道 R
Classic_G3ds_MarioCircuitRX	3DS 瑪利歐賽道 RX
Classic_G3ds_MarioCircuitRX_HashTag	3DSMarioCircuitRT
Classic_G3ds_MarioCircuitRX_Short	瑪利歐賽道 RX
Classic_G3ds_MarioCircuitX	3DS 瑪利歐賽道 X
Classic_G3ds_MarioCircuitX_HashTag	3DSMarioCircuitT
Classic_G3ds_MarioCircuitX_Short	瑪利歐賽道 X
Classic_G3ds_NeoBowserCity	3DS 新庫巴市
Classic_G3ds_NeoBowserCity_HashTag	3DSNeoBowserCity
Classic_G3ds_NeoBowserCity_Short	新庫巴市
Classic_G3ds_NeoBowserCityR	3DS 新庫巴市 R
Classic_G3ds_NeoBowserCityR_HashTag	3DSNeoBowserCityR
Classic_G3ds_NeoBowserCityR_Short	新庫巴市 R
Classic_G3ds_NeoBowserCityRX	3DS 新庫巴市 RX
Classic_G3ds_NeoBowserCityRX_HashTag	3DSNeoBowserCityRT
Classic_G3ds_NeoBowserCityRX_Short	新庫巴市 RX
Classic_G3ds_NeoBowserCityX	3DS 新庫巴市 X
Classic_G3ds_NeoBowserCityX_HashTag	3DSNeoBowserCityT
Classic_G3ds_NeoBowserCityX_Short	新庫巴市 X
Classic_G3ds_PackunSlider	3DS 吞食花滑道
Classic_G3ds_PackunSlider_HashTag	3DSPiranhaPlantSlide
Classic_G3ds_PackunSlider_Short	吞食花滑道
Classic_G3ds_PackunSliderR	3DS 吞食花滑道 R
Classic_G3ds_PackunSliderR_HashTag	3DSPiranhaPlantSlideR
Classic_G3ds_PackunSliderR_Short	吞食花滑道 R
Classic_G3ds_PackunSliderRX	3DS 吞食花滑道 RX
Classic_G3ds_PackunSliderRX_HashTag	3DSPiranhaPlantSlideRT
Classic_G3ds_PackunSliderRX_Short	吞食花滑道 RX
Classic_G3ds_PackunSliderX	3DS 吞食花滑道 X
Classic_G3ds_PackunSliderX_HashTag	3DSPiranhaPlantSlideT
Classic_G3ds_PackunSliderX_Short	吞食花滑道 X
Classic_G3ds_RainbowRoad	3DS 彩虹之路
Classic_G3ds_RainbowRoad_HashTag	3DSRainbowRoad
Classic_G3ds_RainbowRoad_Short	彩虹之路
Classic_G3ds_RainbowRoadR	3DS 彩虹之路 R
Classic_G3ds_RainbowRoadR_HashTag	3DSRainbowRoadR
Classic_G3ds_RainbowRoadR_Short	彩虹之路 R
Classic_G3ds_RainbowRoadRX	3DS 彩虹之路 RX
Classic_G3ds_RainbowRoadRX_HashTag	3DSRainbowRoadRT
Classic_G3ds_RainbowRoadRX_Short	彩虹之路 RX
Classic_G3ds_RainbowRoadX	3DS 彩虹之路 X
Classic_G3ds_RainbowRoadX_HashTag	3DSRainbowRoadT
Classic_G3ds_RainbowRoadX_Short	彩虹之路 X
Classic_G3ds_RockRockMountain	3DS 岩岩山
Classic_G3ds_RockRockMountain_HashTag	3DSRockRockMountain
Classic_G3ds_RockRockMountain_Short	岩岩山
Classic_G3ds_RockRockMountainR	3DS 岩岩山 R
Classic_G3ds_RockRockMountainR_HashTag	3DSRockRockMountainR
Classic_G3ds_RockRockMountainR_Short	岩岩山 R
Classic_G3ds_RockRockMountainX	3DS 岩岩山 X
Classic_G3ds_RockRockMountainX_HashTag	3DSRockRockMountainT
Classic_G3ds_RockRockMountainX_Short	岩岩山 X
Classic_G3ds_RosettaPlanet	3DS 羅潔塔行星
Classic_G3ds_RosettaPlanet_HashTag	3DSRosalinasIceWorld
Classic_G3ds_RosettaPlanet_Short	羅潔塔行星
Classic_G3ds_RosettaPlanetR	3DS 羅潔塔行星 R
Classic_G3ds_RosettaPlanetR_HashTag	3DSRosalinasIceWorldR
Classic_G3ds_RosettaPlanetR_Short	羅潔塔行星 R
Classic_G3ds_RosettaPlanetRX	3DS 羅潔塔行星 RX
Classic_G3ds_RosettaPlanetRX_HashTag	3DSRosalinasIceWorldRT
Classic_G3ds_RosettaPlanetRX_Short	羅潔塔行星 RX
Classic_G3ds_RosettaPlanetX	3DS 羅潔塔行星 X
Classic_G3ds_RosettaPlanetX_HashTag	3DSRosalinasIceWorldT
Classic_G3ds_RosettaPlanetX_Short	羅潔塔行星 X
Classic_G3ds_ShyGuyBazaar	3DS 嘿呵嘉年華
Classic_G3ds_ShyGuyBazaar_HashTag	3DSShyGuyBazaar
Classic_G3ds_ShyGuyBazaar_Short	嘿呵嘉年華
Classic_G3ds_ShyGuyBazaarR	3DS 嘿呵嘉年華 R
Classic_G3ds_ShyGuyBazaarR_HashTag	3DSShyGuyBazaarR
Classic_G3ds_ShyGuyBazaarR_Short	嘿呵嘉年華 R
Classic_G3ds_ShyGuyBazaarRX	3DS 嘿呵嘉年華 RX
Classic_G3ds_ShyGuyBazaarRX_HashTag	3DSShyGuyBazaarRT
Classic_G3ds_ShyGuyBazaarRX_Short	嘿呵嘉年華 RX
Classic_G3ds_ShyGuyBazaarX	3DS 嘿呵嘉年華 X
Classic_G3ds_ShyGuyBazaarX_HashTag	3DSShyGuyBazaarT
Classic_G3ds_ShyGuyBazaarX_Short	嘿呵嘉年華 X
Classic_G3ds_ToadCircuit	3DS 奇諾比奧賽道
Classic_G3ds_ToadCircuit_HashTag	3DSToadCircuit
Classic_G3ds_ToadCircuit_Short	奇諾比奧賽道
Classic_G3ds_ToadCircuitR	3DS 奇諾比奧賽道 R
Classic_G3ds_ToadCircuitR_HashTag	3DSToadCircuitR
Classic_G3ds_ToadCircuitR_Short	奇諾比奧賽道 R
Classic_G3ds_ToadCircuitRX	3DS 奇諾比奧賽道 RX
Classic_G3ds_ToadCircuitRX_HashTag	3DSToadCircuitRT
Classic_G3ds_ToadCircuitRX_Short	奇諾比奧賽道 RX
Classic_G3ds_ToadCircuitX	3DS 奇諾比奧賽道 X
Classic_G3ds_ToadCircuitX_HashTag	3DSToadCircuitT
Classic_G3ds_ToadCircuitX_Short	奇諾比奧賽道 X
Classic_G3ds_WarioShip	3DS 瓦利歐之船
Classic_G3ds_WarioShip_HashTag	3DSWarioShipyard
Classic_G3ds_WarioShip_Short	瓦利歐之船
Classic_G3ds_WarioShipR	3DS 瓦利歐之船 R
Classic_G3ds_WarioShipR_HashTag	3DSWarioShipyardR
Classic_G3ds_WarioShipR_Short	瓦利歐之船 R
Classic_G3ds_WarioShipRX	3DS 瓦利歐之船 RX
Classic_G3ds_WarioShipRX_HashTag	3DSWarioShipyardRT
Classic_G3ds_WarioShipRX_Short	瓦利歐之船 RX
Classic_G3ds_WarioShipX	3DS 瓦利歐之船 X
Classic_G3ds_WarioShipX_HashTag	3DSWarioShipyardT
Classic_G3ds_WarioShipX_Short	瓦利歐之船 X
Classic_Gagb_BooLake	GBA 害羞幽靈湖
Classic_Gagb_BooLake_HashTag	GBABooLake
Classic_Gagb_BooLake_Short	害羞幽靈湖
Classic_Gagb_BooLakeR	GBA 害羞幽靈湖 R
Classic_Gagb_BooLakeR_HashTag	GBABooLakeR
Classic_Gagb_BooLakeR_Short	害羞幽靈湖 R
Classic_Gagb_BooLakeRX	GBA 害羞幽靈湖 RX
Classic_Gagb_BooLakeRX_HashTag	GBABooLakeRT
Classic_Gagb_BooLakeRX_Short	害羞幽靈湖 RX
Classic_Gagb_BooLakeX	GBA 害羞幽靈湖 X
Classic_Gagb_BooLakeX_HashTag	GBABooLakeT
Classic_Gagb_BooLakeX_Short	害羞幽靈湖 X
Classic_Gagb_BowserCastle1	GBA 庫巴城堡 1
Classic_Gagb_BowserCastle1_HashTag	GBABowsersCastle1
Classic_Gagb_BowserCastle1_Short	庫巴城堡 1
Classic_Gagb_BowserCastle1R	GBA 庫巴城堡 1R
Classic_Gagb_BowserCastle1R_HashTag	GBABowsersCastle1R
Classic_Gagb_BowserCastle1R_Short	庫巴城堡 1R
Classic_Gagb_BowserCastle1RX	GBA 庫巴城堡 1RX
Classic_Gagb_BowserCastle1RX_HashTag	GBABowsersCastle1RT
Classic_Gagb_BowserCastle1RX_Short	庫巴城堡 1RX
Classic_Gagb_BowserCastle1X	GBA 庫巴城堡 1X
Classic_Gagb_BowserCastle1X_HashTag	GBABowsersCastle1T
Classic_Gagb_BowserCastle1X_Short	庫巴城堡 1X
Classic_Gagb_BowserCastle2	GBA 庫巴城堡 2
Classic_Gagb_BowserCastle2_HashTag	GBABowsersCastle2
Classic_Gagb_BowserCastle2_Short	庫巴城堡 2
Classic_Gagb_BowserCastle2R	GBA 庫巴城堡 2R
Classic_Gagb_BowserCastle2R_HashTag	GBABowsersCastle2R
Classic_Gagb_BowserCastle2R_Short	庫巴城堡 2R
Classic_Gagb_BowserCastle2RX	GBA 庫巴城堡 2RX
Classic_Gagb_BowserCastle2RX_HashTag	GBABowsersCastle2RT
Classic_Gagb_BowserCastle2RX_Short	庫巴城堡 2RX
Classic_Gagb_BowserCastle2X	GBA 庫巴城堡 2X
Classic_Gagb_BowserCastle2X_HashTag	GBABowsersCastle2T
Classic_Gagb_BowserCastle2X_Short	庫巴城堡 2X
Classic_Gagb_BowserCastle3	GBA 庫巴城堡 3
Classic_Gagb_BowserCastle3_HashTag	GBABowsersCastle3
Classic_Gagb_BowserCastle3_Short	庫巴城堡 3
Classic_Gagb_BowserCastle3R	GBA 庫巴城堡 3R
Classic_Gagb_BowserCastle3R_HashTag	GBABowsersCastle3R
Classic_Gagb_BowserCastle3R_Short	庫巴城堡 3R
Classic_Gagb_BowserCastle3RX	GBA 庫巴城堡 3RX
Classic_Gagb_BowserCastle3RX_HashTag	GBABowsersCastle3RT
Classic_Gagb_BowserCastle3RX_Short	庫巴城堡 3RX
Classic_Gagb_BowserCastle3X	GBA 庫巴城堡 3X
Classic_Gagb_BowserCastle3X_HashTag	GBABowsersCastle3T
Classic_Gagb_BowserCastle3X_Short	庫巴城堡 3X
Classic_Gagb_CheepCheepIsland	GBA 泡泡魚島
Classic_Gagb_CheepCheepIsland_HashTag	GBACheepCheepIsland
Classic_Gagb_CheepCheepIsland_Short	泡泡魚島
Classic_Gagb_CheepCheepIslandR	GBA 泡泡魚島 R
Classic_Gagb_CheepCheepIslandR_HashTag	GBACheepCheepIslandR
Classic_Gagb_CheepCheepIslandR_Short	泡泡魚島 R
Classic_Gagb_CheepCheepIslandRX	GBA 泡泡魚島 RX
Classic_Gagb_CheepCheepIslandRX_HashTag	GBACheepCheepIslandRT
Classic_Gagb_CheepCheepIslandRX_Short	泡泡魚島 RX
Classic_Gagb_CheepCheepIslandX	GBA 泡泡魚島 X
Classic_Gagb_CheepCheepIslandX_HashTag	GBACheepCheepIslandT
Classic_Gagb_CheepCheepIslandX_Short	泡泡魚島 X
Classic_Gagb_RiverSidePark	GBA 河岸公園
Classic_Gagb_RiverSidePark_HashTag	GBARiversidePark
Classic_Gagb_RiverSidePark_Short	河岸公園
Classic_Gagb_RiverSideParkR	GBA 河岸公園 R
Classic_Gagb_RiverSideParkR_HashTag	GBARiversideParkR
Classic_Gagb_RiverSideParkR_Short	河岸公園 R
Classic_Gagb_RiverSideParkRX	GBA 河岸公園 RX
Classic_Gagb_RiverSideParkRX_HashTag	GBARiversideParkRT
Classic_Gagb_RiverSideParkRX_Short	河岸公園 RX
Classic_Gagb_RiverSideParkX	GBA 河岸公園 X
Classic_Gagb_RiverSideParkX_HashTag	GBARiversideParkT
Classic_Gagb_RiverSideParkX_Short	河岸公園 X
Classic_Gagb_SkyGarden	GBA 空中花園
Classic_Gagb_SkyGarden_HashTag	GBASkyGarden
Classic_Gagb_SkyGarden_Short	空中花園
Classic_Gagb_SkyGardenR	GBA 空中花園 R
Classic_Gagb_SkyGardenR_HashTag	GBASkyGardenR
Classic_Gagb_SkyGardenR_Short	空中花園 R
Classic_Gagb_SkyGardenRX	GBA 空中花園 RX
Classic_Gagb_SkyGardenRX_HashTag	GBASkyGardenRT
Classic_Gagb_SkyGardenRX_Short	空中花園 RX
Classic_Gagb_SkyGardenX	GBA 空中花園 X
Classic_Gagb_SkyGardenX_HashTag	GBASkyGardenT
Classic_Gagb_SkyGardenX_Short	空中花園 X
Classic_Gagb_SnowLand	GBA 白雪天地
Classic_Gagb_SnowLand_HashTag	GBASnowLand
Classic_Gagb_SnowLand_Short	白雪天地
Classic_Gagb_SnowLandR	GBA 白雪天地 R
Classic_Gagb_SnowLandR_HashTag	GBASnowLandR
Classic_Gagb_SnowLandR_Short	白雪天地 R
Classic_Gagb_SnowLandRX	GBA 白雪天地 RX
Classic_Gagb_SnowLandRX_HashTag	GBASnowLandRT
Classic_Gagb_SnowLandRX_Short	白雪天地 RX
Classic_Gagb_SnowLandX	GBA 白雪天地 X
Classic_Gagb_SnowLandX_HashTag	GBASnowLandT
Classic_Gagb_SnowLandX_Short	白雪天地 X
Classic_Gagb_SunsetWilds	GBA 日落荒野
Classic_Gagb_SunsetWilds_HashTag	GBASunsetWilds
Classic_Gagb_SunsetWilds_Short	日落荒野
Classic_Gagb_SunsetWildsR	GBA 日落荒野 R
Classic_Gagb_SunsetWildsR_HashTag	GBASunsetWildsR
Classic_Gagb_SunsetWildsR_Short	日落荒野 R
Classic_Gagb_SunsetWildsRX	GBA 日落荒野 RX
Classic_Gagb_SunsetWildsRX_HashTag	GBASunsetWildsRT
Classic_Gagb_SunsetWildsRX_Short	日落荒野 RX
Classic_Gagb_SunsetWildsX	GBA 日落荒野 X
Classic_Gagb_SunsetWildsX_HashTag	GBASunsetWildsT
Classic_Gagb_SunsetWildsX_Short	日落荒野 X
Classic_Gds_DKPass	DS DK雪山
Classic_Gds_DKPass_HashTag	DSDKPass
Classic_Gds_DKPass_Short	DK雪山
Classic_Gds_DKPassR	DS DK雪山 R
Classic_Gds_DKPassR_HashTag	DSDKPassR
Classic_Gds_DKPassR_Short	DK雪山 R
Classic_Gds_DKPassRX	DS DK雪山 RX
Classic_Gds_DKPassRX_HashTag	DSDKPassRT
Classic_Gds_DKPassRX_Short	DK雪山 RX
Classic_Gds_DKPassX	DS DK雪山 X
Classic_Gds_DKPassX_HashTag	DSDKPassT
Classic_Gds_DKPassX_Short	DK雪山 X
Classic_Gds_KillerShip	DS 炮彈刺客飛船
Classic_Gds_KillerShip_HashTag	DSAirshipFortress
Classic_Gds_KillerShip_Short	炮彈刺客飛船
Classic_Gds_KillerShipR	DS 炮彈刺客飛船 R
Classic_Gds_KillerShipR_HashTag	DSAirshipFortressR
Classic_Gds_KillerShipR_Short	炮彈刺客飛船 R
Classic_Gds_KillerShipRX	DS 炮彈刺客飛船 RX
Classic_Gds_KillerShipRX_HashTag	DSAirshipFortressRT
Classic_Gds_KillerShipRX_Short	炮彈刺客飛船 RX
Classic_Gds_KillerShipX	DS 炮彈刺客飛船 X
Classic_Gds_KillerShipX_HashTag	DSAirshipFortressT
Classic_Gds_KillerShipX_Short	炮彈刺客飛船 X
Classic_Gds_LuigiMansion	DS 路易吉洋樓
Classic_Gds_LuigiMansion_HashTag	DSLuigisMansion
Classic_Gds_LuigiMansion_Short	路易吉洋樓
Classic_Gds_LuigiMansionR	DS 路易吉洋樓 R
Classic_Gds_LuigiMansionR_HashTag	DSLuigisMansionR
Classic_Gds_LuigiMansionR_Short	路易吉洋樓 R
Classic_Gds_LuigiMansionRX	DS 路易吉洋樓 RX
Classic_Gds_LuigiMansionRX_HashTag	DSLuigisMansionRT
Classic_Gds_LuigiMansionRX_Short	路易吉洋樓 RX
Classic_Gds_LuigiMansionX	DS 路易吉洋樓 X
Classic_Gds_LuigiMansionX_HashTag	DSLuigisMansionT
Classic_Gds_LuigiMansionX_Short	路易吉洋樓 X
Classic_Gds_PeachGarden	DS 碧姬公主花園
Classic_Gds_PeachGarden_HashTag	DSPeachGardens
Classic_Gds_PeachGarden_Short	碧姬公主花園
Classic_Gds_PeachGardenR	DS 碧姬公主花園 R
Classic_Gds_PeachGardenR_HashTag	DSPeachGardensR
Classic_Gds_PeachGardenR_Short	碧姬公主花園 R
Classic_Gds_PeachGardenRX	DS 碧姬公主花園 RX
Classic_Gds_PeachGardenRX_HashTag	DSPeachGardensRT
Classic_Gds_PeachGardenRX_Short	碧姬公主花園 RX
Classic_Gds_PeachGardenX	DS 碧姬公主花園 X
Classic_Gds_PeachGardenX_HashTag	DSPeachGardensT
Classic_Gds_PeachGardenX_Short	碧姬公主花園 X
Classic_Gds_WaluigiPinball	DS 瓦路易吉彈珠台
Classic_Gds_WaluigiPinball_HashTag	DSWaluigiPinball
Classic_Gds_WaluigiPinball_Short	瓦路易吉彈珠台
Classic_Gds_WaluigiPinballR	DS 瓦路易吉彈珠台 R
Classic_Gds_WaluigiPinballR_HashTag	DSWaluigiPinballR
Classic_Gds_WaluigiPinballR_Short	瓦路易吉彈珠台 R
Classic_Gds_WaluigiPinballRX	DS 瓦路易吉彈珠台 RX
Classic_Gds_WaluigiPinballRX_HashTag	DSWaluigiPinballRT
Classic_Gds_WaluigiPinballRX_Short	瓦路易吉彈珠台 RX
Classic_Gds_WaluigiPinballX	DS 瓦路易吉彈珠台 X
Classic_Gds_WaluigiPinballX_HashTag	DSWaluigiPinballT
Classic_Gds_WaluigiPinballX_Short	瓦路易吉彈珠台 X
Classic_Ggc_BabyPark	GC 寶寶公園
Classic_Ggc_BabyPark_HashTag	GCNBabyPark
Classic_Ggc_BabyPark_Short	寶寶公園
Classic_Ggc_BabyParkR	GC 寶寶公園 R
Classic_Ggc_BabyParkR_HashTag	GCNBabyParkR
Classic_Ggc_BabyParkR_Short	寶寶公園 R
Classic_Ggc_BabyParkRX	GC 寶寶公園 RX
Classic_Ggc_BabyParkRX_HashTag	GCNBabyParkRT
Classic_Ggc_BabyParkRX_Short	寶寶公園 RX
Classic_Ggc_BabyParkX	GC 寶寶公園 X
Classic_Ggc_BabyParkX_HashTag	GCNBabyParkT
