CheckSaveData.msbt
CreateFile	正在创建{c[dc000d]}保存数据{c[000000]}，\n请稍等片刻。
JobBeam4	使用职业\x0e\x05\x03\x023\0通过{c[dc000d]}30次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobBeam5	使用职业\x0e\x05\x03\x023\0通过{c[dc000d]}50次{c[000000]}探索{c[dc000d]} {c[000000]}。
Equipment1	在杂货店购买{c[dc000d]}3个{c[000000]}装备。
Equipment2	在杂货店购买{c[dc000d]}6个{c[000000]}装备。
Equipment3	在杂货店购买{c[dc000d]}10个{c[000000]}装备。
Equipment4	在杂货店购买{c[dc000d]}20个{c[000000]}装备。
Equipment5	在杂货店购买{c[dc000d]}30个{c[000000]}装备。
Equipment6	在杂货店购买{c[dc000d]}40个{c[000000]}装备。
Equipment7	在杂货店购买{c[dc000d]}50个{c[000000]}装备。
Equipment8	在杂货店购买{c[dc000d]}60个{c[000000]}装备。
Equipment9	在杂货店购买{c[dc000d]}70个{c[000000]}装备。
Equipment10	在杂货店购买{c[dc000d]}80个{c[000000]}装备。
Equipment11	在杂货店购买{c[dc000d]}90个{c[000000]}装备。
Equipment12	在杂货店购买{c[dc000d]}100个{c[000000]}装备。
AllEquipmentSword	在杂货店购买了\n职业\x0e\x05\0\x020\0的{c[dc000d]}所有{c[000000]}装备。
AllEquipmentHammer	在杂货店购买了\n职业\x0e\x05\x01\x021\0的{c[dc000d]}所有{c[000000]}装备。
AllEquipmentDoctor	在杂货店购买了\n职业\x0e\x05\x02\x022\0的{c[dc000d]}所有{c[000000]}装备。
AllEquipmentBeam	在杂货店购买了\n职业\x0e\x05\x03\x023\0的{c[dc000d]}所有{c[000000]}装备。
ArmsForgeZ1	在杂货店将{c[dc000d]}1个{c[000000]}武器进行DX强化。
ArmsForgeZ2	在杂货店将{c[dc000d]}20个{c[000000]}武器进行DX强化。
ArmsForgeZ3	在杂货店将{c[dc000d]}50个{c[000000]}武器进行DX强化。
AllArmsForgeZ	在杂货店将所有职业的{c[dc000d]}所有武器\n{c[000000]}进行DX强化。
HatForgeZ1	在杂货店将{c[dc000d]}1个{c[000000]}防具进行DX强化。
HatForgeZ2	在杂货店将{c[dc000d]}20个{c[000000]}防具进行DX强化。
HatForgeZ3	在杂货店将{c[dc000d]}50个{c[000000]}防具进行DX强化。
AllHatForgeZ	在杂货店将所有职业的{c[dc000d]}所有防具\n{c[000000]}进行DX强化。
ArmsForgeSZ1	在杂货店将{c[dc000d]}1个{c[000000]}武器进行SDX强化。
ArmsForgeSZ2	在杂货店将{c[dc000d]}20个{c[000000]}武器进行SDX强化。
ArmsForgeSZ3	在杂货店将{c[dc000d]}50个{c[000000]}武器进行SDX强化。
AllArmsForgeSZ	在杂货店将所有职业的{c[dc000d]}所有武器\n{c[000000]}进行SDX强化。
HatForgeSZ1	在杂货店将{c[dc000d]}1个{c[000000]}防具进行SDX强化。
HatForgeSZ2	在杂货店将{c[dc000d]}20个{c[000000]}防具进行SDX强化。
HatForgeSZ3	在杂货店将{c[dc000d]}50个{c[000000]}防具进行SDX强化。
AllHatForgeSZ	在杂货店将所有职业的{c[dc000d]}所有防具\n{c[000000]}进行SDX强化。
SupportItem1	在杂货店购买{c[dc000d]}辅助道具{c[000000]}。
SupportItem2	在杂货店购买{c[dc000d]}3个辅助道具{c[000000]}。
SupportMiniExp1	在探索前使用{c[dc000d]}迷你经验值球{c[000000]}。
SupportMiniExp2	在探索前使用{c[dc000d]}3次迷你经验值球{c[000000]}。
SupportExp1	在探索前使用{c[dc000d]}经验值球{c[000000]}。
SupportExp2	在探索前使用{c[dc000d]}3次经验值球{c[000000]}。
SupportHP1	在探索前使用{c[dc000d]}体力药{c[000000]}。
SupportHP2	在探索前使用{c[dc000d]}3次体力药{c[000000]}。
SupportAtk1	在探索前使用{c[dc000d]}攻击药{c[000000]}。
SupportAtk2	在探索前使用{c[dc000d]}3次攻击药{c[000000]}。
SupportBook1	在杂货店购买{c[dc000d]}1本{c[000000]}书。
SupportBook2	合计在杂货店购买{c[dc000d]}3本{c[000000]}书。
SupportBook3	合计在杂货店购买{c[dc000d]}5本{c[000000]}书。
SupportBook4	合计在杂货店购买{c[dc000d]}8本{c[000000]}书。
SupportBook5	合计在杂货店购买{c[dc000d]}10本{c[000000]}书。
SupportBook6	合计在杂货店购买{c[dc000d]}15本{c[000000]}书。
SupportBook7	合计在杂货店购买{c[dc000d]}20本{c[000000]}书。
SupportBook8	合计在杂货店购买{c[dc000d]}30本{c[000000]}书。
SupportBook9	合计在杂货店购买{c[dc000d]}40本{c[000000]}书。
SupportBook10	合计在杂货店购买{c[dc000d]}50本{c[000000]}书。
HighScore1	合计最高分数超过{c[dc000d]}3000分{c[000000]}。
HighScore2	合计最高分数超过{c[dc000d]}10000分{c[000000]}。
HighScore3	合计最高分数超过{c[dc000d]}20000分{c[000000]}。
HighScore4	合计最高分数超过{c[dc000d]}30000分{c[000000]}。
HighScore5	合计最高分数超过{c[dc000d]}50000分{c[000000]}。
HighScore6	合计最高分数超过{c[dc000d]}75000分{c[000000]}。
HighScore7	合计最高分数超过{c[dc000d]}100000分{c[000000]}。
HighScore8	合计最高分数超过{c[dc000d]}120000分{c[000000]}。
HighScore9	合计最高分数超过{c[dc000d]}130000分{c[000000]}。
HighScore10	合计最高分数超过{c[dc000d]}150000分{c[000000]}。
HighScore11	合计最高分数超过{c[dc000d]}170000分{c[000000]}。
HighScore12	合计最高分数超过{c[dc000d]}200000分{c[000000]}。
HighScore13	合计最高分数超过{c[dc000d]}220000分{c[000000]}。
HighScore14	合计最高分数超过{c[dc000d]}240000分{c[000000]}。
HighScore15	合计最高分数超过{c[dc000d]}260000分{c[000000]}。
HighScore16	合计最高分数超过{c[dc000d]}280000分{c[000000]}。
Clear1	通过{c[dc000d]}3次{c[000000]}故事探索。
Clear2	通过{c[dc000d]}7次{c[000000]}故事探索。
Clear3	通过{c[dc000d]}10次{c[000000]}故事探索。
Clear4	通过{c[dc000d]}20次{c[000000]}故事探索。
Clear5	通过{c[dc000d]}30次{c[000000]}故事探索。
Clear6	通过{c[dc000d]}50次{c[000000]}故事探索。
Clear7	通过{c[dc000d]}70次{c[000000]}故事探索。
Clear8	通过{c[dc000d]}100次{c[000000]}故事探索。
Clear9	通过{c[dc000d]}120次{c[000000]}故事探索。
Clear10	通过{c[dc000d]}150次{c[000000]}故事探索。
Clear11	通过{c[dc000d]}170次{c[000000]}故事探索。
Clear12	通过{c[dc000d]}200次{c[000000]}故事探索。
Clear13	通过{c[dc000d]}220次{c[000000]}故事探索。
Clear14	通过{c[dc000d]}250次{c[000000]}故事探索。
Clear15	通过{c[dc000d]}270次{c[000000]}故事探索。
Clear16	通过{c[dc000d]}300次{c[000000]}故事探索。
MultiPlay1	和{c[dc000d]}其他人一起{c[000000]}通过探索。\n（包含分享游玩）
MultiPlay2	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}3次{c[000000]}。\n（包含分享游玩）
MultiPlay3	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}7次{c[000000]}。\n（包含分享游玩）
MultiPlay4	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}10次{c[000000]}。\n（包含分享游玩）
MultiPlay5	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}15次{c[000000]}。\n（包含分享游玩）
MultiPlay6	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}20次{c[000000]}。\n（包含分享游玩）
MultiPlay7	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}30次{c[000000]}。\n（包含分享游玩）
MultiPlay8	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}40次{c[000000]}。\n（包含分享游玩）
MultiPlay9	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}50次{c[000000]}。\n（包含分享游玩）
MultiPlay10	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}60次{c[000000]}。\n（包含分享游玩）
MultiPlay11	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}70次{c[000000]}。\n（包含分享游玩）
MultiPlay12	和{c[dc000d]}其他人一起{c[000000]}通过探索{c[dc000d]}80次{c[000000]}。\n（包含分享游玩）
AllArea1Clear	通过{c[dc000d]}海岸{c[000000]}的{c[dc000d]}所有{c[000000]}探索。
AllArea2Clear	通过{c[dc000d]}沙丘{c[000000]}的{c[dc000d]}所有{c[000000]}探索。
AllArea3Clear	通过{c[dc000d]}古迹{c[000000]}的{c[dc000d]}所有{c[000000]}探索。
AllArea4Clear	通过{c[dc000d]}火山{c[000000]}的{c[dc000d]}所有{c[000000]}探索。
AllArea5Clear	通过{c[dc000d]}天空{c[000000]}的{c[dc000d]}所有{c[000000]}探索。
AllArea6Clear	通过{c[dc000d]}大决战{c[000000]}的{c[dc000d]}所有{c[000000]}探索。
AllArea7Clear	通过{c[dc000d]}草原{c[000000]}的{c[dc000d]}所有{c[000000]}探索。
AllArea8Clear	通过{c[dc000d]}梦幻异界{c[000000]}的{c[dc000d]}所有{c[000000]}探索。
AllArea1ClearPlatinum	通过{c[dc000d]}海岸{c[000000]}的所有探索，\n并{c[dc000d]}全部{c[000000]}获得{c[dc000d]}白金勋章{c[000000]}。
AllArea2ClearPlatinum	通过{c[dc000d]}沙丘{c[000000]}的所有探索，\n并{c[dc000d]}全部{c[000000]}获得{c[dc000d]}白金勋章{c[000000]}。
AllArea3ClearPlatinum	通过{c[dc000d]}古迹{c[000000]}的所有探索，\n并{c[dc000d]}全部{c[000000]}获得{c[dc000d]}白金勋章{c[000000]}。
AllArea4ClearPlatinum	通过{c[dc000d]}火山{c[000000]}的所有探索，\n并{c[dc000d]}全部{c[000000]}获得{c[dc000d]}白金勋章{c[000000]}。
AllArea5ClearPlatinum	通过{c[dc000d]}天空{c[000000]}的所有探索，\n并{c[dc000d]}全部{c[000000]}获得{c[dc000d]}白金勋章{c[000000]}。
AllArea6ClearPlatinum	通过{c[dc000d]}大决战{c[000000]}的所有探索，\n并{c[dc000d]}全部{c[000000]}获得{c[dc000d]}白金勋章{c[000000]}。
AllArea7ClearPlatinum	通过{c[dc000d]}草原{c[000000]}的所有探索，\n并{c[dc000d]}全部{c[000000]}获得{c[dc000d]}白金勋章{c[000000]}。
AllArea8ClearPlatinum	通过{c[dc000d]}梦幻异界{c[000000]}的所有探索，\n并{c[dc000d]}全部{c[000000]}获得{c[dc000d]}白金勋章{c[000000]}。
VisitTraveller1	合计和{c[dc000d]}15名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller2	合计和{c[dc000d]}30名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller3	合计和{c[dc000d]}60名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller4	合计和{c[dc000d]}100名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller5	合计和{c[dc000d]}150名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller6	合计和{c[dc000d]}300名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
TravellerBell1	敲响{c[dc000d]}旅人之钟{c[000000]}的次数\n合计达到{c[dc000d]}5次{c[000000]}。
TravellerBell2	敲响{c[dc000d]}旅人之钟{c[000000]}的次数\n合计达到{c[dc000d]}15次{c[000000]}。
TravellerBell3	敲响{c[dc000d]}旅人之钟{c[000000]}的次数\n合计达到{c[dc000d]}30次{c[000000]}。
TravellerBell4	敲响{c[dc000d]}旅人之钟{c[000000]}的次数\n合计达到{c[dc000d]}50次{c[000000]}。
MaterialFrame	持有的{c[dc000d]}炎之碎片{c[000000]}数量\n超过了{c[dc000d]}1000个{c[000000]}。
MaterialWater	持有的{c[dc000d]}水之碎片{c[000000]}数量\n超过了{c[dc000d]}1000个{c[000000]}。
MaterialLight	持有的{c[dc000d]}光之碎片{c[000000]}数量\n超过了{c[dc000d]}1000个{c[000000]}。
MaterialFrameMax	持有的{c[dc000d]}炎之碎片{c[000000]}数量\n超过了{c[dc000d]}9999个{c[000000]}。
MaterialWaterMax	持有的{c[dc000d]}水之碎片{c[000000]}数量\n超过了{c[dc000d]}9999个{c[000000]}。
MaterialLightMax	持有的{c[dc000d]}光之碎片{c[000000]}数量\n超过了{c[dc000d]}9999个{c[000000]}。
Watchword	在暗号之祠中{c[dc000d]}使用暗号{c[000000]}。
Picture	从系列历代作品{c[dc000d]}跳转至Nintendo eShop{c[000000]}。
Ticket	在探索的战斗中\n获得{c[dc000d]}稀有碎片{c[000000]} 。
StampSingle	在成员选择画面{c[dc000d]}使用图章{c[000000]}。
StampStep	在探索的战斗中{c[dc000d]}使用图章{c[000000]}。
TravellerBellFirst	第一次敲响{c[dc000d]}旅人之钟{c[000000]}。
TrophyClear1	达成{c[dc000d]}100个{c[000000]}勇者任务。
TrophyClear2	达成{c[dc000d]}200个{c[000000]}勇者任务。
TrophyClear3	达成{c[dc000d]}300个{c[000000]}勇者任务。
TrophyClear4	达成{c[dc000d]}400个{c[000000]}勇者任务。
TrophyClear5	达成{c[dc000d]}500个{c[000000]}勇者任务。
TrophyClear6	达成{c[dc000d]}600个{c[000000]}勇者任务。
TrophyClear7	达成{c[dc000d]}700个{c[000000]}勇者任务。
TrophyAllComplete	达成{c[dc000d]}所有的勇者任务{c[000000]}。
StampCollect1	收藏的图章数量\n合计达到{c[dc000d]}10个{c[000000]}。
StampCollect2	收藏的图章数量\n合计达到{c[dc000d]}15个{c[000000]}。
StampCollect3	收藏的图章数量\n合计达到{c[dc000d]}20个{c[000000]}。
StampCollect4	收藏的图章数量\n合计达到{c[dc000d]}30个{c[000000]}。
StampCollect5	收藏的图章数量\n合计达到{c[dc000d]}40个{c[000000]}。
StampCollect6	收集到{c[dc000d]}所有的图章{c[000000]}。
AppleGet1	合计收集到\n{c[dc000d]}30个{c[000000]}苹果宝石。
AppleGet2	合计收集到\n{c[dc000d]}100个{c[000000]}苹果宝石。
AppleGet3	合计收集到\n{c[dc000d]}300个{c[000000]}苹果宝石。
AppleGet4	合计收集到\n{c[dc000d]}500个{c[000000]}苹果宝石。
AppleGet5	合计收集到\n{c[dc000d]}1000个{c[000000]}苹果宝石。
AppleGet6	合计收集到\n{c[dc000d]}2500个{c[000000]}苹果宝石。
AppleGet7	合计收集到\n{c[dc000d]}5000个{c[000000]}苹果宝石。
AppleGet8	合计收集到\n{c[dc000d]}10000个{c[000000]}苹果宝石。
AppleUse1	合计使用了\n{c[dc000d]}30个{c[000000]}苹果宝石。
AppleUse2	合计使用了\n{c[dc000d]}100个{c[000000]}苹果宝石。
AppleUse3	合计使用了\n{c[dc000d]}300个{c[000000]}苹果宝石。
AppleUse4	合计使用了\n{c[dc000d]}500个{c[000000]}苹果宝石。
AppleUse5	合计使用了\n{c[dc000d]}1000个{c[000000]}苹果宝石。
AppleUse6	合计使用了\n{c[dc000d]}2500个{c[000000]}苹果宝石。
AppleUse7	合计使用了\n{c[dc000d]}5000个{c[000000]}苹果宝石。
AppleUse8	合计使用了\n{c[dc000d]}10000个{c[000000]}苹果宝石。
RewardApple	苹果宝石 {c[dc000d]}\x0e\x02\x01\0个{c[000000]}
RewardTicket	稀有碎片 {c[dc000d]}\x0e\x02\x01\0个{c[000000]}
RewardStamp01	可以购买\n{c[dc000d]}\x0e\x02\x0f\0{c[000000]}图章了。
RewardStamp02	?????
MelonPauseMenu.msbt
PageNumSlash	/
HeaderMelonRightDir	朝向右边时
DialogExitMelon	要{c[dc000d]}退出游戏{c[000000]}，\n返回区域选择吗？
DialogRetryMelon	要{c[dc000d]}重新开始{c[000000]}探索吗？
DialogRetryMelonMotivationCheck	要使用{c[dc000d]}\x0e\x02\x01\0{c[000000]}干劲，\n{c[dc000d]}重新开始{c[000000]}探索吗？
AblMelonSwordTitle1	英雄利剑1
AblMelonSwordTitle2	英雄利剑2
AblMelonSwordTitle3	英雄利剑3
AblMelonSwordTitle4	英雄利剑4
AblMelonSwordTitle5	基本操作1
AblMelonSwordTitle6	基本操作2
AblMelonHammerTitle1	重锤子1
AblMelonHammerTitle2	重锤子2
AblMelonHammerTitle3	基本操作1
AblMelonHammerTitle4	基本操作2
AblMelonBeamTitle1	魔法光束1
AblMelonBeamTitle2	魔法光束2
AblMelonBeamTitle3	基本操作1
AblMelonBeamTitle4	基本操作2
AblMelonDoctorTitle1	治愈医生1
AblMelonDoctorTitle2	治愈医生2
AblMelonDoctorTitle3	治愈医生3
AblMelonDoctorTitle4	基本操作1
AblMelonDoctorTitle5	基本操作2
AblMelonSwordNormal	直斩
AblMelonSwordComboAttack	剑百烈斩～决定一斩
AblMelonSwordDril	钻击剑
AblMelonSwordSpin	旋转剑
AblMelonSwordChopping	劈～出剑
AblMelonSwordChoppingUnder	破盔刺
AblMelonSwordUnder	下刺
AblMelonSwordUpper	飞升斩
AblMelonSwordMeteoend	陨石终结
AblMelonSwordRoll	回旋斩
AblMelonSwordTornade	龙卷斩
AblMelonSwordSkyCharge	天空能量剑
AblMelonSwordHeroBarrier	英雄盾
AblMelonSwordSpell	复活的咒文
AblMelonSwordJump	跳跃/盘旋
AblMelonSwordDash	冲刺
AblMelonSwordSquat	蹲下
AblMelonSwordSliding	滑垒
AblMelonSwordAvoid	当下回避
AblMelonSwordAirAvoid	空中回避
AblMelonSwordNormalBtn	\x0e\x04\x06\x022\0
AblMelonSwordComboAttackBtn	直斩后\x0e\x04\x06\x022\0
AblMelonSwordDrilBtn	冲刺＋\x0e\x04\x06\x022\0
AblMelonSwordSpinBtn	冲刺＋在空中\x0e\x04\x06\x022\0
AblMelonSwordChoppingBtn	在空中\x0e\x04\x06\x022\0
AblMelonSwordChoppingUnderBtn	劈出剑～在空中\n\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblMelonSwordUnderBtn	在空中\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblMelonSwordUpperBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblMelonSwordMeteoendBtn	飞升斩的上升时\n\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblMelonSwordRollBtn	长按\x0e\x04\x06\x022\0～放开
AblMelonSwordTornadeBtn	长按\x0e\x04\x06\x022\0～放开＋\x0e\x04\x17\x02Ä\0
AblMelonSwordSkyChargeBtn	长按\x0e\x04\x17\x02Ä\0～放开＋\x0e\x04\x06\x022\0
AblMelonSwordHeroBarrierBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMelonSwordSpellBtn	在被打倒的\n同伴身旁\x0e\x04\x07\x023\0
AblMelonSwordJumpBtn	\x0e\x04\x05\x021\0
AblMelonSwordDashBtn	快速\x0e\x04\x14\x02Á\0/\x0e\x04\x14\x02Á\0\x0e\x16\0\0\x0e\x04\x14\x02Á\0
AblMelonSwordSquatBtn	\x0e\x04\x15\x02Â\0
AblMelonSwordSlidingBtn	\x0e\x04\x15\x02Â\0+\x0e\x04\x05\x021\0
AblMelonSwordAvoidBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0+\x0e\x04\x13\x02À\0
AblMelonSwordAirAvoidBtn	在空中\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMelonDoctorBoundCrystal	弹跳宝石
AblMelonDoctorLabo	科学研究所
AblMelonDoctorKeepLabo	研究保存
AblMelonDoctorSpray	药剂喷雾
AblMelonDoctorSpin	绷带旋转
AblMelonDoctorCrystalPot	宝石商店
AblMelonDoctorImpact	书本\x0e\x17\0\0・\x0f\x17\0冲击
AblMelonDoctorHealing	治愈地带
AblMelonDoctorSpell	复活的咒文
AblMelonDoctorJump	跳跃/盘旋
AblMelonDoctorDash	冲刺
AblMelonDoctorSquat	蹲下
AblMelonDoctorSliding	滑垒
AblMelonDoctorGuard	防御
AblMelonDoctorAvoid	当下回避
AblMelonDoctorAirAvoid	空中回避
AblMelonDoctorBoundCrystalBtn	\x0e\x04\x06\x022\0
AblMelonDoctorLaboBtn	\x0e\x04\x15\x02Â\0＋超长按\x0e\x04\x06\x022\0\n～放开
AblMelonDoctorKeepLaboBtn	科学研究所\n～\x0e\x04\x05\x021\0/防御
AblMelonDoctorSprayBtn	\x0e\x04\x17\x02Ä\0＋\x0e\x04\x06\x022\0
AblMelonDoctorSpinBtn	冲刺＋在空中\x0e\x04\x06\x022\0
AblMelonDoctorCrystalPotBtn	冲刺＋在空中\n长按\x0e\x04\x06\x022\0
AblMelonDoctorImpactBtn	冲刺＋\x0e\x04\x06\x022\0
AblMelonDoctorHealingBtn	长按\x0e\x04\x06\x022\0～放开
AblMelonDoctorSpellBtn	在被打倒的\n同伴身旁\x0e\x04\x07\x023\0
AblMelonDoctorJumpBtn	\x0e\x04\x05\x021\0
AblMelonDoctorDashBtn	快速\x0e\x04\x14\x02Á\0/\x0e\x04\x14\x02Á\0\x0e\x16\0\0\x0e\x04\x14\x02Á\0
AblMelonDoctorSquatBtn	\x0e\x04\x15\x02Â\0
AblMelonDoctorSlidingBtn	\x0e\x04\x15\x02Â\0+\x0e\x04\x05\x021\0
AblMelonDoctorGuardBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMelonDoctorAvoidBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0+\x0e\x04\x13\x02À\0
AblMelonDoctorAirAvoidBtn	在空中\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMelonHammerNormal	锤子敲击
AblMelonHammerGiantSwing	大回环
AblMelonHammerRoll	大车轮
AblMelonHammerRoolHyper	极\x0e\x17\0\0・\x0f\x17\0大车轮
AblMelonHammerUnder	转转锤子
AblMelonHammerFire	鬼杀火焰锤
AblMelonHammerSpell	复活的咒文
AblMelonHammerJump	跳跃/盘旋
AblMelonHammerDash	冲刺
AblMelonHammerSquat	蹲下
AblMelonHammerSliding	滑垒
AblMelonHammerGuard	防御
AblMelonHammerAvoid	当下回避
AblMelonHammerAirAvoid	空中回避
AblMelonHammerNormalBtn	\x0e\x04\x06\x022\0
AblMelonHammerGiantSwingBtn	冲刺＋\x0e\x04\x06\x022\0
AblMelonHammerRollBtn	在空中\x0e\x04\x06\x022\0
AblMelonHammerRoolHyperBtn	冲刺＋在空中\x0e\x04\x06\x022\0
AblMelonHammerUnderBtn	\x0e\x04\x15\x02Â\0＋\x0e\x04\x06\x022\0
AblMelonHammerFireBtn	\x0e\x04\x17\x02Ä\0＋长按\x0e\x04\x06\x022\0～放开
AblMelonHammerSpellBtn	在被打倒的\n同伴身旁\x0e\x04\x07\x023\0
AblMelonHammerJumpBtn	\x0e\x04\x05\x021\0
AblMelonHammerDashBtn	快速\x0e\x04\x14\x02Á\0/\x0e\x04\x14\x02Á\0\x0e\x16\0\0\x0e\x04\x14\x02Á\0
AblMelonHammerSquatBtn	\x0e\x04\x15\x02Â\0
AblMelonHammerSlidingBtn	\x0e\x04\x15\x02Â\0+\x0e\x04\x05\x021\0
AblMelonHammerGuardBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMelonHammerAvoidBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0+\x0e\x04\x13\x02À\0
AblMelonHammerAirAvoidBtn	在空中\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMelonBeamWhip	光束鞭
AblMelonBeamCicle	周波光束
AblMelonBeamMachinegun	光束机关枪
AblMelonBeamTime	时间光束
AblMelonBeamSpell	复活的咒文
AblMelonBeamJump	跳跃/盘旋
AblMelonBeamDash	冲刺
AblMelonBeamSquat	蹲下
AblMelonBeamSliding	滑垒
AblMelonBeamGuard	防御
AblMelonBeamAvoid	当下回避
AblMelonBeamAirAvoid	空中回避
AblMelonBeamWhipBtn	\x0e\x04\x06\x022\0
AblMelonBeamCicleBtn	冲刺＋\x0e\x04\x06\x022\0
AblMelonBeamMachinegunBtn	冲刺＋在空中\x0e\x04\x06\x022\0
AblMelonBeamTimeBtn	长按\x0e\x04\x06\x022\0～放开
AblMelonBeamSpellBtn	在被打倒的\n同伴身旁\x0e\x04\x07\x023\0
AblMelonBeamJumpBtn	\x0e\x04\x05\x021\0
AblMelonBeamDashBtn	快速\x0e\x04\x14\x02Á\0/\x0e\x04\x14\x02Á\0\x0e\x16\0\0\x0e\x04\x14\x02Á\0
AblMelonBeamSquatBtn	\x0e\x04\x15\x02Â\0
AblMelonBeamSlidingBtn	\x0e\x04\x15\x02Â\0+\x0e\x04\x05\x021\0
AblMelonBeamGuardBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
AblMelonBeamAvoidBtn	\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0+\x0e\x04\x13\x02À\0
AblMelonBeamAirAvoidBtn	在空中\x0e\x04\t\x02`\0/\x0e\x04\n\x02a\0
MelonResult.msbt
ExpText	经验值
ClearTimeText	通关时间
TimeUpText	时间到
NewRecordText	NEW
BonusTextBossKill	击破奖励
BonusTextSpeedClear	快速通关奖励
BonusTelopTextClearTime	+通关时间 \x0e\x02\x01\0:\x0e\x02\x01\0\x0e\x16\0\0\x0e\x02\x01\0.\x0e\x02\x01\0\x0e\x16\0\0\x0e\x02\x01\0
BonusTelopTextBossKill	+击破奖励\x0e\x02\x01\0
BonusTelopTextSpeedClear	+快速通关奖励\x0e\x02\x01\0
ClearTimeNum1	\x0e\x02\x01\0:\x0e\x02\x01\0\x0e\x16\0\0\x0e\x02\x01\0
ClearTimeNum2	.\x0e\x02\x01\0\x0e\x16\0\0\x0e\x02\x01\0
QuestClear	Quest Clear
NextButtonText	\x0e\x04\x05\x021\0下一步
CreditButtonText	前往制作人员名单
TownButtonText	前往小镇
LastSlayer	给予最后一击的玩家
AllMember	\x0e\x17\x01\0大家一起\x0f\x17\x01
LevelUpExp	获得了\x0e\x02\x01\0{c[dc000d]}经验值{c[000000]}！
LevelUpLevel	{c[dc000d]}等级{c[000000]}提升至\x0e\x02\x01\0了！
LevelUpParam	因为等级提升而变得更加强大了！
LevelUpOther1	斗志提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther2	温柔度提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther3	眼睛的光泽度提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther4	噗噗噗提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther5	脸颊肉感提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther6	肌肤触感提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther7	诚意提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther8	身体的圆润度提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther9	成熟气质提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther10	与同伴间的默契提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther11	可靠度提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther12	美丽度提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther13	肚子的健康度提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther14	唱歌的技巧提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther15	领袖魅力提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther16	梦想力提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther17	魅力提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther18	弹力提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther19	野性的直觉提高了\x0e\x02\x01\0点！（但没有意义）
LevelUpOther20	与同伴的默契{c[dc000d]}超{c[000000]}越极限了！（但没有意义）
LevelUpMaximum	终于达到了{c[dc000d]}最大等级{c[000000]}！
LevelUpJobMaster	{c[dc000d]}最强的职业大师{c[000000]}诞生了！
