CheckSaveData.msbt
CreateFile	正在建立{c[dc000d]}儲存資料{c[000000]}，\n請稍候片刻。
WArea6Stage5Mission3	於通過「超：異次元夢魘 復仇」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage5Mission4	在{c[dc000d]}1分10秒內{c[000000]}通過\n「超：異次元夢魘 復仇」探索。
WArea6Stage5Mission5	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}SDX強化的「D狂錘‧意向 復仇」{c[000000]}\n通過「超：異次元夢魘 復仇」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage5Mission6	用職業\x0e\x05\x01\x021\0的招式{c[dc000d]}「鬼殺火焰錘」\n{c[000000]}給予「超：異次元夢魘 復仇」最後一擊。
WArea6Stage5Mission7	在{c[dc000d]}1分鐘內{c[000000]}通過\n「超：異次元夢魘 復仇」探索。
WArea6Stage5Mission8	在{c[dc000d]}50秒內{c[000000]}通過\n「超：異次元夢魘 復仇」探索。
WArea6Stage6Mission1	通過「超：異次元龍帝亞」探索。
WArea6Stage6Mission2	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}「異次元龍帝翁」套裝\n{c[000000]}通過「超：異次元龍帝亞」探索。
WArea6Stage6Mission3	於通過「超：異次元龍帝亞」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage6Mission4	在{c[dc000d]}1分鐘內{c[000000]}通過\n「超：異次元龍帝亞」探索。
WArea6Stage6Mission5	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}SDX強化的「異次元龍帝翁帽盔」{c[000000]}\n通過「超：異次元龍帝亞」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage6Mission6	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「超：異次元龍帝亞」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage6Mission7	以任意職業裝備{c[dc000d]}稀有度6以下的{c[000000]}武器防具\n通過「超：異次元龍帝亞」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage6Mission8	在{c[dc000d]}45秒內{c[000000]}通過\n「超：異次元龍帝亞」探索。
WArea8Stage1Mission1	通過「超：圍繞淵源的英雄」探索。
WArea8Stage1Mission2	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}「冥蝶」套裝\n{c[000000]}通過「超：圍繞淵源的英雄」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
WArea8Stage1Mission3	於通過「超：圍繞淵源的英雄」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
WArea8Stage1Mission4	在{c[dc000d]}1分鐘內{c[000000]}通過\n「超：圍繞淵源的英雄」探索。
WArea8Stage1Mission5	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}SDX強化的「冥王之斬閃冥蝶」{c[000000]}\n通過「超：圍繞淵源的英雄」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea8Stage1Mission6	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「超：圍繞淵源的英雄」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea8Stage1Mission7	以{c[dc000d]}好友隕石{c[000000]}給予\n「超：圍繞淵源的英雄」最後一擊。
WArea8Stage1Mission8	在{c[dc000d]}45秒內{c[000000]}通過\n「超：圍繞淵源的英雄」探索。
WArea6Stage7Mission1	通過「極超：異次元夢魘 復仇」探索。
WArea6Stage7Mission2	使用職業\x0e\x05\x03\x023\0裝備{c[dc000d]}「店主魔法洛亞」套裝{c[000000]}\n通過「極超：異次元夢魘 復仇」探索，\n並獲得{c[dc000d]}黃金勳章以上{c[000000]}的評價。
WArea6Stage7Mission3	於通過「極超：異次元夢魘 復仇」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage7Mission4	在{c[dc000d]}1分15秒內{c[000000]}通過\n「極超：異次元夢魘 復仇」探索。
WArea6Stage7Mission5	使用職業\x0e\x05\x03\x023\0裝備{c[dc000d]}SDX強化的「店主魔法洛亞」套裝{c[000000]}\n通過「極超：異次元夢魘 復仇」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage7Mission6	使用職業\x0e\x05\x03\x023\0裝備{c[dc000d]}SDX強化的「魔嚕酷」套裝{c[000000]}\n通過「極超：異次元夢魘 復仇」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage7Mission7	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「極超：異次元夢魘 復仇」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage7Mission8	在{c[dc000d]}1分5秒內{c[000000]}通過\n「極超：異次元夢魘 復仇」探索。
WArea6Stage8Mission1	通過「極超：D大王‧意向 復仇」探索。
WArea6Stage8Mission2	在「極超：D大王‧意向 復仇」探索中\n{c[dc000d]}沒有任何人力竭{c[000000]}。
WArea6Stage8Mission3	於通過「極超：D大王‧意向 復仇」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage8Mission4	在{c[dc000d]}1分10秒內{c[000000]}通過\n「極超：D大王‧意向 復仇」探索。
WArea6Stage8Mission5	使用職業\x0e\x05\x01\x021\0裝備{c[dc000d]}SDX強化的「逆襲之錘‧改」{c[000000]}\n通過「極超：D大王‧意向 復仇」探索。
WArea6Stage8Mission6	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「極超：D大王‧意向 復仇」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea6Stage8Mission7	玩家等級{c[dc000d]}90{c[000000]}以上\n通過「極超：D大王‧意向 復仇」探索。
WArea6Stage8Mission8	在{c[dc000d]}55秒內{c[000000]}通過\n「極超：D大王‧意向 復仇」探索。
WArea8Stage2Mission1	通過「極超：真 最終決戰EX」探索。
WArea8Stage2Mission2	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}DX強化的「騎士」套裝{c[000000]}\n通過「極超：真 最終決戰EX」探索。
WArea8Stage2Mission3	於通過「極超：真 最終決戰EX」探索時\n獲得{c[dc000d]}白金勳章{c[000000]}。
WArea8Stage2Mission4	在{c[dc000d]}1分10秒內{c[000000]}通過\n「極超：真 最終決戰EX」探索。
WArea8Stage2Mission5	使用職業\x0e\x05\0\x020\0裝備{c[dc000d]}SDX強化的「新手之劍」{c[000000]}\n通過「極超：真 最終決戰EX」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea8Stage2Mission6	在{c[dc000d]}沒有任何人力竭{c[000000]}的情況下\n通過「極超：真 最終決戰EX」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea8Stage2Mission7	裝備{c[dc000d]}SDX強化的「星光」套裝{c[000000]}\n通過「極超：真 最終決戰EX」探索，\n並獲得{c[dc000d]}白金勳章{c[000000]}。
WArea8Stage2Mission8	在{c[dc000d]}55秒內{c[000000]}通過\n「極超：真 最終決戰EX」探索。
Quest1	通過故事探索中的{c[dc000d]}7個鬼級別{c[000000]}探索。
Quest2	開放故事探索中的{c[dc000d]}夢幻異界{c[000000]}。
Quest3	通過{c[dc000d]}所有鬼級別{c[000000]}的熱鬧探索。
Quest4	開放熱鬧探索中的{c[dc000d]}極超級別{c[000000]}。
Level1	達到玩家等級{c[dc000d]}3{c[000000]}。
Level2	達到玩家等級{c[dc000d]}5{c[000000]}。
Level3	達到玩家等級{c[dc000d]}7{c[000000]}。
Level4	達到玩家等級{c[dc000d]}10{c[000000]}。
Level5	達到玩家等級{c[dc000d]}12{c[000000]}。
Level6	達到玩家等級{c[dc000d]}15{c[000000]}。
Level7	達到玩家等級{c[dc000d]}17{c[000000]}。
Level8	達到玩家等級{c[dc000d]}20{c[000000]}。
Level9	達到玩家等級{c[dc000d]}22{c[000000]}。
Level10	達到玩家等級{c[dc000d]}25{c[000000]}。
Level11	達到玩家等級{c[dc000d]}27{c[000000]}。
Level12	達到玩家等級{c[dc000d]}30{c[000000]}。
Level13	達到玩家等級{c[dc000d]}32{c[000000]}。
Level14	達到玩家等級{c[dc000d]}35{c[000000]}。
Level15	達到玩家等級{c[dc000d]}37{c[000000]}。
Level16	達到玩家等級{c[dc000d]}40{c[000000]}。
Level17	達到玩家等級{c[dc000d]}42{c[000000]}。
Level18	達到玩家等級{c[dc000d]}45{c[000000]}。
Level19	達到玩家等級{c[dc000d]}47{c[000000]}。
Level20	達到玩家等級{c[dc000d]}50{c[000000]}。
Level21	達到玩家等級{c[dc000d]}52{c[000000]}。
Level22	達到玩家等級{c[dc000d]}55{c[000000]}。
Level23	達到玩家等級{c[dc000d]}57{c[000000]}。
Level24	達到玩家等級{c[dc000d]}60{c[000000]}。
Level25	達到玩家等級{c[dc000d]}62{c[000000]}。
Level26	達到玩家等級{c[dc000d]}65{c[000000]}。
Level27	達到玩家等級{c[dc000d]}67{c[000000]}。
Level28	達到玩家等級{c[dc000d]}70{c[000000]}。
Level29	達到玩家等級{c[dc000d]}72{c[000000]}。
Level30	達到玩家等級{c[dc000d]}75{c[000000]}。
Level31	達到玩家等級{c[dc000d]}77{c[000000]}。
Level32	達到玩家等級{c[dc000d]}80{c[000000]}。
Level33	達到玩家等級{c[dc000d]}82{c[000000]}。
Level34	達到玩家等級{c[dc000d]}85{c[000000]}。
Level35	達到玩家等級{c[dc000d]}87{c[000000]}。
Level36	達到玩家等級{c[dc000d]}90{c[000000]}。
Level37	達到玩家等級{c[dc000d]}92{c[000000]}。
Level38	達到玩家等級{c[dc000d]}95{c[000000]}。
Level39	達到玩家等級{c[dc000d]}97{c[000000]}。
Level40	達到玩家等級{c[dc000d]}100{c[000000]}。
JobSword1	使用職業\x0e\x05\0\x020\0通過{c[dc000d]}5次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobSword2	使用職業\x0e\x05\0\x020\0通過{c[dc000d]}10次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobSword3	使用職業\x0e\x05\0\x020\0通過{c[dc000d]}20次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobSword4	使用職業\x0e\x05\0\x020\0通過{c[dc000d]}30次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobSword5	使用職業\x0e\x05\0\x020\0通過{c[dc000d]}50次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobHammer1	使用職業\x0e\x05\x01\x021\0通過{c[dc000d]}5次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobHammer2	使用職業\x0e\x05\x01\x021\0通過{c[dc000d]}10次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobHammer3	使用職業\x0e\x05\x01\x021\0通過{c[dc000d]}20次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobHammer4	使用職業\x0e\x05\x01\x021\0通過{c[dc000d]}30次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobHammer5	使用職業\x0e\x05\x01\x021\0通過{c[dc000d]}50次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobDoctor1	使用職業\x0e\x05\x02\x022\0通過{c[dc000d]}5次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobDoctor2	使用職業\x0e\x05\x02\x022\0通過{c[dc000d]}10次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobDoctor3	使用職業\x0e\x05\x02\x022\0通過{c[dc000d]}20次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobDoctor4	使用職業\x0e\x05\x02\x022\0通過{c[dc000d]}30次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobDoctor5	使用職業\x0e\x05\x02\x022\0通過{c[dc000d]}50次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobBeam1	使用職業\x0e\x05\x03\x023\0通過{c[dc000d]}5次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobBeam2	使用職業\x0e\x05\x03\x023\0通過{c[dc000d]}10次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobBeam3	使用職業\x0e\x05\x03\x023\0通過{c[dc000d]}20次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobBeam4	使用職業\x0e\x05\x03\x023\0通過{c[dc000d]}30次{c[000000]}探索{c[dc000d]} {c[000000]}。
JobBeam5	使用職業\x0e\x05\x03\x023\0通過{c[dc000d]}50次{c[000000]}探索{c[dc000d]} {c[000000]}。
Equipment1	在雜貨店購買{c[dc000d]}3個{c[000000]}裝備。
Equipment2	在雜貨店購買{c[dc000d]}6個{c[000000]}裝備。
Equipment3	在雜貨店購買{c[dc000d]}10個{c[000000]}裝備。
Equipment4	在雜貨店購買{c[dc000d]}20個{c[000000]}裝備。
Equipment5	在雜貨店購買{c[dc000d]}30個{c[000000]}裝備。
Equipment6	在雜貨店購買{c[dc000d]}40個{c[000000]}裝備。
Equipment7	在雜貨店購買{c[dc000d]}50個{c[000000]}裝備。
Equipment8	在雜貨店購買{c[dc000d]}60個{c[000000]}裝備。
Equipment9	在雜貨店購買{c[dc000d]}70個{c[000000]}裝備。
Equipment10	在雜貨店購買{c[dc000d]}80個{c[000000]}裝備。
Equipment11	在雜貨店購買{c[dc000d]}90個{c[000000]}裝備。
Equipment12	在雜貨店購買{c[dc000d]}100個{c[000000]}裝備。
AllEquipmentSword	在雜貨店購買了\n職業\x0e\x05\0\x020\0的{c[dc000d]}全部{c[000000]}裝備。
AllEquipmentHammer	在雜貨店購買了\n職業\x0e\x05\x01\x021\0的{c[dc000d]}全部{c[000000]}裝備。
AllEquipmentDoctor	在雜貨店購買了\n職業\x0e\x05\x02\x022\0的{c[dc000d]}全部{c[000000]}裝備。
AllEquipmentBeam	在雜貨店購買了\n職業\x0e\x05\x03\x023\0的{c[dc000d]}全部{c[000000]}裝備。
ArmsForgeZ1	在雜貨店將{c[dc000d]}1個{c[000000]}武器進行DX強化。
ArmsForgeZ2	在雜貨店將{c[dc000d]}20個{c[000000]}武器進行DX強化。
ArmsForgeZ3	在雜貨店將{c[dc000d]}50個{c[000000]}武器進行DX強化。
AllArmsForgeZ	在雜貨店將所有職業的{c[dc000d]}全部武器\n{c[000000]}進行DX強化。
HatForgeZ1	在雜貨店將{c[dc000d]}1個{c[000000]}防具進行DX強化。
HatForgeZ2	在雜貨店將{c[dc000d]}20個{c[000000]}防具進行DX強化。
HatForgeZ3	在雜貨店將{c[dc000d]}50個{c[000000]}防具進行DX強化。
AllHatForgeZ	在雜貨店將所有職業的{c[dc000d]}全部防具\n{c[000000]}進行DX強化。
ArmsForgeSZ1	在雜貨店將{c[dc000d]}1個{c[000000]}武器進行SDX強化。
ArmsForgeSZ2	在雜貨店將{c[dc000d]}20個{c[000000]}武器進行SDX強化。
ArmsForgeSZ3	在雜貨店將{c[dc000d]}50個{c[000000]}武器進行SDX強化。
AllArmsForgeSZ	在雜貨店將所有職業的{c[dc000d]}全部武器\n{c[000000]}進行SDX強化。
HatForgeSZ1	在雜貨店將{c[dc000d]}1個{c[000000]}防具進行SDX強化。
HatForgeSZ2	在雜貨店將{c[dc000d]}20個{c[000000]}防具進行SDX強化。
HatForgeSZ3	在雜貨店將{c[dc000d]}50個{c[000000]}防具進行SDX強化。
AllHatForgeSZ	在雜貨店將所有職業的{c[dc000d]}全部防具\n{c[000000]}進行SDX強化。
SupportItem1	在雜貨店購買{c[dc000d]}輔助道具{c[000000]}。
SupportItem2	在雜貨店購買{c[dc000d]}3個輔助道具{c[000000]}。
SupportMiniExp1	在探索前使用{c[dc000d]}迷你經驗值球{c[000000]}。
SupportMiniExp2	在探索前使用{c[dc000d]}3次迷你經驗值球{c[000000]}。
SupportExp1	在探索前使用{c[dc000d]}經驗值球{c[000000]}。
SupportExp2	在探索前使用{c[dc000d]}3次經驗值球{c[000000]}。
SupportHP1	在探索前使用{c[dc000d]}體力藥{c[000000]}。
SupportHP2	在探索前使用{c[dc000d]}3次體力藥{c[000000]}。
SupportAtk1	在探索前使用{c[dc000d]}攻擊藥{c[000000]}。
SupportAtk2	在探索前使用{c[dc000d]}3次攻擊藥{c[000000]}。
SupportBook1	在雜貨店購買{c[dc000d]}1本{c[000000]}書。
SupportBook2	合計在雜貨店購買{c[dc000d]}3本{c[000000]}書。
SupportBook3	合計在雜貨店購買{c[dc000d]}5本{c[000000]}書。
SupportBook4	合計在雜貨店購買{c[dc000d]}8本{c[000000]}書。
SupportBook5	合計在雜貨店購買{c[dc000d]}10本{c[000000]}書。
SupportBook6	合計在雜貨店購買{c[dc000d]}15本{c[000000]}書。
SupportBook7	合計在雜貨店購買{c[dc000d]}20本{c[000000]}書。
SupportBook8	合計在雜貨店購買{c[dc000d]}30本{c[000000]}書。
SupportBook9	合計在雜貨店購買{c[dc000d]}40本{c[000000]}書。
SupportBook10	合計在雜貨店購買{c[dc000d]}50本{c[000000]}書。
HighScore1	合計最高分數超過{c[dc000d]}3000分{c[000000]}。
HighScore2	合計最高分數超過{c[dc000d]}10000分{c[000000]}。
HighScore3	合計最高分數超過{c[dc000d]}20000分{c[000000]}。
HighScore4	合計最高分數超過{c[dc000d]}30000分{c[000000]}。
HighScore5	合計最高分數超過{c[dc000d]}50000分{c[000000]}。
HighScore6	合計最高分數超過{c[dc000d]}75000分{c[000000]}。
HighScore7	合計最高分數超過{c[dc000d]}100000分{c[000000]}。
HighScore8	合計最高分數超過{c[dc000d]}120000分{c[000000]}。
HighScore9	合計最高分數超過{c[dc000d]}130000分{c[000000]}。
HighScore10	合計最高分數超過{c[dc000d]}150000分{c[000000]}。
HighScore11	合計最高分數超過{c[dc000d]}170000分{c[000000]}。
HighScore12	合計最高分數超過{c[dc000d]}200000分{c[000000]}。
HighScore13	合計最高分數超過{c[dc000d]}220000分{c[000000]}。
HighScore14	合計最高分數超過{c[dc000d]}240000分{c[000000]}。
HighScore15	合計最高分數超過{c[dc000d]}260000分{c[000000]}。
HighScore16	合計最高分數超過{c[dc000d]}280000分{c[000000]}。
Clear1	通過{c[dc000d]}3次{c[000000]}故事探索。
Clear2	通過{c[dc000d]}7次{c[000000]}故事探索。
Clear3	通過{c[dc000d]}10次{c[000000]}故事探索。
Clear4	通過{c[dc000d]}20次{c[000000]}故事探索。
Clear5	通過{c[dc000d]}30次{c[000000]}故事探索。
Clear6	通過{c[dc000d]}50次{c[000000]}故事探索。
Clear7	通過{c[dc000d]}70次{c[000000]}故事探索。
Clear8	通過{c[dc000d]}100次{c[000000]}故事探索。
Clear9	通過{c[dc000d]}120次{c[000000]}故事探索。
Clear10	通過{c[dc000d]}150次{c[000000]}故事探索。
Clear11	通過{c[dc000d]}170次{c[000000]}故事探索。
Clear12	通過{c[dc000d]}200次{c[000000]}故事探索。
Clear13	通過{c[dc000d]}220次{c[000000]}故事探索。
Clear14	通過{c[dc000d]}250次{c[000000]}故事探索。
Clear15	通過{c[dc000d]}270次{c[000000]}故事探索。
Clear16	通過{c[dc000d]}300次{c[000000]}故事探索。
MultiPlay1	和{c[dc000d]}其他人一起{c[000000]}通過探索。\n（包含分享遊玩）
MultiPlay2	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}3次{c[000000]}。\n（包含分享遊玩）
MultiPlay3	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}7次{c[000000]}。\n（包含分享遊玩）
MultiPlay4	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}10次{c[000000]}。\n（包含分享遊玩）
MultiPlay5	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}15次{c[000000]}。\n（包含分享遊玩）
MultiPlay6	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}20次{c[000000]}。\n（包含分享遊玩）
MultiPlay7	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}30次{c[000000]}。\n（包含分享遊玩）
MultiPlay8	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}40次{c[000000]}。\n（包含分享遊玩）
MultiPlay9	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}50次{c[000000]}。\n（包含分享遊玩）
MultiPlay10	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}60次{c[000000]}。\n（包含分享遊玩）
MultiPlay11	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}70次{c[000000]}。\n（包含分享遊玩）
MultiPlay12	和{c[dc000d]}其他人一起{c[000000]}通過探索{c[dc000d]}80次{c[000000]}。\n（包含分享遊玩）
AllArea1Clear	通過{c[dc000d]}海岸{c[000000]}的{c[dc000d]}全部{c[000000]}探索。
AllArea2Clear	通過{c[dc000d]}沙丘{c[000000]}的{c[dc000d]}全部{c[000000]}探索。
AllArea3Clear	通過{c[dc000d]}古跡{c[000000]}的{c[dc000d]}全部{c[000000]}探索。
AllArea4Clear	通過{c[dc000d]}火山{c[000000]}的{c[dc000d]}全部{c[000000]}探索。
AllArea5Clear	通過{c[dc000d]}天空{c[000000]}的{c[dc000d]}全部{c[000000]}探索。
AllArea6Clear	通過{c[dc000d]}大決戰{c[000000]}的{c[dc000d]}全部{c[000000]}探索。
AllArea7Clear	通過{c[dc000d]}草原{c[000000]}的{c[dc000d]}全部{c[000000]}探索。
AllArea8Clear	通過{c[dc000d]}夢幻異界{c[000000]}的{c[dc000d]}全部{c[000000]}探索。
AllArea1ClearPlatinum	通過{c[dc000d]}海岸{c[000000]}的所有探索，\n並{c[dc000d]}全部{c[000000]}獲得{c[dc000d]}白金勳章{c[000000]}。
AllArea2ClearPlatinum	通過{c[dc000d]}沙丘{c[000000]}的所有探索，\n並{c[dc000d]}全部{c[000000]}獲得{c[dc000d]}白金勳章{c[000000]}。
AllArea3ClearPlatinum	通過{c[dc000d]}古跡{c[000000]}的所有探索，\n並{c[dc000d]}全部{c[000000]}獲得{c[dc000d]}白金勳章{c[000000]}。
AllArea4ClearPlatinum	通過{c[dc000d]}火山{c[000000]}的所有探索，\n並{c[dc000d]}全部{c[000000]}獲得{c[dc000d]}白金勳章{c[000000]}。
AllArea5ClearPlatinum	通過{c[dc000d]}天空{c[000000]}的所有探索，\n並{c[dc000d]}全部{c[000000]}獲得{c[dc000d]}白金勳章{c[000000]}。
AllArea6ClearPlatinum	通過{c[dc000d]}大決戰{c[000000]}的所有探索，\n並{c[dc000d]}全部{c[000000]}獲得{c[dc000d]}白金勳章{c[000000]}。
AllArea7ClearPlatinum	通過{c[dc000d]}草原{c[000000]}的所有探索，\n並{c[dc000d]}全部{c[000000]}獲得{c[dc000d]}白金勳章{c[000000]}。
AllArea8ClearPlatinum	通過{c[dc000d]}夢幻異界{c[000000]}的所有探索，\n並{c[dc000d]}全部{c[000000]}獲得{c[dc000d]}白金勳章{c[000000]}。
VisitTraveller1	合計和{c[dc000d]}15名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller2	合計和{c[dc000d]}30名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller3	合計和{c[dc000d]}60名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller4	合計和{c[dc000d]}100名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller5	合計和{c[dc000d]}150名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
VisitTraveller6	合計和{c[dc000d]}300名{c[000000]}\n{c[dc000d]}旅人{c[000000]}相遇。
TravellerBell1	敲響{c[dc000d]}旅人之鐘{c[000000]}的次數\n合計達到{c[dc000d]}5次{c[000000]}。
TravellerBell2	敲響{c[dc000d]}旅人之鐘{c[000000]}的次數\n合計達到{c[dc000d]}15次{c[000000]}。
TravellerBell3	敲響{c[dc000d]}旅人之鐘{c[000000]}的次數\n合計達到{c[dc000d]}30次{c[000000]}。
TravellerBell4	敲響{c[dc000d]}旅人之鐘{c[000000]}的次數\n合計達到{c[dc000d]}50次{c[000000]}。
MaterialFrame	持有的{c[dc000d]}炎之碎片{c[000000]}數量\n超過了{c[dc000d]}1000個{c[000000]}。
MaterialWater	持有的{c[dc000d]}水之碎片{c[000000]}數量\n超過了{c[dc000d]}1000個{c[000000]}。
MaterialLight	持有的{c[dc000d]}光之碎片{c[000000]}數量\n超過了{c[dc000d]}1000個{c[000000]}。
MaterialFrameMax	持有的{c[dc000d]}炎之碎片{c[000000]}數量\n超過了{c[dc000d]}9999個{c[000000]}。
MaterialWaterMax	持有的{c[dc000d]}水之碎片{c[000000]}數量\n超過了{c[dc000d]}9999個{c[000000]}。
MaterialLightMax	持有的{c[dc000d]}光之碎片{c[000000]}數量\n超過了{c[dc000d]}9999個{c[000000]}。
Watchword	在暗號之祠中{c[dc000d]}使用暗號{c[000000]}。
Picture	從以前的遊戲{c[dc000d]}跳往Nintendo eShop{c[000000]}。
Ticket	在探索的戰鬥中\n取得{c[dc000d]}稀有碎片{c[000000]} 。
StampSingle	在成員選擇畫面{c[dc000d]}使用圖章{c[000000]}。
StampStep	在探索的戰鬥中{c[dc000d]}使用圖章{c[000000]}。
TravellerBellFirst	第一次敲響{c[dc000d]}旅人之鐘{c[000000]}。
TrophyClear1	達成{c[dc000d]}100個{c[000000]}勇者任務。
TrophyClear2	達成{c[dc000d]}200個{c[000000]}勇者任務。
TrophyClear3	達成{c[dc000d]}300個{c[000000]}勇者任務。
TrophyClear4	達成{c[dc000d]}400個{c[000000]}勇者任務。
TrophyClear5	達成{c[dc000d]}500個{c[000000]}勇者任務。
TrophyClear6	達成{c[dc000d]}600個{c[000000]}勇者任務。
TrophyClear7	達成{c[dc000d]}700個{c[000000]}勇者任務。
TrophyAllComplete	達成{c[dc000d]}全部的勇者任務{c[000000]}。
StampCollect1	收藏的圖章數量\n合計達到{c[dc000d]}10個{c[000000]}。
StampCollect2	收藏的圖章數量\n合計達到{c[dc000d]}15個{c[000000]}。
StampCollect3	收藏的圖章數量\n合計達到{c[dc000d]}20個{c[000000]}。
StampCollect4	收藏的圖章數量\n合計達到{c[dc000d]}30個{c[000000]}。
StampCollect5	收藏的圖章數量\n合計達到{c[dc000d]}40個{c[000000]}。
StampCollect6	收藏{c[dc000d]}全部的圖章{c[000000]}。
AppleGet1	合計收集到\n{c[dc000d]}30顆{c[000000]}蘋果寶石。
AppleGet2	合計收集到\n{c[dc000d]}100顆{c[000000]}蘋果寶石。
AppleGet3	合計收集到\n{c[dc000d]}300顆{c[000000]}蘋果寶石。
AppleGet4	合計收集到\n{c[dc000d]}500顆{c[000000]}蘋果寶石。
AppleGet5	合計收集到\n{c[dc000d]}1000顆{c[000000]}蘋果寶石。
AppleGet6	合計收集到\n{c[dc000d]}2500顆{c[000000]}蘋果寶石。
AppleGet7	合計收集到\n{c[dc000d]}5000顆{c[000000]}蘋果寶石。
AppleGet8	合計收集到\n{c[dc000d]}10000顆{c[000000]}蘋果寶石。
AppleUse1	合計使用了\n{c[dc000d]}30顆{c[000000]}蘋果寶石。
AppleUse2	合計使用了\n{c[dc000d]}100顆{c[000000]}蘋果寶石。
AppleUse3	合計使用了\n{c[dc000d]}300顆{c[000000]}蘋果寶石。
AppleUse4	合計使用了\n{c[dc000d]}500顆{c[000000]}蘋果寶石。
AppleUse5	合計使用了\n{c[dc000d]}1000顆{c[000000]}蘋果寶石。
AppleUse6	合計使用了\n{c[dc000d]}2500顆{c[000000]}蘋果寶石。
AppleUse7	合計使用了\n{c[dc000d]}5000顆{c[000000]}蘋果寶石。
AppleUse8	合計使用了\n{c[dc000d]}10000顆{c[000000]}蘋果寶石。
RewardApple	蘋果寶石 {c[dc000d]}\x0e\x02\x01\0顆{c[000000]}
RewardTicket	稀有碎片 {c[dc000d]}\x0e\x02\x01\0個{c[000000]}
RewardStamp01	可以購買\n{c[dc000d]}\x0e\x02\x0f\0{c[000000]}圖章了。
RewardStamp02	?????
MelonPauseMenu.msbt
PageNumSlash	/
HeaderMelonRightDir	朝向右邊時
