CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	亲爱的……\n艾多……！艾多娜……
CORE_ANGEL_DETAIL_04	双子天使之一，\n能自由地操纵雷电。\n常与兄弟恩典共同行动，\n以默契的合作迎击敌人。\n\n人们认为正是有了这对天使的祝福，\n双胞胎才会具有较常人更强的灵力。
CORE_ANGEL_DETAIL_05	这名神使隶属于\n天使阶级中最下级的“精灵”。\n\n半人半马，长有一对双翼，\n会出现在濒死者的面前。\n\n无论死者生前是声名显赫还是劣迹斑斑，\n这位天使都会不由分说地背起死者亡魂\n带到天上。作为伟大神明带来的“死”与\n“接纳”的象征，留下了许多传说。
CORE_ANGEL_DETAIL_06	这位大天使隶属于\n天使下级三队的“精灵”，\n负责统领最下级的天使们。\n\n使用剑、长枪、大锤、盾等天界神具，\n让不知天高地厚之人，臣服在神明的\n威严之下。\n\n据说偶尔会实现虔诚信徒的心愿，\n将贵重的神具之一借给他们。
CORE_ANGEL_DETAIL_07	天使中拥有极高灵阶的智天使，\n隶属于上级三队的“父”。\n\n样貌对这种阶级的天使来说没有任何意义，\n他只是作为一个形而上的生物，\n展现着自己的神威。\n\n勇敢在智天使中司掌“刚勇”，\n据说他是在遥远的太古时期降临的。\n他现身时骑着来自宇宙的彗星，\n带来了燃尽世间的业火。\n\n这位天使手中的英勇元素之大剑\n能斩尽天界、魔界、混沌界的\n任何事物。人们相信，\n他会在某一天将它交给\n一百零一名被选召的勇者，\n帮助他们消灭邪恶，拯救人类。
CORE_ANGEL_DETAIL_08	中世纪，灵力较强的人类一致认为，\n天界自身具有“伟大意志”，\n并以此成就天理。\n\n基于该思想，将“上天伟大意志”\n大致分为四部分的“四枢德”这一概念\n应运而生。\n \n“伟大意志”的各部分有时会显现为实体，\n人们称之为“拉古那”，对其敬畏有加。\n\n在人们的描绘中，\n“忍耐，勇气（佛提图多）”的意志\n格外暴烈，其巨大的脸上有两个龙头，\n能够让大地开裂，唤出滚烫的岩浆。
CORE_GOLEM_DETAIL_01	贤者与魔女在过去为维持治安创造的兵器。\n\n以能自由变换形状的特殊金属制成，\n能在瞬间分析敌人的情报，\n变成最合适的形态应战。\n\n中枢部备有接受术者命令的控制核心，\n只要核心不被破坏就能永久行动下去。\n\n另外，它也能变化成阻挡入侵者的障壁、\n保护重要事物的容器等非武器形态，\n用途广泛。\n\n根据古代文献记载，\n贤者与魔女平时会用秘术将其\n藏匿于异次元以免被人滥用。\n这所谓的异世界或许正是神秘岛屿图勒。
CORE_ANGEL_BIRTH_01	天界
CORE_ANGEL_BIRTH_02	天界
CORE_ANGEL_BIRTH_03	天界
CORE_ANGEL_BIRTH_04	天界
CORE_ANGEL_BIRTH_05	天界
CORE_ANGEL_BIRTH_06	天界
CORE_ANGEL_BIRTH_07	天界
CORE_ANGEL_BIRTH_08	天界
CORE_GOLEM_BIRTH_01	未知
CORE_ANGEL_SIZE_01	约2.5m
CORE_ANGEL_SIZE_02	约7m
CORE_ANGEL_SIZE_03	约2m
CORE_ANGEL_SIZE_04	约2m
CORE_ANGEL_SIZE_05	约2.5m
CORE_ANGEL_SIZE_06	约2.5m
CORE_ANGEL_SIZE_07	约8m
CORE_ANGEL_SIZE_08	约12m
CORE_GOLEM_SIZE_01	不确定
CORE_ANGEL_WEIGHT_01	未知
CORE_ANGEL_WEIGHT_02	未知
CORE_ANGEL_WEIGHT_03	未知
CORE_ANGEL_WEIGHT_04	未知
CORE_ANGEL_WEIGHT_05	未知
CORE_ANGEL_WEIGHT_06	未知
CORE_ANGEL_WEIGHT_07	未知
CORE_ANGEL_WEIGHT_08	未知
CORE_GOLEM_WEIGHT_01	不确定
CORE_ANGEL_ARTS_01	断罪锡杖
CORE_ANGEL_ARTS_02	慈悲一闪
CORE_ANGEL_ARTS_03	炎热铁锤
CORE_ANGEL_ARTS_04	神判雷击
CORE_ANGEL_ARTS_05	免罪一刺
CORE_ANGEL_ARTS_06	神奇护盾
CORE_ANGEL_ARTS_07	净化一闪
CORE_ANGEL_ARTS_08	勇气灭焦
CORE_GOLEM_ARTS_01	守护者惩罚
CORE_GOLEM_ARTS_02	拟态
CORE_ANGEL_AGE_01	未知
CORE_ANGEL_AGE_02	未知
CORE_ANGEL_AGE_03	未知
CORE_ANGEL_AGE_04	未知
CORE_ANGEL_AGE_05	未知
CORE_ANGEL_AGE_06	未知
CORE_ANGEL_AGE_07	未知
CORE_ANGEL_AGE_08	未知
CORE_GOLEM_AGE_01	未知
CORE_DEMON_DETAIL_01	盘踞于魔界洞穴“马勒勃尔介”的恶鬼一族。\n四处徘徊，寻找着误入魔界的可怜猎物。\n\n通常与同伴共同行动，但它们毫无协调性，\n发现猎物时只会争先恐后地冲过去抢夺。\n\n野蛮的它们拥有一定的智能，\n不仅能创造各种武器，\n也不会贸然去攻击数量比它们多的敌人。\n\n如果被这残忍的恶魔盯上了，\n那只能以强于它们的力量与之对抗。\n\n这一点也许只有曾经的贤者一族，\n或征服了黑暗之力的魔女一族才能做到吧。
CORE_DEMON_DETAIL_02	以染血的钢铁车轮蹂躏敌人，\n人称带来噩梦的残暴战车。\n\n在流传于维格利德的传说里，\n积累了怨念的中世纪车轮拷问具\n在魔界转生后便变成了这种形态。\n\n据说极少数虔诚者能看到天使降临，\n而迷途羔羊则会看到这类带来噩梦的魔物。\n\n人们内心深处的受虐欲与施虐欲\n会吸引名为“苦痛”的恶魔，\n它们让人类互相折磨，\n借这份痛苦排解自身的孤独。
CORE_DEMON_SIZE_01	约2.5m
CORE_DEMON_SIZE_02	约5m
CORE_DEMON_WEIGHT_01	约260kg
CORE_DEMON_WEIGHT_02	约2800kg
CORE_DEMON_BIRTH_01	马勒勃尔介
CORE_DEMON_BIRTH_02	愚者墓地
CORE_DEMON_ARTS_01	死亡誓约
CORE_DEMON_ARTS_02	绝对制裁
CORE_DEMON_AGE_01	未知
CORE_DEMON_AGE_02	未知
CORE_MONEY_DETAIL_01	赫姆库鲁斯被打倒破坏后留下的\n结晶化身体组织。\n\n这种不明物质摸起来有些温暖，\n也不知究竟算是金属还是肌体。\n\n虽然连魔兽都不会多看\n赫姆库鲁斯一眼，但罗丹似乎\n对这种物体很感兴趣，所以\n将其作为货币使用。
CORE_MONEY_DETAIL_02	天使生命力结晶化后\n形成的神圣稀有金属。\n在魔界中用于交易。\n\n在辛裘拉利提入侵天界后，\n天使与天界的联系变得不稳定，\n所以很难从天使身上获取它。
CORE_MONEY_DETAIL_03	由恶魔之魂凝结而成的\n赤红色不祥的稀有金属。\n在魔界中用于交易。\n\n带有魔兽、恶魔魔力的攻击\n偶尔会对赫姆库鲁斯产生影响，\n使被破坏的碎片变成宝晶。
COP_DETAIL_IT_I_001	生命力结晶化后形成的\n月桂树形宝石。\n得到后将立刻回复体力。\n大小各有不同，\n回复量将根据大小发生变化。\n\n据魔女之间的传闻所说，\n若体力全满时获得该宝石，\n会增加些许收入。
COP_DETAIL_IT_I_002	魔力结晶化后形成的\n蝴蝶形宝石。\n得到后将立刻回复魔力。\n\n据魔女之间的传闻所说，\n若体力全满时获得该宝石，\n会增加些许收入。
COP_DETAIL_IT_O_001	使用矿石保存处理过的\n魔女调制素材之一。\n只有一个的话没有什么用。\n\n绿色结晶中封印着曼陀罗的根。
COP_DETAIL_IT_O_002	使用矿石保存处理过的\n魔女调制素材之一。\n只有一个的话没有什么用。\n\n红色结晶中封印着独角兽的角的碎片。
COP_DETAIL_IT_O_003	使用矿石保存处理过的\n魔女调制素材之一。\n只有一个的话没有什么用。\n\n黄色结晶中封印着\n一整只烤得焦黑的蝾螈。
COP_DETAIL_IT_O_004	一种糖果，其中添加了\n具有治疗效果的精华。\n可回复些许体力。
COP_DETAIL_IT_O_005	一种特大糖果，其中添加了\n具有治疗效果的精华。\n可大幅回复体力。
COP_DETAIL_IT_O_006	一种糖果，其中添加了\n具有觉醒效果的精华。\n可完全回复魔力。
COP_DETAIL_IT_O_007	一种特大糖果，其中添加了\n具有觉醒效果的精华。\n可暂时使魔力不会消耗。
COP_DETAIL_IT_O_008	一种糖果，其中添加了\n具有精力增强效果的精华。\n可暂时提升攻击力。
COP_DETAIL_IT_O_009	一种特大糖果，其中添加了\n精力增强成分。\n可在长时间内提升攻击力。
COP_DETAIL_IT_O_010	一种糖果，\n可赋予食用者魔法障壁。\n障壁将化作持续时间较短的\n无敌护盾。
COP_DETAIL_IT_O_011	一种特大糖果，\n可生成魔法障壁。\n障壁将化作持续时间较长的\n无敌护盾保护食用者。
COP_DETAIL_IT_O_012	据说摇响铃铛的人\n将获得意外之财。
COP_DETAIL_IT_O_013	可将魔女从死亡边缘中救回来的\n奇迹魔药。\n会在力竭的瞬间自动生效。
COP_SHOP_IT_O_004	一种糖果，\n使用后可稍微回复体力。
COP_SHOP_IT_O_005	一种糖果，\n使用后可大幅回复体力。
COP_SHOP_IT_O_006	一种糖果，\n使用后可完全回复魔力。
COP_SHOP_IT_O_007	一种糖果，\n使用后可暂时使魔力不会消耗。\n持续时间较长。
COP_SHOP_IT_O_008	一种糖果，\n使用后可暂时提升攻击力。\n持续时间较短。
COP_SHOP_IT_O_009	一种糖果，\n使用后可暂时提升攻击力。\n持续时间较长。
COP_SHOP_IT_O_010	一种糖果，\n使用后可暂时变为无敌状态。\n持续时间较短。
COP_SHOP_IT_O_011	一种糖果，\n使用后可暂时变为无敌状态。\n持续时间较长。
COP_SHOP_IT_O_012	使用后，在一定时间内\n攻击敌人时将掉落货币。
COP_SHOP_IT_O_013	持有时，若耗尽体力将复活。
COP_SHOP_IT_S_004	当使用技能时，将强化体力上限。
COP_SHOP_IT_S_006	当使用技能时，将强化魔力上限。
COP_DETAIL_IT_R_001	白金牌子，与堕天使罗丹取回\n天使之力所需光环数量等值。\n\n罗丹也明白眼下光环数短缺，\n所以只要有同等价值的胚胎结晶，\n就能挑战罗丹。\n\n罗丹会提供镀上白金的塑料复制品\n作为已支付费用的证明。
COP_DETAIL_IT_R_002	收录了天使的歌声的唱片。\n可使用普通留声机播放，\n但只能听见普通音乐及人声。
COP_DETAIL_IT_R_010	装有掌中模型的盒子。\n流通于魔界，不知为何，\n模型的原型似乎都是\n蓓优妮塔的熟人。
COP_DETAIL_IT_R_015	流通于魔界的卡牌游戏卡包。\n但里面的卡牌被某人替换了，\n所以无法正常玩游戏。
COP_DETAIL_IT_R_999	魔法手镜中存放着\n能瞬间换装的“时装子弹”与\n能瞬间改变服装及发色的“调色子弹”。\n\n时装子弹为熟悉的战斗服“紫月”，\n束起的头发象征开拓黑暗未来的希望。\n配套的调色子弹中囊括了8种发色。
COP_DETAIL_IT_R_018	魔法手镜中存放着\n能瞬间换装的“时装子弹”\n与能瞬间改变服装及头发颜色的\n“调色子弹”。\n\n时装子弹为服装“淡雅东京”，\n适合运动时穿着，配备最先进的功能。\n配套的调色子弹中囊括了8种发色。
COP_DETAIL_IT_R_019	魔法手镜中存放着\n能瞬间换装的“时装子弹”\n与能瞬间改变服装及头发颜色的\n“调色子弹”。\n\n时装子弹为武将服装“蝴蝶兰 焰华”，\n体现出威严的同时不失性感。\n配套的调色子弹中囊括了8种发色。
COP_DETAIL_IT_R_020	魔法手镜中存放着\n能瞬间换装的“时装子弹”\n与能瞬间改变服装及头发颜色的\n“调色子弹”。\n\n时装子弹为高贵王族服装“贵族精神”，\n身处炽热沙漠也毫不畏惧。\n配套的调色子弹中囊括了8种发色。
COP_DETAIL_IT_R_021	魔法手镜中存放着\n能瞬间换装的“时装子弹”\n与能瞬间改变服装及头发颜色的\n“调色子弹”。\n\n时装子弹为寂静服装“暗夜潜行者”，\n潜伏于黑夜，甚至不会发出衣物摩擦声。\n配套的调色子弹中囊括了8种发色。
COP_DETAIL_IT_R_022	魔法手镜中存放着\n能瞬间换装的“时装子弹”\n与能瞬间改变服装及头发颜色的\n“调色子弹”。\n\n时装子弹为熟悉的战斗服“赤红之月”，\n高高束起的长发彰显着自尊与强大。\n配套的调色子弹中囊括了8种发色。
COP_DETAIL_IT_R_023	魔法手镜中存放着\n能瞬间换装的“时装子弹”\n与能瞬间改变服装及头发颜色的\n“调色子弹”。\n\n时装子弹为熟悉的战斗服“青绿之月”，\n干练的长发象征着坚定的决心。\n配套的调色子弹中囊括了8种发色。
COP_DETAIL_IT_R_025	蜘蛛女郎网限定款T恤，\n上面的角色出自在所有次元都受到\n特定群体喜爱的动画片《酷刑猫》。\n地狱之门是它的大主顾，\n所以能破例售卖这款T恤。\n\n白底T恤上印着遭受火刑的主角小幸。
COP_DETAIL_IT_R_026	蜘蛛女郎网限定款T恤，\n上面的角色出自在所有次元都受到\n特定群体喜爱的动画片《酷刑猫》。\n地狱之门是它的大主顾，\n所以能破例售卖这款T恤。\n\n红底T恤上印着遭受火刑的主角小幸。
COP_DETAIL_IT_R_027	蜘蛛女郎网限定款T恤，\n上面的角色出自在所有次元都受到\n特定群体喜爱的动画片《酷刑猫》。\n地狱之门是它的大主顾，\n所以能破例售卖这款T恤。\n\n白底T恤上印着遭受钉刑的三花。
COP_DETAIL_IT_R_028	蜘蛛女郎网限定款T恤，\n上面的角色出自在所有次元都受到\n特定群体喜爱的动画片《酷刑猫》。\n地狱之门是它的大主顾，\n所以能破例售卖这款T恤。\n\n橙底T恤上印着遭受钉刑的三花。
COP_DETAIL_IT_R_029	蜘蛛女郎网限定款T恤，\n上面的角色出自在所有次元都受到\n特定群体喜爱的动画片《酷刑猫》。\n地狱之门是它的大主顾，\n所以能破例售卖这款T恤。\n\n白底T恤上印着遭受电刑的短短。
COP_DETAIL_IT_R_030	蜘蛛女郎网限定款T恤，\n上面的角色出自在所有次元都受到\n特定群体喜爱的动画片《酷刑猫》。\n地狱之门是它的大主顾，\n所以能破例售卖这款T恤。\n\n紫底T恤上印着遭受电刑的短短。
COP_DETAIL_IT_R_031	蜘蛛女郎网限定款T恤，\n上面的角色出自在所有次元都受到\n特定群体喜爱的动画片《酷刑猫》。\n地狱之门是它的大主顾，\n所以能破例售卖这款T恤。\n\n白底T恤上印着\n被塞进铁处女里的雷克斯。
COP_DETAIL_IT_R_032	蜘蛛女郎网限定款T恤，\n上面的角色出自在所有次元都受到\n特定群体喜爱的动画片《酷刑猫》。\n地狱之门是它的大主顾，\n所以能破例售卖这款T恤。\n\n绿底T恤上印着\n被塞进铁处女里的雷克斯。
COP_DETAIL_IT_R_033	带有天使标志的T恤，\n也不知是出于什么原因，\n正被放在名为地狱之门的商店里售卖。
COP_DETAIL_IT_R_034	带有天使标志的T恤，\n也不知是出于什么原因，\n正被放在名为地狱之门的商店里售卖。\n此商品为异色款。
COP_DETAIL_IT_R_035	简单的白底T恤，\n上面只印了一只可爱的小鸡。
COP_DETAIL_IT_R_036	罗丹某天在逛游戏店时，\n一台游戏机上鲜红色的标志\n给他留下了深刻的印象，\n于是直接将标志印在了T恤上。\n\n它是正版授权商品，仅此一件。
COP_DETAIL_IT_R_998	一本破旧的绘本，也不知是何时\n放在地狱之门的书架上的。\n\n或许是因为年代久远，\n封面磨损严重，无法辨识绘本标题。\n\n一股连罗丹也无法干涉的神秘力量\n封印了它，因此无法阅读。\n\n上面有3个锁状的封印，\n如果有钥匙好像就能打开它。
COP_DETAIL_IT_R_042	涩谷站前的小狗雕像，\n是一个著名集合地点。\n这个摆件就是以此为原型制成的。\n\n据说带着它就能马上遇到\n阔别多年的人。
COP_DETAIL_IT_R_043	屋顶有个略显奇特的眺望楼层，\n是一个有名的大楼景点。\n这个摆件就是以此为原型制成的。\n\n连细节都有好好还原，\n来这里的人似乎都会不由自主地\n掏钱买下它。
COP_DETAIL_IT_R_044	挂在著名寺庙参拜路口处的大灯笼。\n此为相同设计的缩小版。\n\n很遗憾，出于安全方面的考量，\n无法点亮这盏灯笼。
COP_DETAIL_IT_R_045	罗丹造访某处后看到了以传说中的生物\n为原型制成的投石器，\n他以此为参考用边角料做了磁力贴。\n\n或许是为了重现原本的构造\n而做成了可动的样式，\n但作为磁力贴来说这个功能很多余。
COP_DETAIL_IT_R_046	罗丹造访某处后发现那里到处矗立着\n巨大的武将雕像。\n罗丹为其强大的力量深受感动，\n并以此为参考制成了这个摆件。\n\n作为商品贩卖的只有这一个，\n在做成它之前已经做了上千个试制品。
COP_DETAIL_IT_R_047	罗丹在造访某处后偶遇了一位自称是\n仙人的人，对方给了他这幅水墨画。\n\n罗丹颇为中意这幅画，将它装饰在店里，\n但后来他觉得这幅画散发着可疑的气息，\n于是悄悄将它摆上了货架。
COP_DETAIL_IT_R_048	有着玛法斯雕像的沙漏。\n\n当一轮计时结束后，\n重新倒置计时前必须拆除玛法斯。\n由于用起来太过麻烦，\n它必然会成为单纯的摆件。
COP_DETAIL_IT_R_049	来到这个世界的罗丹做的布靠枕，\n布上的壁画图案是当地人告诉罗丹的。\n\n这是个做得特别好的极品，\n触感极佳，坐起来也很舒适。
COP_DETAIL_IT_R_050	在仪式中使用的面具。\n造型采用了这个世界的\n这个地点所信奉的神明样貌。\n\n反面贴着许多类似符纸的纸张，\n上面写着当地的语言。
COP_DETAIL_IT_R_051	凯旋门迷你模型。\n\n这是必买特产，\n但罗丹似乎是故意进货的。\n\n可这不是普通的迷你模型，\n它经过改造，能收纳小物件，\n是一个秘密收纳盒。
COP_DETAIL_IT_R_052	这块金属牌的原型取自\n游览城市各处景点的观光车。\n\n特地做成了古旧样式，\n注重所用的材质与污渍的上色。
COP_DETAIL_IT_R_053	使用景点照片制成的磁力贴。\n\n所用的照片都是罗丹亲自拍摄的。
COP_DETAIL_IT_R_980	将该子弹装填在超级换装镜中，\n即可瞬间改变服装及头发颜色。\n\n每款服装对应不同的子弹。
COP_SHOP_IT_R_001	可挑战解放了\n恶魔之力的罗丹。
COP_SHOP_IT_R_010	购买后可在画廊\n观赏3D模型等等。
COP_SHOP_IT_R_015	购买后可在画廊\n观赏美术概念图。
COP_SHOP_IT_R_018	魔法手镜，用来存放可瞬间换装的子弹。\n以时装子弹“淡雅东京”\n与能改变发色的调色子弹为一组。
COP_SHOP_IT_R_019	魔法手镜，用来存放可瞬间换装的子弹。\n以时装子弹“蝴蝶兰 焰华”\n与能改变发色的调色子弹为一组。
COP_SHOP_IT_R_020	魔法手镜，用来存放可瞬间换装的子弹。\n以时装子弹“贵族精神”\n与能改变发色的调色子弹为一组。
COP_SHOP_IT_R_021	魔法手镜，用来存放可瞬间换装的子弹。\n以时装子弹“暗夜潜行者”\n与能改变发色的调色子弹为一组。
COP_SHOP_IT_R_022	魔法手镜，用来存放可瞬间换装的子弹。\n以时装子弹“赤红之月”\n与能改变发色的调色子弹为一组。
COP_SHOP_IT_R_023	魔法手镜，用来存放可瞬间换装的子弹。\n以时装子弹“青绿之月”\n与能改变发色的调色子弹为一组。
COP_SHOP_IT_R_026	蜘蛛女郎网限定款T恤限时售卖！\n上面印着受到特定群体喜爱的\n动画片《酷刑猫》中的角色。\n此为火刑款的其他颜色。
COP_SHOP_IT_R_028	蜘蛛女郎网限定款T恤限时售卖！\n上面印着受到特定群体喜爱的\n动画片《酷刑猫》中的角色。\n此为钉刑款的其他颜色。
COP_SHOP_IT_R_029	蜘蛛女郎网限定款T恤限时售卖！\n上面印着受到特定群体喜爱的\n动画片《酷刑猫》中的角色。\n此为电刑款。
COP_SHOP_IT_R_030	蜘蛛女郎网限定款T恤限时售卖！\n上面印着受到特定群体喜爱的\n动画片《酷刑猫》中的角色。\n此为电刑款的其他颜色。
COP_SHOP_IT_R_031	蜘蛛女郎网限定款T恤限时售卖！\n上面印着受到特定群体喜爱的\n动画片《酷刑猫》中的角色。\n此为铁处女款。
COP_SHOP_IT_R_032	蜘蛛女郎网限定款T恤限时售卖！\n上面印着受到特定群体喜爱的\n动画片《酷刑猫》中的角色。\n此为铁处女款的其他颜色。
COP_SHOP_IT_R_033	印有天使标志的T恤，\n在名为地狱之门的商店中售卖。
COP_SHOP_IT_R_034	印有天使标志的T恤，\n在名为地狱之门的商店中售卖。\n此商品为异色款。
COP_SHOP_IT_R_035	简单的白底T恤，\n上面只印了一只可爱的小鸡。
COP_SHOP_IT_R_036	鲜红的颜色令人印象深刻。\n现在只有在地狱之门\n才能买到这款T恤！
COP_SHOP_IT_R_100	在超级换装镜β1中装填该调色子弹，\n服装颜色将变为异世界蓓优妮塔\n所穿的淡雅东京的颜色。
COP_SHOP_IT_R_102	在超级换装镜β1中装填该调色子弹，\n淡雅东京的主色调将变为黑色。
COP_SHOP_IT_R_103	在超级换装镜β1中装填该调色子弹，\n淡雅东京的主色调将变为橙色。
COP_SHOP_IT_R_104	在超级换装镜β1中装填该调色子弹，\n淡雅东京的主色调将变为黄色。
COP_SHOP_IT_R_105	在超级换装镜β1中装填该调色子弹，\n淡雅东京的主色调将变为绿色。
COP_SHOP_IT_R_106	在超级换装镜β1中装填该调色子弹，\n淡雅东京的主色调将变为蓝色。
COP_SHOP_IT_R_107	在超级换装镜β1中装填该调色子弹，\n淡雅东京的主色调将变为粉色。
COP_SHOP_IT_R_200	在超级换装镜β2中装填该调色子弹，\n服装颜色将变为异世界蓓优妮塔\n所穿的蝴蝶兰 焰华的颜色。
COP_SHOP_IT_R_202	在超级换装镜β2中装填该调色子弹，\n蝴蝶兰 焰华的主色调将变为黑色。
COP_SHOP_IT_R_203	在超级换装镜β2中装填该调色子弹，\n蝴蝶兰 焰华的主色调将变为橙色。
COP_SHOP_IT_R_204	在超级换装镜β2中装填该调色子弹，\n蝴蝶兰 焰华的主色调将变为祖母绿。
COP_SHOP_IT_R_205	在超级换装镜β2中装填该调色子弹，\n蝴蝶兰 焰华的主色调将变为蓝色。
COP_SHOP_IT_R_206	在超级换装镜β2中装填该调色子弹，\n蝴蝶兰 焰华的主色调将变为紫色。
COP_SHOP_IT_R_207	在超级换装镜β2中装填该调色子弹，\n蝴蝶兰 焰华的主色调将变为白色。
COP_SHOP_IT_R_300	在超级换装镜β3中装填该调色子弹，\n服装颜色将变为异世界蓓优妮塔\n所穿的贵族精神的颜色。
COP_SHOP_IT_R_302	在超级换装镜β3中装填该调色子弹，\n贵族精神的主色调将变为红色。
COP_SHOP_IT_R_303	在超级换装镜β3中装填该调色子弹，\n贵族精神的主色调将变为黄色。
COP_SHOP_IT_R_304	在超级换装镜β3中装填该调色子弹，\n贵族精神的主色调将变为祖母绿。
COP_SHOP_IT_R_305	在超级换装镜β3中装填该调色子弹，\n贵族精神的主色调将变为紫色。
COP_SHOP_IT_R_306	在超级换装镜β3中装填该调色子弹，\n贵族精神的主色调将变为黑色。
COP_SHOP_IT_R_307	在超级换装镜β3中装填该调色子弹，\n贵族精神的主色调将变为白色与红色。
COP_SHOP_IT_R_400	在超级换装镜β4中装填该调色子弹，\n服装颜色将变为异世界蓓优妮塔\n所穿的暗夜潜行者的颜色。
COP_SHOP_IT_R_402	在超级换装镜β4中装填该调色子弹，\n暗夜潜行者的主色调将变为红色。
COP_SHOP_IT_R_403	在超级换装镜β4中装填该调色子弹，\n暗夜潜行者的主色调将变为酒红。
COP_SHOP_IT_R_404	在超级换装镜β4中装填该调色子弹，\n暗夜潜行者的主色调将变为黑色。
COP_SHOP_IT_R_405	在超级换装镜β4中装填该调色子弹，\n暗夜潜行者的主色调将变为浅蓝。
COP_SHOP_IT_R_406	在超级换装镜β4中装填该调色子弹，\n暗夜潜行者的主色调将变为紫色。
COP_SHOP_IT_R_407	在超级换装镜β4中装填该调色子弹，\n暗夜潜行者的主色调将变为银色。
COP_SHOP_IT_R_501	在超级换装镜中装填该调色子弹，\n赤红之月的主色调将变为白色。
COP_SHOP_IT_R_502	在超级换装镜中装填该调色子弹，\n赤红之月的主色调将变为红色。
COP_SHOP_IT_R_503	在超级换装镜中装填该调色子弹，\n赤红之月的主色调将变为黄色。
COP_SHOP_IT_R_504	在超级换装镜中装填该调色子弹，\n赤红之月的主色调将变为绿色。
COP_SHOP_IT_R_505	在超级换装镜中装填该调色子弹，\n赤红之月的主色调将变为蓝色。
COP_SHOP_IT_R_506	在超级换装镜中装填该调色子弹，\n赤红之月的主色调将变为紫色。
COP_SHOP_IT_R_507	在超级换装镜中装填该调色子弹，\n赤红之月的主色调将变为粉色。
COP_SHOP_IT_R_601	在超级换装镜2中装填该调色子弹，\n青绿之月的主色调将变为白色。
COP_SHOP_IT_R_602	在超级换装镜2中装填该调色子弹，\n青绿之月的主色调将变为红色。
COP_SHOP_IT_R_603	在超级换装镜2中装填该调色子弹，\n青绿之月的主色调将变为黄色。
COP_SHOP_IT_R_604	在超级换装镜2中装填该调色子弹，\n青绿之月的主色调将变为绿色。
COP_SHOP_IT_R_605	在超级换装镜2中装填该调色子弹，\n青绿之月的主色调将变为蓝色。
COP_SHOP_IT_R_606	在超级换装镜2中装填该调色子弹，\n青绿之月的主色调将变为紫色。
COP_SHOP_IT_R_607	在超级换装镜2中装填该调色子弹，\n青绿之月的主色调将变为粉色。
COP_SHOP_IT_R_901	在超级换装镜3中装填该调色子弹，\n紫月的主色调将变为白色。
COP_SHOP_IT_R_902	在超级换装镜3中装填该调色子弹，\n紫月的主色调将变为红色。
COP_SHOP_IT_R_903	在超级换装镜3中装填该调色子弹，\n紫月的主色调将变为黄色。
COP_SHOP_IT_R_904	在超级换装镜3中装填该调色子弹，\n紫月的主色调将变为绿色。
COP_SHOP_IT_R_905	在超级换装镜3中装填该调色子弹，\n紫月的主色调将变为蓝色。
COP_SHOP_IT_R_906	在超级换装镜3中装填该调色子弹，\n紫月的主色调将变为紫色。
COP_SHOP_IT_R_907	在超级换装镜3中装填该调色子弹，\n紫月的主色调将变为粉色。
COP_SHOP_IT_R_998	一本破旧的绘本，也不知是何时\n放在地狱之门的书架上的。\n无法打开，姑且算是在售卖。\n一旦售出，概不退换。
COP_SHOP_IT_R_042	睡犬雕像的模型。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_043	世界知名大楼摆饰。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_044	以巨大灯笼为原型的手提灯笼。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_045	仿照龙形投石器制作的磁力贴。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_046	精巧仿制各处武将雕像制成的摆件。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_047	自称是仙人的人画的水墨画。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_048	带有玛法斯雕像的沙漏。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_049	巴尔抱枕。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_050	仪式中用到的面具。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_051	迷你凯旋门。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_052	观光巴士铁牌。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_IT_R_053	景点照片磁力贴。\n\n购买后将装饰在薇欧拉的房间。
COP_SHOP_WP_B_014	魔界名匠罗丹为某个平行世界的蓓优妮塔\n制作的4把手枪，\n结实到能承受子弹艺术的冲击力。
COP_SHOP_WP_B_015	名匠罗丹为某个平行世界的蓓优妮塔\n制作的4把手枪，\n丝毫不逊于斯卡布罗集市。
COP_SHOP_WP_B_012	罗丹过去曾使用过的\n神秘手环“武器罗丹”和\n无尽者“魔兽罗丹”\n已经可以使用了。
COP_TUTO_DETAIL_9700_01	“罗丹”已到货。
COP_TUTO_NAME_9710_01	神秘手环 罗丹
COP_TUTO_NAME_9710_02	无尽者 罗丹
COP_TUTO_DETAIL_9710_01	以罗丹之名命名的神秘手环。\n通过干扰使用者的记忆，\n将自己的外观改变成各种武器。
COP_TUTO_DETAIL_9710_02	可以向在魔界被称作“唤来绝望的恶魔”，\n令人畏惧的不灭的男人借助力量。
