CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	カカア…\nエド…！ エドナ…
COP_SHOP_IT_R_605	スーパーミラー2にこのクルールバレットを\n装填すると、ターコイズムーンが青を\n基調としたカラーに変わります。
COP_SHOP_IT_R_606	スーパーミラー2にこのクルールバレットを\n装填すると、ターコイズムーンが紫を\n基調としたカラーに変わります。
COP_SHOP_IT_R_607	スーパーミラー2にこのクルールバレットを\n装填すると、ターコイズムーンがピンクを\n基調としたカラーに変わります。
COP_SHOP_IT_R_901	スーパーミラー3にこのクルールバレットを\n装填すると、アメジストムーンが白を\n基調にしたカラーに変わります。
COP_SHOP_IT_R_902	スーパーミラー3にこのクルールバレットを\n装填すると、アメジストムーンが赤を基調に\nしたカラーに変わります。
COP_SHOP_IT_R_903	スーパーミラー3にこのクルールバレットを\n装填すると、アメジストムーンが黄色を\n基調にしたカラーに変わります。
COP_SHOP_IT_R_904	スーパーミラー3にこのクルールバレットを\n装填すると、アメジストムーンが緑を\n基調にしたカラーに変わります。
COP_SHOP_IT_R_905	スーパーミラー3にこのクルールバレットを\n装填すると、アメジストムーンが青を\n基調にしたカラーに変わります。
COP_SHOP_IT_R_906	スーパーミラー3にこのクルールバレットを\n装填すると、アメジストムーンが紫を\n基調にしたカラーに変わります。
COP_SHOP_IT_R_907	スーパーミラー3にこのクルールバレットを\n装填すると、アメジストムーンがピンクを\n基調にしたカラーに変わります。
COP_SHOP_IT_R_998	いつの間にかゲイツオブヘルの棚に置か\nれていたぼろぼろの絵本。\n開くこともできないがとりあえず販売中。\nノークレームノーリターンでお願いします。
COP_SHOP_IT_R_042	眠る犬の像のミニチュア。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_043	観光スポットとして世界的に有名なビルの\nオブジェ。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_044	巨大提灯を模したハンディサイズの提灯。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_045	龍の姿をした投石器に模して作った\nマグネット。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_046	各所にある武将像を精巧に模したオブジェ。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_047	自称仙人の描いた水墨画。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_048	マルファスの像がついた砂時計。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_049	バアル像のクッション。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_050	儀式用のマスク。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_051	ミニチュア凱旋門。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_052	観光バスのブリキプレート。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_IT_R_053	名所スナップのマグネット。\n\n購入するとヴィオラの部屋に飾られる。
COP_SHOP_WP_B_014	魔界の名工・ロダンが、ある並行世界のベヨ\nネッタのために制作したバレット・アーツに\nも耐える頑強な作りの４丁拳銃。
COP_SHOP_WP_B_015	ある並行世界のベヨネッタのために名工\nロダンが制作したスカボロウ フェアに\n勝るとも劣らない４丁拳銃。
COP_SHOP_WP_B_012	ロダンがかつて使っていたとされる神秘の\n腕輪「武器ロダン」と、無限のもの\n「魔獣ロダン」が使用できるように\nなります。
COP_TUTO_DETAIL_9700_01	「ロダン」が入荷しました。
COP_TUTO_NAME_9710_01	神秘の腕輪 ロダン
COP_TUTO_NAME_9710_02	無限のもの ロダン
COP_TUTO_DETAIL_9710_01	ロダンの名を冠した神秘の腕輪。\n使用者の記憶に干渉することでその姿を\n様々な武器に変える。
COP_TUTO_DETAIL_9710_02	魔界で"絶望を呼ぶ悪魔"と畏怖される\n不滅の男の力を借りることができる。
COP_TUTO_DETAIL_9800_01	「エンブリオ」が入荷しました。\nItems でオーブをエンブリオに換金できます。
COP_SHOP_IT_M_001	10000オーブを10000エンブリオに\n換金できます。
COP_DETAIL_IT_S_003	「魔女の心臓」のかけら。\nこれだけでは何の効果もなく、\n四つ集めると、一つの\n「魔女の心臓」が再生される。
COP_DETAIL_IT_S_004	魂を奪われ地獄に落ちた魔女の\n生命力が結晶化したもの。\n\nこれをささげると、体力の上限を\n上昇させる効果がある。
COP_DETAIL_IT_S_005	「ムーンパール」のかけら。\nこれだけでは何の効果もなく、\n二つ集めると一つの\n「ムーンパール」が再生される。
COP_DETAIL_IT_S_006	魔女の力の源である月の力を\n秘めた宝石。\n\nこれをささげると、魔力の上限を\n上昇させる効果がある。
COP_DETAIL_IT_S_901	特殊な金属でできた青いメダリオン。\n\n四つに砕かれトゥーレの各地に散らばっ\nていたが、全て集めたことで元の姿を\n取り戻したメダリオンはトゥーレの地図\nに反応しまばゆい光を放つ。\nその指し示した先には一体なにが……。
COP_DETAIL_IT_S_911	青い特殊な金属でできた物の欠片。\n\nその形状や表面の模様から元は\nメダリオンだったと思われる。
COP_DETAIL_IT_S_007	機械仕掛けで動き続ける、奇妙なオブジェ。\n\nヴィオラがもたらした情報によれば、\nこの世に全部で５つ存在し、それぞれ\n異なる並行世界に散らばっているという。\n\nそれら全てを集めて、神秘の孤島トゥーレに\nある”碧落の祭壇”に収めれば、望んだ\n並行世界を自由に訪れることが出来るように\nなるというのだが……。\n\n表面に刻まれた文字から、古代の魔女と\n賢者たちがこのオブジェの製作に関わって\nいることが推測されるが、それ以上のことは\n不明である。
COP_DETAIL_IT_S_008	魔女の血涙を守る魔女の眷属。\n真っ黒な猫の姿をしている。\nただの猫とは比べ物にならない\n身体能力を持ち、人に懐かず\n逃げ足が速いため、捕まえるのに\n一流の魔女ですら手を焼く。
COP_DETAIL_IT_S_009	魔女の血涙を守る魔女の眷属。\n真っ黒なヒキガエルの姿をしている。\nただのヒキガエルと比べ動きは鈍く\n気に入った場所で、ただ鳴き続けて\nいるのが好きらしい。\n思わぬところに隠れていることが多く\n探し出すのは難しい。
COP_DETAIL_IT_S_010	魔女の血涙を守る魔女の眷属。\n真っ黒なカラスの姿をしている。\n気まぐれに飛び回っているため\n発見に一苦労する。\n気配に敏感で大人しくしていると\n思い、息を殺して近づいても、\n手が届くより先に飛び去ってしまう。
COP_DETAIL_IT_S_907	機械仕掛けで動き続ける、奇妙なオブジェ。\n存在する５つ全てを集めると並行世界を自由に訪れることが\n出来るようになるというのだが……。
COP_DETAIL_WP_B_001	魔界の名工ロダンが制作した、それぞれ\n「サンシャイン・イエロー」\n「オレンジ・ブロッサム」\n「グリーン・グラス」\n「ブルー・スカイ」の名を冠する\n４丁拳銃。\n\nアンブラの魔女の格闘術\n「バレット・アーツ」のためにチュー\nニングされた武器で、射撃のみならず\n打撃においても恐るべき威力を発揮\nする。\n\nまた、ベヨネッタの主契約悪魔\n「マダム・バタフライ」との相性を考慮\nして作られており、上級魔導術\n「デーモン・マスカレイド」による、\nマダム・バタフライの力との相乗効果は\n凄まじい。\n\n「デーモン・マスカレイド」でマダム\nとの融合を果たすことで、その豪快な\n打撃のアシストが得られるほか、空中を\n滑空することも可能になる。
COP_DETAIL_WP_B_002	発射機構に魔獣ゴモラの生体組織を用\nいて造られた、大口径のアンチマテリ\nアルライフル。\n\n強力な徹甲弾を発射して標的を破壊する\nための兵器だが、その形状と頑強な作り\nから、力任せに振り回し、その質量が\n生む破壊力で標的に甚大なダメージを\n与えるなど、こん棒のような使い方も\n出来る。\n\n打撃と同時に発せられる闇の業火は、\n破壊力を更に高めるほか、火炎放射器の\nように標的に直接浴びせかける攻撃に\nおいても非常に強力である。\n\nこの武器を装備して魔導術\n「デーモン・マスカレイド」を行使する\nことで、魔獣ゴモラの力を借り受ける\nことができ、人魔一体となって獣の\nような荒々しい攻撃や身のこなしを\n発揮出来るようになる。
COP_DETAIL_WP_B_003	魔獣ファンタズマラネアのエネルギー炉\nの小型クローンをコアに用いて作られた\n四つで一組のヨーヨーのような武器。\n\n手と足に装備して使い、振り回すとコア\nから放射状に鋭い刃が出現し、高速回転\nして標的を切り刻むだけでなく、コア\nから灼熱のマグマを噴出させ、更なる\nダメージを負わせることが出来る。\n\n足に装備した二つを車輪のように使う\nことで、ローラースケートのようにして\n高速走行することも可能。\n\n魔導術「デーモン・マスカレイド」に\nより、ファンタズマラネアの能力を借り\n受けるために作られた武器と言っても\n過言ではなく、熟練した術者は、蜘蛛\nのような姿に変化し、壁面移動や\nスイングジャンプなどの能力を獲得\nすることが出来る。
COP_DETAIL_WP_B_004	生まれたばかりの魔獣マルファスの幼獣\nの羽根のみを使って作られた、扇の\nような武器。\n\n紙一枚ほどの重さもなく、それでいて\n鋼鉄のような強度を持ち、開いて弧を\n描いた鋭い羽根の先端で、刀のように\n標的を切り刻む。\n\nこれを装備することで、\n「デーモン・マスカレイド」により魔獣\nマルファスとの融合を果たすことが\n出来るようになり、両腕を翼に変えて\n飛行することが可能になる。
COP_DETAIL_WP_B_005	魔界に迷い込んだ人間の愛玩動物が変貌\nして生まれる魔獣ラボラスが武器化した\nもの。\n\n両手両足に装備し、手足から発射させて\n振り回すようにして離れた標的に打撃を\n加えることが出来るほか、先端の口の\n部分からは、絶対零度に達する凍結\nブレスを噴射することも可能。\n\n魔導術「デーモン・マスカレド」に\nよってラボラスとの融合を果たすと、\n四足の獣と化して空中を疾走できるほか\n氷の分身を作って多重攻撃を行ったり\nとラボラスが持つ多彩な能力を発揮\nできるようになる。
COP_DETAIL_WP_B_006	魔獣バアルが愛用するスタンドマイク。\n\nバアルが歌唱を楽しむためのマイクだが\n長年の使用によって強大な魔力を帯びる\nようになり、声を破壊力のある音波に\n変えて放ったり、歌唱方法によっては\n攻撃力や防御力の上昇効果がもたら\nされるなど、戦闘においても様々な能力\nを発揮する。\n\n非常に軽量かつ頑強な作りで、打撃や\n刺突など、槍のように使っても威力は\n絶大。\n\nこのマイクを持って魔導術\n「デーモン・マスカレイド」を行う\nことで、魔獣バアルの力をその身に宿し\n魔界随一を誇る歌姫ゆずりの極上の\n美声で、広範囲の敵に甚大なダメージ\nを与えることも可能になる。
COP_DETAIL_WP_B_007	魔獣ミクトランテクートリによって作ら\nれた奇術道具のような魔導器で、ハット\n「アブラ」とステッキ「カタブラ」の\n二つで一組となる。\n\nその能力はまさに”奇術”と呼ぶにふさ\nわしく、二つを組み合わせて使うことで\nまるで手品のようにハトや爆弾、果ては\n車さえも出現させ、標的に放つことが\n出来る。\n\n手品同様、その仕組みははっきりとは\n解明されておらず、使用者さえ予期\nしない、摩訶不思議なことが起こるとも\n言われている。\n\nこの魔導器を用いて魔導術\n「デーモン・マスカレイド」を行うと、\n魔獣ミクトランテクートリの能力をその\n身に宿し、体を二つに分裂させて電撃\nを帯びた攻撃を広範囲に行うなど、\nまさに”奇術”というべき技を発揮\nできるようになる。
COP_DETAIL_WP_B_008	魔界の至るところに根を張り巡らせて\nいる悪魔の妖花、アルラウネを封じ\n込めてロダンが完成させた、鞭のような\n武器。\n\nアルラウネの蕾を模した形をしており、\n触れるだけでアルラウネの怨嗟の叫びが\n頭の中に響き渡り、心の弱い者はそれ\nだけで気が狂うと言われる。\n\n四つ一組で、両手両足に装備して勢い\nよく振るうことで、中から伸縮自在の\n蔦を伸ばし、標的を打つことが出来る。\n\n蔦は柔軟でありながら鋼鉄のワイヤーの\n如き硬度を誇り、その身を覆う鋭い\nイバラで、標的の肉をズタズタに引き\n裂く。\n\nこの武器を身につけて魔導術\n「デーモン・マスカレイド」を行うと、\n全身から蔦を伸ばして広範囲への攻撃を\n行うなど、アルラウネの能力を我が物の\nように操れるようになる。
COP_DETAIL_WP_B_009	戦闘機関車轟怨が、自身の部品を使って\n複製したクローンの一種で、鋸歯の並ん\nだ車輪を高速回転させて標的を切り刻む\nなど、チェーンソーのような攻撃能力を\n持つ。\n\n１トンを超える重量があり、並の人間\nには扱うことはできないが、これを振り\n回すことが出来れば、その質量と車輪の\n回転のエネルギーで、恐るべき破壊力を\n生み出す。\n\nまた武器としてだけではなく、この本体\nに跨って車輪を回転させ、乗り物のよう\nに走らせることも可能。\n\n魔導術「デーモン・マスカレイド」で\nこの武器と融合を果たせば、戦闘機関車\n轟怨の鋼鉄の体を得て、高速走行出来る\nようになるだけでなく、その突進力と\n車輪の破壊力で、全身を武器と化す豪快\nな攻撃を繰り出すことも可能になる。
COP_DETAIL_WP_B_010	遥か昔、魔獣クラーケンと戦って敗れ、\nそのまま海の底へと沈んだ戦士が使った\nとされる、碇のような形をした武器。\nクラーケンの体に食い込んだまま年月が\n経ち、強大な魔力が宿ったと言われる。\n\n振り回すと同時に、鎖で繋がった先端部\nが射出され、その質量と鋭い突起で離れ\nた標的を粉砕する。\n\n魔導術「デーモン・マスカレイド」に\nより、この武器が持つクラーケンの力を\n借り受けることで、八本の触手を持つ\n異形の魔人へと変貌し、地面をまるで\n泳ぐかのように進んだり、伸縮自在の\n触手で広範囲に攻撃できるようになる\nという。\n\n日本でもこの武器が使われたと思われる\n記録があり、平安時代末期、平家のある\n武将が、魔族との戦いに終止符を打つ\nため、この武器を担いで魔族の首領が\n潜む海底へと向かったと言われるが、\n真偽は定かではない。
COP_DETAIL_WP_B_011	両手に装備する、門扉のようなデザイン\nをした分厚い鉄塊。\n倒壊したアンブラの時計塔の瓦礫から\n生まれたシンプルな打撃武器で、その\n質量と鋭い突起で絶大な破壊力を生む。\n\nまた、”扉”にあたる部分を開いて中\nからガトリング・ガンや機械の腕を出現\nさせて攻撃を行うことが出来るなど、\nギミックにも富んでいる。\n\n一説では、塔の倒壊と共に命を落とした\nアンブラの魔女たちの怨念が造り上げた\n武器とされ、門の奥にひしめき合って\nいる無数の亡霊は、魔界の瘴気と溶け\n合った彼女たちの成れの果てとも言われ\nている。\n\n「デーモン・マスカレイド」により、\nその亡霊たちの力を得ると、痛みを感じ\nない機械じかけの体となり、敵から攻撃\nを受けても止まることなく、ひたすら\n戦い続けるからくり人形と化す。
COP_DETAIL_WP_B_012	堕天使ロダンが、かつて天界の一部を\n治めていた頃に使っていたとされる神秘\nの腕輪。\n\n両手両足に装備して使うと、その使用者\nの体に刻まれた記憶に干渉し、様々に形\nを変えて、人知を超えた能力をもたらす\nと言い伝えられているが、実在するのか\nどうかも含めて、その一切が謎に包まれ\nている。\n\nもしもこの腕輪を身に着けて\n魔導術「デーモン・マスカレイド」を\n行使すれば、ロダンが持つ闇の一面を\n象徴するかのような、強大な魔の力が\n授けられるというが、無事に術を解いて\n人に戻れる保証は、どこにもないだろう。
COP_DETAIL_WP_B_013	国によっては許可さえあれば誰でも\n持つことができる、普通の自動拳銃。\n\n常人による使用を想定して作られて\nいるため、魔力を込めて打撃、射撃を\n行うバレット・アーツに耐えられる強度\nはなく、使用者は魔導力の抑制を強い\nられる。
COP_DETAIL_WP_B_014	魔界の名工・ロダンが、ある並行世界の\nベヨネッタのために制作した４丁拳銃。\nそれぞれ「パセリ」、「セイジ」、\n「ローズマリー」、「タイム」の名を\n冠している。\n\n銃器に魔力を込めて荒々しく戦う格闘術\nバレット・アーツにも耐える頑強な\n作りで、射撃においても優れた精度を\n誇る。
COP_DETAIL_WP_B_015	ある並行世界のベヨネッタのために\n名工ロダンが制作した４丁拳銃。\nそれぞれ「ノクターン」、\n「トッカータ」、「メヌエット」、\n「プレリュード」の４丁からなる。\n\nその強度と射撃精度は、いずれも\nスカボロウ フェアに勝るとも\n劣らない。
COP_DETAIL_WP_V_051	妖精の女王マブが夢枕に立ち、中世日本\nの名工に命じて作らせたと伝えられる、\n長身の刀。\n\n熟練者が使えばこの世に切れぬものは\nないと言われ、大きな戦のたびに名の\nある剣士の手を渡り歩いてきた。\n\nその刀身には、猫とも熊ともつかない\n姿の魔獣チェシャが棲み憑いており、\nヴィオラの召喚術により、柄頭に付いた\nチャームを触媒として顕現する。
COP_DETAIL_WP_V_051_02	妖精の女王マブが夢枕に立ち、中世日本\nの名工に命じて作らせたと伝えられる、\n長身の刀。\n\n熟練者が使えばこの世に切れぬものは\nないと言われ、大きな戦のたびに名の\nある剣士の手を渡り歩いてきた。\n\nその刀身には、猫とも熊ともつかない\n姿の魔獣チェシャが棲み憑いており、\nヴィオラの召喚術により、柄頭に付いた\nチャームを触媒として顕現する。\n\n時を経て、巡り巡ってヴィオラのもとへ\nと流れ着いたが、この刀自身が、妖精の\n力を受け継ぐ主を探して旅をしていた\nとも言われている。
COP_DETAIL_WP_V_052	一本ずつヴィオラが自ら魔力を込めて\n作った、特別なダーツ。\n\nエーテルで満たされたガラス管が仕込\nまれており、魔力を込めて投擲する\nことで、標的に対する攻撃力を高める\nことが出来る。\n\nだが、細かい作業が苦手で集中力もない\nヴィオラが居眠りをしながら作っている\nこともあり、その精度は安定しない。
COP_DETAIL_WP_J_071	魔界の名工ロダンが制作した、\nそれぞれ「アトス」、「アラミス」、\n「ポルトス」、「ダルタニアン」の\n名を冠した４丁拳銃。\n\nジャンヌの主契約悪魔\n「マダム・ステュクス」との相性を\n考慮して作られており、上級魔導術\n「デーモン・マスカレイド」による、\nマダム・ステュクスの力との相乗効果\nは凄まじい。\n\n「デーモン・マスカレイド」でマダム\nとの融合を果たすことで、その豪快\nな打撃のアシストが得られるほか、\n空中を滑空することも可能になる。
COP_DETAIL_AC_B_001	古代エジプトの魔女クレオパトラが\n所有した古の魔導器。\n\n使用者が攻撃を受けると、魔力と引き\n換えにウィッチタイムを発動させる。\n\n魔導術の指導者として長けたクレオ\nパトラが、ウィッチタイムを上手く扱え\nない修行者のために作り上げたと言わ\nれる。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。
COP_DETAIL_AC_B_002	悪名高き悪魔の愚連隊\n「リトルデビルズ」を呼び出すのに\n用いる、魔界との交信装置。\n\n使用者はこの魔導器を使って彼らと\n短期契約を結び、攻撃に使役するこ\nとが出来る。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。
COP_DETAIL_AC_B_003	遥か昔、ラサの王妃に影武者として\n仕えた魔女トゥーランドットが作っ\nたと伝えられる秘宝で、使用者に守\n護蝶の加護をもたらす。\n\n守護蝶は使用者の周りを漂うように\n飛び、使用者の身代わりとなって攻\n撃を受け、散っていく。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。
COP_DETAIL_AC_B_004	アメリカはナバホ族に語り継がれる伝説\nの魔女イェナルドゥーシが作り上げた\n魔導器。\n\n敵に対して挑発行為を行う事で、使用者\nに体力回復の効果をもたらす。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。
COP_DETAIL_AC_B_005	倭国の女王 卑弥呼に仕えた魔女\n悪狐（あっこ）が用いた魔導器。\n\n使用者が身に迫る危険を回避した時、\n攻撃者に対して応報の魔法攻撃を行っ\nてくれる。\n攻撃の面では高い効果を発揮するが、\n使用者の精神力を激しく消耗させる\nため、その力はウィッチタイムの発\n動と引き換えになる。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。
COP_DETAIL_AC_B_006	古くからアフリカのマリの民に伝わる、\n混乱を司る女神「ムッソ・コロニ」\nの怨念を宿した呪いの魔導器。\n\nそれを身に着ける事は他の世界への\n反逆を意味し、そこに住む者たちの\n大いなる怒りを誘うと言われる。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。
COP_DETAIL_AC_B_007	インドの破壊神シヴァの祝福を受けた\n魔導器。\n\nヴィジャヤナガル朝に仕えた魔女\nヤクシーが作ったと伝えられ、敵の\n攻撃を弾き返す力を持つ。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。
COP_DETAIL_AC_B_008	古の悪魔剣士と契約を結んで、魔界の\n侵略軍に立ち向かった孤高の魔女\nエヴァが作り上げた魔導器。\n\nこれを身に着ける者には、魔導術の真髄\nとも言えるウィッチタイムに、更なる\n恩恵が与えられると言われるが、その\n効果には諸説あり、未だ解明されて\nいない部分も多い。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。
COP_DETAIL_AC_B_009	明朝の末期、トネリコの槍で武装した\n精鋭兵団を率いて戦場で恐れられた\n魔女が作ったと言われる魔導器。\n\n「絶頂の腕飾り」からこぼれ落ちた\nかけらが使われているとされ、絶頂に\n達した力を更なる高みへと導く力を\n持つ。
COP_DETAIL_AC_B_010	アンブラの魔女一族の長にのみ着用が\n許された、力と地位の象徴とも言える\n秘宝。\n\n「魔女王」と恐れられた古代の魔女\nアイゼンが作ったと言われ、\n身に着けた者の魔力が尽きた時、\nその回復を促す効力を発揮する。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。
COP_DETAIL_AC_B_011	身に着ける者の力を絶頂へと導く、\n神秘の秘宝。\n\nいつ、何処で、どうやって作られたのか\nなど全てが謎に包まれており、別宇宙\nからやってきた物とも伝えられる。\n\nその強大な力のために、神や悪魔にさえ\n畏怖されており、如何なる争いにおい\nてもこの種の装飾品の使用を禁ずると\nいう、暗黙の了解があるという。\n\n腕飾りや耳飾りなど、所有者の戦い方や\n武闘装束に合わせて様々に姿を変える\nとされ、その形状は一定ではない。\n\n※これを装備して戦闘に挑むとリザルト\n結果にペナルティがある。
COP_DETAIL_AC_B_012	日本の中世から近世にかけて、大衆娯楽\nを興行しながら諸国を回った巫女阿国が\n作ったとされる魔導器。\n\nこの耳飾りを身に着けて舞い踊ると、\n観客からより多くの御捻りが奉じられ、\nまた戦場においても、負けを認めた者は\n隠し持っていた金品まで余すことなく\n差し出したという。
COP_DETAIL_AC_A_001	その無慈悲な戦い方から「ブラディ・\nマリー」の異名で恐れられた魔女マ\nリーが作った腰飾り。\n\n戦うことを得意としたマリーの技は\nまるで流れる川のように淀みなく繰\nり出されたと言われ、この魔導器を\n身に着ける者は彼女に操られるかの\n如く、その熟練した技術を用いて戦\nうことが出来るという。\n\n※専用のスロットに装備するため、他の\nアクセサリーと入れ替えできない。\n※STANDARD以上の難易度で使用\nすると、得られるコンボポイントが減少\nするペナルティが発生。\nコンボポイントが無いチャプターでは\nチャプターリザルトの結果が減少する\nペナルティが発生。
COP_DETAIL_AC_B_013	かつてクレタ島を訪れた魔女メデイアが\n島の守護巨人タロスを倒し、そこから\n取り出したタロスの原動力とも言える\n真核を用いて作ったとされる魔導器。\n\nこれを身に着けて召喚術を行うと、悪魔\nを意のままに操る秘術\n「デーモン・スレイブ」が使えない者\nでも、容易に悪魔を味方に付けて戦わ\nせることができ、魔導術の修行に広く\n使われたと言われる。
COP_DETAIL_AC_B_014	インドの先住民デカンの民が、戦いの\n女神ドゥルガーが持つ法螺貝の音を封じ\n込めて作ったとされる魔導器。\n\nドゥルガーは戦意高揚のために法螺貝を\n吹き鳴らしたとされ、これを身に着けて\n召喚術を行うと、悪魔を非常に攻撃的に\nさせ、戦場においては高い戦果を挙げる\nことが出来たが、同時に術者も悪魔に\n襲われる危険があり、多くの魔女が命を\n落としたという。
COP_DETAIL_AC_B_015	平安時代末期の日本で、どんな暴れ馬も\n乗りこなし、一騎当千の戦いを繰り\n広げた魔女、巴御前が愛用していた\n手綱を用いて、後世の職人が作ったと\n伝えられる魔導器。\n\nこれを身に着けることで、召喚した魔獣\nに対して鎮静効果をもたらし、魔導術\n「デーモン・スレイブ」によって操る際\nにも、制御不能に陥ることを防ぐと\nいう。
COP_SHOP_AC_B_001	使用者が攻撃を受けると、魔力と引\nき換えにウィッチタイムを発動させる。
COP_SHOP_AC_B_002	魔力を消費して、デビルズを召喚。\n召喚したデビルズは、プレイヤーの\n攻撃に合わせて敵に体当たりで追加\n攻撃をしてくれる。
COP_SHOP_AC_B_003	魔力を消費して、蝶々を召喚する。\n召喚した状態で敵の攻撃を受けると\n蝶々が身代りとなり、ダメージを防ぐ\nことができる。
COP_SHOP_AC_B_004	挑発すると体力が回復する。
COP_SHOP_AC_B_005	ウィッチタイム発動タイミングで\n敵の攻撃を回避すると、ウィッチ\nタイムの代わりに、敵に向かって\n魔法の弾が飛んでいく。
COP_SHOP_AC_B_006	装備していると、挑発しなくても\n敵が怒り状態になる。
COP_SHOP_AC_B_007	タイミングよく敵の攻撃方向に\nスティックを倒すことで弾き返す\nことができる。\nジャストタイミングではじくことが\nできると同時にWTが発動する。
COP_SHOP_AC_B_008	魔力消費と引き換えにウィッチタイムの\n効果時間が延長される。
COP_SHOP_AC_B_009	マスカレイド・レイジの攻撃力が上昇する。
COP_SHOP_AC_B_010	魔力が尽きた状態からの回復速度が\n上昇する。
COP_SHOP_AC_B_011	魔力とマスカレイド・レイジ発動の\nエネルギーが減少しなくなる。\nただしこれを装備して戦闘に挑むと\nリザルト結果にペナルティがある。
COP_SHOP_AC_B_012	トーチャーアタックを敵に発動したときに\n得られるオーブの量が1.25倍になる。
COP_SHOP_AC_A_001	装備して[ICON:PUNCH ][ICON:KICK ]連打で上級者のような\nコンボや回避行動を自動で行ってくれる。\n難易度STANDARD以上で装備した場合\nリザルト結果にペナルティがある。
COP_SHOP_AC_B_013	デーモンスレイブ中、魔獣が周囲の\n敵を自動的に攻撃してくれる。\nその間ベヨネッタは自由に動くことが\nできる。
COP_SHOP_AC_B_014	魔獣の攻撃力が上がる代わりに、\n暴走しやすくなる
COP_SHOP_AC_B_015	魔獣が敵の攻撃を受けても\n暴走しなくなる。
COP_SHOP_AC_V_001	使用者が攻撃を受けると、魔力と引\nき換えにウィッチタイムを発動させる。
COP_SHOP_AC_V_002	魔力を消費して、デビルズを召喚。\n召喚したデビルズは、プレイヤーの\n攻撃に合わせて敵に体当たりで追加\n攻撃をしてくれる。
COP_SHOP_AC_V_003	魔力を消費して、蝶々を召喚する。\n召喚した状態で敵の攻撃を受けると\n蝶々が身代りとなり、ダメージを防ぐ\nことができる。
COP_SHOP_AC_V_004	挑発すると体力が回復する。
COP_SHOP_AC_V_005	ガードに成功すると魔法の弾が\n敵に向かって飛んでいく。\nジャストガードに成功すると、\n弾が強力になる。
COP_SHOP_AC_V_006	装備していると、挑発しなくても\n敵が怒り状態になる。
COP_SHOP_AC_V_007	タイミングよく敵の攻撃方向に\nスティックを倒すことで弾き返す\nことができる。\nジャストタイミングではじくことが\nできると同時にWTが発動する。
COP_SHOP_AC_V_008	魔力消費と引き換えにウィッチタイムの\n効果時間が延長される。
COP_SHOP_AC_V_009	妖精化している間の攻撃力が\n上昇する。
COP_SHOP_AC_V_010	魔力が尽きた状態からの回復速度が\n上昇する。
COP_SHOP_AC_V_011	魔力とウェイクアップ！発動の\nエネルギーが減少しなくなる。\nただしこれを装備して戦闘に挑むと\nリザルト結果にペナルティがある。
COP_SHOP_AC_V_012	トーチャーアタックを敵に発動したときに\n得られるオーブの量が1.25倍になる。
COP_SHOP_AC_V_013	チェシャが鎖から解き放たれる。
COP_SHOP_AC_V_014	チェシャの攻撃力が上がる代わりに、\n召喚中の魔力の消費量が上昇する。
COP_SHOP_AC_V_015	チェシャ召喚中の魔力消費量が\n減少する。
