bag.dat
msg_ui_bag_okodukai_00	所持金
trmemo_02_05_02	20[VAR 0201(0000)]年[VAR 0201(0001)]月[VAR 0201(0002)]日\n[VAR FF00(0002)][VAR 0105(0004)][VAR FF00(0000)]で\nLv.[VAR 0202(0003)]のときに\n運命的な\n出会いをした　ようだ。
trmemo_02_06_01	20[VAR 0201(0005)]年[VAR 0201(0006)]月[VAR 0201(0007)]日\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]で\n手に入れた　タマゴが\n20[VAR 0201(0000)]年[VAR 0201(0001)]月[VAR 0201(0002)]日\n[VAR FF00(0002)][VAR 0105(0004)][VAR FF00(0000)]で\nかえって　運命的な\n出会いをした。
trmemo_02_06_02	20[VAR 0201(0005)]年[VAR 0201(0006)]月[VAR 0201(0007)]日\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]で\n手に入れた　タマゴが\n20[VAR 0201(0000)]年[VAR 0201(0001)]月[VAR 0201(0002)]日\n[VAR FF00(0002)][VAR 0105(0004)][VAR FF00(0000)]で\nかえって　運命的な\n出会いをした　ようだ。
trmemo_02_07_01	[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時間と　空間を　こえて\nはるばる　やってきた。
trmemo_02_07_02	[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時間と　空間を　こえて\nはるばる　やってきたようだ。
trmemo_02_08_01	運命的な　出会いをした\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時間と　空間を　こえて\nはるばる　やってきた。
trmemo_02_08_02	運命的な　出会いをした\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時間と　空間を　こえて\nはるばる　やってきたようだ。
trmemo_02_09_01	懐かしの\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時間と　空間を　こえて\nはるばる　やってきた。
trmemo_02_09_02	懐かしの\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時間と　空間を　こえて\nはるばる　やってきたようだ。
trmemo_02_10_01	運命的な　出会いをした\n懐かしの\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時間と　空間を　こえて\nはるばる　やってきた。
trmemo_02_10_02	運命的な　出会いをした\n懐かしの\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時間と　空間を　こえて\nはるばる　やってきたようだ。
trmemo_02_11_01	[~ 46]
trmemo_02_11_02	[~ 47]
trmemo_02_12_01	20[VAR 0201(0005)]年[VAR 0201(0006)]月[VAR 0201(0007)]日\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]で\n手に入れた　タマゴが\n20[VAR 0201(0000)]年[VAR 0201(0001)]月[VAR 0201(0002)]日\n[VAR FF00(0002)][VAR 0105(0004)][VAR FF00(0000)]で\nかえって　出会った。
trmemo_02_12_02	20[VAR 0201(0005)]年[VAR 0201(0006)]月[VAR 0201(0007)]日\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]で\n手に入れた　タマゴが\n20[VAR 0201(0000)]年[VAR 0201(0001)]月[VAR 0201(0002)]日\n[VAR FF00(0002)][VAR 0105(0004)][VAR FF00(0000)]で\nかえり　出会ったようだ。
trmemo_03_01_00	食べるのが　大好き。
trmemo_03_01_01	昼寝を　よくする。
trmemo_03_01_02	居眠りが　多い。
trmemo_03_01_03	ものを　よく　散らかす。
trmemo_03_01_04	のんびりするのが　好き。
trmemo_03_02_00	力が　自慢。
trmemo_03_02_01	暴れることが　好き。
trmemo_03_02_02	ちょっと　怒りっぽい。
trmemo_03_02_03	ケンカを　するのが　好き。
trmemo_03_02_04	血の気が　多い。
trmemo_03_03_00	体が　丈夫。
trmemo_03_03_01	打たれ強い。
trmemo_03_03_02	粘り強い。
trmemo_03_03_03	辛抱強い。
trmemo_03_03_04	我慢強い。
trmemo_03_04_00	駆けっこが　好き。
trmemo_03_04_01	物音に　敏感。
trmemo_03_04_02	おっちょこちょい。
trmemo_03_04_03	すこし　お調子者。
trmemo_03_04_04	逃げるのが　はやい。
trmemo_03_05_00	好奇心が　強い。
trmemo_03_05_01	イタズラが　好き。
trmemo_03_05_02	抜け目が　ない。
trmemo_03_05_03	考え事が　多い。
trmemo_03_05_04	とても　きちょうめん。
trmemo_03_06_00	気が　強い。
trmemo_03_06_01	ちょっぴり　みえっぱり。
trmemo_03_06_02	負けん気が　強い。
trmemo_03_06_03	負けず嫌い。
trmemo_03_06_04	ちょっぴり　強情。
trmemo_01_T_01_01	20[VAR 0201(0005)]年[VAR 0201(0006)]月[VAR 0201(0007)]日\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\nもらった　不思議な\nポケモンの　タマゴ。
trmemo_01_T_01_02	20[VAR 0201(0000)]年[VAR 0201(0001)]月[VAR 0201(0002)]日\n[VAR FF00(0002)][VAR 0105(0004)][VAR FF00(0000)]で\n手に入れた　不思議な\nポケモンの　タマゴ。
trmemo_01_T_01_03	20[VAR 0201(0005)]年[VAR 0201(0006)]月[VAR 0201(0007)]日\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]で\n手に入れた　とっても\n不思議な　不思議な\nポケモンの　タマゴ。
trmemo_01_T_01_04	20[VAR 0201(0000)]年[VAR 0201(0001)]月[VAR 0201(0002)]日\n[VAR FF00(0002)][VAR 0105(0004)][VAR FF00(0000)]で\n手に入れた　とっても\n不思議な　不思議な\nポケモンの　タマゴ。
trmemo_01_T_01_07	20[VAR 0201(0005)]年[VAR 0201(0006)]月[VAR 0201(0007)]日\n[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]で\n手に入れた　不思議な\nポケモンの　タマゴ。
trmemo_01_T_02_01	「タマゴの様子」\n中から　音が\nきこえてくる！\nもうすぐ　うまれそう！
trmemo_01_T_02_02	「タマゴの様子」\nときどき　動いている\nみたい。　うまれるまで\nもう　ちょっとかな？
trmemo_01_T_02_03	「タマゴの様子」\nなにが　うまれてくるのかな？\nうまれるまで　まだまだ\n時間が　かかりそう。
trmemo_01_T_02_04	「タマゴの様子」\nこの　タマゴは\nうまれるまで　かなり\n時間が　かかりそう。
trmemo_02_13_01	新たなる[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時空を　こえて\nはるばる　やってきた。
trmemo_02_13_02	新たなる[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時空を　こえて\nはるばる　やってきたようだ。
trmemo_02_14_01	運命的な　出会いをした\n新たなる[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時空を　こえて\nはるばる　やってきた。
trmemo_02_14_02	運命的な　出会いをした\n新たなる[VAR FF00(0002)][VAR 0105(0008)][VAR FF00(0000)]から\n時空を　こえて\nはるばる　やってきたようだ。
another_name.dat
msg_another_name_00	カロスチャンピオン　[VAR 0102(0000)]
msg_another_name_01	チャンピオン　[VAR 0102(0000)]
msg_another_name_02	シンオウチャンピオン　[VAR 0102(0000)]
msg_another_name_03	しんゆうの　[VAR 0102(0000)]
msg_another_name_04	しれんをともにした　[VAR 0102(0000)]
msg_another_name_05	べテランの　[VAR 0102(0000)]
msg_another_name_06	たつじんの　[VAR 0102(0000)]
msg_another_name_07	あのころがんばった　[VAR 0102(0000)]
msg_another_name_08	あのひしゃきっとした　[VAR 0102(0000)]
msg_another_name_09	むかしビビりだった　[VAR 0102(0000)]
msg_another_name_10	かなしいことがあった　[VAR 0102(0000)]
msg_another_name_11	ミスするひもあった　[VAR 0102(0000)]
msg_another_name_12	あのひスッキリした　[VAR 0102(0000)]
msg_another_name_13	ねてばかりだった　[VAR 0102(0000)]
msg_another_name_14	よくわらっていた　[VAR 0102(0000)]
msg_another_name_15	ゴージャス　[VAR 0102(0000)]
msg_another_name_16	ロイヤル　[VAR 0102(0000)]
msg_another_name_17	ゴージャス＆ロイヤル　[VAR 0102(0000)]
msg_another_name_18	えのモデルになった　[VAR 0102(0000)]
msg_another_name_19	あしあとがじまんの　[VAR 0102(0000)]
msg_another_name_20	きろくをもつ　[VAR 0102(0000)]
msg_another_name_21	すごいきろくをもつ　[VAR 0102(0000)]
msg_another_name_22	ゆうしょうしゃの　[VAR 0102(0000)]
msg_another_name_23	こんなんをのりこえた　[VAR 0102(0000)]
msg_another_name_24	１００にんぬきの　[VAR 0102(0000)]
msg_another_name_25	せかいをせいした　[VAR 0102(0000)]
msg_another_name_26	ポケモンずきの　[VAR 0102(0000)]
msg_another_name_27	きねんびをすごした　[VAR 0102(0000)]
msg_another_name_28	イベントにさんかした　[VAR 0102(0000)]
msg_another_name_29	いつもいっしょの　[VAR 0102(0000)]
msg_another_name_30	プレミアムなひの　[VAR 0102(0000)]
msg_another_name_31	さいこうのおもいでの　[VAR 0102(0000)]
msg_another_name_32	ゆめかなえし　[VAR 0102(0000)]
msg_another_name_33	バトルチャンピオン　[VAR 0102(0000)]
msg_another_name_34	エリアチャンピオン　[VAR 0102(0000)]
msg_another_name_35	ナショナルチャンピオン　[VAR 0102(0000)]
msg_another_name_36	ワールドチャンピオン　[VAR 0102(0000)]
msg_another_name_37	きらめくおもいでの　[VAR 0102(0000)]
msg_another_name_38	あついおもいでの　[VAR 0102(0000)]
msg_another_name_39	ホウエンチャンピオン　[VAR 0102(0000)]
msg_another_name_40	でんせつてきスターの　[VAR 0102(0000)]
msg_another_name_41	かつてスターの　[VAR 0102(0000)]
msg_another_name_42	とうじきれいだった　[VAR 0102(0000)]
msg_another_name_43	かつてアイドルの　[VAR 0102(0000)]
msg_another_name_44	てんさいとよばれた　[VAR 0102(0000)]
msg_another_name_45	むかしはムキムキの　[VAR 0102(0000)]
msg_another_name_46	アローラチャンピオン　[VAR 0102(0000)]
msg_another_name_47	ロイヤルマスター　[VAR 0102(0000)]
msg_another_name_48	ツリーウィナー　[VAR 0102(0000)]
msg_another_name_49	ツリーマスター　[VAR 0102(0000)]
msg_another_name_50	ガラルチャンピオン　[VAR 0102(0000)]
msg_another_name_51	タワーマスター　[VAR 0102(0000)]
msg_another_name_52	ランクマスター　[VAR 0102(0000)]
msg_another_name_53	はらペコの　[VAR 0102(0000)]
msg_another_name_54	おねむな　[VAR 0102(0000)]
msg_another_name_55	そろそろねむい　[VAR 0102(0000)]
msg_another_name_56	はやくにめざめた　[VAR 0102(0000)]
msg_another_name_57	くもをみつめる　[VAR 0102(0000)]
msg_another_name_58	あめにむせぶ　[VAR 0102(0000)]
msg_another_name_59	かみなりにさわぐ　[VAR 0102(0000)]
msg_another_name_60	ゆきにころがる　[VAR 0102(0000)]
msg_another_name_61	こごえふるえる　[VAR 0102(0000)]
msg_another_name_62	のどカラカラの　[VAR 0102(0000)]
msg_another_name_63	すなにまみれる　[VAR 0102(0000)]
msg_another_name_64	きりにとまどう　[VAR 0102(0000)]
msg_another_name_65	うんめいかんじる　[VAR 0102(0000)]
msg_another_name_66	つりたてピチピチの　[VAR 0102(0000)]
msg_another_name_67	カレーずきな　[VAR 0102(0000)]
msg_another_name_68	ひとになれてる　[VAR 0102(0000)]
msg_another_name_69	ひとをしらない　[VAR 0102(0000)]
msg_another_name_70	あばれんぼうの　[VAR 0102(0000)]
msg_another_name_71	なにもかんがえてない　[VAR 0102(0000)]
msg_another_name_74	ドキドキしてる　[VAR 0102(0000)]
msg_another_name_75	ワクワクしてる　[VAR 0102(0000)]
msg_another_name_76	オーラをかんじる　[VAR 0102(0000)]
msg_another_name_77	クールな　[VAR 0102(0000)]
msg_another_name_78	アグレッシブな　[VAR 0102(0000)]
msg_another_name_79	ボーっとしてる　[VAR 0102(0000)]
msg_another_name_80	しあわせそうな　[VAR 0102(0000)]
msg_another_name_81	プンプンおこる　[VAR 0102(0000)]
msg_another_name_82	ニコニコわらう　[VAR 0102(0000)]
msg_another_name_83	メソメソなく　[VAR 0102(0000)]
msg_another_name_84	ごきげんな　[VAR 0102(0000)]
msg_another_name_85	ふきげんな　[VAR 0102(0000)]
msg_another_name_86	ちてきな　[VAR 0102(0000)]
msg_another_name_87	あれくるう　[VAR 0102(0000)]
msg_another_name_88	スキをねらう　[VAR 0102(0000)]
msg_another_name_89	いかつい　[VAR 0102(0000)]
msg_another_name_90	やさしげな　[VAR 0102(0000)]
msg_another_name_91	あわてんぼうの　[VAR 0102(0000)]
msg_another_name_92	やるきまんまんの　[VAR 0102(0000)]
msg_another_name_93	やるきゼロの　[VAR 0102(0000)]
msg_another_name_94	ふんぞりかえった　[VAR 0102(0000)]
msg_another_name_95	じしんのない　[VAR 0102(0000)]
msg_another_name_96	そぼくな　[VAR 0102(0000)]
msg_another_name_97	きどっている　[VAR 0102(0000)]
msg_another_name_98	げんきいっぱいの　[VAR 0102(0000)]
msg_another_name_99	どこかくたびれた　[VAR 0102(0000)]
btl_pokelist.dat
msg_ui_btl_pokelist_lv	Lv.[VAR 0202(0000)]
msg_ui_btl_pokelist_pokename	[VAR 0102(0000)]
msg_ui_btl_pokelist_hp_01	/
msg_ui_btl_pokelist_hp_02	[VAR 0203(0000,0000)]
msg_ui_btl_pokelist_help_00	決定
msg_ui_btl_pokelist_help_02	戻る
msg_ui_btl_pokelist_help_03	選びなおす
msg_ui_btl_pokelist_wazaname	[VAR 0107(0000)]
msg_ui_btl_pokelist_tokusei	とくせい
msg_ui_btl_pokelist_tokuseiname	[VAR 0106(0000)]
msg_ui_btl_pokelist_type	タイプ
msg_ui_btl_pokelist_pp_00	[~ 11]
msg_ui_btl_pokelist_pp_04	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_btl_pokelist_egg	タマゴを　戦闘に\nだすことは　できません\c
msg_ui_btl_pokelist_state_00	戦闘中
msg_ui_btl_pokelist_state_01	たたかえる
msg_ui_btl_pokelist_state_02	たたかえない
msg_ui_btl_pokelist_state_03	パートナー
msg_ui_btl_pokelist_state_04	待機中
msg_ui_btl_pokelist_waza_00	ぶんるい
msg_ui_btl_pokelist_waza_01	いりょく
msg_ui_btl_pokelist_waza_02	めいちゅう
msg_ui_btl_pokelist_waza_03	[VAR 0202(0000)]
msg_ui_btl_pokelist_waza_04	[VAR 0202(0000)]
msg_ui_btl_pokelist_waza_05	-
msg_ui_btl_pokelist_sel_00	ポケモンをいれかえる
msg_ui_btl_pokelist_sel_01	つよさをみる
msg_ui_btl_pokelist_sel_02	かいふくする
msg_ui_btl_pokelist_sel_03	やめる
msg_ui_btl_pokelist_01	[~ 29]
msg_ui_btl_pokelist_help_01	戻る
msg_ui_btl_pokelist_error_00	[VAR 0102(0000)]は\nすでに戦闘にでています\c
msg_ui_btl_pokelist_error_01	[~ 32]
msg_ui_btl_pokelist_error_02	ポケモンを\n戻すことが　できない！\c
msg_ui_btl_pokelist_error_03	[VAR 0102(0000)]は　戦うための\n元気が　残っていません！\c
msg_ui_btl_pokelist_error_04	[VAR 0102(0000)]は\nすでに選ばれています\c
msg_ui_btl_pokelist_03	[~ 36]
msg_ui_btl_pokelist_sel_04	ひだりがわにだす
msg_ui_btl_pokelist_sel_05	みぎがわにだす
msg_ui_btl_pokelist_playername	[VAR 0100(0000)]
fieldability.dat
ability0	[~ 0]
itemname_acc.dat
ITEMNAME_000	なし
ITEMNAME_001	マスターボール
ITEMNAME_002	ハイパーボール
ITEMNAME_003	スーパーボール
ITEMNAME_004	モンスターボール
ITEMNAME_005	サファリボール
ITEMNAME_006	ネットボール
ITEMNAME_007	ダイブボール
ITEMNAME_008	ネストボール
ITEMNAME_009	リピートボール
ITEMNAME_010	タイマーボール
ITEMNAME_011	ゴージャスボール
ITEMNAME_012	プレミアボール
ITEMNAME_013	ダークボール
ITEMNAME_014	ヒールボール
ITEMNAME_015	クイックボール
ITEMNAME_016	プレシャスボール
ITEMNAME_017	キズぐすり
ITEMNAME_018	どくけし
ITEMNAME_019	やけどなおし
ITEMNAME_020	こおりなおし
ITEMNAME_021	ねむけざまし
ITEMNAME_022	まひなおし
ITEMNAME_023	かいふくのくすり
ITEMNAME_024	まんたんのくすり
ITEMNAME_025	すごいキズぐすり
ITEMNAME_026	いいキズぐすり
ITEMNAME_027	なんでもなおし
ITEMNAME_028	げんきのかけら
ITEMNAME_029	げんきのかたまり
ITEMNAME_030	おいしいみず
ITEMNAME_031	サイコソーダ
ITEMNAME_032	ミックスオレ
ITEMNAME_033	モーモーミルク
ITEMNAME_034	ちからのこな
ITEMNAME_035	ちからのねっこ
ITEMNAME_036	ばんのうごな
ITEMNAME_037	ふっかつそう
ITEMNAME_038	ピーピーエイド
ITEMNAME_039	ピーピーリカバー
ITEMNAME_040	ピーピーエイダー
ITEMNAME_041	ピーピーマックス
ITEMNAME_042	フエンせんべい
ITEMNAME_043	きのみジュース
ITEMNAME_044	せいなるはい
ITEMNAME_045	マックスアップ
ITEMNAME_046	タウリン
ITEMNAME_047	ブロムヘキシン
ITEMNAME_048	インドメタシン
ITEMNAME_049	リゾチウム
ITEMNAME_050	ふしぎなアメ
ITEMNAME_051	ポイントアップ
ITEMNAME_052	キトサン
ITEMNAME_053	ポイントマックス
ITEMNAME_054	もりのヨウカン
ITEMNAME_055	エフェクトガード
ITEMNAME_056	クリティカット
ITEMNAME_057	プラスパワー
ITEMNAME_058	ディフェンダー
ITEMNAME_059	スピーダー
ITEMNAME_060	ヨクアタール
ITEMNAME_061	スペシャルアップ
ITEMNAME_062	スペシャルガード
ITEMNAME_063	ピッピにんぎょう
ITEMNAME_064	エネコのシッポ
ITEMNAME_065	あおいビードロ
ITEMNAME_066	きいろビードロ
ITEMNAME_067	あかいビードロ
ITEMNAME_068	くろいビードロ
ITEMNAME_069	しろいビードロ
ITEMNAME_070	あさせのしお
ITEMNAME_071	あさせのかいがら
ITEMNAME_072	あかいかけら
ITEMNAME_073	あおいかけら
ITEMNAME_074	きいろいかけら
ITEMNAME_075	みどりのかけら
ITEMNAME_076	シルバースプレー
ITEMNAME_077	ゴールドスプレー
ITEMNAME_078	あなぬけのヒモ
ITEMNAME_079	むしよけスプレー
ITEMNAME_080	たいようのいし
ITEMNAME_081	つきのいし
ITEMNAME_082	ほのおのいし
ITEMNAME_083	かみなりのいし
ITEMNAME_084	みずのいし
ITEMNAME_085	リーフのいし
ITEMNAME_086	ちいさなキノコ
ITEMNAME_087	おおきなキノコ
ITEMNAME_088	しんじゅ
ITEMNAME_089	おおきなしんじゅ
ITEMNAME_090	ほしのすな
ITEMNAME_091	ほしのかけら
ITEMNAME_092	きんのたま
ITEMNAME_093	ハートのウロコ
ITEMNAME_094	あまいミツ
ITEMNAME_095	すくすくこやし
ITEMNAME_096	じめじめこやし
ITEMNAME_097	ながながこやし
ITEMNAME_098	ねばねばこやし
ITEMNAME_099	ねっこのカセキ
ITEMNAME_100	ツメのカセキ
ITEMNAME_101	かいのカセキ
ITEMNAME_102	こうらのカセキ
ITEMNAME_103	ひみつのコハク
ITEMNAME_104	たてのカセキ
ITEMNAME_105	ずがいのカセキ
ITEMNAME_106	きちょうなホネ
ITEMNAME_107	ひかりのいし
ITEMNAME_108	やみのいし
ITEMNAME_109	めざめいし
ITEMNAME_110	まんまるいし
ITEMNAME_111	かなめいし
ITEMNAME_112	はっきんだま
ITEMNAME_113	おちゃ
ITEMNAME_114	？？？
ITEMNAME_115	マチスのサイン
ITEMNAME_116	アクアカセット
ITEMNAME_117	イナズマカセット
ITEMNAME_118	ブレイズカセット
ITEMNAME_119	フリーズカセット
ITEMNAME_120	？？？
ITEMNAME_121	ポケモンボックス
ITEMNAME_122	かいふくポケット
ITEMNAME_123	わざマシンケース
ITEMNAME_124	アメボトル
ITEMNAME_125	きょうかポケット
ITEMNAME_126	おきがえトランク
ITEMNAME_127	ほかくポケット
ITEMNAME_128	バトルポケット
ITEMNAME_129	？？？
ITEMNAME_130	？？？
ITEMNAME_131	？？？
ITEMNAME_132	？？？
ITEMNAME_133	？？？
ITEMNAME_134	ハートスイーツ
ITEMNAME_135	こんごうだま
ITEMNAME_136	しらたま
ITEMNAME_137	はじめてメール
ITEMNAME_138	だいすきメール
ITEMNAME_139	おさそいメール
ITEMNAME_140	かんしゃメール
ITEMNAME_141	しつもんメール
ITEMNAME_142	おすすめメール
ITEMNAME_143	おかえしメール
ITEMNAME_144	ブリッジメールＳ
ITEMNAME_145	ブリッジメールＨ
ITEMNAME_146	ブリッジメールＣ
ITEMNAME_147	ブリッジメールＶ
ITEMNAME_148	ブリッジメールＷ
ITEMNAME_149	クラボのみ
ITEMNAME_150	カゴのみ
ITEMNAME_151	モモンのみ
ITEMNAME_152	チーゴのみ
ITEMNAME_153	ナナシのみ
ITEMNAME_154	ヒメリのみ
ITEMNAME_155	オレンのみ
ITEMNAME_156	キーのみ
ITEMNAME_157	ラムのみ
ITEMNAME_158	オボンのみ
ITEMNAME_159	フィラのみ
ITEMNAME_160	ウイのみ
ITEMNAME_161	マゴのみ
ITEMNAME_162	バンジのみ
ITEMNAME_163	イアのみ
ITEMNAME_164	ズリのみ
ITEMNAME_165	ブリーのみ
ITEMNAME_166	ナナのみ
ITEMNAME_167	セシナのみ
ITEMNAME_168	パイルのみ
ITEMNAME_169	ザロクのみ
ITEMNAME_170	ネコブのみ
ITEMNAME_171	タポルのみ
ITEMNAME_172	ロメのみ
ITEMNAME_173	ウブのみ
ITEMNAME_174	マトマのみ
ITEMNAME_175	モコシのみ
ITEMNAME_176	ゴスのみ
ITEMNAME_177	ラブタのみ
ITEMNAME_178	ノメルのみ
ITEMNAME_179	ノワキのみ
ITEMNAME_180	シーヤのみ
ITEMNAME_181	カイスのみ
ITEMNAME_182	ドリのみ
ITEMNAME_183	ベリブのみ
ITEMNAME_184	オッカのみ
ITEMNAME_185	イトケのみ
ITEMNAME_186	ソクノのみ
ITEMNAME_187	リンドのみ
ITEMNAME_188	ヤチェのみ
ITEMNAME_189	ヨプのみ
ITEMNAME_190	ビアーのみ
ITEMNAME_191	シュカのみ
ITEMNAME_192	バコウのみ
ITEMNAME_193	ウタンのみ
ITEMNAME_194	タンガのみ
ITEMNAME_195	ヨロギのみ
ITEMNAME_196	カシブのみ
ITEMNAME_197	ハバンのみ
ITEMNAME_198	ナモのみ
ITEMNAME_199	リリバのみ
ITEMNAME_200	ホズのみ
ITEMNAME_201	チイラのみ
ITEMNAME_202	リュガのみ
ITEMNAME_203	カムラのみ
ITEMNAME_204	ヤタピのみ
ITEMNAME_205	ズアのみ
ITEMNAME_206	サンのみ
ITEMNAME_207	スターのみ
ITEMNAME_208	ナゾのみ
ITEMNAME_209	ミクルのみ
ITEMNAME_210	イバンのみ
ITEMNAME_211	ジャポのみ
ITEMNAME_212	レンブのみ
ITEMNAME_213	ひかりのこな
ITEMNAME_214	しろいハーブ
ITEMNAME_215	きょうせいギプス
ITEMNAME_216	がくしゅうそうち
ITEMNAME_217	せんせいのツメ
ITEMNAME_218	やすらぎのすず
ITEMNAME_219	メンタルハーブ
ITEMNAME_220	こだわりハチマキ
ITEMNAME_221	おうじゃのしるし
ITEMNAME_222	ぎんのこな
ITEMNAME_223	おまもりこばん
ITEMNAME_224	きよめのおふだ
ITEMNAME_225	こころのしずく
ITEMNAME_226	しんかいのキバ
ITEMNAME_227	しんかいのウロコ
ITEMNAME_228	けむりだま
ITEMNAME_229	かわらずのいし
ITEMNAME_230	きあいのハチマキ
ITEMNAME_231	しあわせタマゴ
ITEMNAME_232	ピントレンズ
ITEMNAME_233	メタルコート
ITEMNAME_234	たべのこし
ITEMNAME_235	りゅうのウロコ
ITEMNAME_236	でんきだま
ITEMNAME_237	やわらかいすな
ITEMNAME_238	かたいいし
ITEMNAME_239	きせきのタネ
ITEMNAME_240	くろいメガネ
ITEMNAME_241	くろおび
ITEMNAME_242	じしゃく
ITEMNAME_243	しんぴのしずく
ITEMNAME_244	するどいくちばし
ITEMNAME_245	どくバリ
ITEMNAME_246	とけないこおり
ITEMNAME_247	のろいのおふだ
ITEMNAME_248	まがったスプーン
ITEMNAME_249	もくたん
ITEMNAME_250	りゅうのキバ
ITEMNAME_251	シルクのスカーフ
ITEMNAME_252	アップグレード
ITEMNAME_253	かいがらのすず
ITEMNAME_254	うしおのおこう
ITEMNAME_255	のんきのおこう
ITEMNAME_256	ラッキーパンチ
ITEMNAME_257	メタルパウダー
ITEMNAME_258	ふといホネ
ITEMNAME_259	ながねぎ
ITEMNAME_260	あかいバンダナ
ITEMNAME_261	あおいバンダナ
ITEMNAME_262	ピンクのバンダナ
ITEMNAME_263	みどりのバンダナ
ITEMNAME_264	きいろのバンダナ
ITEMNAME_265	こうかくレンズ
ITEMNAME_266	ちからのハチマキ
ITEMNAME_267	ものしりメガネ
ITEMNAME_268	たつじんのおび
ITEMNAME_269	ひかりのねんど
ITEMNAME_270	いのちのたま
ITEMNAME_271	パワフルハーブ
ITEMNAME_272	どくどくだま
ITEMNAME_273	かえんだま
ITEMNAME_274	スピードパウダー
ITEMNAME_275	きあいのタスキ
ITEMNAME_276	フォーカスレンズ
ITEMNAME_277	メトロノーム
ITEMNAME_278	くろいてっきゅう
ITEMNAME_279	こうこうのしっぽ
ITEMNAME_280	あかいいと
ITEMNAME_281	くろいヘドロ
ITEMNAME_282	つめたいいわ
ITEMNAME_283	さらさらいわ
ITEMNAME_284	あついいわ
ITEMNAME_285	しめったいわ
ITEMNAME_286	ねばりのかぎづめ
ITEMNAME_287	こだわりスカーフ
ITEMNAME_288	くっつきバリ
ITEMNAME_289	パワーリスト
ITEMNAME_290	パワーベルト
ITEMNAME_291	パワーレンズ
ITEMNAME_292	パワーバンド
ITEMNAME_293	パワーアンクル
ITEMNAME_294	パワーウエイト
ITEMNAME_295	きれいなぬけがら
ITEMNAME_296	おおきなねっこ
ITEMNAME_297	こだわりメガネ
ITEMNAME_298	ひのたまプレート
ITEMNAME_299	しずくプレート
ITEMNAME_300	いかずちプレート
ITEMNAME_301	みどりのプレート
ITEMNAME_302	つららのプレート
ITEMNAME_303	こぶしのプレート
ITEMNAME_304	もうどくプレート
ITEMNAME_305	だいちのプレート
ITEMNAME_306	あおぞらプレート
ITEMNAME_307	ふしぎのプレート
ITEMNAME_308	たまむしプレート
ITEMNAME_309	がんせきプレート
ITEMNAME_310	もののけプレート
ITEMNAME_311	りゅうのプレート
ITEMNAME_312	こわもてプレート
ITEMNAME_313	こうてつプレート
ITEMNAME_314	あやしいおこう
ITEMNAME_315	がんせきおこう
ITEMNAME_316	まんぷくおこう
ITEMNAME_317	さざなみのおこう
ITEMNAME_318	おはなのおこう
ITEMNAME_319	こううんのおこう
ITEMNAME_320	きよめのおこう
ITEMNAME_321	プロテクター
ITEMNAME_322	エレキブースター
ITEMNAME_323	マグマブースター
ITEMNAME_324	あやしいパッチ
ITEMNAME_325	れいかいのぬの
ITEMNAME_326	するどいツメ
ITEMNAME_327	するどいキバ
ITEMNAME_328	わざマシン０１
ITEMNAME_329	わざマシン０２
ITEMNAME_330	わざマシン０３
ITEMNAME_331	わざマシン０４
ITEMNAME_332	わざマシン０５
ITEMNAME_333	わざマシン０６
ITEMNAME_334	わざマシン０７
ITEMNAME_335	わざマシン０８
ITEMNAME_336	わざマシン０９
ITEMNAME_337	わざマシン１０
ITEMNAME_338	わざマシン１１
ITEMNAME_339	わざマシン１２
ITEMNAME_340	わざマシン１３
ITEMNAME_341	わざマシン１４
ITEMNAME_342	わざマシン１５
ITEMNAME_343	わざマシン１６
ITEMNAME_344	わざマシン１７
ITEMNAME_345	わざマシン１８
ITEMNAME_346	わざマシン１９
ITEMNAME_347	わざマシン２０
ITEMNAME_348	わざマシン２１
ITEMNAME_349	わざマシン２２
ITEMNAME_350	わざマシン２３
ITEMNAME_351	わざマシン２４
ITEMNAME_352	わざマシン２５
ITEMNAME_353	わざマシン２６
ITEMNAME_354	わざマシン２７
ITEMNAME_355	わざマシン２８
ITEMNAME_356	わざマシン２９
