bag.dat
msg_ui_bag_okodukai_00	しょじきん
ITEMNAME_619	わざマシン９４
ITEMNAME_620	わざマシン９５
ITEMNAME_621	ライブキャスター
ITEMNAME_622	ゴッドストーン
ITEMNAME_623	はいたつぶつ１
ITEMNAME_624	はいたつぶつ２
ITEMNAME_625	はいたつぶつ３
ITEMNAME_626	ライブキャスター
ITEMNAME_627	メダルボックス
ITEMNAME_628	いでんしのくさび
ITEMNAME_629	いでんしのくさび
ITEMNAME_630	きょかしょう
ITEMNAME_631	まるいおまもり
ITEMNAME_632	ひかるおまもり
ITEMNAME_633	プラズマカード
ITEMNAME_634	よごれたハンカチ
ITEMNAME_635	アクロママシーン
ITEMNAME_636	わすれもの
ITEMNAME_637	わすれもの
ITEMNAME_638	うつしかがみ
ITEMNAME_639	じゃくてんほけん
ITEMNAME_640	とつげきチョッキ
ITEMNAME_641	ホロキャスター
ITEMNAME_642	はかせのてがみ
ITEMNAME_643	ローラースケート
ITEMNAME_644	せいれいプレート
ITEMNAME_645	とくせいカプセル
ITEMNAME_646	ホイップポップ
ITEMNAME_647	においぶくろ
ITEMNAME_648	ひかりごけ
ITEMNAME_649	ゆきだま
ITEMNAME_650	ぼうじんゴーグル
ITEMNAME_651	ポケモンのふえ
ITEMNAME_652	たわわこやし
ITEMNAME_653	びっくりこやし
ITEMNAME_654	ぐんぐんこやし
ITEMNAME_655	とんでもこやし
ITEMNAME_656	ゲンガナイト
ITEMNAME_657	サーナイトナイト
ITEMNAME_658	デンリュウナイト
ITEMNAME_659	フシギバナイト
ITEMNAME_660	リザードナイトＸ
ITEMNAME_661	カメックスナイト
ITEMNAME_662	ミュウツナイトＸ
ITEMNAME_663	ミュウツナイトＹ
ITEMNAME_664	バシャーモナイト
ITEMNAME_665	チャーレムナイト
ITEMNAME_666	ヘルガナイト
ITEMNAME_667	ボスゴドラナイト
ITEMNAME_668	ジュペッタナイト
ITEMNAME_669	バンギラスナイト
ITEMNAME_670	ハッサムナイト
ITEMNAME_671	カイロスナイト
ITEMNAME_672	プテラナイト
ITEMNAME_673	ルカリオナイト
ITEMNAME_674	ユキノオナイト
ITEMNAME_675	ガルーラナイト
ITEMNAME_676	ギャラドスナイト
ITEMNAME_677	アブソルナイト
ITEMNAME_678	リザードナイトＹ
ITEMNAME_679	フーディナイト
ITEMNAME_680	ヘラクロスナイト
ITEMNAME_681	クチートナイト
ITEMNAME_682	ライボルトナイト
ITEMNAME_683	ガブリアスナイト
ITEMNAME_684	ラティアスナイト
ITEMNAME_685	ラティオスナイト
ITEMNAME_686	ロゼルのみ
ITEMNAME_687	アッキのみ
ITEMNAME_688	タラプのみ
ITEMNAME_689	ハスボーじょうろ
ITEMNAME_690	わざマシン９６
ITEMNAME_691	わざマシン９７
ITEMNAME_692	わざマシン９８
ITEMNAME_693	わざマシン９９
ITEMNAME_694	わざマシン１００
ITEMNAME_695	はつでんしょパス
ITEMNAME_696	メガリング
ITEMNAME_697	すごそうないし
ITEMNAME_698	ありふれたいし
ITEMNAME_699	バーゲンチケット
ITEMNAME_700	エレベータのキー
ITEMNAME_701	ＴＭＶパス
ITEMNAME_702	カロスエンブレム
ITEMNAME_703	たんけんこころえ
ITEMNAME_704	ふしぎなおきもの
ITEMNAME_705	レンズケース
ITEMNAME_706	コスメポーチ
ITEMNAME_707	いしょうトランク
ITEMNAME_708	ミアレガレット
ITEMNAME_709	シャラサブレ
ITEMNAME_710	アゴのカセキ
ITEMNAME_711	ヒレのカセキ
ITEMNAME_712	ハンサムチケット
ITEMNAME_713	じてんしゃ
ITEMNAME_714	ホロキャスター
ITEMNAME_715	ようせいジュエル
ITEMNAME_716	メガチャーム
ITEMNAME_717	メガグローブ
ITEMNAME_718	マッハじてんしゃ
ITEMNAME_719	ダートじてんしゃ
ITEMNAME_720	ホエルコじょうろ
ITEMNAME_721	デボンのにもつ
ITEMNAME_722	はいぶくろ
ITEMNAME_723	ちかのカギ
ITEMNAME_724	ポロックキット
ITEMNAME_725	ダイゴへのてがみ
ITEMNAME_726	むげんのチケット
ITEMNAME_727	たんちき
ITEMNAME_728	ゴーゴーゴーグル
ITEMNAME_729	いんせき
ITEMNAME_730	１ごうしつのカギ
ITEMNAME_731	２ごうしつのカギ
ITEMNAME_732	４ごうしつのカギ
ITEMNAME_733	６ごうしつのカギ
ITEMNAME_734	そうこのカギ
ITEMNAME_735	デボンスコープ
ITEMNAME_736	ふねのチケット
ITEMNAME_737	ひでんマシン０７
ITEMNAME_738	デボンボンベ
ITEMNAME_739	ライブスーツ
ITEMNAME_740	ライブドレス
ITEMNAME_741	マグマスーツ
ITEMNAME_742	アクアスーツ
ITEMNAME_743	ペアチケット
ITEMNAME_744	メガバングル
ITEMNAME_745	メガペンダント
ITEMNAME_746	メガメガネ
ITEMNAME_747	メガイカリ
ITEMNAME_748	メガラペルピン
ITEMNAME_749	メガティアラ
ITEMNAME_750	メガアンクレット
ITEMNAME_751	いんせき
ITEMNAME_752	ラグラージナイト
ITEMNAME_753	ジュカインナイト
ITEMNAME_754	ヤミラミナイト
ITEMNAME_755	チルタリスナイト
ITEMNAME_756	エルレイドナイト
ITEMNAME_757	タブンネナイト
ITEMNAME_758	メタグロスナイト
ITEMNAME_759	サメハダナイト
ITEMNAME_760	ヤドランナイト
ITEMNAME_761	ハガネールナイト
ITEMNAME_762	ピジョットナイト
ITEMNAME_763	オニゴーリナイト
ITEMNAME_764	ディアンシナイト
ITEMNAME_765	いましめのツボ
ITEMNAME_766	メガブレス
ITEMNAME_767	バクーダナイト
ITEMNAME_768	ミミロップナイト
ITEMNAME_769	ボーマンダナイト
ITEMNAME_770	スピアナイト
ITEMNAME_771	いんせき
ITEMNAME_772	いんせき
ITEMNAME_773	キーストーン
ITEMNAME_774	いんせきのかけら
ITEMNAME_775	むげんのふえ
ITEMNAME_776	ノーマルＺ
ITEMNAME_777	ホノオＺ
ITEMNAME_778	ミズＺ
ITEMNAME_779	デンキＺ
ITEMNAME_780	クサＺ
ITEMNAME_781	コオリＺ
ITEMNAME_782	カクトウＺ
ITEMNAME_783	ドクＺ
ITEMNAME_784	ジメンＺ
ITEMNAME_785	ヒコウＺ
ITEMNAME_786	エスパーＺ
ITEMNAME_787	ムシＺ
ITEMNAME_788	イワＺ
ITEMNAME_789	ゴーストＺ
ITEMNAME_790	ドラゴンＺ
ITEMNAME_791	アクＺ
ITEMNAME_792	ハガネＺ
ITEMNAME_793	フェアリーＺ
ITEMNAME_794	ピカチュウＺ
ITEMNAME_795	ぎんのおうかん
ITEMNAME_796	きんのおうかん
ITEMNAME_797	Ｚリング
ITEMNAME_798	ジュナイパーＺ
ITEMNAME_799	ガオガエンＺ
ITEMNAME_800	アシレーヌＺ
ITEMNAME_801	カプＺ
ITEMNAME_802	マーシャドーＺ
ITEMNAME_803	アロライＺ
ITEMNAME_804	カビゴンＺ
ITEMNAME_805	イーブイＺ
ITEMNAME_806	ミュウＺ
ITEMNAME_807	ノーマルＺ
ITEMNAME_808	ホノオＺ
ITEMNAME_809	ミズＺ
ITEMNAME_810	デンキＺ
ITEMNAME_811	クサＺ
ITEMNAME_812	コオリＺ
ITEMNAME_813	カクトウＺ
ITEMNAME_814	ドクＺ
ITEMNAME_815	ジメンＺ
ITEMNAME_816	ヒコウＺ
ITEMNAME_817	エスパーＺ
ITEMNAME_818	ムシＺ
ITEMNAME_819	イワＺ
ITEMNAME_820	ゴーストＺ
ITEMNAME_821	ドラゴンＺ
ITEMNAME_822	アクＺ
ITEMNAME_823	ハガネＺ
ITEMNAME_824	フェアリーＺ
ITEMNAME_825	ピカチュウＺ
ITEMNAME_826	ジュナイパーＺ
ITEMNAME_827	ガオガエンＺ
ITEMNAME_828	アシレーヌＺ
ITEMNAME_829	カプＺ
ITEMNAME_830	マーシャドーＺ
ITEMNAME_831	アロライＺ
ITEMNAME_832	カビゴンＺ
ITEMNAME_833	イーブイＺ
ITEMNAME_834	ミュウＺ
ITEMNAME_835	サトピカＺ
ITEMNAME_836	サトピカＺ
ITEMNAME_837	？？？
ITEMNAME_838	？？？
ITEMNAME_839	？？？
ITEMNAME_840	？？？
ITEMNAME_841	ざいりょうぶくろ
ITEMNAME_842	つりざお
ITEMNAME_843	はかせのふくめん
ITEMNAME_844	フェスチケット
ITEMNAME_845	かがやくいし
ITEMNAME_846	ビビリだま
ITEMNAME_847	ジガルデキューブ
ITEMNAME_848	？？？
ITEMNAME_849	こおりのいし
ITEMNAME_850	ライドギア
ITEMNAME_851	ウルトラボール
ITEMNAME_852	おおきいマラサダ
ITEMNAME_853	くれないのミツ
ITEMNAME_854	やまぶきのミツ
ITEMNAME_855	うすもものミツ
ITEMNAME_856	むらさきのミツ
ITEMNAME_857	たいようのふえ
ITEMNAME_858	つきのふえ
ITEMNAME_859	？？？
ITEMNAME_860	あやしいカード
ITEMNAME_861	ぎんのズリのみ
ITEMNAME_862	きんのズリのみ
ITEMNAME_863	ぎんのナナのみ
ITEMNAME_864	きんのナナのみ
ITEMNAME_865	ぎんのパイルのみ
ITEMNAME_866	きんのパイルのみ
ITEMNAME_867	？？？
ITEMNAME_868	？？？
ITEMNAME_869	？？？
ITEMNAME_870	？？？
ITEMNAME_871	？？？
ITEMNAME_872	ひみつのカギ
ITEMNAME_873	ふねのチケット
ITEMNAME_874	シルフスコープ
ITEMNAME_875	おとどけもの
ITEMNAME_876	カードキー
ITEMNAME_877	きんのいれば
ITEMNAME_878	エレベータのカギ
ITEMNAME_879	グランドコート
ITEMNAME_880	ぼうごパット
ITEMNAME_881	エレキシード
ITEMNAME_882	サイコシード
ITEMNAME_883	ミストシード
ITEMNAME_884	グラスシード
ITEMNAME_885	のびたバネ
ITEMNAME_886	チョークいし
ITEMNAME_887	ビーだま
ITEMNAME_888	かたっぽピアス
ITEMNAME_889	うみべのガラス
ITEMNAME_890	きんのはっぱ
ITEMNAME_891	ぎんのはっぱ
ITEMNAME_892	ピカピカだんご
ITEMNAME_893	なんごくかいがら
ITEMNAME_894	このはのおてがみ
ITEMNAME_895	このはのおてがみ
ITEMNAME_896	ちいさなはなたば
ITEMNAME_897	？？？
ITEMNAME_898	？？？
ITEMNAME_899	？？？
ITEMNAME_900	むしよせコロン
ITEMNAME_901	シルバーコロン
ITEMNAME_902	ゴールドコロン
ITEMNAME_903	ニビあられ
ITEMNAME_904	ファイトメモリ
ITEMNAME_905	フライングメモリ
ITEMNAME_906	ポイズンメモリ
ITEMNAME_907	グラウンドメモリ
ITEMNAME_908	ロックメモリ
ITEMNAME_909	バグメモリ
ITEMNAME_910	ゴーストメモリ
ITEMNAME_911	スチールメモリ
ITEMNAME_912	ファイヤーメモリ
ITEMNAME_913	ウオーターメモリ
ITEMNAME_914	グラスメモリ
ITEMNAME_915	エレクトロメモリ
ITEMNAME_916	サイキックメモリ
ITEMNAME_917	アイスメモリ
ITEMNAME_918	ドラゴンメモリ
ITEMNAME_919	ダークメモリ
ITEMNAME_920	フェアリーメモリ
ITEMNAME_921	ソルガレオＺ
ITEMNAME_922	ルナアーラＺ
ITEMNAME_923	ウルトラネクロＺ
ITEMNAME_924	ミミッキュＺ
ITEMNAME_925	ルガルガンＺ
ITEMNAME_926	ジャラランガＺ
ITEMNAME_927	ソルガレオＺ
ITEMNAME_928	ルナアーラＺ
ITEMNAME_929	ウルトラネクロＺ
ITEMNAME_930	ミミッキュＺ
ITEMNAME_931	ルガルガンＺ
ITEMNAME_932	ジャラランガＺ
ITEMNAME_933	Ｚパワーリング
ITEMNAME_934	ももいろはなびら
ITEMNAME_935	だいだいはなびら
ITEMNAME_936	あおのはなびら
ITEMNAME_937	あかのはなびら
ITEMNAME_938	みどりのはなびら
ITEMNAME_939	きいろのはなびら
ITEMNAME_940	むらさきはなびら
ITEMNAME_941	にじいろのはな
ITEMNAME_942	だいだいバッジ
ITEMNAME_943	ネクロプラスソル
ITEMNAME_944	ネクロプラスルナ
ITEMNAME_945	ネクロプラスソル
ITEMNAME_946	ネクロプラスルナ
ITEMNAME_947	イリマノーマルＺ
ITEMNAME_948	のこされたボール
ITEMNAME_949	タマゴふかポン
ITEMNAME_950	やすうりポン
ITEMNAME_951	おこづかいポン
ITEMNAME_952	けいけんポン
ITEMNAME_953	なつきポン
ITEMNAME_954	みっけポン
ITEMNAME_955	かくれポン
ITEMNAME_956	ＨＰかいふくポン
ITEMNAME_957	ＰＰかいふくポン
ITEMNAME_958	おうえんポン
ITEMNAME_959	つかまえポン
ITEMNAME_960	げんきのアメ
ITEMNAME_961	ちからのアメ
ITEMNAME_962	まもりのアメ
ITEMNAME_963	ちしきのアメ
ITEMNAME_964	こころのアメ
ITEMNAME_965	はやさのアメ
ITEMNAME_966	げんきのアメＬ
ITEMNAME_967	ちからのアメＬ
ITEMNAME_968	まもりのアメＬ
ITEMNAME_969	ちしきのアメＬ
ITEMNAME_970	こころのアメＬ
ITEMNAME_971	はやさのアメＬ
ITEMNAME_972	げんきのアメＸＬ
ITEMNAME_973	ちからのアメＸＬ
ITEMNAME_974	まもりのアメＸＬ
ITEMNAME_975	ちしきのアメＸＬ
ITEMNAME_976	こころのアメＸＬ
ITEMNAME_977	はやさのアメＸＬ
ITEMNAME_978	フシギダネのアメ
ITEMNAME_979	ヒトカゲのアメ
ITEMNAME_980	ゼニガメのアメ
ITEMNAME_981	キャタピーのアメ
ITEMNAME_982	ビードルのアメ
ITEMNAME_983	ポッポのアメ
ITEMNAME_984	コラッタのアメ
ITEMNAME_985	オニスズメのアメ
ITEMNAME_986	アーボのアメ
ITEMNAME_987	ピカチュウのアメ
ITEMNAME_988	サンドのアメ
ITEMNAME_989	ニドラン♀のアメ
ITEMNAME_990	ニドラン♂のアメ
ITEMNAME_991	ピッピのアメ
ITEMNAME_992	ロコンのアメ
ITEMNAME_993	プリンのアメ
ITEMNAME_994	ズバットのアメ
ITEMNAME_995	ナゾノクサのアメ
ITEMNAME_996	パラスのアメ
ITEMNAME_997	コンパンのアメ
ITEMNAME_998	ディグダのアメ
ITEMNAME_999	ニャースのアメ
ITEMNAME_1000	コダックのアメ
ITEMNAME_1001	マンキーのアメ
ITEMNAME_1002	ガーディのアメ
ITEMNAME_1003	ニョロモのアメ
ITEMNAME_1004	ケーシィのアメ
ITEMNAME_1005	ワンリキーのアメ
ITEMNAME_1006	マダツボミのアメ
ITEMNAME_1007	メノクラゲのアメ
ITEMNAME_1008	イシツブテのアメ
ITEMNAME_1009	ポニータのアメ
ITEMNAME_1010	ヤドンのアメ
ITEMNAME_1011	コイルのアメ
ITEMNAME_1012	カモネギのアメ
ITEMNAME_1013	ドードーのアメ
ITEMNAME_1014	パウワウのアメ
ITEMNAME_1015	ベトベターのアメ
ITEMNAME_1016	シェルダーのアメ
ITEMNAME_1017	ゴースのアメ
ITEMNAME_1018	イワークのアメ
ITEMNAME_1019	スリープのアメ
ITEMNAME_1020	クラブのアメ
ITEMNAME_1021	ビリリダマのアメ
ITEMNAME_1022	タマタマのアメ
ITEMNAME_1023	カラカラのアメ
ITEMNAME_1024	サワムラーのアメ
ITEMNAME_1025	エビワラーのアメ
ITEMNAME_1026	ベロリンガのアメ
ITEMNAME_1027	ドガースのアメ
ITEMNAME_1028	サイホーンのアメ
ITEMNAME_1029	ラッキーのアメ
ITEMNAME_1030	モンジャラのアメ
ITEMNAME_1031	ガルーラのアメ
ITEMNAME_1032	タッツーのアメ
ITEMNAME_1033	トサキントのアメ
ITEMNAME_1034	ヒトデマンのアメ
ITEMNAME_1035	バリヤードのアメ
ITEMNAME_1036	ストライクのアメ
ITEMNAME_1037	ルージュラのアメ
ITEMNAME_1038	エレブーのアメ
ITEMNAME_1039	カイロスのアメ
ITEMNAME_1040	ケンタロスのアメ
ITEMNAME_1041	コイキングのアメ
ITEMNAME_1042	ラプラスのアメ
ITEMNAME_1043	メタモンのアメ
ITEMNAME_1044	イーブイのアメ
ITEMNAME_1045	ポリゴンのアメ
ITEMNAME_1046	オムナイトのアメ
ITEMNAME_1047	カブトのアメ
ITEMNAME_1048	プテラのアメ
ITEMNAME_1049	カビゴンのアメ
ITEMNAME_1050	フリーザーのアメ
ITEMNAME_1051	サンダーのアメ
ITEMNAME_1052	ファイヤーのアメ
ITEMNAME_1053	ミニリュウのアメ
ITEMNAME_1054	ミュウツーのアメ
ITEMNAME_1055	ミュウのアメ
ITEMNAME_1056	メルタンのアメ
ITEMNAME_1057	ブーバーのアメ
ITEMNAME_1058	？？？
ITEMNAME_1059	？？？
ITEMNAME_1060	？？？
ITEMNAME_1061	？？？
ITEMNAME_1062	？？？
ITEMNAME_1063	？？？
ITEMNAME_1064	？？？
ITEMNAME_1065	？？？
ITEMNAME_1066	？？？
ITEMNAME_1067	？？？
ITEMNAME_1068	？？？
ITEMNAME_1069	？？？
ITEMNAME_1070	？？？
ITEMNAME_1071	？？？
ITEMNAME_1072	？？？
ITEMNAME_1073	？？？
ITEMNAME_1074	すいせんじょう
ITEMNAME_1075	ポケモンボックス
ITEMNAME_1076	ねがいぼし
ITEMNAME_1077	ダイマックスＢ
ITEMNAME_1078	？？？
ITEMNAME_1079	？？？
ITEMNAME_1080	つりざお
ITEMNAME_1081	ロトムじてんしゃ
ITEMNAME_1082	？？？
ITEMNAME_1083	？？？
ITEMNAME_1084	あらびきヴルスト
ITEMNAME_1085	ボブのかんづめ
ITEMNAME_1086	バックのかんづめ
ITEMNAME_1087	マメかん
ITEMNAME_1088	しょくパン
ITEMNAME_1089	パスタ
ITEMNAME_1090	キノコパック
ITEMNAME_1091	しっぽのくんせい
ITEMNAME_1092	ふといながねぎ
ITEMNAME_1093	とくせんリンゴ
ITEMNAME_1094	かぼそいホネ
ITEMNAME_1095	ポテトパック
ITEMNAME_1096	みずべのハーブ
ITEMNAME_1097	やさいパック
ITEMNAME_1098	フライもりあわせ
ITEMNAME_1099	ゆでタマゴ
ITEMNAME_1100	キャンプセット
ITEMNAME_1101	？？？
ITEMNAME_1102	？？？
ITEMNAME_1103	くちたけん
ITEMNAME_1104	くちたたて
ITEMNAME_1105	カセキのトリ
ITEMNAME_1106	カセキのサカナ
ITEMNAME_1107	カセキのリュウ
ITEMNAME_1108	カセキのクビナガ
ITEMNAME_1109	いちごアメざいく
ITEMNAME_1110	ハートアメざいく
ITEMNAME_1111	ベリーアメざいく
ITEMNAME_1112	よつばアメざいく
ITEMNAME_1113	おはなアメざいく
ITEMNAME_1114	スターアメざいく
ITEMNAME_1115	リボンアメざいく
ITEMNAME_1116	あまーいりんご
ITEMNAME_1117	すっぱいりんご
ITEMNAME_1118	のどスプレー
ITEMNAME_1119	だっしゅつパック
ITEMNAME_1120	あつぞこブーツ
ITEMNAME_1121	からぶりほけん
ITEMNAME_1122	ルームサービス
ITEMNAME_1123	ばんのうがさ
ITEMNAME_1124	けいけんアメＸＳ
ITEMNAME_1125	けいけんアメＳ
ITEMNAME_1126	けいけんアメＭ
ITEMNAME_1127	けいけんアメＬ
ITEMNAME_1128	けいけんアメＸＬ
ITEMNAME_1129	ダイマックスアメ
ITEMNAME_1130	わざレコード００
ITEMNAME_1131	わざレコード０１
ITEMNAME_1132	わざレコード０２
ITEMNAME_1133	わざレコード０３
ITEMNAME_1134	わざレコード０４
ITEMNAME_1135	わざレコード０５
ITEMNAME_1136	わざレコード０６
ITEMNAME_1137	わざレコード０７
ITEMNAME_1138	わざレコード０８
ITEMNAME_1139	わざレコード０９
ITEMNAME_1140	わざレコード１０
ITEMNAME_1141	わざレコード１１
ITEMNAME_1142	わざレコード１２
ITEMNAME_1143	わざレコード１３
ITEMNAME_1144	わざレコード１４
ITEMNAME_1145	わざレコード１５
ITEMNAME_1146	わざレコード１６
ITEMNAME_1147	わざレコード１７
ITEMNAME_1148	わざレコード１８
ITEMNAME_1149	わざレコード１９
ITEMNAME_1150	わざレコード２０
ITEMNAME_1151	わざレコード２１
ITEMNAME_1152	わざレコード２２
ITEMNAME_1153	わざレコード２３
ITEMNAME_1154	わざレコード２４
ITEMNAME_1155	わざレコード２５
ITEMNAME_1156	わざレコード２６
ITEMNAME_1157	わざレコード２７
ITEMNAME_1158	わざレコード２８
ITEMNAME_1159	わざレコード２９
ITEMNAME_1160	わざレコード３０
ITEMNAME_1161	わざレコード３１
ITEMNAME_1162	わざレコード３２
ITEMNAME_1163	わざレコード３３
ITEMNAME_1164	わざレコード３４
ITEMNAME_1165	わざレコード３５
ITEMNAME_1166	わざレコード３６
ITEMNAME_1167	わざレコード３７
ITEMNAME_1168	わざレコード３８
ITEMNAME_1169	わざレコード３９
ITEMNAME_1170	わざレコード４０
ITEMNAME_1171	わざレコード４１
ITEMNAME_1172	わざレコード４２
ITEMNAME_1173	わざレコード４３
ITEMNAME_1174	わざレコード４４
ITEMNAME_1175	わざレコード４５
ITEMNAME_1176	わざレコード４６
ITEMNAME_1177	わざレコード４７
ITEMNAME_1178	わざレコード４８
ITEMNAME_1179	わざレコード４９
ITEMNAME_1180	わざレコード５０
ITEMNAME_1181	わざレコード５１
ITEMNAME_1182	わざレコード５２
ITEMNAME_1183	わざレコード５３
ITEMNAME_1184	わざレコード５４
ITEMNAME_1185	わざレコード５５
ITEMNAME_1186	わざレコード５６
ITEMNAME_1187	わざレコード５７
ITEMNAME_1188	わざレコード５８
ITEMNAME_1189	わざレコード５９
ITEMNAME_1190	わざレコード６０
ITEMNAME_1191	わざレコード６１
ITEMNAME_1192	わざレコード６２
ITEMNAME_1193	わざレコード６３
ITEMNAME_1194	わざレコード６４
ITEMNAME_1195	わざレコード６５
ITEMNAME_1196	わざレコード６６
ITEMNAME_1197	わざレコード６７
ITEMNAME_1198	わざレコード６８
ITEMNAME_1199	わざレコード６９
ITEMNAME_1200	わざレコード７０
ITEMNAME_1201	わざレコード７１
ITEMNAME_1202	わざレコード７２
ITEMNAME_1203	わざレコード７３
ITEMNAME_1204	わざレコード７４
ITEMNAME_1205	わざレコード７５
ITEMNAME_1206	わざレコード７６
ITEMNAME_1207	わざレコード７７
ITEMNAME_1208	わざレコード７８
ITEMNAME_1209	わざレコード７９
ITEMNAME_1210	わざレコード８０
ITEMNAME_1211	わざレコード８１
ITEMNAME_1212	わざレコード８２
ITEMNAME_1213	わざレコード８３
ITEMNAME_1214	わざレコード８４
ITEMNAME_1215	わざレコード８５
ITEMNAME_1216	わざレコード８６
ITEMNAME_1217	わざレコード８７
ITEMNAME_1218	わざレコード８８
ITEMNAME_1219	わざレコード８９
ITEMNAME_1220	わざレコード９０
ITEMNAME_1221	わざレコード９１
ITEMNAME_1222	わざレコード９２
ITEMNAME_1223	わざレコード９３
ITEMNAME_1224	わざレコード９４
ITEMNAME_1225	わざレコード９５
ITEMNAME_1226	わざレコード９６
ITEMNAME_1227	わざレコード９７
ITEMNAME_1228	わざレコード９８
ITEMNAME_1229	わざレコード９９
ITEMNAME_1230	わざマシン００
ITEMNAME_1231	さみしがりミント
ITEMNAME_1232	いじっぱりミント
ITEMNAME_1233	やんちゃミント
ITEMNAME_1234	ゆうかんミント
ITEMNAME_1235	ずぶといミント
ITEMNAME_1236	わんぱくミント
ITEMNAME_1237	のうてんきミント
ITEMNAME_1238	のんきミント
ITEMNAME_1239	ひかえめミント
ITEMNAME_1240	おっとりミント
ITEMNAME_1241	うっかりやミント
ITEMNAME_1242	れいせいミント
ITEMNAME_1243	おだやかミント
ITEMNAME_1244	おとなしいミント
ITEMNAME_1245	しんちょうミント
ITEMNAME_1246	なまいきミント
ITEMNAME_1247	おくびょうミント
ITEMNAME_1248	せっかちミント
ITEMNAME_1249	ようきミント
ITEMNAME_1250	むじゃきミント
ITEMNAME_1251	まじめミント
ITEMNAME_1252	ねがいのかたまり
ITEMNAME_1253	われたポット
ITEMNAME_1254	かけたポット
ITEMNAME_1255	すごいみみせん
ITEMNAME_1256	フサパック
ITEMNAME_1257	モーモーチーズ
ITEMNAME_1258	スパイスセット
ITEMNAME_1259	しんせんクリーム
ITEMNAME_1260	レトルトカレー
ITEMNAME_1261	ヤシのミルク
ITEMNAME_1262	レトルトめん
ITEMNAME_1263	レトルトバーグ
ITEMNAME_1264	キョダイパウダー
ITEMNAME_1265	ねがいのかけら
ITEMNAME_1266	ロトムじてんしゃ
ITEMNAME_1267	ゆれないおまもり
ITEMNAME_1268	？？？
ITEMNAME_1269	ふるびたてがみ
ITEMNAME_1270	バンドのサイン
ITEMNAME_1271	ソニアのほん
ITEMNAME_1272	？？？
ITEMNAME_1273	？？？
ITEMNAME_1274	？？？
ITEMNAME_1275	？？？
ITEMNAME_1276	？？？
ITEMNAME_1277	？？？
ITEMNAME_1278	ロトムのカタログ
ITEMNAME_1279	★And458
ITEMNAME_1280	★And15
ITEMNAME_1281	★And337
ITEMNAME_1282	★And603
ITEMNAME_1283	★And390
ITEMNAME_1284	★Sgr6879
ITEMNAME_1285	★Sgr6859
ITEMNAME_1286	★Sgr6913
ITEMNAME_1287	★Sgr7348
ITEMNAME_1288	★Sgr7121
ITEMNAME_1289	★Sgr6746
ITEMNAME_1290	★Sgr7194
ITEMNAME_1291	★Sgr7337
ITEMNAME_1292	★Sgr7343
ITEMNAME_1293	★Sgr6812
ITEMNAME_1294	★Sgr7116
ITEMNAME_1295	★Sgr7264
ITEMNAME_1296	★Sgr7597
ITEMNAME_1297	★Del7882
ITEMNAME_1298	★Del7906
ITEMNAME_1299	★Del7852
ITEMNAME_1300	★Psc596
ITEMNAME_1301	★Psc361
ITEMNAME_1302	★Psc510
ITEMNAME_1303	★Psc437
ITEMNAME_1304	★Psc8773
ITEMNAME_1305	★Lep1865
ITEMNAME_1306	★Lep1829
ITEMNAME_1307	★Boo5340
ITEMNAME_1308	★Boo5506
ITEMNAME_1309	★Boo5435
ITEMNAME_1310	★Boo5602
ITEMNAME_1311	★Boo5733
ITEMNAME_1312	★Boo5235
ITEMNAME_1313	★Boo5351
ITEMNAME_1314	★Hya3748
ITEMNAME_1315	★Hya3903
ITEMNAME_1316	★Hya3418
ITEMNAME_1317	★Hya3482
ITEMNAME_1318	★Hya3845
ITEMNAME_1319	★Eri1084
ITEMNAME_1320	★Eri472
ITEMNAME_1321	★Eri1666
ITEMNAME_1322	★Eri897
ITEMNAME_1323	★Eri1231
ITEMNAME_1324	★Eri874
ITEMNAME_1325	★Eri1298
ITEMNAME_1326	★Eri1325
ITEMNAME_1327	★Eri984
ITEMNAME_1328	★Eri1464
ITEMNAME_1329	★Eri1393
ITEMNAME_1330	★Eri850
ITEMNAME_1331	★Tau1409
ITEMNAME_1332	★Tau1457
ITEMNAME_1333	★Tau1165
ITEMNAME_1334	★Tau1791
ITEMNAME_1335	★Tau1910
ITEMNAME_1336	★Tau1346
ITEMNAME_1337	★Tau1373
ITEMNAME_1338	★Tau1412
ITEMNAME_1339	★CMa2491
ITEMNAME_1340	★CMa2693
ITEMNAME_1341	★CMa2294
ITEMNAME_1342	★CMa2827
ITEMNAME_1343	★CMa2282
ITEMNAME_1344	★CMa2618
ITEMNAME_1345	★CMa2657
ITEMNAME_1346	★CMa2646
ITEMNAME_1347	★UMa4905
ITEMNAME_1348	★UMa4301
ITEMNAME_1349	★UMa5191
ITEMNAME_1350	★UMa5054
ITEMNAME_1351	★UMa4295
ITEMNAME_1352	★UMa4660
ITEMNAME_1353	★UMa4554
ITEMNAME_1354	★UMa4069
ITEMNAME_1355	★UMa3569
ITEMNAME_1356	★UMa3323
ITEMNAME_1357	★UMa4033
ITEMNAME_1358	★UMa4377
ITEMNAME_1359	★UMa4375
ITEMNAME_1360	★UMa4518
ITEMNAME_1361	★UMa3594
ITEMNAME_1362	★Vir5056
ITEMNAME_1363	★Vir4825
ITEMNAME_1364	★Vir4932
ITEMNAME_1365	★Vir4540
ITEMNAME_1366	★Vir4689
ITEMNAME_1367	★Vir5338
ITEMNAME_1368	★Vir4910
ITEMNAME_1369	★Vir5315
