bag.dat
msg_ui_bag_okodukai_00	Money
ITEMNAME_657	Gardevoirite
ITEMNAME_658	Ampharosite
ITEMNAME_659	Venusaurite
ITEMNAME_660	Charizardite X
ITEMNAME_661	Blastoisinite
ITEMNAME_662	Mewtwonite X
ITEMNAME_663	Mewtwonite Y
ITEMNAME_664	Blazikenite
ITEMNAME_665	Medichamite
ITEMNAME_666	Houndoominite
ITEMNAME_667	Aggronite
ITEMNAME_668	Banettite
ITEMNAME_669	Tyranitarite
ITEMNAME_670	Scizorite
ITEMNAME_671	Pinsirite
ITEMNAME_672	Aerodactylite
ITEMNAME_673	Lucarionite
ITEMNAME_674	Abomasite
ITEMNAME_675	Kangaskhanite
ITEMNAME_676	Gyaradosite
ITEMNAME_677	Absolite
ITEMNAME_678	Charizardite Y
ITEMNAME_679	Alakazite
ITEMNAME_680	Heracronite
ITEMNAME_681	Mawilite
ITEMNAME_682	Manectite
ITEMNAME_683	Garchompite
ITEMNAME_684	Latiasite
ITEMNAME_685	Latiosite
ITEMNAME_686	Roseli Berry
ITEMNAME_687	Kee Berry
ITEMNAME_688	Maranga Berry
ITEMNAME_689	Sprinklotad
ITEMNAME_690	TM96
ITEMNAME_691	TM97
ITEMNAME_692	TM98
ITEMNAME_693	TM99
ITEMNAME_694	TM100
ITEMNAME_695	Power Plant Pass
ITEMNAME_696	Mega Ring
ITEMNAME_697	Intriguing Stone
ITEMNAME_698	Common Stone
ITEMNAME_699	Discount Coupon
ITEMNAME_700	Elevator Key
ITEMNAME_701	TMV Pass
ITEMNAME_702	Honor of Kalos
ITEMNAME_703	Adventure Guide
ITEMNAME_704	Strange Souvenir
ITEMNAME_705	Lens Case
ITEMNAME_706	Makeup Bag
ITEMNAME_707	Travel Trunk
ITEMNAME_708	Lumiose Galette
ITEMNAME_709	Shalour Sable
ITEMNAME_710	Jaw Fossil
ITEMNAME_711	Sail Fossil
ITEMNAME_712	Looker Ticket
ITEMNAME_713	Bike
ITEMNAME_714	Holo Caster
ITEMNAME_715	Fairy Gem
ITEMNAME_716	Mega Charm
ITEMNAME_717	Mega Glove
ITEMNAME_718	Mach Bike
ITEMNAME_719	Acro Bike
ITEMNAME_720	Wailmer Pail
ITEMNAME_721	Devon Parts
ITEMNAME_722	Soot Sack
ITEMNAME_723	Basement Key
ITEMNAME_724	Pokéblock Kit
ITEMNAME_725	Letter
ITEMNAME_726	Eon Ticket
ITEMNAME_727	Scanner
ITEMNAME_728	Go-Goggles
ITEMNAME_729	Meteorite
ITEMNAME_730	Key to Room 1
ITEMNAME_731	Key to Room 2
ITEMNAME_732	Key to Room 4
ITEMNAME_733	Key to Room 6
ITEMNAME_734	Storage Key
ITEMNAME_735	Devon Scope
ITEMNAME_736	S.S. Ticket
ITEMNAME_737	HM07
ITEMNAME_738	Devon Scuba Gear
ITEMNAME_739	Contest Costume
ITEMNAME_740	Contest Costume
ITEMNAME_741	Magma Suit
ITEMNAME_742	Aqua Suit
ITEMNAME_743	Pair of Tickets
ITEMNAME_744	Mega Bracelet
ITEMNAME_745	Mega Pendant
ITEMNAME_746	Mega Glasses
ITEMNAME_747	Mega Anchor
ITEMNAME_748	Mega Stickpin
ITEMNAME_749	Mega Tiara
ITEMNAME_750	Mega Anklet
ITEMNAME_751	Meteorite
ITEMNAME_752	Swampertite
ITEMNAME_753	Sceptilite
ITEMNAME_754	Sablenite
ITEMNAME_755	Altarianite
ITEMNAME_756	Galladite
ITEMNAME_757	Audinite
ITEMNAME_758	Metagrossite
ITEMNAME_759	Sharpedonite
ITEMNAME_760	Slowbronite
ITEMNAME_761	Steelixite
ITEMNAME_762	Pidgeotite
ITEMNAME_763	Glalitite
ITEMNAME_764	Diancite
ITEMNAME_765	Prison Bottle
ITEMNAME_766	Mega Cuff
ITEMNAME_767	Cameruptite
ITEMNAME_768	Lopunnite
ITEMNAME_769	Salamencite
ITEMNAME_770	Beedrillite
ITEMNAME_771	Meteorite
ITEMNAME_772	Meteorite
ITEMNAME_773	Key Stone
ITEMNAME_774	Meteorite Shard
ITEMNAME_775	Eon Flute
ITEMNAME_776	Normalium Z
ITEMNAME_777	Firium Z
ITEMNAME_778	Waterium Z
ITEMNAME_779	Electrium Z
ITEMNAME_780	Grassium Z
ITEMNAME_781	Icium Z
ITEMNAME_782	Fightinium Z
ITEMNAME_783	Poisonium Z
ITEMNAME_784	Groundium Z
ITEMNAME_785	Flyinium Z
ITEMNAME_786	Psychium Z
ITEMNAME_787	Buginium Z
ITEMNAME_788	Rockium Z
ITEMNAME_789	Ghostium Z
ITEMNAME_790	Dragonium Z
ITEMNAME_791	Darkinium Z
ITEMNAME_792	Steelium Z
ITEMNAME_793	Fairium Z
ITEMNAME_794	Pikanium Z
ITEMNAME_795	Bottle Cap
ITEMNAME_796	Gold Bottle Cap
ITEMNAME_797	Z-Ring
ITEMNAME_798	Decidium Z
ITEMNAME_799	Incinium Z
ITEMNAME_800	Primarium Z
ITEMNAME_801	Tapunium Z
ITEMNAME_802	Marshadium Z
ITEMNAME_803	Aloraichium Z
ITEMNAME_804	Snorlium Z
ITEMNAME_805	Eevium Z
ITEMNAME_806	Mewnium Z
ITEMNAME_807	Normalium Z
ITEMNAME_808	Firium Z
ITEMNAME_809	Waterium Z
ITEMNAME_810	Electrium Z
ITEMNAME_811	Grassium Z
ITEMNAME_812	Icium Z
ITEMNAME_813	Fightinium Z
ITEMNAME_814	Poisonium Z
ITEMNAME_815	Groundium Z
ITEMNAME_816	Flyinium Z
ITEMNAME_817	Psychium Z
ITEMNAME_818	Buginium Z
ITEMNAME_819	Rockium Z
ITEMNAME_820	Ghostium Z
ITEMNAME_821	Dragonium Z
ITEMNAME_822	Darkinium Z
ITEMNAME_823	Steelium Z
ITEMNAME_824	Fairium Z
ITEMNAME_825	Pikanium Z
ITEMNAME_826	Decidium Z
ITEMNAME_827	Incinium Z
ITEMNAME_828	Primarium Z
ITEMNAME_829	Tapunium Z
ITEMNAME_830	Marshadium Z
ITEMNAME_831	Aloraichium Z
ITEMNAME_832	Snorlium Z
ITEMNAME_833	Eevium Z
ITEMNAME_834	Mewnium Z
ITEMNAME_835	Pikashunium Z
ITEMNAME_836	Pikashunium Z
ITEMNAME_837	???
ITEMNAME_838	???
ITEMNAME_839	???
ITEMNAME_840	???
ITEMNAME_841	Forage Bag
ITEMNAME_842	Fishing Rod
ITEMNAME_843	Professor’s Mask
ITEMNAME_844	Festival Ticket
ITEMNAME_845	Sparkling Stone
ITEMNAME_846	Adrenaline Orb
ITEMNAME_847	Zygarde Cube
ITEMNAME_848	???
ITEMNAME_849	Ice Stone
ITEMNAME_850	Ride Pager
ITEMNAME_851	Beast Ball
ITEMNAME_852	Big Malasada
ITEMNAME_853	Red Nectar
ITEMNAME_854	Yellow Nectar
ITEMNAME_855	Pink Nectar
ITEMNAME_856	Purple Nectar
ITEMNAME_857	Sun Flute
ITEMNAME_858	Moon Flute
ITEMNAME_859	???
ITEMNAME_860	Enigmatic Card
ITEMNAME_861	Silver Razz Berry
ITEMNAME_862	Golden Razz Berry
ITEMNAME_863	Silver Nanab Berry
ITEMNAME_864	Golden Nanab Berry
ITEMNAME_865	Silver Pinap Berry
ITEMNAME_866	Golden Pinap Berry
ITEMNAME_867	???
ITEMNAME_868	???
ITEMNAME_869	???
ITEMNAME_870	???
ITEMNAME_871	???
ITEMNAME_872	Secret Key
ITEMNAME_873	S.S. Ticket
ITEMNAME_874	Silph Scope
ITEMNAME_875	Parcel
ITEMNAME_876	Card Key
ITEMNAME_877	Gold Teeth
ITEMNAME_878	Lift Key
ITEMNAME_879	Terrain Extender
ITEMNAME_880	Protective Pads
ITEMNAME_881	Electric Seed
ITEMNAME_882	Psychic Seed
ITEMNAME_883	Misty Seed
ITEMNAME_884	Grassy Seed
ITEMNAME_885	Stretchy Spring
ITEMNAME_886	Chalky Stone
ITEMNAME_887	Marble
ITEMNAME_888	Lone Earring
ITEMNAME_889	Beach Glass
ITEMNAME_890	Gold Leaf
ITEMNAME_891	Silver Leaf
ITEMNAME_892	Polished Mud Ball
ITEMNAME_893	Tropical Shell
ITEMNAME_894	Leaf Letter
ITEMNAME_895	Leaf Letter
ITEMNAME_896	Small Bouquet
ITEMNAME_897	???
ITEMNAME_898	???
ITEMNAME_899	???
ITEMNAME_900	Lure
ITEMNAME_901	Super Lure
ITEMNAME_902	Max Lure
ITEMNAME_903	Pewter Crunchies
ITEMNAME_904	Fighting Memory
ITEMNAME_905	Flying Memory
ITEMNAME_906	Poison Memory
ITEMNAME_907	Ground Memory
ITEMNAME_908	Rock Memory
ITEMNAME_909	Bug Memory
ITEMNAME_910	Ghost Memory
ITEMNAME_911	Steel Memory
ITEMNAME_912	Fire Memory
ITEMNAME_913	Water Memory
ITEMNAME_914	Grass Memory
ITEMNAME_915	Electric Memory
ITEMNAME_916	Psychic Memory
ITEMNAME_917	Ice Memory
ITEMNAME_918	Dragon Memory
ITEMNAME_919	Dark Memory
ITEMNAME_920	Fairy Memory
ITEMNAME_921	Solganium Z
ITEMNAME_922	Lunalium Z
ITEMNAME_923	Ultranecrozium Z
ITEMNAME_924	Mimikium Z
ITEMNAME_925	Lycanium Z
ITEMNAME_926	Kommonium Z
ITEMNAME_927	Solganium Z
ITEMNAME_928	Lunalium Z
ITEMNAME_929	Ultranecrozium Z
ITEMNAME_930	Mimikium Z
ITEMNAME_931	Lycanium Z
ITEMNAME_932	Kommonium Z
ITEMNAME_933	Z-Power Ring
ITEMNAME_934	Pink Petal
ITEMNAME_935	Orange Petal
ITEMNAME_936	Blue Petal
ITEMNAME_937	Red Petal
ITEMNAME_938	Green Petal
ITEMNAME_939	Yellow Petal
ITEMNAME_940	Purple Petal
ITEMNAME_941	Rainbow Flower
ITEMNAME_942	Surge Badge
ITEMNAME_943	N-Solarizer
ITEMNAME_944	N-Lunarizer
ITEMNAME_945	N-Solarizer
ITEMNAME_946	N-Lunarizer
ITEMNAME_947	Ilima Normalium Z
ITEMNAME_948	Left Poké Ball
ITEMNAME_949	Roto Hatch
ITEMNAME_950	Roto Bargain
ITEMNAME_951	Roto Prize Money
ITEMNAME_952	Roto Exp. Points
ITEMNAME_953	Roto Friendship
ITEMNAME_954	Roto Encounter
ITEMNAME_955	Roto Stealth
ITEMNAME_956	Roto HP Restore
ITEMNAME_957	Roto PP Restore
ITEMNAME_958	Roto Boost
ITEMNAME_959	Roto Catch
ITEMNAME_960	Health Candy
ITEMNAME_961	Mighty Candy
ITEMNAME_962	Tough Candy
ITEMNAME_963	Smart Candy
ITEMNAME_964	Courage Candy
ITEMNAME_965	Quick Candy
ITEMNAME_966	Health Candy L
ITEMNAME_967	Mighty Candy L
ITEMNAME_968	Tough Candy L
ITEMNAME_969	Smart Candy L
ITEMNAME_970	Courage Candy L
ITEMNAME_971	Quick Candy L
ITEMNAME_972	Health Candy XL
ITEMNAME_973	Mighty Candy XL
ITEMNAME_974	Tough Candy XL
ITEMNAME_975	Smart Candy XL
ITEMNAME_976	Courage Candy XL
ITEMNAME_977	Quick Candy XL
ITEMNAME_978	Bulbasaur Candy
ITEMNAME_979	Charmander Candy
ITEMNAME_980	Squirtle Candy
ITEMNAME_981	Caterpie Candy
ITEMNAME_982	Weedle Candy
ITEMNAME_983	Pidgey Candy
ITEMNAME_984	Rattata Candy
ITEMNAME_985	Spearow Candy
ITEMNAME_986	Ekans Candy
ITEMNAME_987	Pikachu Candy
ITEMNAME_988	Sandshrew Candy
ITEMNAME_989	Nidoran♀ Candy
ITEMNAME_990	Nidoran♂ Candy
ITEMNAME_991	Clefairy Candy
ITEMNAME_992	Vulpix Candy
ITEMNAME_993	Jigglypuff Candy
ITEMNAME_994	Zubat Candy
ITEMNAME_995	Oddish Candy
ITEMNAME_996	Paras Candy
ITEMNAME_997	Venonat Candy
ITEMNAME_998	Diglett Candy
ITEMNAME_999	Meowth Candy
ITEMNAME_1000	Psyduck Candy
ITEMNAME_1001	Mankey Candy
ITEMNAME_1002	Growlithe Candy
ITEMNAME_1003	Poliwag Candy
ITEMNAME_1004	Abra Candy
ITEMNAME_1005	Machop Candy
ITEMNAME_1006	Bellsprout Candy
ITEMNAME_1007	Tentacool Candy
ITEMNAME_1008	Geodude Candy
ITEMNAME_1009	Ponyta Candy
ITEMNAME_1010	Slowpoke Candy
ITEMNAME_1011	Magnemite Candy
ITEMNAME_1012	Farfetch’d Candy
ITEMNAME_1013	Doduo Candy
ITEMNAME_1014	Seel Candy
ITEMNAME_1015	Grimer Candy
ITEMNAME_1016	Shellder Candy
ITEMNAME_1017	Gastly Candy
ITEMNAME_1018	Onix Candy
ITEMNAME_1019	Drowzee Candy
ITEMNAME_1020	Krabby Candy
ITEMNAME_1021	Voltorb Candy
ITEMNAME_1022	Exeggcute Candy
ITEMNAME_1023	Cubone Candy
ITEMNAME_1024	Hitmonlee Candy
ITEMNAME_1025	Hitmonchan Candy
ITEMNAME_1026	Lickitung Candy
ITEMNAME_1027	Koffing Candy
ITEMNAME_1028	Rhyhorn Candy
ITEMNAME_1029	Chansey Candy
ITEMNAME_1030	Tangela Candy
ITEMNAME_1031	Kangaskhan Candy
ITEMNAME_1032	Horsea Candy
ITEMNAME_1033	Goldeen Candy
ITEMNAME_1034	Staryu Candy
ITEMNAME_1035	Mr. Mime Candy
ITEMNAME_1036	Scyther Candy
ITEMNAME_1037	Jynx Candy
ITEMNAME_1038	Electabuzz Candy
ITEMNAME_1039	Pinsir Candy
ITEMNAME_1040	Tauros Candy
ITEMNAME_1041	Magikarp Candy
ITEMNAME_1042	Lapras Candy
ITEMNAME_1043	Ditto Candy
ITEMNAME_1044	Eevee Candy
ITEMNAME_1045	Porygon Candy
ITEMNAME_1046	Omanyte Candy
ITEMNAME_1047	Kabuto Candy
ITEMNAME_1048	Aerodactyl Candy
ITEMNAME_1049	Snorlax Candy
ITEMNAME_1050	Articuno Candy
ITEMNAME_1051	Zapdos Candy
ITEMNAME_1052	Moltres Candy
ITEMNAME_1053	Dratini Candy
ITEMNAME_1054	Mewtwo Candy
ITEMNAME_1055	Mew Candy
ITEMNAME_1056	Meltan Candy
ITEMNAME_1057	Magmar Candy
ITEMNAME_1058	???
ITEMNAME_1059	???
ITEMNAME_1060	???
ITEMNAME_1061	???
ITEMNAME_1062	???
ITEMNAME_1063	???
ITEMNAME_1064	???
ITEMNAME_1065	???
ITEMNAME_1066	???
ITEMNAME_1067	???
ITEMNAME_1068	???
ITEMNAME_1069	???
ITEMNAME_1070	???
ITEMNAME_1071	???
ITEMNAME_1072	???
ITEMNAME_1073	???
ITEMNAME_1074	Endorsement
ITEMNAME_1075	Pokémon Box Link
ITEMNAME_1076	Wishing Star
ITEMNAME_1077	Dynamax Band
ITEMNAME_1078	???
ITEMNAME_1079	???
ITEMNAME_1080	Fishing Rod
ITEMNAME_1081	Rotom Bike
ITEMNAME_1082	???
ITEMNAME_1083	???
ITEMNAME_1084	Sausages
ITEMNAME_1085	Bob’s Food Tin
ITEMNAME_1086	Bach’s Food Tin
ITEMNAME_1087	Tin of Beans
ITEMNAME_1088	Bread
ITEMNAME_1089	Pasta
ITEMNAME_1090	Mixed Mushrooms
ITEMNAME_1091	Smoke-Poke Tail
ITEMNAME_1092	Large Leek
ITEMNAME_1093	Fancy Apple
ITEMNAME_1094	Brittle Bones
ITEMNAME_1095	Pack of Potatoes
ITEMNAME_1096	Pungent Root
ITEMNAME_1097	Salad Mix
ITEMNAME_1098	Fried Food
ITEMNAME_1099	Boiled Egg
ITEMNAME_1100	Camping Gear
ITEMNAME_1101	???
ITEMNAME_1102	???
ITEMNAME_1103	Rusted Sword
ITEMNAME_1104	Rusted Shield
ITEMNAME_1105	Fossilized Bird
ITEMNAME_1106	Fossilized Fish
ITEMNAME_1107	Fossilized Drake
ITEMNAME_1108	Fossilized Dino
ITEMNAME_1109	Strawberry Sweet
ITEMNAME_1110	Love Sweet
ITEMNAME_1111	Berry Sweet
ITEMNAME_1112	Clover Sweet
ITEMNAME_1113	Flower Sweet
ITEMNAME_1114	Star Sweet
ITEMNAME_1115	Ribbon Sweet
ITEMNAME_1116	Sweet Apple
ITEMNAME_1117	Tart Apple
ITEMNAME_1118	Throat Spray
ITEMNAME_1119	Eject Pack
ITEMNAME_1120	Heavy-Duty Boots
ITEMNAME_1121	Blunder Policy
ITEMNAME_1122	Room Service
ITEMNAME_1123	Utility Umbrella
ITEMNAME_1124	Exp. Candy XS
ITEMNAME_1125	Exp. Candy S
ITEMNAME_1126	Exp. Candy M
ITEMNAME_1127	Exp. Candy L
ITEMNAME_1128	Exp. Candy XL
ITEMNAME_1129	Dynamax Candy
ITEMNAME_1130	TR00
ITEMNAME_1131	TR01
ITEMNAME_1132	TR02
ITEMNAME_1133	TR03
ITEMNAME_1134	TR04
ITEMNAME_1135	TR05
ITEMNAME_1136	TR06
ITEMNAME_1137	TR07
ITEMNAME_1138	TR08
ITEMNAME_1139	TR09
ITEMNAME_1140	TR10
ITEMNAME_1141	TR11
ITEMNAME_1142	TR12
ITEMNAME_1143	TR13
ITEMNAME_1144	TR14
ITEMNAME_1145	TR15
ITEMNAME_1146	TR16
ITEMNAME_1147	TR17
ITEMNAME_1148	TR18
ITEMNAME_1149	TR19
ITEMNAME_1150	TR20
ITEMNAME_1151	TR21
ITEMNAME_1152	TR22
ITEMNAME_1153	TR23
ITEMNAME_1154	TR24
ITEMNAME_1155	TR25
ITEMNAME_1156	TR26
ITEMNAME_1157	TR27
ITEMNAME_1158	TR28
ITEMNAME_1159	TR29
ITEMNAME_1160	TR30
ITEMNAME_1161	TR31
ITEMNAME_1162	TR32
ITEMNAME_1163	TR33
ITEMNAME_1164	TR34
ITEMNAME_1165	TR35
ITEMNAME_1166	TR36
ITEMNAME_1167	TR37
ITEMNAME_1168	TR38
ITEMNAME_1169	TR39
ITEMNAME_1170	TR40
ITEMNAME_1171	TR41
ITEMNAME_1172	TR42
ITEMNAME_1173	TR43
ITEMNAME_1174	TR44
ITEMNAME_1175	TR45
ITEMNAME_1176	TR46
ITEMNAME_1177	TR47
ITEMNAME_1178	TR48
ITEMNAME_1179	TR49
ITEMNAME_1180	TR50
ITEMNAME_1181	TR51
ITEMNAME_1182	TR52
ITEMNAME_1183	TR53
ITEMNAME_1184	TR54
ITEMNAME_1185	TR55
ITEMNAME_1186	TR56
ITEMNAME_1187	TR57
ITEMNAME_1188	TR58
ITEMNAME_1189	TR59
ITEMNAME_1190	TR60
ITEMNAME_1191	TR61
ITEMNAME_1192	TR62
ITEMNAME_1193	TR63
ITEMNAME_1194	TR64
ITEMNAME_1195	TR65
ITEMNAME_1196	TR66
ITEMNAME_1197	TR67
ITEMNAME_1198	TR68
ITEMNAME_1199	TR69
ITEMNAME_1200	TR70
ITEMNAME_1201	TR71
ITEMNAME_1202	TR72
ITEMNAME_1203	TR73
ITEMNAME_1204	TR74
ITEMNAME_1205	TR75
ITEMNAME_1206	TR76
ITEMNAME_1207	TR77
ITEMNAME_1208	TR78
ITEMNAME_1209	TR79
ITEMNAME_1210	TR80
ITEMNAME_1211	TR81
ITEMNAME_1212	TR82
ITEMNAME_1213	TR83
ITEMNAME_1214	TR84
ITEMNAME_1215	TR85
ITEMNAME_1216	TR86
ITEMNAME_1217	TR87
ITEMNAME_1218	TR88
ITEMNAME_1219	TR89
ITEMNAME_1220	TR90
ITEMNAME_1221	TR91
ITEMNAME_1222	TR92
ITEMNAME_1223	TR93
ITEMNAME_1224	TR94
ITEMNAME_1225	TR95
ITEMNAME_1226	TR96
ITEMNAME_1227	TR97
ITEMNAME_1228	TR98
ITEMNAME_1229	TR99
ITEMNAME_1230	TM00
ITEMNAME_1231	Lonely Mint
ITEMNAME_1232	Adamant Mint
ITEMNAME_1233	Naughty Mint
ITEMNAME_1234	Brave Mint
ITEMNAME_1235	Bold Mint
ITEMNAME_1236	Impish Mint
ITEMNAME_1237	Lax Mint
ITEMNAME_1238	Relaxed Mint
ITEMNAME_1239	Modest Mint
ITEMNAME_1240	Mild Mint
ITEMNAME_1241	Rash Mint
ITEMNAME_1242	Quiet Mint
ITEMNAME_1243	Calm Mint
ITEMNAME_1244	Gentle Mint
ITEMNAME_1245	Careful Mint
ITEMNAME_1246	Sassy Mint
ITEMNAME_1247	Timid Mint
ITEMNAME_1248	Hasty Mint
ITEMNAME_1249	Jolly Mint
ITEMNAME_1250	Naive Mint
ITEMNAME_1251	Serious Mint
ITEMNAME_1252	Wishing Piece
ITEMNAME_1253	Cracked Pot
ITEMNAME_1254	Chipped Pot
ITEMNAME_1255	Hi-tech Earbuds
ITEMNAME_1256	Fruit Bunch
ITEMNAME_1257	Moomoo Cheese
ITEMNAME_1258	Spice Mix
ITEMNAME_1259	Fresh Cream
ITEMNAME_1260	Packaged Curry
ITEMNAME_1261	Coconut Milk
ITEMNAME_1262	Instant Noodles
ITEMNAME_1263	Precooked Burger
ITEMNAME_1264	Gigantamix
ITEMNAME_1265	Wishing Chip
ITEMNAME_1266	Rotom Bike
ITEMNAME_1267	Catching Charm
ITEMNAME_1268	???
ITEMNAME_1269	Old Letter
ITEMNAME_1270	Band Autograph
ITEMNAME_1271	Sonia’s Book
ITEMNAME_1272	???
ITEMNAME_1273	???
ITEMNAME_1274	???
ITEMNAME_1275	???
ITEMNAME_1276	???
ITEMNAME_1277	???
ITEMNAME_1278	Rotom Catalog
ITEMNAME_1279	★And458
ITEMNAME_1280	★And15
ITEMNAME_1281	★And337
ITEMNAME_1282	★And603
ITEMNAME_1283	★And390
ITEMNAME_1284	★Sgr6879
ITEMNAME_1285	★Sgr6859
ITEMNAME_1286	★Sgr6913
ITEMNAME_1287	★Sgr7348
ITEMNAME_1288	★Sgr7121
ITEMNAME_1289	★Sgr6746
ITEMNAME_1290	★Sgr7194
ITEMNAME_1291	★Sgr7337
ITEMNAME_1292	★Sgr7343
ITEMNAME_1293	★Sgr6812
ITEMNAME_1294	★Sgr7116
ITEMNAME_1295	★Sgr7264
ITEMNAME_1296	★Sgr7597
ITEMNAME_1297	★Del7882
ITEMNAME_1298	★Del7906
ITEMNAME_1299	★Del7852
ITEMNAME_1300	★Psc596
ITEMNAME_1301	★Psc361
ITEMNAME_1302	★Psc510
ITEMNAME_1303	★Psc437
ITEMNAME_1304	★Psc8773
ITEMNAME_1305	★Lep1865
ITEMNAME_1306	★Lep1829
ITEMNAME_1307	★Boo5340
ITEMNAME_1308	★Boo5506
ITEMNAME_1309	★Boo5435
ITEMNAME_1310	★Boo5602
ITEMNAME_1311	★Boo5733
ITEMNAME_1312	★Boo5235
ITEMNAME_1313	★Boo5351
ITEMNAME_1314	★Hya3748
ITEMNAME_1315	★Hya3903
ITEMNAME_1316	★Hya3418
ITEMNAME_1317	★Hya3482
ITEMNAME_1318	★Hya3845
ITEMNAME_1319	★Eri1084
ITEMNAME_1320	★Eri472
ITEMNAME_1321	★Eri1666
ITEMNAME_1322	★Eri897
ITEMNAME_1323	★Eri1231
ITEMNAME_1324	★Eri874
ITEMNAME_1325	★Eri1298
ITEMNAME_1326	★Eri1325
ITEMNAME_1327	★Eri984
ITEMNAME_1328	★Eri1464
ITEMNAME_1329	★Eri1393
ITEMNAME_1330	★Eri850
ITEMNAME_1331	★Tau1409
ITEMNAME_1332	★Tau1457
ITEMNAME_1333	★Tau1165
ITEMNAME_1334	★Tau1791
ITEMNAME_1335	★Tau1910
ITEMNAME_1336	★Tau1346
ITEMNAME_1337	★Tau1373
ITEMNAME_1338	★Tau1412
ITEMNAME_1339	★CMa2491
ITEMNAME_1340	★CMa2693
ITEMNAME_1341	★CMa2294
ITEMNAME_1342	★CMa2827
ITEMNAME_1343	★CMa2282
ITEMNAME_1344	★CMa2618
ITEMNAME_1345	★CMa2657
ITEMNAME_1346	★CMa2646
ITEMNAME_1347	★UMa4905
ITEMNAME_1348	★UMa4301
ITEMNAME_1349	★UMa5191
ITEMNAME_1350	★UMa5054
ITEMNAME_1351	★UMa4295
ITEMNAME_1352	★UMa4660
ITEMNAME_1353	★UMa4554
ITEMNAME_1354	★UMa4069
ITEMNAME_1355	★UMa3569
ITEMNAME_1356	★UMa3323
ITEMNAME_1357	★UMa4033
ITEMNAME_1358	★UMa4377
ITEMNAME_1359	★UMa4375
ITEMNAME_1360	★UMa4518
ITEMNAME_1361	★UMa3594
ITEMNAME_1362	★Vir5056
ITEMNAME_1363	★Vir4825
ITEMNAME_1364	★Vir4932
ITEMNAME_1365	★Vir4540
ITEMNAME_1366	★Vir4689
ITEMNAME_1367	★Vir5338
ITEMNAME_1368	★Vir4910
ITEMNAME_1369	★Vir5315
ITEMNAME_1370	★Vir5359
ITEMNAME_1371	★Vir5409
ITEMNAME_1372	★Vir5107
ITEMNAME_1373	★Ari617
ITEMNAME_1374	★Ari553
ITEMNAME_1375	★Ari546
ITEMNAME_1376	★Ari951
ITEMNAME_1377	★Ori1713
ITEMNAME_1378	★Ori2061
ITEMNAME_1379	★Ori1790
ITEMNAME_1380	★Ori1903
ITEMNAME_1381	★Ori1948
ITEMNAME_1382	★Ori2004
ITEMNAME_1383	★Ori1852
ITEMNAME_1384	★Ori1879
ITEMNAME_1385	★Ori1899
ITEMNAME_1386	★Ori1543
ITEMNAME_1387	★Cas21
ITEMNAME_1388	★Cas168
ITEMNAME_1389	★Cas403
ITEMNAME_1390	★Cas153
ITEMNAME_1391	★Cas542
ITEMNAME_1392	★Cas219
ITEMNAME_1393	★Cas265
ITEMNAME_1394	★Cnc3572
ITEMNAME_1395	★Cnc3208
ITEMNAME_1396	★Cnc3461
ITEMNAME_1397	★Cnc3449
ITEMNAME_1398	★Cnc3429
ITEMNAME_1399	★Cnc3627
ITEMNAME_1400	★Cnc3268
ITEMNAME_1401	★Cnc3249
ITEMNAME_1402	★Com4968
ITEMNAME_1403	★Crv4757
ITEMNAME_1404	★Crv4623
ITEMNAME_1405	★Crv4662
ITEMNAME_1406	★Crv4786
ITEMNAME_1407	★Aur1708
ITEMNAME_1408	★Aur2088
ITEMNAME_1409	★Aur1605
ITEMNAME_1410	★Aur2095
ITEMNAME_1411	★Aur1577
ITEMNAME_1412	★Aur1641
ITEMNAME_1413	★Aur1612
ITEMNAME_1414	★Pav7790
ITEMNAME_1415	★Cet911
ITEMNAME_1416	★Cet681
ITEMNAME_1417	★Cet188
ITEMNAME_1418	★Cet539
ITEMNAME_1419	★Cet804
ITEMNAME_1420	★Cep8974
ITEMNAME_1421	★Cep8162
ITEMNAME_1422	★Cep8238
ITEMNAME_1423	★Cep8417
ITEMNAME_1424	★Cen5267
ITEMNAME_1425	★Cen5288
ITEMNAME_1426	★Cen551
ITEMNAME_1427	★Cen5459
ITEMNAME_1428	★Cen5460
ITEMNAME_1429	★CMi2943
ITEMNAME_1430	★CMi2845
ITEMNAME_1431	★Equ8131
ITEMNAME_1432	★Vul7405
ITEMNAME_1433	★UMi424
ITEMNAME_1434	★UMi5563
ITEMNAME_1435	★UMi5735
ITEMNAME_1436	★UMi6789
ITEMNAME_1437	★Crt4287
ITEMNAME_1438	★Lyr7001
ITEMNAME_1439	★Lyr7178
ITEMNAME_1440	★Lyr7106
ITEMNAME_1441	★Lyr7298
ITEMNAME_1442	★Ara6585
ITEMNAME_1443	★Sco6134
ITEMNAME_1444	★Sco6527
ITEMNAME_1445	★Sco6553
ITEMNAME_1446	★Sco5953
ITEMNAME_1447	★Sco5984
ITEMNAME_1448	★Sco6508
ITEMNAME_1449	★Sco6084
ITEMNAME_1450	★Sco5944
ITEMNAME_1451	★Sco6630
ITEMNAME_1452	★Sco6027
ITEMNAME_1453	★Sco6247
ITEMNAME_1454	★Sco6252
ITEMNAME_1455	★Sco5928
ITEMNAME_1456	★Sco6241
ITEMNAME_1457	★Sco6165
ITEMNAME_1458	★Tri544
ITEMNAME_1459	★Leo3982
