amulet.dat
msg_amulet_001	我正在向守護祝慶村的\n御護石表達感謝。[VAR 0114(005D)]
msg_mkrg_rep_0008	哇！[VAR 1100(00FF,0101)]你妳幫我收集到[VAR 0202(0000)]個幽火了，\n所以這個也給[VAR 1100(00FF,0101)]你妳吧！[VAR 0114(0056)]
msg_mkrg_rep_0004	[VAR 1100(00FF,0101)]你妳還有其他事要問我嗎？[VAR 0114(0056)]
msg_mkrg_rep_list_001	每個區域還各剩多少幽火？
msg_mkrg_rep_list_002	關於妳的事
msg_mkrg_rep_list_003	沒事
msg_mkrg_rep_0005	[VAR 0105(0001)]還剩\n[VAR 0201(0000)]個幽火喔。[VAR 0114(0056)]
msg_mkrg_rep_0009	[VAR 0105(0001)]的幽火\n都已經集齊了呢！[VAR 0114(0056)]
msg_mkrg_rep_0010	還差一點……\n就能集齊幽火了！[VAR 0114(0056)]
msg_mkrg_rep_0011	必須把散落在洗翠地區的\n幽火全都集齊才行……[VAR 0114(0056)]
msg_mkrg_rep_0012	要不然……就要發生大事了……\n拜託！全靠[VAR 0100(0000)][VAR 1100(00FF,0101)]你妳了。[VAR 0114(0056)]
msg_mkrg_rep_0013	全靠[VAR 1100(00FF,0101)]你妳囉！[VAR 0114(0056)]
msg_mkrg_rep_0014	……剩下的幽火好像在\n[VAR 0100(0000)][VAR 1100(00FF,0101)]你妳還沒去過的地方。[VAR 0114(0056)]
ns_rematch.dat
msg_ns_rematch_null_01	[~ 0]
msg_ns_rematch_menu_list_01	再次對戰
msg_ns_rematch_menu_list_02	確認時間
msg_ns_rematch_menu_list_99	沒什麼
msg_ns_rematch_null_02	[~ 4]
msg_ns_rematch_mode_list_01	[~ 5]
msg_ns_rematch_mode_list_02	[~ 6]
msg_ns_rematch_mode_list_99	[~ 7]
msg_ns_rematch_null_03	[~ 8]
msg_ns_rematch_null_04	[~ 9]
msg_ns_rematch_01_talk_01	森林王劈斧螳螂心情很好呢。\c\n因為牠不知怎地\n將狂猛之力也化為自身的力量了。[VAR 0114(0010)]
msg_ns_rematch_01_talk_02	[VAR 1100(00FF,0101)]你妳是來做什麼的？[VAR 0114(0010)]
msg_ns_rematch_01_talk_03	[VAR 1100(00FF,0101)]你妳怕了是吧？[VAR 0114(0010)]
msg_ns_rematch_01_talk_04	[~ 13]
msg_ns_rematch_01_talk_05	明白了！[VAR 0114(0010)]
msg_ns_rematch_01_talk_50	[VAR 1100(00FF,0101)]你妳戰勝劈斧螳螂所花的時間是\n[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]啊。[VAR 0114(0010)]
msg_ns_rematch_01_talk_51	[~ 16]
msg_ns_rematch_01_talk_60	[VAR 1100(00FF,0101)]你妳沒事吧？\n我幫[VAR 1100(00FF,0101)]你妳的寶可夢恢復活力了。[VAR 0114(0010)]
msg_ns_rematch_01_talk_61	嗯～劈斧螳螂可是很強的。\n下次再來挑戰吧。[VAR 0114(0010)]
msg_ns_rematch_01_talk_80	什麼！？[VAR 0114(0010)]
msg_ns_rematch_01_talk_81	[VAR 1100(00FF,0101)]你妳用[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]就拿下勝利啦。[VAR 0114(0010)]
msg_ns_rematch_01_talk_82	既然[VAR 1100(00FF,0101)]你妳更新了記錄，\n那我就得好好祝福[VAR 1100(00FF,0101)]你妳了。[VAR 0114(0010)]
msg_ns_rematch_01_talk_83	我給[VAR 1100(00FF,0101)]你妳一點好東西吧。[VAR 0114(0010)]
msg_ns_rematch_01_talk_84	還有這個也送[VAR 1100(00FF,0101)]你妳吧。[VAR 0114(0010)]
msg_ns_rematch_01_talk_85	說不定森林王劈斧螳螂\n也很享受和[VAR 1100(00FF,0101)]你妳的對戰呢。[VAR 0114(0010)]
msg_ns_rematch_null_05	[~ 25]
msg_ns_rematch_02_talk_01	山道女王裙兒小姐牠散發著光芒，\n有活力得很呢。[VAR 0114(0011)]
msg_ns_rematch_02_talk_02	[VAR 1100(00FF,0101)]你妳今天有什麼事？[VAR 0114(0011)]
msg_ns_rematch_02_talk_03	下次再來啊。[VAR 0114(0011)]
msg_ns_rematch_02_talk_04	[~ 29]
msg_ns_rematch_02_talk_05	那麼我來代替火夏……\n裙兒小姐，拜託了！[VAR 0114(0011)]
msg_ns_rematch_02_talk_50	[VAR 1100(00FF,0101)]你妳取得勝利所花的時間是\n[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]。[VAR 0114(0011)]
msg_ns_rematch_02_talk_51	[~ 32]
msg_ns_rematch_02_talk_60	[VAR 1100(00FF,0101)]你妳還好吧？[VAR 0114(0011)]
msg_ns_rematch_02_talk_61	火夏曾經說過\n裙兒小姐牠很想和[VAR 1100(00FF,0101)]你妳對戰呢。[VAR 0114(0011)]
msg_ns_rematch_02_talk_80	真是了不起啊。[VAR 0114(0011)]
msg_ns_rematch_02_talk_81	[VAR 1100(00FF,0101)]你妳這次取得勝利所花的時間是\n[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]。[VAR 0114(0011)]
msg_ns_rematch_02_talk_82	這是個新紀錄呢。\n[VAR 1100(00FF,0101)]你妳真是不得了啊。[VAR 0114(0011)]
msg_ns_rematch_02_talk_83	我把這些送給[VAR 1100(00FF,0101)]你妳吧。[VAR 0114(0011)]
msg_ns_rematch_02_talk_84	這個也收下。[VAR 0114(0011)]
msg_ns_rematch_02_talk_85	火夏要我帶話給[VAR 1100(00FF,0101)]你妳。\n她說「裙兒小姐就拜託[VAR 1100(00FF,0101)]你妳了！」。[VAR 0114(0011)]
msg_ns_rematch_null_06	[~ 41]
msg_ns_rematch_03_talk_01	風速狗牠似乎已經成為\n獨當一面的王了。\r\n而且還將狂猛之力化為了自己的力量呢。[VAR 0114(0014)]
msg_ns_rematch_03_talk_02	您願意當風速狗的對手嗎？\n由您當牠的對手，讓我很放心。[VAR 0114(0014)]
msg_ns_rematch_03_talk_03	您願意來到這裡，\n就讓我很開心了。[VAR 0114(0014)]
msg_ns_rematch_03_talk_04	[~ 45]
msg_ns_rematch_03_talk_05	我明白了。[VAR 0114(0014)]
msg_ns_rematch_03_talk_50	您獲得勝利所花的時間為\n[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]。[VAR 0114(0014)]
msg_ns_rematch_03_talk_51	[~ 48]
msg_ns_rematch_03_talk_60	[VAR 0100(0000)]，您還好嗎？[VAR 0114(0014)]
msg_ns_rematch_03_talk_61	風速狗的強大……\n都被您激發出來了……[VAR 0114(0014)]
msg_ns_rematch_03_talk_80	風速狗和[VAR 0100(0000)]您\n都非常出色呢。[VAR 0114(0014)]
msg_ns_rematch_03_talk_81	您這次獲得勝利所花的時間為\n[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]！[VAR 0114(0014)]
msg_ns_rematch_03_talk_82	沒想到您竟然能以\n更快的速度戰勝風速狗！[VAR 0114(0014)]
msg_ns_rematch_03_talk_83	為了祝賀您獲得了超越以往的\n精彩勝利，請收下這些。[VAR 0114(0014)]
msg_ns_rematch_03_talk_84	還有這個也請您收下。[VAR 0114(0014)]
msg_ns_rematch_03_talk_85	結果是讓您幫忙特訓風速狗了。\n真是萬分感謝。[VAR 0114(0014)]
msg_ns_rematch_null_07	[~ 57]
msg_ns_rematch_04_talk_01	耀眼的洞窟王頑皮雷彈\n正精神飽滿地在放電唷。[VAR 0114(0016)]
msg_ns_rematch_04_talk_02	[VAR 1100(00FF,0101)]你妳想做什麼？[VAR 0114(0016)]
msg_ns_rematch_04_talk_03	我說[VAR 1100(00FF,0101)]你妳這是個明智的判斷唷。[VAR 0114(0016)]
msg_ns_rematch_04_talk_04	[~ 61]
msg_ns_rematch_04_talk_05	[VAR 1100(00FF,0101)]你妳可別被頑皮雷彈電麻了。[VAR 0114(0016)]
msg_ns_rematch_04_talk_50	[VAR 1100(00FF,0101)]你妳獲勝所花的時間是\n[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]！[VAR 0114(0016)]
msg_ns_rematch_04_talk_51	[~ 64]
msg_ns_rematch_04_talk_60	喂喂，[VAR 1100(00FF,0101)]你妳不要緊吧？\n不自量力的挑戰叫做有勇無謀。[VAR 0114(0016)]
msg_ns_rematch_04_talk_61	嗯，畢竟頑皮雷彈是很強的。\n下次再來挑戰吧。[VAR 0114(0016)]
msg_ns_rematch_04_talk_80	我木春實在難以想像\n眼前這片光景……[VAR 0114(0016)]
msg_ns_rematch_04_talk_81	[VAR 1100(00FF,0101)]你妳獲勝所花的時間是\n[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]！[VAR 0114(0016)]
msg_ns_rematch_04_talk_82	這麼快就把頑皮雷彈……\n哎，我就稍微認同[VAR 1100(00FF,0101)]你妳的實力吧。[VAR 0114(0016)]
msg_ns_rematch_04_talk_83	這是我木春給[VAR 1100(00FF,0101)]你妳的禮物，\n[VAR 1100(00FF,0101)]你妳應該要感到榮幸。[VAR 0114(0016)]
msg_ns_rematch_04_talk_84	還有為了誇獎[VAR 1100(00FF,0101)]你妳無傷取勝，\n這就送[VAR 1100(00FF,0101)]你妳當作是努力獎吧。[VAR 0114(0016)]
msg_ns_rematch_04_talk_85	[VAR 1100(00FF,0101)]你妳會再來的吧。\n到時我也不是不會陪[VAR 1100(00FF,0101)]你妳玩玩。[VAR 0114(0016)]
msg_ns_rematch_null_08	[~ 73]
msg_ns_rematch_05_talk_01	雪原王冰岩怪就像是\n被不可思議的雷電擊中時那樣，\r\n今天也強大得令人敬畏！[VAR 0114(0017)]
msg_ns_rematch_05_talk_02	[VAR 1100(00FF,0101)]你妳要做什麼？[VAR 0114(0017)]
msg_ns_rematch_05_talk_03	嗯，那是正確的判斷。\n畢竟若說是試身手，這對手也太強大了。[VAR 0114(0017)]
msg_ns_rematch_05_talk_04	[~ 77]
msg_ns_rematch_05_talk_05	我明白了……！\n你們就用渾身的肌肉全力一戰吧。[VAR 0114(0017)]
msg_ns_rematch_05_talk_50	[VAR 1100(00FF,0101)]你妳獲得勝利所用的時間是……\n[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]。[VAR 0114(0017)]
msg_ns_rematch_05_talk_51	[~ 80]
msg_ns_rematch_05_talk_60	我已經幫[VAR 1100(00FF,0101)]你妳回復寶可夢了。[VAR 0114(0017)]
msg_ns_rematch_05_talk_61	雪原王冰岩怪的強大，\n我身為場長只能大嘆佩服啊！[VAR 0114(0017)]
msg_ns_rematch_05_talk_80	[VAR 1100(00FF,0101)]你妳居然戰勝了雪原王冰岩怪，\n實在是太了不起了！[VAR 0114(0017)]
msg_ns_rematch_05_talk_81	[VAR 1100(00FF,0101)]你妳獲得勝利所用的時間是……\n[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]。[VAR 0114(0017)]
msg_ns_rematch_05_talk_82	這是新紀錄啊！[VAR 0114(0017)]
msg_ns_rematch_05_talk_83	作為紀念，\n我送[VAR 1100(00FF,0101)]你妳好東西吧。[VAR 0114(0017)]
msg_ns_rematch_05_talk_84	另外，\n這些也送給[VAR 1100(00FF,0101)]你妳吧。[VAR 0114(0017)]
msg_ns_rematch_05_talk_85	[VAR 1100(00FF,0101)]你妳應該也累了。\c\n這件事我就私下告訴[VAR 1100(00FF,0101)]你妳吧。\n其實雪原王也很期待與[VAR 1100(00FF,0101)]你妳一較高下呢。[VAR 0114(0017)]
msg_ns_rematch_null_09	[~ 89]
msg_ns_rematch_06_talk_01	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_02	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_03	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_04	[~ 93]
msg_ns_rematch_06_talk_05	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_50	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_51	[~ 96]
msg_ns_rematch_06_talk_60	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_61	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_80	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_81	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_82	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_83	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_84	n/a[VAR 0114(000A)]
msg_ns_rematch_06_talk_85	n/a[VAR 0114(000A)]
msg_ns_rematch_null_11	[~ 105]
msg_ns_rematch_07_talk_01	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_02	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_03	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_04	[~ 109]
msg_ns_rematch_07_talk_05	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_50	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_51	[~ 112]
msg_ns_rematch_07_talk_60	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_61	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_80	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_81	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_82	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_83	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_84	n/a[VAR 0114(000B)]
msg_ns_rematch_07_talk_85	n/a[VAR 0114(000B)]
msg_ns_rematch_null_10	[~ 121]
msg_ns_rematch_08_talk_01	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_02	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_03	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_04	[~ 125]
msg_ns_rematch_08_talk_05	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_50	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_51	[~ 128]
msg_ns_rematch_08_talk_60	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_61	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_80	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_81	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_82	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_83	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_84	n/a[VAR 0114(000C)]
msg_ns_rematch_08_talk_85	n/a[VAR 0114(000C)]
msg_ns_rematch_null_12	[~ 137]
msg_ns_rematch_10_talk_01	阿爾宙斯手機\n出現了反應……
msg_ns_rematch_10_talk_08	[VAR 1100(00FF,0101)]你妳有何所望？
msg_ns_rematch_10_list_01	找對手對戰
msg_ns_rematch_10_list_02	確認紀錄
msg_ns_rematch_10_list_03	什麼都不做
msg_ns_rematch_10_talk_05	要與誰對戰？
msg_ns_rematch_10_talk_06	要確認誰的紀錄？
msg_ns_rematch_10_list_11	阿爾宙斯
msg_ns_rematch_10_list_12	[~ 146]
msg_ns_rematch_10_list_13	帝牙盧卡
msg_ns_rematch_10_list_14	[~ 148]
msg_ns_rematch_10_list_15	帕路奇亞
msg_ns_rematch_10_list_16	什麼都不做
msg_ns_rematch_10_talk_07	獲勝時間為[VAR 0201(0000)]:[VAR 0201(0001)].[VAR 0201(0002)]
msg_ns_rematch_10_talk_02	展現自己的力量吧！
msg_ns_rematch_10_talk_09	創下新紀錄了。\n祝福[VAR 1100(00FF,0101)]你妳。
msg_ns_rematch_10_talk_03	[~ 154]
msg_ns_rematch_10_talk_04	[~ 155]
picture.dat
picture_0010_talk_01_01	[VAR 1100(00FF,0101)]你妳想做什麼呢？[VAR 0114(005A)]
picture_0010_list_02_01	準備寶可夢
picture_0010_list_02_02	更換背景布
picture_0010_list_02_03	更換鏡頭
picture_0010_list_02_04	拍照
picture_0010_list_02_05	還是算了
picture_0010_talk_03_01	決定要選這孩子了是吧。\n那就快快開始準備吧。[VAR 0114(005A)]
picture_0010_talk_04_01	準備好了。去站在寶可夢右邊，\n我就會幫你們拍得漂漂亮亮的喔。[VAR 0114(005A)]
picture_0010_talk_05_01	有其他吩咐嗎？[VAR 0114(005A)]
picture_0010_talk_06_01	要選哪種背景布？[VAR 0114(005A)]
picture_0010_list_07_01	紅色
picture_0010_list_07_02	橘色
picture_0010_list_07_03	黃色
picture_0010_list_07_04	粉桃色
picture_0010_list_07_05	黃綠色
picture_0010_list_07_06	黑色
picture_0010_list_07_07	紫色
picture_0010_list_07_08	藍色
picture_0010_list_07_09	水藍色
picture_0010_list_07_10	灰色
picture_0010_list_07_11	綠色
picture_0010_list_07_12	銀河隊
picture_0010_list_07_13	白色
picture_0010_talk_08_01	背景布換好囉。[VAR 0114(005A)]
picture_0010_talk_09_01	現在用的是日常鏡頭。\n要換成哪種鏡頭？[VAR 0114(005A)]
picture_0010_talk_09_02	現在用的是黑白鏡頭。\n要換成哪種鏡頭？
picture_0010_talk_09_03	現在用的是夢幻鏡頭。\n要換成哪種鏡頭？
picture_0010_talk_09_04	現在用的是懷舊鏡頭。\n要換成哪種鏡頭？
picture_0010_talk_09_05	現在用的是黃昏鏡頭。\n要換成哪種鏡頭？
picture_0010_list_10_01	日常鏡頭
picture_0010_list_10_02	黑白鏡頭
picture_0010_list_10_03	夢幻鏡頭
picture_0010_list_10_04	懷舊鏡頭
picture_0010_list_10_05	黃昏鏡頭
picture_0010_talk_11_01	換成日常鏡頭囉。\n真期待實際拍攝的時候啊。[VAR 0114(005A)]
picture_0010_talk_11_02	換成黑白鏡頭囉。\n真期待實際拍攝的時候啊。[VAR 0114(005A)]
picture_0010_talk_11_03	換成夢幻鏡頭囉。\n真期待實際拍攝的時候啊。[VAR 0114(005A)]
picture_0010_talk_11_04	換成懷舊鏡頭囉。\n真期待實際拍攝的時候啊。[VAR 0114(005A)]
picture_0010_talk_11_05	換成黃昏鏡頭囉。\n真期待實際拍攝的時候啊。[VAR 0114(005A)]
picture_0010_talk_11_06	現在用的就是那種鏡頭喔。\n真期待實際拍攝的時候啊。[VAR 0114(005A)]
picture_0010_talk_12_01	現在用的就是那種背景布喔。[VAR 0114(005A)]
picture_0010_list_13_01	是
picture_0010_list_13_02	否
picture_0010_talk_14_01	要是對照片有什麼不清楚的地方，\n就來問我吧。[VAR 0114(005A)]
picture_0010_list_15_01	下一頁
picture_0010_list_15_02	[~ 45]
picture_0010_list_15_03	返回
picture_0020_talk_01_01	按下拍攝鍵來拍照吧。
picture_0020_talk_01_02	要結束拍照嗎？
picture_0020_list_01_02	姿勢
picture_0020_list_01_03	表情
picture_0020_list_01_05	指示寶可夢
picture_0020_list_01_04	開始拍照
picture_0020_list_02_01	平常的樣子
picture_0020_list_02_02	喜悅
picture_0020_list_02_03	微笑
picture_0020_list_02_04	驚訝
picture_0020_list_02_05	哀傷
picture_0020_list_02_06	憤怒
picture_0020_list_02_07	認真
picture_0020_list_02_09	沉思
picture_0020_list_02_12	虛無
picture_0020_list_03_01	抱手
picture_0020_list_03_02	手放背後
picture_0020_list_03_03	介紹
picture_0020_list_03_04	舉高張開雙手
picture_0020_list_03_05	放低張開雙手
picture_0020_list_03_06	幹得好！
picture_0020_list_03_07	比讚！
picture_0020_list_03_08	自然的姿勢
picture_0020_list_03_09	強勢的姿勢
picture_0020_list_03_10	游刃有餘的姿勢
picture_0020_list_03_11	奇異的姿勢
picture_0020_list_03_12	北尚的姿勢
picture_0020_list_03_13	野賊的姿勢
picture_0020_list_03_14	普通地坐著
picture_0020_list_03_15	優雅地坐著
picture_0030_sys_01_01	[VAR 0102(0000)]！
picture_0030_list_02_01	跟平常一樣
picture_0030_list_02_02	勇敢
picture_0030_list_02_03	快樂
picture_0030_list_02_04	裝睡
picture_0030_list_02_05	裝作混亂
picture_0030_list_02_06	裝死
picture_0030_list_02_07	繼續
picture_0030_list_02_08	[~ 85]
picture_0030_list_02_09	[~ 86]
picture_0030_list_02_10	[~ 87]
picture_0020_list_02_08	[~ 88]
picture_0020_list_02_10	[~ 89]
picture_0020_list_02_11	[~ 90]
picture_0030_list_03_01	[VAR 0102(0000)]表現得跟平常一樣。
picture_0030_list_03_02	[VAR 0102(0000)]表現得很勇敢。
picture_0030_list_03_03	[VAR 0102(0000)]表現得很快樂。
picture_0030_list_03_04	[VAR 0102(0000)]在睡覺。
picture_0030_list_03_05	[VAR 0102(0000)]站都站不穩了。
picture_0030_list_03_06	[VAR 0102(0000)]倒下了。
picture_0040_talk_01_01	[VAR 1100(00FF,0101)]你妳要不要用照片來留住\n[VAR 1100(00FF,0101)]你妳和身邊的寶可夢之間的回憶啊？\r\n過來看看吧！[VAR 0114(005A)]
picture_0040_talk_01_02	本店的賣點就是能和寶可夢一起拍照。\n[VAR 1100(00FF,0101)]你妳要不要拍一張當作紀念啊？[VAR 0114(005A)]
picture_0050_talk_01_01	照相館好像還沒有開店。
picture_0050_talk_01_02	[~ 100]
picture_visitor_sys_01_01	會有其他客人前來照相館了。\n但這些客人似乎會在一定時間後就離開。
picture_0010_talk_03_02	要開始拍照了嗎？
picture_visitor_list_01_03	我要一個人準備
picture_visitor_list_01_04	在固定位置拍照
picture_visitor_list_01_05	在這裡拍照
picture_visitor_list_01_01	來拍照吧
picture_visitor_list_01_02	再說吧
picture_visitor_talk_01_01	對調查組而言，好奇心是很重要的。\n凡事都應該體驗一下才行！\c\n對了，[VAR 0189(0000)]，\n我們同是調查組的，就一起拍張照吧！[VAR 0114(0006)]
picture_visitor_talk_02_01	我打算把自己和搭檔的合照\n寄給父母來報平安。\c\n[VAR 1100(00FF,0101)]你妳要不要也加進來？\n我想炫耀一下[VAR 1100(00FF,0101)]你妳這位調查組的後輩。[VAR 0114(0007)]
picture_visitor_talk_03_01	我通常拍的都是圖鑑用的紀錄照片，\n但來到照相館就是要拍紀念照！\c\n[VAR 0189(0000)]，為了紀念和[VAR 1100(00FF,0101)]你妳的相遇，\n我們來拍張good的合照吧！[VAR 0114(0005)]
picture_visitor_talk_04_01	我要確認。\n[VAR 1100(00FF,0101)]你妳要和我拍照嗎？[VAR 0114(0008)]
picture_visitor_talk_05_01	能跟寶可夢拍照的照相館啊。\n這點子和技術可真新鮮！\r\n好！來和我拍張照吧？[VAR 0114(000A)]
picture_visitor_talk_06_01	戰鬥時那麼帥氣的冰伊布\n在照片裡就顯得好可愛喔！\c\n欸，我很好奇[VAR 0189(0000)][VAR 1100(00FF,0101)]你妳在照片裡\n會是什麼樣子。我們來合照吧！[VAR 0114(000B)]
picture_visitor_talk_07_01	我總是和小卡比獸一起拍照，\n不過也想跟[VAR 1100(00FF,0101)]你妳合照看看。如何呀？[VAR 0114(000F)]
picture_visitor_talk_08_01	照片真厲害！拍下的照片能送到任何地方！\n也就是說，它能超越空間。\c\n來，[VAR 1100(00FF,0101)]你妳也和我拍張照片，\n好讓我們超越空間吧！[VAR 0114(0010)]
picture_visitor_talk_09_01	聽說很多客人會在理完髮後\n來拍紀念照呢！\c\n我的髮型也很完美吧？\n機會難得，要不要一起拍照留個念？[VAR 0114(0012)]
picture_visitor_talk_10_01	活上將近１００年，\n就會碰到有趣的玩意兒呢。\r\n怎麼樣，要不要來跟我一起拍照？[VAR 0114(0011)]
picture_visitor_talk_11_01	我正打算拍下卡蒂狗淘氣的模樣。\n[VAR 0189(0000)]，您要不要一同入鏡呢？[VAR 0114(0014)]
picture_visitor_talk_12_01	聽說拍……拍照……\n會被奪走靈魂……\c\n不……不過，\n因為這是瓜娜想要的……\r\n可以請[VAR 1100(00FF,0101)]你妳和我一起拍照嗎……！？[VAR 0114(0013)]
picture_visitor_talk_13_01	照片不同於記憶的美妙之處，\n就是它能留在手邊。\c\n[VAR 0189(0000)]，您願意和我拍張照嗎？[VAR 0114(0015)]
picture_visitor_talk_14_01	據說和木春我同框的照片\n可保家人平安，生意興隆。\c\n無須客氣，現在就和木春我合照吧。[VAR 0114(0016)]
picture_visitor_talk_15_01	那個啦，就是那個，\n要不要和硬梆梆的冰鬼護\r\n一起拍張紀念照啊！？[VAR 0114(0017)]
picture_visitor_talk_16_01	[VAR 0189(0000)]！我想跟[VAR 1100(00FF,0101)]你妳一起拍照，\n所以就從凍土飛到這裡來了！！\r\n和我拍一堆照片吧！來嘛來嘛！[VAR 0114(0018)]
picture_visitor_talk_17_01	阿芒他對單獨和我合照感到害羞。\n可以請您和我們一起拍照嗎？[VAR 0114(0014)]
picture_visitor_talk_17_02	三、三個人合照……！？\c\n聽……聽說站在中、中間的人，\n靈、靈魂會被吸走……[VAR 0114(0013)]
picture_visitor_talk_18_01	我想在我的寶可夢圖鑑裡\n夾著某樣東西。\c\n[VAR 1100(00FF,0101)]你妳懂吧？\n讓我們大家一起合照吧。[VAR 0114(0006)]
picture_visitor_talk_18_02	在這裡可以更換背景布和鏡頭\n來拍出漂亮的照片呢！\c\n我們拍張只有在照相館\n才能實現的美好相片吧！[VAR 0114(0005)]
picture_visitor_talk_19_01	常在洗翠東奔西走的前輩與後輩，\n以及總是在基地等著我們的博士，\r\n我們３個人拍張合照好不好？\r\n我想把照片送給星月組長。[VAR 0114(0007)]
picture_visitor_talk_19_02	小照，那真是個好主意！\c\n我也想和調查組的兩位台柱\n拍張永留記憶的照片給組長！[VAR 0114(0005)]
picture_visitor_talk_20_01	為了作為[VAR 1100(00FF,0101)]你妳這個稀客\n此時此刻存在於此的證據，\r\n我建議[VAR 1100(00FF,0101)]你妳不妨拍張照片。\c\n不用說，自然是和我這個證人合照。[VAR 0114(0009)]
picture_visitor_talk_21_01	有了那個叫照相機的東西，\n我的美貌就能永留萬世了呢。\r\n來，[VAR 1100(00FF,0101)]你妳也來我身旁。[VAR 0114(000D)]
picture_visitor_talk_22_01	有些傢伙心中的芥蒂還沒消失。\c\n所以，我們兩隊的首領決定來個合照，\n給彼此隊裡的大家見識一下\r\n這就是全新的洗翠！[VAR 0114(000A)]
picture_visitor_talk_22_02	[VAR 0189(0000)]，\n[VAR 1100(00FF,0101)]你妳可是把大家串連起來的大功臣！\r\n中間的位子就交給[VAR 1100(00FF,0101)]你妳囉！[VAR 0114(000B)]
picture_visitor_talk_23_01	我想把很會吃芋餅的人\n留作紀錄！\r\n喏，[VAR 1100(00FF,0101)]你妳和我拍張照吧？[VAR 0114(000E)]
picture_visitor_talk_24_01	忍者的服裝乃為隱身之用。\n這就來試試會不會被拍進照片吧。\r\n怎麼，[VAR 1100(00FF,0101)]你妳要跟在下一起拍照嗎？[VAR 0114(000E)]
picture_visitor_talk_25_01	這身鎧甲是受贈之物，\n我想讓送的人看看我穿上它的樣子。\c\n唔嗯，我曾穿著這身鎧甲與[VAR 1100(00FF,0101)]你妳對戰，\n我倆一起合照也挺有趣的。[VAR 1100(00FF,0101)]你妳覺得呢？[VAR 0114(0009)]
picture_visitor_talk_26_01	這棟建築很棒吧？為了挑高天花板，\n建築組的大家可是費了一番勁呢。\c\n怎麼樣，[VAR 1100(00FF,0101)]你妳聽了這番話，\n一定很想跟我拍張紀念照吧！[VAR 0114(001F)]
picture_visitor_talk_27_01	寶可夢那鍛鍊出來的結實體態！\n精鍊的出招架勢！\c\n那得好好記錄下來，用在訓練上才行。\n[VAR 1100(00FF,0101)]你妳也一起來吧？[VAR 0114(001B)]
picture_visitor_talk_28_01	[VAR 0189(0000)]，[VAR 1100(00FF,0101)]你妳也是來拍照的嗎？\n我們就一起拍個１００張吧。[VAR 0114(0020)]
place_name.dat
MAPNAME_NOTHING	－－－－－－－－－－
MAPNAME_NOTHING_01	
MAPNAME_NAZONOBASYO	神秘的地方
MAPNAME_NAZONOBASYO_01	
MAPNAME_TOOIBASYO	遙遠的地方
MAPNAME_TOOIBASYO_01	
PLACENAME_AREA00	祝慶村
PLACENAME_AREA01	黑曜原野
PLACENAME_AREA02	紅蓮濕地
PLACENAME_AREA03	群青海岸
PLACENAME_AREA04	天冠山麓
