A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの大事な帽子を持って行っちまった
A4_11200_WOMANQUIZ_300_9000	残念　じゃあまたどこかで会ったら\nよろしくね！
A4_11200_DODEKABASHI_300_2000	カバシ！
A4_11200_WOMANQUIZ_400_1000	腕や頭から葉っぱが生えている\nとっても身軽なポケモン　だーれだ？
A4_11200_WOMANQUIZ_400_2000	さあ　わかったら　わたしに教えてね！
A4_11200_DODEKABASHI_400_1000	カバシ
A4_11200_WOMANQUIZ_500_1000	探偵さん　答えはわかった？
A4_11200_TIM_500_1000	ええ　答えはヨルノズクですね
A4_11200_WOMANQUIZ_500_2000	正解！\nさすがの観察眼ね！
A4_11200_DODEKABASHI_500_1000	カバシ！
A4_11200_WOMANQUIZ_500_3000	ヨルノズクはね　暗いところでも\nわずかな光があれば　目が見えるのよ
A4_11200_WOMANQUIZ_500_4000	高いところから狙いを定めて\n静かに忍び寄り……　獲物を逃さない！
A4_11200_WOMANQUIZ_500_5000	あなたたちも　不審な行動をして\nついばまれたりしないようにね！
A4_11200_TIM_500_2000	ええ　気をつけます
A4_11200_PIKACHU_500_1000	鋭いくちばしで　つつかれるのは\nカンベン願うぜ……
A4_11200_WOMANQUIZ_500_6000	さて　いよいよ大詰めね\n最後の問題　いくわよ！
A4_11200_WOMANQUIZ_500_7000	腕や頭から葉っぱが生えている\nとっても身軽なポケモン　だーれだ？
A4_11200_DODEKABASHI_500_2000	カーバシ！
A4_11200_TIM_500_3000	見た目からして　明らかに\n竹林にいそうな　ポケモンですね
A4_11200_PIKACHU_500_2000	体の色も　緑色か？\nティム　目を凝らして探してみよう
A4_11200_WOMANQUIZ_500_8000	さぁ　わかったら　わたしに教えてね！
A4_11200_WOMANQUIZ_600_1000	あやしいヤツを　高いところから監視中！？ \n鋭い目のポケモンは　だーれだ？
A4_11200_WOMANQUIZ_600_2000	クイズの答えが　この通りに\nいるとはかぎらないよ！
A4_11200_WOMANQUIZ_600_3000	わかったら　わたしに教えてね！
A4_11200_DODEKABASHI_600_1000	カバシ
A4_11200_WOMANQUIZ_700_1000	これはこれは　探偵さん\n答えは　わかったかしら？
A4_11200_TIM_700_1000	ええ　答えは　モノズですね！
A4_11200_WOMANQUIZ_700_2000	さっすが！　その通りよ！
A4_11200_DODEKABASHI_700_1000	カバー！
A4_11200_WOMANQUIZ_700_3000	モノズはね　目が見えないから\n手当り次第に　かみつくポケモンなのよ
A4_11200_WOMANQUIZ_700_4000	うかつに　近づくのは\nちょっぴり危険　かもね
A4_11200_WOMANQUIZ_700_5000	なんでも食べるみたいなんだけど\nおいしいものは　とくに覚えてるそうよ
A4_11200_PIKACHU_700_1000	そりゃ　食いもの屋の前でうろつくわけだ\nあそこのピザもカレーも　絶品だからな
A4_11200_TIM_700_2000	ポケモンとかに　かみついて\nトラブルにならなければ　いいけどね……
A4_11200_WOMANQUIZ_700_6000	さあ　続いて第２問！\nいくわよ！
A4_11200_WOMANQUIZ_700_7000	あやしいヤツを　高いところから監視中！？ \n鋭い目のポケモンは　だーれだ？
A4_11200_DODEKABASHI_700_2000	カーバシ！
A4_11200_TIM_700_3000	目が　特徴的なんですね
A4_11200_PIKACHU_700_2000	このあたりで　鋭い目のポケモンは\n見なかった気がするぞ
A4_11200_WOMANQUIZ_700_8000	クイズの答えが　この通りに\nいるとはかぎらないよ！
A4_11200_WOMANQUIZ_700_9000	わかったら　わたしに教えてね！
A4_11200_WOMANQUIZ_800_1000	いろんなものに　かみついて\nなんでも食べるポケモンは　だーれだ？
A4_11200_WOMANQUIZ_800_2000	どのポケモンか　わかったら\nわたしに　教えてね！
A4_11200_DODEKABASHI_800_1000	カバシ
A4_11200_WOMANQUIZ_900_1000	あら　探偵さんじゃない？\n偶然ね　こんなところで会うなんて！
A4_11200_WOMANQUIZ_900_2000	もしかして　わたしを\n追っかけてきたのかしら？
A4_11200_DODEKABASHI_900_1000	カーバシ！
A4_11200_PIKACHU_900_1000	ク　クイズハカセじゃねえか\nこんなところまで遠征しているのか
A4_11200_TIM_900_1000	いえ　ちょっと用事があっただけで……
A4_11200_TIM_900_2000	それよりも　ここで会ったということは\nやっぱりまた……
A4_11200_WOMANQUIZ_900_3000	もっちろーん！\n出会ったからには　そのつもりよ！
A4_11200_WOMANQUIZ_900_4000	ここには　何度か生態調査で来てるけど\nいろんなポケモンがいて楽しいのよ！
A4_11200_PIKACHU_900_2000	はあ……　こうなったら\n付き合ってやるしかなさそうだな……
A4_11200_WOMANQUIZ_900_5000	それじゃ　第１問！\n行くわよ！
A4_11200_DODEKABASHI_900_2000	カバシ！
A4_11200_WOMANQUIZ_900_6000	いろんなものに　かみついて\nなんでも食べるポケモンは　だーれだ？
A4_11200_TIM_900_3000	うーん　なんでも食べる　か……
A4_11200_TIM_900_4000	食べものが　落ちてそうなところで\nウロウロしてないかな？
A4_11200_PIKACHU_900_3000	いい読みじゃないか？\n思い当たる場所を　探してみようぜ
A4_11200_WOMANQUIZ_900_7000	それじゃ　どのポケモンかわかったら\nわたしに　教えてね！
A4_11210_MONOZU_400_1000	モノ～
A4_11210_PIKACHU_400_1000	動くものには　なんでもかみつくんだ\n気をつけるんだぞ　ティム
A4_11210_MONOZU_400_2000	モノ～……
A4_11210_PIKACHU_400_2000	オ　オレは　食べられないからな！
A4_11210_MONOZU_500_1000	モノ～
A4_11210_TIM_500_1000	ねえ　ピカチュウ　このポケモン\nあちこち　かみついてるよ
A4_11210_PIKACHU_500_2000	モノズだな　動くものには\nなんでもかみつくから　気をつけろ
A4_11210_MONOZU_500_2000	モノ～！
A4_11210_PIKACHU_500_3000	ここはよく　観光客が落とした\n食いものが食べられるんだと
A4_11210_TIM_500_2000	ははは……\n意外と　食いしん坊なんだね
A4_11210_PIKACHU_500_4000	と　言うことは　だな……
A4_11210_TIM_500_3000	このポケモンが　\nクイズの答えだろうね
A4_11210_PIKACHU_500_5000	よし　クイズハカセへ報告しに行くか
A4_11210_MONOZU_600_1000	モノ～
A4_11210_TIM_600_1000	食べもの屋の前を　ウロウロしてる\nポケモンが　いるなぁ
A4_11220_YORUNOZUKU_400_1000	ホロロロロ
A4_11220_PIKACHU_400_1000	今日は　一段と騒がしい　ってさ
A4_11220_YORUNOZUKU_500_1000	ホロロロロ
A4_11220_PIKACHU_500_1000	高いところから\n見下ろしてるポケモンが　いるな
A4_11220_TIM_500_1000	まるで　この竹林を\n監視してるみたいだね
A4_11220_YORUNOZUKU_500_2000	ホロロロロ……！
A4_11220_PIKACHU_500_2000	おまえたち　明らかに怪しい！\n……だとさ
A4_11220_TIM_500_2000	ええ！？\nぼくたちは調査に来ただけだよ
A4_11220_YORUNOZUKU_500_3000	ホロロロロ……？
A4_11220_PIKACHU_500_3000	そうか　昔　この竹林で\n見慣れないヤツが　大暴れしたのか
A4_11220_PIKACHU_500_4000	それ以来　なにか危険があったら\nみんなに知らせるように　してるんだな
A4_11220_TIM_500_3000	危険なポケモンか\nぼくたちも　気をつけよう……
A4_11220_YORUNOZUKU_500_4000	ホロロロロ！
A4_11220_PIKACHU_500_5000	そうだ！　ティム　このヨルノズク\nハカセが言ってたポケモンじゃないか？
A4_11220_TIM_500_4000	特徴といい　役割といい\nまさに　ピッタリだね！
A4_11220_TIM_500_5000	じゃ　後で報告に行こう
A4_11220_YORUNOZUKU_600_1000	ホロロロロ……！
A4_11220_TIM_600_1000	こっちをずっと見つめている\nポケモンが　いるよ
A4_11220_PIKACHU_600_1000	まるで　怪しいヤツを\n見張っているかのようだな……
A4_11230_JUPTILE_400_1000	ジュプ！
A4_11230_PIKACHU_400_1000	ああ　まかせてくれ\nすみやかに　解決してみせるさ
A4_11230_JUPTILE_500_1000	ジュプ！
A4_11230_PIKACHU_500_1000	ん？　おまえは？
A4_11230_JUPTILE_500_2000	ジュプ～？
A4_11230_PIKACHU_500_2000	なるほど　物音がしたから\n竹やぶから　出てきたと
A4_11230_PIKACHU_500_3000	おまえはここで　なにしているんだ？
A4_11230_JUPTILE_500_3000	ジュプ！
A4_11230_PIKACHU_500_4000	竹林を　見まわりながら\n弱いポケモンを　守ってるらしい
A4_11230_TIM_500_1000	正義感の強い　ポケモンだね
A4_11230_JUPTILE_500_4000	ジュプ～！
A4_11230_PIKACHU_500_5000	今日は　胸騒ぎがする\nなにかが起こるかも　だってさ
A4_11230_TIM_500_2000	え？　まさか……
A4_11230_PIKACHU_500_6000	野生のカン　ってやつかもしれんな
A4_11230_JUPTILE_500_5000	ジュプ！
A4_11230_PIKACHU_500_7000	なにかあったら\nポケモンたちのことを　たのむぜ
A4_11230_TIM_500_3000	ねえ　クイズハカセが言ってた　腕や頭から\n葉っぱが生えてる身軽そうなポケモンって
A4_11230_TIM_500_4000	この　ジュプトルのことじゃない？
A4_11230_PIKACHU_500_8000	たしかに　そうだな\nよし　クイズハカセのところへ　向かおうか
A4_11230_JUPTILE_600_1000	ジュプ～？
A4_11230_TIM_600_1000	竹林の中を　キョロキョロしてる……\n見まわりでも　してるのかな？
A4_11300_KOMATANA_200_1000	コマ……
A4_11300_PIKACHU_200_1000	この竹を切ったものの正体を\n早く知りたいだと
A4_11300_TIM_200_1000	コマタナは真剣だね
A4_11300_KOMATANA_300_1000	コマ……
A4_11300_TIM_300_1000	あれ　このコマタナって……
A4_11300_PIKACHU_300_1000	宝石事件のときに会った\nコマタナじゃないか
A4_11300_PIKACHU_300_2000	こんなところで　なにをしてるんだ？
A4_11300_KOMATANA_300_2000	コマッ！
A4_11300_PIKACHU_300_3000	武者修行の旅をして\nここまで　やってきたのか
A4_11300_KOMATANA_300_3000	コマッ！
A4_11300_PIKACHU_300_4000	そんなことより　この竹を見てくれ　だと？\nただの切れた竹じゃないか
A4_11300_KOMATANA_300_4000	コマーッ！
A4_11300_TIM_300_2000	わ！　急に怒り出した！
A4_11300_PIKACHU_300_5000	なんだと！？　この切れ味の鋭さ！\n美しさは　まさしく達人のもの！
A4_11300_PIKACHU_300_6000	このすばらしさが　わからんのか！　だと
A4_11300_TIM_300_3000	見る人が見ると違うもの　なのかな？
A4_11300_KOMATANA_300_5000	コマッ！
A4_11300_PIKACHU_300_7000	これはきっとポケモンのわざによるものだ
A4_11300_PIKACHU_300_8000	だから　オレたちに　そのポケモンを\n捜してきてほしい　だと？
A4_11300_KOMATANA_300_6000	コマッ！
A4_11300_PIKACHU_300_9000	すごく真剣に　たのまれている……
A4_11300_TIM_300_4000	コマタナにとっては大事なことなんだ\nそれなら　手伝ってあげようか
A4_11300_PIKACHU_300_10000	まあ　ここで会ったのも\nなにかの縁だしな！
A4_11300_PIKACHU_300_11000	待ってろ　コマタナ\nオレたちが捜してきてやるからな！
A4_11300_KOMATANA_300_7000	コマーッ！
A4_11310_NEGIGAKNIGHT_400_1000	キャモッ
A4_11310_TIM_400_1000	この長いクキ　まるで剣みたいだね！
A4_11310_PIKACHU_400_1000	ああ　ネギガナイトはコレを\n武器として戦うらしいからな
A4_11310_PIKACHU_400_2000	そうか　もしかして……！
A4_11310_PIKACHU_400_3000	なあ　ネギガナイト　おまえこの竹林で\n最近　竹を切ったりしなかったか？
A4_11310_NEGIGAKNIGHT_400_2000	キャモッ
A4_11310_PIKACHU_400_4000	修行のために　何度か切った　だと\nやっぱり　そうか！
A4_11310_TIM_400_2000	コマタナが捜していたのは\nネギガナイトだったんだね！
A4_11310_PIKACHU_400_5000	そうとわかれば　さっそくコマタナに\n知らせてやらないとな！
A4_11310_KOMATANA_400_1000	コマッ！
A4_11310_PIKACHU_400_6000	このたたずまい　間違いなく\nあの竹を切ったポケモンだ　か
A4_11310_TIM_400_3000	なんとか見つけられてよかったね
A4_11310_KOMATANA_400_2000	コマッ！
A4_11310_NEGIGAKNIGHT_400_3000	キャモッ？
A4_11310_KOMATANA_400_3000	コマー！
A4_11310_TIM_400_4000	なにを話してるんだろう？
A4_11310_PIKACHU_400_7000	自分のわざを　きわめるために\nネギガナイトに弟子入りしたいそうだ
A4_11310_NEGIGAKNIGHT_400_4000	ネギ
A4_11310_PIKACHU_400_8000	自分はまだ修行の身\n弟子を取ることはできない
A4_11310_PIKACHU_400_9000	ただ　同じ道を歩む者同士\n共に修行にはげもう　だと
A4_11310_KOMATANA_400_4000	コマッ！
A4_11310_PIKACHU_400_10000	うまく話がまとまったみたいだ
A4_11310_KOMATANA_400_5000	コマーッ！
A4_11310_PIKACHU_400_11000	コマタナとネギガナイトはこれから\n２匹で旅に出るそうだ
A4_11310_PIKACHU_400_12000	ネギガナイトと引き合わせてくれたことを\n感謝してくれてるようだぞ
A4_11310_TIM_400_5000	お礼なんていいよ\nどっちもがんばってね
A4_11310_KOMATANA_400_6000	コマーッ！
A4_11310_NEGIGAKNIGHT_400_5000	キャモッ
A4_11310_PIKACHU_400_13000	行っちまったな……
A4_11310_TIM_400_6000	いつか　彼らが目指してるような\nすごいポケモンになれるといいね
A4_11310_PIKACHU_400_14000	ああ　そうだな
A4_11310_NEGIGAKNIGHT_500_1000	キャモッ
A4_11310_TIM_500_1000	わ　すごく長いクキを持った\nポケモンがいる！
A4_11310_PIKACHU_500_1000	ネギガナイトだな　クキを剣に\nネギを盾にして戦うらしい
A4_11310_NEGIGAKNIGHT_500_2000	キャモッ
A4_11310_PIKACHU_500_2000	自分のわざを　きわめるために\n世界中を旅しているんだそうだ
A4_11310_TIM_500_2000	へえ　前にも似たようなポケモンに\n会ったことがある気がするね
A4_11400_BXMANMID01_200_1000	ノコッチのことは　発表しないけど\n研究は続けたいと思ってるよ！
A4_11400_BXMANMID01_200_2000	次の研究テーマは\nノコッチと仲よくなる方法　だな
A4_11400_TIM_200_1000	とっても　いい研究だと思います\nがんばってくださいね
A4_11400_PIKACHU_200_1000	ノコッチの迷惑にならない程度に\n研究してくれたら　いいな
A4_11400_BXMANMID01_300_1000	珍しいポケモン　見つかったかい？
A4_11400_TIM_300_1000	いえ　見かけてないです\n見かけたら　お知らせしますね
A4_11400_BXMANMID01_400_1000	キミたち！\nちょっといいかな？
A4_11400_TIM_400_1000	ええと……\nなんでしょうか？
A4_11400_BXMANMID01_400_2000	おっと！　怪しい者じゃないぞ！\nわたしは　ポケモンの研究者なんだ！
A4_11400_BXMANMID01_400_3000	この竹林に　とても珍しい\nポケモンが　いるはずなんだ
A4_11400_BXMANMID01_400_4000	足を棒にして　歩きまわっているのだが\n見つからない……
A4_11400_TIM_400_2000	珍しいポケモン……？
A4_11400_BXMANMID01_400_5000	そう　ノコッチだよ！
A4_11400_BXMANMID01_400_6000	そのポケモンは　人の姿を見ると\nすぐに穴を掘って　逃げてしまうんだ！
A4_11400_PIKACHU_400_1000	人が苦手なのか\nシャイなヤツなんだな……
A4_11400_BXMANMID01_400_7000	もし見かけたら　わたしに教えてほしい\nなんとしても　この目で見たいんだ！
A4_11400_TIM_400_3000	わかりました　それらしいポケモンがいたら\nお知らせしますね
A4_11400_BXMANMID01_400_8000	ありがとう！\n吉報を　待ってるよ！
A4_11410_SECRETNOKOCCHI_100_1000	ボコボコ……
A4_11410_PIKACHU_100_1000	……ティム\nいまなにか　音がしなかったか？
A4_11410_TIM_100_1000	え？\nなにも聞こえなかったけど？
A4_11410_PIKACHU_100_2000	……そうか\nオレのカン違いか
A4_11420_SECRETNOKOCCHI_100_1000	ボコ！\nボコボコ！
A4_11420_TIM_100_1000	……なにか　変な音がする
A4_11420_PIKACHU_100_1000	おまえにも　聞こえたか　ティム！
A4_11420_TIM_100_2000	崖の方から　聞こえたと思う\n行ってみよう！
A4_11430_SECRETNOKOCCHI_100_1000	ボコボコボコ！
A4_11430_PIKACHU_100_1000	ここで　道が止まっている……
A4_11430_SECRETNOKOCCHI_100_2000	ボコボコボコッ！
A4_11430_TIM_100_1000	ピカチュウ！\nなにか　地中から出てくるよ！？
A4_11430_NOKOCCHI_100_1000	ノコッ……
A4_11430_PIKACHU_100_2000	知らないポケモンだな\nおまえは　誰だ？
A4_11430_BXMANMID01_100_1000	キミたちの後をつけてきて　よかった！
A4_11430_BXMANMID01_100_2000	ウワサで聞いてたけど　やっぱりここは\nノコッチの生息地　だったんだ！
A4_11430_NOKOCCHI_100_2000	ノコ～ッ……
A4_11430_PIKACHU_100_3000	おまえ　ノコッチっていうのか\nすっかり　おびえてるみたいだが……
A4_11430_TIM_100_2000	あの……\nあなたは　この後　どうするんですか？
A4_11430_BXMANMID01_100_3000	ここが　ノコッチの生息地だと\n大々的に　発表するつもりさ！
A4_11430_BXMANMID01_100_4000	この大発見で　わたしは有名になる！\nバンブーストリートも　お客が増える！
A4_11430_BXMANMID01_100_5000	ノコッチは　バンブーストリートの\n名物になるだろうね！
A4_11430_PIKACHU_100_4000	おいおい　そんなことしたら\nこいつは　暮らしていけなくなるぞ
A4_11430_NOKOCCHI_100_3000	ノコッ……
A4_11430_TIM_100_3000	ノコッチは　静かに暮らしたいみたいです
A4_11430_TIM_100_4000	大々的に発表するのは\nやめてもらえないでしょうか？
A4_11430_BXMANMID01_100_6000	いやいや　せっかくの大発見だ！\nそういうわけにはいかない！
A4_11430_NOKOCCHI_100_4000	ノコッ……
A4_11430_BXMANMID01_100_7000	発表すれば　世界中の研究者を驚かせ\nわたしは一躍有名人だ
A4_11430_NOKOCCHI_100_5000	ノコッ……
A4_11430_TIM_100_5000	このノコッチの顔を見て\nなにも思わないんですか！
A4_11430_NOKOCCHI_100_6000	ノコッ……
A4_11430_BXMANMID01_100_8000	……ううっ！\nなんて悲しい目をするんだ　ノコッチ！
A4_11430_NOKOCCHI_100_7000	ノコッ……
A4_11430_BXMANMID01_100_9000	……わかった\n……怖がらせて　ごめんノコッチ
A4_11430_BXMANMID01_100_10000	発表は　やめておくよ\nノコッチの生活を守るのも　研究者の役目だ
A4_11430_NOKOCCHI_100_8000	……ノコッ？
A4_11430_PIKACHU_100_5000	安心しろ　ノコッチ\nもう　大丈夫だ
A4_11440_NOKOCCHI_100_1000	ノコッ……
A4_11440_TIM_100_1000	ぼくたちが　騒がしくしたせいで\n怖がらせちゃったね……
A4_1150_BHMAN01_100_1000	こんにちは！\n……あれ？
A4_1150_TIM_100_1000	どうしたの？
A4_1150_BHMAN01_100_2000	お兄ちゃん\nぼくと会ったのは　初めてだよね？
A4_1150_TIM_100_2000	初めてだと思うけど　どうかしたのかい？
A4_1150_BHMAN01_100_3000	昔　ケガしたポケモンを助けた人がいて\nその人に　雰囲気が似てるって思ったんだ
A4_1150_TIM_100_3000	へえ　そういう人がいたんだね
A4_1150_PIKACHU_100_1000	世の中には　自分と似てる人間が\n３人はいるって　いうからな
A4_1150_TIM_100_4000	そうだ\n少し　話を聞かせてもらえないかな？
A4_1150_BHMAN01_200_1000	お兄ちゃんってさ\nケガしたポケモンを助けた人と　似てるね
A4_1150_SEL_0_1000	バンブーストリートについて
A4_1150_SEL_0_2000	気になることについて
A4_1150_BHMAN01_300_1000	この町の空気って　きれいでしょ\nなんでか　わかる？
A4_1150_TIM_300_1000	さあ　なんでなの？
A4_1150_BHMAN01_300_2000	竹が　空気をきれいにしてくれるのさ \n部屋に竹炭を置くと　効果があるんだ
A4_1150_PIKACHU_300_1000	竹炭が売られているのは \n燃やすためだけじゃないんだな
A4_1150_TIM_300_2000	おみやげに配ってもいいかも
A4_1150_PIKACHU_300_2000	よし\nパブロやホリデイにも持って行ってやろう
A4_1150_TIM_400_1000	最近　この町で　おかしなことはあった？
A4_1150_BHMAN01_400_1000	ううん　別にないよ\n先生がいそがしそうなのも　変わらないし
A4_1150_TIM_400_2000	先生？
A4_1150_BHMAN01_400_2000	ジェシカ先生だよ\n先生は　すっごくポケモンにくわしいんだ！
A4_1150_TIM_400_3000	ジェシカ先生！？\nいま　どこにいるか知らないかな？
A4_1150_BHMAN01_400_3000	さっき　ピザ屋さんから出て行ったよ
A4_1150_TIM_400_4000	ありがとう\nそれじゃ　町の中を捜してみるよ
A4_11500_KODUCK_200_1000	クワッバ
A4_11500_PIKACHU_200_1000	相棒を　置いてきぼりにするなんて\nおまえのパートナー　あわててたんだな
A4_11500_PIKACHU_200_2000	仕事熱心なのは　いいことだが\n少し落ちついてほしいな
A4_11500_TIM_200_1000	コダックは　不安じゃないの？\nパートナーと離れ離れになって……
A4_11500_PIKACHU_200_3000	たしかに　ちょっと心配だな\nどうなんだ　コダック？
A4_11500_KODUCK_200_2000	クワッバ？
A4_11500_PIKACHU_200_4000	……おまえ　のんきなヤツだなあ
A4_11500_KODUCK_300_1000	クワッバ！
A4_11500_PIKACHU_300_1000	おまえは　コダックだな\nこんなところで　なにしてるんだ？
A4_11500_KODUCK_300_2000	クワッバ！
A4_11500_TIM_300_1000	なんて言ってるの　ピカチュウ？
A4_11500_PIKACHU_300_2000	コダックのパートナーが\nこのあたりで取材をしてるそうだ
A4_11500_PIKACHU_300_3000	グルメスポットを特集するから\nいい店を探しているらしい
A4_11500_PIKACHU_300_4000	うまい店を　知らないか？　だってさ
A4_11500_TIM_300_2000	ぼくたちは　ここに来たばかりだから\nちょっと　わからないかな
A4_11500_PIKACHU_300_5000	……一番のおススメは\nそこにある　ピザ屋だ
A4_11500_PIKACHU_300_6000	竹炭入りの　窯焼きピザは\n絶品の　一言だぜ！
A4_11500_PIKACHU_300_7000	後は　そっちにある\nカレー屋も　いいぞ
A4_11500_PIKACHU_300_8000	マトマのみが入ってて　ゲキカラだが\nこれが　コーヒーとマッチするんだよ
A4_11500_TIM_300_3000	ピカチュウ　まるで　自分で食べてきた\nみたいな　語りっぷりだね……
A4_11500_PIKACHU_300_9000	あ？　ああ　そういやそうだな……\nなぜだろう……
A4_11500_PIKACHU_300_10000	それより　取材に来てるってことは\nおまえの相棒は　記者か？
A4_11500_KODUCK_300_3000	クワッバ！
A4_11500_PIKACHU_300_11000	なるほど！\nＧＮＮのリポーターなのか
A4_11500_KODUCK_300_4000	クワッバ～……
A4_11500_PIKACHU_300_12000	じゃあ　コダック\nおまえのパートナーに　よろしくな
A4_11500_KODUCK_300_5000	クワッバ　クワォバ～
A4_1160_BAWOMAN01_100_1000	わたし　この町のピザ屋さんの大ファン！\n毎日食べても　全然飽きないのよ
A4_1160_TIM_100_1000	そんなに　おいしいんですか？
A4_1160_BAWOMAN01_100_2000	もう　言葉じゃ表現しきれないくらい\nおいしいのよ！
A4_1160_PIKACHU_100_1000	ピザ屋って　ジェシカがいる店だろ？\n話を聞いてみようぜ
A4_1160_TIM_100_2000	そうだね\nあの　お話をうかがってもいいですか？
A4_1160_BAWOMAN01_100_3000	ええ　もちろんよ\nピザのことなら　なんでも聞いてちょうだい
A4_1160_BAWOMAN01_200_1000	ピザのことなら　なんでも聞いてちょうだい
A4_1160_PIKACHU_200_1000	すまないが\nピザ以外のことも　聞かせてくれ
A4_1160_SEL_0_1000	バンブーストリートのピザについて
A4_1160_SEL_0_2000	気になることについて
A4_1160_BAWOMAN01_300_1000	ピザマニアのあいだでは\nこの町のピザは　とっても有名なの
A4_1160_PIKACHU_300_1000	ほう　そこまで言われると\n食べてみたくなるな
A4_1160_TIM_300_1000	調査が終わったら食べてみようか
A4_1160_TIM_400_1000	最近　この町で\n気になることはありましたか？
A4_1160_BAWOMAN01_400_1000	そうね……　昨日のことだけど\nピザ屋さんで不思議なことがあったのよ
A4_1160_TIM_400_2000	ピザ屋で不思議なこと！？
A4_1160_PIKACHU_400_1000	ティム……　昨日ってことは！？
A4_1160_TIM_400_3000	うん！\nその話　くわしく教えてください！
A4_1160_BAWOMAN01_400_2000	昨日　メニューにないピザを出してくれたの\nもしかして常連と認められたのかしら！？
A4_1160_TIM_400_4000	不思議なこと……？
A4_1160_PIKACHU_400_2000	ピザ屋の大ファンだってことは　伝わったぜ
A4_1180_PARAS_100_1000	パラパラ～
A4_1180_PIKACHU_100_1000	こいつのパートナーは\n有名なピザマニアなんだとさ
A4_1180_TIM_100_1000	それは　色々とすごいね……
A4_1180_PARAS_200_1000	パラパラ～
A4_1180_PIKACHU_200_1000	こいつのパートナーは\n有名なピザマニアなんだとさ
A4_1180_SEL_0_1000	バンブーストリートについて
A4_1180_SEL_0_2000	気になることについて
A4_1180_PARAS_300_1000	パラパラパラ～
A4_1180_PIKACHU_300_1000	ピザ屋の店長や　漢方薬屋の人が\nチラチラと見てくるのは　なんでかなだってよ
A4_1180_TIM_300_1000	パラスのことが　好きなのかな？
A4_1180_PIKACHU_400_1000	最近　おかしなことはあったか？
A4_1180_PARAS_400_1000	パラパラ～
A4_1180_PIKACHU_400_2000	別にないか\n手間をかけさせたな
A4_1200_PIZZASTORE_100_1000	どーも！\nいらっしゃいまっせー！！
A4_1200_PIZZASTORE_100_2000	バンブーストリートきっての名店\n竹炭ピッツァへ　ようこそ！！
A4_1200_TIM_100_1000	ど　どうも
A4_1200_PIZZASTORE_100_3000	うちのピッツァは竹炭入りの生地で健康的！\n香りと味わいは　絶品だよ！
A4_1200_TIM_100_2000	ずいぶんと　テンションが高いですね……
A4_1200_PIZZASTORE_100_4000	おいしいピッツァには\n素敵な笑顔！　ってね
A4_1200_PIKACHU_100_1000	とにかく　店長から話を聞いてみるか
A4_1200_PIZZASTORE_200_1000	うちのピッツァは　\n香りと味わいが最高ですよ！
A4_1200_SEL_0_1000	ピザ屋について
A4_1200_SEL_0_2000	ジェシカについて
A4_1200_PIZZASTORE_300_1000	じつはいま　新メニューを考案中でして……
A4_1200_PIZZASTORE_300_2000	それは　冬虫夏草を使った\n新しいキノコピッツァなんです！
A4_1200_PIZZASTORE_300_3000	どうです？\n人気が出ると　思いませんか？
A4_1200_TIM_300_1000	冬虫夏草？\n漢方薬の一種でしたっけ？
A4_1200_PIZZASTORE_300_4000	そうです　よくご存じですね\nパラスを見てて　思いついたんです！
A4_1200_PIKACHU_300_1000	ピザと　健康が合わさったら\nかなり喜ばれるだろうな
A4_1200_TIM_400_1000	ぼくたち　この写真の女性を捜していて\nピザ屋さんにいると聞いたんですが……
A4_1200_PIZZASTORE_400_1000	ジェシカさんじゃないか\nたしかに　彼女なら　うちで働いてますよ
A4_1200_PIZZASTORE_400_2000	もう　２年くらいかな\n彼女がどうかしたんですか？
A4_1200_TIM_400_2000	ジェシカさんは　ぼくらの友人なんです
A4_1200_PIZZASTORE_400_3000	そうか　会いに来てくれたんですね\nジェシカさんも喜びますよ
A4_1200_PIZZASTORE_400_4000	……でも　いまは店にいないんですよ\n竹炭と食材を採りに行ってもらっていて
A4_1200_PIKACHU_400_1000	食材調達か\n飲食店にとって　重要な仕事だな
A4_1200_TIM_400_3000	教えてもらって　助かりました
A4_1200_PIZZASTORE_400_5000	竹炭屋は　すぐ　そこだから\n行ってみては？
A4_1202_TIM_100_1000	竹炭屋には　誰もいないようだね
A4_1205_TIM_100_1000	あれ？　ピカチュウこれって？
A4_1205_PIKACHU_100_1000	それは　竹炭ってやつだな\n竹炭職人が竹を焼いてつくるんだ
A4_1205_TIM_100_2000	へえ　ピカチュウ　くわしいんだね
A4_1205_PIKACHU_100_2000	まあな
A4_1205_TIM_100_3000	お店の奥に　作業場があるのかな？
A4_1205_PIKACHU_100_3000	そうだな　かすかに物音が聞こえる
A4_1205_TIM_100_4000	行ってみる？
A4_1205_PIKACHU_100_4000	いや　職人の仕事を止めるのは\nやめておこう
A4_1205_PIKACHU_100_5000	ジェシカがいるなら　声がするはずだ
A4_1205_TIM_100_5000	うん　そうだね
A4_1206_TIM_100_1000	竹炭屋さん　まだ開店前みたいだね
A4_1206_PIKACHU_100_1000	職人は　ものづくりに熱心なヤツが多いから\n炭づくりでもしてるのかもな
A4_1230_JESSICA_100_1000	大丈夫ですか　親方さん
A4_1230_CHARCOALMASTER_100_1000	なあに　いつもの　ギックリ腰よ\nいっつつ……
A4_1230_RACHEL_100_1000	ジェシカ！
A4_1230_JESSICA_100_2000	レイチェル？　それにティムくんまで
