A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの　だいじなぼうしを\nもっていっちまった
A3_1955_TIM_400_2000	でも　こんなに　こおってちゃ\nなにが　えがいてあるか　わからないね
A3_1955_PIKACHU_400_2000	へきがを　みるには\nさきに　この　こおりを\nなんとか　しないとな
A3_1955_TIM_400_3000	ここには　なにが　かいてあるんだろう
A3_1960_TIM_100_1000	この　へきがを　みて\nゴードンきょうじゅは\nなにかに　きづいたんだよね
A3_1960_PIKACHU_100_1000	ああ　オレたちも　しらべてみよう\nみおとしが　ないように　じっくりとな
A3_1970_PIKACHU_100_1000	さて　まずは　どこから　しらべるか
A3_1980_PIKACHU_5000_1000	まだ　しらべるところが\nあるんじゃないか？
A3_1990_TIM_100_1000	この　ナゲツケサルの　かおは\nつらそうに　みえるね
A3_1990_PIKACHU_100_1000	これは　おそらく\n<color=#F39800FF>すっぱいものを　たべたときの　かお</color>だな
A3_1990_TIM_100_2000	この　かおは\nほかに　かんがえようが　ないね
A3_2000_TIM_100_1000	この　ナゲツケサルは\nきのみを　もっている　ポーズだね
A3_2000_PIKACHU_100_1000	そうだな\n<color=#F39800FF>あおい　きのみ</color>を　もっているな
A3_2000_PIKACHU_300_1000	さっきの　へきがは\nきいろい　きのみ　だったが\nこっちは　あおいろか……
A3_20110_TIM_100_1000	ヒヒダルマが　ちからを　かしてくれて\nよかったね
A3_20110_PIKACHU_100_1000	ああ　こいつの　パワーなら\nあの　ガレキも　こわせるはずだ！
A3_20110_PIKACHU_100_2000	これでゴードンをたすけられるぞ！
A3_20120_RACHEL_100_1000	ヒヒダルマ……！\nそのうえに　ピカチュウ！？
A3_20120_RACHEL_100_2000	なにが　どうなってるの？
A3_20120_PIKACHU_100_1000	あとで　ティムが\nせつめいして　くれるさ
A3_20130_YADON_100_1000	（キミが　ゴーさんを\n　たすけてくれるんだね～）
A3_20130_GHIHIDARUMA_100_1000	（あの　にんげんは\n　キミの　ともだちなの？）
A3_20130_YADON_100_2000	（そうだよ～\n　だから　たのむよ～）
A3_20130_GHIHIDARUMA_100_2000	（う　うん　まかせておいてよ）
A3_20130_PIKACHU_100_1000	ヒヒダルマめ　ともだちと　きいて\nざいあくかんを　おぼえたんだな
A3_20140_PIKACHU_100_1000	おいおい　どこに　いくんだ？\nまずは　ゴードンを　たすけてくれよ！
A3_20150_GHIHIDARUMA_100_1000	（ここを　こわせば　いいんだね）
A3_20150_PIKACHU_100_1000	ああ　できるか？
A3_20150_GHIHIDARUMA_100_2000	（うん\n　これなら　かんたんに　こわせるよ！）
A3_20150_PIKACHU_100_2000	よし　じゃあ　たのむぞ　ヒヒダルマ！\nその　ガレキを　こわしてくれ！
A3_20160_PIKACHU_100_1000	よし！\nこれで　ゴードンを　たすけられる！
A3_20160_PIKACHU_100_2000	ありがとな　ヒヒダルマ！
A3_20160_GHIHIDARUMA_100_1000	（どういたしまして　って\n　いうのも　へんだよね）
A3_20160_YADON_100_1000	（……あれ？\n　いつのまにか　ガレキが　なくなってる）
A3_20160_PIKACHU_100_3000	おいおい　いま　きがついたのか\nだが　これで　ゴードンを　たすけられるぞ
A3_20160_GHIHIDARUMA_100_2000	（ねえ　ピカチュウ\n　ぼくの　おねがい　わすれないでね）
A3_20160_PIKACHU_100_4000	ああ　もちろんだ\nすこしだけ　まっててくれ！
A3_2020_TIM_100_1000	この　へきがに\nしらべられそうなところは　もう　ないね
A3_2020_PIKACHU_100_1000	もう　じゅうぶんだろう\nほかの　ばしょを　ちょうさしよう
A3_20205_PIKACHU_100_1000	それで　おまえの　ともだちが\nどこに　いるか\nこころあたりは　あるのか？
A3_20205_GHIHIDARUMA_100_1000	（みんな　うえの　かいに\n　いくって　いってたから\n　まだ　そこに　いると　おもう）
A3_20205_PIKACHU_100_2000	おまえの　ともだち　っていうのは\nどんな　ポケモンなんだ？
A3_20205_GHIHIDARUMA_100_2000	（バニプッチに　バリヤードに\n　カチコール　それに　ムチュールだよ）
A3_20205_PIKACHU_100_3000	バニプッチ　バリヤード\nカチコール　ムチュール　か
A3_20205_PIKACHU_100_4000	きたときに　それらしい　ポケモンは\nみなかったけどな
A3_20205_PIKACHU_100_5000	そとに　でているって　ことは　あるか？
A3_20205_GHIHIDARUMA_100_3000	（たぶん　それは　ないと　おもう）
A3_20205_GHIHIDARUMA_100_4000	（にんげんが　いるかもしれないから\n　そとには　でたくないだろうし）
A3_20205_PIKACHU_100_6000	となると　どこかに\nかくれているんだろうな
A3_20205_PIKACHU_100_7000	よし\nうえの　かいを　さがしてみるか
A3_20205_GHIHIDARUMA_100_5000	（うん　よろしくね！\n　ピカチュウ！）
A3_20210_TIM_100_1000	きょうじゅが　むちゃを\nしないか　みはってるよ
A3_20210_TIM_100_2000	なるべく　はやく　もどってきてね
A3_20210_PIKACHU_100_1000	めいたんていに　かかれば\nポケモンさがしなんて　おてのものさ
A3_20210_PIKACHU_100_2000	さっさと　おわらせてやるよ
A3_20220_TIM_100_1000	ポケモンたちは　みつかった？
A3_20230_RACHEL_100_1000	ヒヒダルマは　あたまの　ゆきに\nしょくりょうを　しまうって\nきいたけど……
A3_20230_RACHEL_100_2000	まさか　ピカチュウが\nはいってる　すがたが　みれるなんてね
A3_20230_RACHEL_100_3000	ふふ　なんだか　かわいいな
A3_20230_PIKACHU_100_1000	オレたちの　こと　かわいいってよ
A3_20230_GHIHIDARUMA_100_1000	（かわいい？　すこし　てれるね）
A3_20240_RACHEL_100_1000	こんな　かわいい　ヒヒダルマと\nピカチュウが　みれるなんてね
A3_20240_RACHEL_100_2000	ティムに　ついてきて　よかった
A3_20250_GORDON_100_1000	たいへんな　めに　あわされたが\nキミに　たすけられたのも　じじつだ
A3_20250_GORDON_100_2000	れいは　いわせてもらうよ\nヒヒダルマくん
A3_20250_PIKACHU_100_500	おい　ヒヒダルマ\nゴードンが　ありがとう　だってさ
A3_20250_GHIHIDARUMA_100_1000	（え〜　そうなの？\n　ぼく　ひどいことしちゃったのに）
A3_20250_PIKACHU_100_1000	こう　すなおに　かんしゃされると\nことばに　こまるよな
A3_20250_PIKACHU_100_2000	どのみち　ことばは　つうじないけどな
A3_20260_GORDON_100_1000	ありがとう　ヒヒダルマくん
A3_20270_YADON_100_1000	（ゴーさんを　たすけてくれて\n　ありがと～）
A3_20270_GHIHIDARUMA_100_1000	（それなんだけど……）
A3_20270_GHIHIDARUMA_100_2000	（じつは　ぼくが　カンちがいして\n　キミの　ともだちを　とじこめちゃったんだ）
A3_20270_YADON_100_2000	（あ～　そうだったんだ～）
A3_20270_YADON_100_3000	（でも　ゴーさんなら　ゆるしてくれるから\n　きにしなくて　いいよ～）
A3_20270_GHIHIDARUMA_100_3000	（ほんと？　ありがとう）
A3_20270_PIKACHU_100_1000	よかったな　ヒヒダルマ
A3_20280_YADON_100_1000	（ゴーさんを　たすけてくれて\n　ありがと～）
A3_20290_GHIHIDARUMA_100_1000	（このかべ　ほかと　ちょっと　ちがうね）
A3_20290_PIKACHU_100_1000	ああ　にんげんが　かいた　へきがだな\nメッセージが　こめられているんだ
A3_20300_HASSBOH01_100_1000	（ピカチュウ　そろそろ\n　もとの　いけに　かえっても　いいかな？）
A3_20300_PIKACHU_100_1000	おっと　そうだった\nありがとな　てつだってくれて
A3_20300_HASSBOH01_100_2000	（ううん　どういたしまして）
A3_20300_PIKACHU_100_2000	しまった　オレたちは\nどうやって　わたる？
A3_20300_GHIHIDARUMA_100_1000	（だいじょうぶ　ぼくに　まかせて）
A3_20300_GHIHIDARUMA_100_2000	（みずだったら　こうすれば……）
A3_20305_GHIHIDARUMA_100_1000	（これで　とおれるよ）
A3_20305_PIKACHU_100_1000	なるほど　こおりポケモンなら\nみずを　こおらせるぐらい　かんたんか
A3_20320_GHIHIDARUMA_100_1000	（このかべ　ほかと　ちょっと　ちがうね）
A3_20320_PIKACHU_100_1000	ああ　にんげんが　かいた　へきがだな\nメッセージが　こめられているんだ
A3_20325_GHIHIDARUMA_100_1000	（みんなが　いるのは\n　たぶん　この　かいだよ）
A3_20325_GHIHIDARUMA_100_2000	（もしかしたら　みつかりにくい　ところに\n　かくれてるかも）
A3_20325_PIKACHU_100_1000	わかった\nねんいりに　さがしてみよう
A3_20325_GHIHIDARUMA_100_3000	（ありがとう　ピカチュウ！）
A3_20325_PIKACHU_100_2000	こんどは　オレが\nおまえの　ちからに　なる　ばんさ
A3_20330_GHIHIDARUMA_100_1000	（あ　ここにいたよ）
A3_20330_PIKACHU_100_1000	いたって……\nここには　だれも　いないぞ
A3_20330_GHIHIDARUMA_100_2000	（ううん　たぶん　ねてるんだよ）
A3_20330_GHIHIDARUMA_100_3000	（ねえ　おきてよ　バニプッチ）
A3_20330_VANIPETI_100_1000	（うーん……\n　その　こえは　ヒヒダルマー？）
A3_20350_PIKACHU_100_1000	この　ゆきの　なかには\nバニプッチが　いたのか
A3_20350_PIKACHU_100_2000	そういえば　バニプッチは\nゆきの　なかで　ねむる\nせいしつが　あるんだったな
A3_20350_VANIPETI_100_1000	（おや\n　ピカチュウも　いっしょに　いるんだ）
A3_20350_VANIPETI_100_2000	（それで　なにか　よう\n　ヒヒダルマ？）
A3_20350_GHIHIDARUMA_100_1000	（すがたが　みえないから\n　ようすを　みにきたんだよ）
A3_20350_PIKACHU_100_3000	ちょうどいい\nすこし　はなしを　きかせてもらえないか？
A3_20360_VANIPETI_100_1000	（なにか　ききたいことが　あるの？）
A3_20360_SEL_0_1000	バニプッチに　ついて
A3_20360_SEL_0_2000	ほかの　ポケモンに　ついて
A3_20360_PIKACHU_300_1000	おまえは　ここで\nなにを　していたんだ？
A3_20360_VANIPETI_300_1000	（ひろいところは　ひさしぶり　だったから\n　ゆきを　ふらせて　あそんでたんだ）
A3_20360_PIKACHU_300_2000	それで　この　へやは　こんなに\nゆきが　つもっているのか
A3_20360_VANIPETI_300_2000	（そしたら　あそびつかれて\n　ねむっちゃったの）
A3_20360_GHIHIDARUMA_300_1000	（あぶない　めには　あったりしなかった？）
A3_20360_VANIPETI_300_3000	（うん　だいじょうぶだよ\n　しんぱいしょうだな　ヒヒダルマは）
A3_20360_PIKACHU_400_1000	ほかの　ポケモンたちは\nいっしょじゃ　ないのか？
A3_20360_VANIPETI_400_1000	（ここの　へやで　あそんでいたのは\n　わたしだけだよ）
A3_20360_PIKACHU_400_2000	そうか　ほかの　ポケモンたちは\nべつの　へやに　いるんだな
A3_20375_SECRETMUCHUL_100_1000	（うう……　ぐすっ……）
A3_20375_PIKACHU_100_1000	ん？　いま　なにか\nなきごえが　きこえなかったか？
A3_20375_GHIHIDARUMA_100_1000	（ぼくにも　きこえた！\n　こおりの　なかからだよ！）
A3_20375_PIKACHU_100_2000	だれか　なかに　いるのかも　しれないぞ！\nヒヒダルマ　この　こおりを　こわせるか？
A3_20375_GHIHIDARUMA_100_2000	（うん！　まかせて！）
A3_20390_MUCHUL_100_1000	（わー　ヒヒダルマだー！\n　たすけてくれて　ありがとう！）
A3_20390_GHIHIDARUMA_100_1000	（さがしたよ　ムチュール！）
A3_20390_PIKACHU_100_1000	まさか　こおりの　なかに　いたとはな……
A3_20390_MUCHUL_100_2000	（あれ？　ヒヒダルマの　あたまに\n　はえてるのは　だあれ？）
A3_20390_GHIHIDARUMA_100_2000	（ピカチュウだよ\n　いっしょに　みんなを\n　さがしてくれてるんだ）
A3_20390_PIKACHU_100_2000	おう　よろしくな！\nさっそくだが\nはなしを　きいても　いいか？
A3_2040_TIM_100_1000	いせきの　おくに　すすむには\nへきがで　しめされた\nきのみを　あつめないと　いけないね
A3_2040_PIKACHU_100_1000	ひつようなのは\nあおくて　すっぱい　きのみと\nきいろくて　あまい　きのみ　か
A3_2040_TIM_100_2000	みためは　みれば　わかるけど\nあじについては　どうしようか？
A3_2040_PIKACHU_100_2000	オレも　きのみの　あじまでは\nしらないからな
A3_2040_PIKACHU_100_3000	こうなったら\nぜんぶ　たべてみるしかないか
A3_2040_TIM_100_3000	え！？　たべるの！？
A3_2040_PIKACHU_100_4000	それが　いちばん\nてっとりばやいだろう！
A3_2040_TIM_100_4000	おなかを　こわしたり　しないでね
A3_2040_PIKACHU_100_5000	しんぱい　するな\nきのみは　ポケモンのこうぶつだぞ
A3_2040_PIKACHU_100_6000	よし　そうときまれば\nきのみを　あつめるぞ　ティム！
A3_20400_MUCHUL_100_1000	（どんなことを　ききたいの？）
A3_20400_SEL_0_1000	ムチュールに　ついて
A3_20400_SEL_0_2000	ほかの　ポケモンに　ついて
A3_20400_PIKACHU_300_1000	おまえは　どうやって\nこおりの　なかに　はいったんだ？
A3_20400_MUCHUL_300_1000	（あたち　ピカピカの　こおりで\n　おうちを　つくろうと　おもってたの）
A3_20400_MUCHUL_300_2000	（でも　おおきな\n　こおりを　つくってるうちに\n　でられなくなっちゃって……）
A3_20400_MUCHUL_300_3000	（うう　さびしかったよお……）
A3_20400_PIKACHU_300_2000	わかった　わかった\nもう　たすかったんだから　なくなって
A3_20400_PIKACHU_400_1000	ここには　おまえしか　いないのか？
A3_20400_MUCHUL_400_1000	（うん　ほかには　いないよ\n　だから　ずっと　でられなかったの）
A3_20410_GHIHIDARUMA_100_1000	（へんな　えが　かいてある）
A3_20410_PIKACHU_100_1000	ああ　たしかにな
A3_20420_GHIHIDARUMA_100_1000	（へんな　えが　かいてある）
A3_20420_PIKACHU_100_1000	ああ　たしかにな
A3_20430_GHIHIDARUMA_100_1000	（へんな　えが　かいてある）
A3_20430_PIKACHU_100_1000	ああ　たしかにな
A3_20435_PIKACHU_100_1000	ずいぶん　ぶあつい　こおりだよな
A3_20435_GHIHIDARUMA_100_1000	（ぼくの　パンチなら　こわせると　おもうよ）
A3_20435_PIKACHU_100_2000	ほんとうか？\nなら　ここも　たのむぞ　ヒヒダルマ！
A3_20460_GBARRIERD_100_1000	（おお　ヒヒダルマ！\n　ぼくの　おんじん！）
A3_20460_GBARRIERD_100_2000	（ここから　でられなくて　こまってたんだ\n　たすけに　きてくれて　ありがとう！）
A3_20460_GBARRIERD_100_3000	（この　よろこびは\n　タップダンスで　ひょうげん　しないと！）
A3_20460_PIKACHU_100_1000	そういえば\nこおりタイプの　バリヤードは\nタップダンスが　とくいだったな
A3_20460_GHIHIDARUMA_100_1000	（ダンスは　いいよ\n　それより　げんきそうで　あんしんした）
A3_20460_PIKACHU_100_2000	こおりの　おくに　みえてた　かげは\nこいつ　だったんだな
A3_20460_GBARRIERD_100_4000	（おや？\n　この　ピカチュウは　どちらさま？）
A3_20460_PIKACHU_100_3000	さっき　そこで　ともだちになってな\nちょっと　はなしを　きいても　いいか？
A3_20470_GBARRIERD_100_1000	（なにが　ききたいの？）
A3_20470_SEL_0_1000	バリヤードに　ついて
A3_20470_SEL_0_2000	ほかの　ポケモンに　ついて
A3_20470_PIKACHU_300_1000	おまえは　どうして\nこんな　ところに　いたんだ？
A3_20470_GBARRIERD_300_1000	（そこに　いる　カチコールが\n　ここを　ひんやりさせようと　してたんだ）
A3_20470_GBARRIERD_300_2000	（だから　いっしょに\n　おおきな　こおりの　かべを\n　つくろうって　がんばったんだよ！）
A3_20470_GBARRIERD_300_3000	（でも　がんばりすぎるのも\n　よくないね！\n　でられなくなるとは　おもわなかったよ）
A3_20470_PIKACHU_300_2000	あの　こおりは　おまえたちの\nしわざ　だったのか
A3_20470_PIKACHU_300_3000	まったく　おさわがせな　ヤツらだ
A3_20470_PIKACHU_400_1000	この　へやに　いるのは\nおまえたち　だけか？
A3_20470_GBARRIERD_400_1000	（そうさ　ぼくと　カチコールだけだよ）
A3_20490_KACHIKOHRU_100_1000	（ヒヒダルマじゃないか\n　それと　おまえは……？）
A3_20490_PIKACHU_100_1000	オレは　めいたんていピカチュウだ\nさっき　ヒヒダルマと\nともだちに　なってな
A3_20490_GHIHIDARUMA_100_1000	（みんなが　なかなか　かえってこないから\n　しんぱいして　さがしに　きたんだよ）
A3_20490_GHIHIDARUMA_100_2000	（ピカチュウも　てつだってくれてるんだ）
A3_20490_KACHIKOHRU_100_2000	（それは　わるかったな\n　ここから　でられなくて　こまってたんだ）
A3_20490_PIKACHU_100_2000	いったい　なにが　あったんだ？\nはなしを　きかせてくれ
A3_2050_RACHEL_100_1000	きのみを　さがしてるの？
A3_2050_RACHEL_100_2000	きょうじゅたちは　げんちちょうさを\nするときに　まわりの　かんきょうも\nよく　しらべるんだ
A3_2050_RACHEL_100_3000	みつからない　きのみが　あったら\nクリスさんに　きけば\nわかるかもしれないよ
A3_20500_KACHIKOHRU_100_1000	（なにを　はなせば　いい？）
A3_20500_SEL_0_1000	カチコールに　ついて
A3_20500_SEL_0_2000	ほかの　ポケモンに　ついて
A3_20500_PIKACHU_300_1000	おまえは　どうして\nこんな　ところに　とじこめられてたんだ？
A3_20500_KACHIKOHRU_300_1000	（ここを　すみやすくしようと　おもってな）
A3_20500_KACHIKOHRU_300_2000	（バリヤードと　いっしょに\n　こおりの　かべを　つくってたんだが……）
A3_20500_KACHIKOHRU_300_3000	（はりきる　バリヤードに　つられて\n　ついつい　こおりを　つくりすぎてしまった）
A3_20500_PIKACHU_300_2000	それで　そとに　\nでられなくなってたわけ　か
A3_20500_GHIHIDARUMA_300_1000	（みんな　ぶじで　よかったよ）
A3_20500_PIKACHU_400_1000	この　へやに　いるのは\nおまえたち　だけか？
A3_20500_KACHIKOHRU_400_1000	（ああ　オレと　バリヤードだけだ）
A3_20510_PIKACHU_100_1000	これで　おまえの　ともだちは\nぜんいん　みつかったか？
A3_20510_GHIHIDARUMA_100_1000	（うん　さがしてほしい\n　ともだちは　みんな　みつかったよ）
A3_20510_PIKACHU_100_2000	さがしてほしい　ともだちは……？
A3_20510_GHIHIDARUMA_100_2000	（みんなの　ぶじも　かくにん　できたし\n　そろそろ　かえろうか）
A3_20510_PIKACHU_100_3000	あ　ああ　そうだな！
A3_20520_JOSHUA_100_1000	わわ！　ヒヒダルマが\nどうして　こんなところに！？
A3_20520_PIKACHU_100_1000	こいつも　わるいヤツじゃ　ないからな\nおそったり　するなよ？
A3_20520_GHIHIDARUMA_100_1000	（うん　わかってる\n　もう　むやみに　おそわないよ）
A3_20530_JOSHUA_100_1000	なんで　こんな　ばしょに\nこおりタイプの　ヒヒダルマが\nいるんだろう……
A3_20530_PIKACHU_100_1000	たしかに\nじじょうを　しらなきゃ　おどろくよな
A3_20540_GONBE_100_1000	（おや　ピカチュウさん）
A3_20540_GONBE_100_2000	（ちょっと　みない　あいだに\n　おおきく　なりましたねえ）
A3_20540_PIKACHU_100_1000	よくみろ　ゴンベ\nヒヒダルマに　のってるだけだぞ
A3_20540_GONBE_100_3000	（それに　しろくて　まんまるに　なって……）
A3_20540_GONBE_100_4000	（おもちみたいで　おいしそうです\n　ちょっと　あじみしても　いいですか？）
A3_20540_GHIHIDARUMA_100_1000	（ぼくは　たべものじゃないよ！？）
A3_20540_PIKACHU_100_2000	こいつ　ほんとうに　たべものの　ことしか\nかんがえてないな
A3_20550_GONBE_100_1000	（しろくて　まんまるで\n　なんだか　おなかが　すきますねえ）
A3_20550_PIKACHU_100_1000	こいつ　ほんとうに　たべものの　ことしか\nかんがえてないな
A3_20560_NAGETUKESARU_100_1000	（なんだ　おまえは？\n　ここでは　みない　かおだな）
A3_20560_GHIHIDARUMA_100_1000	（さいきん　ここに　すみはじめたの）
A3_20560_NAGETUKESARU_100_2000	（まあ　たべものなら　たっぷりある\n　すきに　くらすと　いい）
A3_20560_PIKACHU_100_1000	とはいっても\nここの　ほんらいのきこうじゃ\nヒヒダルマたちは　くらせない　だろう
A3_20560_PIKACHU_100_2000	なにか　てを　かんがえてやらないとな
A3_20570_NAGETUKESARU_100_1000	（あんまり　さわぎを　おこすなよ）
A3_20580_PIKACHU_100_1000	さっきは　たすかったよ\nハスボー
A3_20580_HASSBOH01_100_1000	（てつだえることが　あれば\n　なんでも　いってよ～）
A3_20580_HASSBOH02_100_1000	（あたらしい　おともだちも\n　だいかんげいだよ～）
A3_20580_HASSBOH03_100_1000	（みんなで　いっしょに　うたおう～）
A3_20580_GHIHIDARUMA_100_1000	（わあ　たのしそう！）
A3_20580_PIKACHU_100_2000	おいおい\nあそんでる　ばあいじゃ　ないだろ
A3_20580_GHIHIDARUMA_100_2000	（そうだった……）
A3_20590_HASSBOH01_100_1000	（いつでも　あそびに　きてね～）
A3_2060_TIM_100_1000	へきがの　こおりを　とかしてくれるよう\nモウカザルに　こうしょう　しないとね
A3_2060_PIKACHU_100_1000	よし！\nモウカザルのところに　たのみに　いくぞ！
A3_20600_GHIHIDARUMA_100_1000	（おいしそうな　きのみが　なってる）
A3_20600_GHIHIDARUMA_100_2000	（あとで　みんなに　もっていってあげよう）
A3_20610_GHIHIDARUMA_100_1000	（おいしそうな　きのみが　なってる）
A3_20610_GHIHIDARUMA_100_2000	（あとで　みんなに　もっていってあげよう）
A3_20620_GHIHIDARUMA_100_1000	（おいしそうな　きのみが　なってる）
A3_20620_GHIHIDARUMA_100_2000	（あとで　みんなに　もっていってあげよう）
A3_20630_GHIHIDARUMA_100_1000	（おいしそうな　きのみが　なってる）
A3_20630_GHIHIDARUMA_100_2000	（あとで　みんなに　もっていってあげよう）
A3_20640_GHIHIDARUMA_100_1000	（おいしそうな　きのみが　なってる）
A3_20640_GHIHIDARUMA_100_2000	（あとで　みんなに　もっていってあげよう）
A3_20650_GHIHIDARUMA_100_1000	（この　きだけ　きのみが　ない）
A3_20650_PIKACHU_100_1000	マトマのみは　もう　このあたりには\nのこっていないらしいぞ
A3_20660_GHIHIDARUMA_100_1000	（おいしそうな　きのみが　なってる）
A3_20660_GHIHIDARUMA_100_2000	（あとで　みんなに　もっていってあげよう）
A3_20670_PIKACHU_100_1000	おいおい　どこまで　いくんだ？
A3_20670_PIKACHU_100_2000	いま　そっちに　いく　ひつようは　ないぞ
A3_20715_PIKACHU_100_1000	トビラが　しまっちまったことを\nいそいで　ティムたちに　つたえないとな
A3_20720_PIKACHU_100_1000	どうして　きゅうに\nトビラが　しまったんだ……
A3_20720_PIKACHU_100_2000	あの　トビラ　おまえの　チカラで\nあけられたり　しないか？
A3_20720_GHIHIDARUMA_100_1000	（あんなに　おおきな　トビラは\n　さすがに　むりだよ）
A3_20720_PIKACHU_100_3000	そうだよな\nティムと　そうだん　するしかないな
A3_20720_PIKACHU_100_4000	みんなの　ところに　もどるぞ\nヒヒダルマ！
A3_20730_PIKACHU_100_1000	たいへんだ　ティム！\nちじょうへの　でぐちが\nふさがっちまった！
A3_20730_TIM_100_1000	え！？\nもしかして　さっきの　じひびきが……！？
A3_20730_PIKACHU_100_2000	ああ　トビラが　しまった　おとだ
A3_20730_TIM_100_2000	なんで　そんなことに？
A3_20730_PIKACHU_100_3000	げんいんは　さっぱり　わからん\nとつぜん　だったからな
A3_20730_TIM_100_3000	どうしよう　なんとか\nでぐちを　さがさないと
A3_20730_PIKACHU_100_4000	ゴードンに　そうだんしてみたら　どうだ？
A3_20730_PIKACHU_100_5000	あいつだったら　なにか\nしってるんじゃないのか？
A3_20730_TIM_100_4000	そうだね　きいてみよう！
A3_20740_RACHEL_100_1000	さっきの　おと　なんだったのかな？
A3_20750_GORDON_100_1000	さきほどの　じひびき\nどうも　いやな　よかんが　するな
A3_20760_YADON_100_1000	（おかえり～　みんな\n　そんなに　あわてて　どうしたの～？）
A3_2080_TIM_100_1000	すごい　あれだけ　あった　こおりが\nきれいに　とけたよ！
A3_2080_PIKACHU_100_1000	これで　まんなかの　へきがを\nしらべられるな
A3_2080_MOUKAZARU_100_1000	モキャ～……
A3_2080_PIKACHU_100_2000	いっしゅん\nほのおを　だして　あたたまったから\nよけいに　さむく　かんじてきた　だと？
A3_2080_PIKACHU_100_3000	そいつは　すまなかったな\nむり　させちまって
A3_2080_MOUKAZARU_100_2000	モキャ！
A3_2080_PIKACHU_100_4000	そうか　ゆきが　やむまでは\nあたたかいところに　ひっこすのか
A3_2080_TIM_100_2000	さいごに　ちからを　かしてくれて\nありがとう　モウカザル
A3_2080_PIKACHU_100_5000	こっちが　あたたかくなったら\nもどってこいよ
A3_2080_MOUKAZARU_100_3000	モウキャ！
A3_2080_TIM_100_3000	いっちゃったね
A3_2080_PIKACHU_100_6000	オレたちは　オレたちの\nやるべきことを　しよう
A3_2080_TIM_100_4000	うん　モウカザルが　こおりを\nとかしてくれたんだからね
A3_2080_TIM_100_5000	まんなかの　へきがを　しらべよう
A3_20810_TIM_100_1000	ヒヒダルマから　おりるの？
A3_20810_SEL_0_1000	はい
A3_20810_SEL_0_2000	いいえ
A3_20810_PIKACHU_300_1000	ああ\nもう　やることは　おわったからな
A3_20810_PIKACHU_400_1000	いや　もうすこしだけ\nまっててくれ
A3_20820_RACHEL_100_1000	そろそろ　かえりたいのかな？
A3_20820_SEL_0_1000	はい
A3_20820_SEL_0_2000	いいえ
A3_20820_PIKACHU_300_1000	もう　ちょうさは　じゅうぶんだしな\nティムに　こえを　かけて　かえるとするか
A3_20820_PIKACHU_400_1000	いや　もうすこし\nいせきを　みて　まわりたいな
A3_20830_GORDON_100_1000	キミたちのことは\nわたしが　なんとか　しないとな
A3_20830_GORDON_100_2000	にんげんの　せいで　ポケモンが\nくるしむことは　あっては　ならない
A3_20830_PIKACHU_100_500	おまえたちを　もとのばしょに\nかえして　くれるってよ
A3_20830_GHIHIDARUMA_100_1000	（うれしいな　このおじさん　いいひとだね）
A3_20830_PIKACHU_100_1000	にんげんにも　いろんなヤツが\nいるってことさ
A3_20840_YADON_100_1000	（しばらくは　いっしょに　すごすことに\n　なりそうだね～）
A3_20840_YADON_100_2000	（あらためて　よろしくね～　ヒヒダルマ）
A3_20840_GHIHIDARUMA_100_1000	（こちらこそ　よろしく）
A3_20845_PIKACHU_100_1000	お　あたまを　もとに　もどしたのか
A3_20845_KORIPPOI_100_1000	（ここは　あついから\n　ずっと　ひやしてないと　たいへんなんだよ）
A3_20845_GHIHIDARUMA_100_1000	（もとに　もどって　よかったよ）
A3_20845_GHIHIDARUMA_100_2000	（さっきは　ありがとう　コオリッポ）
A3_20845_KORIPPOI_100_2000	（ううん　かんしゃするのは\n　こっちのほうだよ\n　いままで　ありがとね　ヒヒダルマ）
A3_20845_KORIPPOI_100_3000	（おかげで　ぼくも　げんきが　でたよ）
A3_20845_GHIHIDARUMA_100_3000	（かえったら　また　なかよく　あそぼうね）
A3_20850_JOSHUA_100_1000	ヒヒダルマたちを\nもとの　ばしょに　かえす　か
A3_20850_JOSHUA_100_2000	これから　いそがしくなるぞー！
A3_20860_GONBE_100_1000	（しばらく　いっしょに　すごすなら\n　みんなで　カレーを　たべましょう）
A3_20860_GONBE_100_2000	（そうしたら　すぐに　なかよく　なれますよ）
A3_20860_GHIHIDARUMA_100_1000	（カレーって　おいしいの？）
A3_20860_GONBE_100_3000	（もちろん　クリスさんの　カレーは\n　せかいで　いちばんです）
A3_20860_GHIHIDARUMA_100_2000	（それは　たのしみだね）
A3_20870_NAGETUKESARU_100_1000	（おまえたちは　かえるのか）
A3_20870_PIKACHU_100_1000	さわがしくして　わるかったな
A3_20870_NAGETUKESARU_100_2000	（べつに　かまわん）
A3_20880_HASSBOH01_100_1000	（もう　かえっちゃうの？）
A3_20880_PIKACHU_100_1000	そろそろ　かえるつもりだ
A3_20880_HASSBOH02_100_1000	（また　きてね！）
A3_20880_HASSBOH03_100_1000	（こんどは　みんなで　うたおうね！）
A3_20880_PIKACHU_100_2000	ああ　また　あそびに　くるよ
A3_20880_PIKACHU_100_3000	こんどは　おんがくずきな\nともだちも　つれてな
A3_2090_TIM_100_1000	まんなかの　へきがには\nなんの　ヒントが\nえがかれて　いるんだろう
A3_2090_PIKACHU_100_1000	せきぞうと\nどんな　かんけいが　あるのか\nよく　かんがえるんだぞ　ティム
