aoc_error.txt
aoc_error_01	需要新增内容\n才能继续前进。
msg_Ev_sub_130_050_talk_04	我们也想证明一下\n巧锻匠是不会袭击巨钳螳螂的。[VAR 0114(01AD)]
msg_Ev_sub_130_050_talk_05	没事的啦，巧锻匠。[VAR 0114(01AD)]
msg_Ev_sub_130_050_talk_06	锵嘟！
msg_75fb730e38e6918198bf558a26ee13db	[~ 69]
msg_Ev_sub_130_060_talk_01	接下来就要让\n我们双方的宝可梦见面了。[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_02	如果有什么情况，\n就立刻让宝可梦回到球里好了。[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_03	那就来吧，巨钳螳螂！[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_04	过来吧，巧锻匠。[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_05	巧锻匠是在害羞吗？[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_06	巨钳螳螂是在害怕吗？[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_07	锵嘟♪
msg_Ev_sub_130_060_talk_08	咀切……
msg_Ev_sub_130_060_talk_09	不过巧锻匠没有袭击过来。[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_10	巨钳螳螂也只是眼神看起来凶恶……\n看来是彼此误会对方了啊。[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_11	咀切！
msg_Ev_sub_130_060_talk_12	锵嘟！
msg_Ev_sub_130_060_talk_13	两只宝可梦的距离好像拉近一些了呀。[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_14	是啊。我们才刚来到密阿雷，\n有很多事情还不知道，\r\n如果遇到什么问题还请多帮忙啦。[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_15	这位训练家，\n谢谢你今天帮了这么多忙。[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_16	啊！巧锻匠，\n不可以扒掉那边的金属！！[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_17	真、真的没问题吗？[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_18	咀恰恰……
msg_Ev_sub_130_060_talk_19	锵嘟！
msg_87ba799108365002165e1078f33f2601	[~ 89]
msg_Ev_sub_130_255_talk_01	我和冶蕾萝\n最近也聊了很多事情。\c\n巨钳螳螂和巧锻匠\n也相处得不错……至少目前还不错。[VAR 0114(01AC)]
msg_Ev_sub_130_255_talk_02	咀切～
msg_Ev_sub_130_255_talk_03	希司佐最近和我说了很多\n密阿雷的事情哦！\c\n巧锻匠也总是\n和巨钳螳螂黏在一起。[VAR 0114(01AD)]
msg_Ev_sub_130_255_talk_04	锵嘟！
sub_131.txt
msg_Ev_sub_131_001_talk_01	还不够！还不够啊！\n我需要更强的火力啊！！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_02	贰流餐馆之所以只是二星级，\n是因为火力不足。[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_03	于是我想过了，\n为了成为三星级所需的爆点……那就是……[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_04	刺激！！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_05	简单来说的话！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_06	就是辣党有、辣党吃、辣党享的……[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_11	辣椒庆典！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_07	但如果只是随处都有的那种辣，\n真正的辣党是不会满足的！\r\n毕竟他们的意见也会很毒辣。[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_08	所以，我想请你帮忙！\n请你把名字叫做[VAR FF00(0006)]狠辣椒[VAR FF00(0000)]的宝可梦\r\n带来我们餐厅吧。[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_09	我要让狠辣椒把它的招式\n[VAR FF00(0006)]辣椒精华[VAR FF00(0000)]加到菜品里，\r\n做出让真正的辣党满意的超辣菜品！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_10	请把学会了[VAR FF00(0006)]辣椒精华[VAR FF00(0000)]这个招式的\n[VAR FF00(0006)]狠辣椒[VAR FF00(0000)]带过来吧！[VAR 0114(013B)]
msg_265a12ef1dc2c1bce7ecf5bd530451d9	[~ 11]
msg_Ev_sub_131_010_talk_01	请把学会了[VAR FF00(0006)]辣椒精华[VAR FF00(0000)]这个招式的\n[VAR FF00(0006)]狠辣椒[VAR FF00(0000)]带过来吧！[VAR 0114(013B)]
msg_Ev_sub_131_010_talk_02	哇哦！狠辣椒本尊！\c\n它学会了辣椒精华，\n还有2张看起来辣辣的脸。太棒了！[VAR 0114(013B)]
msg_Ev_sub_131_010_talk_03	那就立刻开始辣椒庆典吧！[VAR 0114(013B)]
msg_Ev_sub_131_010_select_01	开始吧！
msg_Ev_sub_131_010_select_02	请等一下
msg_Ev_sub_131_010_talk_04	我知道了！\n等你做好心理准备再告诉我吧。[VAR 0114(013B)]
msg_Ev_sub_131_010_talk_05	看来你兴致十足！干劲十足嘛！\n那就向各位客人献上真正的辣味吧！[VAR 0114(013B)]
msg_181cd6f5379fbcd2530fb87d9308fd09	[~ 19]
msg_Ev_sub_131_011_talk_01	大家久等了！现在起，\n辣党有、辣党吃、辣党享的庆典……[VAR 0114(013B)]
msg_Ev_sub_131_011_talk_02	辣椒庆典，正式开始！[VAR 0114(013B)]
msg_Ev_sub_131_011_talk_03	辣椒！！
msg_Ev_sub_131_011_talk_04	那么，[VAR 0100(0000)]。[VAR 0114(013B)]
msg_Ev_sub_131_011_talk_05	请对准客人们的菜品，\n撒上辣椒精华吧！\r\n调味！开始！[VAR 0114(013B)]
msg_Ev_sub_131_011_wait_01	不要客气，尽管朝客人的菜品\n撒上辣椒精华吧。[VAR 0114(013B)]
msg_6c12cc87e9bab16c9054f0ad3f0e9379	[~ 26]
msg_Ev_sub_131_giveup_01	不要客气，尽管朝客人的菜品\n撒上辣椒精华吧。\c\n……话说，你有什么事吗？[VAR 0114(013B)]
msg_Ev_sub_131_giveup_select_01	继续庆典！
msg_Ev_sub_131_giveup_select_02	暂停庆典……
msg_Ev_sub_131_giveup_02	好吧！\n如果你不方便的话，那也没办法。\c\n我会改期再举办辣椒庆典的！[VAR 0114(013B)]
msg_57224b18fb8f74a07f68c332bced57e5	[~ 31]
msg_Ev_sub_131_020_1_speech_01	来吧！\n辣椒精华！
msg_Ev_sub_131_020_1_speech_02	辣椒精华！\n辣椒精华！
msg_Ev_sub_131_020_1_speech_90	唔喔～！
msg_Ev_sub_131_020_1_speech_91	来啦～！
msg_Ev_sub_131_020_1_speech_11	太、太辣了～！
msg_Ev_sub_131_020_1_speech_12	饶了我吧！\n我嘴里着火了！
msg_2f24b96cbc0cb7fa1ec0593ccaacb438	[~ 38]
msg_Ev_sub_131_020_2_speech_01	超辣庆典！
msg_Ev_sub_131_020_2_speech_90	超辣无比！！！！
msg_Ev_sub_131_020_2_speech_11	地道的辣椒精华\n就是不一样！
msg_6555bc3edfebe4eb41038869d0a5fa61	[~ 42]
msg_Ev_sub_131_020_3_speech_01	快、快给我，\n给我辣椒精华！
msg_Ev_sub_131_020_3_speech_02	辣椒精华！
msg_Ev_sub_131_020_3_speech_90	辣椒！
msg_Ev_sub_131_020_3_speech_91	精华！！
msg_Ev_sub_131_020_3_speech_11	火立，\n这个策划真不错。
msg_Ev_sub_131_020_3_speech_12	我出汗了……出汗了……\n出汗了……出汗了……
msg_35e3df80011a1503326b7b46e382d32f	[~ 49]
msg_Ev_sub_131_020_4_speech_01	让我确认一下\n这个辣度是否值得一试。
msg_Ev_sub_131_020_4_speech_02	尽管来吧！
msg_Ev_sub_131_020_4_speech_90	这精华里充满刺激的味道\n会提高我的攻击力！[VAR 0114(0017)]
msg_Ev_sub_131_020_4_speech_91	直击脑顶啊！[VAR 0114(0010)]
msg_Ev_sub_131_020_4_speech_11	这种辣……真是不得了！\n它点燃了我内心的火焰。[VAR 0114(0017)]
msg_Ev_sub_131_020_4_speech_12	嗯嗯……\n有辣味的卡娜莉面包也不错。[VAR 0114(0010)]
msg_6eeb32f7b457a828da409c94226124c5	[~ 56]
msg_Ev_sub_131_020_5_speech_01	与家人一起享受\n充满刺激的美食！
msg_Ev_sub_131_020_5_speech_02	我明明不喜欢辣……
msg_Ev_sub_131_020_5_speech_03	刺激就是最棒的！
msg_Ev_sub_131_020_5_speech_04	居然搞辣度大比拼，\n这个庆典真让人好奇！
msg_Ev_sub_131_020_5_speech_93	这真是不得了！
msg_Ev_sub_131_020_5_speech_11	太刺激了！
msg_Ev_sub_131_020_5_speech_12	哎哟！
msg_Ev_sub_131_020_5_speech_13	太棒了！
msg_Ev_sub_131_020_5_speech_14	极品之辣♪
msg_967bbbd16b01054a153b039d8d26039a	[~ 66]
msg_Ev_sub_131_020_6_speech_01	拜托你啦，狠辣椒。\n给我狠狠地撒上精华吧。
msg_Ev_sub_131_020_6_speech_02	辣的东西\n会给我带来幸福。
msg_Ev_sub_131_020_6_speech_03	太辣的话，\n会痛的。
msg_Ev_sub_131_020_6_speech_04	快来满足我这个\n辣度鉴定师吧。
msg_Ev_sub_131_020_6_speech_05	微辣♪微辣♪
msg_Ev_sub_131_020_6_speech_90	狠辣椒！
msg_Ev_sub_131_020_6_speech_11	厉害啊，狠辣椒。
msg_Ev_sub_131_020_6_speech_12	这味道辣得\n我仿佛置身天堂！
msg_Ev_sub_131_020_6_speech_13	辣倒还好，主要是痛！！
msg_Ev_sub_131_020_6_speech_14	隐约带点果香。
msg_Ev_sub_131_020_6_speech_15	哇喔！\n我感到一股神秘的活力。
msg_19c172bbb24074d65a20628064ed3c03	[~ 78]
msg_Ev_sub_131_020_7_speech_01	把辣椒精华\n撒遍我的全身吧！
msg_Ev_sub_131_020_7_speech_90	辣椒精华！
msg_Ev_sub_131_020_7_speech_11	我正在初次体验\n如此恐怖的辣度！
msg_ba58be19ff9e175d07ae4aaa09cfbf9f	[~ 82]
msg_Ev_sub_131_020_8_speech_01	我的胃是铁做的，\n不管多辣都不在话下！
msg_Ev_sub_131_020_8_speech_02	我不太喜欢辣的东西。
msg_Ev_sub_131_020_8_speech_90	辣椒精华进我眼睛里了！\n真不愧是凶暴的狠辣椒啊！
msg_Ev_sub_131_020_8_speech_11	胃里翻江倒海。
msg_Ev_sub_131_020_8_speech_12	嘶～明明辣得不行，\n但我的嘴却停不下来。
msg_d6ca75321c3beab77461bc6e77f80200	[~ 88]
msg_Ev_sub_131_020_9_speech_01	请给我超辣♪
msg_Ev_sub_131_020_9_speech_90	来啦！来啦！来啦！它来啦！\n来啦！它来啦！辣椒精华！
msg_Ev_sub_131_020_9_speech_11	咦～？是甜的。\n跟我期待的不太一样啊。
msg_9e9098c7f52b961bfd3c1b304fc1009b	[~ 92]
msg_Ev_sub_131_020_10_speech_01	辣椒庆典！\n能成为密阿雷的特产吗？
msg_Ev_sub_131_020_10_speech_02	要是害我失望，\n这家店就只配拿一星！
msg_Ev_sub_131_020_10_speech_91	多么热情的招式！\n辣椒指数突破上限！
msg_Ev_sub_131_020_10_speech_11	辣得直冲脑顶。\n辣椒庆典真是顶呱呱。
msg_Ev_sub_131_020_10_speech_12	这家贰流餐馆\n升到三星的日子也不远了吧。
msg_e16dac1c9c20fb24f8c36a8fc8463973	[~ 98]
msg_Ev_sub_131_020_11_speech_01	虽然我肚子比较脆弱，\n但也想挑战一下。
msg_Ev_sub_131_020_11_speech_90	我光是看着辣椒精华那像是\n在燃烧的颜色，肚子就会痛！
msg_Ev_sub_131_020_11_speech_11	这辣味真是一绝，\n不过感觉得在厕所蹲一阵子了。
msg_11edd79704f2a131dc9c120979bba023	[~ 102]
msg_Ev_sub_131_020_12_speech_01	狠辣椒……\n有点吓人，不是我的菜。
msg_Ev_sub_131_020_12_speech_02	我对狠辣椒的香味\n很感兴趣。
msg_Ev_sub_131_020_12_speech_91	香味好浓啊！
msg_Ev_sub_131_020_12_speech_11	我都要喜欢上狠辣椒了！
msg_Ev_sub_131_020_12_speech_12	光是闻着香味，我就要流泪了！\n我好爱狠辣椒。
msg_7271c9310023ef10c189a86d7009866b	[~ 108]
msg_Ev_sub_131_020_13_speech_01	辣椒庆典是一场\n疯狂的盛会。
msg_Ev_sub_131_020_13_speech_02	做这个策划的人\n脑袋里都在想什么呢？
msg_Ev_sub_131_020_13_speech_90	呀哈～！
msg_Ev_sub_131_020_13_speech_11	辣椒精华真是个\n了不得的招式啊！
msg_Ev_sub_131_020_13_speech_12	我所有的细胞都醒了！
msg_847c378b762fe6b0b84bb7a8c971a064	[~ 114]
msg_Ev_sub_131_021_talk_01	辣椒精华已经撒遍\n所有桌上的菜品了！[VAR 0114(013B)]
msg_Ev_sub_131_021_talk_02	辣党有！
msg_Ev_sub_131_021_talk_03	辣党吃！
msg_Ev_sub_131_021_talk_04	辣党享！
msg_Ev_sub_131_021_talk_05	辣椒庆典！
msg_Ev_sub_131_021_talk_06	升到三星的确也很重要，\n但今天客人们的笑容更加重要。[VAR 0114(013B)]
msg_Ev_sub_131_021_talk_07	这都是[VAR 0100(0000)]你\n和狠辣椒的功劳。[VAR 0114(013B)]
msg_Ev_sub_131_021_talk_08	辣椒庆典大获成功！\n非常感谢！[VAR 0114(013B)]
sub_132.txt
msg_Ev_sub_132_001_talk_01	你就是[VAR 0100(0000)]吧？[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_02	我推上传的照片实在太棒了！\n你看一下啊！[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_03	卡娜莉小姐和麻麻鳗鱼王\n在长椅上放松的这个画面也太好看了吧！[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_04	我想坐在这张长椅上，\n和雷电兽一起拍照！[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_05	所以[VAR 0100(0000)]，\n我想拜托你的就是……[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_06	请你帮我找到\n照片里的长椅吧！[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_07	噼里啪电！
msg_4a8320eaf5039f3a20fdc176b6255dcb	[~ 7]
msg_Ev_sub_132_002_talk_01	你要确认\n拍到长椅的照片吗？[VAR 0114(01AE)]
msg_Ev_sub_132_002_select_01	请给我看照片
msg_Ev_sub_132_002_select_02	不用看了
msg_Ev_sub_132_002_talk_02	就是这张！\n你看得出是哪里的长椅吗？[VAR 0114(01AE)]
msg_Ev_sub_132_002_talk_03	请你帮我找到\n照片里的长椅吧！[VAR 0114(01AE)]
msg_415ca59489246443fd3b49e03efb78a3	[~ 13]
msg_Ev_sub_132_010_talk_01	发现了委托人\n正在寻找的长椅！
msg_Ev_sub_132_010_talk_02	2个并排摆放的种植盆！\n背后的大楼！还有山！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_03	卡娜莉小姐的照片\n就是在这里拍的！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_04	那我赶紧……！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_05	我坐上了卡娜莉小姐坐过的长椅，\n那我就等于是卡娜莉小姐本人！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_06	[VAR 0100(0000)]，\n请你按照和卡娜莉小姐的照片相同的感觉\r\n帮我拍照好吗？[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_10	我希望你能完全还原\n这张照片的角度！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_07	要是你想确认照片，\n请随时叫我！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_08	要确认卡娜莉小姐的照片吗？[VAR 0114(01AE)]
msg_Ev_sub_132_010_select_01	确认！[VAR 0114(01AE)]
msg_Ev_sub_132_010_select_02	不用[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_09	请按照和卡娜莉小姐的照片相同的感觉，\n从稍微远一点的地方拍照！[VAR 0114(01AE)]
msg_587e6015bc30348fa430f96f16a4f697	[~ 26]
msg_Ev_sub_132_019_talk_01	嗯嗯！\n那附近……[VAR 0114(01AE)]
msg_Ev_sub_132_019_talk_02	好像不对。\c\n角度好像有点不一样……\n毕竟我的目标是完全还原嘛！[VAR 0114(01AE)]
msg_7cb224b8433f0399f9107ad3b6edcdce	[~ 29]
msg_Ev_sub_132_020_talk_01	就是那里！\n请在那个位置拍照！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_02	好啦好～啦！\n我看看照片！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_03	哇哦！完全还原了！\n感觉就像我变成了卡娜莉小姐一样！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_04	把你帮我拍的照片\n发到社交平台……了！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_05	话说回来，给卡娜莉小姐拍照的\n会不会是那位传闻中的制作人呢？[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_06	虽然卡娜莉面包也不错，\n但我想要的是立牌或钥匙扣啊。[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_07	开玩笑的啦！我还有其他\n模仿卡娜莉小姐的照片要拍！\r\n毕竟我是冲着这个来密阿雷的！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_08	[VAR 0100(0000)]，你也辛苦啦！\n来都来了，你不在长椅放松一下吗？[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_09	再见啦～！[VAR 0114(01AE)]
msg_3d478d0adc0610b370de48a78cf1c6d1	[~ 39]
msg_Ev_sub_132_255_talk_01	下次要不就去找卡娜莉小姐举办\n问答大赛的地方，然后在那里拍照吧！[VAR 0114(01AE)]
msg_Ev_sub_132_255_talk_02	噼里啪电！
sub_133.txt
msg_Ev_sub_133_001_talk_01	我叫多连安，\n是个独立游戏制作人。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_02	我尤其熟悉多边形的东西。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_03	你知道我说的多边形的东西\n是指什么吗？[VAR 0114(01AF)]
msg_Ev_sub_133_001_select_01	宝可梦的多边兽？
msg_Ev_sub_133_001_select_02	3D建模的多边形？
msg_Ev_sub_133_001_talk_04	某种意义上也算是答对了。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_05	没错！我刚才想说的\n就是3D计算机图形的\r\n那个多边形啦。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_06	你平时玩的游戏里的那些立体角色，\n也就是人们常说的模型……[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_07	它们都是基于一种名叫\n多边形建模的原理呈现出来的。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_08	所谓的多边形建模，\n就是在3D空间里把多边形\r\n组合起来，做成想要的形状。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_09	使用的多边形越多，\n模型就会越平滑。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_10	但在以前，多边形用得太多会处理不过来，\n所以当时的模型都是棱角分明的。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_11	多边兽这只宝可梦据说也是\n基于当时最先进技术的产物，\r\n但毕竟技术是会进步的嘛。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_12	说到这里，我想请你帮个忙。[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_13	用你的多边兽和\n我的多边兽交换吧！[VAR 0114(01AF)]
msg_13b22fe33c07356dcdc976cfa5a54dc1	[~ 15]
msg_Ev_sub_133_010_talk_01	你愿意用你的多边兽\n和我的多边兽交换吗？[VAR 0114(01AF)]
msg_Ev_sub_133_010_select_01	我愿意交换！
msg_Ev_sub_133_010_select_02	还是算了
msg_Ev_sub_133_010_talk_02	我们来一起享受多边兽换多边兽的\n超级无敌激动人心的美妙时光嘛！[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_03	那就用你的多边兽\n和我的多边兽交换吧！[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_04	就用你的多边兽和\n我的多边兽交换嘛！[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_05	是多边兽啦！\n我想交换的是多边兽啦。[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_15	……哦！？\n滑滑的样子……！
msg_Ev_sub_133_010_talk_06	这是我给你的小惊喜哦。[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_07	我让传送给你的那只多边兽\n携带了升级数据。[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_08	所以它就这样进化成\n多边兽2型啦。[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_09	你看！它的身体变得更平滑了对吧？\n从这点就可以看出处理性能的提升。[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_10	虽然它在版本升级后搭载了人工智能，\n还安装了行星开发程序，但是……[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_11	它仍然是一只非常需要照顾的宝可梦，\n而正是它的这一点让我爱到无法自拔。[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_12	咦？\n这光芒难道是……[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_13	原来你也让多边兽\n携带了升级数据啊。[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_14	这毫无疑问就是你给我的惊喜！\n能有这么愉快的宝可梦交换，真是太感谢了！[VAR 0114(01AF)]
msg_d8f84d2b50f8a8a070e8af1a3c659f4c	[~ 33]
msg_Ev_sub_133_255_talk_01	多边兽2型\n能不能再升一级呢？[VAR 0114(01AF)]
msg_Ev_sub_133_255_talk_02	哆哔哔。
sub_134.txt
msg_Ev_sub_134_001_talk_01	小小的桌子上\n有一只溶食兽。
msg_Ev_sub_134_001_talk_02	这只溶食兽可能是\n被甜甜圈的香味吸引过来的吧。[VAR 0114(01A5)]
msg_Ev_sub_134_001_talk_03	[VAR 0100(0000)]。\c\n请分给这位来光顾的溶食兽\n1个甜甜圈吧。[VAR 0114(01A5)]
msg_Ev_sub_134_001_talk_04	要把甜甜圈给溶食兽吗？
msg_Ev_sub_134_001_select_01	给它！
msg_Ev_sub_134_001_select_02	还是算了
msg_Ev_sub_134_001_talk_12	手边没有甜甜圈。
msg_Ev_sub_134_001_talk_13	它现在好像不太想吃甜甜圈……
msg_Ev_sub_134_001_talk_05	嚼嚼嚼嚼……咕咚！
msg_Ev_sub_134_001_talk_08	溶食兽似乎非常满足！
msg_Ev_sub_134_001_talk_09	溶食兽给了你\n[VAR 0109(0002)]！
msg_Ev_sub_134_001_talk_10	溶食兽\n看起来很高兴啊！\c\n对了！做多了的甜甜圈\n就让溶食兽帮忙吃掉吧！[VAR 0114(01A5)]
msg_Ev_sub_134_001_talk_11	不能把那个甜甜圈给溶食兽。[VAR 0114(01A5)]
sub_135.txt
msg_Ev_sub_135_001_speech_01	这井盖真棒。
msg_Ev_sub_135_001_talk_07	停下！！[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_08	没错！请停下脚步，\n低头看看你的脚边！[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_01	密阿雷市有印着宝可梦的\n设计图案的井盖。[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_02	也就是所谓的宝可梦井盖。[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_03	那其中的一个就是它！[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_04	翡绿区使用的是\n坐骑山羊的井盖！[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_05	那么，\n我要来考考你。[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_06	榴红区的井盖图案上\n设计的宝可梦是什么呢？\c\n请把你觉得“就是它！”的\n那种宝可梦给我看看吧。[VAR 0114(01B1)]
msg_3a212b51a0493d75746da11208b7e4b7	[~ 9]
msg_Ev_sub_135_010_talk_01	你能给我看看\n榴红区的井盖图案上\r\n设计的那种宝可梦吗？[VAR 0114(01B1)]
msg_Ev_sub_135_010_select_01	这就给你看！
msg_Ev_sub_135_010_select_02	请等一下
msg_Ev_sub_135_010_talk_02	如果你知道答案是什么，\n并且带着那只宝可梦，\r\n就请再来和我搭话吧。[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_03	请告诉我井盖的图案上\n设计的是哪种宝可梦吧。[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_04	如果你想到了哪只宝可梦是正确答案，\n就来给我看看吧！[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_12	很遗憾，回答错误……[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_05	雄性的火炎狮……\n很接近正确答案了，但还是不对～！[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_06	雌性的火炎狮……[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_07	锵锵锵磅～♪[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_08	回答正确～！答得漂亮！！[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_09	宝可梦井盖分别有着各自的主题，\n而榴红区的主题是“热情”，\r\n是不是和雌性的火炎狮完美契合呀？[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_10	顺带一提，至于其他区的主题，\n据说翡绿区是“友爱”，浦蓝区是“谦逊”，\c\n然后蓉粉区是“高雅”，\n而琼黄区则是“活泼”。[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_11	偶尔试着在走路时\n留意一下井盖也蛮不错的。\r\n当然，也别忘了看好前方的路。[VAR 0114(01B1)]
msg_67451067b4ca598d9b2c46d6279bf946	[~ 24]
msg_Ev_sub_135_255_talk_01	偶尔试着在走路时\n留意一下井盖也蛮不错的。\r\n当然，也别忘了看好前方的路。[VAR 0114(01B1)]
sub_136.txt
msg_Ev_sub_136_001_talk_01	B案和C案都不错，\n不过我们还是用A案吧？[VAR 0114(01B2)]
msg_Ev_sub_136_001_talk_02	比起缺乏冲击力的A案和C案，\n不如用我的B案如何？[VAR 0114(01B3)]
msg_Ev_sub_136_001_talk_03	我的C案才是最好的。\n大家都不肯让步啊。[VAR 0114(01B4)]
msg_Ev_sub_136_001_talk_04	要不这样如何？\n我们听听那位年轻人的意见吧。[VAR 0114(01B2)]
msg_Ev_sub_136_001_talk_05	好主意！只有我们3个人的话，\n就是在原地打转啊。[VAR 0114(01B3)]
msg_Ev_sub_136_001_talk_06	年轻人，对，就是你。\n你能帮我们个小忙吗？[VAR 0114(01B4)]
msg_Ev_sub_136_001_talk_07	这条街道现在虽然也不赖，\n但是缺乏亮点……[VAR 0114(01B3)]
msg_Ev_sub_136_001_talk_08	于是我们想给它取个名字\n来吸引大家的眼球，让这里热闹起来。[VAR 0114(01B3)]
msg_Ev_sub_136_001_talk_09	所以，请让我们听听你的意见吧。\n毕竟年轻人肩负着城市的未来嘛。[VAR 0114(01B4)]
msg_Ev_sub_136_001_talk_10	对了，我们几个想出来的\n街道名是这样的。[VAR 0114(01B2)]
msg_Ev_sub_136_001_talk_11	A案：[VAR FF00(0006)]大密阿雷大道[VAR FF00(0000)]。\c\n取一个比较夸张的名字，\n应该能让大家有所期待。[VAR 0114(01B2)]
msg_Ev_sub_136_001_talk_12	B案：[VAR FF00(0006)]超级进化大道[VAR FF00(0000)]。\c\n当然和超级进化并没有什么关系，\n但这就是我的提案。[VAR 0114(01B3)]
msg_Ev_sub_136_001_talk_13	C案：[VAR FF00(0006)]津津乐道[VAR FF00(0000)]。\c\n这名字让人津津乐道。[VAR 0114(01B4)]
msg_Ev_sub_136_001_talk_14	每个名字都不错吧？\c\n所以才害得我们像火、水、草\n这3种属性一样互不相让。[VAR 0114(01B2)]
msg_Ev_sub_136_001_talk_15	如何？可以请你告诉我们\n哪个名字比较好吗？[VAR 0114(01B3)]
msg_0e84878e1491240501c31356f33201d5	[~ 15]
msg_Ev_sub_136_010_talk_01	你决定好这条街道\n叫什么名字了吗？[VAR 0114(01B2)]
msg_Ev_sub_136_010_select_01	决定好了
msg_Ev_sub_136_010_select_02	还没
msg_Ev_sub_136_010_talk_02	哦！那快告诉我们吧。\n你决定用哪个方案？[VAR 0114(01B3)]
