aoc_error.txt
aoc_error_01	ここから{先|さき}は\n{追加|ついか}コンテンツが{必要|ひつよう}です。
msg_Ev_sub_130_050_talk_03	あたしとナカヌチャンを\n{警戒|けいかい}する{人|ひと}がいるのはストレスですし[VAR 0114(01AD)]
msg_Ev_sub_130_050_talk_04	ナカヌチャンがハッサムを\n{襲|おそ}わないことを{証明|しょうめい}してみせます[VAR 0114(01AD)]
msg_Ev_sub_130_050_talk_05	{大丈夫|だいじょうぶ}だよね　ナカヌチャン[VAR 0114(01AD)]
msg_Ev_sub_130_050_talk_06	ちゃぬ！
msg_75fb730e38e6918198bf558a26ee13db	[~ 69]
msg_Ev_sub_130_060_talk_01	これから\nお{互|たが}いのポケモンを{会|あ}わせますが[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_02	なにかあったら\nすぐにボールに{戻|もど}すということで[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_03	ではハッサム！[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_04	ナカヌチャンおいで[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_05	ナカヌチャンが{照|て}れている？[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_06	ハッサムがおびえている？[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_07	ちゃぬ♪
msg_Ev_sub_130_060_talk_08	はす……
msg_Ev_sub_130_060_talk_09	でもナカヌチャンは{襲|おそ}ってこない[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_10	ハッサムも{目|め}つきが{悪|わる}いだけ……\nお{互|たが}い{誤解|ごかい}していたようですね[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_11	はす！
msg_Ev_sub_130_060_talk_12	ちゃぬ！
msg_Ev_sub_130_060_talk_13	ポケモン{同士|どうし}の{距離|きょり}も{縮|ちぢ}まったようです[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_14	はい　ミアレに{来|き}たばかりで\n{知|し}らないことばかりですが\r\nなにかあったら{助|たす}けてくださいね[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_15	トレーナーさん\n{今日|きょう}はいろいろありがとうございました[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_16	あ！　ナカヌチャン\nそのへんの{金属|きんぞく}をはがしちゃダメ！！[VAR 0114(01AD)]
msg_Ev_sub_130_060_talk_17	だっ{大丈夫|だいじょうぶ}ですよね[VAR 0114(01AC)]
msg_Ev_sub_130_060_talk_18	はささ……
msg_Ev_sub_130_060_talk_19	ちゃんぬ！
msg_87ba799108365002165e1078f33f2601	[~ 89]
msg_Ev_sub_130_255_talk_01	エレロさんとも\nあれこれ{話|はな}していますし\c\nハッサムとナカヌチャンも\n{仲良|なかよ}くやっています……いまのところ[VAR 0114(01AC)]
msg_Ev_sub_130_255_talk_02	はす～
msg_Ev_sub_130_255_talk_03	シスゾさんにはミアレのこと\nいろいろ{教|おそ}わっているんですよ！\c\nナカヌチャンも\nハッサムにべったりですし[VAR 0114(01AD)]
msg_Ev_sub_130_255_talk_04	ちゃぬ！
sub_131.txt
msg_Ev_sub_131_001_talk_01	もっと！　もっとなんだ！\nもっと{強|つよ}い{火力|かりょく}が{必要|ひつよう}なんだぁ！！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_02	リストランテ　ニ・リューが\n{二ツ星|ふたつぼし}なのは{火力不足|かりょくぶそく}だからです[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_03	そこで{考|かんが}えました\n{三ツ星|みつぼし}になるための{起爆剤|きばくざい}……それは[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_04	{刺激|しげき}ッ！！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_05	わかりやすく{説明|せつめい}するならば！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_06	{辛党|からとう}の{辛党|からとう}による{辛党|からとう}のための[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_11	ハバネロフェス！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_07	ですがそんじょそこらの{辛|から}さでは\n{本物|ほんもの}の{辛党|からとう}は{納得|なっとく}してくれない！\r\n{辛口|からくち}だけに[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_08	そこでお{願|ねが}いです！\n[VAR FF00(0006)]スコヴィラン[VAR FF00(0000)]というポケモンを\r\nレストランに{連|つ}れてきてください[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_09	スコヴィランの{技|わざ}[VAR FF00(0006)]ハバネロエキス[VAR FF00(0000)]を\n{料理|りょうり}にかけてもらうことで\r\n{本物|ほんもの}の{辛党|からとう}が{喜|よろこ}ぶ{激辛料理|げきからりょうり}をだします！[VAR 0114(013B)]
msg_Ev_sub_131_001_talk_10	{技|わざ}[VAR FF00(0006)]ハバネロエキス[VAR FF00(0000)]を{覚|おぼ}えた\n[VAR FF00(0006)]スコヴィラン[VAR FF00(0000)]を{連|つ}れてきてください！[VAR 0114(013B)]
msg_265a12ef1dc2c1bce7ecf5bd530451d9	[~ 11]
msg_Ev_sub_131_010_talk_01	{技|わざ}[VAR FF00(0006)]ハバネロエキス[VAR FF00(0000)]を{覚|おぼ}えた\n[VAR FF00(0006)]スコヴィラン[VAR FF00(0000)]を{連|つ}れてきてください！[VAR 0114(013B)]
msg_Ev_sub_131_010_talk_02	おお！　まさしくスコヴィラン！\c\n{技|わざ}のハバネロエキスも{覚|おぼ}えているし\n{辛|から}そうな{顔|かお}が２つもあって{最高|さいこう}です！[VAR 0114(013B)]
msg_Ev_sub_131_010_talk_03	それではさっそく\nハバネロフェスを{始|はじ}めましょう！[VAR 0114(013B)]
msg_Ev_sub_131_010_select_01	{始|はじ}めましょう！
msg_Ev_sub_131_010_select_02	{待|ま}ってください
msg_Ev_sub_131_010_talk_04	わかりました！\n{心|こころ}の{準備|じゅんび}ができたら{話|はな}しかけてください[VAR 0114(013B)]
msg_Ev_sub_131_010_talk_05	{乗|の}り{気|き}ですね！　やる{気|き}ですね！　では\nみなさまに{真|しん}の{辛|から}さを{提供|ていきょう}しましょう！[VAR 0114(013B)]
msg_181cd6f5379fbcd2530fb87d9308fd09	[~ 19]
msg_Ev_sub_131_011_talk_01	お{待|ま}たせいたしました！　ただいまより\n{辛党|からとう}の{辛党|からとう}による{辛党|からとう}のためのフェス[VAR 0114(013B)]
msg_Ev_sub_131_011_talk_02	ハバネロフェス{開催|かいさい}です！[VAR 0114(013B)]
msg_Ev_sub_131_011_talk_03	ハバネロッ！！
msg_Ev_sub_131_011_talk_04	それでは[VAR 0100(0000)]さん[VAR 0114(013B)]
msg_Ev_sub_131_011_talk_05	お{客|きゃく}さまの{料理|りょうり}に\nハバネロエキスを{当|あ}ててください！\r\nアレ　キュイジーヌ！[VAR 0114(013B)]
msg_Ev_sub_131_011_wait_01	{遠慮|えんりょ}なくお{客|きゃく}さまの{料理|りょうり}に\nハバネロエキスを{当|あ}てまくってください[VAR 0114(013B)]
msg_6c12cc87e9bab16c9054f0ad3f0e9379	[~ 26]
msg_Ev_sub_131_giveup_01	{遠慮|えんりょ}なくお{客|きゃく}さまの{料理|りょうり}に\nハバネロエキスを{当|あ}てまくってください\c\n……ところでなにか{用|よう}ですか？[VAR 0114(013B)]
msg_Ev_sub_131_giveup_select_01	フェスを{続|つづ}けます！
msg_Ev_sub_131_giveup_select_02	フェスを{中断|ちゅうだん}します……
msg_Ev_sub_131_giveup_02	わかりました！　なにか\n{事情|じじょう}があるのでしたらしかたありません\c\nハバネロフェスは\n{改|あらた}めて{開催|かいさい}させていただきます！[VAR 0114(013B)]
msg_57224b18fb8f74a07f68c332bced57e5	[~ 31]
msg_Ev_sub_131_020_1_speech_01	カモン！\nハバネロエキス！
msg_Ev_sub_131_020_1_speech_02	ハバネロエキス！\nハバネロエキス！
msg_Ev_sub_131_020_1_speech_90	うおー！
msg_Ev_sub_131_020_1_speech_91	きたー！
msg_Ev_sub_131_020_1_speech_11	かっ　からすぎ～！
msg_Ev_sub_131_020_1_speech_12	許してくれ！\n口の中が火事だ
msg_2f24b96cbc0cb7fa1ec0593ccaacb438	[~ 38]
msg_Ev_sub_131_020_2_speech_01	激辛祭り！
msg_Ev_sub_131_020_2_speech_90	{激々辛々|げきげきからから}！！！！
msg_Ev_sub_131_020_2_speech_11	さすが本場の\nハバネロエキス！
msg_6555bc3edfebe4eb41038869d0a5fa61	[~ 42]
msg_Ev_sub_131_020_3_speech_01	はっはやく\nハバネロエキスを！
msg_Ev_sub_131_020_3_speech_02	ハバネロエキス！
msg_Ev_sub_131_020_3_speech_90	ハバネロ！
msg_Ev_sub_131_020_3_speech_91	エキス！！
msg_Ev_sub_131_020_3_speech_11	カリョクさん\nナイスな企画だぜ
msg_Ev_sub_131_020_3_speech_12	汗が……汗が……\n汗が……汗が……
msg_35e3df80011a1503326b7b46e382d32f	[~ 49]
msg_Ev_sub_131_020_4_speech_01	試すに値する辛さか\n確かめさせてもらいます
msg_Ev_sub_131_020_4_speech_02	どーんと来い！
msg_Ev_sub_131_020_4_speech_90	このエキスの{刺激的|しげきてき}な{匂|にお}いは\nおれの{攻撃力|こうげきりょく}をあげてくれる！[VAR 0114(0017)]
msg_Ev_sub_131_020_4_speech_91	{脳天直撃|のうてんちょくげき}じゃあ！[VAR 0114(0010)]
msg_Ev_sub_131_020_4_speech_11	この{辛|から}さ……なんということだ！\nおれの{内|うち}なる{炎|ほのお}を{燃|も}やしてくれます[VAR 0114(0017)]
msg_Ev_sub_131_020_4_speech_12	ふむふむ……\n{辛口|からくち}カナリィパンもありだな[VAR 0114(0010)]
msg_6eeb32f7b457a828da409c94226124c5	[~ 56]
msg_Ev_sub_131_020_5_speech_01	家族で刺激的な\n食事を楽しみます！
msg_Ev_sub_131_020_5_speech_02	辛いの苦手なのに……
msg_Ev_sub_131_020_5_speech_03	刺激イズ最高！
msg_Ev_sub_131_020_5_speech_04	辛さで勝負とは\n気になるフェスですね！
msg_Ev_sub_131_020_5_speech_93	これはヤバイ！
msg_Ev_sub_131_020_5_speech_11	刺激的すぎる！
msg_Ev_sub_131_020_5_speech_12	ぐえ！
msg_Ev_sub_131_020_5_speech_13	最高！
msg_Ev_sub_131_020_5_speech_14	絶品のカラさ♪
msg_967bbbd16b01054a153b039d8d26039a	[~ 66]
msg_Ev_sub_131_020_6_speech_01	頼むぞ　スコヴィラン\nエキスをかけまくってくれ
msg_Ev_sub_131_020_6_speech_02	辛さが幸せを\n運んでくれます
msg_Ev_sub_131_020_6_speech_03	辛すぎると\n痛いんだけどな
msg_Ev_sub_131_020_6_speech_04	辛さ判定士の\n私を納得させて
msg_Ev_sub_131_020_6_speech_05	ピリカラ♪　ピリカラ♪
msg_Ev_sub_131_020_6_speech_90	スコヴィラン！
msg_Ev_sub_131_020_6_speech_11	すごいぞ　スコヴィラン
msg_Ev_sub_131_020_6_speech_12	この辛さ\nまさにヘブン！
msg_Ev_sub_131_020_6_speech_13	辛いよりも痛い！！
msg_Ev_sub_131_020_6_speech_14	どこかフルーティだ
msg_Ev_sub_131_020_6_speech_15	おお！\n謎の元気がわいてくる
msg_19c172bbb24074d65a20628064ed3c03	[~ 78]
msg_Ev_sub_131_020_7_speech_01	ハバネロエキスを\n全身に浴びせてくれ！
msg_Ev_sub_131_020_7_speech_90	ハバネロエキス！
msg_Ev_sub_131_020_7_speech_11	人生初の恐ろしい\n辛さを体験している！
msg_ba58be19ff9e175d07ae4aaa09cfbf9f	[~ 82]
msg_Ev_sub_131_020_8_speech_01	オレの鉄の胃袋なら\nどんな辛さでもＯＫだ！
msg_Ev_sub_131_020_8_speech_02	辛いのって\nあまり好きじゃない
msg_Ev_sub_131_020_8_speech_90	ハバネロエキスが{目|め}に{入|はい}った！\nさすが{狂暴|きょうぼう}なスコヴィランだぜ！
msg_Ev_sub_131_020_8_speech_11	胃がひっくりかえる
msg_Ev_sub_131_020_8_speech_12	ヒー　辛すぎるのに\n食べるのが止まらない
msg_d6ca75321c3beab77461bc6e77f80200	[~ 88]
msg_Ev_sub_131_020_9_speech_01	激辛プリーズ♪
msg_Ev_sub_131_020_9_speech_90	きた！　きた！　きた！　きた！\nきた！　きた！　ハバネロエキス！
msg_Ev_sub_131_020_9_speech_11	え～　甘いよ\nちょっと期待外れかも
msg_9e9098c7f52b961bfd3c1b304fc1009b	[~ 92]
msg_Ev_sub_131_020_10_speech_01	ミアレ名物になれるか\nハバネロフェス！
msg_Ev_sub_131_020_10_speech_02	期待外れなら\n一ツ星になるよ！
msg_Ev_sub_131_020_10_speech_91	なんて{情熱的|じょうねつてき}な{技|わざ}！\nスコヴィル{値|ち}が{限界突破|げんかいとっぱ}だ！
msg_Ev_sub_131_020_10_speech_11	辛さが脳天を刺してくる\nハバネロフェスは極上だ
msg_Ev_sub_131_020_10_speech_12	このニ・リューが\n三ツ星になる日も近いな
msg_e16dac1c9c20fb24f8c36a8fc8463973	[~ 98]
msg_Ev_sub_131_020_11_speech_01	おなかは弱いけど\n挑戦してみます
msg_Ev_sub_131_020_11_speech_90	ハバネロエキスの{燃|も}えるような{色|いろ}\nみているだけでお{腹|なか}が{痛|いた}くなる！
msg_Ev_sub_131_020_11_speech_11	最高の辛さですが\nトイレにひきこもりそう
msg_11edd79704f2a131dc9c120979bba023	[~ 102]
msg_Ev_sub_131_020_12_speech_01	スコヴィラン……怖くて\nちょっと苦手なんだけどな
msg_Ev_sub_131_020_12_speech_02	スコヴィランの香り\nわたし気になります
msg_Ev_sub_131_020_12_speech_91	{強烈|きょうれつ}な{香|かお}り！
msg_Ev_sub_131_020_12_speech_11	スコヴィランを\n好きになっちゃう！
msg_Ev_sub_131_020_12_speech_12	香りだけで涙がでちゃう！\nスコヴィラン　ラブ
msg_7271c9310023ef10c189a86d7009866b	[~ 108]
msg_Ev_sub_131_020_13_speech_01	ハバネロフェスとは\nクレイジーな祭りだよ
msg_Ev_sub_131_020_13_speech_02	企画した人間は\nなにを考えているのか
msg_Ev_sub_131_020_13_speech_90	ひゃっはー！
msg_Ev_sub_131_020_13_speech_11	ハバネロエキス\nとんでもない技だ！
msg_Ev_sub_131_020_13_speech_12	あらゆる細胞が\nいま目覚めてます！
msg_847c378b762fe6b0b84bb7a8c971a064	[~ 114]
msg_Ev_sub_131_021_talk_01	すべてのテーブルの{料理|りょうり}に\nハバネロエキスがいきわたりましたね！[VAR 0114(013B)]
msg_Ev_sub_131_021_talk_02	{辛党|からとう}の！
msg_Ev_sub_131_021_talk_03	{辛党|からとう}による！
msg_Ev_sub_131_021_talk_04	{辛党|からとう}のための！
msg_Ev_sub_131_021_talk_05	ハバネロフェス！
msg_Ev_sub_131_021_talk_06	{三ツ星|みつぼし}になることも{大事|だいじ}ですが\n{今日|きょう}のお{客|きゃく}さまの{笑顔|えがお}はもっと{大事|だいじ}です[VAR 0114(013B)]
msg_Ev_sub_131_021_talk_07	[VAR 0100(0000)]さんと\nスコヴィランのおかげで[VAR 0114(013B)]
msg_Ev_sub_131_021_talk_08	ハバネロフェスは{大成功|だいせいこう}！\nありがとうございました！！[VAR 0114(013B)]
sub_132.txt
msg_Ev_sub_132_001_talk_01	あなたが[VAR 0100(0000)]さんだね[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_02	{推|お}しがアップした{写真|しゃしん}が{最高|さいこう}すぎるの！\nちょっとみてよ！[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_03	カナリィさんとシビルドンが\nベンチでくつろいでいるコレやばいよ！[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_04	このベンチに{座|すわ}って\nライボルトと{写真|しゃしん}を{撮|と}りたい！[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_05	というわけで[VAR 0100(0000)]さんに\nお{願|ねが}いしたいのは[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_06	{写真|しゃしん}に{写|うつ}っている\nベンチを{探|さが}してください！[VAR 0114(01AE)]
msg_Ev_sub_132_001_talk_07	ビリバリ！
msg_4a8320eaf5039f3a20fdc176b6255dcb	[~ 7]
msg_Ev_sub_132_002_talk_01	ベンチが{写|うつ}っている\n{写真|しゃしん}を{確認|かくにん}しますか？[VAR 0114(01AE)]
msg_Ev_sub_132_002_select_01	{写真|しゃしん}をみせてください
msg_Ev_sub_132_002_select_02	みなくても{大丈夫|だいじょうぶ}です
msg_Ev_sub_132_002_talk_02	こちらです！\nどこのベンチかわかりますか？[VAR 0114(01AE)]
msg_Ev_sub_132_002_talk_03	{写真|しゃしん}に{写|うつ}っている\nベンチを{探|さが}してください！[VAR 0114(01AE)]
msg_415ca59489246443fd3b49e03efb78a3	[~ 13]
msg_Ev_sub_132_010_talk_01	{依頼人|いらいにん}が{探|さが}している\nベンチを{発見|はっけん}した！
msg_Ev_sub_132_010_talk_02	２つ{並|なら}んだプランター！\n{背後|はいご}の{建物|たてもの}！　そして{山|やま}！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_03	カナリィさんの{写真|しゃしん}は\nここで{撮影|さつえい}されたもの！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_04	ではさっそく！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_05	カナリィさんが{座|すわ}ったベンチに{座|すわ}った\nあたしは{実質|じっしつ}カナリィさん！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_06	[VAR 0100(0000)]さん\nカナリィさんの{写真|しゃしん}と{同|おな}じ{感|かん}じで\r\n{撮影|さつえい}をお{願|ねが}いできます？[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_10	この{写真|しゃしん}のアングルを\n{完全再現|かんぜんさいげん}してほしいんです！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_07	{写真|しゃしん}を{確認|かくにん}したくなったら\nいつでも{声|こえ}をかけてください！[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_08	カナリィさんの{写真|しゃしん}を{確認|かくにん}します？[VAR 0114(01AE)]
msg_Ev_sub_132_010_select_01	します！[VAR 0114(01AE)]
msg_Ev_sub_132_010_select_02	しません[VAR 0114(01AE)]
msg_Ev_sub_132_010_talk_09	カナリィさんの{写真|しゃしん}と{同|おな}じ{感|かん}じで\nちょっと{遠|とお}くから{撮影|さつえい}してください！[VAR 0114(01AE)]
msg_587e6015bc30348fa430f96f16a4f697	[~ 26]
msg_Ev_sub_132_019_talk_01	うんうん！\nそのあたり……[VAR 0114(01AE)]
msg_Ev_sub_132_019_talk_02	じゃないかも\c\nちょっとアングルが{違|ちが}うような……\nめざすは{完全再現|かんぜんさいげん}ですから！[VAR 0114(01AE)]
msg_7cb224b8433f0399f9107ad3b6edcdce	[~ 29]
msg_Ev_sub_132_020_talk_01	そこそこ！\nそこで{撮影|さつえい}してください！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_02	はいはーい\n{写真|しゃしん}の{確認|かくにん}をするね！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_03	わお！　{完全再現|かんぜんさいげん}だよ！\nあたしがカナリィさんになったみたい！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_04	{撮|と}ってもらった{写真|しゃしん}を\nＳＮＳに{投稿|とうこう}して……と！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_05	それにしてもカナリィさんを\n{撮|と}ったのって{噂|うわさ}のプロデューサーかな[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_06	カナリィパンも{悪|わる}くないけど\nアクスタとかアクキーが{欲|ほ}しいのに[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_07	なんてね！　ほかにも\nカナリィさんの{写真|しゃしん}の{真似|まね}をしないと！\r\nそのためにミアレに{来|き}たんだし！[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_08	[VAR 0100(0000)]さんもおつかれさま！\nせっかくだしベンチでくつろいだら[VAR 0114(01AE)]
msg_Ev_sub_132_020_talk_09	じゃーねー！[VAR 0114(01AE)]
msg_3d478d0adc0610b370de48a78cf1c6d1	[~ 39]
msg_Ev_sub_132_255_talk_01	{次|つぎ}はカナリィさんがクイズ{大会|たいかい}をした\n{場所|ばしょ}をみつけだして{撮影|さつえい}したいかも！[VAR 0114(01AE)]
msg_Ev_sub_132_255_talk_02	ビリバリ！
sub_133.txt
msg_Ev_sub_133_001_talk_01	ぼくはインディーゲームの\nクリエイターでトリアンというのさ[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_02	とくにポリゴンには{詳|くわ}しいよ[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_03	ポリゴンってわかるかい？[VAR 0114(01AF)]
msg_Ev_sub_133_001_select_01	ポケモンの？
msg_Ev_sub_133_001_select_02	３Ｄの？
msg_Ev_sub_133_001_talk_04	ある{意味|いみ}では{正解|せいかい}だね[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_05	そう！　ぼくが{話|はな}したかったのは\n３Ｄコンピュータグラフィックスの\r\nポリゴンのことなのさ[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_06	きみがいつも{遊|あそ}んでいるゲームの{中|なか}の\n{立体的|りったいてき}なキャラクターいわゆるモデルは[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_07	ポリゴンモデリングという{仕組|しく}みで\n{表現|ひょうげん}されているのさ[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_08	ポリゴンモデリングというのは\n３Ｄ{空間上|くうかんじょう}で{多角形|ポリゴン}を\r\n{組|く}み{合|あ}わせて{形|かたち}をつくること[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_09	ポリゴンを{多|おお}く{使|つか}えば{使|つか}うほど\nなめらかになるけど[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_10	{昔|むかし}は{多|おお}く{使|つか}うのって{処理的|しょりてき}に{厳|きび}しくてさ\nカクカクしていたんだよねえ[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_11	ポケモンのポリゴンも\n{当時|とうじ}の{最先端技術|さいせんたんぎじゅつ}をもとに{誕生|たんじょう}したって\r\n{話|はなし}だけど{技術|ぎじゅつ}は{進歩|しんぽ}するからね[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_12	そしてこのタイミングでお{願|ねが}いさ[VAR 0114(01AF)]
msg_Ev_sub_133_001_talk_13	ぼくのポリゴンと\nきみのポリゴンを{交換|こうかん}だ！[VAR 0114(01AF)]
msg_13b22fe33c07356dcdc976cfa5a54dc1	[~ 15]
msg_Ev_sub_133_010_talk_01	ぼくのポリゴンと\nきみのポリゴンを{交換|こうかん}してくれるかい？[VAR 0114(01AF)]
msg_Ev_sub_133_010_select_01	{交換|こうかん}します！
msg_Ev_sub_133_010_select_02	やめておきます
msg_Ev_sub_133_010_talk_02	ポリゴンとポリゴンの{交換|こうかん}という\nスーパーワクワクタイムを{楽|たの}しもうよ！[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_03	ぼくのポリゴンと\nきみのポリゴンを{交換|こうかん}しよう！[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_04	ぼくのポリゴンと\nきみのポリゴンを{交換|こうかん}しようよ！[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_05	ポリゴンだよ！\n{交換|こうかん}してほしいのはポリゴンだよ[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_15	……おや！？\nなめらかの{様子|ようす}が……！
msg_Ev_sub_133_010_talk_06	ぼくからのサプライズさ[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_07	きみに{送|おく}ったポリゴンには\nアップグレードを{持|も}たせていたからね[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_08	こうして{進化|しんか}して\nポリゴン２になったのさ[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_09	ほら！　なめらかな{体|からだ}になっただろ\n{処理性能|しょりせいのう}の{向上|こうじょう}がわかるよねえ[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_10	バージョンアップで{人工知能|じんこうちのう}の{搭載|とうさい}や\n{惑星開発|わくせいかいはつ}プログラムが{組|く}みこまれたけど[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_11	まだまだ{手|て}のかかるポケモンでさ\nそこがたまらなく{愛|いと}おしいのさ[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_12	おや？\nこの{輝|かがや}きはもしかして……[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_13	きみもポリゴンに\nアップグレードを{持|も}たせていたのか[VAR 0114(01AF)]
msg_Ev_sub_133_010_talk_14	まさにきみからのサプライズだね！\nすばらしいポケモン{交換|こうかん}に{感謝|かんしゃ}さ！[VAR 0114(01AF)]
msg_d8f84d2b50f8a8a070e8af1a3c659f4c	[~ 33]
msg_Ev_sub_133_255_talk_01	ポリゴン２も\nさらにアップデートしないかな[VAR 0114(01AF)]
msg_Ev_sub_133_255_talk_02	ポリリ
sub_134.txt
msg_Ev_sub_134_001_talk_01	{小|ちい}さなテーブルの{上|うえ}に\nポケモンのゴクリンがいる
msg_Ev_sub_134_001_talk_02	そちらのゴクリンさん\nドーナツの{香|かお}りに{誘|さそ}われたのでしょうか[VAR 0114(01A5)]
msg_Ev_sub_134_001_talk_03	[VAR 0100(0000)]さん\c\nお{客|きゃく}さんのゴクリンさんに\nドーナツを１つわけてあげてください[VAR 0114(01A5)]
msg_Ev_sub_134_001_talk_04	ゴクリンに\nドーナツをあげますか？
msg_Ev_sub_134_001_select_01	あげる！
msg_Ev_sub_134_001_select_02	やめておく
msg_Ev_sub_134_001_talk_12	ドーナツを{持|も}っていなかった
msg_Ev_sub_134_001_talk_13	いまは\nドーナツの{気分|きぶん}ではないようだ……
msg_Ev_sub_134_001_talk_05	もごもご　ごっくん！
msg_Ev_sub_134_001_talk_08	ゴクリンは{大満足|だいまんぞく}のようだ！
msg_Ev_sub_134_001_talk_09	ゴクリンが\n[VAR 0109(0002)]をくれた！
msg_Ev_sub_134_001_talk_10	ゴクリンさん\nとてもうれしそうですね！\c\nそうです！　つくりすぎたドーナツは\nゴクリンさんに{食|た}べてもらいましょう！[VAR 0114(01A5)]
msg_Ev_sub_134_001_talk_11	そのドーナツを\nゴクリンさんにあげることはできません[VAR 0114(01A5)]
sub_135.txt
msg_Ev_sub_135_001_speech_01	ナイス　マンホール
msg_Ev_sub_135_001_talk_07	ストップ！！[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_08	そう！　{立|た}ち{止|ど}まって\n{足元|あしもと}をご{覧|らん}ください！[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_01	ミアレシティには\nポケモンがデザインされている\r\nマンホールがあります[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_02	いわゆるポケモンマンホール[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_03	そのうちの１つがこれ！[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_04	ベール{地区|ちく}は\nゴーゴートのマンホール！[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_05	さて\nここでクイズです[VAR 0114(01B1)]
msg_Ev_sub_135_001_talk_06	ルージュ{地区|ちく}のマンホールに\nデザインされているポケモンはなに？\c\nこれだ！　と{思|おも}う\nポケモンをわたしにみせてください[VAR 0114(01B1)]
msg_3a212b51a0493d75746da11208b7e4b7	[~ 9]
msg_Ev_sub_135_010_talk_01	ルージュ{地区|ちく}のマンホールに\nデザインされている\r\nポケモンをみせてくれますか[VAR 0114(01B1)]
msg_Ev_sub_135_010_select_01	おみせします！
msg_Ev_sub_135_010_select_02	{待|ま}ってください
msg_Ev_sub_135_010_talk_02	{答|こた}えがわかって\nそのポケモンを{連|つ}れていたら\r\nまた{話|はな}しかけてください[VAR 0114(01B1)]
msg_Ev_sub_135_010_talk_03	どのポケモンがマンホールに\nデザインされているか{教|おし}えてください[VAR 0114(01B1)]
