aoc_error.txt
aoc_error_01	需要擁有新增內容\n才能繼續前進。
msg_Ev_d07_3200_talk_12	我們訓練家之間的牽絆也會\n像超級進化一樣成為強大的力量！[VAR 0114(0192)]
msg_Ev_d07_3200_talk_13_f	只能相信手機洛托姆，\n跳下去了！[VAR 0114(0006)]
msg_Ev_d07_3200_talk_13_m	只要相信手機洛托姆，\n跳下去就是了！[VAR 0114(0005)]
msg_Ev_d07_3200_talk_14_f	要和蓋歐卡戰鬥，\n就只能跳下去了是吧。[VAR 0114(0006)]
msg_Ev_d07_3200_talk_14_m	要和蓋歐卡戰鬥，\n就只能跳下去了對吧。[VAR 0114(0005)]
msg_Ev_d07_3200_talk_04	那麼大家一起\n去捉蓋歐卡吧～！[VAR 0114(0192)]
msg_2168cc1535e94351ae5c9b3b572109ef	[~ 239]
msg_Ev_d07_3300_talk_01_f	這傢伙就是蓋歐卡……！[VAR 0114(0006)]
msg_Ev_d07_3300_talk_01_m	這傢伙就是蓋歐卡！[VAR 0114(0005)]
msg_Ev_d07_3300_talk_02	大家！\n拿出所有力量來對抗蓋歐卡吧！[VAR 0114(0192)]
msg_7620814da8b28a4e0896bc728b06ac80	[~ 243]
msg_Ev_d07_3310_talk_09	請捉住蓋歐卡。
msg_Ev_d07_3310_talk_01_f	[VAR 0100(0000)]！[VAR 0114(0006)]
msg_Ev_d07_3310_talk_01_m	[VAR 0100(0000)]！[VAR 0114(0005)]
msg_Ev_d07_3310_talk_02_f	可爾妮！[VAR 0114(0006)]
msg_Ev_d07_3310_talk_02_m	可爾妮！[VAR 0114(0005)]
msg_Ev_d07_3310_talk_03	嗯！大家好厲害。[VAR 0114(0192)]
msg_Ev_d07_3310_talk_04	我們密阿雷最強三人組\n捉住蓋歐卡了！[VAR 0114(0192)]
msg_Ev_d07_3310_talk_05	辛苦啦！[VAR 0114(0013)]
msg_Ev_d07_3310_talk_06	連提升了力量的蓋歐卡都能打贏，\n你們真的有夠厲害！[VAR 0114(0013)]
msg_Ev_d07_3310_talk_07	在你們剛剛結束激戰的時候說這個\n實在很不好意思……[VAR 0114(0013)]
msg_Ev_d07_3310_talk_08	來我的房間一趟吧。\n好啦，我等你們過來！[VAR 0114(0013)]
msg_361d3ca9110a84d7e2532d5e930376b6	[~ 255]
msg_Ev_d07_3500_talk_01	光是戰勝蓋歐卡就很厲害了，\n連提升力量之後的蓋歐卡都能打贏，\r\n你們也太神了吧。[VAR 0114(0013)]
msg_Ev_d07_3500_talk_02	話說回來，\n蓋歐卡和靛藍色寶珠……[VAR 0114(0013)]
msg_Ev_d07_3500_talk_03	超級進化和原始回歸\n這兩種現象啊……[VAR 0114(0013)]
msg_Ev_d07_3500_talk_04	沒錯！竟然有這麼相似的兩種現象，\n真是太有趣了呢。[VAR 0114(0192)]
msg_Ev_d07_3500_talk_05	蓋歐卡的力量提升是來自\n原始回歸這種現象！[VAR 0114(0192)]
msg_Ev_d07_3500_talk_06	靛藍色寶珠裡蘊藏著\n龐大的自然能量。[VAR 0114(0192)]
msg_Ev_d07_3500_talk_07	透過那種力量覺醒的\n就是原始蓋歐卡！[VAR 0114(0192)]
msg_Ev_d07_3500_talk_08	身為超級進化繼承者，\n能親身面對原始回歸真是太好了！[VAR 0114(0192)]
msg_Ev_d07_3500_talk_09	真不愧是超級進化繼承者啊。[VAR 0114(0013)]
msg_Ev_d07_3500_talk_10	朱紅色扭洞裡的\n固拉多也拜託你們啦！[VAR 0114(0013)]
msg_Ev_d07_3500_talk_11	交給我們吧！\n為了安馨兒我們會加油的！[VAR 0114(0192)]
msg_Ev_d07_3500_talk_12_f	好！這可是安馨兒的委託啊。[VAR 0114(0006)]
msg_Ev_d07_3500_talk_12_m	嗯！這可是安馨兒的委託呢。[VAR 0114(0005)]
msg_20126a3093e334359394b677b0dae3fe	[~ 269]
msg_Ev_d07_3550_talk_01	竟然能捉住豐緣地區的2隻\n傳說的寶可夢固拉多和蓋歐卡，\r\n真是辛苦你們了。[VAR 0114(0013)]
msg_Ev_d07_3550_talk_02	這下子終於可以\n調查烈空坐啦。[VAR 0114(0013)]
msg_Ev_d07_3550_talk_03	靛藍色寶珠和朱紅色寶珠的解析\n就快要結束了。[VAR 0114(0013)]
msg_Ev_d07_3550_talk_04	話說回來，我都開始搞不清楚\n鏽蝕組到底是個什麼組織了。[VAR 0114(0013)]
msg_Ev_d07_3550_select_01	一群好人？
msg_Ev_d07_3550_select_02	義工？
msg_Ev_d07_3550_talk_05	像這樣先賣人情出去，\n作為回報大家不就得幫我工作了嗎？\r\n這是我守護自己喜歡的城市的方法。[VAR 0114(0013)]
msg_Ev_d07_3550_talk_06	久等了。[VAR 0114(0014)]
msg_Ev_d07_3550_talk_07	這是我們借用的靛藍色寶珠\n和朱紅色寶珠。[VAR 0114(0014)]
msg_Ev_d07_3550_talk_08	可爾妮也說過，\n寶珠裡蘊藏著驚人的能量。[VAR 0114(0014)]
msg_Ev_d07_3550_talk_09	那麼老師，\n妳有什麼說法？[VAR 0114(0013)]
msg_Ev_d07_3550_talk_10	叫我代理所長！[VAR 0114(0007)]
msg_Ev_d07_3550_talk_40	叫老師太讓人害羞了。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_11	那麼老師，\n可以把妳知道的事告訴我們嗎？[VAR 0114(0013)]
msg_Ev_d07_3550_talk_12	……呿。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_13	我推測是稜鏡塔釋放出的失控超級能，\n讓達克萊伊展現惡夢的能力變得過剩。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_14	因此而產生的奇異空間\n就是異次元密阿雷。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_15	那個奇異空間的基礎應該是\n寶可夢和人的潛意識，\r\n到這邊為止你們應該也都很清楚吧。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_16	只不過這次的情況有點不同，\n似乎連夢想和願望也成了空間的基礎。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_17	老師！\n感謝妳詳細的解說。\c\n那麼要怎麼做\n才能見到烈空坐？[VAR 0114(0013)]
msg_Ev_d07_3550_talk_18	要讓烈空坐所在的\n異次元密阿雷出現，\r\n只要將潛意識顯現出來就行了。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_19	什麼？顯現出來？[VAR 0114(0013)]
msg_Ev_d07_3550_talk_20	老師……\n拜託不要用那麼難懂的說法。[VAR 0114(0013)]
msg_Ev_d07_3550_talk_21	請用力地許願。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_22	你們已經捉住了\n原始固拉多和原始蓋歐卡。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_23	現在想要見到烈空坐的意識\n以及能夠見到烈空坐的想像，\r\n應該都變得更強烈了才對。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_24	請讓這些變得更強。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_25	什麼意思啊，\n聽得我似懂非懂的。[VAR 0114(0013)]
msg_Ev_d07_3550_talk_26	我說啊……[VAR 0114(0007)]
msg_Ev_d07_3550_talk_27	我只是個研究寶可夢能量的普通人！\c\n別因為我是代理所長，\n就以為我能對異次元密阿雷的事下定論。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_28	那到底是誰？\c\n是誰擁有想見烈空坐\n這種不得了的夢想？[VAR 0114(0007)]
msg_Ev_d07_3550_select_03	安馨兒
msg_Ev_d07_3550_select_04	烏羽
msg_Ev_d07_3550_talk_29	為什麼要在這種時候搞笑！\n是安馨兒吧！[VAR 0114(0013)]
msg_Ev_d07_3550_talk_30	沒錯！\n是安馨兒！[VAR 0114(0013)]
msg_Ev_d07_3550_talk_31	[VAR 0100(0000)]！\n想辦法讓安馨兒\r\n更熱切地想去見烈空坐吧！[VAR 0114(0013)]
msg_Ev_d07_3550_select_05	好的
msg_Ev_d07_3550_select_06	該怎麼做？
msg_Ev_d07_3550_talk_32	去問問她為什麼\n想見烈空坐不就好了？[VAR 0114(0013)]
msg_Ev_d07_3550_talk_33	不過，說到安馨兒的願望……[VAR 0114(0013)]
msg_Ev_d07_3550_talk_34	是因為她想要強大寶可夢的夢想\n和失控的達克萊伊的能力混合在一起，\r\n所以才造成了現在的狀況嗎？[VAR 0114(0013)]
msg_Ev_d07_3550_talk_35	夢想這東西還真是厲害啊。[VAR 0114(0013)]
msg_Ev_d07_3550_talk_36	老師也辛苦了，\n之後有什麼事再麻煩妳了。[VAR 0114(0013)]
msg_Ev_d07_3550_talk_37	不要再找我了。[VAR 0114(0007)]
msg_Ev_d07_3550_talk_38	剛才說的那些，\n我現在就去告訴安馨兒！[VAR 0114(0192)]
msg_Ev_d07_3550_talk_39	[VAR 0100(0000)]，也拜託[VAR 1100(00FF,0101)]你妳了！[VAR 0114(0013)]
msg_75b84f19d46bf36e58c36a4aa67abda2	[~ 316]
msg_Ev_d07_4000_talk_01	歡迎回來。[VAR 0114(000C)]
msg_Ev_d07_4000_select_01	安馨兒呢？
msg_Ev_d07_4000_select_02	可爾妮呢？
msg_Ev_d07_4000_talk_02	在可爾妮的房間。[VAR 0114(000B)]
msg_Ev_d07_4000_talk_03	可爾妮把在鏽蝕組聽到的事\n跟安馨兒說了。[VAR 0114(000B)]
msg_Ev_d07_4000_talk_04	然後安馨兒就說\n她想知道大家是怎麼跟\r\n固拉多還有蓋歐卡戰鬥的。[VAR 0114(000C)]
msg_Ev_d07_4000_talk_05	你們在鏽蝕組那邊\n發生了什麼事嗎？[VAR 0114(000B)]
msg_Ev_d07_4000_talk_06	安馨兒是想藉由聽可爾妮說在異次元密阿雷\n和蓋歐卡還有固拉多戰鬥的事，\r\n讓自己的想像變得更具體吧。[VAR 0114(000C)]
msg_Ev_d07_4000_talk_07	多半是這樣吧。\n她一定是為了讓自己的心願變得更強。[VAR 0114(000B)]
msg_Ev_d07_4000_talk_08_f	聽起來像是一種意象訓練啊。[VAR 0114(0006)]
msg_Ev_d07_4000_talk_08_m	聽起來像是一種意象訓練呢。[VAR 0114(0005)]
msg_Ev_d07_4000_talk_09	但是真的有必要做那種事嗎？[VAR 0114(000C)]
msg_Ev_d07_4000_talk_10	為什麼這麼問？[VAR 0114(000B)]
msg_Ev_d07_4000_talk_11	一開始安馨兒能見到烈空坐，\n不就是因為她有很強烈的心願嗎？[VAR 0114(000C)]
msg_Ev_d07_4000_talk_12	話是這麼說，\n但妳跟我說也沒用……[VAR 0114(000B)]
msg_Ev_d07_4000_talk_13	久等了！[VAR 0114(0192)]
msg_Ev_d07_4000_talk_14	異次元密阿雷當然不用說，\n傳說的寶可夢們，\r\n還有和牠們戰鬥過的各位也都好厲害！[VAR 0114(01A5)]
msg_Ev_d07_4000_talk_15	怎麼樣？[VAR 0114(000C)]
msg_Ev_d07_4000_talk_16	[VAR 0100(0000)]，\n可爾妮告訴了我\r\n在異次元密阿雷發生的事。[VAR 0114(01A5)]
msg_Ev_d07_4000_talk_17	現在我能清楚地想像\n蓋歐卡和固拉多了！[VAR 0114(01A5)]
msg_Ev_d07_4000_talk_18	現在的我絕對能讓烈空坐所在的\n異次元密阿雷出現！[VAR 0114(01A5)]
msg_Ev_d07_4000_talk_19	這樣的話，安馨兒，\n為了更加強妳的想像，\r\n也請妳說說妳的故事吧！[VAR 0114(000C)]
msg_Ev_d07_4000_talk_20	好的！[VAR 0114(01A5)]
msg_Ev_d07_4000_select_03	在這裡說？
msg_Ev_d07_4000_select_04	去屋頂吧！
msg_Ev_d07_4000_talk_21	怎麼可能啦？[VAR 0114(000C)]
msg_Ev_d07_4000_talk_22	說到烈空坐就是天空！\n在屋頂上的話肯定能更強烈地想像對吧！[VAR 0114(0192)]
msg_Ev_d07_4000_talk_23	說到烈空坐就是天空！\c\n到距離天空更近的……屋頂上的話，\n肯定能更強烈地想像對吧！[VAR 0114(0192)]
msg_Ev_d07_4000_talk_24_f	好！我們去屋頂吧。[VAR 0114(0006)]
msg_Ev_d07_4000_talk_24_m	那我們就去屋頂吧！[VAR 0114(0005)]
msg_ce97423273cc104f90bd9adf2e27d18e	[~ 347]
msg_Ev_d07_4010_talk_01_f	說起來安馨兒，\n當初妳是突然出現在屋頂上的啊。[VAR 0114(0006)]
msg_Ev_d07_4010_talk_01_m	說起來安馨兒，\n當初妳是突然出現在屋頂上的對吧。[VAR 0114(0005)]
msg_Ev_d07_4010_talk_02	是的！\n是胡帕帶我來的。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_03	嗶啪啪。
msg_Ev_d07_4010_talk_04_f	正確的選擇。\c\n畢竟這個委託就只有我們\n超Z隊才能完成啊！[VAR 0114(0006)]
msg_Ev_d07_4010_talk_04_m	正確的選擇！\c\n畢竟這個委託就只有我們\n超Z隊才能完成！[VAR 0114(0005)]
msg_Ev_d07_4010_talk_05	來吧，安馨兒，\n告訴我們妳想見烈空坐的理由！\r\n好讓大家都能更強烈地想像。[VAR 0114(0192)]
msg_Ev_d07_4010_talk_06	好的！接下來我要說的\n是我很喜歡的一個故事。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_07	很久很久以前，\n在那個被稱為原始時代的時候。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_08	地上充滿了自然的能量。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_09	用靛藍色寶珠變強的\n原始蓋歐卡……[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_10	和用朱紅色寶珠變強的\n原始固拉多。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_11	牠們為了爭奪自然的能量，\n總是不斷地彼此爭戰。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_12	原始固拉多一聲咆哮，\n便會使大地隆起，水域乾涸。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_13	原始蓋歐卡一聲咆哮，\n便會使水淹大地，豪雨不斷。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_14	原始固拉多和原始蓋歐卡的爭鬥\n持續了整整20個晝夜，\r\n使得世界開始失去應有的樣子。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_15	束手無策的人們……流星之民\n於是獻上祈禱，向烈空坐求救。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_16	或許是烈空坐收到了\n流星之民的祈禱……[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_17	牠在耀眼的光輝中改變了身姿，\n出現在了原始蓋歐卡和\r\n原始固拉多面前。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_18	在強烈的光與風中，\n固拉多和蓋歐卡被奪去了力量，\r\n在變化之後消失在了遠方。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_19	流星之民因此\n將烈空坐奉為了救世主。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_20	能在密阿雷見到豐緣地區的\n傳說的寶可夢們，這真是太厲害了呢。[VAR 0114(000C)]
msg_Ev_d07_4010_talk_21	是呀！[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_22	故事裡說的烈空坐改變身姿，\n應該就是超級進化吧。[VAR 0114(0192)]
msg_Ev_d07_4010_talk_23	烈空坐體內有著能發揮\n與超級石相同功效的三角器官，\r\n似乎能藉此將自己變成超級烈空坐。[VAR 0114(0192)]
msg_Ev_d07_4010_talk_24	不用超級石就能\n超級進化的寶可夢……[VAR 0114(000B)]
msg_Ev_d07_4010_talk_25	這是最強的超級進化呢！\n難怪安馨兒對牠這麼嚮往。[VAR 0114(000C)]
msg_Ev_d07_4010_talk_26	是的！我母親對我講了\n好多好多次這個故事。\c\n我好喜歡這個故事和這隻寶可夢，\n喜歡到連作夢都會夢見。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_27	最重要的是，烈空坐是救世主呀。[VAR 0114(01A5)]
msg_Ev_d07_4010_talk_28_f	原來如此。\c\n妳想把最強的寶可夢送給最強的母親，\n說的原來是這個意思啊。[VAR 0114(0006)]
msg_Ev_d07_4010_talk_28_m	原來如此。\c\n妳想把最強的寶可夢送給最強的母親，\n說的原來是這個意思啊。[VAR 0114(0005)]
msg_Ev_d07_4010_talk_29	安馨兒對烈空坐的心意是貨真價實的，\n一定可以讓異次元扭洞出現！[VAR 0114(0192)]
msg_Ev_d07_4010_talk_30	咦！？[VAR 0114(000C)]
msg_Ev_d07_4010_talk_31	異次元扭洞出現了！？[VAR 0114(000B)]
msg_d7a8e8898d272c4a548b13211fceb82b	[~ 382]
msg_Ev_d07_4020_talk_01	有件事要向大家報告。[VAR 0114(0014)]
msg_Ev_d07_4020_talk_02	從上空的扭洞觀測到了\n與靛藍色寶珠和朱紅色寶珠發出的波長\r\n相近的波長。[VAR 0114(0014)]
msg_Ev_d07_4020_talk_03	毫無疑問，這是連接到烈空坐所在的\n異次元密阿雷的扭洞。[VAR 0114(0014)]
msg_Ev_d07_4020_talk_04	終於……\n能見到烈空坐了……！[VAR 0114(01A5)]
msg_Ev_d07_4020_talk_05	這就是所謂的心想事成？[VAR 0114(000C)]
msg_Ev_d07_4020_select_01	沒錯
msg_Ev_d07_4020_select_02	也許是吧
msg_Ev_d07_4020_talk_06	不過，和蓋歐卡、固拉多的時候一樣，\n這是個特殊的扭洞，\r\n所以需要特別的甜甜圈。[VAR 0114(0014)]
msg_Ev_d07_4020_talk_07	[VAR 0100(0000)]，\n為了做甜甜圈，\r\n請[VAR 1100(00FF,0101)]你妳幫忙收集資料！[VAR 0114(01A5)]
msg_Ev_d07_4020_talk_08	我要做最棒的甜甜圈！[VAR 0114(01A5)]
msg_Ev_d07_4020_talk_09	和大家一起的話，\n一定能做出來的！！[VAR 0114(01A5)]
msg_Ev_d07_4020_wait_02	異次元樹果這東西\n果然還是只能在異次元生長嗎？[VAR 0114(000C)]
msg_Ev_d07_4020_wait_03	發生了太多不得了的事，\n我的感覺都麻木了……[VAR 0114(000B)]
msg_Ev_d07_4020_wait_07	啾嚕嚕。
msg_3a05ed90e88a2cafb5776fffae39ff6b	[~ 397]
msg_Ev_d07_4100_talk_01	辛苦了。[VAR 0114(0014)]
msg_Ev_d07_4100_talk_02	多虧了[VAR 1100(00FF,0101)]你妳，\n需要的資料已經齊全了。[VAR 0114(0014)]
msg_Ev_d07_4100_talk_03	現在我們已經得知\n要前往烈空坐所在的異次元密阿雷，\c\n需要製作什麼樣的甜甜圈。[VAR 0114(0014)]
msg_Ev_d07_4100_talk_04	我這裡還有東西要交給[VAR 1100(00FF,0101)]你妳，\n讓我們在旅館Z會合吧。[VAR 0114(0014)]
msg_60f9214cee423548ab55edabd7bc4c30	[~ 402]
msg_Ev_d07_5000_talk_01	終於能知道\n要做什麼樣的甜甜圈，\r\n才能見到烈空坐了呢！[VAR 0114(01A5)]
msg_Ev_d07_5000_talk_02	與其等烏羽過來，\n不如直接去鏽蝕組那裡問他吧！[VAR 0114(01A5)]
msg_Ev_d07_5000_talk_03	安馨兒冷靜一點！\n而且要來的人是吉普索吧？[VAR 0114(000C)]
msg_Ev_d07_5000_talk_04	我也來啦！[VAR 0114(0013)]
msg_Ev_d07_5000_talk_05	[VAR 0100(0000)]、安馨兒。[VAR 0114(0014)]
msg_Ev_d07_5000_talk_06	根據鏽蝕組全體動員進行計算的結果，\n以下的食譜應該是有效的。[VAR 0114(0014)]
msg_Ev_d07_5000_talk_07	需要的是5種風味各自達到\n一定程度以上的甜甜圈。[VAR 0114(0014)]
msg_Ev_d07_5000_talk_18	具體來說是\n甜：120以上\r\n辣：40以上。[VAR 0114(0014)]
msg_Ev_d07_5000_talk_19	酸：340以上\n苦：40以上\r\n鮮：390以上。[VAR 0114(0014)]
msg_Ev_d07_5000_talk_08	另外還有這個。\c\n配合烈空坐的綠色\n特別找來的極品調味料！[VAR 0114(0013)]
msg_Ev_d07_5000_talk_09	奧利瓦油！[VAR 0114(0013)]
msg_Ev_d07_5000_talk_10_f	綠色？[VAR 0114(0006)]
msg_Ev_d07_5000_talk_10_m	綠色？[VAR 0114(0005)]
msg_Ev_d07_5000_talk_11	簡單易懂是很重要的。\c\n加入奧利瓦油，\n就能體驗到飛上天空般的感覺！[VAR 0114(0013)]
msg_Ev_d07_5000_talk_12	時候終於到了。[VAR 0114(0013)]
msg_Ev_d07_5000_talk_13	由安馨兒揭幕的故事，\n要迎來高潮啦！[VAR 0114(0013)]
msg_Ev_d07_5000_talk_14	好啦，我們會在事務所\n幫你們加油的。[VAR 0114(0013)]
msg_Ev_d07_5000_talk_15	我會待在屋頂上的。[VAR 0114(0192)]
msg_Ev_d07_5000_talk_16	安馨兒，\n就等妳做出最棒的甜甜圈了！[VAR 0114(0192)]
msg_Ev_d07_5000_talk_17	好的！[VAR 0114(01A5)]
msg_Ev_d07_5000_wait_02	黑香料還有\n奧利瓦油什麼的，\r\n鏽蝕組是不是對調味料特別講究啊？[VAR 0114(000C)]
msg_Ev_d07_5000_wait_03	距離夢想實現只差一步了呢！[VAR 0114(000B)]
msg_Ev_d07_5000_wait_04	甜甜圈還沒好嗎？[VAR 0114(0192)]
msg_Ev_d07_5000_wait_05	嗶啪啪。
msg_Ev_d07_5000_wait_06	啾嚕嚕。
msg_Ev_d07_5000_wait_07_f	來實現安馨兒的夢想吧！[VAR 0114(0006)]
msg_Ev_d07_5000_wait_07_m	來實現安馨兒的夢想吧！[VAR 0114(0005)]
msg_9a19de887793dc88d84f5eed552942ab	[~ 430]
msg_Ev_d07_5100_talk_01	做好了！[VAR 0114(01A5)]
msg_Ev_d07_5100_talk_02	這是為了見烈空坐需要的\n[VAR FF00(0006)]德爾塔蛋糕甜甜圈[VAR FF00(0000)]！[VAR 0114(01A5)]
msg_Ev_d07_5100_talk_03	當初和安馨兒相遇的時候，\n完全想像不到會有這一天。[VAR 0114(000C)]
msg_Ev_d07_5100_talk_04	可爾妮在屋頂上等我們喔。[VAR 0114(000B)]
msg_Ev_d07_5100_talk_05_f	這個由安馨兒揭幕的故事！\n要用一個好結局來收尾。[VAR 0114(0006)]
msg_Ev_d07_5100_talk_05_m	這個由安馨兒揭幕的故事！\n要用一個好結局來收尾。[VAR 0114(0005)]
msg_Ev_d07_5100_talk_06	[VAR 0100(0000)]，\n拜託[VAR 1100(00FF,0101)]你妳了。[VAR 0114(01A5)]
msg_Ev_d07_5100_wait_01	反倒是我開始緊張了……[VAR 0114(000C)]
msg_Ev_d07_5100_wait_02	安馨兒，終於要開始了呢。[VAR 0114(000B)]
msg_683f196ccd3d31cc03987e6c40d170c9	[~ 440]
msg_Ev_d07_5100_talk_11	為了安馨兒，\n向烈空坐所在的異次元密阿雷出發吧。[VAR 0114(0192)]
msg_Ev_d07_5100_select_01	進入異次元密阿雷
msg_Ev_d07_5100_select_02	先做準備
msg_Ev_d07_5100_talk_12	要是沒有甜甜圈，\n就去不了異次元密阿雷了吧。[VAR 0114(0192)]
msg_Ev_d07_5100_talk_13	[VAR 1100(00FF,0101)]你妳不是都準備好了\n才到屋頂上來的嗎？[VAR 0114(0192)]
msg_Ev_d07_5100_talk_14	我們要戰勝超級烈空坐並捉住牠！\n這樣才能實現安馨兒的願望！！[VAR 0114(0192)]
msg_Ev_d07_5100_talk_15	我們是要為了安馨兒\n去捉烈空坐喔！\r\n盒子要是滿了可不行。[VAR 0114(0192)]
msg_Ev_d07_5100_talk_16_f	終於要開始了！[VAR 0114(0006)]
msg_Ev_d07_5100_talk_16_m	終於要開始了！[VAR 0114(0005)]
msg_a3b932d7ecb249d10b3e74f1e5f86935	[~ 450]
msg_Ev_d07_5210_talk_01_f	這裡就是天空之柱啊。\c\n這是個把安馨兒以前聽的故事書\n裡頭的形象具體化之後形成的空間嗎？[VAR 0114(0006)]
msg_Ev_d07_5210_talk_01_m	這裡就是天空之柱……\c\n這是個把安馨兒以前聽的故事書\n裡頭的形象具體化之後形成的空間啊。[VAR 0114(0005)]
msg_Ev_d07_5210_talk_02	我們能見到全世界首次超級進化的寶可夢\n超級烈空坐！還能與牠戰鬥！[VAR 0114(0192)]
msg_Ev_d07_5210_talk_03	這對我來說也是一個夢想！！[VAR 0114(0192)]
msg_Ev_d07_5210_talk_04	我要拿出我的一切\n來面對超級烈空坐！[VAR 0114(0192)]
msg_Ev_d07_5210_talk_05_f	這個地方好神聖……\n應該說好莊嚴啊……！[VAR 0114(0006)]
msg_Ev_d07_5210_talk_05_m	這個地方好神聖……\n應該說好莊嚴呢……！[VAR 0114(0005)]
msg_ce6f269b42948c989d0dba9dea5caec6	[~ 458]
msg_Ev_d07_5300_talk_02	天空的另一邊……[VAR 0114(0192)]
msg_Ev_d07_5300_talk_03	有什麼東西在發光！！[VAR 0114(0192)]
msg_2b7ce32de4974a2b307a82ccfb4ae811	[~ 461]
msg_Ev_d07_5310_talk_06	請捉住烈空坐！
msg_Ev_d07_5310_talk_01	[VAR 0100(0000)]！\n[VAR 1100(00FF,0101)]你妳捉到烈空坐了！[VAR 0114(0192)]
msg_Ev_d07_5310_talk_02	我已經能想像到\n安馨兒會笑得多開心了～！[VAR 0114(0192)]
msg_Ev_d07_5310_talk_03_f	要把烈空坐給安馨兒喔。[VAR 0114(0006)]
msg_Ev_d07_5310_talk_03_m	要把烈空坐給安馨兒喔。[VAR 0114(0005)]
msg_Ev_d07_5310_select_01	我知道
msg_Ev_d07_5310_select_02	我不是[VAR 018B(0001)]喔
msg_Ev_d07_5310_talk_04_f	什麼意思啦！[VAR 0114(0006)]
msg_Ev_d07_5310_talk_04_m	[VAR 1100(00FF,0101)]你妳這什麼意思！[VAR 0114(0005)]
msg_Ev_d07_5310_talk_05_f	好了，該回旅館Z了！\n安馨兒在等我們！[VAR 0114(0006)]
msg_Ev_d07_5310_talk_05_m	好了，該回旅館Z了！\n安馨兒在等我們！[VAR 0114(0005)]
msg_f6cc339373477608e4f7d8778ec65ec9	[~ 473]
msg_Ev_d07_5320_talk_01	[VAR 0100(0000)]，\n烈空坐……怎麼樣了？[VAR 0114(01A5)]
msg_Ev_d07_5320_talk_02	讓她看看吧，[VAR 0100(0000)]。[VAR 0114(0192)]
msg_Ev_d07_5320_talk_03	嘰路嘰～！
msg_Ev_d07_5320_talk_04	烈空坐牠……[VAR 0114(01A5)]
msg_Ev_d07_5320_talk_05	就在我的眼前！[VAR 0114(01A5)]
msg_Ev_d07_5320_talk_06	能和超Z隊的大家相遇\n真是太好了……[VAR 0114(01A5)]
msg_Ev_d07_5320_talk_07	不不不，\n安馨兒妳也很厲害呀！[VAR 0114(000C)]
msg_Ev_d07_5320_talk_08	沒錯。\c\n也就只有妳才能\n做出那麼厲害的甜甜圈。[VAR 0114(000B)]
msg_Ev_d07_5320_talk_09	話是這麼說……[VAR 0114(01A5)]
msg_Ev_d07_5320_talk_10	咿啪？
msg_Ev_d07_5320_talk_11	怎麼了？[VAR 0114(0192)]
msg_Ev_d07_5320_talk_12	沒什麼……\c\n只是，把烈空坐送給我母親的話，\n我就沒有理由再做甜甜圈了呢。[VAR 0114(01A5)]
msg_Ev_d07_5320_select_01	繼續做吧
msg_Ev_d07_5320_select_02	為什麼？
msg_Ev_d07_5320_talk_13	咦？[VAR 0114(01A5)]
msg_Ev_d07_5320_talk_14_f	畢竟異次元密阿雷還會繼續存在，\n我們也還想繼續探索啊。[VAR 0114(0006)]
msg_Ev_d07_5320_talk_14_m	異次元密阿雷還會繼續存在的話，\n我們也還想繼續探索呢。[VAR 0114(0005)]
msg_Ev_d07_5320_talk_15	當然我們完全沒有要打擾妳們母女的意思，\n但卡露妮她不是還會忙著攝影一段時間嗎？[VAR 0114(000C)]
msg_Ev_d07_5320_talk_16	也就是說，請繼續開甜甜圈店吧。[VAR 0114(000B)]
msg_Ev_d07_5320_talk_17	咦～？[VAR 0114(01A5)]
msg_Ev_d07_5320_talk_18	欸，安馨兒。[VAR 0114(0192)]
msg_Ev_d07_5320_talk_19	妳為什麼想把烈空坐\n送給卡露妮呢？[VAR 0114(0192)]
