common_AvatarCustomize.msbt
AVATARCLOTHES0000000	White T-shirt
Battle_Announce	{color[ff1010ff]}{[0100]}{color[000000ff]} has battled your Ghost!
Battle_Announce_V	Your Ghost was victorious against\n{color[ff1010ff]}{[0100]}{color[000000ff]}!
Battle_SeasonReset_01	A new month has begun!
Battle_SeasonReset_02	Here is your rank from the last time\nyou battled!
Battle_SeasonReset_03	The rankings have been reset!\nGo forth, and see how your Big Brain\nBrawn stacks up out there!
Party_Result_01	And now for the results...
Battle_CatchUpChance_01	Now's your chance\nto get a bonus,\n{color[ff1010ff]}{[0100]}{color[000000ff]}!
Battle_CatchUpChance_02	Get the next one right\nfirst, and it's {color[ff1010ff]}+40 points{color[000000ff]}!
Battle_CatchUpChance_03	Is your brain ready?
Party_CatchUpChance_C01	{color[ff1010ff]}If you have fewer than\n50 points{color[000000ff]}, you could\nget a bonus!
Party_CatchUpChance_D02	Simply get the next\nanswer correct, and\nyou'll earn {color[ff1010ff]}50 points{color[000000ff]}!
BattleMenu_Continue3_01	Ready to go again? This will be your\n{color[ff1010ff]}3rd round {color[000000ff]}today.
BattleMenu_Continue3_02	Let's see what you've got! I'll find some\nespecially {color[ff1010ff]}brawny Ghosts{color[000000ff]} to take you on.
common_MenuTerm.msbt
Back	 Back
Back_T	Back
Stop	 Quit
Support	Sprout Support
Stretch	Practice
SpStretch	Super Practice
Test	Test
Battle	Ghost Clash
Party	Party
Costume	Appearance
Ranking	Rankings
Config	Options
Single	Solo
StaffCredit	Credits
Yawarakado	Big Brain Brawn
Yawarakado2	Big Brain\nBrawn
Yawarakado_Value	{size[3200]}Big Brain Brawn Score: {size[6400]}{[0101]}
AtamaClass	Brain Grade
Best	High Score
Recommend	Recommended!
Point	pts.
Win_00	wins
Win_sg	win
Win_pl	wins
Party_Touch_Control	Touch the Screen
Date	{[010d]}/{[010e]}/{[010c]}
ATAMACLASS0000000	C-
ATAMACLASS0000001	C
ATAMACLASS0000002	C+
ATAMACLASS0000003	C++
ATAMACLASS0000004	B-
ATAMACLASS0000005	B
ATAMACLASS0000006	B+
ATAMACLASS0000007	B++
ATAMACLASS0000008	A-
ATAMACLASS0000009	A
ATAMACLASS0000010	A+
ATAMACLASS0000011	A++
ATAMACLASS0000012	S-
ATAMACLASS0000013	S
ATAMACLASS0000014	S+
ATAMACLASS0000015	S++
ATAMACLASS0000016	Mastermind
CHARTTYPE0000000	Identify
CHARTTYPE0000001	Memorize
CHARTTYPE0000002	Analyze
CHARTTYPE0000003	Compute
CHARTTYPE0000004	Visualize
CHARTTYPE0000010	Identify/Memorize
CHARTTYPE0000011	Identify/Analyze
CHARTTYPE0000012	Identify/Compute
CHARTTYPE0000013	Identify/Visualize
CHARTTYPE0000014	Memorize/Identify
CHARTTYPE0000015	Memorize/Analyze
CHARTTYPE0000016	Memorize/Compute
CHARTTYPE0000017	Memorize/Visualize
CHARTTYPE0000018	Analyze/Identify
CHARTTYPE0000019	Analyze/Memorize
CHARTTYPE0000020	Analyze/Compute
CHARTTYPE0000021	Analyze/Visualize
CHARTTYPE0000022	Compute/Identify
CHARTTYPE0000023	Compute/Memorize
CHARTTYPE0000024	Compute/Analyze
CHARTTYPE0000025	Compute/Visualize
CHARTTYPE0000026	Visualize/Identify
CHARTTYPE0000027	Visualize/Memorize
CHARTTYPE0000028	Visualize/Analyze
CHARTTYPE0000029	Visualize/Compute
CHARTTYPE0000030	Inconclusive
CHARTTYPE0000031	Identify deficient
CHARTTYPE0000032	Memorize deficient
CHARTTYPE0000033	Analyze deficient
CHARTTYPE0000034	Compute deficient
CHARTTYPE0000035	Visualize deficient
CHARTTYPE0000036	Balanced
CHARTTYPE0000054	Multitalented
CHARTTYPE0000056	Full of Potential
WaitConnecting	Communicating...
Month_01	January
Month_02	February
Month_03	March
Month_04	April
Month_05	May
Month_06	June
Month_07	July
Month_08	August
Month_09	September
Month_10	October
Month_11	November
Month_12	December
Percent	{[010f]}%
Decimal	.
YawarakaRanking	Big Brain World Ranking
Rank	{[0101]}
Rank_NA	?
Rank_Num_NA	?
common_MiniGame.msbt
MiniGameName_00	Whack Match
MiniGameName_01	Species Spotlight
MiniGameName_02	Frame Filler
MiniGameName_03	Fast Focus
MiniGameName_04	Flash Memory
MiniGameName_05	Memo-Random
MiniGameName_06	Reverse Retention
MiniGameName_07	Covered Cages
MiniGameName_08	Cubegame
MiniGameName_09	Heavyweight
MiniGameName_10	Match Blast
MiniGameName_11	Speed Sorting
MiniGameName_12	Add Agency
MiniGameName_13	Mallet Math
MiniGameName_14	Tick-Tock Turn
MiniGameName_15	Balloon Burst
MiniGameName_16	Get In Shape
MiniGameName_17	Shadow Shift
MiniGameName_18	Train Turn
MiniGameName_19	True View
MiniGameNameB_00	Whack Match
MiniGameNameB_01	Species Spotlight
MiniGameNameB_02	Frame Filler
MiniGameNameB_03	Fast Focus
MiniGameNameB_04	Flash Memory (Button)
MiniGameNameB_05	Memo-Random
MiniGameNameB_06	Reverse Retention
MiniGameNameB_07	Covered Cages
MiniGameNameB_08	Cubegame
MiniGameNameB_09	Heavyweight
MiniGameNameB_10	Match Blast
MiniGameNameB_11	Speed Sorting
MiniGameNameB_12	Add Agency
MiniGameNameB_13	Mallet Math
MiniGameNameB_14	Tick-Tock Turn
MiniGameNameB_15	Balloon Burst
MiniGameNameB_16	Get In Shape (Button)
MiniGameNameB_17	Shadow Shift
MiniGameNameB_18	Train Turn
MiniGameNameB_19	True View
MiniGameNameB_20	Flash Memory (Touch)
MiniGameNameB_21	Get In Shape (Touch)
SpMiniGameName_00	Super Whack Match
SpMiniGameName_01	Super Species Spotlight
SpMiniGameName_02	Super Frame Filler
SpMiniGameName_03	Super Fast Focus
SpMiniGameName_04	Super Flash Memory
SpMiniGameName_05	Super Memo-Random
SpMiniGameName_06	Super Reverse Retention
SpMiniGameName_07	Super Covered Cages
SpMiniGameName_08	Super Cubegame
SpMiniGameName_09	Super Heavyweight
SpMiniGameName_10	Super Match Blast
SpMiniGameName_11	Super Speed Sorting
SpMiniGameName_12	Super Add Agency
SpMiniGameName_13	Super Mallet Math
SpMiniGameName_14	Super Tick-Tock Turn
SpMiniGameName_15	Super Balloon Burst
SpMiniGameName_16	Super Get In Shape
SpMiniGameName_17	Super Shadow Shift
SpMiniGameName_18	Super Train Turn
SpMiniGameName_19	Super True View
SpMiniGameNameB_00	Super Whack Match
SpMiniGameNameB_01	Super Species Spotlight
SpMiniGameNameB_02	Super Frame Filler
SpMiniGameNameB_03	Super Fast Focus
SpMiniGameNameB_04	Super Flash Memory (Button)
SpMiniGameNameB_05	Super Memo-Random
SpMiniGameNameB_06	Super Reverse Retention
SpMiniGameNameB_07	Super Covered Cages
SpMiniGameNameB_08	Super Cubegame
SpMiniGameNameB_09	Super Heavyweight
SpMiniGameNameB_10	Super Match Blast
SpMiniGameNameB_11	Super Speed Sorting
SpMiniGameNameB_12	Super Add Agency
SpMiniGameNameB_13	Super Mallet Math
SpMiniGameNameB_14	Super Tick-Tock Turn
SpMiniGameNameB_15	Super Balloon Burst
SpMiniGameNameB_16	Super Get In Shape (Button)
SpMiniGameNameB_17	Super Shadow Shift
SpMiniGameNameB_18	Super Train Turn
SpMiniGameNameB_19	Super True View
SpMiniGameNameB_20	Super Flash Memory (Touch)
SpMiniGameNameB_21	Super Get In Shape (Touch)
Instruction_CompareMole	Whack the moles with these!
Instruction_AnimalInDark	What are there more of?
Instruction_CuttingAnimation	Fill in the missing piece!
Instruction_FilterZoom	What is this?
Instruction_InstantMemory	What were the numbers and symbols?
Instruction_OrderMemory	Memorize the cards and answer!
Instruction_Reverse	Repeat in reverse!
Instruction_Cage	Where are the birds?
Instruction_PlayCube	How many cubes are there?
Instruction_PlaySeesaw	Which is heaviest?
Instruction_EraseBlock	Break blocks to copy the top shape!
Instruction_Shooting	Which picture fits the description?
Instruction_PlayPlus	Which 2 add up to the number above?
Instruction_FallNumber	Whack the blocks you don't need!
Instruction_SetClock	Match the time!
Instruction_CountNumber	Pop from lowest to highest!
Instruction_Bunkai	Which pieces complete the puzzle?
Instruction_PlayShadow	Match the picture to the shadow!
Instruction_TrainRoad	Get the train to the exit!
Instruction_RotateViewPoint	How does it look from the arrow?
Tutorial_00	Whack the mole with the\nmatching picture!
Tutorial_01	Which animal is there more of?\nLook around with the spotlight!
Tutorial_02	Which piece belongs in the ? box?\nPay attention to movement.
Tutorial_03	What is this a picture of?\nHow fast can you figure it out?
Tutorial_04	Memorize the numbers and symbols.\nRepeat them before you forget!
Tutorial_05	Memorize the picture on the card\nbefore it flips! Which one was it?
Tutorial_06	Remember the order and\nanswer in reverse!
Tutorial_07	Where are the birds? Make the\ncages go faster if you're up for it!
Tutorial_08	Count the number of cubes! Try to\nfind the best counting method.
Tutorial_09	Which one is heaviest?\nDon't let looks trick you!
Tutorial_10	Break blocks to create the same\nshape as the example on top!
Tutorial_11	Which picture fits the description?\nThere could be more than one answer!
Tutorial_12	Choose 2 cards that add up\nto the number shown at the top!
Tutorial_13	Whack the blocks you don't need\nto leave behind the correct total.
Tutorial_14	Rotate the clock hands to\nmatch the time!
Tutorial_15	Pop the balloons in order from\nlowest to highest!
Tutorial_16	Pick the pieces that complete\nthe puzzle!
Tutorial_17	Find the pictures that match\nthe shadows!
Tutorial_18	Add the missing tracks to get\nthe train to the exit!
Tutorial_19	How would it look if you looked at\nit from the direction of the arrow?
PlayerNum_00	1
PlayerNum_01	2
PlayerNum_02	3
PlayerNum_03	4
Handicap_00	Sprout Class
Handicap_01	Beginner Class
Handicap_02	Intermediate Class
Handicap_03	Advanced Class
Handicap_04	Elite Class
Handicap_05	Super Elite Class
DspLevel_00	Sprout Class
DspLevel_01	Beginner Class
DspLevel_02	Intermediate Class
DspLevel_03	Advanced Class
DspLevel_04	Elite Class
DspLevel_05	Super Elite Class
Question_Num	{size[4200]}Round {size[6400]}{[0101]}
Correct_00	{color[ffd103ff]}{size[4200]}#{size[6400]}1{color[000000ff]}
Correct_01	{color[bfc9c9ff]}{size[4200]}#{size[6400]}2{color[000000ff]}
Correct_02	{color[ff6128ff]}{size[4200]}#{size[6400]}3{color[000000ff]}
Correct_03	{color[ffd19cff]}{size[4200]}#{size[6400]}4{color[000000ff]}
ScorePlus	{size[4b00]}+{size[6400]}{[0101]}
Info_Stop	Stop!
Info_Reach	Almost there!
Info_Giveup	That's it!
Info_Giveup_Result	Did Not Finish
MaxGameNum_01	{color[d85060ff]}1{size[4200]} Match Total{size[6400]}{color[000000ff]}
MaxGameNum_02	{color[d85060ff]}2{size[4200]} Matches Total{size[6400]}{color[000000ff]}
MaxGameNum_03	{color[d85060ff]}3{size[4200]} Matches Total{size[6400]}{color[000000ff]}
MaxGameNum_04	{color[d85060ff]}4{size[4200]} Matches Total{size[6400]}{color[000000ff]}
MaxGameNum_05	{color[d85060ff]}5{size[4200]} Matches Total{size[6400]}{color[000000ff]}
MaxGameNumB_01	{color[ad131dff]}1{size[4200]} Match Total{size[6400]}{color[000000ff]}
MaxGameNumB_02	{color[ad131dff]}2{size[4200]} Matches Total{size[6400]}{color[000000ff]}
MaxGameNumB_03	{color[ad131dff]}3{size[4200]} Matches Total{size[6400]}{color[000000ff]}
MaxGameNumB_04	{color[ad131dff]}4{size[4200]} Matches Total{size[6400]}{color[000000ff]}
MaxGameNumB_05	{color[ad131dff]}5{size[4200]} Matches Total{size[6400]}{color[000000ff]}
CurrentGameNum_01	1{size[4200]}st Match{size[6400]}
CurrentGameNum_02	2{size[4200]}nd Match{size[6400]}
CurrentGameNum_03	3{size[4200]}rd Match{size[6400]}
CurrentGameNum_04	4{size[4200]}th Match{size[6400]}
CurrentGameNum_05	5{size[4200]}th Match{size[6400]}
GuestName_01	Guest 1
GuestName_02	Guest 2
GuestName_03	Guest 3
GuestName_04	Guest 4
YourName	You
RealPersonName	A real player.
MiniGameCategoryIdentify	Identify
MiniGameCategoryMemorize	Memorize
MiniGameCategoryAnalyze	Analyze
MiniGameCategoryCompute	Compute
MiniGameCategoryVisualize	Visualize
MiniGameCategoryIdentify_S	Identify
MiniGameCategoryMemorize_S	Memorize
MiniGameCategoryAnalyze_S	Analyze
MiniGameCategoryCompute_S	Compute
MiniGameCategoryVisualize_S	Visualize
MiniGameCategoryC_Identify	{color[92d180ff]}Identify{color[000000ff]}
MiniGameCategoryC_Memorize	{color[baa5f3ff]}Memorize{color[000000ff]}
MiniGameCategoryC_Analyze	{color[ff9985ff]}Analyze{color[000000ff]}
MiniGameCategoryC_Compute	{color[8ebfe8ff]}Compute{color[000000ff]}
MiniGameCategoryC_Visualize	{color[f5aa45ff]}Visualize{color[000000ff]}
MiniGameCategoryCS_Identify	{color[92d180ff]}Identify{color[000000ff]}
MiniGameCategoryCS_Memorize	{color[baa5f3ff]}Memorize{color[000000ff]}
MiniGameCategoryCS_Analyze	{color[ff9985ff]}Analyze{color[000000ff]}
MiniGameCategoryCS_Compute	{color[8ebfe8ff]}Compute{color[000000ff]}
MiniGameCategoryCS_Visualize	{color[f5aa45ff]}Visualize{color[000000ff]}
Instruction_Touch	Use the touch\nscreen.
Instruction_Button	Use the buttons.
Instruction_Touch_Btn	Touch!
Instruction_Position	Activity will\nappear here.
Instruction_Position_Btn	 OK
Levelup	Level up!
Rate_00	Great!
Rate_01	Nice!
Rate_02	OK!
NotSaveGhost	Your Ghost won't be saved this time.
ButtonGuide_Battle	/ Give Up
common_Profile.msbt
Age	{size[4200]}Age:{size[6400]} {[0101]}
Secret	{size[4200]}Age:{size[6400]} ?
Config_Age	Age: {[0101]}
Config_Secret	Age: ?
ATTRIBUTE0000000	Praise is precious.
ATTRIBUTE0000001	Tired...so...very...tired.
ATTRIBUTE0000002	Buried in homework!\nSend help!
ATTRIBUTE0000003	Compliments are always\nencouraged!
ATTRIBUTE0000004	Can't say no to candy!
ATTRIBUTE0000005	I'm fickle. Or maybe\nI'm not.
ATTRIBUTE0000006	Sheer will makes a winner.
ATTRIBUTE0000007	I have only one speed, and\nit's "easy does it."
ATTRIBUTE0000008	Unpolished but full of\npotential!
ATTRIBUTE0000009	I'll do it...tomorrow.
ATTRIBUTE0000010	Gotta finish strong!
ATTRIBUTE0000011	Gently beats my heart.
ATTRIBUTE0000012	Isn't food the BEST?!
ATTRIBUTE0000013	I'm good at being a bad\ninfluence.
ATTRIBUTE0000014	Old-school mischief maker.
ATTRIBUTE0000015	Not winning is not my thing.
ATTRIBUTE0000016	Why do grown-ups get to\nhave all the fun?
ATTRIBUTE0000017	Is it allowance day yet?
ATTRIBUTE0000018	Never stop asking\nquestions.
ATTRIBUTE0000019	Tall is just a state of mind.
ATTRIBUTE0000020	Life is great!
ATTRIBUTE0000021	My gut gets it right every\ntime.
ATTRIBUTE0000022	Why make only ONE\nmistake?
ATTRIBUTE0000023	I like to be liked, OK?
ATTRIBUTE0000024	I'm peak me and proud\nof it!
ATTRIBUTE0000025	Busy, busy, busy. So busy!
ATTRIBUTE0000026	You can read me like an\nopen novel.
ATTRIBUTE0000027	You could say I'm a genius.
ATTRIBUTE0000028	Comfort is key!
ATTRIBUTE0000029	Can't be too careful!
ATTRIBUTE0000030	It's all about the chase!
ATTRIBUTE0000031	It's simple—be sincere!
ATTRIBUTE0000032	Nail the look. Nail the life.
ATTRIBUTE0000033	Good luck is all I've got.
ATTRIBUTE0000034	Overtime is overrated.
ATTRIBUTE0000035	I'm a fan of being a fan.
ATTRIBUTE0000036	I am merely my cat's servant.
ATTRIBUTE0000037	On a mission for muscles!
ATTRIBUTE0000038	Charming is my middle\nname.
ATTRIBUTE0000039	My instincts are (almost)\nnever wrong.
ATTRIBUTE0000040	Boring is the new cool.
ATTRIBUTE0000041	It's all gotta add up.
ATTRIBUTE0000042	The world will be mine!
ATTRIBUTE0000043	My grandkids are the cutest!
ATTRIBUTE0000044	Horses are better than people.
ATTRIBUTE0000045	Talking is my superpower.
ATTRIBUTE0000046	Can't beat a good beat!
ATTRIBUTE0000047	They haven't made a box\nthat can hold me.
JOB0000000	Preschooler
JOB0000001	Grade-Schooler
JOB0000002	Middle Schooler
JOB0000003	High Schooler
JOB0000004	College Student
JOB0000005	Student of Life
JOB0000006	Homebody
JOB0000007	Business Owner
JOB0000008	Office Worker
JOB0000009	Self-Employed
JOB0000010	House Manager
JOB0000011	Part-Time Worker
JOB0000012	Civil Servant
JOB0000013	Social Worker
JOB0000014	Free Agent
JOB0000015	Manager
GREETING0000000	Nice to meet you!
GREETING0000001	Don't go too hard on me.
GREETING0000002	Good luck!
GREETING0000003	Let's have some fun!
GREETING0000004	♪Have a fabulous day!♪
GREETING0000005	Yahoo!
GREETING0000006	I have sooo much homework.
GREETING0000007	Let's see what you've got!
GREETING0000008	Checkmate!
GREETING0000009	♪Hey now, go easy on me!♪
GREETING0000010	Always a pleasure!
GREETING0000011	Hehehehe!
GREETING0000012	Bwahahaha!
GREETING0000013	Woo-hoooo!
GREETING0000014	Thanks for playing with me.
GREETING0000015	Let's call this a win-win, shall we?
GREETING0000016	I like our dynamic already!
GREETING0000017	I just want to learn a thing or two.
GREETING0000018	I don't do guesswork.
GREETING0000019	Never count me out!
GREETING0000020	Sorry if I kept you waiting.
GREETING0000021	How do you do?
GREETING0000022	Sorry my brain is so brawny.
GREETING0000023	Not lookin' for a battle I can't win.
GREETING0000024	Let's do this!
GREETING0000025	I'm ready for anything!
GREETING0000026	So, you think you can beat me?
GREETING0000027	I'm the top of my class!
GREETING0000028	Show me what you've got!
GREETING0000029	I don't give up!
GREETING0000030	This won't take long.
GREETING0000031	Losing isn't my thing.
GREETING0000032	You've got this!
GREETING0000033	Business is booming!
GREETING0000034	Lookin' good!
GREETING0000035	Yo!
GREETING0000036	Thanks!
GREETING0000037	Hey, hey, hey!
GREETING0000038	Congrats!
GREETING0000039	G'night!
GREETING0000040	I'm starving!
GREETING0000041	Time to dig in!
common_SoftwareKeyboard.msbt
InputGhostIDHeader	Enter your opponent's Ghost ID.
InputGhostIDGuide	Enter ID here.
common_Window.msbt
NumberOfPlayersSelectHowMeny	How many people are playing?
NumberOfPlayersSelectBtn2	2
NumberOfPlayersSelectBtn3	3
NumberOfPlayersSelectBtn4	4
MiniGameLayoutSelectOperationSelect	Choose a play style.
MiniGamePlayStyleSelect_Btn	Buttons Only
MiniGamePlayStyleSelect_Touch	Touch Only
MiniGameLayoutSelectBtnParallel	With Buttons
MiniGameLayoutSelectBtnFaceToFace	With Touch
CoinGet_Title	Take Your Coins!
CoinGet_Value	{[0101]}
CoinGet_GetCount	{[0101]} / {[0102]}
CoinGet_Stretch_Basic	You practiced!
CoinGet_Stretch_Ext_00	Your Brain Brawn topped 400!
CoinGet_Stretch_Ext_01	Your Brain Brawn topped 600!
CoinGet_Stretch_Ext_02	Your Brain Brawn topped 800!
CoinGet_Stretch_Ext_03	Your Brain Brawn topped 1000!
CoinGet_FirstLesson	You flexed your brain!
CoinGet_Test_Basic	You took a Test!
CoinGet_Test_Ext_00	You beat an A-!
CoinGet_Test_Ext_01	You beat an A+!
CoinGet_Test_Ext_02	You beat an S-!
CoinGet_Test_Ext_03	You beat an S+!
CoinGet_Test_Ext_04	You achieved Mastermind!
CoinGet_Battle_Basic	You took part in a battle!
CoinGet_Battle_Win	You won a battle!
CoinGet_Battle_Draw	You got a tie in a battle!
CoinGet_Battle_Ext_Win	You beat a brawny Ghost!
CoinGet_Battle_Ext_Draw	You tied with a brawny Ghost!
CoinGet_Battle_5Genres	You battled 5 categories in 1 day!
CoinGet_Battle_5Genres_5wins	You beat everyone!
RewardBoxOpenGet	 Take!
RewardBoxOpenBtnOK	 OK
HardwarePlacementBody	Place your Nintendo Switch console on a flat\nsurface. From now on, touch the screen!
HardwarePlacementBtnOK	Touch!
AgeSetting_Title	Enter your birthday.
AgeSetting_Year	Year
AgeSetting_Month	Month
AgeSetting_Day	Day
AgeSetting_BtnOK	OK
AgeSetting_Btn_Secret	 Secret
AgeSetting_SplitDMY	/
AgeSetting_Attention	Note: You can change this at any time in Options.
StyleSetting_Instruction	Select a style!
StyleSetting_Notes	Note: You can change this at any time in Options.
AttributeSetting_Instruction	Select a catchphrase.
JobSetting_Instruction	Select a profession.
GreetingSetting_Instruction	Select a greeting.
GreetingGet_WinCount	You won a battle!
GreetingGet_Inspire	I sense you're about to get\na new greeting...
GreetingGet_ThisIsIt	 This one!
GreetingGet_GetNewGreeting	You have a new greeting!
GreetingGet_OK	 OK
GreetingGet_RecommendSet	Do you want to use this greeting?
GreetingGet_TryUsing	Try it.
GreetingGet_Later	Maybe later.
InputDeviceSelectTitle	Select how you'd like to play.
InputDeviceSelectCaution	You will not be able to change this after you begin.
CancelAttention_Guide	Do you want to quit?
CancelAttention_Continue	No
CancelAttention_Quit	Yes
EasySupportSetting_Header	Do you want to use Sprout Support?
EasySupportSetting_Text	This prevents questions from getting too hard and is\nrecommended for {color[ff1010ff]}young children{color[000000ff]}.
EasySupportSetting_Notes	Note: You can change this at any time in Options.
EasySupportSetting_Use	Use
EasySupportSetting_NotUse	Don't Use
NetworkSetting_Header	Use online features?
NetworkSetting_Text	Battle other players in Ghost Clash and Rankings!\nIf you participate in the online mode, information such as\nyour avatar, your occupation, your age (unless hidden in settings),\nthe country associated with your Nintendo Account, and\nother information you provided will be visible to others.
NetworkSetting_Notes	Note: You can change online features at any time in Options.\nNote: You can set your age to Secret, and it won't be visible to others.
NetworkSetting_Use	Use
NetworkSetting_NotUse	Don't Use
ChangeClothes_WantToChange	Do you want to change right now?
ChangeClothes_Change	Change
ChangeClothes_Changed	Looking smart!
ChangeClothes_Later	Later
IDSearch_Title	Enter the Ghost ID.
IDSearch_Instruction	Search for players who've shared a {color[ff1010ff]}Ghost ID{color[000000ff]}!\nAfter entering their Ghost ID, you'll compete\nagainst their {color[ff1010ff]}Ghost's High Score{color[000000ff]}!\n\nEnter {color[ff1010ff]}your Ghost ID{color[000000ff]} and see what happens!
IDSearch_Button	 Enter ID
DockInStateAttention_Heading	You can't use touch controls in\nTV mode.
DockInStateAttention_Text	Switch to Handheld mode or Tabletop\nmode.
DockInStateAttention_Button	 OK
BattleCategoryComplate_Heading	You completed battles in all five categories\nin one day.
BattleCategoryComplate_Text	Well done!
BattleCategoryComplate_End	Done
BattleCategoryComplate_Continue	Continue
PartySupportSetting_Header	Do you want to use Sprout Support?
PartySupportSetting_Text	It disables more difficult Practice questions\nand is recommended for {color[ff1010ff]}young children{color[000000ff]}.
PartySupportSetting_Use	Use
PartySupportSetting_NotUse	Don't Use
SeasonReset_OK	 OK
minigame_AnimalInDark.msbt
Around	 Look around
Around_T	 Look around
Remember	 Got it
Remember_T	Got it
minigame_Cage.msbt
SpeedUpButton	 Faster
SpeedUpButton_T	Faster
minigame_FallNumber.msbt
Leave	Sum up!
minigame_FilterZoom.msbt
FilterZoomKindName_00	Dog
FilterZoomKindName_01	Rabbit
FilterZoomKindName_02	Cow
FilterZoomKindName_03	Frog
FilterZoomKindName_04	Giraffe
FilterZoomKindName_05	Fish
FilterZoomKindName_06	Elephant
FilterZoomKindName_07	Butterfly
FilterZoomKindName_08	Penguin
FilterZoomKindName_09	Lion
FilterZoomKindName_10	Crocodile
FilterZoomKindName_11	Tiger
FilterZoomKindName_12	Ostrich
FilterZoomKindName_13	Panda
FilterZoomKindName_14	Deer
FilterZoomKindName_15	Eagle
FilterZoomKindName_16	Seal
FilterZoomKindName_17	Dolphin
FilterZoomKindName_18	Hippo
FilterZoomKindName_19	Zebra
FilterZoomKindName_20	Dragonfly
FilterZoomKindName_21	Chicken
FilterZoomKindName_22	Cat
FilterZoomKindName_23	Mouse
FilterZoomKindName_24	Snake
FilterZoomKindName_25	Camel
FilterZoomKindName_26	Goat
FilterZoomKindName_27	Pigeon
FilterZoomKindName_28	Flamingo
FilterZoomKindName_29	Snail
FilterZoomKindName_30	Pony
FilterZoomKindName_31	Crab
FilterZoomKindName_32	Turtle
FilterZoomKindName_33	Rhino
FilterZoomKindName_34	Monkey
FilterZoomKindName_35	Grasshopper
FilterZoomKindName_36	Sheep
FilterZoomKindName_37	Leopard
FilterZoomKindName_38	Owl
FilterZoomKindName_39	Polar Bear
FilterZoomKindName_40	Squirrel
FilterZoomKindName_41	Kangaroo
minigame_InstantMemory.msbt
Digit	{[0101]} digits
minigame_OrderMemory.msbt
Remember	 Memorized
Remember_T	Memorized
minigame_SetClock.msbt
Rotate	 Rotate
Rotate_T	 Turn
OK_Plus	 OK
OK_Plus_T	OK
AdvanceHour	Spring forward!\n{color[ffe900ff]}{[0107]}{color[000000ff]} hr.
AdvanceMinute	Spring forward!\n{color[ffe900ff]}{[0108]}{color[000000ff]} min.
AdvanceMinuteAnother	Spring forward!\n{color[ffe900ff]}{[0108]}{color[000000ff]} min.
BackHour	Fall back!\n{color[ffe900ff]}{[0107]}{color[000000ff]} hr.
BackMinute	Fall back!\n{color[ffe900ff]}{[0108]}{color[000000ff]} min.
BackMinuteAnother	Fall back!\n{color[ffe900ff]}{[0108]}{color[000000ff]} min.
SetTime	Set the time to {color[ffe900ff]}{[0107]}{color[000000ff]}!
minigame_Shooting.msbt
Announce	Still more!
SHOOTINGSENTENCE0000000	Has legs!
SHOOTINGSENTENCE0000002	Swims with fins!
SHOOTINGSENTENCE0000003	Doesn't swim with fins!
SHOOTINGSENTENCE0000004	Has a tail!
SHOOTINGSENTENCE0000005	Doesn't have a tail!
SHOOTINGSENTENCE0000006	Moves with 2 legs!
SHOOTINGSENTENCE0000008	Moves with 4 legs!
SHOOTINGSENTENCE0000009	Moves with 6 legs!
SHOOTINGSENTENCE0000010	Moves with 8 legs!
SHOOTINGSENTENCE0000011	Moves with 10 limbs!
SHOOTINGSENTENCE0000012	Has a spine!
SHOOTINGSENTENCE0000013	Doesn't have a spine!
SHOOTINGSENTENCE0000014	Has wings!
SHOOTINGSENTENCE0000015	Has no wings!
SHOOTINGSENTENCE0000016	Has gills!
SHOOTINGSENTENCE0000017	Doesn't have gills!
SHOOTINGSENTENCE0000018	Lays eggs!
SHOOTINGSENTENCE0000019	Doesn't lay eggs!
SHOOTINGSENTENCE0000024	Has scales!
SHOOTINGSENTENCE0000025	Doesn't have scales!
SHOOTINGSENTENCE0000026	From largest to\nsmallest!
SHOOTINGSENTENCE0000027	From smallest\nto largest!
SHOOTINGSENTENCE0000028	From largest\nto smallest!
SHOOTINGSENTENCE0000029	From smallest\nto largest!
SHOOTINGSENTENCE0000031	Largest!
SHOOTINGSENTENCE0000032	Second largest!
SHOOTINGSENTENCE0000033	Third largest!
SHOOTINGSENTENCE0000034	Fourth largest!
SHOOTINGSENTENCE0000036	Smallest!
SHOOTINGSENTENCE0000037	Second smallest!
SHOOTINGSENTENCE0000038	Third smallest!
SHOOTINGSENTENCE0000039	Fourth smallest!
SHOOTINGSENTENCE0000041	Largest!
SHOOTINGSENTENCE0000042	Second largest!
SHOOTINGSENTENCE0000043	Third largest!
SHOOTINGSENTENCE0000044	Fourth largest!
SHOOTINGSENTENCE0000046	Smallest!
SHOOTINGSENTENCE0000047	Second smallest!
SHOOTINGSENTENCE0000048	Third smallest!
SHOOTINGSENTENCE0000049	Fourth smallest!
SHOOTINGSENTENCE0000050	Grows underground!
SHOOTINGSENTENCE0000053	Flower!
SHOOTINGSENTENCE0000058	Mammal!
SHOOTINGSENTENCE0000059	Reptile!
SHOOTINGSENTENCE0000060	Amphibian!
SHOOTINGSENTENCE0000061	Arthropod!
SHOOTINGSENTENCE0000062	Mollusk!
SHOOTINGSENTENCE0000063	Cold-blooded!
SHOOTINGSENTENCE0000064	Fish!
SHOOTINGSENTENCE0000065	Bird!
SHOOTINGSENTENCE0000066	Insect!
SHOOTINGSENTENCE0000067	Insect!
SHOOTINGSENTENCE0000068	Plant matter!
SHOOTINGSENTENCE0000069	Carnivore!
