common_AvatarCustomize.msbt
AVATARCLOTHES0000000	しろいＴシャツ
TitleTimeTalk_16_05	きょうのおやつに やわらかあたまプリン を\nたべるべきか？ たべないべきか？
TitleTimeTalk_16_06	なやみに なやみ…\nたべるケツダンを いたしました！
TitleTimeTalk_16_07	とても{r2[ゆうき]}勇気{/r2}のいる ケツダンでしたが\nこうかいは しておりませんよ！
TitleTimeTalk_16_08	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_17_01	ゆうぐれどきに かおる\nカレーのにおい…
TitleTimeTalk_17_02	ふるさとの{r2[はは]}母{/r2}を\nおもいだします
TitleTimeTalk_17_03	………\nなつかしいなぁ…
TitleTimeTalk_17_04	………\nゲンキでいるかなぁ…
TitleTimeTalk_17_05	…おっと シツレイしました！\nそれじゃ はじめましょうか
TitleTimeTalk_19_01	ゆうぐれどきは なんだか\nセンチメンタルな きぶん…
TitleTimeTalk_19_02	…と、おもいきや\nおなかがすいてきました
TitleTimeTalk_19_03	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_20_01	なんだか まえにも\nおなじコトが あったような…と
TitleTimeTalk_20_02	ふいに なにか おもいだしそうに\nなったことは ありませんか？
TitleTimeTalk_20_03	そういうのを\nデジャヴ って いうんです
TitleTimeTalk_20_04	ハッ！ ワタクシ、まえにも\nおなじコト いったような…
TitleTimeTalk_20_05	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_21_01	きょうも{r2[いちにち]}一日{/r2}がおわりますね
TitleTimeTalk_21_02	アナタにとって\nどんな{r2[ひ]}日{/r2}でしたか？
TitleTimeTalk_21_03	やわらかあたま、\nやくにたってますか？
TitleTimeTalk_21_04	…………
TitleTimeTalk_21_04_02	た、たってますよね？
TitleTimeTalk_21_05	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_22_01	よるごはんは たべましたか？\nワタクシは これからです
TitleTimeTalk_22_02	ウフフフ、こんやの こんだては…\nふわふわオムレツ です！
TitleTimeTalk_22_03	やわらかあたま{r2[じゅく]}塾{/r2}の{r2[じゅくちょう]}塾長{/r2}たるもの\nやわらかさにはコダワリますよ！
TitleTimeTalk_22_04	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_23_01	よるごはんは\nもう たべましたか？
TitleTimeTalk_23_02	ワタクシは\nたべすぎました…
TitleTimeTalk_23_03	なんだか からだが\nおもくなったような…
TitleTimeTalk_23_04	チョット！ ワタクシがのってる\nはかりを みないでください！
TitleTimeTalk_23_05	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_24_01	……………………
TitleTimeTalk_24_02	…どうでしょう\nなにか きがつきませんか？
TitleTimeTalk_24_03	……………………
TitleTimeTalk_24_04	メガネをかえたんですが\nシッパイだったかな…
TitleTimeTalk_24_05	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_26_01	…しずかな よるって なぜか\nオバケのはなしを したくなりませんか？
TitleTimeTalk_26_02	……………………\n……………………
TitleTimeTalk_26_03	ヒエー！やめておきます！\nワタクシ そのテのはなし、{r2[ちょう]}超{/r2}ニガテなんです！
TitleTimeTalk_26_04	ハイ！\nはじめましょ はじめましょ
TitleTimeTalk_27_01	{r2[いちにち]}一日{/r2}のつかれを おとすのは\nシャワーがイチバンですよね
TitleTimeTalk_27_02	ワタクシも シャワータイムは\nこのスーツを ぬいで…
TitleTimeTalk_27_03	おっと…\nこのことはナイショでした
TitleTimeTalk_27_04	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_28_01	なにごとも\nバランスは だいじですが
TitleTimeTalk_28_02	{r2[とうじゅく]}当塾{/r2}において\nあたまの「やわらかさ」だけは…
TitleTimeTalk_28_03	やわらかければ\nやわらかいほど スゴイ！！
TitleTimeTalk_28_04	…ということに\nなっているのです
TitleTimeTalk_28_04_02	ゼンリョクで\nもみほぐしに きてください！
TitleTimeTalk_28_05	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_29_01	スイミンぶそくになると\nあたまが ボーッとしがちです…
TitleTimeTalk_29_02	よふかしは ほどほどに…
TitleTimeTalk_29_03	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_30_01	ちきゅうが まるいのは ごぞんじですよね？\nしかし…
TitleTimeTalk_30_02	もし ちきゅうが べつのカタチだったら\nどんなセカイなんでしょう？
TitleTimeTalk_30_03	ワタクシ そんなこと かんがえだしたら\nもう ねむれなくなっちゃいます！
TitleTimeTalk_30_04	…おっと\nそれじゃ はじめましょうか
TitleTimeTalk_31_01	セカイには うまくセツメイできないことって\nいっぱいありますよね？
TitleTimeTalk_31_02	むかしのひとは それを\n 「まほう」や「キセキ」とよんだりしました
TitleTimeTalk_31_03	こうして うごいている\nワタクシなども…
TitleTimeTalk_31_04	むかしのひとがみたら\nまほう や キセキ と おもうのでしょうかね？
TitleTimeTalk_31_05	ハイ！\nそれじゃ はじめましょうか
TitleTimeTalk_32_01	「やわらかい」とは\nなんぞや…
TitleTimeTalk_32_02	これは ワタクシの\nエイエンのテーマであります
TitleTimeTalk_32_03	この「ちきゅう」も じつは\nすこしだけ やわらかいのです
TitleTimeTalk_32_04	ちきゅうのやわらか{r2[ど]}度{/r2}…\nいったい いくつなんでしょう
TitleTimeTalk_32_07	「やわらかい」というテーマは\nはかりしれません！
TitleTimeTalk_32_08	ハイ！\nそれじゃ はじめましょうか
TitleTalk_01	100{r2[ねんご]}年後{/r2}のミライは\nどうなっているんでしょうか
TitleTalk_02	う～む…\nヒトはどこからきて どこにいくのか
TitleTalk_03	うちゅうのはて は\nどうなっているのでしょうか
TitleTalk_04	…さいきん このスーツ\nキツくなったナァ
TitleTalk_05	…あした はれるかナァ
TitleTalk_06	…おなかすいたナァ
TitleTalk_07	…むじんとうのうみで\nプカプカしたいナァ
TitleTalk_08	…やわらかあたまでからだムキムキ\nあこがれるナァ
Error_NoGhost_01	ゴーストが みつかりませんでした…
Error_NoPlayLog_01	ゴーストが みつかりませんでした…
Error_NoConnection_01	ゴーストを さがせませんでした…
Battle_Announce	{color[ff1010ff]}{[0100]}{color[000000ff]}さんが\nアナタのゴーストとバトルしました！
Battle_Announce_V	アナタのゴーストは\n{color[ff1010ff]}{[0100]}{color[000000ff]}さんに かちました！
Battle_SeasonReset_01	あたらしいシーズンが\nはじまりました！
Battle_SeasonReset_02	さいごにバトルしたときの\nランキングはコチラです！
Battle_SeasonReset_03	ランキングはリセットしました！\nハリキッテまいりましょう！
Party_Result_01	こんかいの\nパーティけっかは…
Battle_CatchUpChance_01	{color[ff1010ff]}{[0100]}{color[000000ff]}さんに\nボーナスチャンス！
Battle_CatchUpChance_02	つぎ、１{r2[ばん]}番{/r2}に{r2[せいかい]}正解{/r2}したら\n{color[ff1010ff]}＋４０{r2[てん]}点{/r2}{color[000000ff]}！
Battle_CatchUpChance_03	あたまのじゅんびが\nできたら はじめます！
Party_CatchUpChance_C01	{color[ff1010ff]}５０{r2[てん]}点{/r2}{color[000000ff]}より すくない{r2[ひと]}人{/r2}に\nボーナスチャンス！
Party_CatchUpChance_D02	つぎ、{r2[せいかい]}正解{/r2}したら\n{color[ff1010ff]}＋５０{r2[てん]}点{/r2}{color[000000ff]}！
BattleMenu_Continue3_01	つづけますか！\nきょう{color[ff1010ff]}３{r2[かいめ]}回目{/r2}{color[000000ff]}です！
BattleMenu_Continue3_02	それでは…\n{color[ff1010ff]}つよいゴースト{color[000000ff]}を よんできます！
common_MenuTerm.msbt
Back	 もどる
Back_T	もどる
Stop	 やめる
Support	かんたんサポート
Stretch	ストレッチ
SpStretch	超ストレッチ
Test	テスト
Battle	ゴーストバトル
Party	パーティ
Costume	いしょう
Ranking	ランキング
Config	せってい
Single	メイン
StaffCredit	スタッフ
Yawarakado	やわらか度
Yawarakado2	やわらか度
Yawarakado_Value	{size[3200]}やわらか度　{size[6400]}{[0101]}
AtamaClass	あたま段位
Best	ベスト
Recommend	おすすめ！
Point	点
Win_00	勝
Win_sg	勝
Win_pl	勝
Party_Touch_Control	がめんをタッチしてください
Date	{[010c]}/{[010d]}/{[010e]}
ATAMACLASS0000000	8級
ATAMACLASS0000001	7級
ATAMACLASS0000002	6級
ATAMACLASS0000003	5級
ATAMACLASS0000004	4級
ATAMACLASS0000005	3級
ATAMACLASS0000006	2級
ATAMACLASS0000007	1級
ATAMACLASS0000008	初段
ATAMACLASS0000009	2段
ATAMACLASS0000010	3段
ATAMACLASS0000011	4段
ATAMACLASS0000012	5段
ATAMACLASS0000013	6段
ATAMACLASS0000014	7段
ATAMACLASS0000015	8段
ATAMACLASS0000016	柔王
CHARTTYPE0000000	{r2[ちょっかん]}直感{/r2}タイプ
CHARTTYPE0000001	{r2[きおく]}記憶{/r2}タイプ
CHARTTYPE0000002	{r2[ぶんせき]}分析{/r2}タイプ
CHARTTYPE0000003	{r2[すうじ]}数字{/r2}タイプ
CHARTTYPE0000004	{r2[ちかく]}知覚{/r2}タイプ
CHARTTYPE0000010	{r2[ちょっかん]}直感{/r2}・{r2[きおく]}記憶{/r2}タイプ
CHARTTYPE0000011	{r2[ちょっかん]}直感{/r2}・{r2[ぶんせき]}分析{/r2}タイプ
CHARTTYPE0000012	{r2[ちょっかん]}直感{/r2}・{r2[すうじ]}数字{/r2}タイプ
CHARTTYPE0000013	{r2[ちょっかん]}直感{/r2}・{r2[ちかく]}知覚{/r2}タイプ
CHARTTYPE0000014	{r2[きおく]}記憶{/r2}・{r2[ちょっかん]}直感{/r2}タイプ
CHARTTYPE0000015	{r2[きおく]}記憶{/r2}・{r2[ぶんせき]}分析{/r2}タイプ
CHARTTYPE0000016	{r2[きおく]}記憶{/r2}・{r2[すうじ]}数字{/r2}タイプ
CHARTTYPE0000017	{r2[きおく]}記憶{/r2}・{r2[ちかく]}知覚{/r2}タイプ
CHARTTYPE0000018	{r2[ぶんせき]}分析{/r2}・{r2[ちょっかん]}直感{/r2}タイプ
CHARTTYPE0000019	{r2[ぶんせき]}分析{/r2}・{r2[きおく]}記憶{/r2}タイプ
CHARTTYPE0000020	{r2[ぶんせき]}分析{/r2}・{r2[すうじ]}数字{/r2}タイプ
CHARTTYPE0000021	{r2[ぶんせき]}分析{/r2}・{r2[ちかく]}知覚{/r2}タイプ
CHARTTYPE0000022	{r2[すうじ]}数字{/r2}・{r2[ちょっかん]}直感{/r2}タイプ
CHARTTYPE0000023	{r2[すうじ]}数字{/r2}・{r2[きおく]}記憶{/r2}タイプ
CHARTTYPE0000024	{r2[すうじ]}数字{/r2}・{r2[ぶんせき]}分析{/r2}タイプ
CHARTTYPE0000025	{r2[すうじ]}数字{/r2}・{r2[ちかく]}知覚{/r2}タイプ
CHARTTYPE0000026	{r2[ちかく]}知覚{/r2}・{r2[ちょっかん]}直感{/r2}タイプ
CHARTTYPE0000027	{r2[ちかく]}知覚{/r2}・{r2[きおく]}記憶{/r2}タイプ
CHARTTYPE0000028	{r2[ちかく]}知覚{/r2}・{r2[ぶんせき]}分析{/r2}タイプ
CHARTTYPE0000029	{r2[ちかく]}知覚{/r2}・{r2[すうじ]}数字{/r2}タイプ
CHARTTYPE0000030	なんともいえないタイプ
CHARTTYPE0000031	{r2[ちょっかん]}直感{/r2}おいてけぼりタイプ
CHARTTYPE0000032	{r2[きおく]}記憶{/r2}おいてけぼりタイプ
CHARTTYPE0000033	{r2[ぶんせき]}分析{/r2}おいてけぼりタイプ
CHARTTYPE0000034	{r2[すうじ]}数字{/r2}おいてけぼりタイプ
CHARTTYPE0000035	{r2[ちかく]}知覚{/r2}おいてけぼりタイプ
CHARTTYPE0000036	とくに{r2[い]}言{/r2}うことなしタイプ
CHARTTYPE0000054	{r2[ぜんほういばんのう]}全方位万能{/r2}タイプ
CHARTTYPE0000056	のびしろタイプ
WaitConnecting	つうしんちゅう…
Month_01	1月シーズン
Month_02	2月シーズン
Month_03	3月シーズン
Month_04	4月シーズン
Month_05	5月シーズン
Month_06	6月シーズン
Month_07	7月シーズン
Month_08	8月シーズン
Month_09	9月シーズン
Month_10	10月シーズン
Month_11	11月シーズン
Month_12	12月シーズン
Percent	{[010f]}%
Decimal	.
YawarakaRanking	やわらか世界ランキング
Rank	{[0101]}{size[4200]}位{size[6400]}
Rank_NA	?{size[4200]}位{size[6400]}
Rank_Num_NA	?
Rank_RightSide	位
common_MiniGame.msbt
MiniGameName_00	えあわせモグラ
MiniGameName_01	くらやみどうぶつ
MiniGameName_02	きりぬきアート
MiniGameName_03	すいそくしゃしん
MiniGameName_04	フラッシュきおく
MiniGameName_05	カードきおく
MiniGameName_06	さかさきおく
MiniGameName_07	とりかごシャッフル
MiniGameName_08	つみきのかず
MiniGameName_09	おもさくらべ
MiniGameName_10	かたぬきブロック
MiniGameName_11	はやうちクイズ
MiniGameName_12	あわせたかず
MiniGameName_13	たしざんつみき
MiniGameName_14	とけいあわせ
MiniGameName_15	じゅんばんふうせん
MiniGameName_16	ぶんかいパズル
MiniGameName_17	グルグルかげえ
MiniGameName_18	レールつなぎ
MiniGameName_19	してんえらび
MiniGameNameB_00	えあわせモグラ
MiniGameNameB_01	くらやみどうぶつ
MiniGameNameB_02	きりぬきアート
MiniGameNameB_03	すいそくしゃしん
MiniGameNameB_04	フラッシュきおく(ボタン)
MiniGameNameB_05	カードきおく
MiniGameNameB_06	さかさきおく
MiniGameNameB_07	とりかごシャッフル
MiniGameNameB_08	つみきのかず
MiniGameNameB_09	おもさくらべ
MiniGameNameB_10	かたぬきブロック
MiniGameNameB_11	はやうちクイズ
MiniGameNameB_12	あわせたかず
MiniGameNameB_13	たしざんつみき
MiniGameNameB_14	とけいあわせ
MiniGameNameB_15	じゅんばんふうせん
MiniGameNameB_16	ぶんかいパズル(ボタン)
MiniGameNameB_17	グルグルかげえ
MiniGameNameB_18	レールつなぎ
MiniGameNameB_19	してんえらび
MiniGameNameB_20	フラッシュきおく(タッチ)
MiniGameNameB_21	ぶんかいパズル(タッチ)
SpMiniGameName_00	超えあわせモグラ
SpMiniGameName_01	超くらやみどうぶつ
SpMiniGameName_02	超きりぬきアート
SpMiniGameName_03	超すいそくしゃしん
SpMiniGameName_04	超フラッシュきおく
SpMiniGameName_05	超カードきおく
SpMiniGameName_06	超さかさきおく
SpMiniGameName_07	超とりかごシャッフル
SpMiniGameName_08	超つみきのかず
SpMiniGameName_09	超おもさくらべ
SpMiniGameName_10	超かたぬきブロック
SpMiniGameName_11	超はやうちクイズ
SpMiniGameName_12	超あわせたかず
SpMiniGameName_13	超たしざんつみき
SpMiniGameName_14	超とけいあわせ
SpMiniGameName_15	超じゅんばんふうせん
SpMiniGameName_16	超ぶんかいパズル
SpMiniGameName_17	超グルグルかげえ
SpMiniGameName_18	超レールつなぎ
SpMiniGameName_19	超してんえらび
SpMiniGameNameB_00	超えあわせモグラ
SpMiniGameNameB_01	超くらやみどうぶつ
SpMiniGameNameB_02	超きりぬきアート
SpMiniGameNameB_03	超すいそくしゃしん
SpMiniGameNameB_04	超フラッシュきおく(ボタン)
SpMiniGameNameB_05	超カードきおく
SpMiniGameNameB_06	超さかさきおく
SpMiniGameNameB_07	超とりかごシャッフル
SpMiniGameNameB_08	超つみきのかず
SpMiniGameNameB_09	超おもさくらべ
SpMiniGameNameB_10	超かたぬきブロック
SpMiniGameNameB_11	超はやうちクイズ
SpMiniGameNameB_12	超あわせたかず
SpMiniGameNameB_13	超たしざんつみき
SpMiniGameNameB_14	超とけいあわせ
SpMiniGameNameB_15	超じゅんばんふうせん
SpMiniGameNameB_16	超ぶんかいパズル(ボタン)
SpMiniGameNameB_17	超グルグルかげえ
SpMiniGameNameB_18	超レールつなぎ
SpMiniGameNameB_19	超してんえらび
SpMiniGameNameB_20	超フラッシュきおく(タッチ)
SpMiniGameNameB_21	超ぶんかいパズル(タッチ)
Instruction_CompareMole	おなじのを たたいて！
Instruction_AnimalInDark	いちばん おおいどうぶつは どれ？
Instruction_CuttingAnimation	あてはまるのは どれ？
Instruction_FilterZoom	なんのしゃしん？
Instruction_InstantMemory	すうじ と きごう を おぼえて！
Instruction_OrderMemory	カードをおぼえて こたえて！
Instruction_Reverse	さかさに こたえて！
Instruction_Cage	とりがいるのは どこ？
Instruction_PlayCube	つみきの かずは？
Instruction_PlaySeesaw	いちばんおもいのは どれ？
Instruction_EraseBlock	ブロックをこわして おなじかたちに！
Instruction_Shooting	あてはまるしゃしんは どれ？
Instruction_PlayPlus	２つあわせて おなじかずにして！
Instruction_FallNumber	いらない つみきを とばして！
Instruction_SetClock	とけいを あわせて！
Instruction_CountNumber	すうじが ちいさいじゅんに こわして！
Instruction_Bunkai	パズルを かんせいさせて！
Instruction_PlayShadow	かげと おなじものは どれ？
Instruction_TrainRoad	ゴールまで レールを つないで！
Instruction_RotateViewPoint	やじるしからは どうみえる？
Tutorial_00	おてほんと おなじ「え」の\nモグラを たたいて！
Tutorial_01	いちばん おおいどうぶつは どれ？\nライトで さがして！
Tutorial_02	「?」にあてはまるのは どれ？\nうごきを よくみて！
Tutorial_03	なんのしゃしん？\nはやくわかったら スゴイ！
Tutorial_04	すぐきえる すうじ と きごう を\nいっしゅんで おぼえて！\n
Tutorial_05	カードの「え」をおぼえて！\nかくされたのは どれ？
Tutorial_06	じゅんばんを おぼえて\nさかさに こたえて！
Tutorial_07	とりがいるのは どこ？\nスピードアップもできる！
Tutorial_08	つみきのかずを かぞえて！\nどうすれば かぞえやすい？
Tutorial_09	いちばん おもいのは どれ？\nみために だまされないで！
Tutorial_10	ブロックをこわして\nおてほんと おなじかたちにして！
Tutorial_11	おだいにあてはまる しゃしんは？\nこたえは１つとは かぎらない！
Tutorial_12	パネルを ２つえらんで\nおてほんとおなじ かずにして！
Tutorial_13	おなじ すうじになるように\nいらない つみきをとばして！
Tutorial_14	はりを グルグルまわして\nとけいを あわせて！
Tutorial_15	すうじが ちいさいじゅんに\nふうせんを こわして！
Tutorial_16	ピースをえらんで\nパズルを かんせいさせて！
Tutorial_17	かげとおなじ「え」を\nぜんぶ みつけて！
Tutorial_18	でんしゃがゴールするように\nレールをつなげて！
Tutorial_19	「やじるし」からみると\nどうみえる？
PlayerNum_00	1
PlayerNum_01	2
PlayerNum_02	3
PlayerNum_03	4
Handicap_00	幼児クラス
Handicap_01	初級クラス
Handicap_02	中級クラス
Handicap_03	上級クラス
Handicap_04	エリートクラス
Handicap_05	超エリートクラス
DspLevel_00	幼児クラス
DspLevel_01	初級クラス
DspLevel_02	中級クラス
DspLevel_03	上級クラス
DspLevel_04	エリートクラス
DspLevel_05	超エリートクラス
Question_Num	{size[4200]}第{size[6400]}{[0101]}{size[4200]}問{size[6400]}
Correct_00	{color[ffd103ff]}1{size[4200]}番{size[6400]}{color[000000ff]}
Correct_01	{color[bfc9c9ff]}2{size[4200]}番{size[6400]}{color[000000ff]}
Correct_02	{color[ff6128ff]}3{size[4200]}番{size[6400]}{color[000000ff]}
Correct_03	{color[ffd19cff]}4{size[4200]}番{size[6400]}{color[000000ff]}
ScorePlus	{size[4b00]}+{size[6400]}{[0101]}
Info_Stop	そこまで！
Info_Reach	リーチ！
Info_Giveup	ギブアップ！
Info_Giveup_Result	ギブアップ
MaxGameNum_01	{color[d85060ff]}{size[4200]}全{size[6400]}1{size[4200]}試合{size[6400]}{color[000000ff]}
MaxGameNum_02	{color[d85060ff]}{size[4200]}全{size[6400]}2{size[4200]}試合{size[6400]}{color[000000ff]}
MaxGameNum_03	{color[d85060ff]}{size[4200]}全{size[6400]}3{size[4200]}試合{size[6400]}{color[000000ff]}
MaxGameNum_04	{color[d85060ff]}{size[4200]}全{size[6400]}4{size[4200]}試合{size[6400]}{color[000000ff]}
MaxGameNum_05	{color[d85060ff]}{size[4200]}全{size[6400]}5{size[4200]}試合{size[6400]}{color[000000ff]}
MaxGameNumB_01	{color[ad131dff]}{size[4200]}全{size[6400]}1{size[4200]}試合{size[6400]}{color[000000ff]}
MaxGameNumB_02	{color[ad131dff]}{size[4200]}全{size[6400]}2{size[4200]}試合{size[6400]}{color[000000ff]}
MaxGameNumB_03	{color[ad131dff]}{size[4200]}全{size[6400]}3{size[4200]}試合{size[6400]}{color[000000ff]}
MaxGameNumB_04	{color[ad131dff]}{size[4200]}全{size[6400]}4{size[4200]}試合{size[6400]}{color[000000ff]}
MaxGameNumB_05	{color[ad131dff]}{size[4200]}全{size[6400]}5{size[4200]}試合{size[6400]}{color[000000ff]}
CurrentGameNum_01	1{size[4200]}試合目{size[6400]}
CurrentGameNum_02	2{size[4200]}試合目{size[6400]}
CurrentGameNum_03	3{size[4200]}試合目{size[6400]}
CurrentGameNum_04	4{size[4200]}試合目{size[6400]}
CurrentGameNum_05	5{size[4200]}試合目{size[6400]}
GuestName_01	ゲスト1
GuestName_02	ゲスト2
GuestName_03	ゲスト3
GuestName_04	ゲスト4
YourName	あなた
RealPersonName	実在の人物です
MiniGameCategoryIdentify	{r2[ちょっかん]}直感{/r2}
MiniGameCategoryMemorize	{r2[きおく]}記憶{/r2}
MiniGameCategoryAnalyze	{r2[ぶんせき]}分析{/r2}
MiniGameCategoryCompute	{r2[すうじ]}数字{/r2}
MiniGameCategoryVisualize	{r2[ちかく]}知覚{/r2}
MiniGameCategoryIdentify_S	直感
MiniGameCategoryMemorize_S	記憶
MiniGameCategoryAnalyze_S	分析
MiniGameCategoryCompute_S	数字
MiniGameCategoryVisualize_S	知覚
MiniGameCategoryC_Identify	{color[92d180ff]}{r2[ちょっかん]}直感{/r2}{color[000000ff]}
MiniGameCategoryC_Memorize	{color[baa5f3ff]}{r2[きおく]}記憶{/r2}{color[000000ff]}
MiniGameCategoryC_Analyze	{color[ff9985ff]}{r2[ぶんせき]}分析{/r2}{color[000000ff]}
MiniGameCategoryC_Compute	{color[8ebfe8ff]}{r2[すうじ]}数字{/r2}{color[000000ff]}
MiniGameCategoryC_Visualize	{color[f5aa45ff]}{r2[ちかく]}知覚{/r2}{color[000000ff]}
MiniGameCategoryCS_Identify	{color[92d180ff]}直感{color[000000ff]}
MiniGameCategoryCS_Memorize	{color[baa5f3ff]}記憶{color[000000ff]}
MiniGameCategoryCS_Analyze	{color[ff9985ff]}分析{color[000000ff]}
MiniGameCategoryCS_Compute	{color[8ebfe8ff]}数字{color[000000ff]}
MiniGameCategoryCS_Visualize	{color[f5aa45ff]}知覚{color[000000ff]}
Instruction_Touch	がめんを\nタッチしてください
Instruction_Button	ボタンで\nそうさします
Instruction_Touch_Btn	タッチ！
Instruction_Position	ここに\n問題がでます
Instruction_Position_Btn	 OK
Levelup	レベルアップ！
Rate_00	 すごい!!
Rate_01	　ナイス！
Rate_02	OK
NotSaveGhost	こんかいのゴーストは ほぞんされません
ButtonGuide_Battle	/ ギブアップ
common_Profile.msbt
Age	{[0101]}{size[4200]}才{size[6400]}
Secret	?{size[4200]}才{size[6400]}
Config_Age	{[0101]}才
Config_Secret	?才
ATTRIBUTE0000000	ほめられて{r2[の]}伸{/r2}びる
ATTRIBUTE0000001	{r2[ね]}寝{/r2}ても{r2[ね]}寝{/r2}てもねむい
ATTRIBUTE0000002	{r2[しゅくだい]}宿題{/r2}がおわらない
ATTRIBUTE0000003	とにかく{r2[ほ]}褒{/r2}められたい
ATTRIBUTE0000004	{r2[あま]}甘{/r2}いものに{r2[め]}目{/r2}がない
ATTRIBUTE0000005	{r2[てんせい]}天性{/r2}の{r2[あ]}飽{/r2}き{r2[しょう]}性{/r2}
ATTRIBUTE0000006	{r2[お]}落{/r2}ち{r2[つ]}着{/r2}いたら{r2[ま]}負{/r2}け
ATTRIBUTE0000007	マイペースを{r2[きわ]}極{/r2}めた
ATTRIBUTE0000008	みがけば{r2[ひか]}光{/r2}る
ATTRIBUTE0000009	{r2[あした]}明日{/r2}から{r2[ほんきだ]}本気出{/r2}す
ATTRIBUTE0000010	ギリギリまでねばる
ATTRIBUTE0000011	ガラスのハート
ATTRIBUTE0000012	ごはんが{r2[す]}好{/r2}きすぎる
ATTRIBUTE0000013	THE・あまのじゃく
ATTRIBUTE0000014	{r2[むかし]}昔{/r2}はやんちゃ
ATTRIBUTE0000015	{r2[じつ]}実{/r2}は{r2[ま]}負{/r2}けず{r2[ぎら]}嫌{/r2}い
ATTRIBUTE0000016	はやく{r2[おとな]}大人{/r2}になりたい
ATTRIBUTE0000017	おこづかいください
ATTRIBUTE0000018	{r2[こうきしん]}好奇心{/r2}のかたまり
ATTRIBUTE0000019	{r2[せいちょうきょくせん]}成長曲線{/r2}エグい
ATTRIBUTE0000020	{r2[たの]}楽{/r2}しく{r2[い]}生{/r2}きる
ATTRIBUTE0000021	カンがするどい
ATTRIBUTE0000022	{r2[お]}押{/r2}してダメなら{r2[お]}押{/r2}す
ATTRIBUTE0000023	モテたい
ATTRIBUTE0000024	{r2[あぶら]}脂{/r2}がのってきた
ATTRIBUTE0000025	{r2[ねこ]}猫{/r2}の{r2[て]}手{/r2}も{r2[か]}借{/r2}りたい
ATTRIBUTE0000026	すぐ{r2[かお]}顔{/r2}に{r2[で]}出{/r2}る
ATTRIBUTE0000027	{r2[てんさい]}天才{/r2}と{r2[かみひとえ]}紙一重{/r2}
ATTRIBUTE0000028	{r2[いや]}癒{/r2}しを{r2[お]}追{/r2}い{r2[もと]}求{/r2}める
ATTRIBUTE0000029	{r2[いしばし]}石橋{/r2}を{r2[たた]}叩{/r2}きすぎる
ATTRIBUTE0000030	{r2[お]}追{/r2}われるより{r2[お]}追{/r2}いたい
ATTRIBUTE0000031	わりと{r2[いちず]}一途{/r2}
ATTRIBUTE0000032	{r2[なにごと]}何事{/r2}も{r2[かたち]}形{/r2}から{r2[はい]}入{/r2}る
ATTRIBUTE0000033	{r2[うん]}運{/r2}だけは{r2[つよ]}強{/r2}い
ATTRIBUTE0000034	{r2[ていじ]}定時{/r2}で{r2[かえ]}帰{/r2}る
ATTRIBUTE0000035	{r2[お]}推{/r2}しがいる{r2[しあわ]}幸{/r2}せ
ATTRIBUTE0000036	ネコさまのしもべ
ATTRIBUTE0000037	マッチョになりたい
ATTRIBUTE0000038	カリスマが{r2[と]}止{/r2}まらない
ATTRIBUTE0000039	{r2[じぶん]}自分{/r2}の{r2[かんかく]}感覚{/r2}を{r2[しん]}信{/r2}じる
ATTRIBUTE0000040	{r2[いしきひく]}意識低{/r2}い
ATTRIBUTE0000041	{r2[すうじ]}数字{/r2}にこだわる
ATTRIBUTE0000042	{r2[せかい]}世界{/r2}をまたにかける
ATTRIBUTE0000043	{r2[まご]}孫{/r2}がかわいい
ATTRIBUTE0000044	{r2[うま]}馬{/r2}をこよなく{r2[あい]}愛{/r2}する
ATTRIBUTE0000045	{r2[かた]}語{/r2}りだしたら{r2[と]}止{/r2}まらない
ATTRIBUTE0000046	ヒップホップ{r2[そだ]}育{/r2}ち
ATTRIBUTE0000047	{r2[なに]}何{/r2}にも{r2[あ]}当{/r2}てはまらない
JOB0000000	{r2[ようちえんせい]}幼稚園生{/r2}
JOB0000001	{r2[しょうがくせい]}小学生{/r2}
JOB0000002	{r2[ちゅうがくせい]}中学生{/r2}
JOB0000003	{r2[こうこうせい]}高校生{/r2}
JOB0000004	{r2[がくせい]}学生{/r2}
JOB0000005	{r2[ろうにんせい]}浪人生{/r2}
JOB0000006	{r2[じたくぐ]}自宅暮{/r2}らし
JOB0000007	{r2[こじんじぎょうぬし]}個人事業主{/r2}
JOB0000008	{r2[かいしゃいん]}会社員{/r2}
JOB0000009	{r2[じえいぎょう]}自営業{/r2}
JOB0000010	{r2[しゅふ]}主夫{/r2}
JOB0000010_f	{r2[しゅふ]}主婦{/r2}
JOB0000011	パートタイマー
JOB0000012	{r2[こうむいん]}公務員{/r2}
JOB0000013	{r2[だんたいしょくいん]}団体職員{/r2}
JOB0000014	{r2[じゆうじん]}自由人{/r2}
JOB0000015	{r2[けいえいしゃ]}経営者{/r2}
GREETING0000000	よろしくおねがいします！
