AbilityList.msbt
$TownAbilityListAttackText	攻擊力
Msg_BandanaWaddleDee_TalkStory1_01	當時突然被吸到空中，\n真是嚇了我一大跳呢～！{[0004]}其他的瓦豆魯迪們似乎比我\n更早一步來到這個世界……
Msg_BandanaWaddleDee_TalkStory1_02	在我急著想要追上他們的時候，\n剛好看到一輛粉紅色的汽車。{[0004]}那輛汽車果然就是你！{[0004]}但是你把那麼大一輛汽車塞進嘴巴裡，\n嘴巴不會受傷嗎……？
Msg_BandanaWaddleDee_TalkStory2	瓦豆魯迪們都已經回到小鎮，\n所以現在變得更熱鬧了呢。{[0004]}聽說那些瓦豆魯迪\n都很感謝你拯救了他們！{[0004]}我也已經準備好展開冒險了，\n只要按下{[0411|9400]}暫停，隨時都能邀請我喔。
Msg_BandanaWaddleDee_TalkStory3	{[1402]}艾菲靈被帝帝帝大王抓走了，\n不知道他要不要緊……{[0004]}不能再這樣空等下去了，\n我們一起去救艾菲靈吧！
Msg_BandanaWaddleDee_TalkStory4	能夠再次見到艾菲靈真是太好了。{[0004]}多虧了艾菲靈那神奇的力量，\n才有辦法將波普之星跟這個世界連結在一起……{[0004]}今後我們又可以無憂無慮地\n一起在這個世界繼續冒險了！
Msg_BandanaWaddleDee_TalkAbilityRevolute	如果卡比使用了\n{color[ff4d2fff]}進化過{color[000000ff]}的複製能力，\n其實{color[ff4d2fff]}我也會跟著變強{color[000000ff]}喔。{[0004]}隨著複製能力的進化階級提升，\n我的長槍攻擊力也會獲得進一步提升。\n在兩人遊玩的時候，也會表現得相當活躍！{[0004]}沒想到我竟然能夠和卡比一起變強，\n感覺就像自己也變成英雄一樣，真開心。
Msg_TheaterClerk_WelcomeFirst	歡迎來到{color[ff4d2fff]}瓦豆魯迪電影院{color[000000ff]}！\n這裡可以觀賞各式各樣的{color[ff4d2fff]}影片{color[000000ff]}喔！ {[0004]}順帶一提，一開始之所以會打造這座電影院，\n是因為我認為{color[ff4d2fff]}娛樂也是非常重要的{color[000000ff]}！{[0004]}那麼卡比，\n請問你想觀賞哪一部影片呢？
Msg_TheaterClerk_Welcome	歡迎來到瓦豆魯迪電影院！\n請問你想觀賞哪一部影片呢？
Msg_TheaterClerk_WelcomeNewMovie	歡迎來到瓦豆魯迪電影院！\n目前有{color[ff4d2fff]}新影片{color[000000ff]}上映了。{[0004]}那麼，\n請問你想觀賞哪一部影片呢？
Msg_TheaterClerk_Thanks	歡迎隨時再度光臨！
Msg_TheaterClerk_PlayAnnounce	你想觀賞{color[ff4d2fff]}『{[0314]}』{color[000000ff]}對吧。\n影片馬上就要開始了，\n請盡快{color[ff4d2fff]}入座{color[000000ff]}。
Msg_TheaterClerk_AskChangeMovie	要更改為其他影片嗎？
Msg_TheaterClerk_CancelChangeMovie	請盡快{color[ff4d2fff]}入座{color[000000ff]}。\n{color[ff4d2fff]}『{[0314]}』{color[000000ff]}馬上就要開始囉。
Msg_TheaterClerk_WelcomeAgain	你覺得這部影片如何？\n接下來還想觀賞哪一部影片呢？
Msg_TheaterClerk_GiveFigure	{[1800]}卡比，恭喜你！{[0004]}{[1400]}為了紀念所有影片成功上映，\n我想送給你一個{color[ff4d2fff]}特別的模型{color[000000ff]}！\n請收下這個！
Msg_TheaterClerk_AfterGiveFigure	卡比，\n請問你想觀賞影片嗎？
Msg_TownGuideAbilityRoomDemo_SupportTalk_00	{[1905|04cd]}聽說能夠選擇複製能力的\n{color[ff4d2fff]}瓦豆魯迪武器店{color[000000ff]}已經開幕囉！{[0004]}除了可以自由選擇能力之外，\n據說還能學到讓自己變強的秘訣喔。\n趕快進去看看吧！
Msg_TownGuideAbilityRoomDemo_SupportTalk_01	{[1909|00cd]}卡比，不是那裡啦！快過來這邊～！
Msg_TownGuideNewAreaDemo_SupportTalk	{[1907|01cd]}卡比，如果你已經做好萬全的準備，\n那就搭乘{color[ff4d2fff]}傳送之星{color[000000ff]}前往{color[ff4d2fff]}新區域{color[000000ff]}看看吧！
Msg_AbilityRoomClerk_WelcomeFirst	這裡是{color[ff4d2fff]}瓦豆魯迪武器店{color[000000ff]}，\n任何複製能力都能任君挑選！{[0004]}本店會提供所有卡比\n{color[ff4d2fff]}曾發現的複製能力{color[000000ff]}，\n歡迎隨時前來使用。{[0004]}{[1801]}{[1403]}除此之外，{[1802]}請聽我說！\n現在你還可以在這裡{color[ff4d2fff]}進化{color[000000ff]}現有的能力，\n使能力變得更加強大喔！
Msg_AbilityRoomClerk_IntroduceBlueprint	最近發現的這張{color[ff4d2fff]}設計圖{color[000000ff]}上\n記載了非常厲害的新技術，\n現在已經能進化複製能力了！{[0004]}趕快來進化看看吧。\n我馬上就去準備！
Msg_AbilityRoomClerk_HowToEvolve	{color[ff4d2fff]}進化{color[000000ff]}複製能力需要\n{[0100|8000]}{color[ff4d2fff]}硬幣星{color[000000ff]}和{[0101|8100]}{color[ff4d2fff]}稀有石{color[000000ff]}。{[0004]}{[0101|8100]}稀有石似乎能在世界地圖上的\n{color[ff4d2fff]}寶藏之路{color[000000ff]}裡找到喔。\n別忘了去挑戰看看！{[0004]}不過這次我已經先準備好了，\n請直接按下{color[ff4d2fff]}「{[0400|0000]}進化」{color[000000ff]}來完成進化吧！
Msg_AbilityRoomClerk_RecommendEvolve	請走到想要{color[ff4d2fff]}進化{color[000000ff]}的能力前面，\n按下{color[ff4d2fff]}{[0400|0000]}{color[000000ff]}查看吧。
Msg_AbilityRoomClerk_RecommendEvolveDoorIn	卡比！你先別走啊！\n你不會很想知道要怎麼{color[ff4d2fff]}進化{color[000000ff]}嗎？\n現在馬上就來試試看吧！{[0004]}請走到想要進化的能力前面，\n按下{color[ff4d2fff]}{[0400|0000]}{color[000000ff]}查看吧。
Msg_AbilityRoomClerk_FirstEvolveEnd	成功了，{[1401]}非常成功呢！\n{[030a]}能力已經{color[ff4d2fff]}進化{color[000000ff]}成\n{[0309|0000]}了！{[0004]}如果手上有{color[ff4d2fff]}新設計圖{color[000000ff]}就能再次進化喔。 \n要是發現了設計圖，\n別忘了回到本店！
Msg_AbilityRoomClerk_RecommendSelect	卡比，你知道嗎？\n如果已經有設定中的複製能力，\n只要按下{color[ff4d2fff]}{[0701|0100]}{color[000000ff]}就能直接{color[ff4d2fff]}吸入該能力{color[000000ff]}喔！
Msg_AbilityRoomClerk_RecommendSelectWithAbility	卡比，你知道嗎？\n如果已經有設定中的複製能力，\n只要按下{color[ff4d2fff]}{[0701|0100]}{color[000000ff]}就能直接{color[ff4d2fff]}吸入該能力{color[000000ff]}喔！{[0004]}順帶一提，按下{color[ff4d2fff]}{[0703|0300]}{color[000000ff]}則可以捨棄能力。
Msg_AbilityRoomClerk_RecommendSelectAfter	只要預先把能力{color[ff4d2fff]}設定{color[000000ff]}好，\n這裡也會把冒險途中獲得的能力\n{color[ff4d2fff]}替換成已設定的能力{color[000000ff]}喔。
Msg_AbilityRoomClerk_IntroduceKnowledgeWaddleDee	你是不是正在為尋找設計圖而煩惱呢？\n聽說只要詢問{color[ff4d2fff]}知識淵博瓦豆魯迪{color[000000ff]}，\n他就會告訴你設計圖的所在地喔！
Msg_AbilityRoomClerk_CopyAbilityTips_Bomb	炸彈藉由{color[ff4d2fff]}長按{[0701|0100]}{color[000000ff]}，\n能夠在確實瞄準後投擲炸彈喔。
Msg_AbilityRoomClerk_CopyAbilityTips_ChainBomb	連鎖炸彈在{color[ff4d2fff]}炸彈彼此接近{color[000000ff]}時，\n會產生連鎖效果並提高攻擊力喔。{[0004]}只要將許多炸彈相連使其產生連鎖，\n攻擊力也會不斷提升！
Msg_AbilityRoomClerk_CopyAbilityTips_SearchBomb	自動追蹤炸彈在{color[ff4d2fff]}炸彈彼此接近{color[000000ff]}時，\n會產生連鎖效果並提高攻擊力喔。{[0004]}只要將許多炸彈相連使其產生連鎖，\n攻擊力也會不斷提升！
Msg_AbilityRoomClerk_CopyAbilityTips_Crash	爆裂可藉由{color[ff4d2fff]}長按{[0701|0100]}\n{color[000000ff]}來累積威力喔。{[0004]}累積威力達到上限的一記攻擊\n擁有非常高的攻擊力！
Msg_AbilityRoomClerk_CopyAbilityTips_TimeCrash	如果在時間爆裂發動中{color[ff4d2fff]}打倒敵人{color[000000ff]}，\n能夠暫停的時間也會更長喔！
Msg_AbilityRoomClerk_CopyAbilityTips_Cutter	在丟出彎刀後{color[ff4d2fff]}長按{[0701|0100]}{color[000000ff]}，\n將能夠使刀刃在空中定格並且{color[ff4d2fff]}蓄力{color[000000ff]}。{[0004]}蓄力後{color[ff4d2fff]}放開{[0701|0100]}{color[000000ff]}，{color[ff4d2fff]}\n{color[000000ff]}即可施展強力的{color[ff4d2fff]}返回攻擊{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_MetalCutter	全金屬彎刀的刀刃{color[ff4d2fff]}能夠藉由牆壁進行反彈{color[000000ff]}。\n好好利用牆壁反彈，刀刃就能夠飛得更遠！
Msg_AbilityRoomClerk_CopyAbilityTips_Drill	鑽擊在{color[ff4d2fff]}長按{[0701|0100]}{color[000000ff]}潛入地面時，\n幾乎所有攻擊都無法命中。{[0004]}只要在潛入地面時{color[ff4d2fff]}如畫圓一般{color[000000ff]}圈出圓形，\n就能夠施展出強力的{color[ff4d2fff]}地面咚{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_Fire	烈火在跑動時{color[ff4d2fff]}跳躍{color[000000ff]}並按下{color[ff4d2fff]}{[0701|0100]}{color[000000ff]}，\n即可使用{color[ff4d2fff]}燃燒攻擊{color[000000ff]}！{[0004]}順帶一提，\n烈火不但可以點燃大炮的導火線，{[0004]}只要在進入大炮後{color[ff4d2fff]}按下{[0409|6000]}{color[000000ff]}或{color[ff4d2fff]}{[040a|6100]}蹲下{color[000000ff]}，\n導火線上已點燃的火焰燃燒速度也會變快喔！
Msg_AbilityRoomClerk_CopyAbilityTips_DragonFire	龍之烈火的燃燒攻擊藉由\n{color[ff4d2fff]}長按{[0701|0100]}{color[000000ff]}可延長飛行的距離。
Msg_AbilityRoomClerk_CopyAbilityTips_Hammer	錘子藉由{color[ff4d2fff]}長按{[0701|0100]}{color[000000ff]}\n可以累積威力。{[0004]}在威力累積到上限時所釋放的{color[ff4d2fff]}鬼殺火焰錘{color[000000ff]}，\n攻擊力非常高！{[0004]}順帶一提，\n使用錘子還可以敲擊樁和釘子喔！
Msg_AbilityRoomClerk_CopyAbilityTips_Ice	冰凍的吐息能夠凍結敵人！{[0004]}即使面對魔王這般巨大的敵人，\n也能夠使{color[ff4d2fff]}對方停止動作{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_Needle	針只要捲起{color[ff4d2fff]}敵人或方塊{color[000000ff]}後，\n即可維持更長的滾動時間。{[0004]}{color[ff4d2fff]}放開{[0701|0100]}{color[000000ff]}將會向周圍射出先前捲入的物品，\n產生相當強力的攻擊！{[0004]}順帶一提，即使在颳著強風的情況下，\n針也可以透過滾動的方式前進喔！
Msg_AbilityRoomClerk_CopyAbilityTips_Ranger	探巡隊只要藉由{color[ff4d2fff]}長按{[0701|0100]}{color[000000ff]}蓄力，\n即可釋放出貫穿敵人的強力一擊！{[0004]}順帶一提，只有使用探巡隊才有辦法\n擊落飄浮在空中的目標開關喔！
Msg_AbilityRoomClerk_CopyAbilityTips_Sleep	只要在變成睡覺時{color[ff4d2fff]}快速搖晃{[041e|f100]}{color[000000ff]}\n就能夠更快醒過來喔。
Msg_AbilityRoomClerk_CopyAbilityTips_DeepSleep	只要{color[ff4d2fff]}按下{[0701|0100]}{color[000000ff]}，\n深層睡覺就會在床上熟睡，\n並且可以完全回復！{[0004]}熟睡之後還能夠得到\n各種{color[ff4d2fff]}威力提升效果{color[000000ff]}喔！
Msg_AbilityRoomClerk_CopyAbilityTips_Sword	利劍只要藉由{color[ff4d2fff]}長按{[0701|0100]}{color[000000ff]}累積力量\n即可釋放出旋轉劈砍的{color[ff4d2fff]}迴旋斬{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_GigantSword	龐大利劍藉由按下{color[ff4d2fff]}{[0409|6000]}/{[040a|6100]}{color[000000ff]}即可架盾防禦。\n還可以一邊維持防禦一邊走動喔！
Msg_AbilityRoomClerk_CopyAbilityTips_MetaSword	魅塔騎士利劍在{color[ff4d2fff]}體力全滿{color[000000ff]}的狀態下揮劍\n將會釋放出{color[ff4d2fff]}新月射擊{color[000000ff]}。{[0004]}順帶一提，\n當擁有2條體力條的時候，\n在第1條體力條耗盡前都可以釋放新月射擊喔！{[0004]}藉由按下{color[ff4d2fff]}{[0409|6000]}/{[040a|6100]}+{[0700|0000]}{color[000000ff]}即可施展{color[ff4d2fff]}利劍滑壘{color[000000ff]}。\n施展出利劍滑壘後藉由{color[ff4d2fff]}{[0700|0000]}～連打{[0701|0100]}{color[000000ff]}，\n還能夠施展大招式——{color[ff4d2fff]}上霸者劍{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_MorphoSword	冥蝶騎士利劍只要藉由{color[ff4d2fff]}長按{[0701|0100]}{color[000000ff]}\n累積威力達到上限，利劍就會變大。{[0004]}巨大的利劍攻擊範圍廣泛，\n攻擊力也相當高，非常強大喔！
Msg_AbilityRoomClerk_CopyAbilityTips_Tornado	龍捲風可以將受到攻擊的敵人\n或是星星{color[ff4d2fff]}捲入其中{color[000000ff]}！{[0004]}在發動中按下{[0701|0100]}能夠{color[ff4d2fff]}吹飛並摔落{color[000000ff]}先前捲入的物品，\n是相當強力的攻擊喔！
Msg_AbilityRoomClerk_ReceiveSingleBlueprint	喔喔！\n如果有那張{color[ff4d2fff]}設計圖{color[000000ff]}，\n似乎就能製作{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}了！
Msg_AbilityRoomClerk_ReceiveMultiBlueprint	喔，真不得了！\n你竟然有這麼多張新{color[ff4d2fff]}設計圖{color[000000ff]}！
Msg_AbilityRoomClerk_PrepareNewCopyAbilitySub	那麼，\n我馬上就去為進化做準備！
Msg_AbilityRoomClerk_NewCopyAbility	新的{color[ff4d2fff]}{[030a]}{color[000000ff]}能力\n新增囉！
Msg_AbilityRoomClerk_NewCopyAbilitySubKind	久等了！\n{[030a]}能力已經能進化為\n{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}能力了！
Msg_AbilityRoomClerk_UnlockStrengthening	{[1800]}卡比，請聽我說！\n我發現了一種很厲害的技術，\n可以使複製能力的{color[ff4d2fff]}威力再度提升{color[000000ff]}！{[0004]}{[1403]}這種技術就叫做{color[ff4d2fff]}能力強化{color[000000ff]}！\n似乎可以使用{[0101|8100]}稀有石\n來{color[ff4d2fff]}強化攻擊力{color[000000ff]}！{[0004]}我已經做好準備了，\n你隨時都可以進行{color[ff4d2fff]}強化{color[000000ff]}！\n請選擇喜歡的能力來試試看吧！
Msg_AbilityRoomClerk_GiveFigure	{[1403]}{[1800]}卡比！\n難道你已經將{color[ff4d2fff]}所有{color[000000ff]}複製能力\n都{color[ff4d2fff]}進化{color[000000ff]}完成了嗎！？{[0004]}{[1401]}好厲害，太厲害了！\n對我這樣一介技師而言，\n能夠見證所有進化{color[ff4d2fff]}實在很榮幸{color[000000ff]}！{[0004]}這是我的一點心意。\n請收下這個{color[ff4d2fff]}特別的模型{color[000000ff]}吧！
Msg_DeliveryServiceClerk_WelcomeFirst1	這裡是提供{color[ff4d2fff]}快遞禮物{color[000000ff]}\n快遞到府服務的{color[ff4d2fff]}瓦豆魯迪快遞{color[000000ff]}！{[0004]}只要輸入你在各個地方\n所發現的{color[ff4d2fff]}禮物關鍵詞{color[000000ff]}，\n我們就會將禮物快遞到卡比小屋喔！{[0004]}{[1403]}對了對了，在這座小鎮的某個地方，\n也藏著禮物關鍵詞。\n請一定要試著找找看！{[0004]}{[1800]}{[1401]}除此之外！只要連接網路，\n還能夠使用{color[ff4d2fff]}網路上已公開的\n{color[000000ff]}各種禮物關鍵詞唷。
Msg_DeliveryServiceClerk_WelcomeFirst2	為了方便試用，我事先在{color[ff4d2fff]}對面房子的牆壁{color[000000ff]}上\n藏好了禮物關鍵詞！{[0004]}請試著仔～細地{color[ff4d2fff]}調查{color[000000ff]}\n那棟房子的牆壁四周吧。
Msg_DeliveryServiceClerk_WelcomeFirst3	在小鎮裡找到的禮物關鍵詞，\n就算沒有連接網路\n也能夠直接使用喔。{[0004]}要不要馬上在瓦豆魯迪快遞\n使用禮物關鍵詞呢？
Msg_DeliveryServiceClerk_Welcome	這裡是輸入{color[ff4d2fff]}禮物關鍵詞{color[000000ff]}\n就能獲得禮物的瓦豆魯迪快遞！{[0004]}只要連接網路，\n還能夠使用{color[ff4d2fff]}網路上已公開的\n{color[000000ff]}禮物關鍵詞喔。{[0004]}要在瓦豆魯迪快遞\n使用禮物關鍵詞嗎？
Msg_DeliveryServiceClerk_Goodbye	謝謝惠顧！\n期待你再次使用本服務。
Msg_DeliveryServiceClerk_AskUseWithoutInternet	要在未連接網路的狀態下，\n直接使用禮物關鍵詞嗎？
Msg_DeliveryServiceClerk_NotExistPresentBox	目前似乎{color[ff4d2fff]}沒有{color[000000ff]}能夠快遞的{color[ff4d2fff]}快遞禮物{color[000000ff]}。\n期待你再次使用本服務。
Msg_DeliveryServiceClerk_PromptInput	那麼，就麻煩你輸入\n禮物關鍵詞了。
Msg_DeliveryServiceClerk_InvalidPresentCode	真是不好意思！\n剛才的禮物關鍵詞似乎內容{color[ff4d2fff]}有誤{color[000000ff]}～\n請輸入正確的禮物關鍵詞。
Msg_DeliveryServiceClerk_UsedPresentCode	這是之前{color[ff4d2fff]}曾經使用過的{color[000000ff]}\n禮物關鍵詞。\n請輸入其他的禮物關鍵詞吧！
Msg_DeliveryServiceClerk_CanceledInput	{[1403]}咦……卡比！\n你不打算輸入禮物關鍵詞了嗎？
Msg_DeliveryServiceClerk_ValidPresentCode1	已接受你的快遞委託！\n我們會將禮物配送至{color[ff4d2fff]}卡比小屋{color[000000ff]}。
Msg_DeliveryServiceClerk_PresentStockIsFull	{[1403]}咦……卡比！\n快遞禮物似乎{color[ff4d2fff]}已經送達{color[000000ff]}了。\n請回到卡比小屋領取吧。
Msg_DeliveryServiceClerk_GetFigure	卡比，能耽誤你一點時間嗎？{[0004]}{[1400]}為了感謝卡比經常使用瓦豆魯迪快遞，\n我準備了一個{color[ff4d2fff]}特別的模型{color[000000ff]}！\n請收下這個！
Msg_TownSupportTalk_SupportCoin_00	{[1901|03cd]}瓦豆魯迪們贈送給\n奮鬥中的卡比的{color[ff4d2fff]}{[0100|8000]}硬幣星{color[000000ff]}\n似乎{color[ff4d2fff]}已經送達了{color[000000ff]}！{[0004]}聽說只要卡比在冒險途中損失大量{[0100|8000]}硬幣星，\n他們就會將大約等於{color[ff4d2fff]}損失量一半{color[000000ff]}的{[0100|8000]}硬幣星\n送來給你！
Msg_FoodShopClerk_WelcomeFirst1	歡迎光臨。\n歡迎來到瓦豆魯迪們休憩身心的咖啡店——\n{color[ff4d2fff]}瓦豆魯迪咖啡店{color[000000ff]}！{[0004]}本店也販賣能夠\n{color[ff4d2fff]}回復體力{color[000000ff]}的食物。
Msg_FoodShopClerk_WelcomeFirst2	{[1800]}{[1401]}最棒的是！在本店所購買的食物都是\n能夠打包帶走的，也就是可以{color[ff4d2fff]}外帶{color[000000ff]}。{[0004]}{color[ff4d2fff]}只要隨身攜帶至關卡中{color[000000ff]}，\n遇到危機時也能夠進行回復。
Msg_FoodShopClerk_WelcomeFirst3	請注意食物{color[ff4d2fff]}一次最多{color[000000ff]}\n只能持有{color[ff4d2fff]}1個{color[000000ff]}。{[0004]}卡比，\n要不要現在就買點什麼試試呢？
Msg_FoodShopClerk_Welcome	歡迎光臨！\n請問決定好要點什麼了嗎？
Msg_FoodShopClerk_AskBuying	{color[ff4d2fff]}{[0315]}{color[000000ff]}的價格是{color[ff4d2fff]}{[0301|0000]}{color[000000ff]}枚{[0100|8000]}。
Msg_FoodShopClerk_Thanks	謝謝惠顧！\n歡迎再次光臨！
Msg_FoodShopClerk_PointStarShortage	不好意思……\n你的{[0100|8000]}硬幣星{color[ff4d2fff]}似乎不夠{color[000000ff]}呢。
Msg_FoodShopClerk_AskTakeOut	請問你要內用，還是外帶呢？
Msg_FoodShopClerk_ThanksTakeOut	謝謝惠顧！\n只要{color[ff4d2fff]}長按{[0702|0200]}{color[000000ff]}，\n隨時都能享用外帶的食物喔！
Msg_FoodShopClerk_ThanksForHere	謝謝惠顧，請慢慢享用。
Msg_FoodShopClerk_GiveFigure	{[1800]}{[1401]}卡比！\n我有個東西想送給你！{[0004]}{[1400]}因為卡比總是吃得津津有味的，\n為了表達對你的感謝，\n請讓我送你{color[ff4d2fff]}特別的模型{color[000000ff]}當作禮物！
Msg_MgameFoodClerk_FirstTalk	啊，卡比！{[0004]}這次瓦豆魯迪咖啡店開幕的同時\n也開始{color[ff4d2fff]}招募打工人員{color[000000ff]}了！{[0004]}卡比要不要也來當咖啡店的店員，\n試著工作看看呢？
Msg_MgameFoodClerk_Induction	生意興隆的瓦豆魯迪咖啡店\n目前正在招募打工人員喔！
Msg_MgameFoodClerk_Thanks	辛苦了！\n下次也要麻煩你了！
Msg_MgameFoodClerk_GiveFigure	{[1800]}{[1401]}卡比，可以打擾你一下嗎？{[0004]}{[1400]}因為你完美地完成了極限打工，\n為了感謝這麼勤奮的你……{[0004]}這個{color[ff4d2fff]}特別的模型{color[000000ff]}就送給你了！\n請收下吧！！
Msg_KnowledgeWaddleDee_WelcomeFirst1	你好，初次見面！\n我是{color[ff4d2fff]}知識淵博瓦豆魯迪{color[000000ff]}。
Msg_KnowledgeWaddleDee_WelcomeFirst2	我來到這個世界時發現了一本神奇的書！\n這本書上似乎記載著尚未獲得的{color[ff4d2fff]}設計圖所在地{color[000000ff]}……{[0004]}以及存在於{color[ff4d2fff]}世界各地{color[000000ff]}的\n各種{color[ff4d2fff]}分數和資訊{color[000000ff]}！{[0004]}卡比，我現在就告訴你這些資訊吧！
Msg_KnowledgeWaddleDee_WelcomeNormal	卡比，你好啊！\n我這就告訴你來自世界各地的各種資訊。
Msg_KnowledgeWaddleDee_WelcomeConnectError	卡比，你好啊！\n由於現在{color[ff4d2fff]}無法連接網路{color[000000ff]}，\n我就只告訴你目前已知的資訊吧。
Msg_KnowledgeWaddleDee_WelcomeNoAutoConnect	卡比，你好啊！\n只要連接網路，\n我能告訴你的資訊也會增加喔！
Msg_KnowledgeTopic_RemainingBlueprintStageFormer	{color[ff4d2fff]}{[030a]}{color[000000ff]}能力的設計圖\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}中\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}前半部{color[000000ff]}！
Msg_KnowledgeTopic_RemainingBlueprintStageLater	{color[ff4d2fff]}{[030a]}{color[000000ff]}能力的設計圖\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}中\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}後半部{color[000000ff]}！
Msg_KnowledgeTopic_RemainingBlueprintStageRoom	{color[ff4d2fff]}{[030a]}{color[000000ff]}能力的設計圖\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}中\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}小房間{color[000000ff]}！
Msg_KnowledgeTopic_RemainingBlueprintStageOther	{color[ff4d2fff]}{[030a]}{color[000000ff]}能力的設計圖\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}中的\n{color[ff4d2fff]}{[030f]}{color[000000ff]}！
Msg_KnowledgeTopic_BlueprintHintJunkNeedle	只要破壞掉爬上梯子後看到的\n{color[ff4d2fff]}炸彈方塊{color[000000ff]}似乎就能找到設計圖囉！
Msg_KnowledgeTopic_BlueprintHintTimeCrash	設計圖似乎就在牆壁上的{color[ff4d2fff]}凹洞裡{color[000000ff]}。\n綠色的硬幣就是記號！
Msg_KnowledgeTopic_BlueprintHintTwinDrill	設計圖似乎就藏在\n洞窟入口附近的{color[ff4d2fff]}木桶裡{color[000000ff]}！
Msg_KnowledgeTopic_BlueprintHintDeepSleep	設計圖似乎就在會上下移動的{color[ff4d2fff]}機械裡{color[000000ff]}。\n藍色的光就是記號！
Msg_KnowledgeTopic_BlueprintHintStormTornado	設計圖似乎就在\n{color[ff4d2fff]}雲霄飛車搭乘處{color[000000ff]}的附近！
Msg_KnowledgeTopic_RemainingBlueprintMetaKnight	透過獲得{color[ff4d2fff]}競技場的報酬{color[000000ff]}\n似乎就能得到設計圖！
Msg_KnowledgeTopic_RemainingBlueprintMorphoKnight	似乎錯過了隱藏在\n{color[ff4d2fff]}被遺忘的‧陸地{color[000000ff]}的設計圖了！
Msg_KnowledgeTopic_RemainingBlueprintDedede	{color[ff4d2fff]}小鎮裡的帝帝帝大王{color[000000ff]}\n似乎持有設計圖的樣子！
Msg_KnowledgeTopic_RemainingBlueprintPartiallyComplete	目前看來似乎沒有任何\n{color[ff4d2fff]}錯過的設計圖{color[000000ff]}呢。\n得知設計圖的位置後，我會再告訴你的！
Msg_KnowledgeTopic_RemainingBlueprintComplete	似乎已經{color[ff4d2fff]}獲得所有{color[000000ff]}設計圖了呢！\n真不愧是你，卡比！
Msg_KnowledgeWaddleDee_AskListenMore	要繼續聆聽更多資訊嗎？
Msg_KnowledgeWaddleDee_YourScoreNo1	\n\n{[1403]}{[1500|3a00]}{size[9600]}咦！？{size[6400]}{[0004]}我剛才告訴你的本週世界記錄……\n原來是{color[ff4d2fff]}你的記錄{color[000000ff]}啊！{[0004]}沒想到能親口傳達這個資訊給世界第一名……\n我感到非常榮幸！{[0004]}{color[ff4d2fff]}恭喜你達成\n本週的世界記錄！！{color[000000ff]}
Msg_KnowledgeTopic_UsedAbility	現在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n這是全世界最受歡迎的能力。
Msg_KnowledgeTopic_UsedAbilityPlusStageFormer	現在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n這是全世界最受歡迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的設計圖\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}——\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}前半部{color[000000ff]}！
Msg_KnowledgeTopic_UsedAbilityPlusStageLater	現在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n這是全世界最受歡迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的設計圖\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}——\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}後半部{color[000000ff]}！
Msg_KnowledgeTopic_UsedAbilityPlusStageRoom	現在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n這是全世界最受歡迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的設計圖\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}——\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}小房間{color[000000ff]}！
Msg_KnowledgeTopic_UsedAbilityPlusStageOther	現在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n這是全世界最受歡迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的設計圖\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}的\n{color[ff4d2fff]}{[030f]}{color[000000ff]}！
