AbilityList.msbt
$TownAbilityListAttackText	攻击力
Msg_BandanaWaddleDee_TalkGuide2P	如果你想以双人游玩的方式进行冒险，\n只要按下{[0411|9400]}暂停，随时都可以呼唤我哦。\n我会马上赶到的！
Msg_BandanaWaddleDee_TalkStory1_01	当时我突然被吸到空中，\n真是吓了一大跳呢～！{[0004]}其他的瓦豆鲁迪们似乎比我\n更早一步来到了这个世界……
Msg_BandanaWaddleDee_TalkStory1_02	在我急着想要追上他们的时候，\n刚好看到一辆粉红色的汽车。{[0004]}那果然是卡比你呢！{[0004]}不过你把那么大一辆汽车塞进嘴巴里，\n嘴巴不会受伤吗……？
Msg_BandanaWaddleDee_TalkStory2	瓦豆鲁迪们回到小镇后，\n这里变得热闹起来了呢。{[0004]}听说那些瓦豆鲁迪们\n都很感谢卡比你救了他们呢！{[0004]}我也已经准备好前去冒险了，\n只要按下{[0411|9400]}暂停，随时都可以呼唤我哦。
Msg_BandanaWaddleDee_TalkStory3	{[1402]}艾菲灵被帝帝帝大王抓走了，\n不知道他要不要紧……{[0004]}不能再这样干等下去了，\n我们一起去救艾菲灵吧！
Msg_BandanaWaddleDee_TalkStory4	能够再次见到艾菲灵真是太好了。{[0004]}多亏了艾菲灵那神奇的力量，\n才有办法将波普之星跟这个世界连接在一起……{[0004]}今后我们也可以一起无忧无虑地\n在这个世界继续冒险了！
Msg_BandanaWaddleDee_TalkAbilityRevolute	如果卡比使用了\n{color[ff4d2fff]}进化后{color[000000ff]}的复制能力，\n其实{color[ff4d2fff]}我也会跟着变强{color[000000ff]}哦。{[0004]}随着复制能力的进化阶段提升，\n我长枪的攻击力也会获得进一步提升。\n在双人游玩的时候，就能大展身手了！{[0004]}没想到我竟然能够和卡比一起变强，\n感觉就像自己也变成了英雄一样，真是开心。
Msg_TheaterClerk_WelcomeFirst	欢迎来到{color[ff4d2fff]}瓦豆鲁迪电影院{color[000000ff]}！\n这里可以观赏各种各样的{color[ff4d2fff]}影片{color[000000ff]}哦！{[0004]}顺带一提，之所以最先建造这座电影院，\n是因为我认为{color[ff4d2fff]}娱乐是非常重要的{color[000000ff]}！{[0004]}那么卡比，\n请问你想观赏哪一部影片呢？
Msg_TheaterClerk_Welcome	欢迎来到瓦豆鲁迪电影院！\n请问你想观赏哪一部影片呢？
Msg_TheaterClerk_WelcomeNewMovie	欢迎来到瓦豆鲁迪电影院！\n本次上映了{color[ff4d2fff]}新的影片{color[000000ff]}。{[0004]}那么，\n请问你想观赏哪一部影片呢？
Msg_TheaterClerk_Thanks	欢迎随时再度光临！
Msg_TheaterClerk_PlayAnnounce	你想观赏{color[ff4d2fff]}《{[0314]}》{color[000000ff]}对吧。\n影片马上就要开始了，\n请尽快{color[ff4d2fff]}入座{color[000000ff]}。
Msg_TheaterClerk_AskChangeMovie	要更改为其他影片吗？
Msg_TheaterClerk_CancelChangeMovie	请尽快{color[ff4d2fff]}入座{color[000000ff]}。\n{color[ff4d2fff]}《{[0314]}》{color[000000ff]}马上就要开始了。
Msg_TheaterClerk_WelcomeAgain	你觉得这部影片如何？\n接下来还想观赏哪一部影片呢？
Msg_TheaterClerk_GiveFigure	{[1800]}卡比，恭喜你！{[0004]}{[1400]}为了纪念所有影片成功上映，\n我想送给你一个{color[ff4d2fff]}特别的模型{color[000000ff]}！\n请收下这个！
Msg_TheaterClerk_AfterGiveFigure	卡比，\n请问你想观赏影片吗？
Msg_TownGuideAbilityRoomDemo_SupportTalk_00	{[1905|04cd]}听说能够选择复制能力的\n{color[ff4d2fff]}瓦豆鲁迪武器店{color[000000ff]}已经开张了哦！{[0004]}除了可以自由选择能力之外，\n据说还能学到让自己变强的秘诀哦。\n快进去看看吧！
Msg_TownGuideAbilityRoomDemo_SupportTalk_01	{[1909|00cd]}卡比，不是那边啦！快来这里～！
Msg_TownGuideNewAreaDemo_SupportTalk	{[1907|01cd]}卡比，如果你已经做好了万全的准备，\n那就搭乘{color[ff4d2fff]}传送之星{color[000000ff]}前往{color[ff4d2fff]}新区域{color[000000ff]}看看吧！
Msg_AbilityRoomClerk_WelcomeFirst	这里是{color[ff4d2fff]}瓦豆鲁迪武器店{color[000000ff]}，\n任何复制能力都能任君挑选！{[0004]}卡比{color[ff4d2fff]}至今发现的复制能力{color[000000ff]}\n本店均可提供。\n欢迎随时光临本店。{[0004]}{[1801]}{[1403]}除此之外，{[1802]}请听我说！\n现在还可以在这里{color[ff4d2fff]}进化{color[000000ff]}现有的能力，\n使能力变得更加强大哦！
Msg_AbilityRoomClerk_IntroduceBlueprint	最近发现的这张{color[ff4d2fff]}设计图{color[000000ff]}上\n记载了非常厉害的新技术，\n现在已经能够进化复制能力了！{[0004]}赶快来进化看看吧。\n我马上就去准备！
Msg_AbilityRoomClerk_HowToEvolve	{color[ff4d2fff]}进化{color[000000ff]}复制能力需要\n{[0100|8000]}{color[ff4d2fff]}硬币星{color[000000ff]}和{[0101|8100]}{color[ff4d2fff]}稀有石{color[000000ff]}。{[0004]}{[0101|8100]}稀有石似乎能在世界地图上的\n{color[ff4d2fff]}宝藏之路{color[000000ff]}中找到哦。\n记得试着去挑战一下吧！{[0004]}不过这次我已经先准备好了，\n请直接按下{color[ff4d2fff]}“{[0400|0000]}进化”{color[000000ff]}来完成进化吧！
Msg_AbilityRoomClerk_RecommendEvolve	请走到想要{color[ff4d2fff]}进化{color[000000ff]}的能力前，\n按下{color[ff4d2fff]}{[0400|0000]}{color[000000ff]}查看吧。
Msg_AbilityRoomClerk_RecommendEvolveDoorIn	卡比！你先别走啊！\n你是不是很在意{color[ff4d2fff]}进化{color[000000ff]}？\n现在马上就来试试看吧！{[0004]}请走到想要进化的能力前，\n按下{color[ff4d2fff]}{[0400|0000]}{color[000000ff]}查看吧。
Msg_AbilityRoomClerk_FirstEvolveEnd	进化完成，{[1401]}非常成功呢！\n{[030a]}能力已经{color[ff4d2fff]}进化{color[000000ff]}成\n{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}了！{[0004]}如果手上有{color[ff4d2fff]}新的设计图{color[000000ff]}就能再次进化哦。\n要是发现了设计图，\n请一定要光临本店！
Msg_AbilityRoomClerk_RecommendSelect	卡比，你知道吗？\n如果已经设定好了复制能力，\n只要按下{color[ff4d2fff]}{[0701|0100]}{color[000000ff]}就能直接{color[ff4d2fff]}吸入该能力{color[000000ff]}哦！
Msg_AbilityRoomClerk_RecommendSelectWithAbility	卡比，你知道吗？\n如果已经设定好了复制能力，\n只要按下{color[ff4d2fff]}{[0701|0100]}{color[000000ff]}就能直接{color[ff4d2fff]}吸入该能力{color[000000ff]}哦！{[0004]}顺带一提，按下{color[ff4d2fff]}{[0703|0300]}{color[000000ff]}则可以舍弃能力。
Msg_AbilityRoomClerk_RecommendSelectAfter	只要预先把能力{color[ff4d2fff]}设定{color[000000ff]}好，\n冒险途中获得的能力也会\n{color[ff4d2fff]}替换成在这里设定好的能力{color[000000ff]}哦。
Msg_AbilityRoomClerk_IntroduceKnowledgeWaddleDee	你是不是正在为寻找设计图而烦恼呢？\n听说只要询问{color[ff4d2fff]}知识渊博瓦豆鲁迪{color[000000ff]}，\n他就会告诉你设计图的所在地哦！
Msg_AbilityRoomClerk_CopyAbilityTips_Bomb	炸弹的话，通过{color[ff4d2fff]}长按{[0701|0100]}{color[000000ff]}，\n能够在准确瞄准后投掷炸弹哦。
Msg_AbilityRoomClerk_CopyAbilityTips_ChainBomb	连锁炸弹在{color[ff4d2fff]}炸弹彼此接近{color[000000ff]}时\n会产生连锁效果并提高攻击力哦。{[0004]}只要将许多炸弹相连使其产生连锁，\n攻击力也会不断提升！
Msg_AbilityRoomClerk_CopyAbilityTips_SearchBomb	自动追踪炸弹在{color[ff4d2fff]}炸弹彼此接近{color[000000ff]}时\n会产生连锁效果并提高攻击力哦。{[0004]}只要将许多炸弹相连使其产生连锁，\n攻击力也会不断提升！
Msg_AbilityRoomClerk_CopyAbilityTips_Crash	爆裂可通过{color[ff4d2fff]}长按{[0701|0100]}\n{color[000000ff]}来累积威力哦。{[0004]}累积威力达到上限的一记攻击\n拥有非常高的攻击力！
Msg_AbilityRoomClerk_CopyAbilityTips_TimeCrash	如果在时间爆裂发动中{color[ff4d2fff]}打倒敌人{color[000000ff]}，\n能够暂停的时间也会更长哦！
Msg_AbilityRoomClerk_CopyAbilityTips_Cutter	在丢出弯刀后{color[ff4d2fff]}长按{[0701|0100]}{color[000000ff]}，\n能够使刀刃在空中定格并且{color[ff4d2fff]}蓄力{color[000000ff]}。{[0004]}蓄力后{color[ff4d2fff]}放开{[0701|0100]}{color[000000ff]}，\n即可施展强力的{color[ff4d2fff]}返回攻击{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_MetalCutter	全金属弯刀的刀刃{color[ff4d2fff]}能够通过墙壁进行反弹{color[000000ff]}。\n巧妙利用墙壁反弹，刀刃就能够飞得更远！
Msg_AbilityRoomClerk_CopyAbilityTips_Drill	钻击在{color[ff4d2fff]}长按{[0701|0100]}{color[000000ff]}潜入地面时，\n几乎所有攻击都无法命中。{[0004]}只要在潜入地面时{color[ff4d2fff]}如画圆一般{color[000000ff]}圈出圆形，\n就能够施展出强力的{color[ff4d2fff]}地面咚{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_Fire	烈火在跑动时{color[ff4d2fff]}跳跃{color[000000ff]}并按下{color[ff4d2fff]}{[0701|0100]}{color[000000ff]}，\n即可使用{color[ff4d2fff]}燃烧攻击{color[000000ff]}！{[0004]}顺带一提，烈火不但可以\n点燃大炮的导火线，{[0004]}只要在进入大炮后{color[ff4d2fff]}按下{[0409|6000]}{color[000000ff]}或{color[ff4d2fff]}{[040a|6100]}蹲下{color[000000ff]}，\n导火线上的火焰燃烧速度就会变快哦！
Msg_AbilityRoomClerk_CopyAbilityTips_DragonFire	龙之烈火的燃烧攻击通过\n{color[ff4d2fff]}长按{[0701|0100]}{color[000000ff]}可延长飞行的距离。
Msg_AbilityRoomClerk_CopyAbilityTips_Hammer	锤子可通过{color[ff4d2fff]}长按{[0701|0100]}{color[000000ff]}来累积威力。{[0004]}在威力累积到上限时所释放的{color[ff4d2fff]}鬼杀火焰锤{color[000000ff]}，\n拥有非常高的攻击力！{[0004]}顺带一提，\n使用锤子还可以敲击桩和钉子哦！
Msg_AbilityRoomClerk_CopyAbilityTips_Ice	冰冻的吐息能够冻结敌人！{[0004]}即使面对魔王这般巨大的敌人，\n也能够使{color[ff4d2fff]}对方停止动作{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_Needle	针在卷起{color[ff4d2fff]}敌人或方块{color[000000ff]}后，\n即可维持更长的滚动时间。{[0004]}{color[ff4d2fff]}放开{[0701|0100]}{color[000000ff]}将会向周围射出先前卷起的物品，\n产生相当强力的攻击！{[0004]}顺带一提，即使强风来袭，\n针也可以滚动前进哦！
Msg_AbilityRoomClerk_CopyAbilityTips_Ranger	探巡队通过{color[ff4d2fff]}长按{[0701|0100]}{color[000000ff]}蓄力，\n即可释放出贯穿敌人的强力一击！{[0004]}顺带一提，只有使用探巡队\n才能击落飘浮在空中的目标开关哦！
Msg_AbilityRoomClerk_CopyAbilityTips_Sleep	在变成睡觉时，只要{color[ff4d2fff]}快速摇晃{[041e|f100]}{color[000000ff]}\n就能够更快醒过来哦。
Msg_AbilityRoomClerk_CopyAbilityTips_DeepSleep	深层睡觉，即{color[ff4d2fff]}按下{[0701|0100]}{color[000000ff]}\n就会在床上熟睡，并且可以完全回复！{[0004]}熟睡一觉之后还能够得到\n各种{color[ff4d2fff]}威力提升效果{color[000000ff]}哦！
Msg_AbilityRoomClerk_CopyAbilityTips_Sword	利剑通过{color[ff4d2fff]}长按{[0701|0100]}{color[000000ff]}累积力量\n即可释放出旋转劈砍的{color[ff4d2fff]}回旋斩{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_GigantSword	庞大利剑通过按下{color[ff4d2fff]}{[0409|6000]}/{[040a|6100]}{color[000000ff]}即可架盾防御。\n还可以一边维持防御一边走动哦！
Msg_AbilityRoomClerk_CopyAbilityTips_MetaSword	魅塔骑士利剑在{color[ff4d2fff]}体力全满{color[000000ff]}的状态下挥剑\n将会释放出{color[ff4d2fff]}新月射击{color[000000ff]}。{[0004]}顺带一提，\n当拥有2条体力条时，\n在第1条体力条耗尽前都可以释放新月射击哦！{[0004]}通过按下{color[ff4d2fff]}{[0409|6000]}/{[040a|6100]}+{[0700|0000]}{color[000000ff]}即可施展{color[ff4d2fff]}利剑滑垒{color[000000ff]}。\n施展出利剑滑垒后通过{color[ff4d2fff]}{[0700|0000]}～连打{[0701|0100]}{color[000000ff]}，\n还能够施展大招式——{color[ff4d2fff]}上霸者剑{color[000000ff]}！
Msg_AbilityRoomClerk_CopyAbilityTips_MorphoSword	冥蝶骑士利剑通过{color[ff4d2fff]}长按{[0701|0100]}{color[000000ff]}\n累积威力达到上限后，利剑就会变大。{[0004]}巨大的利剑攻击范围甚广，\n攻击力也相当高，非常强大哦！
Msg_AbilityRoomClerk_CopyAbilityTips_Tornado	龙卷风可以将受到攻击的敌人\n或是星星{color[ff4d2fff]}卷入其中{color[000000ff]}！{[0004]}在发动中按下{[0701|0100]}能够{color[ff4d2fff]}吹飞并摔落{color[000000ff]}先前卷入的物品，\n是相当强力的攻击哦！
Msg_AbilityRoomClerk_ReceiveSingleBlueprint	哦哦！\n如果有那张{color[ff4d2fff]}设计图{color[000000ff]}，\n似乎就能制作{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}了！
Msg_AbilityRoomClerk_ReceiveMultiBlueprint	哦，真不得了！\n你竟然有这么多张新的{color[ff4d2fff]}设计图{color[000000ff]}！
Msg_AbilityRoomClerk_PrepareNewCopyAbilitySub	那么，\n我马上就为进化做准备！
Msg_AbilityRoomClerk_NewCopyAbility	新增了\n{color[ff4d2fff]}{[030a]}{color[000000ff]}能力哦！
Msg_AbilityRoomClerk_NewCopyAbilitySubKind	久等了！\n{[030a]}能力已经可以进化为\n{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}能力了！
Msg_AbilityRoomClerk_UnlockStrengthening	{[1800]}卡比，请听我说！\n我发现了一种很厉害的技术，\n可以使复制能力的{color[ff4d2fff]}威力再度提升{color[000000ff]}！{[0004]}{[1403]}这种技术就叫做{color[ff4d2fff]}能力强化{color[000000ff]}！\n似乎可以使用{[0101|8100]}稀有石\n来{color[ff4d2fff]}强化攻击力{color[000000ff]}！{[0004]}我已经做好准备了，\n你随时都可以进行{color[ff4d2fff]}强化{color[000000ff]}！\n请选择喜欢的能力来试试看吧！
Msg_AbilityRoomClerk_GiveFigure	{[1403]}{[1800]}卡比！\n难道你已经将{color[ff4d2fff]}所有{color[000000ff]}复制能力\n都{color[ff4d2fff]}进化{color[000000ff]}了吗！？{[0004]}{[1401]}好厉害，太厉害了！\n对我这样一介技师而言，\n能够见证所有的进化{color[ff4d2fff]}实在是太荣幸了{color[000000ff]}！{[0004]}这是我的一点心意。\n请收下这个{color[ff4d2fff]}特别的模型{color[000000ff]}吧！
Msg_DeliveryServiceClerk_WelcomeFirst1	这里是将{color[ff4d2fff]}快递礼物{color[000000ff]}\n快递到家的{color[ff4d2fff]}瓦豆鲁迪快递{color[000000ff]}！{[0004]}只要在这里输入你在各个地方\n所发现的{color[ff4d2fff]}礼物关键词{color[000000ff]}，\n我们就会将礼物配送到卡比小屋哦！{[0004]}{[1403]}对了对了，在这座小镇中，\n也藏着礼物关键词哦。\n请一定要试着去找找看哦！{[0004]}{[1800]}{[1401]}另外！只要连接了互联网\n就能使用{color[ff4d2fff]}公开在互联网上{color[000000ff]}的\n各种礼物关键词哦。
Msg_DeliveryServiceClerk_WelcomeFirst2	作为示范，我已经在{color[ff4d2fff]}对面房子的墙壁{color[000000ff]}上\n藏好了礼物关键词！{[0004]}请你试着仔～细地{color[ff4d2fff]}调查{color[000000ff]}一下\n那栋房子的墙壁四周吧。
Msg_DeliveryServiceClerk_WelcomeFirst3	在小镇中找到的礼物关键词，\n就算没有连接互联网\n也可以使用哦。{[0004]}事不宜迟，要不要马上在瓦豆鲁迪快递\n使用礼物关键词呢？
Msg_DeliveryServiceClerk_Welcome	这里是输入{color[ff4d2fff]}礼物关键词{color[000000ff]}\n就能获得礼物的瓦豆鲁迪快递！{[0004]}只要连接了互联网，\n就能使用{color[ff4d2fff]}公开在互联网上{color[000000ff]}的\n礼物关键词哦。{[0004]}要在瓦豆鲁迪快递\n使用礼物关键词吗？
Msg_DeliveryServiceClerk_Goodbye	谢谢惠顾！\n期待你再次使用本服务。
Msg_DeliveryServiceClerk_AskUseWithoutInternet	要在未连接互联网的状态下\n直接使用礼物关键词吗？
Msg_DeliveryServiceClerk_NotExistPresentBox	目前似乎{color[ff4d2fff]}没有{color[000000ff]}能够配送的{color[ff4d2fff]}快递礼物{color[000000ff]}。\n期待你再次使用本服务。
Msg_DeliveryServiceClerk_PromptInput	那么，就麻烦你输入\n礼物关键词了。
Msg_DeliveryServiceClerk_InvalidPresentCode	真是不好意思！\n礼物关键词的内容似乎{color[ff4d2fff]}有误{color[000000ff]}～\n请输入正确的礼物关键词。
Msg_DeliveryServiceClerk_UsedPresentCode	这是之前{color[ff4d2fff]}使用过的{color[000000ff]}\n礼物关键词。\n请输入其他的礼物关键词吧！
Msg_DeliveryServiceClerk_CanceledInput	{[1403]}咦……卡比！\n你不打算输入礼物关键词了吗？
Msg_DeliveryServiceClerk_ValidPresentCode1	已接受你的快递委托！\n我们会将礼物配送至{color[ff4d2fff]}卡比小屋{color[000000ff]}。
Msg_DeliveryServiceClerk_PresentStockIsFull	{[1403]}咦……卡比！\n快递礼物似乎{color[ff4d2fff]}已经送达{color[000000ff]}了。\n请回到卡比小屋领取吧。
Msg_DeliveryServiceClerk_GetFigure	卡比，能耽误你一点时间吗？{[0004]}{[1400]}为感谢卡比经常使用瓦豆鲁迪快递，\n我准备了一个{color[ff4d2fff]}特别的模型{color[000000ff]}！\n请收下这个！
Msg_TownSupportTalk_SupportCoin_00	{[1901|03cd]}瓦豆鲁迪们为正在奋斗的卡比\n赠送的{color[ff4d2fff]}{[0100|8000]}硬币星{color[000000ff]}\n似乎{color[ff4d2fff]}已经送达了{color[000000ff]}！{[0004]}听说如果卡比在冒险途中损失了大量{[0100|8000]}硬币星，\n他们就会将大约为{color[ff4d2fff]}损失量一半{color[000000ff]}的{[0100|8000]}硬币星\n送过来！
Msg_FoodShopClerk_WelcomeFirst1	欢迎光临。\n欢迎来到瓦豆鲁迪们放松身心的咖啡店——\n{color[ff4d2fff]}瓦豆鲁迪咖啡店{color[000000ff]}！{[0004]}本店也贩卖能够\n{color[ff4d2fff]}回复体力{color[000000ff]}的食物。
Msg_FoodShopClerk_WelcomeFirst2	{[1800]}{[1401]}最棒的是！本店所贩卖的食物都是\n能够打包带走的，也就是说可以{color[ff4d2fff]}外带{color[000000ff]}。{[0004]}{color[ff4d2fff]}只要携带至关卡中{color[000000ff]}，\n遇到危机便可进行回复。
Msg_FoodShopClerk_WelcomeFirst3	请注意，一次所能携带的食物\n{color[ff4d2fff]}最多只有1个{color[000000ff]}。{[0004]}卡比，\n要不要现在就买点什么试试呢？
Msg_FoodShopClerk_Welcome	欢迎光临！\n请问决定好要点什么了吗？
Msg_FoodShopClerk_AskBuying	{color[ff4d2fff]}{[0315]}{color[000000ff]}需要{color[ff4d2fff]}{[0301|0000]}{color[000000ff]}枚{[0100|8000]}。
Msg_FoodShopClerk_Thanks	谢谢惠顾！\n欢迎再次光临！
Msg_FoodShopClerk_PointStarShortage	不好意思……\n你的{[0100|8000]}硬币星{color[ff4d2fff]}似乎不够{color[000000ff]}呢。
Msg_FoodShopClerk_AskTakeOut	请问你要堂食还是外带呢？
Msg_FoodShopClerk_ThanksTakeOut	谢谢惠顾！\n只要{color[ff4d2fff]}长按{[0702|0200]}{color[000000ff]}，\n随时都能享用外带的食物哦！
Msg_FoodShopClerk_ThanksForHere	谢谢惠顾，请慢慢享用。
Msg_FoodShopClerk_GiveFigure	{[1800]}{[1401]}卡比！\n我有个东西想送给你！{[0004]}{[1400]}因为卡比总是吃得津津有味，\n为了表达对你的感谢，\n请让我送你{color[ff4d2fff]}特别的模型{color[000000ff]}当作礼物！
Msg_MgameFoodClerk_FirstTalk	啊，卡比！{[0004]}这次瓦豆鲁迪咖啡店在开店的同时\n也开始{color[ff4d2fff]}招募打工人员{color[000000ff]}了！{[0004]}卡比要不要也来\n做做咖啡店的店员啊？
Msg_MgameFoodClerk_Induction	生意兴隆的瓦豆鲁迪咖啡店\n目前正在招募打工人员哦！
Msg_MgameFoodClerk_Thanks	辛苦了！\n下次也要麻烦你了！
Msg_MgameFoodClerk_GiveFigure	{[1800]}{[1401]}卡比，可以打扰你一下吗？{[0004]}{[1400]}因为你完美地完成了极限打工，\n为了感谢如此勤奋的卡比……{[0004]}这个{color[ff4d2fff]}特别的模型{color[000000ff]}就送给你了！\n请收下吧！！
Msg_KnowledgeWaddleDee_WelcomeFirst1	你好，初次见面！\n我是{color[ff4d2fff]}知识渊博瓦豆鲁迪{color[000000ff]}。
Msg_KnowledgeWaddleDee_WelcomeFirst2	我来到这个世界时发现了一本神奇的书！\n这本书上似乎记载着尚未获得的{color[ff4d2fff]}设计图所在地{color[000000ff]}……{[0004]}以及存在于{color[ff4d2fff]}世界各地{color[000000ff]}的\n各种{color[ff4d2fff]}分数和信息{color[000000ff]}！{[0004]}卡比，我现在就告诉你这些信息吧！
Msg_KnowledgeWaddleDee_WelcomeNormal	卡比，你好啊！\n我这就告诉你来自世界各地的各种信息。
Msg_KnowledgeWaddleDee_WelcomeConnectError	卡比，你好啊！\n由于现在{color[ff4d2fff]}无法连接至互联网{color[000000ff]}，\n我就只把目前已知的信息告诉你吧。
Msg_KnowledgeWaddleDee_WelcomeNoAutoConnect	卡比，你好啊！\n只要连接互联网，\n我能告诉你的信息也会增加哦！
Msg_KnowledgeTopic_RemainingBlueprintStageFormer	{color[ff4d2fff]}{[030a]}{color[000000ff]}能力的设计图\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}中的\n{color[ff4d2fff]}{[030f]}前半部{color[000000ff]}！
Msg_KnowledgeTopic_RemainingBlueprintStageLater	{color[ff4d2fff]}{[030a]}{color[000000ff]}能力的设计图\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}中的\n{color[ff4d2fff]}{[030f]}后半部{color[000000ff]}！
Msg_KnowledgeTopic_RemainingBlueprintStageRoom	{color[ff4d2fff]}{[030a]}{color[000000ff]}能力的设计图\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}中\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}小房间{color[000000ff]}！
Msg_KnowledgeTopic_RemainingBlueprintStageOther	{color[ff4d2fff]}{[030a]}{color[000000ff]}能力的设计图\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}中的\n{color[ff4d2fff]}{[030f]}{color[000000ff]}！
Msg_KnowledgeTopic_BlueprintHintJunkNeedle	只要破坏掉爬上梯子后看到的\n{color[ff4d2fff]}炸弹方块{color[000000ff]}似乎就能找到设计图哦！
Msg_KnowledgeTopic_BlueprintHintTimeCrash	设计图似乎就在墙壁上的{color[ff4d2fff]}凹洞里{color[000000ff]}。\n绿色的硬币就是记号！
Msg_KnowledgeTopic_BlueprintHintTwinDrill	设计图似乎就藏在\n洞窟入口附近的{color[ff4d2fff]}木桶里{color[000000ff]}！
Msg_KnowledgeTopic_BlueprintHintDeepSleep	设计图似乎就在会上下移动的{color[ff4d2fff]}机械里{color[000000ff]}。\n蓝色的光就是记号！
Msg_KnowledgeTopic_BlueprintHintStormTornado	设计图似乎就在\n{color[ff4d2fff]}云霄飞车搭乘处{color[000000ff]}附近！
Msg_KnowledgeTopic_RemainingBlueprintMetaKnight	设计图似乎就在\n{color[ff4d2fff]}竞技场报酬{color[000000ff]}中！
Msg_KnowledgeTopic_RemainingBlueprintMorphoKnight	似乎漏拿\n{color[ff4d2fff]}被遗忘的·陆地{color[000000ff]}中的设计图了！
Msg_KnowledgeTopic_RemainingBlueprintDedede	{color[ff4d2fff]}小镇里的帝帝帝大王{color[000000ff]}\n好像持有设计图呢！
Msg_KnowledgeTopic_RemainingBlueprintPartiallyComplete	目前似乎没有任何\n{color[ff4d2fff]}漏拿的设计图{color[000000ff]}呢。\n得知设计图的位置后，我会再告诉你的！
Msg_KnowledgeTopic_RemainingBlueprintComplete	似乎已经{color[ff4d2fff]}获得所有{color[000000ff]}设计图了呢！\n真不愧是你，卡比！
Msg_KnowledgeWaddleDee_AskListenMore	要继续聆听更多信息吗？
Msg_KnowledgeWaddleDee_YourScoreNo1	\n\n{[1403]}{[1500|3a00]}{size[9600]}咦！？{size[6400]}{[0004]}我刚刚告诉你的本周世界纪录……\n原来是{color[ff4d2fff]}你的纪录{color[000000ff]}啊！{[0004]}没想到我居然能亲口传达这个信息给世界第一……\n我感到非常荣幸！{[0004]}{color[ff4d2fff]}恭喜你达成\n本周的世界纪录！！{color[000000ff]}
Msg_KnowledgeTopic_UsedAbility	现在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n这是全世界最受欢迎的能力。
Msg_KnowledgeTopic_UsedAbilityPlusStageFormer	现在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n这是全世界最受欢迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的设计图\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}——\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}前半部{color[000000ff]}！
Msg_KnowledgeTopic_UsedAbilityPlusStageLater	现在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n这是全世界最受欢迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的设计图\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}——\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}后半部{color[000000ff]}！
Msg_KnowledgeTopic_UsedAbilityPlusStageRoom	现在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n这是全世界最受欢迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的设计图\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}——\n{color[ff4d2fff]}{[030f]}{color[000000ff]}的{color[ff4d2fff]}小房间{color[000000ff]}！
Msg_KnowledgeTopic_UsedAbilityPlusStageOther	现在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n这是全世界最受欢迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的设计图\n似乎就藏在{color[ff4d2fff]}{[030e]}{color[000000ff]}的\n{color[ff4d2fff]}{[030f]}{color[000000ff]}！
Msg_KnowledgeTopic_UsedAbilityPlusMetaKnight	现在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n这是全世界最受欢迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的设计图\n似乎可以从{color[ff4d2fff]}竞技场报酬{color[000000ff]}中获得！
Msg_KnowledgeTopic_UsedAbilityPlusMorphoKnight	现在流行的是{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}！\n这是全世界最受欢迎的能力。{[0004]}嗯……我看看，{color[ff4d2fff]}{[1400]}{[0309|0000]}{color[000000ff]}的设计图\n似乎就在{color[ff4d2fff]}被遗忘的·陆地{color[000000ff]}！
