AbilityList.msbt
$TownAbilityListAttackText	こうげき{r2[りょく]}力{/r2}
MetaknightEX	あの{r2[ぜっとう]}絶島{/r2}では {r2[であ]}出会{/r2}わなかった、{r2[ここう]}孤高{/r2}の{r2[しねんたい]}思念体{/r2}。\n{r2[しんりゃくしゅ]}侵略種{/r2}は デデデ{r2[だいおう]}大王{/r2}のように テレパシーで かれも\n{r2[て]}手{/r2}ごまに しようとするも、おのが{r2[せいしん]}精神{/r2}との{r2[たたか]}戦{/r2}いに\nうち{r2[が]}勝{/r2}つ かれを のがしてしまう。しかし その{r2[とき]}時{/r2}の\nイメージにより、この{r2[しねんたい]}思念体{/r2}は {r2[う]}生{/r2}み{r2[だ]}出{/r2}されていた！
MaskDededeEX	かつて レオンガルフから、{r2[しねん]}思念{/r2}によどむ かめんを\nさずかり、ラボ・ディスカバールへの しんにゅう{r2[しゃ]}者{/r2}を\nはばむ にんむに ついていた ワイルド デデデ。\nそのイメージから {r2[う]}生{/r2}み{r2[だ]}出{/r2}された {r2[ぼう]}忘{/r2}きゃくのライバルが\nこの とてつもない{r2[つよ]}強{/r2}さの、ワイルド デデデ・{r2[げん]}幻{/r2} だ！
BossLionAndOrigin	ソウルとなった ID-F86は、ドリーミー・フォルガの\nはてから {r2[はん]}反{/r2}げきすべく、{r2[しねん]}思念{/r2}のビーストたちを\n{r2[う]}生{/r2}み{r2[だ]}出{/r2}し、{r2[じしん]}自身{/r2}は レオンガルフの{r2[からだ]}体{/r2}に とりつく。\nただ、かれの {r2[なか]}中{/r2}に{r2[のこ]}残{/r2}るソウルは ていこうを{r2[つづ]}続{/r2}け、\nカービィの こうげきにより {r2[しょうたい]}正体{/r2}が あらわになった。
MorphoKnight	{r2[けっせん]}決戦{/r2}の{r2[ま]}間{/r2}に {r2[しんぱん]}審判{/r2}を{r2[くだ]}下{/r2}すという {r2[いっとう]}一頭{/r2}の{r2[ゆめみどり]}夢見鳥{/r2}は、\n{r2[いざな]}誘{/r2}われるように {r2[わす]}忘{/r2}れられし {r2[ぜっとう]}絶島{/r2}へと{r2[なが]}流{/r2}れつく。\nそこで {r2[もっと]}最{/r2}も{r2[つよ]}強{/r2}い ソウルをすすり、{r2[あか]}紅{/r2}き{r2[きし]}騎士{/r2}となって\n{r2[お]}降{/r2}り{r2[た]}立{/r2}つ。 ついに、この{r2[しんせかい]}新世界{/r2}での {r2[さいきょう]}最凶{/r2}の{r2[たたか]}闘{/r2}いが…\n{r2[ばんこく]}晩刻{/r2}を むかえる！
BossChimeraSoul	{r2[ゆめみどり]}夢見鳥{/r2}と {r2[げんせいしゅ]}原生種{/r2}たちの {r2[あまた]}数多{/r2}のソウルが {r2[ま]}混{/r2}ざり、\n{r2[カオス]}魂沌{/r2}の{r2[しんしゅ]}新種{/r2}が{r2[う]}生{/r2}まれた。だが その{r2[ぼうそう]}暴走{/r2}する{r2[カオス]}魂沌{/r2}も\nついには やぶれ、カービィのキセキの{r2[ちから]}力{/r2}に よって\n{r2[ちい]}小{/r2}さな{r2[ひかり]}光{/r2}へと {r2[う]}生{/r2}まれ{r2[か]}変{/r2}わる。 {r2[ひかり]}光{/r2}は {r2[き]}消{/r2}えることなく\nエフィリンの{r2[もと]}元{/r2}へと だきとめられ、そして…\n１つに、なった。
$Multiplication	×
$FigureList1SText	1
$FigureList2SText	2
$FigureList3SText	3
$FigureList4SText	4
$FigureListCloseInfoText	とじる
$FigureListSkipText	Vol.スキップ
$FigureListSlashText	/
$FigureListTabTitleText	ガチャルポンコレクション
$FigureListVolSText	Vol.
$View	ながめる
DecorateOn	おうちにかざる
DecorateOff	かたづける
$Rotate	かいてん
$Zoom	ズーム
$TotalCount	トータルフィギュア{r2[すう]}数{/r2}
GameComplete.msbt
History.msbt
$HistoryCloseInfoText	もどる
ProductNameLatest1	{r2[ほし]}星{/r2}のカービィ　スターアライズ
ProductNameLatest2	カービィファイターズ2
ProductNameLatest3	スーパーカービィハンターズ
ProductNameOther1	{r2[けいと]}毛糸{/r2}のカービィ プラス
ProductNameOther2	カービィ バトルデラックス！
ProductNameOther3	カービィのすいこみ{r2[だいさくせん]}大作戦{/r2}
ProductNameOther4	みんなで！カービィハンターズＺ
ProductNameOther5	{r2[ほし]}星{/r2}のカービィ　ロボボプラネット
ProductNameOther6	タッチ！カービィ　スーパーレインボー
ProductNameOther7	カービィファイターズＺ
ProductNameOther8	デデデ{r2[だいおう]}大王{/r2}のデデデでデンＺ
ProductNameOther9	{r2[ほし]}星{/r2}のカービィ　トリプルデラックス
$HistoryTitleText	かこのぼうけん
PlatformName1	Nintendo Switch
PlatformName2	ニンテンドー3DS
PlatformName3	Wii U
ProductCommentLatest1	フレンズハートで{r2[てき]}敵{/r2}を{r2[なかま]}仲間{/r2}に！ {r2[なかまどうし]}仲間同士{/r2}の{r2[のうりょく]}能力{/r2}を\nかけあわせて{r2[く]}繰{/r2}り{r2[だ]}出{/r2}す「フレンズ{r2[のうりょく]}能力{/r2}」を{r2[つか]}使{/r2}い、\n{r2[せかい]}世界{/r2}を{r2[すく]}救{/r2}うために{r2[たたか]}戦{/r2}います。{r2[ジョイコン]}Joy-Con{/r2}をおすそわけして、\n{r2[さいだい]}最大{/r2}4{r2[にん]}人{/r2}まで{r2[いっしょ]}一緒{/r2}に{r2[あそ]}遊{/r2}べます。
ProductCommentLatest2	コピー{r2[のうりょく]}能力{/r2}を{r2[えら]}選{/r2}んで{r2[さいだい]}最大{/r2}4人で{r2[たたか]}戦{/r2}うアクションゲームです。\nデデデ{r2[だいおう]}大王{/r2}とメタナイトのタッグに{r2[いど]}挑{/r2}む\nストーリーモードも{r2[あそ]}遊{/r2}べます。オンラインで、\n{r2[せかいじゅう]}世界中{/r2}のプレイヤーや{r2[とも]}友{/r2}だちとも{r2[たいせんかのう]}対戦可能{/r2}です。
ProductCommentLatest3	4つのジョブのカービィ{r2[たち]}達{/r2}が、{r2[きょうりょく]}協力{/r2}して{r2[さまざま]}様々{/r2}な\nクエストに{r2[いど]}挑{/r2}む、{r2[きほんむりょう]}基本無料{/r2}のアクションゲームです。\nひとりで{r2[あそ]}遊{/r2}べることはもちろん、オンラインプレイや、\nおすそわけプレイなど、{r2[てがる]}手軽{/r2}に{r2[ふくすうにん]}複数人{/r2}でも{r2[あそ]}遊{/r2}べます。
ProductCommentOther1	{r2[けいと]}毛糸{/r2}の{r2[すがた]}姿{/r2}のカービィが{r2[けいと]}毛糸{/r2}ならではの\n{r2[たさい]}多彩{/r2}な{r2[わざ]}技{/r2}を{r2[つか]}使{/r2}って{r2[ぼうけん]}冒険{/r2}するアクションゲームです。\nカービィは{r2[さまざま]}様々{/r2}な{r2[すがた]}姿{/r2}に{r2[へんしん]}変身{/r2}する「メタモル{r2[のうりょく]}能力{/r2}」の{r2[ほか]}他{/r2}に、\n{r2[あたら]}新{/r2}しく「さいほう{r2[のうりょく]}能力{/r2}」が{r2[つか]}使{/r2}えるようになりました。
ProductCommentOther2	カービィが{r2[おおぜい]}大勢{/r2}のライバルたちと{r2[たさい]}多彩{/r2}なバトルを\n{r2[く]}繰{/r2}り{r2[ひろ]}広{/r2}げる{r2[たいせん]}対戦{/r2}アクションゲームです。\n{r2[ひとり]}1人{/r2}プレイ{r2[いがい]}以外{/r2}にもインターネット・ローカル{r2[つうしん]}通信{/r2}によって\n{r2[さいだい]}最大{/r2}4{r2[にん]}人{/r2}での{r2[きそ]}競{/r2}い{r2[あ]}合{/r2}いを{r2[たの]}楽{/r2}しむことができます。
ProductCommentOther3	『{r2[ほし]}星{/r2}のカービィ ロボボプラネット』の\nサブゲームが、スクロール{r2[がた]}型{/r2}3Dアクションゲームに\n{r2[う]}生{/r2}まれ{r2[か]}変{/r2}わりました。3D{r2[くうかん]}空間{/r2}を{r2[か]}駆{/r2}け{r2[まわ]}回{/r2}り、\nすってはいてで{r2[てき]}敵{/r2}を{r2[たお]}倒{/r2}しハイスコアを{r2[めざ]}目指{/r2}します。
ProductCommentOther4	『{r2[ほし]}星{/r2}のカービィ　ロボボプラネット』の\nサブゲームに、{r2[あら]}新{/r2}たなクエスト、80{r2[しゅ]}種{/r2}を{r2[こ]}超{/r2}える「そうび」、\n{r2[きょてん]}拠点{/r2}となる「まち」など{r2[しんようそ]}新要素{/r2}を{r2[ついか]}追加{/r2}。\n4{r2[にん]}人{/r2}で{r2[きょうりょく]}協力{/r2}プレイも{r2[たの]}楽{/r2}しめる、{r2[きほんむりょう]}基本無料{/r2}のゲームです。
ProductCommentOther5	{r2[あく]}悪{/r2}の{r2[きぎょう]}企業{/r2}に{r2[しんりゃく]}侵略{/r2}された\n{r2[せかい]}世界{/r2}を{r2[すく]}救{/r2}うため、カービィは10{r2[しゅるいいじょう]}種類以上{/r2}に{r2[へんけい]}変形{/r2}する\n「ロボボアーマー」とともに{r2[たたか]}戦{/r2}います。\nすべての{r2[アミーボ]}amiibo{/r2}に{r2[たいおう]}対応{/r2}しています。
ProductCommentOther6	タッチペンで{r2[えが]}描{/r2}いた{r2[にじ]}虹{/r2}のラインで\nカービィをゴールまで{r2[みちび]}導{/r2}きます。\nカービィは3{r2[しゅるい]}種類{/r2}の{r2[の]}乗{/r2}り{r2[もの]}物{/r2}に{r2[へんしん]}変身{/r2}できます。\nワドルディを{r2[そうさ]}操作{/r2}しての4{r2[にんきょうりょく]}人協力{/r2}プレイも{r2[たの]}楽{/r2}しめます。
ProductCommentOther7	『{r2[ほし]}星{/r2}のカービィ トリプルデラックス』の\nサブゲームに{r2[しんようそ]}新要素{/r2}を{r2[ついか]}追加{/r2}。\n10{r2[しゅるい]}種類{/r2}のコピー{r2[のうりょく]}能力{/r2}から{r2[す]}好{/r2}きなものを{r2[えら]}選{/r2}んで\n{r2[たいせん]}対戦{/r2}します。4{r2[にん]}人{/r2}での{r2[つうしん]}通信{/r2}プレイも{r2[たの]}楽{/r2}しめます。
ProductCommentOther8	『{r2[ほし]}星{/r2}のカービィ トリプルデラックス』の\nサブゲームに{r2[しんようそ]}新要素{/r2}を{r2[ついか]}追加{/r2}。\nリズムにあわせてデデデ{r2[だいおう]}大王{/r2}を{r2[そうさ]}操作{/r2}し、\nジャンプを{r2[つか]}使{/r2}い{r2[わ]}分{/r2}けながらゴールを{r2[めざ]}目指{/r2}します。
ProductCommentOther9	{r2[よこほうこう]}横方向{/r2}だけでなく、\nステージの{r2[てまえ]}手前{/r2}と{r2[おく]}奥{/r2}の{r2[い]}行{/r2}き{r2[き]}来{/r2}が{r2[かのう]}可能{/r2}なのが{r2[とくちょう]}特徴{/r2}。\n25{r2[しゅるい]}種類{/r2}のコピー{r2[のうりょく]}能力{/r2}のほかに、\n「ビッグバンすいこみ」で{r2[はくりょく]}迫力{/r2}のある{r2[あそ]}遊{/r2}びが{r2[たの]}楽{/r2}しめます。
MessageWindow.msbt
CharaName_Unknown	？？？
CharaName_SupportChara	エフィリン
CharaName_BandanaWaddleDee	バンダナワドルディ
CharaName_AbilityRoomClerk	ぶき{r2[や]}屋{/r2}ワドルディ
CharaName_FoodShopClerk	カフェ{r2[てんいん]}店員{/r2}ワドルディ
CharaName_MgameFoodClerk	カフェ{r2[てんちょう]}店長{/r2}ワドルディ
CharaName_PharmacyClerk	どうぐ{r2[や]}屋{/r2}ワドルディ
CharaName_ArenaClerk	じっきょうワドルディ
CharaName_TheaterClerk	シアターワドルディ
CharaName_MgameBallClerk	タマコロ{r2[や]}屋{/r2}ワドルディ
CharaName_DeliveryServiceClerk	はいたつ{r2[いん]}員{/r2}ワドルディ
CharaName_KnowledgeWaddleDee	ものしりワドルディ
CharaName_MerchantWaddleDee	こうかんワドルディ
CharaName_VassalWaddleDee	けらいワドルディ
Msg_TownFirstDemo_SupportTalk_00	{[1907|00cd]}ありがとう、\nたすかったよ～！{[0004]}{[1400]}でも あの{r2[こ]}子{/r2}たちは…\n{color[ff4d2fff]}ワドルディ{color[000000ff]}たちは さらわれちゃった…。{[0004]}なんども {r2[まち]}町{/r2}をおそわれて\nみんなで たたかって いたんだけど、{[0004]}{[1400]}{[1402]}{[1902|00cd]}とうとう ボクだけに なっちゃった…。{[0004]}はやく たすけに{r2[い]}行{/r2}かなくっちゃ…
Msg_TownFirstDemo_SupportTalk_01	えぇっ？{[1401]}{[1905|02cd]}{[1400]}\nいっしょに たすけに{r2[い]}行{/r2}ってくれるの？\nありがとう～！
Msg_TownFirstDemo_SupportTalk_02	{[1907|00cd]}キミは… {color[ff4d2fff]}カービィ{color[000000ff]}って {r2[い]}言{/r2}うんだね。
Msg_TownFirstDemo_SupportTalk_03	{[1907|01cd]}ボクは {color[ff4d2fff]}エフィリン{color[000000ff]}だよ！\nよろしくねっ！
Msg_TownFirstDemo_BandanaWaddleDeeTalk_00	お～い、カービィ！
Msg_TownFirstDemo_BandanaWaddleDeeTalk_01	ボクも {color[ff4d2fff]}ポップスター{color[000000ff]}から\nすいこまれて ここに {r2[き]}来{/r2}ちゃったんだ。{[0004]}{r2[ふたり]}２人{/r2}プレイで ぼうけん したくなったら\nいつでも よんでね！
Msg_BandanaWaddleDee_TalkGuide2P	{r2[ふたり]}２人{/r2}プレイで ぼうけん したくなったら\n{[0411|9400]}ポーズから いつでも よんでね。\nボク、かけつけるよ！
Msg_BandanaWaddleDee_TalkStory1_01	とつぜん お{r2[そら]}空{/r2}に すいこまれて\nホント ビックリしちゃったよ～！{[0004]}ボクより{r2[さき]}先{/r2}に ほかのワドルディたちも\nこの{r2[せかい]}世界{/r2}に {r2[き]}来{/r2}ていたらしくて…\n
Msg_BandanaWaddleDee_TalkStory1_02	みんなを おっかけて いたら、\nちょうど ピンクの{r2[くるま]}車{/r2}が {r2[み]}見{/r2}えたんだ。{[0004]}やっぱり あれカービィだったんだね！{[0004]}けど、あんなの ほおばっちゃって\nお{r2[くち]}口{/r2} だいじょうぶ～…？
Msg_BandanaWaddleDee_TalkStory2	{r2[まち]}町{/r2}に ワドルディたちが\nもどってきて、にぎやかに なったね。{[0004]}ワドルディたちも カービィに\nたすけてもらえて かんしゃしてるって！{[0004]}ボクも ぼうけんに{r2[で]}出{/r2}る じゅんびは\nできてるから、{[0411|9400]}ポーズから いつでも よんでね！
Msg_BandanaWaddleDee_TalkStory3	{[1402]}デデデ{r2[だいおう]}大王{/r2}に エフィリンが \nさらわれちゃったけど だいじょうぶかな…{[0004]}こうしちゃ いられないね。\nボクたちで エフィリンを たすけてあげようよ！
Msg_BandanaWaddleDee_TalkStory4	また エフィリンに {r2[あ]}会{/r2}えてホントよかったね。{[0004]}エフィリンの フシギな{r2[ちから]}力{/r2}の おかげで\nポップスターと この{r2[せかい]}世界{/r2}は つながっているから…{[0004]}これからも しんぱい しないで\nこの{r2[せかい]}世界{/r2}を いっしょに ぼうけんできる からねっ！
Msg_BandanaWaddleDee_TalkAbilityRevolute	カービィが {color[ff4d2fff]}しんかさせた{color[000000ff]}\nコピーのうりょくを つかっていると\nじつは いっしょに {color[ff4d2fff]}ボクも {r2[つよ]}強{/r2}く{color[000000ff]}なっているんだよ。{[0004]}しんかの だんかいに あわせて、\nボクの ヤリの こうげき{r2[りょく]}力{/r2}も パワーアップするんだ。\n{r2[ふたり]}２人{/r2}プレイのとき、{r2[だい]}大{/r2}かつやく するよ！{[0004]}カービィと いっしょに {r2[つよ]}強{/r2}くなれるなんて、\nなんだか ヒーローになった みたいで うれしいなっ。
Msg_TheaterClerk_WelcomeFirst	{color[ff4d2fff]}ワドルディシアター{color[000000ff]}へ ようこそ！\nここでは いろんな{color[ff4d2fff]}ムービー{color[000000ff]}が みられますよ。{[0004]}ちなみに！\nさいしょにシアターを たてたりゆうは…\n{color[ff4d2fff]}ごらくは とってもだいじ{color[000000ff]} だと {r2[おも]}思{/r2}ったからです！{[0004]}それでは カービィさん、\nどのムービーを ごらんになりますか？
Msg_TheaterClerk_Welcome	ワドルディシアターへ ようこそ！\nどれを ごらんになりますか？
Msg_TheaterClerk_WelcomeNewMovie	ワドルディシアターへ ようこそ！\nこのたび {color[ff4d2fff]}{r2[あたら]}新{/r2}しいムービー{color[000000ff]}が こうかいされました。{[0004]}それでは、\nどのムービーを ごらんになりますか？
Msg_TheaterClerk_Thanks	また いつでも おこしくださいね！
Msg_TheaterClerk_PlayAnnounce	{color[ff4d2fff]}『{[0314]}』{color[000000ff]}ですね。\nまもなく はじまります。\n{color[ff4d2fff]}せき{color[000000ff]}に おすわりください。
Msg_TheaterClerk_AskChangeMovie	ほかのムービーに へんこうしますか？
Msg_TheaterClerk_CancelChangeMovie	{color[ff4d2fff]}せき{color[000000ff]}に おすわりください。\n{color[ff4d2fff]}『{[0314]}』{color[000000ff]}が はじまりますよ。
Msg_TheaterClerk_WelcomeAgain	いかがでしたか？\nつぎは どれを ごらんになりますか？
Msg_TheaterClerk_GiveFigure	{[1800]}カービィさん、おめでとうございます！{[0004]}{[1400]}すべて ムービーが こうかいとなった きねんに、\nカービィさんに {color[ff4d2fff]}とくべつなフィギュア{color[000000ff]}を プレゼントします！\nこちらを どうぞ！
Msg_TheaterClerk_AfterGiveFigure	カービィさん、\nなにか ムービーを ごらんになりますか？
Msg_TownGuideAbilityRoomDemo_SupportTalk_00	{[1905|04cd]}コピーのうりょくが えらべるお{r2[みせ]}店{/r2}、\n{color[ff4d2fff]}ワドルディのぶき{r2[や]}屋{/r2}{color[000000ff]}が オープンしたんだって！{[0004]}のうりょくが えらべる だけじゃなくて、\nもっと {r2[つよ]}強{/r2}くなるための ヒミツも わかったらしいよ。\nさっそく {r2[はい]}入{/r2}ってみようよ！
Msg_TownGuideAbilityRoomDemo_SupportTalk_01	{[1909|00cd]}ちょっと カービィ、こっちに きてよ～！
Msg_TownGuideNewAreaDemo_SupportTalk	{[1907|01cd]}カービィ、しっかり じゅんびが できたら\n{color[ff4d2fff]}ワープスター{color[000000ff]}にのって {color[ff4d2fff]}{r2[あたら]}新{/r2}しいエリア{color[000000ff]}に {r2[い]}行{/r2}ってみようよ！
Msg_AbilityRoomClerk_WelcomeFirst	ここは コピーのうりょくが\nよりどり みどりな お{r2[みせ]}店{/r2}、{color[ff4d2fff]}ワドルディのぶき{r2[や]}屋{/r2}{color[000000ff]}です！{[0004]}カービィさんが {color[ff4d2fff]}{r2[はっけん]}発見{/r2}したコピーのうりょく{color[000000ff]}は\nすべて ここに {r2[と]}取{/r2}りそろえて あります。\nいつでも つかってくださいね。{[0004]}{[1801]}{[1403]}さらにっ {[1802]}{r2[き]}聞{/r2}いてください！\n{r2[いま]}今{/r2}ある のうりょくを、より{r2[つよ]}強{/r2}いものに {color[ff4d2fff]}しんか{color[000000ff]}が\nできるように なったんですっ！
Msg_AbilityRoomClerk_IntroduceBlueprint	さいきん {r2[はっけん]}発見{/r2}された この{color[ff4d2fff]}せっけい{r2[ず]}図{/r2}{color[000000ff]}に\nすっごい {r2[しん]}新{/r2}ぎじゅつが {r2[か]}書{/r2}かれていて、\nコピーのうりょくが しんか できるように なったのです！{[0004]}ためしに、{r2[いま]}今{/r2}から しんか させてみましょう。\nさっそく じゅんびしますね！
Msg_AbilityRoomClerk_HowToEvolve	コピーのうりょくを {color[ff4d2fff]}しんか{color[000000ff]}させるには、\n{[0100|8000]}{color[ff4d2fff]}コインスター{color[000000ff]}と {[0101|8100]}{color[ff4d2fff]}レアストーン{color[000000ff]}が ひつようなんです。{[0004]}{[0101|8100]}レアストーンは ワールドマップにある\n{color[ff4d2fff]}トレジャーロード{color[000000ff]}で {r2[み]}見{/r2}つかる みたいですよ。\nちょうせんして みてくださいね！{[0004]}{r2[こんかい]}今回{/r2}は わたしが よういしたので、\n{color[ff4d2fff]}「{[0400|0000]}しんか」{color[000000ff]}で しんか させてみてください！
Msg_AbilityRoomClerk_RecommendEvolve	{color[ff4d2fff]}しんか {color[000000ff]}させたい のうりょくの まえに{r2[い]}行{/r2}って\n{color[ff4d2fff]}{[0400|0000]}{color[000000ff]}で しらべて みてくださいね。
Msg_AbilityRoomClerk_RecommendEvolveDoorIn	カービィさん！ ちょっと まってくださいよ！\n{color[ff4d2fff]}しんか{color[000000ff]} すっごく {r2[き]}気{/r2}になりません？\n{r2[いま]}今{/r2}すぐ やってみましょうよ！{[0004]}しんか させたい のうりょくの まえに{r2[い]}行{/r2}って\n{color[ff4d2fff]}{[0400|0000]}{color[000000ff]}で しらべて みてくださいね。
Msg_AbilityRoomClerk_FirstEvolveEnd	やりました、{[1401]}{r2[だい]}大{/r2}せいこうです！\n{[030a]}のうりょくは\n{color[ff4d2fff]}{[0309|0000]}{color[000000ff]}に {color[ff4d2fff]}しんか{color[000000ff]}できました！{[0004]}{color[ff4d2fff]}{r2[あたら]}新{/r2}しい せっけい{r2[ず]}図{/r2}{color[000000ff]}が あれば\nさらに しんか ができますよ。 \n{r2[はっけん]}発見{/r2}したら ぜひ、お{r2[みせ]}店{/r2}に きてくださいね！
Msg_AbilityRoomClerk_RecommendSelect	カービィさん、しってますか？\nセットされている コピーのうりょくを {color[ff4d2fff]}{[0701|0100]}{color[000000ff]}で \nちょくせつ {color[ff4d2fff]}すいこむことも できる{color[000000ff]}んですよ！
Msg_AbilityRoomClerk_RecommendSelectWithAbility	カービィさん、しってますか？\nセットされている コピーのうりょくを {color[ff4d2fff]}{[0701|0100]}{color[000000ff]}で \nちょくせつ {color[ff4d2fff]}すいこむことも できる{color[000000ff]}んですよ！{[0004]}ちなみに {color[ff4d2fff]}{[0703|0300]}{color[000000ff]}で のうりょくは すてられますよ。
Msg_AbilityRoomClerk_RecommendSelectAfter	のうりょくを {color[ff4d2fff]}セット{color[000000ff]}しておくと\nぼうけんの とちゅうで {r2[て]}手{/r2}に{r2[はい]}入{/r2}る のうりょくも\nここで {color[ff4d2fff]}セットされたものに かわる{color[000000ff]}んですよ。{color[ff4d2fff]} {color[000000ff]}
Msg_AbilityRoomClerk_IntroduceKnowledgeWaddleDee	せっけい{r2[ず]}図{/r2}を さがすのに こまっていますか？\n{color[ff4d2fff]}ものしりワドルディ{color[000000ff]}に {r2[き]}聞{/r2}けば、せっけい{r2[ず]}図{/r2}の ありかを\nおしえてくれる みたいですよ！
Msg_AbilityRoomClerk_CopyAbilityTips_Bomb	ボムは{color[ff4d2fff]} {[0701|0100]}{r2[なが]}長{/r2}おし{color[000000ff]}で\nじっくりねらって バクダンを {r2[な]}投{/r2}げられますよ。
Msg_AbilityRoomClerk_CopyAbilityTips_ChainBomb	チェインボムは {color[ff4d2fff]}バクダンどうしを {r2[ちか]}近{/r2}づける{color[000000ff]}と\nチェインが つながって こうげき{r2[りょく]}力{/r2}が アップしますよ。{[0004]}バクダンを たくさん つなげて {r2[れん]}連{/r2}さ させれば、\nこうげき{r2[りょく]}力{/r2}が どんどんアップ するんです！
Msg_AbilityRoomClerk_CopyAbilityTips_SearchBomb	オートサーチボムは {color[ff4d2fff]}バクダンどうしを {r2[ちか]}近{/r2}づける{color[000000ff]}と\nチェインが つながって こうげき{r2[りょく]}力{/r2}が アップしますよ。{[0004]}バクダンを たくさん つなげて {r2[れん]}連{/r2}さ させれば、\nこうげき{r2[りょく]}力{/r2}が どんどんアップ するんです！
Msg_AbilityRoomClerk_CopyAbilityTips_Crash	クラッシュは {color[ff4d2fff]}{[0701|0100]}{r2[なが]}長{/r2}おし{color[000000ff]}で\nパワーを ためられますよ。{[0004]}さいだいパワーの いちげきは\nこうげき{r2[りょく]}力{/r2}が とても{r2[たか]}高{/r2}いんです！
Msg_AbilityRoomClerk_CopyAbilityTips_TimeCrash	タイムクラッシュの はつどう{r2[ちゅう]}中{/r2}に {color[ff4d2fff]}てきをたおす{color[000000ff]}と\nもっと{r2[なが]}長{/r2}く {r2[じかん]}時間{/r2}を {r2[と]}止{/r2}められるように なりますよ！
Msg_AbilityRoomClerk_CopyAbilityTips_Cutter	カッターは {r2[な]}投{/r2}げたあとに {color[ff4d2fff]}{[0701|0100]}{r2[なが]}長{/r2}おし{color[000000ff]}で\n{r2[くうちゅう]}空中{/r2}に やいばを{r2[と]}止{/r2}めて{color[ff4d2fff]} チャージ{color[000000ff]}できますよ。{[0004]}チャージ{r2[ご]}後{/r2}に {color[ff4d2fff]}{[0701|0100]}をはなす{color[000000ff]}と\n{r2[きょうりょく]}強力{/r2}な {color[ff4d2fff]}リターンアタック{color[000000ff]}を うち{r2[だ]}出{/r2}せるんです！
Msg_AbilityRoomClerk_CopyAbilityTips_MetalCutter	フルメタルカッターの やいばは {color[ff4d2fff]}カベで はねかえります。{color[000000ff]}\nうまく はねかえせば {r2[とお]}遠{/r2}くまで とばせますよ！
Msg_AbilityRoomClerk_CopyAbilityTips_Drill	ドリルは{color[ff4d2fff]} {[0701|0100]}{r2[なが]}長{/r2}おし{color[000000ff]}で じめんに もぐっている{r2[あいだ]}間{/r2}、\nほとんどの こうげきが {r2[あ]}当{/r2}たらなく なります。{[0004]}もぐりながら、{color[ff4d2fff]}{r2[まる]}丸{/r2}をかこむ{color[000000ff]}ように えがくと\n{r2[きょうりょく]}強力{/r2}な {color[ff4d2fff]}グラウンドーン{color[000000ff]}が はつどうします！
Msg_AbilityRoomClerk_CopyAbilityTips_Fire	ファイアは {r2[はし]}走{/r2}りながら {color[ff4d2fff]}ジャンプして{[0701|0100]}{color[000000ff]}で\n{color[ff4d2fff]}バーニングアタック{color[000000ff]}が つかえます！{[0004]}ちなみに ファイアで たいほうの どうかせんに\n{r2[ひ]}火{/r2}を つけられるのですが、{[0004]}たいほうに{r2[はい]}入{/r2}って {color[ff4d2fff]}{[0409|6000]}{color[000000ff]}か {color[ff4d2fff]}{[040a|6100]}でしゃがむ{color[000000ff]}と\nどうかせんに ついている{r2[ひ]}火{/r2}のスピードが はやくなるんですよ！
Msg_AbilityRoomClerk_CopyAbilityTips_DragonFire	ドラゴニックファイアの バーニングアタックは\n{color[ff4d2fff]}{[0701|0100]}{r2[なが]}長{/r2}おし{color[000000ff]}で {r2[ひ]}飛{/r2}きょりが のびます！
Msg_AbilityRoomClerk_CopyAbilityTips_Hammer	ハンマーは {color[ff4d2fff]}{[0701|0100]}{r2[なが]}長{/r2}おし{color[000000ff]}で パワーを ためられます。{[0004]}さいだいパワーで はなつ {color[ff4d2fff]}おにごろし{r2[かえん]}火炎{/r2}ハンマー{color[000000ff]}は\nこうげき{r2[りょく]}力{/r2}が とっても{r2[たか]}高{/r2}いんです！{[0004]}ちなみに ハンマーで\nクイや クギを うつことが できるんですよ！
Msg_AbilityRoomClerk_CopyAbilityTips_Ice	アイスの といきは てきを こおらせます。{[0004]}ボスのような{r2[おお]}大{/r2}きな てきさえ、\n{color[ff4d2fff]}うごきを ストップ{color[000000ff]}させる ことができるのです！
Msg_AbilityRoomClerk_CopyAbilityTips_Needle	ニードルは {color[ff4d2fff]}てきや ブロック{color[000000ff]}を まきこむと\nより{r2[なが]}長{/r2}く{color[ff4d2fff]} {color[000000ff]}ころがることが できます。{[0004]}{color[ff4d2fff]}{[0701|0100]}をはなす{color[000000ff]}と まきこんだものを あたりに{r2[と]}飛{/r2}ばす、\n{r2[きょうりょく]}強力{/r2}な こうげきができます！{[0004]}ちなみに ニードルは つよい{r2[かぜ]}風{/r2}が ふいていても\nころがって すすむことが できるんですよ！
Msg_AbilityRoomClerk_CopyAbilityTips_Ranger	レンジャーは {color[ff4d2fff]}{[0701|0100]}{r2[なが]}長{/r2}おし{color[000000ff]}で チャージすると\nてきをつらぬく {r2[きょうりょく]}強力{/r2}ないちげきが はなてます！{[0004]}ちなみに {r2[くうちゅう]}空中{/r2}に ういている ターゲットスイッチは\nレンジャーでしか、うちおとすことが できないんですよ！
Msg_AbilityRoomClerk_CopyAbilityTips_Sleep	スリープに なったときに {color[ff4d2fff]}{[041e|f100]}を ガチャガチャ{color[000000ff]}すれば\nはやくめざめることが できますよ。
