AbilityList.msbt
$TownAbilityListAttackText	Power
ProductCommentOther7	A subgame from Kirby: Triple Deluxe with newly\nadded features! Battle with your choice of 10\ndifferent Copy Abilities and up to three other\nplayers via local wireless.
ProductCommentOther8	A subgame from Kirby: Triple Deluxe with newly\nadded features! Control King Dedede as he\nmoves with the rhythm, using different kinds\nof jumps to aim for the goal.
ProductCommentOther9	Featuring action that moves not just left and\nright but into the foreground and background\nof stages. In addition to 25 different Copy\nAbilities, this game boasts the powerful\nHypernova Copy Ability.
MessageWindow.msbt
CharaName_Unknown	???
CharaName_SupportChara	Elfilin
CharaName_BandanaWaddleDee	Bandana Waddle Dee
CharaName_AbilityRoomClerk	Weapons-Shop Waddle Dee
CharaName_FoodShopClerk	Café-Staff Waddle Dee
CharaName_MgameFoodClerk	Café-Manager Waddle Dee
CharaName_PharmacyClerk	Item-Shop Waddle Dee
CharaName_ArenaClerk	Commentator Waddle Dee
CharaName_TheaterClerk	Usher Waddle Dee
CharaName_MgameBallClerk	Game-Shop Waddle Dee
CharaName_DeliveryServiceClerk	Delivery Waddle Dee
CharaName_KnowledgeWaddleDee	Wise Waddle Dee
CharaName_MerchantWaddleDee	Trader Waddle Dee
CharaName_VassalWaddleDee	Minion Waddle Dee
Msg_TownFirstDemo_SupportTalk_00	{[1907|00cd]}Phew! You saved me! Thank you...{[0004]}{[1400]}But what about those other guys, the {color[ff4d2fff]}Waddle Dees{color[000000ff]}?\nThey were all captured! And taken away!{[0004]}We fought those beasts as hard as we could, but\nthey kept coming back for more.{[0004]}{[1400]}{[1402]}{[1902|00cd]}Now I'm the only one left...{[0004]}I have to go save them. I have to!
Msg_TownFirstDemo_SupportTalk_01	What? {[1401]}{[1905|02cd]}{[1400]}You'll help me save everyone? That's great!
Msg_TownFirstDemo_SupportTalk_02	{[1907|00cd]}So...your name is{color[ff4d2fff]} Kirby{color[000000ff]}?
Msg_TownFirstDemo_SupportTalk_03	{[1907|01cd]}I'm {color[ff4d2fff]}Elfilin{color[000000ff]}! Nice to meet you!
Msg_TownFirstDemo_BandanaWaddleDeeTalk_00	Hey, Kirby!
Msg_TownFirstDemo_BandanaWaddleDeeTalk_01	Boy, am I glad to see you! I got pulled through that\nvortex over {color[ff4d2fff]}Planet Popstar {color[000000ff]}too.{[0004]}If you ever want a second player to join you, just let\nme know. I'll always be ready!
Msg_BandanaWaddleDee_TalkGuide2P	If you want a second player to join you, just call me\nanytime through the {[0411|9400]} pause menu. I'll rush over!
Msg_BandanaWaddleDee_TalkStory1_01	That weird vortex pulled me into the sky... I had no\nidea what was happening. I still don't!{[0004]}At least I found the other Waddle Dees. It looks like\nthey arrived in this new world just before me.
Msg_BandanaWaddleDee_TalkStory1_02	I was searching high and low for our friends...\nand then I saw an odd, pink car dash by.{[0004]}I'm guessing that was you, huh, Kirby?{[0004]}That looked like quite a mouthful. Everything OK in\nthere? Don't bite off more than you can chew!
Msg_BandanaWaddleDee_TalkStory2	This place has gotten much livelier now that the\ntownsfolk are finding their way back.{[0004]}The other Waddle Dees said they really appreciate\nyour help, Kirby!{[0004]}I'm always ready to help too. If you need a second\nplayer, just let me know from the {[0411|9400]} pause menu!
Msg_BandanaWaddleDee_TalkStory3	{[1402]}Elfilin got captured...by King Dedede?! That sounds\nodd, even for him! I hope they're both OK...{[0004]}We can't just stand around! Let's go save Elfilin!
Msg_BandanaWaddleDee_TalkStory4	I'm so glad we're all able to see Elfilin again!\nHe really had us worried for a minute...{[0004]}Elfilin's power seems to have opened a stable\nconnection between this world and Planet Popstar.{[0004]}This just became our home away from home! Now we\ncan keep adventuring here without any worries!
Msg_BandanaWaddleDee_TalkAbilityRevolute	When you use an {color[ff4d2fff]}evolved{color[000000ff]} Copy Ability, I grow a\nbit stronger too!{[0004]}My spear will {color[ff4d2fff]}power up to match{color[000000ff]} the evolution level\nof your Copy Abilities. Try it out in co-op mode!{[0004]}I'm glad I can keep up with you out there, Kirby.\nKinda makes me feel like a real hero, y'know?
Msg_TheaterClerk_WelcomeFirst	Welcome to {color[ff4d2fff]}Waddle Dee Cinema{color[000000ff]}! You can watch all\nkinds of {color[ff4d2fff]}movies{color[000000ff]} here.{[0004]}Are you wondering why we built a cinema so soon?\nWell, it's because...{color[ff4d2fff]}entertainment is important{color[000000ff]}!{[0004]}So, which movie would you like to watch, Kirby?
Msg_TheaterClerk_Welcome	Welcome to Waddle Dee Cinema! What movie would\nyou like to see?
Msg_TheaterClerk_WelcomeNewMovie	Welcome to Waddle Dee Cinema! Great timing...\nWe're premiering a {color[ff4d2fff]}new movie{color[000000ff]} today!{[0004]}Now, which movie would you like to watch?
Msg_TheaterClerk_Thanks	Feel free to stop in anytime!
Msg_TheaterClerk_PlayAnnounce	A showing of "{color[ff4d2fff]}{[0314]}{color[000000ff]}" is\nabout to begin. Please take your {color[ff4d2fff]}seats{color[000000ff]}.
Msg_TheaterClerk_AskChangeMovie	Would you like to select another movie?
Msg_TheaterClerk_CancelChangeMovie	Our showing of "{color[ff4d2fff]}{[0314]}{color[000000ff]}"{color[ff4d2fff]}\n{color[000000ff]}will begin soon. Please take your {color[ff4d2fff]}seats{color[000000ff]}.
Msg_TheaterClerk_WelcomeAgain	How'd you like the movie? Wanna watch another?
Msg_TheaterClerk_GiveFigure	{[1800]}Congratulations, Kirby!{[0004]}{[1400]}All of the movies are now available in this cinema!\nTo celebrate, we want you to have a {color[ff4d2fff]}special figure{color[000000ff]}.
Msg_TheaterClerk_AfterGiveFigure	Would you like to watch a movie, Kirby?
Msg_TownGuideAbilityRoomDemo_SupportTalk_00	{[1905|04cd]}Ooh, look! {color[ff4d2fff]}Waddle Dee's Weapons Shop{color[000000ff]} is open!\nLooks like a quick way to grab Copy Abilities...{[0004]}I also heard the Waddle Dee inside knows a secret to\ngrowing stronger. Let's pay 'em a visit!
Msg_TownGuideAbilityRoomDemo_SupportTalk_01	{[1909|00cd]}Hey, Kirby! Come check this out!
Msg_TownGuideNewAreaDemo_SupportTalk	{[1907|01cd]}When you're ready to explore some more, just hop\non the {color[ff4d2fff]}Warp Star{color[000000ff]} and fly to a {color[ff4d2fff]}new area{color[000000ff]}!
Msg_AbilityRoomClerk_WelcomeFirst	Welcome to {color[ff4d2fff]}Waddle Dee's Weapons Shop{color[000000ff]}! I work\nwith all types of Copy Abilities. It's kind of my thing.{[0004]}Any {color[ff4d2fff]}Copy Abilities you find{color[000000ff]} out there will become\navailable in here. Pop in and grab one anytime.{[0004]}{[1801]}{[1403]}Oh!{[1802]} And guess what else? I can help you {color[ff4d2fff]}evolve\n{color[000000ff]}those abilities to make them much stronger!
Msg_AbilityRoomClerk_IntroduceBlueprint	This {color[ff4d2fff]}blueprint{color[000000ff]} contains some incredible techniques.\nWe can use it to evolve your ability!{[0004]}Let's try evolving one right now. I'll ready my tools!
Msg_AbilityRoomClerk_HowToEvolve	To {color[ff4d2fff]}evolve{color[000000ff]} this Copy Ability, you'll need\n{[0100|8000]} {color[ff4d2fff]}Star Coins {color[000000ff]}and {[0101|8100]} {color[ff4d2fff]}Rare Stones{color[000000ff]}.{[0004]}You can find {[0101|8100]} Rare Stones on the {color[ff4d2fff]}Treasure Roads{color[000000ff]}\nhidden throughout the world map. Try those out!{[0004]}I prepped everything in advance this time, so we're\nall set. Just press {color[ff4d2fff]}{[0400|0000]}{color[000000ff]} to {color[ff4d2fff]}evolve {color[000000ff]}the ability!
Msg_AbilityRoomClerk_RecommendEvolve	Stand in front of the ability you want to {color[ff4d2fff]}evolve{color[000000ff]}, then\npress {color[ff4d2fff]}{[0400|0000]}{color[000000ff]} to see the details.
Msg_AbilityRoomClerk_RecommendEvolveDoorIn	Hold on, Kirby! Don't you want to learn how to\n{color[ff4d2fff]}evolve {color[000000ff]}your abilities? I can show you right now...{[0004]}Just stand in front of the ability you want to evolve,\nthen press {color[ff4d2fff]}{[0400|0000]}{color[000000ff]} to see the details.
Msg_AbilityRoomClerk_FirstEvolveEnd	Success! {[1401]}All done. The {[030a]} ability has {color[ff4d2fff]}evolved\n{color[000000ff]}into {color[ff4d2fff]}{[0309|0000]}{color[000000ff]}!{[0004]}If you find more {color[ff4d2fff]}blueprints{color[000000ff]}, just bring them to me!\nI'll use them to evolve your abilities even further.
Msg_AbilityRoomClerk_RecommendSelect	Did you know you can {color[ff4d2fff]}inhale {color[000000ff]}each of these abilities\nright off the counter with {color[ff4d2fff]}{[0701|0100]}{color[000000ff]}?
Msg_AbilityRoomClerk_RecommendSelectWithAbility	Did you know you can {color[ff4d2fff]}inhale {color[000000ff]}each of these abilities\nright off the counter with {color[ff4d2fff]}{[0701|0100]}{color[000000ff]}?{[0004]}You can also drop your current ability with {color[ff4d2fff]}{[0703|0300]}{color[000000ff]}.
Msg_AbilityRoomClerk_RecommendSelectAfter	You can {color[ff4d2fff]}set{color[000000ff]} each ability to your preferred form.\nThat {color[ff4d2fff]}changes every instance{color[000000ff]} of that ability to match!
Msg_AbilityRoomClerk_IntroduceKnowledgeWaddleDee	If you're having trouble finding blueprints, try talking\nto {color[ff4d2fff]}Wise Waddle Dee{color[000000ff]}! He might be able to help.
Msg_AbilityRoomClerk_CopyAbilityTips_Bomb	To use the Bomb ability, {color[ff4d2fff]}hold down{color[000000ff]} {color[ff4d2fff]}{[0701|0100]} {color[000000ff]}to aim, then\nrelease it to throw a bomb forward.
Msg_AbilityRoomClerk_CopyAbilityTips_ChainBomb	The Chain Bomb ability's attack power will increase\nif you {color[ff4d2fff]}place bombs near each other{color[000000ff]} to form a chain.{[0004]}Bigger, longer chains mean bigger, badder booms!
Msg_AbilityRoomClerk_CopyAbilityTips_SearchBomb	The Homing Bomb ability's attack power will increase\nwhen bombs{color[ff4d2fff]} gather near each other{color[000000ff]} to form a chain.{[0004]}Bigger, longer chains mean bigger, badder booms!
Msg_AbilityRoomClerk_CopyAbilityTips_Crash	You can charge up the Crash ability's attack power\nby {color[ff4d2fff]}holding down{color[000000ff]} {color[ff4d2fff]}{[0701|0100]}{color[000000ff]}.{[0004]}At max power, your attack will be incredibly strong!
Msg_AbilityRoomClerk_CopyAbilityTips_TimeCrash	If you {color[ff4d2fff]}continuously defeat enemies{color[000000ff]} while Time Crash\nis active, time will be stopped for a longer duration!
Msg_AbilityRoomClerk_CopyAbilityTips_Cutter	The Cutter ability lets you stop your attack in midair\nand {color[ff4d2fff]}charge {color[000000ff]}it up! Just {color[ff4d2fff]}hold down{color[000000ff]} {color[ff4d2fff]}{[0701|0100]} {color[000000ff]}after you throw.{[0004]}Once it's charged up, {color[ff4d2fff]}let go of{color[000000ff]} {color[ff4d2fff]}{[0701|0100]} {color[000000ff]}to unleash a\npowerful {color[ff4d2fff]}Return Attack{color[000000ff]}!
Msg_AbilityRoomClerk_CopyAbilityTips_MetalCutter	The Buzz-Saw Cutter's blade will {color[ff4d2fff]}bounce off walls{color[000000ff]}.\nIf you aim the bounces well, it can travel really far!
Msg_AbilityRoomClerk_CopyAbilityTips_Drill	The Drill ability will let you avoid most attacks by{color[ff4d2fff]}\nholding down{color[000000ff]} {color[ff4d2fff]}{[0701|0100]} {color[000000ff]}to burrow underground.{[0004]}If you {color[ff4d2fff]}burrow in a complete circle{color[000000ff]}, you'll trigger a\npowerful {color[ff4d2fff]}Quake Surge{color[000000ff]} to attack above you!
Msg_AbilityRoomClerk_CopyAbilityTips_Fire	When you have the Fire ability, {color[ff4d2fff]}run and jump{color[000000ff]}, then{color[ff4d2fff]}\npress {[0701|0100]} {color[000000ff]}to blaze forward with a {color[ff4d2fff]}Burn{color[000000ff]} attack!{[0004]}You can also use this ability to light cannon fuses.\nAnd here's a lesser-known cannon tip...{[0004]}When the fuse is lit, hop in the cannon and press\n{color[ff4d2fff]}{[0409|6000]} {color[000000ff]}or {color[ff4d2fff]}{[040a|6100]}{color[000000ff]} to {color[ff4d2fff]}crouch{color[000000ff]}. That'll speed up the fuse!
Msg_AbilityRoomClerk_CopyAbilityTips_DragonFire	With Dragon Fire, you can use your Burn attack to\nfly really far by {color[ff4d2fff]}holding down{color[000000ff]} {color[ff4d2fff]}{[0701|0100]}{color[000000ff]}!
Msg_AbilityRoomClerk_CopyAbilityTips_Hammer	You can charge up the Hammer ability's power by\n{color[ff4d2fff]}holding down{color[000000ff]} {color[ff4d2fff]}{[0701|0100]}{color[000000ff]}.{[0004]}Let go at max power to unleash a brutal {color[ff4d2fff]}Hammer Flip{color[000000ff]}\nattack! Woo!{[0004]}Oh, and you can also use the Hammer ability to, uh,\nhammer nails and stakes...in case that wasn't clear.
Msg_AbilityRoomClerk_CopyAbilityTips_Ice	The Ice ability will let you use freezing breath to\nstop enemies in their tracks!{[0004]}Your freezing attacks will even make larger enemies\nlike bosses {color[ff4d2fff]}stop moving {color[000000ff]}for a while!
Msg_AbilityRoomClerk_CopyAbilityTips_Needle	With the Needle ability, you can extend your roll a\nbit by {color[ff4d2fff]}picking up enemies and blocks{color[000000ff]} as you go.{[0004]}{color[ff4d2fff]}Let go of {[0701|0100]}{color[000000ff]} to throw stuck objects and enemies in\nfront of you as powerful projectiles!{[0004]}The Needle ability will also let you roll through\nstrong winds. It's so versatile!
Msg_AbilityRoomClerk_CopyAbilityTips_Ranger	{color[ff4d2fff]}Hold down{color[000000ff]} {color[ff4d2fff]}{[0701|0100]}{color[000000ff]} to charge up a powerful Ranger blast\nthat can pierce through enemy defenses!{[0004]}Oh! Also! Y'know those Target Switches that float in\nthe air? Ranger is the only ability that can hit 'em!
Msg_AbilityRoomClerk_CopyAbilityTips_Sleep	If you don't have time for a long nap, you can wake\nfrom the Sleep ability by {color[ff4d2fff]}quickly moving{color[000000ff]} {color[ff4d2fff]}{[041e|f100]} {color[000000ff]}around.
Msg_AbilityRoomClerk_CopyAbilityTips_DeepSleep	{color[ff4d2fff]}Press {[0701|0100]} {color[000000ff]}with Deep Sleep to catch some serious Z's\nand fully restore your health.{[0004]}If you're able to sleep for the full duration, you'll\nwake up with a bonus {color[ff4d2fff]}power-up effect{color[000000ff]}!
Msg_AbilityRoomClerk_CopyAbilityTips_Sword	Charge up the Sword ability by {color[ff4d2fff]}holding down{color[000000ff]} {color[ff4d2fff]}{[0701|0100]}{color[000000ff]},\nthen let go to unleash a powerful {color[ff4d2fff]}Spin Slash{color[000000ff]} attack!
Msg_AbilityRoomClerk_CopyAbilityTips_GigantSword	To shield yourself while using Gigant Sword, just\npress {color[ff4d2fff]}{[0409|6000]}/{[040a|6100]}{color[000000ff]}. You can still move while you guard!
Msg_AbilityRoomClerk_CopyAbilityTips_MetaSword	If you swing the Meta Knight Sword with{color[ff4d2fff]} full health{color[000000ff]},\nyou'll attack with a {color[ff4d2fff]}Crescent Shot{color[000000ff]} wave.{[0004]}If you have two health bars, you can keep slinging\nCrescent Shots until the first bar is depleted!{color[ff4d2fff]}{[0004]}{color[000000ff]}Press{color[ff4d2fff]} {[0409|6000]}/{[040a|6100]} + {[0700|0000]} {color[000000ff]}to {color[ff4d2fff]}Sword Slide{color[000000ff]}. Follow with {color[ff4d2fff]}{[0700|0000]}{color[000000ff]},\nthen {color[ff4d2fff]}rapidly press{color[000000ff]} {color[ff4d2fff]}{[0701|0100]} {color[000000ff]}to do an {color[ff4d2fff]}Upper Calibur{color[000000ff]} attack!
Msg_AbilityRoomClerk_CopyAbilityTips_MorphoSword	The Morpho Knight Sword will grow REALLY big if\nyou {color[ff4d2fff]}hold down{color[000000ff]} {color[ff4d2fff]}{[0701|0100]}{color[000000ff]} to charge it to the max.{[0004]}The sword has a wider range and a higher attack\npower at max size. It's incredibly powerful!
Msg_AbilityRoomClerk_CopyAbilityTips_Tornado	The Tornado ability has the power to {color[ff4d2fff]}pull {color[000000ff]}enemies or\nstars into its cyclone!{[0004]}If you pick up a bunch of objects, you can {color[ff4d2fff]}launch\nthem back out {color[000000ff]}with {[0701|0100]} and {color[ff4d2fff]}hit other enemies{color[000000ff]}!
Msg_AbilityRoomClerk_ReceiveSingleBlueprint	Whoa! Is that a {color[ff4d2fff]}{[0309|0000]} Blueprint{color[000000ff]}?!\nI want to make that! Gimme, gimme!
Msg_AbilityRoomClerk_ReceiveMultiBlueprint	Wow! You have so many new {color[ff4d2fff]}blueprints{color[000000ff]} to give me!
Msg_AbilityRoomClerk_PrepareNewCopyAbilitySub	All right! Let me get my tools ready, then we'll get\nthis evolution started...
Msg_AbilityRoomClerk_NewCopyAbility	New stock! I just added the {color[ff4d2fff]}{[030a]}{color[000000ff]} ability. Enjoy!
Msg_AbilityRoomClerk_NewCopyAbilitySubKind	Thanks for waiting! The {[030a]} ability can now be\nevolved into {color[ff4d2fff]}{[0309|0000]}{color[000000ff]}!
Msg_AbilityRoomClerk_UnlockStrengthening	{[1800]}Guess what, Kirby! I've found a way to make your\nCopy Abilities {color[ff4d2fff]}even more powerful{color[000000ff]}!{[0004]}{[1403]}I just need a few {[0101|8100]} Rare Stones to {color[ff4d2fff]}raise your attack\npower{color[000000ff]}. I'm calling this process...{color[ff4d2fff]}Ability Power Up{color[000000ff]}!{[0004]}I'm ready to {color[ff4d2fff]}power up{color[000000ff]} your abilities whenever\nyou are. Pick a favorite, and we'll try it out!
Msg_AbilityRoomClerk_GiveFigure	{[1403]}{[1800]}Wait a second, Kirby... Have we finally {color[ff4d2fff]}evolved ALL{color[000000ff]}\nof your Copy Abilities?!{[0004]}{[1401]}That's AMAZING! To think a humble engineer like me\ngot to build every single one of them... I'm {color[ff4d2fff]}honored{color[000000ff]}.{[0004]}I want you to have this {color[ff4d2fff]}special figure{color[000000ff]}. Consider it a\ncute, collectible token of my appreciation!
Msg_DeliveryServiceClerk_WelcomeFirst1	Hey there! This is {color[ff4d2fff]}Waddle Dee-liveries{color[000000ff]}. We bring\n{color[ff4d2fff]}Delivery Presents{color[000000ff]} right to your door!{[0004]}Just enter any {color[ff4d2fff]}Present Codes{color[000000ff]} you find, and we'll ship\nthe related presents in and drop 'em by your house.{[0004]}{[1403]}Speaking of codes...there are a few Present Codes\nhidden right here in town. See if you can find 'em!{[0004]}{[1800]}{[1401]}Also! Some Present Codes are shared through {color[ff4d2fff]}online\nannouncements{color[000000ff]}. We can hop online to claim those!
Msg_DeliveryServiceClerk_WelcomeFirst2	Wanna see how it works? Sure ya do! I hid a Present\nCode on the{color[ff4d2fff]} wall of the house across from us{color[000000ff]}...{[0004]}Go {color[ff4d2fff]}check that wall{color[000000ff]} and try to find it!
Msg_DeliveryServiceClerk_WelcomeFirst3	Any Present Codes you find in town can be entered\nand claimed offline. Pretty nifty, eh?{[0004]}Oh, wait! I should have asked this first... Do you\nalready have a Present Code you'd like to enter?
Msg_DeliveryServiceClerk_Welcome	Welcome to Waddle Dee-liveries! You can enter a\n{color[ff4d2fff]}Present Code{color[000000ff]} here to claim a Delivery Present.{[0004]}If you have any Present Codes that were {color[ff4d2fff]}announced\nonline{color[000000ff]}, we can connect online to claim 'em!{[0004]}Do you have a Present Code that you'd like to enter?
Msg_DeliveryServiceClerk_Goodbye	Thanks very much! Hope to see you again soon!
Msg_DeliveryServiceClerk_AskUseWithoutInternet	Would you like to enter a Present Code without\nconnecting online?
Msg_DeliveryServiceClerk_NotExistPresentBox	Doesn't look like there are any {color[ff4d2fff]}Delivery Presents{color[000000ff]} to\nbe claimed right now... Try again later!
Msg_DeliveryServiceClerk_PromptInput	OK! Go ahead and enter your Present Code.
Msg_DeliveryServiceClerk_InvalidPresentCode	Oops. I think you entered the {color[ff4d2fff]}wrong{color[000000ff]} Present Code...\nTry entering it again!
Msg_DeliveryServiceClerk_UsedPresentCode	Hmm... Looks like you've {color[ff4d2fff]}already used{color[000000ff]} that Present\nCode. Do you have another one?
Msg_DeliveryServiceClerk_CanceledInput	{[1403]}What's up? Did you change your mind about\nentering a Present Code?
Msg_DeliveryServiceClerk_ValidPresentCode1	Aha! That code checks out. Your Delivery Present is\nalready on its way! Look for it in front of {color[ff4d2fff]}your house{color[000000ff]}.
Msg_DeliveryServiceClerk_PresentStockIsFull	{[1403]}Didn't you see, Kirby? Your Delivery Present was\n{color[ff4d2fff]}already delivered{color[000000ff]} to your house! Go take a look!
Msg_DeliveryServiceClerk_GetFigure	Hold on a sec, Kirby. I have one other present to\ndeliver to you—directly this time!{[0004]}{[1400]}I want to thank you for using Waddle Dee-liveries so\noften...so here's a {color[ff4d2fff]}special figure{color[000000ff]} just for you!
Msg_TownSupportTalk_SupportCoin_00	{[1901|03cd]}The Waddle Dees in town all chipped in and had\n{color[ff4d2fff]}{[0100|8000]} Star Coins delivered {color[000000ff]}to your house, Kirby!{[0004]}If you lose a whole lot of {[0100|8000]} Star Coins during your\nadventure, the Waddle Dees will help you regain\n{color[ff4d2fff]}roughly half{color[000000ff]} of the lost amount. They're so sweet!
Msg_FoodShopClerk_WelcomeFirst1	Welcome to the {color[ff4d2fff]}Waddle Dee Café{color[000000ff]}, the coziest little\nbistro in town!{[0004]}You can grab a bite here and {color[ff4d2fff]}recover your health{color[000000ff]}.\nWe sell all kinds of tasty treats!
Msg_FoodShopClerk_WelcomeFirst2	{[1800]}{[1401]}Think you'll need a snack later on? You can order\nfood here and {color[ff4d2fff]}take it to go{color[000000ff]}!{[0004]}You'll bring that to-go order {color[ff4d2fff]}into stages as a stock\nitem{color[000000ff]}. Then you can save it until you're in a pinch!
Msg_FoodShopClerk_WelcomeFirst3	You can only carry {color[ff4d2fff]}one stock item at a time{color[000000ff]} though.\nJust keep that in mind.{[0004]}So, Kirby...what can I get ya?
Msg_FoodShopClerk_Welcome	Welcome! What can I get ya?
Msg_FoodShopClerk_AskBuying	{color[ff4d2fff]}{[0315]}{color[000000ff]}? Got it. That'll be {[0100|8000]} {color[ff4d2fff]}{[0301|0000]}{color[000000ff]}.
Msg_FoodShopClerk_Thanks	Thanks for stopping by! Hope to see you again soon!
Msg_FoodShopClerk_PointStarShortage	Uh-oh... You {color[ff4d2fff]}don't have enough{color[000000ff]} {[0100|8000]} Star Coins.
Msg_FoodShopClerk_AskTakeOut	Would you like to eat this here or take it to go?
Msg_FoodShopClerk_ThanksTakeOut	Thanks! You'll hold your to-go order as a stock item.\nWhen you need a pick-me-up, {color[ff4d2fff]}hold down {[0702|0200]}{color[000000ff]}!
Msg_FoodShopClerk_ThanksForHere	Thanks for stopping by! Hope you enjoy it!
Msg_FoodShopClerk_GiveFigure	{[1800]}{[1401]}Hey, Kirby? I got a special order for you...{[0004]}{[1400]}Ding! Order up! It's this {color[ff4d2fff]}special figure{color[000000ff]}! I want you to\nhave it. Thanks for being such a great customer.
Msg_MgameFoodClerk_FirstTalk	Hey, Kirby! Got a sec?{[0004]}Now that the Waddle Dee Café is open, we're looking\nto hire some help! It's just a {color[ff4d2fff]}part-time gig{color[000000ff]}...{[0004]}I don't suppose you're looking to start a career in\nfood service...are ya, Kirby?
Msg_MgameFoodClerk_Induction	Help wanted for a part-time gig! Come work for the\nbest—and only—café in Waddle Dee Town!
Msg_MgameFoodClerk_Thanks	Thanks for your hard work, Kirby! Hope you can help\nus out again soon!
Msg_MgameFoodClerk_GiveFigure	{[1800]}{[1401]}Kirby! May I speak with you for a sec?{[0004]}{[1400]}You've been helping us a lot lately. It's a tough gig,\nbut you even handled the Frenzy like a pro! So, uh...{[0004]}We'd like for you to have this {color[ff4d2fff]}special figure{color[000000ff]}! And our\ndeepest thanks! Ready? Here it comes... Thanks.
Msg_KnowledgeWaddleDee_WelcomeFirst1	How do you do? They call me {color[ff4d2fff]}Wise Waddle Dee{color[000000ff]}.
Msg_KnowledgeWaddleDee_WelcomeFirst2	After I landed here, I found this mysterious book...\nIt lists the locations of undiscovered {color[ff4d2fff]}blueprints{color[000000ff]}!{[0004]}It also collects {color[ff4d2fff]}high scores{color[000000ff]} and tons of other {color[ff4d2fff]}info{color[000000ff]}\nfrom {color[ff4d2fff]}all over the world{color[000000ff]}!{[0004]}If you'd like to know more, I'd be happy to share!
Msg_KnowledgeWaddleDee_WelcomeNormal	How do you do, Kirby? Would you like to hear the\nlatest info from around the world?
Msg_KnowledgeWaddleDee_WelcomeConnectError	Hello, Kirby! I was {color[ff4d2fff]}unable to update my info online{color[000000ff]}...\nso I'll just tell you everything I already knew.
Msg_KnowledgeWaddleDee_WelcomeNoAutoConnect	How do you do, Kirby? There's plenty to discuss\ntoday...but you'll have to connect online first!
Msg_KnowledgeTopic_RemainingBlueprintStageFormer	The blueprint for a new {color[ff4d2fff]}{[030a]} {color[000000ff]}evolution is hiding\nin the {color[ff4d2fff]}first half{color[000000ff]} of "{color[ff4d2fff]}{[030f]}{color[000000ff]}"{color[ff4d2fff]}\n{color[000000ff]}in{color[ff4d2fff]} {[030e]}{color[000000ff]}...
Msg_KnowledgeTopic_RemainingBlueprintStageLater	The blueprint for a new {color[ff4d2fff]}{[030a]} {color[000000ff]}evolution is hiding\nin the {color[ff4d2fff]}latter half {color[000000ff]}of "{color[ff4d2fff]}{[030f]}{color[000000ff]}"\nin{color[ff4d2fff]} {[030e]}{color[000000ff]}...
Msg_KnowledgeTopic_RemainingBlueprintStageRoom	The blueprint for a new {color[ff4d2fff]}{[030a]} {color[000000ff]}evolution is hiding\nin a {color[ff4d2fff]}side room{color[000000ff]} in "{color[ff4d2fff]}{[030f]}{color[000000ff]}"\nin {color[ff4d2fff]}{[030e]}{color[000000ff]}...
Msg_KnowledgeTopic_RemainingBlueprintStageOther	The blueprint for a new {color[ff4d2fff]}{[030a]} {color[000000ff]}evolution is hiding\ninside "{color[ff4d2fff]}{[030f]}{color[000000ff]}" in\n{color[ff4d2fff]}{[030e]}{color[000000ff]}...
Msg_KnowledgeTopic_BlueprintHintJunkNeedle	You'll find it by climbing a ladder, then triggering\na {color[ff4d2fff]}Bomb Block{color[000000ff]}... Got it?
Msg_KnowledgeTopic_BlueprintHintTimeCrash	It appears to be at the far end of a {color[ff4d2fff]}hole in the wall{color[000000ff]}.\nKeep an eye out for a green coin!
Msg_KnowledgeTopic_BlueprintHintTwinDrill	It'll be {color[ff4d2fff]}in a barrel {color[000000ff]}near the entrance of a cave!
Msg_KnowledgeTopic_BlueprintHintDeepSleep	It seems to be {color[ff4d2fff]}in a machine{color[000000ff]} that goes up and down.\nLook for a blue light to show you the way!
Msg_KnowledgeTopic_BlueprintHintStormTornado	If I understand this correctly, which I usually do...\nit's near the{color[ff4d2fff]} section with the roller coaster{color[000000ff]}!
Msg_KnowledgeTopic_RemainingBlueprintMetaKnight	Ah! This blueprint is a {color[ff4d2fff]}tournament prize within\nthe Colosseum{color[000000ff]}!
Msg_KnowledgeTopic_RemainingBlueprintMorphoKnight	Oh dear. It appears that you forgot to grab the\nblueprint inside of {color[ff4d2fff]}Forgo Land{color[000000ff]}...
Msg_KnowledgeTopic_RemainingBlueprintDedede	Ah! {color[ff4d2fff]}King Dedede {color[000000ff]}has the blueprint! Isn't he {color[ff4d2fff]}in town{color[000000ff]}?
Msg_KnowledgeTopic_RemainingBlueprintPartiallyComplete	You haven't {color[ff4d2fff]}missed any blueprints{color[000000ff]} thus far. If I read\nabout a new blueprint's location, I'll help you find it!
Msg_KnowledgeTopic_RemainingBlueprintComplete	Oh! Look at that! You've {color[ff4d2fff]}collected every blueprint{color[000000ff]}!\nStellar work, Kirby. I had nary a doubt in you.
Msg_KnowledgeWaddleDee_AskListenMore	Would you like to hear more?
Msg_KnowledgeWaddleDee_YourScoreNo1	\n\n{[1403]}{[1500|3a00]}{size[9600]}What?!{size[6400]}{[0004]}That impressive world record I just told you about...\n{color[ff4d2fff]}belongs to you{color[000000ff]}?!{[0004]}My goodness! I can't believe I'm speaking to a\nworld-record holder... This is quite the honor!{[0004]}{color[ff4d2fff]}Congratulations on your world record for this week!{color[000000ff]}
