glossary.msbt
gl_799	クッパケーキ
bd00_p02_mw_lastSpBonus02b	{r2[よそう]}予想{/r2}と{r2[い]}言{/r2}えば、みなさまおなじみこの{r2[かた]}方{/r2}です。\r\nそれではどうぞー！
bd00_p02_mw_lastSpBonus02c	{r2[よそう]}予想{/r2}してくれるのは、\r\n{r2[さいきん]}最近{/r2}、ひそかに{r2[にんき]}人気{/r2}のこの{r2[かた]}方{/r2}です！！
bd00_p02_mw_lastSpBonus04	では、{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}さーん！\r\nこちらに{r2[き]}来{/r2}てください！{color[000000ff]}
bd00_p02_mw_lastSpBonus03	{r2[ゆうしょう]}優勝{/r2}{r2[こうほ]}候補{/r2}の{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}さんには、{color[000000ff]}\r\n[1]{color[110c1dff]}をプレゼントしちゃいます！{color[000000ff]}
bd00_p02_mw_lastSpBonus05	{r2[ゆうしょう]}優勝{/r2}{r2[こうほ]}候補{/r2}の{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}さんには、\r\n{color[ff3502ff]}[1]{color[110c1dff]}をプレゼントしちゃいます！{color[000000ff]}
bd00_p02_mw_lastSpEffect00	さて、これからのラストスパート{r2[きかん]}期間{/r2}ですが…
bd00_p02_mw_lastSpEffect01	{color[ff3502ff]}プラスマス{color[000000ff]}{color[110c1dff]}で、もらえる{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コインが\r\n{r2[いま]}今{/r2}までの{r2[ばい]}倍{/r2}の6{r2[まい]}枚{/r2}になります！{color[000000ff]}
bd00_p02_mw_lastSpEffect02	しかし、{color[ff3502ff]}マイナスマス{color[000000ff]}{color[110c1dff]}で{r2[うしな]}失{/r2}う{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コインも\r\n6{r2[まい]}枚{/r2}になるので、{r2[き]}気{/r2}をつけてくださいね。{color[000000ff]}
bd00_p02_mw_lastSpEffect03	さらに、{r2[おな]}同{/r2}じマスに{r2[ふたりいじょう]}2人以上{/r2}{r2[と]}停{/r2}まると\r\nけっとうがはじまりますよ！
bd00_p02_mw_lastSpEffect04	…{r2[ぎゃくてん]}逆転{/r2}のチャンスは、まだあります。\r\n{r2[さいご]}最後{/r2}まであきらめず、がんばってくださいね！
bd00_p02_mw_lastSpEffect05	あ、{color[ff3502ff]}ノコノコバンク{color[000000ff]}{color[110c1dff]}で{r2[ぼきん]}募金{/r2}する{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コインも{color[000000ff]}\r\n{color[ffffffff]}{color[000000ff]}{color[110c1dff]}5コインに{r2[ふ]}増{/r2}えますからね。{color[000000ff]}
bd00_p02_mw_turnChange00	ここで、みなさんにご{r2[ほうこく]}報告{/r2}です！
bd00_p02_mw_turnChange01	[0]ターンで{r2[お]}終{/r2}わる{r2[よてい]}予定{/r2}だった{r2[こんかい]}今回{/r2}のゲームですが\r\n[1]ターンまで{r2[つづ]}続{/r2}くことが{r2[き]}決{/r2}まりました。
bd00_p02_mw_afterLastSP00	{r2[さき]}先{/r2}ほどお{r2[つた]}伝{/r2}えしたラストスパートも\r\nここから{r2[いったんちゅうし]}一旦中止{/r2}となります。
bd00_p02_mw_afterLastSP01	{color[ff3502ff]}プラスマス{color[000000ff]}{color[110c1dff]}、{color[000000ff]}{color[ff3502ff]}マイナスマス{color[000000ff]}{color[110c1dff]}の{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コイン{r2[すう]}数{/r2}は\r\n3{r2[まい]}枚{/r2}ずつにもどり…{color[000000ff]}
bd00_p02_mw_afterLastSP02	{r2[おな]}同{/r2}じマスに{r2[ふたり]}2人{/r2}{r2[いじょう]}以上{/r2}{r2[と]}停{/r2}まっても、\r\nけっとうは{r2[はっせい]}発生{/r2}しなくなります。
bd00_p02_mw_afterLastSP03	{color[ff3502ff]}ノコノコバンク{color[000000ff]}{color[110c1dff]}で{r2[ぼきん]}募金{/r2}する{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コイン{r2[すう]}数{/r2}も\r\n{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}3コインにもどって…{color[000000ff]}
bd00_p02_mw_turnChange03	それでは、みなさん{r2[ひ]}引{/r2}き{r2[つづ]}続{/r2}き\r\n[0]ターンまで、がんばってくださいね！
bd00_tlp_start_chaname	[0] スタート！
bd00_p03_mw_firstItem00	さっき{r2[て]}手{/r2}に{r2[い]}入{/r2}れたアイテムが、{r2[つか]}使{/r2}えます。\r\nさっそく{r2[つか]}使{/r2}ってみませんかー？
bd00_pl_dice	サイコロ
bd00_pl_item	アイテム
bd00_pl_map	マップ
bd00_map_cell_name	[0]
bd00_map_cell_details	[0]
bd00_map_s00_details00	20コインで1スターゲット
bd00_map_s00_details01	{r2[いま]}今{/r2}ならあなただけ{r2[はんがく]}半額{/r2}！\r\n10コインで1スターゲット
bd00_map_s00_details02	{r2[いま]}今{/r2}なら{color[ff3502ff]}2ばいカード{color[000000ff]}{color[ffffffff]}で2つ{r2[か]}買{/r2}える！\r\n{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[ffffffff]}40コインで{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[ffffffff]}2スターゲット{color[000000ff]}
bd00_map_s00_details03	{r2[いま]}今{/r2}なら{color[ff3502ff]}2ばいカード{color[000000ff]}{color[ffffffff]}と{r2[はんがくこうか]}半額効果{/r2}で{color[000000ff]}\r\n{color[ffffffff]}{color[000000ff]}{color[ffffffff]}20コインで{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[ffffffff]}2スターゲット{color[000000ff]}
bd00_map_s01_details00	コインでアイテムが{r2[か]}買{/r2}える
bd00_map_s01_details01	コインでアイテムが{r2[か]}買{/r2}える\r\nただいま{r2[う]}売{/r2}り{r2[き]}切{/r2}れ{r2[ちゅう]}中{/r2}
bd00_map_s02_details	{r2[すす]}進{/r2}む{r2[みち]}道{/r2}を{r2[せんたく]}選択{/r2}できる
bd00_map_s03_details	マップ1{r2[しゅう]}周{/r2}！\r\n{r2[きねん]}記念{/r2}に10コインもらえる
bd00_map_s04_details	{color[ff3502ff]}クッパ{color[000000ff]}{color[ffffffff]}が\r\n{r2[なに]}何{/r2}かくれるらしい…{color[000000ff]}
bd00_map_s05_details	{r2[と]}閉{/r2}ざされたゲート\r\nカギがあれば{r2[ひら]}開{/r2}きそう？
bd00_map_s06_details	ライバルから{r2[むりょう]}無料{/r2}でコインか\r\n50コインでスターをうばえる
bd00_map_c00_details	スーパースターへの{r2[みち]}道{/r2}のりは\r\nここから
bd00_map_c01_details	[0]コインもらえる
bd00_map_c02_details	[0]コインうばわれる
bd00_map_c03_details00	アイテムミニゲームで\r\nアイテムをゲットしよう
bd00_map_c03_details01	ラストターンなので\r\nアイテムミニゲームは{r2[おこな]}行{/r2}わないよ
bd00_map_c05_details	3つの{r2[かいてん]}回転{/r2}ブロックをたたいて\r\n{r2[ぎゃくてん]}逆転{/r2}の{r2[だい]}大{/r2}チャンス！
bd00_map_c06_details00	ルーレットでアイテムや\r\nコインがもらえるかも！
bd00_map_c06_details01	ルーレットで\r\nコインがもらえるよ！
bd00_map_c07_details	{r2[わる]}悪{/r2}いことしか{r2[お]}起{/r2}こらない\r\n{r2[いちばん]}一番{/r2}{r2[と]}停{/r2}まると{r2[きけん]}危険{/r2}なマス
bd00_map_c08_details	みんなからコインを{r2[あつ]}集{/r2}めて\r\nミニゲームで{r2[たいせん]}対戦{/r2}できる
bd00_map_c09_details	マスを{r2[とお]}通{/r2}るたびに[0]コイン{r2[ぼきん]}募金{/r2}\r\n{r2[と]}停{/r2}まるといいことが{r2[お]}起{/r2}こるかも！
bd00_2Dmap_cell_name	[0]
bd00_2Dmap_ctrl_back	マップを{r2[と]}閉{/r2}じる
bd00_2Dmap_ctrl_display	{r2[しゅうへん]}周辺{/r2}マップ
bd00_3Dmap_ctrl_cursor	カーソル{r2[いどう]}移動{/r2}
bd00_2Dmap_c09_coin	[0]
bd00_s00_mw_welcome00	{color[ffffffff]}…すごーい！あなたには\r\n{color[ff3502ff]}スーパースター{color[ffffffff]}の{r2[しかく]}資格{/r2}があるようです！{color[000000ff]}
bd00_s00_mw_welcome01	わあ！なんと{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}さんが\r\nまた、{color[000000ff]}{color[ff3502ff]}スーパースター{color[000000ff]}{color[ffffffff]}の{r2[しかく]}資格{/r2}があるようです！{color[000000ff]}
bd00_s00_mw_welcome02	すばらしいです！{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}さん！\r\n{r2[こんど]}今度{/r2}も{color[000000ff]}{color[ff3502ff]}スーパースター{color[000000ff]}{color[ffffffff]}の{r2[しかく]}資格{/r2}があるようです！{color[000000ff]}
bd00_s00_mw_noCoin00	{color[ffffffff]}…{color[ffffffff]}{color[ffffffff]}コインが{r2[た]}足{/r2}りないですね。\r\nまだ、{color[ff3502ff]}スーパースター{color[ffffffff]}の{r2[しかく]}資格{/r2}が{r2[な]}無{/r2}いようです。{color[000000ff]}
bd00_s00_mw_exchange00	スターをゲットしますか？
bd00_s00_mw_exchange00_a0	いらない
bd00_s00_mw_exchange00_a1	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}10→{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}1{color[000000ff]}
bd00_s00_mw_exchange00_a2	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}20→{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}1{color[000000ff]}
bd00_s00_mw_exchange00_a3	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}20→{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}2{color[000000ff]}
bd00_s00_mw_exchange00_a4	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}40→{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}2{color[000000ff]}
bd00_s00_mw_exchange01	では、スターをどうぞー！
bd00_s00_mw_exchange02a	すごいです！！\r\n{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}さんが、{r2[れんぞく]}連続{/r2}で{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[ffffffff]}スターゲットです！{color[000000ff]}
bd00_s00_mw_exchange02b	さすが、{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}さん！{color[000000ff]}\r\n{color[ffffffff]}{r2[れんぞく]}連続{/r2}で{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[ffffffff]}スターゲットですよ。{color[000000ff]}
bd00_s00_mw_exchange02c	{r2[れんぞく]}連続{/r2}で{color[ffffffff]}{color[000000ff]}{color[ffffffff]}スターをゲットするなんて\r\n{color[000000ff]}{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}さん！すばらしい！{color[000000ff]}
bd00_s00_mw_exchange03	…さらにラッキー！{r2[はんがく]}半額{/r2}で！\r\nなんと！{color[ff3502ff]}2ばいカード{color[000000ff]}{color[ffffffff]}までー！！{color[000000ff]}
bd00_s00_mw_exchange04	わー！すごいです！\r\n1ターンの{r2[あいだ]}間{/r2}で、{r2[れんぞく]}連続{/r2}スターゲットですー！
bd00_s00_mw_exchange05	{color[ff3502ff]}[0]{color[000000ff]}{color[ffffffff]}さん！ミ、ミラクルです！\r\nミラクル{r2[れんぞく]}連続{/r2}スターゲットでーす！{color[000000ff]}
bd00_s00_mw_halfStar00	ラッキー！{r2[はんがく]}半額{/r2}でゲットでーす！
bd00_s00_mw_halfStar01	…しかも！{r2[はんがく]}半額{/r2}なんて！\r\nとってもラッキーですよ！
bd00_s00_mw_noExchange00	…え？ええええー？？\r\nスターはいらないんですか？
bd00_s00_mw_noExchange01	え、{r2[ほんとう]}本当{/r2}にいいんですか？
bd00_s00_mw_noExchange02	{r2[ほんとう]}本当{/r2}の{r2[ほんとう]}本当{/r2}にいいの？？……{r2[だいじょうぶ]}大丈夫{/r2}？
bd00_s00_mw_noExchange03	そこまで{r2[い]}言{/r2}うなら、わかりました。\r\n…きっと、{r2[なに]}何{/r2}かの{r2[かんが]}考{/r2}えがあるんですよね？
bd00_s00_mw_starMove00	{r2[つぎ]}次{/r2}に{r2[めざ]}目指{/r2}すスターの{r2[ばしょ]}場所{/r2}は……
bd00_s00_mw_starMove01	スターは、ここでーす！
bd00_s01_ui_shopClosed	{r2[へいてん]}閉店{/r2}です。
bd00_s01_ui_itemPrice	[0]
bd00_s01_ui_itemName	[0]
bd00_s01_ui_itemDetails	[0]
bd00_s01_ctrl_cancel	やめる
bd00_s01_ctrl_map	マップを{r2[み]}見{/r2}る
bd00_s01_mw_noCoin00	{color[ff3502ff]}アイテムショップ{color[000000ff]}{color[ffffffff]}です！\r\n{r2[なに]}何{/r2}か{r2[か]}買{/r2}っていきますかー？{color[000000ff]}
bd00_s01_mw_noCoin01	…と{r2[おも]}思{/r2}ったら、コインが{r2[た]}足{/r2}りないようです。\r\nまたのおこしをお{r2[ま]}待{/r2}ちしてまーす。
bd00_s01_mw_welcome00	{color[ff3502ff]}アイテムショップ{color[000000ff]}{color[ffffffff]}です！\r\n{r2[なに]}何{/r2}か{r2[か]}買{/r2}っていきますかー？{color[000000ff]}
bd00_s01_mw_welcome01	{r2[しょうひん]}商品{/r2}が{r2[すこ]}少{/r2}し{r2[か]}変{/r2}わりましたよ。\r\nぜひ、{r2[み]}見{/r2}ていってください！
bd00_s01_mw_welcome02	もう{r2[すこ]}少{/r2}し、ゲームが{r2[つづ]}続{/r2}くということなので\r\n{r2[しょうひん]}商品{/r2}を{r2[さいしょ]}最初{/r2}の{r2[もの]}物{/r2}にもどしました。
bd00_s01_mw_welcome03	また{r2[しょうひん]}商品{/r2}を{r2[すこ]}少{/r2}し{r2[か]}変{/r2}えました！\r\nどうぞ、{r2[み]}見{/r2}ていってください！
bd00_s03_mw_welcome00a	はい、おつかれー！\r\n{r2[しゅうかい]}周回{/r2}ボーナスの10コインだよ！
bd00_s03_mw_welcome00b	はい、{r2[しゅうかい]}周回{/r2}ボーナスだよ！\r\n10コインあげるね。
bd00_s03_mw_welcome00c	おつかれ、がんばってるねー！\r\n{r2[しゅうかい]}周回{/r2}ボーナスの10コインだよ！
bd00_mgResult_rank_1st	[0]
bd00_mgResult_rank_below	[0]
bd00_mgResult_ui_Win	{r2[か]}勝{/r2}ち
bd00_mgResult_ui_catchUp	{r2[お]}追{/r2}い{r2[あ]}上{/r2}げ！
bd00_mgResult_ui_keep	キープ！
bd00_mgResult_ui_reversal	{r2[ぎゃくてん]}逆転{/r2}！
bd00_tlp_cell	[0]
bd00_duel_mw_welcome00	{r2[おな]}同{/r2}じマスに、{r2[ふたり]}2人{/r2}{r2[いじょう]}以上{/r2}{r2[と]}停{/r2}まりました。\r\nということで、けっとうがはじまりまーす！
bd00_duel_mw_noCoin00	…と{r2[おも]}思{/r2}ったら、{color[110c1dff]}{color[ffffffff]}{color[110c1dff]}コインを{r2[も]}持{/r2}ってませんね。\r\n{r2[ざんねん]}残念{/r2}ですが、けっとうは{r2[ちゅうし]}中止{/r2}です。{color[000000ff]}
bd00_duel_mw_choice00	けっとうは1{r2[たい]}対{/r2}1の{r2[しんけんしょうぶ]}真剣勝負{/r2}。\r\n{r2[たたか]}戦{/r2}う{r2[あいて]}相手{/r2}を、{r2[ひとり]}1人{/r2}{r2[えら]}選{/r2}んでください！
bd00_duel_mw_choice01	ちなみに、{color[110c1dff]}{color[ffffffff]}{color[110c1dff]}コインを{r2[も]}持{/r2}っていない{r2[ひと]}人{/r2}は\r\nけっとうに{r2[さんか]}参加{/r2}できません。{color[000000ff]}
bd00_duel_mw_choice02	…おっと、{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コインを{r2[も]}持{/r2}ってない{r2[ひと]}人{/r2}がいるので\r\n{r2[あいて]}相手{/r2}は{color[000000ff]}{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}さんに{r2[けってい]}決定{/r2}です。{color[000000ff]}
bd00_rivalSlct_order_duel	{r2[だれ]}誰{/r2}とけっとうしますか？
bd00_duel_mw_betCoin03	お{r2[たが]}互{/r2}いの{r2[も]}持{/r2}っている{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コイン{r2[ない]}内{/r2}で\r\nかける{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コイン{r2[すう]}数{/r2}を{r2[き]}決{/r2}めましょう。{color[000000ff]}
bd00_duel_mw_betCoin00	それでは、{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}さん！\r\nかける{color[ffffffff]}{color[110c1dff]}コイン{r2[すう]}数{/r2}を{r2[き]}決{/r2}めてください！{color[000000ff]}
bd00_duel_mw_betCoin04	…おや？{color[ff3502ff]}[0]{color[000000ff]}{color[110c1dff]}さんは{color[000000ff]}\r\n{color[ffffffff]}{color[000000ff]}{color[110c1dff]}1コインしか{r2[も]}持{/r2}っていませんね。{color[000000ff]}
bd00_duel_mw_betCoin05	おや、{r2[ふたり]}2人{/r2}とも\r\n{color[ffffffff]}{color[000000ff]}{color[110c1dff]}1コインしか{r2[も]}持{/r2}っていませんね。{color[000000ff]}
bd00_duel_ui_betCoin	[0]
bd00_duel_mw_betCoin01	{color[110c1dff]}では、{color[ffffffff]}{color[110c1dff]}[0]コインずつ{r2[あず]}預{/r2}かりますね。{color[000000ff]}
bd00_duel_mw_betCoin01p	{color[110c1dff]}では、{color[ffffffff]}{color[110c1dff]}[0]コインずつ{r2[あず]}預{/r2}かりますね。{color[000000ff]}
bd00_duel_mw_betCoin02	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}[0]コインでいいですか？{color[000000ff]}
bd00_duel_mw_betCoin02p	{color[ffffffff]}{color[000000ff]}{color[110c1dff]}[0]コインでいいですか？{color[000000ff]}
bd00_duel_mw_betCoin02_a0	はい
bd00_duel_mw_betCoin02_a1	いいえ
bd00_duel_mw_totalCoin00	{color[110c1dff]}…{r2[ごうけい]}合計{/r2}{color[000000ff]}{color[ffffffff]}{color[110c1dff]}[0]{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コイン{r2[あつ]}集{/r2}まりましたね！\r\n{r2[しょうしゃ]}勝者{/r2}が、{r2[すべ]}全{/r2}てをゲットしますよ。{color[000000ff]}
bd00_duel_mw_totalCoin01	なんと！{r2[ごうけい]}合計{/r2}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}[0]コインも{r2[あつ]}集{/r2}まりました！\r\n{r2[て]}手{/r2}にするのは、はたしてどちらか！？{color[000000ff]}
bd00_duel_mw_totalCoin02	な！なんと！{color[ffffffff]}{color[000000ff]}{color[110c1dff]}[0]コインも{r2[あつ]}集{/r2}まりました！\r\nこれはビッグチャンスですよー！！{color[000000ff]}
bd00_duel_mw_start00	…さぁ、{r2[じゅんび]}準備{/r2}はいいですか？\r\nけっとうスタートでーーす！！
bd00_duel_mw_win00	{r2[しょうぶ]}勝負{/r2}ありーー！！\r\n{color[110c1dff]}{color[ffffffff]}{color[110c1dff]}[0]コインは、{r2[すべ]}全{/r2}て{color[ff3502ff]}[1]{color[110c1dff]}さんの{r2[もの]}物{/r2}です！{color[000000ff]}
bd00_duel_mw_draw00	おー、{r2[こんかい]}今回{/r2}はひきわけですー！\r\n{color[110c1dff]}{color[ffffffff]}{color[110c1dff]}コインは{r2[かえ]}返{/r2}しますね。{color[000000ff]}
bd00_c04_mw_lastTurn	ラストターンなので\r\nアイテムミニゲームは{r2[おこな]}行{/r2}いません。
bd00_c05_mw_welcome00a	{r2[いっぱつぎゃくてん]}一発逆転{/r2}の{r2[だい]}大{/r2}チャンス！！\r\n{color[ff3502ff]}チャンスマス{color[000000ff]}{color[110c1dff]}へようこそー！{color[000000ff]}
bd00_c05_mw_welcome00b	{r2[ぜんせかい]}全世界{/r2}のみなさん、お{r2[ま]}待{/r2}たせしました！\r\n{r2[いっぱつぎゃくてん]}一発逆転{/r2}の{color[ff3502ff]}チャンスマス{color[000000ff]}{color[110c1dff]}へようこそー！！{color[000000ff]}
bd00_c05_mw_welcome00c	イエーイ！{color[ff3502ff]}チャンスマス{color[000000ff]}{color[110c1dff]}へようこそ！！\r\nさくっと{r2[だいぎゃくてん]}大逆転{/r2}も{r2[ゆめ]}夢{/r2}じゃないですよー！{color[000000ff]}
bd00_c05_mw_welcome01	ここでは、ブロックに{r2[か]}書{/r2}かれた{r2[ないようどお]}内容通{/r2}りに\r\n{color[ffffffff]}{color[000000ff]}{color[110c1dff]}スターや{color[000000ff]}{color[ffffffff]}{color[000000ff]}{color[110c1dff]}コインが{r2[いどう]}移動{/r2}しちゃいます！{color[000000ff]}
bd00_c05_mw_welcome02	{r2[かいてん]}回転{/r2}する3つのブロックを、よく{r2[み]}見{/r2}てたたいて\r\n{r2[と]}止{/r2}めてくださいね！それではどうぞー－！
bd00_tlp_chanceTime	CHANCE TIME!
bd00_c05_mw_payCoin00	{color[110c1dff]}{color[ff3502ff]}[0]{color[110c1dff]}さんが{color[ff3502ff]}[1]{color[110c1dff]}さんへ\r\n{color[ffffffff]}{color[110c1dff]}[2]コインプレゼントします！{color[000000ff]}
bd00_c05_mw_payStar00	{color[110c1dff]}{color[ff3502ff]}[0]{color[110c1dff]}さんが{color[ff3502ff]}[1]{color[110c1dff]}さんへ\r\n{color[ffffffff]}{color[110c1dff]}1スタープレゼントします！！{color[000000ff]}
bd00_c05_mw_changeAllCoin00	{color[110c1dff]}{color[ff3502ff]}[0]{color[110c1dff]}さんと{color[ff3502ff]}[1]{color[110c1dff]}さんの\r\n{r2[すべ]}全{/r2}ての{color[ffffffff]}{color[110c1dff]}コインが、{r2[こうかん]}交換{/r2}となります！{color[000000ff]}
bd00_c05_mw_changeAllStar00	{color[110c1dff]}{color[ff3502ff]}[0]{color[110c1dff]}さんと{color[ff3502ff]}[1]{color[110c1dff]}さんの\r\n{r2[すべ]}全{/r2}ての{color[ffffffff]}{color[110c1dff]}スターが{r2[こうかん]}交換{/r2}となりまーす！{color[000000ff]}
bd00_c05_mw_changeAll00	{color[110c1dff]}{color[ff3502ff]}[0]{color[110c1dff]}さんと{color[ff3502ff]}[1]{color[110c1dff]}さんの\r\n{color[ffffffff]}{color[110c1dff]}コインと{color[ffffffff]}{color[110c1dff]}スターを{r2[ぜんぶ]}全部{/r2}、{r2[こうかん]}交換{/r2}しちゃいますー！{color[000000ff]}
bd00_c05_mw_changeAll01	まずは{color[110c1dff]}{color[ffffffff]}{color[110c1dff]}コインから{r2[こうかん]}交換{/r2}です！{color[000000ff]}
bd00_c05_mw_changeAll02	{r2[つづ]}続{/r2}いて{color[110c1dff]}{color[ffffffff]}{color[110c1dff]}スターの{r2[こうかん]}交換{/r2}ですよ！{color[000000ff]}
bd00_c05_mw_noChange00	{color[110c1dff]}……あれ？{r2[ざんねん]}残念{/r2}ですが\r\n{color[ffffffff]}{color[110c1dff]}コインを{r2[も]}持{/r2}っていないようですね。{color[000000ff]}
bd00_c05_mw_noChange01	{color[110c1dff]}……あれ？{r2[ざんねん]}残念{/r2}ですが\r\n{color[ffffffff]}{color[110c1dff]}スターを{r2[も]}持{/r2}っていないようですね。{color[000000ff]}
bd00_c05_mw_noChange02	…あれれ？{r2[ふたり]}2人{/r2}とも\r\n{r2[なに]}何{/r2}も{r2[も]}持{/r2}っていませんね。めずらしい！
bd00_c05_mw_finish00a	これにて、{color[ff3502ff]}チャンスマス{color[000000ff]}{color[110c1dff]}{r2[しゅうりょう]}終了{/r2}です！\r\nまたお{r2[あ]}会{/r2}いしましょー！{color[000000ff]}
bd00_c05_mw_finish00b	という{r2[ところ]}所{/r2}で、{color[ff3502ff]}チャンスマス{color[000000ff]}{color[110c1dff]}{r2[しゅうりょう]}終了{/r2}です！\r\nまたのおこしをお{r2[ま]}待{/r2}ちしておりまーす！{color[000000ff]}
bd00_c05_mw_finish00c	これで、{color[ff3502ff]}チャンスマス{color[000000ff]}{color[110c1dff]}は{r2[しゅうりょう]}終了{/r2}です！\r\n{r2[ぎゃくてん]}逆転{/r2}したくなったら、またどうぞー！！{color[000000ff]}
bd00_c05_mw_finish01	…あれれ？{r2[さいしょ]}最初{/r2}と{r2[なに]}何{/r2}も{r2[か]}変{/r2}わってませんね。
bd00_c07_mw_welcome00a	ガッハッハッハ！
bd00_c07_mw_welcome00b	ガハハハッ！ウェルカーム！！
bd00_c07_mw_welcome01a	{color[ff3502ff]}クッパマス{color[000000ff]}{color[ffffffff]}へよく{r2[き]}来{/r2}たな！\r\n{r2[きょうふ]}恐怖{/r2}のイベントを{r2[たの]}楽{/r2}しんでいくがいい！{color[000000ff]}
bd00_c07_mw_welcome01b	ここは{color[ff3502ff]}クッパマス{color[000000ff]}{color[ffffffff]}だ！\r\n{r2[たの]}楽{/r2}しい{r2[たの]}楽{/r2}しいイベントをはじめるぞー！{color[000000ff]}
bd00_c07_mw_welcome01c	{color[ff3502ff]}クッパマス{color[000000ff]}{color[ffffffff]}へよく{r2[き]}来{/r2}たな！\r\n{r2[さいあく]}最悪{/r2}のイベントを、{r2[あじ]}味{/r2}わうがいい！{color[000000ff]}
bd00_c07_mw_4thPlace00	…ん？オマエ、ビリではないか！\r\nなんて、かわいそうなヤツなんだー！！
bd00_c07_mw_4thPlace01	ビリなりにがんばれよ、ビリなりにな。\r\n…これ、{r2[すく]}少{/r2}ないけど、{r2[と]}取{/r2}っておけ！
bd00_c07_mw_payCoin00	それでは、コインをよこすのだ！
bd00_c07_mw_payCoinLack00	…ん？コインが{r2[た]}足{/r2}りないじゃないか！\r\nしかたない、{r2[も]}持{/r2}ってる{r2[ぜんぶ]}全部{/r2}で{r2[ゆる]}許{/r2}してやろう。
bd00_c07_mw_payCoinNone00	…ん！コインを{r2[も]}持{/r2}ってないだと！\r\nふざけたヤツめ、{r2[かえ]}帰{/r2}れ{r2[かえ]}帰{/r2}れ！！
bd00_c07_mw_allPayCoin00	ガッハッハ！よし、それでは\r\n{r2[ぜんいん]}全員{/r2}からコインをいただこう！！
bd00_c07_mw_allPayCoin01	みんなでわたせば、{r2[こわ]}怖{/r2}くないぞ！\r\nガーッハッハッハ！！
bd00_c07_mw_evenlyCoin00	…ワガハイは、ずっと{r2[かんが]}考{/r2}えていた。\r\n{r2[よ]}世{/r2}の{r2[なか]}中{/r2}、{r2[たいせつ]}大切{/r2}なのはコインじゃない！！
bd00_c07_mw_evenlyCoin01	みんな、{r2[びょうどう]}平等{/r2}になるべきなのだ！！\r\nだから、{r2[ぜんいん]}全員{/r2}のコインを{r2[おな]}同{/r2}じ{r2[かず]}数{/r2}にするぞ！
bd00_c07_mw_evenlyCoin03	…というわけで、コインを{r2[すべ]}全{/r2}て{r2[だ]}出{/r2}すのだ！
bd00_c07_mw_evenlyCoin04	…うむ、{r2[ぜんぶ]}全部{/r2}で[0]{r2[まいあつ]}枚集{/r2}まったな。\r\nでは、これを{r2[びょうどう]}平等{/r2}に{r2[わ]}分{/r2}けるとしよう！
bd00_c07_mw_evenlyCoin02	これこそが、{color[ff3502ff]}クッパ{color[000000ff]}{color[ffffffff]}の{r2[よなお]}世直{/r2}し！{color[000000ff]}\r\n{color[ff3502ff]}クッパ{r2[かくめい]}革命{/r2}{color[000000ff]}{color[ffffffff]}だーーー！！{color[000000ff]}
bd00_c07_mw_changePlace00	ガハハッ！よし、{r2[ぜんいん]}全員{/r2}の{r2[ばしょ]}場所{/r2}を\r\n{r2[い]}入{/r2}れかえてやろう！！
bd00_c07_mw_changePlace01	きっと{r2[しょうぶ]}勝負{/r2}がおもしろくなるぞ。\r\nそれでは…シャッフルシャッフル！
bd00_c07_mw_100star00	………。
