affection.txt
msg_affection_talk_01	这位优秀的训练家，\c\n可以让我看看你和宝可梦的\n关系好不好吗？
msg_Ev_m10_2010_talk_02_f	因为有你在，\n我才能在ZA登峰战那么努力，\r\n还成功地保护了密阿雷。[VAR 0114(0006)]
msg_Ev_m10_2010_talk_02_m	因为有你在，\n我才能在ZA登峰战那么努力，\r\n还成功地保护了密阿雷。[VAR 0114(0005)]
msg_Ev_m10_2010_talk_08	[VAR 0100(0000)]获得了\n报酬战的报酬！
msg_Ev_m10_2010_talk_03	[VAR 018B(0001)]，\n可以说几句吗？[VAR 0114(0008)]
msg_Ev_m10_2010_talk_04_f	玛琪艾儿啊，\n有什么话要你特地来一趟？[VAR 0114(0006)]
msg_Ev_m10_2010_talk_04_m	玛琪艾儿啊，\n有什么话要你特地来一趟？[VAR 0114(0005)]
msg_Ev_m10_2010_talk_05_f	抱歉，\n等我一下。[VAR 0114(0006)]
msg_Ev_m10_2010_talk_05_m	不好意思，\n我去说几句话。[VAR 0114(0005)]
msg_Ev_m10_2010_talk_06_f	玛琪艾儿，\n那个消息当真？[VAR 0114(0006)]
msg_Ev_m10_2010_talk_06_m	玛琪艾儿，\n那个消息属实吗？[VAR 0114(0005)]
msg_Ev_m10_2010_talk_07_f	[VAR 0100(0000)]，\n要去阔星公司咯。[VAR 0114(0006)]
msg_Ev_m10_2010_talk_07_m	[VAR 0100(0000)]，\n我们去阔星公司吧。[VAR 0114(0005)]
msg_a78ef989657ec7ebfd1fba0e281c7ff2	[~ 199]
msg_Ev_m10_2100_talk_01	[VAR 0100(0000)]，你也来了啊。[VAR 0114(0008)]
msg_Ev_m10_2100_talk_02	我再确认一次。\c\n[VAR 018B(0001)]，你的外套\n是你妈妈的遗物对吧？[VAR 0114(0008)]
msg_Ev_m10_2100_talk_03_f	是的。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_03_m	没错。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_04	而把这件外套\n送给你妈妈的人……[VAR 0114(0008)]
msg_Ev_m10_2100_talk_05	是我。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_06_f	什么……？[VAR 0114(0006)]
msg_Ev_m10_2100_talk_06_m	什么意思？[VAR 0114(0005)]
msg_Ev_m10_2100_talk_07	我的女儿……\n也就是你的母亲……[VAR 0114(000D)]
msg_Ev_m10_2100_talk_08	她是从事全息技术研究的\n一名科学家，对吧？[VAR 0114(000D)]
msg_Ev_m10_2100_talk_09_f	是的。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_09_m	没错。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_10	你母亲因为公司的经营方针\n和我产生争执，离家出走了……\r\n她说自己有想研究的事。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_11_f	但是一边抚养小时候的我，\n一边搞研究是件很困难的事……[VAR 0114(0006)]
msg_Ev_m10_2100_talk_11_m	但是一边抚养小时候的我，\n一边搞研究是件很困难的事……[VAR 0114(0005)]
msg_Ev_m10_2100_talk_12_f	我想应该是闪焰队的……\n弗拉达利帮助了她吧。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_12_m	我想或许是闪焰队的……\n弗拉达利帮助了她吧。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_13	闪焰队也采用了她参与过的\n全息技术研究成果，\r\n之后阔星也使用了这项技术。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_14	尽管她和我分道扬镳了，\n想不到还是产生了交集……这就是缘分啊。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_15_f	这样啊。原来野生特区\n和我妈妈的研究有关。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_15_m	这样啊……原来野生特区\n和我妈妈的研究有关。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_16_f	但是我妈妈由于太过操劳，\n结果去了很远的地区休养。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_16_m	但是我妈妈由于太过操劳，\n结果去了很远的地区休养。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_17	是这样……\n于是在她休养的地方……[VAR 0114(000D)]
msg_Ev_m10_2100_talk_18_f	是的……[VAR 0114(0006)]
msg_Ev_m10_2100_talk_18_m	……是的。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_19_f	所以我才来到很有渊源的密阿雷，\n寻找了解我妈妈事迹的人。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_19_m	所以我才来到很有渊源的密阿雷，\n想要寻找了解我妈妈事迹的人……[VAR 0114(0005)]
msg_Ev_m10_2100_talk_20	我原本也不是\n密阿雷的本地人。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_21	所以调查\n才遇上了瓶颈啊……[VAR 0114(0008)]
msg_Ev_m10_2100_talk_22	你的外套……\c\n有修改过的痕迹，\n上面还有标志。\r\n所以我一开始不太确定。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_23	因为这个缘故，\n总裁也委托我帮忙找人了。[VAR 0114(0008)]
msg_Ev_m10_2100_talk_24	而就在那时我反应过来了！\c\n总裁和[VAR 018B(0001)]，\n你们其实是血亲，是祖孙关系。[VAR 0114(0008)]
msg_Ev_m10_2100_talk_25	我女儿……\n你母亲提起过我吗？[VAR 0114(000D)]
msg_Ev_m10_2100_talk_26_f	她很后悔一直和你不相往来。\c\n还嘱托我，如果见到了你\n希望能替她转告……[VAR 0114(0006)]
msg_Ev_m10_2100_talk_26_m	她很后悔一直和你不相往来。\c\n还嘱托我，如果见到了你\n希望能替她转告……[VAR 0114(0005)]
msg_Ev_m10_2100_talk_27_f	“虽然走上了不同的道路，\n但我们依然有很多共同点……\c\n尽管相隔两地，但意识到了这件事，\n让我的人生变得丰富多彩……”[VAR 0114(0006)]
msg_Ev_m10_2100_talk_27_m	“虽然走上了不同的道路，\n但我们依然有很多共同点……\c\n尽管相隔两地，但意识到了这件事，\n让我的人生变得丰富多彩……”[VAR 0114(0005)]
msg_Ev_m10_2100_talk_28	要是我能不那么倔强，\n去找她……去见她的话……[VAR 0114(000D)]
msg_Ev_m10_2100_talk_29_f	你不必这么介怀……\n至少你知道她想对你说什么了。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_29_m	别放在心上。\n至少你知道她想对你说什么了。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_30	[VAR 018B(0001)]，\n我有件事想拜托你。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_31	我需要为隐瞒棱镜塔的真相一事负责，\n因此，我打算辞去总裁的职务。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_32	但是为了打造人与宝可梦共生的城市，\n都市开发必须继续推进下去。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_33_f	你该不会……\n想让我当下任总裁，帮公司干活吧？[VAR 0114(0006)]
msg_Ev_m10_2100_talk_33_m	你该不会……是要我帮忙，\n甚至是要我当下任总裁？[VAR 0114(0005)]
msg_Ev_m10_2100_talk_34_f	这实在有点……\n虽然我们是亲人，但这才刚相认啊。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_34_m	我……要当总裁了？\n就算我是你的孙女……[VAR 0114(0005)]
msg_Ev_m10_2100_talk_35_f	我明白了。\n要是拒绝的话，我妈妈会难过的。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_35_m	我明白了。\n要是拒绝的话，我妈妈会难过的。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_36_f	你会理解我的，对吧？[VAR 0114(0006)]
msg_Ev_m10_2100_talk_36_m	你会理解我的，对吧……？[VAR 0114(0005)]
msg_Ev_m10_2100_select_01	当然
msg_Ev_m10_2100_select_02	不要啊……
msg_Ev_m10_2100_talk_37_f	谢谢你啦。\n你果然是最棒的。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_37_m	谢谢。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_38_f	你这么说，也太让人难受了吧！[VAR 0114(0006)]
msg_Ev_m10_2100_talk_38_m	谢谢你，\n你这么说我很开心。\c\n可即使是你的请求……\n这件事我也很难让步。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_39_f	花叶蒂。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_39_m	花叶蒂。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_40	啾噜噜。
msg_Ev_m10_2100_talk_41_f	你听到了吧？\c\n接下来一段时间我会很忙，\n看来是没法当宝可梦训练家了。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_41_m	刚才的话你听到了吧？\c\n接下来一段时间我会很忙，\n看来是没法当宝可梦训练家了。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_42_f	所以，你就和[VAR 0100(0000)]一起\n保护密阿雷吧。\r\n这也是AZ的心愿。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_42_m	所以，你就和[VAR 0100(0000)]一起\n保护密阿雷吧。\r\n这也是AZ的心愿。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_43	啾噜噜……
msg_Ev_m10_2100_talk_44	啾噜！
msg_Ev_m10_2100_talk_45_f	谢谢你，花叶蒂。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_45_m	谢谢你，花叶蒂。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_60_f	……你的盒子满了啊！\c\n拜托！这种事要从头再来一次，\n会很尴尬的！[VAR 0114(0006)]
msg_Ev_m10_2100_talk_60_m	哎呀！拜托不要\n因为盒子满了没法接收啊。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_46_f	[VAR 0100(0000)]，\n你要珍惜地使用。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_46_m	[VAR 0100(0000)]，\n你要珍惜地使用。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_47	[VAR 0100(0000)]。\c\n我好像破坏了你们的关系，\n真是非常抱歉。[VAR 0114(000D)]
msg_Ev_m10_2100_talk_48_f	只是稍微分开而已，\n我们依然是超Z队的伙伴。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_48_m	只是稍微分开而已，\n我们依然是超Z队的伙伴。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_49_f	之后我会去好好说明的，\n就先麻烦你转告玳萝和琵鲁了。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_49_m	之后我会去好好说明的，\n就先麻烦你转告玳萝和琵鲁了。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_50_f	对了！我去给你们做\n特别的可颂咖喱吧。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_50_m	对了！我会去给你们做\n特别的可颂咖喱的。[VAR 0114(0005)]
msg_Ev_m10_2100_talk_51_f	就靠我们来让\n密阿雷越来越好吧。[VAR 0114(0006)]
msg_Ev_m10_2100_talk_51_m	就靠我们来让\n密阿雷越来越好吧。[VAR 0114(0005)]
msg_cd2ed3ba00bc096668ddb68f6a96d02b	[~ 282]
msg_Ev_m10_9000_talk_01	可恶！[VAR 0114(0007)]
msg_Ev_m10_9000_talk_02	市长那个家伙！\n就算野生特区要变成旅游资源，\r\n也不能只提高那边的预算吧！？[VAR 0114(0007)]
msg_Ev_m10_9000_talk_03	棱镜塔的事\n虽说是告一段落了……[VAR 0114(0007)]
msg_Ev_m10_9000_talk_04	但在密阿雷市，\n依然有要发生什么事的兆头啊！[VAR 0114(0007)]
msg_e05abc63db79846eb1f506ebd52fc3f2	[~ 287]
msg_Ev_m10_9010_talk_01	欢迎来到宝可梦研究所，\n茉蜜姬调查的领跑者。[VAR 0114(0007)]
msg_Ev_m10_9010_talk_02	你特地到这里来，\n是要跟我谈一些麻烦的事吧？[VAR 0114(0007)]
msg_Ev_m10_9010_select_01	弗拉达利提到的事
msg_Ev_m10_9010_select_02	给予者与掠夺者
msg_Ev_m10_9010_talk_03	哎～就算我在这里认真干活，\n结果也还是无法从闪焰队逃脱吗？\c\n如果这就是命运的话，\n我就赶紧告诉你吧。[VAR 0114(0007)]
msg_Ev_m10_9010_talk_04	掠夺者是指伊裴尔塔尔，\n而给予者是指哲尔尼亚斯。\c\n它们都是卡洛斯地区的传说的宝可梦。[VAR 0114(0007)]
msg_Ev_m10_9010_talk_05	闪焰队曾经试过捉住它们俩，\n所以也知道详情。[VAR 0114(0007)]
msg_Ev_m10_9010_talk_06	接下来才是重点。\c\n最近在野生特区检测出了\n奇怪的数值。[VAR 0114(0007)]
msg_Ev_m10_9010_talk_07	硬要说的话，简直就像是\n接收了哲尔尼亚斯的生命能量一样。[VAR 0114(0007)]
msg_Ev_m10_9010_talk_08	而且在检测到奇怪的数值的\n野生特区里，\r\n总会发现某种宝可梦。[VAR 0114(0007)]
msg_Ev_m10_9010_talk_09	那或许是头目宝可梦当中\n比较异常的存在？[VAR 0114(0007)]
msg_Ev_m10_9010_talk_10	给予者和异常头目宝可梦之间\n应该有着某种关联。\c\n而且如果放着头目不管，\n总感觉它们有些危险。[VAR 0114(0007)]
msg_Ev_m10_9010_talk_11	你明白我想说什么了吧？\n调查就拜托你了！[VAR 0114(0007)]
msg_Ev_m10_9010_talk_12	3号、5号、9号。\c\n调查这些野生特区，\n找到异常头目，然后……\r\n要么捉住！要么打倒！[VAR 0114(0007)]
msg_dc6e553d2ee008e560e2bac7786f5fbe	[~ 302]
msg_Ev_m10_9100_talk_01	你还没调查完\n所有异常头目吧？[VAR 0114(0007)]
msg_Ev_m10_9100_talk_02	你想确认具体的位置吗？[VAR 0114(0007)]
msg_Ev_m10_9100_select_01	请告诉我
msg_Ev_m10_9100_select_02	我会找到的
msg_Ev_m10_9100_talk_03	就是要这股干劲！\n加油吧，茉蜜姬调查的小天才！[VAR 0114(0007)]
msg_Ev_m10_9100_talk_04	能够确认到头目的有……[VAR 0114(0007)]
msg_Ev_m10_9100_talk_05	3号野生特区。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_06	5号野生特区。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_07	9号野生特区。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_10	去捉住或是打倒\n异常头目吧！[VAR 0114(0007)]
msg_Ev_m10_9100_talk_20	你真棒！[VAR 0114(0007)]
msg_Ev_m10_9100_talk_21	看来通过茉蜜姬调查\n来锻炼果然是有效的。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_22	那么调查结果是……[VAR 0114(0007)]
msg_Ev_m10_9100_talk_23	非常糟糕！[VAR 0114(0007)]
msg_Ev_m10_9100_talk_24	能够赋予生命的\n哲尔尼亚斯正在急剧接近密阿雷。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_25	推测它应该是对棱镜塔的异常状况\n产生了反应，所以才有此行动。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_26	像是棱镜塔释放了过多的超级能\n引发了失控超级进化，\r\n类似的情况可能还会发生。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_27	毕竟它几乎拥有\n无限的生命能量啊。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_28	而防患于未然的方法只有一个。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_29	就是捉住哲尔尼亚斯！[VAR 0114(0007)]
msg_Ev_m10_9100_talk_30	它出现的地点\n在11号野生特区。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_31	剩下的就交给优秀的训练家咯。[VAR 0114(0007)]
msg_Ev_m10_9100_talk_32	哲尔尼亚斯出现的地点\n在11号野生特区。\r\n剩下的就交给优秀的训练家咯。[VAR 0114(0007)]
msg_5bd0eb0e69a3302082bc4858a0889052	[~ 326]
msg_Ev_m10_9200_talk_01	
msg_30ea186e07a5701a2f0a9112eb116c9c	[~ 328]
msg_Ev_m10_9210_talk_01	你好像接触到目标了吧？[VAR 0114(0007)]
msg_Ev_m10_9210_talk_02	对手是卡洛斯地区的\n传说的宝可梦，哲尔尼亚斯。[VAR 0114(0007)]
msg_Ev_m10_9210_talk_03	请你亲自捉住它吧。[VAR 0114(0007)]
msg_Ev_m10_9210_talk_05	和哲尔尼亚斯对战之前，\n先确保盒子有空间吧！
msg_Ev_m10_9210_talk_04	伊克夏！！
msg_d1ec80f4a802edd45d11b111cb999c1d	[~ 334]
msg_Ev_m10_9220_talk_01	掌管生命的宝可梦果然厉害，\n很难彻底打倒它啊。\r\n不过捉住它才是我们的目的吧？[VAR 0114(0007)]
msg_Ev_m10_9220_talk_02	给你助威！\n加油～加油～闪焰！[VAR 0114(0007)]
msg_51937bb6e577165479c7f6ec3866f497	[~ 337]
msg_Ev_m10_9230_talk_01	真厉害啊。[VAR 0114(0007)]
msg_Ev_m10_9230_talk_02	不过哲尔尼亚斯\n是掌管生命的宝可梦。\c\n它会复活然后四处大闹的，\n想办法捉住它吧！[VAR 0114(0007)]
msg_42d3546809285e3b8f9410023c72f2cb	[~ 340]
msg_Ev_m10_9240_talk_01	锵锵～！[VAR 0114(0007)]
msg_Ev_m10_9240_talk_02	勇者漂亮地\n捉住了传说的宝可梦！[VAR 0114(0007)]
msg_Ev_m10_9240_talk_03	辛苦你了。[VAR 0114(0007)]
msg_Ev_m10_9240_talk_04	我们5年前捉住哲尔尼亚斯的时候，\n它的样子就像一棵树，\r\n所以不像你刚才捉得这么辛苦。[VAR 0114(0007)]
msg_Ev_m10_9240_talk_05	但那时它充满了生命力……\c\n让我这个曾在闪焰队研究\n宝可梦生物能量的人感到很震撼。[VAR 0114(0007)]
msg_Ev_m10_9240_talk_06	虽然是以这种形式和它重逢的，\n但这件事真是太神奇了。[VAR 0114(0007)]
msg_Ev_m10_9240_talk_07	哎，\n反正我不能离开密阿雷。\c\n从棱镜塔漏出的能量\n应该也会给予宝可梦力量……\c\n我想聚集来密阿雷的宝可梦\n应该就是想要这种力量吧。[VAR 0114(0007)]
msg_Ev_m10_9240_talk_08	如果成功地保护了它们，\n那就证明我在闪焰队做的研究\r\n也派上一些用场了吧？[VAR 0114(0007)]
msg_Ev_m10_9240_talk_09	你已经完成了全部茉蜜姬调查\n和我拜托你做的事吧？\c\n也就是说，\n我和你的交道打完了吧。\r\n谢谢＆拜拜～！[VAR 0114(0007)]
msg_Ev_m10_9240_talk_10	你的茉蜜姬调查还没做完，\n今后还要请你多帮忙。\r\n不过今天就先到这里吧，辛苦了！[VAR 0114(0007)]
msg_07a9f45ef84b99d3dac70ed9fa62d964	[~ 351]
msg_Ev_m10_9300_talk_01	我们的优势明明就只有地段好，\n你又来喝难喝的东西了？[VAR 0114(0018)]
msg_Ev_m10_9300_talk_02	古丽兹，\n你太随便了。[VAR 0114(0017)]
msg_Ev_m10_9300_talk_03	都是一起守护过密阿雷的伙伴，\n别这么死板嘛！[VAR 0114(0018)]
msg_Ev_m10_9300_talk_04	你今天要点什么？\n照常来[VAR 01CF(0002)]？[VAR 0114(0018)]
msg_Ev_m10_9300_select_01	给予者
msg_Ev_m10_9300_select_02	掠夺者
msg_Ev_m10_9300_talk_05	那是指传说的宝可梦，\n伊裴尔塔尔和哲尔尼亚斯吧？[VAR 0114(0017)]
msg_Ev_m10_9300_talk_06	没想到会再次听到这两个名字，\n……那可是我还在闪焰队时的耻辱！[VAR 0114(0018)]
msg_Ev_m10_9300_talk_07	我们也会帮忙，\n为了洗清那时的耻辱！[VAR 0114(0018)]
msg_Ev_m10_9300_talk_08	好的。关于这件事，\n我认为叫上阔星公司的人\r\n一起讨论比较好。[VAR 0114(0017)]
msg_Ev_m10_9300_talk_09	待在这里只是浪费时间，\n我们在阔星公司集合吧。[VAR 0114(0017)]
msg_Ev_m10_9300_talk_10	营业额还没达标，但也没办法了。\n我要收拾一下，你先去吧。[VAR 0114(0018)]
msg_dffe3e04f72bfde7b60f5f3d8926c5c3	[~ 364]
msg_Ev_m10_9400_talk_01	我收到了古历的联络，\n所以在这里等你。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_02	阔星公司这边也\n确认到了有个飞行物体\r\n正在逐渐靠近密阿雷市。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_03	这个飞行物体正是掠夺者……\n传说的宝可梦，伊裴尔塔尔。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_04	伊裴尔塔尔很危险！\c\n为了将它用于最终兵器，\n闪焰队的部队曾想捉住它，\r\n但几乎全军覆没。[VAR 0114(0018)]
msg_Ev_m10_9400_talk_05	而且那时的伊裴尔塔尔\n还不是活动状态。[VAR 0114(0018)]
msg_Ev_m10_9400_talk_06	多亏了以队里干部帕琦拉为首的\n各位精英的努力，才终于捉住了它。[VAR 0114(0017)]
msg_Ev_m10_9400_talk_07	但要是没有那次损害，\n那些少年少女是否还能前往\r\n最终兵器所在的地方呢……？[VAR 0114(0017)]
msg_Ev_m10_9400_talk_08	于是就轮到阔星公司出场了。[VAR 0114(000E)]
msg_Ev_m10_9400_select_01	什么意思？
msg_Ev_m10_9400_select_02	阔星公司？
msg_Ev_m10_9400_talk_09	以前在闪焰队有个\n供部分队员锻炼的装置。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_10	那是一种类似模拟器的装置，\n可以通过全息技术\r\n还原宝可梦的样貌、行动原理以及招式。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_11	我们听取了实际参与体验的\n古历和古丽兹的意见，\r\n并且强化了模拟器。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_12	我们之前作为准队员\n也通过那台装置进行了特训。[VAR 0114(0017)]
msg_Ev_m10_9400_talk_13	不过阔星制造的装置\n比闪焰队的要难上好几倍啊。[VAR 0114(0018)]
msg_Ev_m10_9400_talk_14	所以这才是最适合特训的强度。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_15	[VAR 0100(0000)]，作为特训，\n请你和失控超级进化状态下的\r\n大食花、摔角鹰人，\r\n还有班基拉斯进行对战。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_16	在地下开发室……\n那个失控超级进化模拟君就在那里。\r\n来，我们出发吧。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_17	要用失控超级进化体验装置\n进行特训吗？[VAR 0114(000E)]
msg_Ev_m10_9400_select_03	我要特训
msg_Ev_m10_9400_select_04	过会儿再说
msg_Ev_m10_9400_talk_18	那我们去特训房间吧。[VAR 0114(000E)]
msg_Ev_m10_9400_talk_19	好的。[VAR 0114(000E)]
msg_42e331a9f01e886f67961dacdaa3b3eb	[~ 388]
msg_Ev_m10_9410_talk_01	在这片空间可以使用\n失控超级进化体验装置。[VAR 0114(000E)]
msg_Ev_m10_9410_talk_02	你要挑战哪个\n失控超级进化的模拟训练？[VAR 0114(000E)]
msg_Ev_m10_9410_select_01	大食花
msg_Ev_m10_9410_select_02	摔角鹰人
msg_Ev_m10_9410_select_03	班基拉斯
msg_Ev_m10_9410_select_04	退出
msg_Ev_m10_9410_talk_03	好的。\n那请你加油。[VAR 0114(000E)]
msg_Ev_m10_9410_talk_04	这对你来说是小菜一碟。[VAR 0114(0017)]
msg_Ev_m10_9410_talk_05	都因为我太厉害了，\n所以现在应该设置的是超高难度。[VAR 0114(0018)]
msg_Ev_m10_9410_talk_06	击败对手！\c\n你果然厉害啊，\n那接下来要跟哪只宝可梦对战呢？[VAR 0114(000E)]
msg_Ev_m10_9410_talk_07	击败对手！\c\n你果然厉害啊，\n还剩下1只。[VAR 0114(000E)]
msg_5729bc8dc83d58def252bac98ff8a412	[~ 400]
msg_Ev_m10_9420_talk_01	虽然结果不理想，\n但你应该还是收获了经验吧？[VAR 0114(000E)]
msg_Ev_m10_9420_talk_02	欢迎下次再来挑战。[VAR 0114(000E)]
msg_a3d3a9954f712be452833118560583e5	[~ 403]
msg_Ev_m10_9430_talk_01	干得漂亮。\n不愧是初代ZA登峰战的王者。[VAR 0114(000E)]
msg_65d764d234d4b1b385fd7b761bf94ff6	[~ 405]
msg_Ev_m10_9440_talk_01	虽然只是模拟器，\n但能打败3只失控超级进化的宝可梦，\r\n你果然很厉害。[VAR 0114(000E)]
msg_Ev_m10_9440_talk_02	确实是\n有两下子啊。[VAR 0114(0018)]
msg_Ev_m10_9440_talk_03	怎么了？[VAR 0114(000E)]
msg_Ev_m10_9440_talk_04	原来如此。[VAR 0114(000E)]
msg_Ev_m10_9440_talk_05	判定为伊裴尔塔尔的\n飞行物体已经到达密阿雷了啊。[VAR 0114(000E)]
msg_Ev_m10_9440_talk_06	请你们做好应对措施，\n包括周知事宜，还有警戒措施等等。[VAR 0114(000E)]
msg_Ev_m10_9440_talk_07	你都听到了，\n伊裴尔塔尔飞到密阿雷了。[VAR 0114(000E)]
msg_Ev_m10_9440_talk_08	地点在榴红区\n澄月廊街的楼顶。[VAR 0114(000E)]
msg_Ev_m10_9440_talk_09	据说伊裴尔塔尔是掌控死亡，\n吸取生命的宝可梦。[VAR 0114(0017)]
msg_Ev_m10_9440_talk_10	它光是被打倒还是会复活，然后四处大闹！\n所以一定要捉住它！[VAR 0114(0018)]
msg_Ev_m10_9440_talk_11	想必会是一场危险的战斗，\n就拜托你了。[VAR 0114(000E)]
msg_Ev_m10_9440_talk_12	我跟你战斗过，所以我保证，\n你肯定没问题。[VAR 0114(0017)]
msg_Ev_m10_9440_talk_13	要是不好好干，\n当心我泼你一身滚烫的咖啡。[VAR 0114(0018)]
msg_2a94f878419d88bdf1b75985f9f106a8	[~ 419]
msg_Ev_m10_9500_talk_01	
msg_38cc7273b16f937f42369206f38bc125	[~ 421]
msg_Ev_m10_9510_talk_01	我感知到了伊裴尔塔尔的生物能量。[VAR 0114(0017)]
msg_Ev_m10_9510_talk_02	你听好了。\n伊裴尔塔尔是非常危险的宝可梦。[VAR 0114(0017)]
msg_Ev_m10_9510_talk_03	明白吗？\n也就是说，要捉住它！[VAR 0114(0018)]
msg_Ev_m10_9510_talk_04	虽然责任很重大，\n但我相信你没问题的！[VAR 0114(0018)]
msg_Ev_m10_9510_talk_06	和伊裴尔塔尔对战之前，\n先确保盒子有空间吧！
msg_Ev_m10_9510_talk_05	伊噶莱！！
msg_b7fa57cf3a1a376ab4960a1beedd8084	[~ 428]
msg_Ev_m10_9520_talk_01	为了捉住伊裴尔塔尔，\n重新做一下准备吧。[VAR 0114(0017)]
msg_Ev_m10_9520_talk_02	如果它开始发狂大闹要怎么办！？\n哪怕是为了我们，你也要捉住它啊！[VAR 0114(0018)]
msg_daf8be95d380cb85bec3c0d762037adb	[~ 431]
msg_Ev_m10_9530_talk_01	你能打倒它，的确很厉害。\n但除非捉住它，否则事情好像就解决不了。[VAR 0114(0017)]
msg_Ev_m10_9530_talk_02	如果它开始发狂大闹要怎么办！？\n哪怕是为了我们，你也要捉住它啊！[VAR 0114(0018)]
msg_6cf224ccae3a0e25a07977ca1746d93a	[~ 434]
msg_Ev_m10_9540_talk_01	你让我很吃惊，\n居然能驯服伊裴尔塔尔……[VAR 0114(0017)]
msg_Ev_m10_9540_select_01	是为了保护密阿雷
msg_Ev_m10_9540_select_02	很吃惊吧？
msg_Ev_m10_9540_talk_02	果然过度的欲望会蒙蔽双眼，\n让人误入歧途吗？[VAR 0114(0017)]
msg_Ev_m10_9540_talk_03	你说什么？[VAR 0114(0018)]
msg_Ev_m10_9540_talk_04	没什么……\n我没说什么。[VAR 0114(0017)]
msg_Ev_m10_9540_talk_05	我只是想，你驯服了密阿雷最强的宝可梦，\n如果能和你来场全力以赴的对战，\r\n那一定棒极了。[VAR 0114(0017)]
msg_Ev_m10_9540_talk_06	所以你到底在说什么？[VAR 0114(0018)]
msg_Ev_m10_9540_talk_07	恢复名誉是被过去束缚的证据。\c\n我觉得，\n现在应该一心追求最强才对。[VAR 0114(0017)]
msg_Ev_m10_9540_talk_08	那不是挺好的吗？\c\n古历打宝可梦对战时的表情\n还是很不错的哦。[VAR 0114(0018)]
msg_Ev_m10_9540_talk_09	来客人的时候，\n我的表情应该也很不错。[VAR 0114(0017)]
msg_Ev_m10_9540_talk_10	怎么样？\n休息会儿，喝杯咖啡吧？[VAR 0114(0017)]
msg_Ev_m10_9540_talk_11	这一杯充满了我对你的赞美之情！\n可不是让你喝卖剩下的哦。[VAR 0114(0018)]
