Adventure.txt
MID_ADV_アドベンチャー外へ出る	Go outside?
MID_TT1	$t0$Wmマイセン|0$w0|$Wsマイセン|$Wa$SvpV_PROLOGUE_TT1_00|Are you ready? I want you to\nfollow my every command.$k$p$SvpV_PROLOGUE_TT1_01|First, get yourselves to a safer position!$k
MID_TT2	$t0$Wmマイセン|0$w0|$Wsマイセン|$Wa$SvpV_PROLOGUE_TT2_00|Keep your distance from the enemy.\nDon't try to pursue them!$k
MID_TT3	$t0$Wmマイセン|0$w0|$Wsマイセン|$Wa$SvpV_PROLOGUE_TT3_00|You've done all you can for now.\nNow brace for their attack!$k
MID_TT4	$t0$Wmマイセン|0$w0|$Wsマイセン|$Wa$SvpV_PROLOGUE_TT4_00|Take shelter in the trees there.\nThey can provide cover.$k$p$SvpV_PROLOGUE_TT4_01|Remember, always use the surrounding\nterrain to your advantage!$k
MID_BT2	$t0$Wmスレイダー|0$w0|$Wsスレイダー|$Wa$SvpV_PROLOGUE_BT2_00|$E苦,汗|Damn! They nearly have me...$k$p$SvpV_PROLOGUE_BT2_01|$E通常,|But not today.\nI must return to the castle.$k$p$SvpV_PROLOGUE_BT2_02|General Desaix will be eager to learn\nthat we have found...her.$k$p$SvpV_PROLOGUE_BT2_03|$Eキメ,|The princess who refuses to die.\nHeh heh heh...$k
MID_ED1	$t3$Wm幼少グレイ|3$w0|$Wm幼少アルム|h$w0|$Wm幼少ロビン|7$w0|$Ws幼少アルム|$Wa$Wv$SvpV_PROLOGUE_ED1_00|$E笑,|We did it! We actually did it!$k$p$SvpV_PROLOGUE_ED1_01|Look at 'em run, Grandpapa!$k\n$Ws幼少グレイ|$Wa$E驚,汗|$SvpV_PROLOGUE_ED1_02|So, wait. HOW did we do that. exactly?$k\n$Ws幼少ロビン|$Wa$Eキメ,|$SvpV_PROLOGUE_ED1_03|Ha ha! It's all in the wrist.$k\n$Ws幼少グレイ|$Wd$w0|$Wm幼少クリフ|3$w0|$Ws幼少クリフ|$Wa$SvpV_PROLOGUE_ED1_04|You wish. We only survived because we\ndid exactly as Sir Mycen commanded.$k\n$Ws幼少ロビン|$Wa$E苦,|$SvpV_PROLOGUE_ED1_05|Oh yeah? Does that mean Sir Mycen\ncommanded you to sob like a baby?$k\n$Ws幼少ロビン|$Wd$w0|$Wm幼少エフィ|7$w0|$Ws幼少エフィ|$Wa$E悲,|$SvpV_PROLOGUE_ED1_06|How can you guys joke about this?$k
MID_ED2	$t3$Wm幼少アルム|h$w0|$Ws幼少アルム|$Wa$SvpV_PROLOGUE_ED2_00|$E笑,|Grandpapa, Celica, that was great!$k\n$Wmマイセン|3$w0|$Wm幼少セリカ|7$w0|$Wsマイセン|$Wa$E悲,|$SvpV_PROLOGUE_ED2_01|Mmm...$k\n$Ws幼少セリカ|$Wa$E悲,|$SvpV_PROLOGUE_ED2_02|......$k\n$Ws幼少アルム|$Wa$E通常,|$SvpV_PROLOGUE_ED2_03|What? You're not happy?$k$p$SvpV_PROLOGUE_ED2_04|$Eキメ,|We saved the village from those\ndespicable knaves! We're heroes!$k$p$SvpV_PROLOGUE_ED2_05|$E通常,|I mean, if nothing else, we're not dead.\nYou could at least crack a smile.$k\n$Ws幼少セリカ|$Wa$E悲,|$SvpV_PROLOGUE_ED2_06|Alm, you don't understand.$k\n$Wsマイセン|$Wa$E怒,|$SvpV_PROLOGUE_ED2_07|Now that they know Celica is here,\nthey will stop at nothing.$k$p$SvpV_PROLOGUE_ED2_08|It's no longer safe for her to stay in\nthe village.$k\n$SbpBGM_EVT_DISHEARTENED|0|$Ws幼少アルム|$Wa$E驚,|$SvpV_PROLOGUE_ED2_09|...What?$k$p$SvpV_PROLOGUE_ED2_10|But...why?\nIt doesn't have to be like that.$k$p$SvpV_PROLOGUE_ED2_11|$E悲,|Tell him, Celica!$k\n$Ws幼少セリカ|$Wa$E悲,|$SvpV_PROLOGUE_ED2_12|I'm so sorry, Alm.$k$p$SvpV_PROLOGUE_ED2_13|I know that you would have kept your\npromise.$k\n$Ws幼少アルム|$Wa$E悲,|$SvpV_PROLOGUE_ED2_14|Don't apologize, Celica. Just...$k$p$SvpV_PROLOGUE_ED2_15|Just tell me that this is a mistake!\nThat you don't have to go!$k\n$Wsマイセン|$Wa$E通常,|$SvpV_PROLOGUE_ED2_16|It is already settled. And we lack the\ntime to discuss it further.$k$p$SvpV_PROLOGUE_ED2_17|Get back to the village and pack your\nthings, Celica. Hurry.$k\n$Ws幼少セリカ|$Wa$E悲,|$SvpV_PROLOGUE_ED2_18|Yes, sir...$k\n$Ws幼少セリカ|$Wd$w0|$Wsマイセン|$Wd$w0|$Ws幼少アルム|$Wa$E怒,|$Wv$SvpV_PROLOGUE_ED2_19|Hold on a second!$k$p$SvpV_PROLOGUE_ED2_20|Explain this to me, Grandpapa.\nWhy are you making her leave?$k$p$SvpV_PROLOGUE_ED2_21|I want to know!$k\n$Wmマイセン|5$w0|$Wsマイセン|$Wa$SvpV_PROLOGUE_ED2_22|No, my boy—I fear that's a page you\ndon't want to turn.$k$p$SvpV_PROLOGUE_ED2_23|$E悲,|...Not yet, at any rate.$k\n$Ws幼少アルム|$Wa$E悲,|$SvpV_PROLOGUE_ED2_24|Oh, great. Now you're talking\nin riddles?$k$p$Wv$SvpV_PROLOGUE_ED2_25|$E怒,|I won't let you do this to her!$k$p$Wv$SvpV_PROLOGUE_ED2_26|She needs me!$k\n$Wsマイセン|$Wa$Wv$Eキメ,|$SvpV_PROLOGUE_ED2_27|You? A foolish boy who won't listen\nto reason?$k$p$SvpV_PROLOGUE_ED2_28|Celica has proven she has the strength\nto make hard choices. Yet what of you?$k\n$Wsマイセン|$Wd$w0|$Wm幼少セリカ|5$w0|$Ws幼少アルム|$Wa$E悲,|$SvpV_PROLOGUE_ED2_29|Please... Don't take her away...$k\n$Ws幼少セリカ|$Wa$Eキメ,|$SvpV_PROLOGUE_ED2_30|Alm... Would you mind looking after\nsomething for me?$k\n$Ws幼少アルム|$Wa$E驚,|$TcTlp_Ev_CelicaAmulet_Over|-120|$SvpV_PROLOGUE_ED2_31|*gasp* But this is...$k$p$SvpV_PROLOGUE_ED2_32|This is your good-luck charm.\nYou never take this off!$k$p$SvpV_PROLOGUE_ED2_33|It's...special.$k\n$Ws幼少セリカ|$Wa$E通常,|$TdTlp_Ev_CelicaAmulet_Over|$SvpV_PROLOGUE_ED2_34|Yes, it is. And now it's yours.$k$p$SvpV_PROLOGUE_ED2_35|I want you to keep it close always.\nAs close as you would have kept me.$k$p$SvpV_PROLOGUE_ED2_36|$Eキメ,|My mother gave that to me.\nNot that I actually remember, but...$k\n$Ws幼少アルム|$Wa$E悲,|$SvpV_PROLOGUE_ED2_37|Celica, I can't take this from you.$k\n$Ws幼少セリカ|$Wa$E笑,|$SvpV_PROLOGUE_ED2_38|You're not taking it, I'm giving it.$k$p$SvpV_PROLOGUE_ED2_39|I pray that it keeps you safe.$k$p$SvpV_PROLOGUE_ED2_40|$Eキメ,|Take care, Alm.$k\n$Ws幼少アルム|$Wa$SvpV_PROLOGUE_ED2_41|Wait... Celica!$k
MID_ED3	$t1$Wm幼少ロビン|7$w0|$Wm幼少クリフ|3$w0|$Ws幼少ロビン|$Wa$SvpV_PROLOGUE_ED3_00|$E悲,|Well, this turned into a fine mess.$k\n$Ws幼少クリフ|$Wa$E苦,|$SvpV_PROLOGUE_ED3_02|We don't know why she's leaving,\nor even where she's going.$k$p$SvpV_PROLOGUE_ED3_03|And whatever Sir Mycen knows, he isn't\ntelling the likes of us.$k\n$Ws幼少クリフ|$Wd$w0|$Wm幼少グレイ|3$w0|$Ws幼少グレイ|$Wa$E悲,|$SvpV_PROLOGUE_ED3_04|Hey, not everything is our business.\nI just feel bad for her, you know?$k$p$SvpV_PROLOGUE_ED3_05|She and Alm are different from us.$k\n$Ws幼少ロビン|$Wa$E驚,|$SvpV_PROLOGUE_ED3_06|Different? In what way?$k\n$Ws幼少グレイ|$Wa$E怒,|$SvpV_PROLOGUE_ED3_07|In every way.$k
MID_ED4	$t1$Wmマイセン|7$w0|$Wm幼少セリカ|3$w0|$SbpBGM_EVT_DESTINY_AB|0|$Wsマイセン|$Wa$SvpV_PROLOGUE_ED4_00|Are you certain, Celica?$k\n$Ws幼少セリカ|$Wa$Eキメ,|$SvpV_PROLOGUE_ED4_01|Yes.$k$p$SvpV_PROLOGUE_ED4_02|If I try to say good-bye to him,\nI'll just end up crying.$k$p$SvpV_PROLOGUE_ED4_03|$E悲,|Grandp— Er, Sir Mycen?\nWhere will I go next?$k\n$Wsマイセン|$Wa$SvpV_PROLOGUE_ED4_04|Hmm...$k$p$SvpV_PROLOGUE_ED4_05|I have a place in mind. Perhaps it's time\nto call on an old friend.$k$p$SvpV_PROLOGUE_ED4_06|Under his care, I am certain your\nenemies will never find you.$k$p$SvpV_PROLOGUE_ED4_07|$E悲,|Forgive an old knight for failing you,\nPrincess.$k$p$SvpV_PROLOGUE_ED4_08|Had the Mother willed it...$k$p$SvpV_PROLOGUE_ED4_09|I would have stayed by your side and\nprotected you to my dying days.$k$p$SvpV_PROLOGUE_ED4_10|$E通常,|But I cannot leave Ram Village.\nNot yet.$k\n$Ws幼少セリカ|$Wa$E通常,|$SvpV_PROLOGUE_ED4_11|You don't need to apologize, Sir Mycen.\nI regret nothing.$k$p$SvpV_PROLOGUE_ED4_12|$E笑,|The days I spent here with you\nand Alm were wonderful.$k$p$SvpV_PROLOGUE_ED4_13|The experiences I had and the friends\nI made all mean the world to me.$k$p$SvpV_PROLOGUE_ED4_14|$Eキメ,|You don't have to be my shining\nknight, Sir Mycen—$k$p$SvpV_PROLOGUE_ED4_15|you just have to promise to always be\nmy grandpapa.$k\n$Wsマイセン|$Wa$E笑,|$SvpV_PROLOGUE_ED4_16|Of course.$k\n$Wm幼少アルム|h$w0|$VF隠|$Ws幼少アルム|$Wa$Wv$SvpV_PROLOGUE_ED4_17|CELICA!$k\n$Ws幼少セリカ|$Wa$SvpV_PROLOGUE_ED4_18|$E驚,|...Alm?$k
MID_ED5	$t0$Wm幼少アルム|6$w0|$Ws幼少アルム|$Wa$Wv$SvpV_PROLOGUE_ED5_00|$E怒,|Celica!$k\n$Ws幼少アルム|$Wd$w0|$Wm幼少セリカ|6$w0|$Ws幼少セリカ|$Wa$E驚,|$SvpV_PROLOGUE_ED5_01|Alm! You came for me.$k\n$Ws幼少セリカ|$Wd$w0|$Wm幼少アルム|6$w0|$Ws幼少アルム|$Wa$E怒,|$Wv$SvpV_PROLOGUE_ED5_02|I want to make a new promise.$k$p$SvpV_PROLOGUE_ED5_03|One day, when I'm older and stronger,\nI'm going to find you.$k$p$SvpV_PROLOGUE_ED5_04|It doesn't matter where the world hides\nyou or how long it takes.$k$p$SvpV_PROLOGUE_ED5_05|I promise to find you.$k$p$SvpV_PROLOGUE_ED5_06|$E悲,|So please...don't forget me, okay?$k\n$Ws幼少アルム|$Wd$w0|$Wm幼少セリカ|6$w0|$Ws幼少セリカ|$Wa$E悲,|$SvpV_PROLOGUE_ED5_07|I could never forget you, Alm.$k$p$Wv$SvpV_PROLOGUE_ED5_08|And I promise too.$k$p$Wv$SvpV_PROLOGUE_ED5_09|I'll be waiting for the day we can\nmeet again.$k$p$SvpV_PROLOGUE_ED5_10|$Eキメ,|But for now, I have to go.$k$p$SvpV_PROLOGUE_ED5_11|...Grandpapa?$k\n$Ws幼少セリカ|$Wd$w0|$Wmマイセン|6$w0|$Wsマイセン|$Wa$SvpV_PROLOGUE_ED5_12|Yes, child?$k\n$Wsマイセン|$Wd$w0|$Wm幼少セリカ|6$w0|$Ws幼少セリカ|$Wa$E悲,|$SvpV_PROLOGUE_ED5_13|...Do you think I'll ever see him again?$k\n$Ws幼少セリカ|$Wd$w0|$Wmマイセン|6$w0|$Wsマイセン|$Wa$E笑,|$SvpV_PROLOGUE_ED5_14|I do.$k$p$SvpV_PROLOGUE_ED5_15|$E悲,|So long as destiny wills it.$k\n$Wsマイセン|$Wd$w0|$Wm幼少セリカ|6$w0|$Ws幼少セリカ|$Wa$E悲,|$SvpV_PROLOGUE_ED5_16|Destiny...$k$p$SvpV_PROLOGUE_ED5_17|So be it.$k
MID_MOVIE_02	$t3$Wm???|3$w0|$Ws???|$Wa$SvpV_PROLOGUE_MOVIE_02_00|【ムービー:OP】$k
ミラのしもべ・聖なる井戸共通.txt
MID_EV_ミラのしもべ2	None among you are qualified.
MID_EV_ミラのしもべ_回復前	A gentle light fills the room...
MID_EV_ミラのしもべ_回復後	$a$a0and the others' fatigue has been cured!
MID_EV_聖なる井戸1_grow	$aWater of $a0 pours forth. Who will drink from it?
MID_EV_聖なる井戸1_exp	Water of experience pours forth. Who will drink from it?
MID_EV_聖なる井戸1_live	Water of revival pours forth. Who will drink from it?
MID_EV_聖なる井戸1_fine	Water that cures fatigue pours forth\nin limitless supply. Drink from it?
MID_EV_聖なる井戸1_2	Are you sure?
MID_EV_聖なる井戸2	The sacred spring has run dry.
MID_EV_聖なる井戸_枯れている	The sacred spring has run dry.
MID_EV_聖なる井戸_grow_上昇	$a$a0 rose by $a1!
MID_EV_聖なる井戸_live_復活	$a$a0 has been revived!
MID_EV_聖なる井戸_fine_疲労回復	All fatigue has been cured!
MID_EV_聖なる井戸_grow_不要	$aWater of $a0 pours forth,\nbut you have no need for it.
MID_EV_聖なる井戸_exp_不要	Water of experience pours forth,\nbut you have no need for it.
MID_EV_聖なる井戸_live_不要	Water of revival pours forth,\nbut you have no need for it.
ミラへの谷.txt
MID_OP1	$t3$Wmセリカ|h$w0|$Wsセリカ|$Wa$E通常,|$SvpV_SC_3_12_OP1_00|At last, the valley approach.$k$p$SvpV_SC_3_12_OP1_01|Cross this, and we'll finally reach the\nEarth Mother's temple.$k$p$SvpV_SC_3_12_OP1_02|$E特殊1,|Take heart, everyone.\nWe're nearly there.$k\n$Wmブライ|5$w0|$SbpBGM_EVT_STRAIN1|0|$Wsブライ|$Wa$SvpV_SC_3_12_OP1_03|$E通常,|Aye, but are you?$k\n$Wsセリカ|$Wa$E驚,|$SvpV_SC_3_12_OP1_04|Who— Oh, by the Mother!$k$p$SvpV_SC_3_12_OP1_05|What are Rigelian forces doing\nall the way out here?$k\n$Wsブライ|$Wa$SvpV_SC_3_12_OP1_06|$E笑,|Pray think on it for a moment.\nI'm sure the answer will come to you.$k\n$Wsセリカ|$Wa$E怒,|$SvpV_SC_3_12_OP1_07|No. No, that can't...$k\n$Wsブライ|$Wa$E通常,|$SvpV_SC_3_12_OP1_08|You're a priestess, aye?$k$p$SvpV_SC_3_12_OP1_09|Other of your kind have tried to cross\nthis valley and seek Mila's blessing...$k$p$SvpV_SC_3_12_OP1_10|but nary a one of them have completed\nthe journey in one piece.$k$p$SvpV_SC_3_12_OP1_11|$E笑,|Ignorance is a pitiable thing, aye,\nso it is.$k$p$SvpV_SC_3_12_OP1_12|Doubly so when it's the very Mother\nwho's responsible for your suffering...$k\n$Wsセリカ|$Wa$Eキメ,汗|$SvpV_SC_3_12_OP1_13|What is that supposed to mean?$k\n$Wsブライ|$Wa$Eキメ,|$SvpV_SC_3_12_OP1_14|Why waste time explaining when you're\nabout to be dead like all the rest?!$k\n$Sbs500|
MID_BT1	$t0$Wmブライ|0$w0|$Wsブライ|$Wa$SvpV_SC_3_12_BT1_00|$E通常,|What are you waiting for?$k$p$SvpV_SC_3_12_BT1_01|$Eキメ,|Soon you'll all serve as scabbards for\nmy shadow sword!$k
MID_BOSS_DIE	$t0$Wmブライ|0$w0|$Wsブライ|$Wa$SvpV_SC_3_12_BOSS_DIE_00|$E苦,汗|Damn... You're stronger than you\nlook...$k$p$SvpV_SC_3_12_BOSS_DIE_01|$E笑,|Shame you're too late...\nMila is...already...$k
MID_ED	$t3$Wmセリカ|h$w0|$Wmメイ|5$w0|$Wsメイ|$Wa$SvpV_SC_3_12_ED_00|$E悲,|Dangit, I hate it when they die right\nbefore they say something important!$k$p$SvpV_SC_3_12_ED_01|What do you think, Celica? What beans\nwas he about to spill there?$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_3_12_ED_02|I don't know.$k$p$SvpV_SC_3_12_ED_03|$E怒,|But whatever it was, I don't like it.\nWe must hurry to the temple.$k
ミラ神殿.txt
MID_OP2	$SbpBGM_EVT_AMB2|0|$t3$Wmセリカ|h$w0|$Wmスナイパー|5$w0|$Wsセリカ|$Wa$SvpV_SC_3_17_OP2_00|$E驚,|That's...the Rigelian Army!$k$p$SvpV_SC_3_17_OP2_01|$E怒,|Has the temple already fallen to the\nRigelians?$k\n$Wsスナイパー|$Wd$w0|$Wmボーイ|5$w0|$Wsボーイ|$Wa$E悲,|$SvpV_SC_3_17_OP2_02|What have they done to the Mother?$k$p$SvpV_SC_3_17_OP2_03|You don't think...$k\n$Wsセリカ|$Wa$Eキメ,|$SvpV_SC_3_17_OP2_04|We need to confirm her safety\nimmediately.$k$p$SvpV_SC_3_17_OP2_05|Everyone, infiltrate the temple as\nquickly as possible!$k\n$Sbs1000|
MID_OP3	$t0$Wmミカエラ|0$w0|$SbpBGM_EVT_ENEMY2|0|$Wsミカエラ|$Wa$SvpV_SC_3_17_OP3_00|Heh heh heh...$k\n$Wmセリカ|6$w0|$Wsセリカ|$Wa$Eキメ,|$SvpV_SC_3_17_OP3_02|Who are you?$k\n$Wsミカエラ|$Wa$p$SvpV_SC_3_17_OP3_03|I am Mikhail, cantor of the\nDuma Faithful.$k$p$SvpV_SC_3_17_OP3_04|I have come to teach Duma's greatness\nto the fools who cling to Mila's lies.$k$p$SvpV_SC_3_17_OP3_05|Now, rue your ignorance from inside\nthe bellies of my gargoyles!$k
MID_OP3_1	$t3$Wmセリカ|h$w0|$Wsセリカ|$Wa$E苦,汗|$SvpV_SC_3_17_OP3_06|...Take care, everyone.$k$p$SvpV_SC_3_17_OP3_07|He's a cantor—he's likely to summon\nforth some manner of terrible beast.$k$p$SvpV_SC_3_17_OP3_08|$E怒,|Stick close and watch each other's\nbacks above all else.$k\n$Sbs250|
MID_BT2	$t0$Wmミカエラ|0$w0|$Wsミカエラ|$Wa$SvpV_SC_3_17_BT2_00|Hmph... Ignorant, slothful heathens.$k$p$SvpV_SC_3_17_BT2_01|Serving as food for my beasts is an\nhonor greater than you deserve!$k
MID_BOSS_DIE	$t0$Wmミカエラ|0$w0|$Wsミカエラ|$Wa$SvpV_SC_3_17_BOSS_DIE_00|Heh...$k$p$SvpV_SC_3_17_BOSS_DIE_01|Killing me changes not your fate...\nIt changes...nothing...$k$p$SvpV_SC_3_17_BOSS_DIE_02|Heh heh heeeeeh...$k
MID_ED	$t3$Wmセリカ|h$w0|$Wmメイ|5$w0|$Wsセリカ|$Wa$SvpV_SC_3_17_ED_00|$E悲,|We've won. ...Somehow.$k\n$Wsメイ|$Wa$E悲,|$SvpV_SC_3_17_ED_01|Yeah, but look at the temple.\nIt's in shambles!$k$p$SvpV_SC_3_17_ED_02|I always thought it would be crazy\nbeautiful, you know?$k$p$SvpV_SC_3_17_ED_03|I mean, Mila can't ACTUALLY live in\na place like this, right?$k\n$Wsセリカ|$Wa$E怒,|$SvpV_SC_3_17_ED_04|I don't know. Let's go see for ourselves.$k$p$SvpV_SC_3_17_ED_05|We must discover exactly what came\nto pass in this place.$k
ミラ神殿内部_3.txt
MID_EV1_1	$t3$Wmセリカ|h$w0|$Wmセーバー|5$w0|$Wsセーバー|$Wa$SvpV_SC_3_22_EV1_1_00|$E怒,|...There ain't no one here.$k$p$SvpV_SC_3_22_EV1_1_01|Where's this Earth Mother of yours\nhiding, lass?$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_3_22_EV1_1_02|I don't understand...$k$p$SvpV_SC_3_22_EV1_1_03|Why isn't she here?\nShe's supposed to be here!$k
MID_EV1_2	$t3$Wmセリカ|h$w0|$Wmイルマ|5$w0|$Wsイルマ|$Wa$SvpV_SC_3_22_EV1_2_00|$E悲,|Princess Anthiese!$k\n$Wsセリカ|$Wa$SvpV_SC_3_22_EV1_2_01|$E怒,|Irma! Tell me what happened.$k\n$Wsイルマ|$Wa$E苦,|$SvpV_SC_3_22_EV1_2_02|I beg forgiveness, Your Highness.$k$p$SvpV_SC_3_22_EV1_2_03|I had no idea the temple fell to the\nempire while I was prisoner.$k$p$SvpV_SC_3_22_EV1_2_04|$E悲,|They took Mila...and Your Highness's\ncirclet as well.$k$p$SvpV_SC_3_22_EV1_2_05|It's unthinkable. They're no knights—\nonly blasphemers and thieves!$k\n$Wsセリカ|$Wa$SvpV_SC_3_22_EV1_2_06|$E怒,|The Rigelians hold Mila captive?!$k$p$SvpV_SC_3_22_EV1_2_07|You're certain of this?$k\n$Wsイルマ|$Wa$E苦,|$SvpV_SC_3_22_EV1_2_08|I am, Your Highness.$k$p$SvpV_SC_3_22_EV1_2_09|$E悲,|Emperor Rudolf led the charge himself.\nSealed her powers and took her away.$k$p$SvpV_SC_3_22_EV1_2_10|To where, I fear I know not.$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_3_22_EV1_2_11|Rudolf himself...$k
MID_MOVIE_00	$t3$Wm???|3$w0|$Ws???|$Wa$SvpV_SC_3_22_MOVIE_00_00|【ムービー:怒れる女神】$k
MID_EV1_3	$t3$Wmセーバー|7$w0|$Wmボーイ|3$w0|$Wmセリカ|h$w0|$Wsセーバー|$Wa$SvpV_SC_3_22_EV1_3_00|$E悲,|Now, hold on just a tick.$k$p$SvpV_SC_3_22_EV1_3_01|We get to the temple and everything's\ntaken care of. That was the deal.$k\n$Wsボーイ|$Wa$E怒,|$SvpV_SC_3_22_EV1_3_02|Unfortunately, none of us expected\nthe Mother to have stepped out.$k$p$SvpV_SC_3_22_EV1_3_03|$E悲,|Nothing like this has ever happened\nbefore.$k\n$Wsセーバー|$Wd$w0|$Wsボーイ|$Wd$w0|$Wmメイ|5$w0|$Wsメイ|$Wa$E悲,|$SvpV_SC_3_22_EV1_3_04|Well, I guess now we know why the\nsoil's gone barren.$k$p$SvpV_SC_3_22_EV1_3_05|It's been cut off from Mila's bounty.$k\n$Wsメイ|$Wd$w0|$Wmボーイ|5$w0|$Wsボーイ|$Wa$E悲,|$SvpV_SC_3_22_EV1_3_06|......$k$p$SvpV_SC_3_22_EV1_3_07|What do we do now, milady?$k\n$Wsセリカ|$Wa$E通常,|$SvpV_SC_3_22_EV1_3_08|The only thing we can.$k$p$SvpV_SC_3_22_EV1_3_09|We find the Mother and bring her back.$k\n$Wsボーイ|$Wa$E驚,|$SvpV_SC_3_22_EV1_3_10|Uh, please take this as kindly as\npossible, milady, but...are you MAD?!$k$p$SvpV_SC_3_22_EV1_3_11|How exactly do we "bring her back"?\nAnd from where?!$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_3_22_EV1_3_12|I don't know.$k$p$SvpV_SC_3_22_EV1_3_13|$E通常,|But if the Rigelian Army took her,\nshe'll be somewhere in the empire.$k$p$SvpV_SC_3_22_EV1_3_14|And since we've already come to\nthe border...$k$p$SvpV_SC_3_22_EV1_3_15|Well, we might as well continue\ninto Rigel.$k\n$Wsボーイ|$Wa$E怒,|$SvpV_SC_3_22_EV1_3_16|Hold on just a moment.\nYou're saying we INVADE Rigel?$k$p$SvpV_SC_3_22_EV1_3_17|This isn't a motley band of pirates or\nthieves—it's an entire empire of them!$k$p$SvpV_SC_3_22_EV1_3_18|$E悲,|We should all take a step back and\nconsider our opti—$k\n$Wsセリカ|$Wa$E特殊1,|$SvpV_SC_3_22_EV1_3_19|No amount of thinking will change the\nsituation.$k$p$SvpV_SC_3_22_EV1_3_20|Come, Boey. This isn't the first time we've\nfaced hopeless odds.$k$p$SvpV_SC_3_22_EV1_3_21|And when people told us to give up,\ndid we run?$k$p$SvpV_SC_3_22_EV1_3_22|We need to trust in our abilities.\nWe've come this far for a reason.$k$p$SvpV_SC_3_22_EV1_3_23|$Eキメ,|And that reason is restoring Mila to her\nrightful place.$k$p$SvpV_SC_3_22_EV1_3_24|She's still the only one who can save the\nworld from this...chaos.$k\n$Wsボーイ|$Wd$w0|$Wm仮面の騎士|5$VF隠|$w0|$Sbs2000|$Ws仮面の騎士|$Wa$VNMPID_???|$SvpV_SC_3_22_EV1_3_25|Nay, she isn't.$k\n$Wsセリカ|$Wa$E驚,|$SvpV_SC_3_22_EV1_3_26|Hmm?$k\n$SspSE_EVT_3_HUMAN_WALK1_CORRIDOR|$w3000|$Wm仮面の騎士|5$VF出|$w0|$SbpBGM_EVT_CONRAD_A|0|$Ws仮面の騎士|$Wa$VNMPID_仮面の騎士|$SvpV_SC_3_22_EV1_3_27|......$k\n$Wsセリカ|$Wa$E驚,|$SvpV_SC_3_22_EV1_3_28|Well? Go on. Please don't leave us\nin suspense.$k\n$Ws仮面の騎士|$Wa$E悲,|$SvpV_SC_3_22_EV1_3_29|Mila cannot save this world.$k$p$SvpV_SC_3_22_EV1_3_30|$E通常,|But you can...Princess Anthiese.$k\n$Wsセリカ|$Wa$Eキメ,|$SvpV_SC_3_22_EV1_3_31|Ah! How did you—$k\n$Ws仮面の騎士|$Wa$E通常,|$SvpV_SC_3_22_EV1_3_32|$TcTlp_Ev_Circlet_Over|-120|I bear you a gift.$k\n$Ws仮面の騎士|$Wd$w0|$Wmイルマ|5$w0|$Wsイルマ|$Wa$E驚,|$SvpV_SC_3_22_EV1_3_33|Lady Liprica's circlet!$k\n$Wsイルマ|$Wd$w0|$Wm仮面の騎士|5$w0|$Wsセリカ|$Wa$E驚,|$SvpV_SC_3_22_EV1_3_34|What?$k$p$SvpV_SC_3_22_EV1_3_35|$Eキメ,|How is it that you possess this?$k\n$Ws仮面の騎士|$Wa$SvpV_SC_3_22_EV1_3_36|$TdTlp_Ev_Circlet_Over|A question for another time.$k$p$SvpV_SC_3_22_EV1_3_37|Are you prepared to accept it,\nPrincess?$k\n$Wsセリカ|$Wa$E驚,|$SvpV_SC_3_22_EV1_3_38|How do you mean?$k\n$Ws仮面の騎士|$Wa$E悲,|$SvpV_SC_3_22_EV1_3_39|This is no mere memento of your\nmother.$k$p$SvpV_SC_3_22_EV1_3_40|$E通常,|It is a crown—and accepting it is\na kind of coronation.$k$p$SvpV_SC_3_22_EV1_3_41|As princess of Zofia, are you prepared\nto wear this and ascend the throne?$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_3_22_EV1_3_42|I...$k$p$SvpV_SC_3_22_EV1_3_43|I'm afraid I know little of kingdoms or\nthe scope of rule.$k$p$SvpV_SC_3_22_EV1_3_44|$E通常,|But I have people I wish to protect.$k$p$SvpV_SC_3_22_EV1_3_45|Both here and elsewhere.$k$p$SvpV_SC_3_22_EV1_3_46|I wish for this by my will alone.\nFor my own happiness.$k$p$SvpV_SC_3_22_EV1_3_47|$Eキメ,|Is that resolve enough?$k\n$Ws仮面の騎士|$Wa$E笑,|$SvpV_SC_3_22_EV1_3_48|It is indeed.$k\n$Sbs1000|
MID_EV1_4_1	$t0$Wm仮面の騎士|6$w0|$Ws仮面の騎士|$Wa$SvpV_SC_3_22_EV1_4_00|$E通常,|Princess Anthiese, this crown is now\nyours to bear.$k\n$Ws仮面の騎士|$Wd$w0|$Wmセリカ|6$w0|$Wsセリカ|$Wa$E通常,|$SvpV_SC_3_22_EV1_4_01|I accept it willingly.$k
