Adventure.txt
MID_ADV_アドベンチャー外へ出る	要到外头吗？
MID_BER_OP1	$t3$Wmアルム|h$w0|$Wsアルム|$Wa$SvpV_SC_5_02_OP1_00|$E驚,|……！\n那是……$k\n$SswSE_EVT_5_HUMAN_WALK3_CORRIDOR|$Wmベルクト|5$w0|$SbpBGM_EVT_BERKUT|0|$Wsベルクト|$Wa$E笑,|$SvpV_SC_5_02_OP1_01|…………\n哈……哈哈哈……$k$p$SvpV_SC_5_02_OP1_02|我等你好久了，阿鲁姆……$k$p$SvpV_SC_5_02_OP1_03|不……\n现在该叫你利盖尔皇帝，鲁道夫二世才对。$k\n$Wsアルム|$Wa$E特殊1,|$SvpV_SC_5_02_OP1_04|贝尔克特……$k\n$Wsベルクト|$Wa$Eキメ,|$SvpV_SC_5_02_OP1_05|同时拥有索菲亚和利盖尔\n这两个国家的感觉怎么样呀？$k$p$SvpV_SC_5_02_OP1_06|$E笑,|你应该会笑得合不拢嘴吧。\n但我完全无法体会到那种滋味……$k\n$Wsアルム|$Wa$E特殊1,|$SvpV_SC_5_02_OP1_07|贝尔克特。\n我并没有那样想。$k$p$SvpV_SC_5_02_OP1_08|利盖尔的人民也不会一下子\n就认同我是皇帝。$k$p$SvpV_SC_5_02_OP1_09|$Eキメ,|但是为了守护父王托付给我的国家……$k$p$SvpV_SC_5_02_OP1_10|不，为了守护瓦伦西亚，\n不论有多辛苦我都甘愿。$k\n$Wsベルクト|$Wa$E悲,|$SvpV_SC_5_02_OP1_11|…………$k\n$Wsアルム|$Wa$E特殊1,|$SvpV_SC_5_02_OP1_12|今后瓦伦西亚\n所走的路会很艰辛。$k$p$SvpV_SC_5_02_OP1_13|$E通常,|所以你也助我一臂之力吧，\n贝尔克特。$k$p$SvpV_SC_5_02_OP1_14|比起我，你更受到利盖尔人民的信赖呀。$k$p$SvpV_SC_5_02_OP1_15|$E笑,|而且……\n我们不是堂兄弟吗？$k$p$SvpV_SC_5_02_OP1_16|原来我有血缘相通的堂兄弟，\n简直像作梦一样呢！$k$p$SvpV_SC_5_02_OP1_17|我们一定可以相处融洽的。$k$p$SvpV_SC_5_02_OP1_18|让我们同心协力，\n将瓦伦西亚…………$k\n$Sbs2000|$Wsベルクト|$Wa$E苦,|$SvpV_SC_5_02_OP1_19|……住嘴。$k\n$Wsアルム|$Wa$E驚,|$SvpV_SC_5_02_OP1_20|什么？$k\n$Wsベルクト|$Wa$E苦,|$SvpV_SC_5_02_OP1_21|我只不过是没说话……\n你竟然就这么高姿态。$k$p$SvpV_SC_5_02_OP1_22|$E笑,|同心协力？\n别说可笑的话了。$k$p$SvpV_SC_5_02_OP1_23|$Eキメ,|所谓力量，是用来竞争的！\n是为了战斗！！$k\n$Wsベルクト|$Wd$w0|$SspSE_EVT_5_BERKUT_TRANSFORM|$Wm異常ベルクト|5$w0|$SbpBGM_MAP_B_BERKUT|0|$w1000|$Ws異常ベルクト|$Wa$E笑,|$SvpV_SC_5_02_BT1_03|…………$k\n$Wsアルム|$Wa$E苦,汗|$SvpV_SC_5_02_OP1_24|……！？\n贝尔克特，你的样子……！$k\n$Ws異常ベルクト|$Wd$w0|$Wmクレーベ|5$w0|$Wsクレーベ|$Wa$E怒,|$SvpV_SC_5_02_OP1_25|费尔南所说的，原来就是这样……！$k$p$SvpV_SC_5_02_OP1_26|$Eキメ,|阿鲁姆，恐怕贝尔克特\n已经获得了多玛的力量。$k$p$SvpV_SC_5_02_OP1_27|他已经不是我们\n认识的贝尔克特了！$k\n$Wsアルム|$Wa$E怒,汗|$SvpV_SC_5_02_OP1_28|怎么会这样……！$k
MID_BER_BT1	$SbpBGM_MAP_B_BERKUT|0|$t0$Wmアルム|0$w0|$Wm異常ベルクト|6$w0|$Ws異常ベルクト|$Wa$SvpV_SC_5_02_BT1_00|$Eキメ,|怎么样？很美吧……？\n我心爱的莉奈雅……$k\n$Wsアルム|$Wa$E驚,|$SvpV_SC_5_02_BT1_01|……！\n你说什么！？$k$p$SvpV_SC_5_02_BT1_02|$E怒,汗|你……\n你把恋人献给多玛了吗！？$k\n$Ws異常ベルクト|$Wa$E笑,|$SvpV_SC_5_02_BT1_03|………………$k\n$Wsアルム|$Wa$E悲,|$SvpV_SC_5_02_BT1_04|太疯狂了……$k$p$SvpV_SC_5_02_BT1_05|$E怒,|为了得到力量，\n竟然做出这种事！？$k\n$Ws異常ベルクト|$Wa$E悲,|$SvpV_SC_5_02_BT1_06|$p……我终于明白了。$k$p$SvpV_SC_5_02_BT1_07|力量不会背叛我，\n也不会欺骗我……$k$p$SvpV_SC_5_02_BT1_08|$E苦,|不论是血缘关系，还是一起度过的时光，\n根本没有任何意义。$k$p$SvpV_SC_5_02_BT1_09|$E怒,|这世上值得信任的，\n只有自己的力量而已！！$k\n$Wsアルム|$Wa$E驚,汗|$SvpV_SC_5_02_BT1_10|…………！$k$p$SvpV_SC_5_02_BT1_11|$E怒,|你的意思是，\n觉得父王背叛了你吗！？$k$p$SvpV_SC_5_02_BT1_12|才不是那样！\n父王一直记挂着你。$k$p$SvpV_SC_5_02_BT1_13|$E苦,汗|你明明在他身边比我还久，\n为何你都不懂！！$k\n$Ws異常ベルクト|$Wa$E怒,|$SvpV_SC_5_02_BT1_14|吵死了！闭嘴！！$k$p$SvpV_SC_5_02_BT1_15|我已经听腻你那些场面话了。$k$p$SvpV_SC_5_02_BT1_16|$Eキメ,|来吧，莉奈雅。\n我们一起走吧。$k$p$SvpV_SC_5_02_BT1_17|收拾那家伙之后，\n就是我们的婚礼了……！$k\n$Wsアルム|$Wa$E悲,|$SvpV_SC_5_02_BT1_18|贝尔克特……！$k
MID_BER_BT2	$t0$Wm異常ベルクト|0$w0|$Ws異常ベルクト|$Wa$SvpV_SC_5_02_BT2_00|$E苦,|都是你……都是你害的，\n我拥有的……$k$p$SvpV_SC_5_02_BT2_01|$E怒,|……都被你夺走了…………！$k
MID_BER_BOSS_DIE1	$t0$Wm異常ベルクト|0$w0|$Ws異常ベルクト|$Wa$SvpV_SC_5_02_BOSS_DIE1_00|$E苦,|唉啊……呜……！！$k
MID_BER_ED1_1	$t3$Wmアルム|h$w0|$Wmベルクト|5$w0|$Wsベルクト|$Wa$SvpV_SC_5_02_ED1_1_00|$E悲,|唉……！$k\n$Sev50|1500|$Wsアルム|$Wa$E悲,|$SvpV_SC_5_02_ED1_1_01|贝尔克特……\n你已经没救了。$k$p$SvpV_SC_5_02_ED1_1_02|你是我好不容易才相逢的\n唯一的堂兄弟……$k$p$SvpV_SC_5_02_ED1_1_03|竟然变成这样……！$k\n$Wsベルクト|$Wa$E笑,|$SvpV_SC_5_02_ED1_1_04|……哈……$k$p$SvpV_SC_5_02_ED1_1_05|什么堂兄弟？\n真是烦人……$k$p$SvpV_SC_5_02_ED1_1_06|$E悲,|来吧，\n尽管放马来吧。$k$p$SvpV_SC_5_02_ED1_1_07|这样你就会是\n独一无二的利盖尔王族末裔了……$k\n$Wsアルム|$Wa$E怒,汗|$SvpV_SC_5_02_ED1_1_08|贝尔克特……！\n你又说那种话……$k
MID_BER_ED1_2	$t0$Wmリネア|6$w0|$Sev10|1500|$SbpBGM_EVT_SAD|0|$Wsリネア|$Wa$SvpV_SC_5_02_ED1_2_00|$Eキメ,|……贝尔克特大人……$k
MID_BER_ED1_2_2	$t0$Wmベルクト|6$w0|$Wsベルクト|$Wa$E驚,|$SvpV_SC_5_02_ED1_2_01|……！？$k$p$SvpV_SC_5_02_ED1_2_02|莉奈雅……\n是莉奈雅吗……？$k\n$Wsベルクト|$Wd$w0|$Wmリネア|6$w0|$Wsリネア|$Wa$Eキメ,|$SvpV_SC_5_02_ED1_2_03|贝尔克特大人……$k$p$SvpV_SC_5_02_ED1_2_04|就算没有王冠，\n也没有宝座或城堡……$k$p$SvpV_SC_5_02_ED1_2_05|高贵自信的您，\n永远都是我的皇帝……$k\n$Wsリネア|$Wd$w0|$Wmベルクト|6$w0|$Wsベルクト|$Wa$E悲,|$SvpV_SC_5_02_ED1_2_06|……莉奈雅……！$k\n$Wsベルクト|$Wd$w0|$Wmリネア|6$w0|$Wsリネア|$Wa$Eキメ,|$SvpV_SC_5_02_ED1_2_07|只是……\n没错。$k$p$SvpV_SC_5_02_ED1_2_08|只是，\n这里不是您的国家而已……$k$p$SvpV_SC_5_02_ED1_2_09|$E笑,|来，我们走吧，\n到我们的王国去。$k$p$SvpV_SC_5_02_ED1_2_10|您说要让我\n成为皇后对吗……？$k\n$Wsリネア|$Wd$w0|$Wmベルクト|6$w0|$Wsベルクト|$Wa$E悲,|$SvpV_SC_5_02_ED1_2_11|啊……原来如此。\n没错，莉奈雅…………$k$p$SvpV_SC_5_02_ED1_2_12|在我死命寻求神的力量时，\n莉奈雅深爱的我已经死了……$k$p$SvpV_SC_5_02_ED1_2_13|$E特殊1,|对不起，莉奈雅……\n……走吧，这次我们终于能在一起了……$k\n$Wsベルクト|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E苦,汗|$SvpV_SC_5_02_ED1_2_14|贝尔克特……！$k\n$Wsアルム|$Wd$w0|$Wmベルクト|6$w0|$Wsベルクト|$Wa$E特殊1,|$SvpV_SC_5_02_ED1_2_15|……是阿鲁姆啊……\n这个给你……$k\n$Wsベルクト|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E驚,|$TcTlp_Ev_RingOfBerkut_Over|0|$SvpV_SC_5_02_ED1_2_16|这是……\n戒指？$k\n$Wsアルム|$Wd$w0|$Wmベルクト|6$w0|$Wsベルクト|$Wa$E特殊1,|$SvpV_SC_5_02_ED1_2_17|这是我母亲的遗物……\n相信有一天会派上用场的……$k$p$SvpV_SC_5_02_ED1_2_18|$E苦,汗|……唉……！$k\n$Wsベルクト|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E悲,汗|$TdTlp_Ev_RingOfBerkut_Over|$SvpV_SC_5_02_ED1_2_19|贝尔克特……！$k$p$SvpV_SC_5_02_ED1_2_20|我讨厌这样。\n不要丢下我一个人！！$k$p$SvpV_SC_5_02_ED1_2_21|让我们一起重建利盖尔。\n说一些父王的事给我听啊……！$k\n$Wsアルム|$Wd$w0|$Wmベルクト|6$w0|$Wsベルクト|$Wa$E特殊1,|$SvpV_SC_5_02_ED1_2_22|……真是的……\n不管到几岁你还是那么爱撒娇……$k$p$SvpV_SC_5_02_ED1_2_23|……阿鲁姆……$k$p$SvpV_SC_5_02_ED1_2_24|拜托你改变瓦伦西亚……\n不再由神作主……而由人决定自己的命运……$k$p$SvpV_SC_5_02_ED1_2_25|成为……再也不会……\n被神明力量操控的世界……$k$p$SvpV_SC_5_02_ED1_2_26|你一定能……办到的…………\n………………$k\n$Wsベルクト|$Wd$w0|
MID_BER_ED1_3	$t3$Wmアルム|h$w0|$Wsアルム|$Wa$SvpV_SC_5_02_ED1_2_27|$E悲,|……贝尔克特……\n贝尔克特！！$k$p$SvpV_SC_5_02_ED1_2_28|为什么？\n为什么会变成这样……$k$p$SvpV_SC_5_02_ED1_2_29|我好不容易……\n才能和父王还有你重逢…………！$k$p$SvpV_SC_5_02_ED1_2_30|呜……呜呜……\n………………$k\n$Sev0|1500|$Sbs4000|
MID_EV11_1	$t0$Wmアルム|6$w0|$SbpBGM_EVT_SERIOUS|0|$Wsアルム|$Wa$SvpV_SC_5_08_EV1_1_00|$E驚,|那座石像是……\n米拉！？$k$p$SvpV_SC_5_08_EV1_1_01|是大地母神米拉吗……？$k\n$Wsアルム|$Wd$w0|$Wmルカ|6$w0|$Wsルカ|$Wa$E驚,|$SvpV_SC_5_08_EV1_1_02|到底是怎么回事？\n米拉竟然变成了石头……$k$p$SvpV_SC_5_08_EV1_1_03|应该只有法尔西昂能\n封印神龙的米拉和多玛。$k$p$SvpV_SC_5_08_EV1_1_04|$E悲,|这样的话，刺在额头上的剑\n就是法尔西昂吗？$k$p$SvpV_SC_5_08_EV1_1_05|可是，那个的话……$k
MID_EV11_2	$t3$Wmアルム|h$w0|$Wmセリカ|5$w0|$Wsセリカ|$Wa$SvpV_SC_5_08_EV1_2_00|$E驚,|……\n阿鲁姆……！？$k$p$SvpV_SC_5_08_EV1_2_01|在那里的是阿鲁姆吗？$k\n$Wsアルム|$Wa$E驚,|$SvpV_SC_5_08_EV1_2_02|赛莉卡！$k$p$SvpV_SC_5_08_EV1_2_03|$E通常,|太好了，你平安无事。$k$p$SvpV_SC_5_08_EV1_2_04|……赛莉卡，你一个人吗？\n其他人呢？$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_2_05|…………$k
MID_EV11_2_2	$t3$Wmアルム|h$w0|$Wmジュダ|3$w0|$Wmセリカ|7$w0|$Wsジュダ|$Wa$SvpV_SC_5_08_EV1_2_06|$E通常,|原来……\n你就是阿鲁姆啊。$k\n$Wsアルム|$Wa$E怒,|$SvpV_SC_5_08_EV1_2_07|你是……？$k\n$Wsジュダ|$Wa$SvpV_SC_5_08_EV1_2_08|敝人是朱达。$k$p$SvpV_SC_5_08_EV1_2_09|$Eキメ,|你帮我打倒鲁道夫皇帝，\n我该跟你道谢呢。$k\n$Wsアルム|$Wa$E怒,|$SvpV_SC_5_08_EV1_2_10|你就是朱达……！$k$p$SvpV_SC_5_08_EV1_2_11|$Eキメ,|等着瞧。\n我一定会打倒你和多玛的！$k$p$SvpV_SC_5_08_EV1_2_12|然后夺回\n赛莉卡的索菲亚王国！！$k\n$Wsジュダ|$Wd$w0|$Wsセリカ|$Wd$w0|$Wmセリカ|5$w0|$Wsセリカ|$Wa$E怒,|$SvpV_SC_5_08_EV1_2_13|不行，阿鲁姆……\n不能那样做！$k\n$Wsアルム|$Wa$E驚,|$SvpV_SC_5_08_EV1_2_14|赛莉卡？$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_2_15|如果没有了多玛，\n利盖尔的大地会干枯的。$k$p$SvpV_SC_5_08_EV1_2_16|会和索菲亚一样，\n民不聊生、大闹饥荒……$k\n$Wsアルム|$Wa$E苦,汗|$SvpV_SC_5_08_EV1_2_17|……！\n那……可是……$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_2_18|……而且……$k$p$SvpV_SC_5_08_EV1_2_19|已经不可能打倒多玛了。$k$p$SvpV_SC_5_08_EV1_2_20|因为米拉大人亲手\n把自己和法尔西昂一起封印了……$k\n$Wsアルム|$Wa$E驚,|$SvpV_SC_5_08_EV1_2_21|你说什么……！？$k$p$SvpV_SC_5_08_EV1_2_22|$E悲,汗|……这样的话，\n我到底是为了什么……$k$p$SvpV_SC_5_08_EV1_2_23|…………呜……\n……父王……！！$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_2_24|……阿鲁姆……$k\n$Wsセリカ|$Wd$w0|$Wmジュダ|5$w0|$Wsジュダ|$Wa$E笑,|$SvpV_SC_5_08_EV1_2_25|啊哈哈哈哈哈！！$k$p$SvpV_SC_5_08_EV1_2_26|$Eキメ,|阿鲁姆、安蒂洁……\n君临两国天下的人啊。$k$p$SvpV_SC_5_08_EV1_2_27|人世已结束，将瓦伦西亚归还给\n神的时刻已来临！！$k$p$SvpV_SC_5_08_EV1_2_28|$E怒,|将转变为多玛大人所统治、\n充满恐惧和混沌的世界了！！！$k\n$Wsアルム|$Wa$E苦,汗|$SvpV_SC_5_08_EV1_2_29|不行……\n怎么能发生那种事情……！$k\n$Wsジュダ|$Wa$Eキメ,|$SvpV_SC_5_08_EV1_2_30|安蒂洁，你该感到高兴！\n你可是完成新世界的推手，多么荣耀啊。$k\n$Wsアルム|$Wa$E怒,汗|$SvpV_SC_5_08_EV1_2_31|！？\n赛莉卡，那是什么意思？$k\n$Wsジュダ|$Wd$w0|$Wmジュダ|3$w0|$Wmセリカ|7$w0|$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_2_32|对不起，阿鲁姆……$k$p$SvpV_SC_5_08_EV1_2_33|我别无他法。\n一切都是无可奈何……$k\n$Wsジュダ|$Wa$E通常,|$SvpV_SC_5_08_EV1_2_34|这个小姑娘要把灵魂献给\n陷入发狂状态的多玛大人。$k$p$SvpV_SC_5_08_EV1_2_35|这都是为了\n利盖尔和索菲亚的所有人民。$k\n$Wsアルム|$Wa$E驚,|$SvpV_SC_5_08_EV1_2_36|你说什么！？$k$p$SvpV_SC_5_08_EV1_2_37|$E怒,汗|这……赛莉卡！\n快告诉我这不是真的！！$k\n$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_2_38|阿鲁姆……！$k\n$Wsジュダ|$Wa$Eキメ,|$SvpV_SC_5_08_EV1_2_39|嗯……\n我也没那么狠心。$k$p$SvpV_SC_5_08_EV1_2_40|可以给你们一点\n跟彼此道别的时间。$k$p$Sbs3000|$E怒,|$SvpV_SC_5_08_EV1_2_41|快去吧！$k\n$SspSE_EVT_5_BODY_SHOVE|$w1000|
MID_EV11_3	$t0$Wmアルム|6$w0|$SbpBGM_EVT_LOVE_AC|0|$Wsアルム|$Wa$SvpV_SC_5_08_EV1_3_00|$E怒,|赛莉卡！！$k\n$Wsアルム|$Wd$w0|$Wmセリカ|6$w0|$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_3_01|阿鲁姆……\n对不起……！$k\n$Wsセリカ|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E怒,|$SvpV_SC_5_08_EV1_3_02|别做蠢事！\n我一定会救你的……$k$p$SvpV_SC_5_08_EV1_3_03|所以……！$k\n$Wsアルム|$Wd$w0|$Wmセリカ|6$w0|$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_3_04|不是那样的，我……\n我早就知道事情会变成这样了。$k\n$Wsセリカ|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E驚,|$SvpV_SC_5_08_EV1_3_05|什么……？$k\n$Wsアルム|$Wd$w0|$Wmセリカ|6$w0|$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_3_06|在岛上的时候，我做了个梦。$k$p$SvpV_SC_5_08_EV1_3_07|梦里面，\n发生了让阿鲁姆很煎熬的事……$k$p$SvpV_SC_5_08_EV1_3_08|所以我希望借米拉大人的力量，\n来帮助阿鲁姆。$k$p$SvpV_SC_5_08_EV1_3_09|但却让阿鲁姆\n遭遇到很多危险，$k$p$SvpV_SC_5_08_EV1_3_10|最后还让你亲手\n把你的父亲……$k$p$SvpV_SC_5_08_EV1_3_11|我明明都知道，\n却阻止不了任何一件事发生。$k$p$SvpV_SC_5_08_EV1_3_12|我什么都帮不上阿鲁姆……！$k\n$Wsセリカ|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E怒,|$SvpV_SC_5_08_EV1_3_13|怎么会……\n那些都不是赛莉卡的错。$k$p$SvpV_SC_5_08_EV1_3_14|你根本不需要责怪自己！$k\n$Wsアルム|$Wd$w0|$Wmセリカ|6$w0|$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_3_15|可是我希望大家……\n不对，我希望阿鲁姆可以活下去。$k$p$SvpV_SC_5_08_EV1_3_16|我不希望你和多玛战斗。\n我不希望你死掉。$k$p$SvpV_SC_5_08_EV1_3_17|那是我唯一真正的心愿。$k\n$Wsセリカ|$Wd$w0|$Wmアルム|6$w0|$Wsアルム|$Wa$E驚,|$SvpV_SC_5_08_EV1_3_18|赛莉卡……！$k\n$Wsアルム|$Wd$w0|$Wmセリカ|6$w0|$Wsセリカ|$Wa$E悲,|$SvpV_SC_5_08_EV1_3_19|我能做的，只有这件事了。$k$p$SvpV_SC_5_08_EV1_3_20|对不起，阿鲁姆。$k$p$SvpV_SC_5_08_EV1_3_21|$E笑,|不过，\n其实我一直都……$k$p$SvpV_SC_5_08_EV1_3_22|很想要回到那个\n有你在的村子……！$k\n$Wsセリカ|$Wd$w0|$SspSE_EVT_5_HUMAN_RUN2_CORRIDOR|$w3000|$Wmアルム|6$w0|$Sbs5000|$Wsアルム|$Wa$E怒,|$SvpV_SC_5_08_EV1_3_23|赛莉卡！\n等等，赛莉卡！！$k
