Text/archive
ARC_ARCHIVE_TXT_01	在故事中登场的人物。
SM_002100_0040_NAR	瑟蕾莎回过神来，\n发现自己把心里的想法说了出来。
SM_002100_0050_CER	“狼！？”
SM_002100_0060_NAR	看见白狼跑走的身影，\n瑟蕾莎一跃而起。
SM_002100_0070_CER	“小柴猫，你已经休息够了吧？”
SM_002100_0090_COL	“大姐姐，\n你们这就要走了？”
SM_002100_0100_CER	“嗯，我们赶时间。”
SM_002100_0110_COL	“我还有最后一个请求，\n能麻烦你们帮帮我吗？”
SM_002100_0120_COL	“如果你们在森林里再发现\n被妖精抓住的人魂……\n希望你们能像刚才那样救出他们。”
SM_002100_0130_COL	“我们会尽最大努力答谢你们的！”
SM_002100_0140_CER	“好，我一定尽力！”
SM_002100_0150_COL	“谢谢你！”
SM_002100_0160_NAR	就这样，\n瑟蕾莎一行告别了柯尔姆，\n出发去寻找白狼。
SM_002100_0170_COL	“大姐姐、猫先生，下次见！”
BK_2000_0020_NAR	妖精突如其来的袭击\n再一次让瑟蕾莎感到害怕。
BK_2000_0040_NAR	“碍手碍脚的，给我退下！”\n小柴猫怒斥胆怯的瑟蕾莎。
BK_2000_0050_CER	“我、我也能战斗！\n别小看我！”
BK_2000_0060_CER	“我不能害怕，\n我要成为强大的魔女……！”
SM_002080_0000_NAR	瑟蕾莎一行击退了难缠的妖精。\n跟以往相比，瑟蕾莎觉得自己\n战斗的本领有了一些长进。
SM_002080_0010_CER	“小柴猫，怎么样？\n我只要想做还是能做到的吧？”
SM_002080_0020_NAR	但小柴猫的态度很是冷淡。
SM_002080_0030_CER	“哼，小柴猫你真是坏心眼！”
SM_002080_0040_NAR	瑟蕾莎十分不满，\n她觉得小柴猫轻视了自己。
BK_8100_0000_CER	“又跟那时一样……”
BK_8100_0010_CER	“我知道啦。\n来试试看这次是\n什么样的力量吧。”
SM_002130_0000_FAS	“小妹妹，你好。”
SM_002130_0010_CER	“你、你是谁！？”
SM_002130_0020_NAR	突如其来的搭话\n让瑟蕾莎吓了一大跳。
SM_002130_0030_FAS	“我是谁……\n我算是\n‘最了解这座森林的人’吧。”
SM_002130_0040_FAS	“至少我不是妖精，\n你大可以相信我。”
SM_002130_0050_CER	“那也不能轻易相信你……”
SM_002130_0060_FAS	“你可以试着问问我，\n我能回答你的所有问题。”
SM_002130_0070_CER	“咦？\n那……你知道白……\n你知道黑狼去哪了吗？”
SM_002130_0080_FAS	“你在找的是白狼吧？”
SM_002130_0090_CER	“你、你怎么知道？”
SM_002130_0100_FAS	“你现在也算是森林的一部分，\n所以我能看穿你的想法。”
SM_002130_0110_FAS	“小妹妹，你现在正朝着目标\n走在正确的道路上。”
SM_002130_0120_FAS	“但下一个元素核心的位置\n并不容易接近。”
SM_002130_0130_CER	“你居然连元素核心的事都知道！？”
SM_002130_0135_CER	“可你为什么说不容易接近？”
SM_002130_0140_FAS	“前方有一座古旧的马戏团帐篷，\n是以前妖精为了引诱人类孩童\n进入森林所使用的东西。”
SM_002130_0150_FAS	“疯狂的团长直到现在\n仍独自在那里持续着表演，\n要是被他发现就完了。\n\n你会被迫配合他的演出\n一直到死为止。”
SM_002130_0160_CER	“到死为止……？”
SM_002130_0170_FAS	“啊……\n我是不是吓到你了？”
SM_002130_0180_FAS	“不过你放心，你跟你的恶魔\n应该是不会被他轻易杀掉的。”
SM_002130_0190_FAS	“自从你们踏进森林的那一刻起，\n妖精们就已经乱作一团了。”
SM_002130_0200_FAS	“可见他们有多么畏惧你们，\n尤其是害怕这位恶魔……”
SM_002130_0210_FAS	“我差不多该告辞了。\n希望你们一路平安。”
SM_002130_0220_NAR	话音刚落，\n附近便重归寂静。
SM_002130_0230_CER	“消失了……”
SM_002130_0240_CER	“她到底是谁……？”
_05	
SM_002140_0000_FAS	“马戏团好玩吗？”
SM_002140_0010_CER	“这、这声音是！”
SM_002140_0020_NAR	熟悉的声音再一次从某处传来。
SM_002140_0030_NAR	瑟蕾莎朝着声源望去，\n那里站着一个稍显怪异的人魂，\n大大的帽子遮住了她的面容。
SM_002140_0040_CER	“人魂……？”
SM_002140_0045_CER	“你就是那个声音的主人吗？”
SM_002140_0050_FAS	“我来正式自我介绍一下吧。\n我是这座森林的引路人，伊古妮丝。”
SM_002140_0060_FAS	“你居然解决了那个马戏团，真厉害。\n我果然没看错人。”
SM_002140_0070_FAS	“团长再也玩不了空中飞人了。”
SM_002140_0080_FAS	“真是可怜。”
SM_002140_0090_CER	“他真的太粗暴了。\n我讨厌被人逼着做这做那！”
SM_002140_0100_NAR	知道对方是人魂之后，\n瑟蕾莎的口吻也轻松了不少。
SM_002140_0110_NAR	但小柴猫依旧保持沉默。\n看来它对人魂没有丝毫兴趣。
SM_002140_0120_CER	“不说这个了……\n你说你叫伊古妮丝？”
SM_002140_0130_CER	“伊古妮丝，我猜你或许知道\n其他元素核心的所在位置……？”
SM_002140_0140_FAS	“我当然知道了。\n下一个核心沉睡在湖底。”
SM_002140_0150_CER	“湖底……！？”
SM_002140_0160_CER	“那、那正好，\n我很会潜水的。”
SM_002140_0170_CER	“只是不太会浮起来……”
SM_002140_0180_FAS	“哈哈，别担心。\n只要抽干湖水就好。”
SM_002140_0190_FAS	“不过……\n你必须先越过巨树才行。\n\n想要到达湖底深处\n就得爬到森林最高处。\n这听起来是不是很哲学？”
SM_002140_0200_CER	“最高处……”
SM_002140_0210_FAS	“怎么了？”
SM_002140_0220_CER	“不，没什么。\n就算是高处……我也不怕。\n谢谢你告诉我这么多！”
SM_002140_0230_FAS	“别客气。”
_71	
CE_002000_0000_CER	你倒是下来啊！
CE_002000_0010_CER	别老往小柴猫够不到的地方躲啊！
CE_002010_0000_CER	好机会，就是现在！
CE_002020_0000_CER	别想逃！
CE_002030_0000_CER	平台前的开关看上去很可疑。
CE_002035_0000_CER	踩下之后，聚光灯就会照亮平台。
CE_002040_0000_CER	咦？\n开关反了，没法按下去？
CE_002050_0000_CER	这个把手有什么用？
CE_002060_0000_CER	跟开关是联动的呢。
CE_002070_0000_CER	来吧，是时候落幕了。
CE_002080_0000_CER	呜……！\n嗯……呜……呜……！
CE_002090_0000_CER	我、我动不了……！
CE_002100_0000_CER	小柴猫……帮帮我！！
_54	
LV_002005_0010_CER	那是什么？
LV_002005_0020_NAR	瑟蕾莎发现了像水果一样的东西。
LV_002005_0030_NAR	“看起来挺好吃的，我要吃。”
LV_002010_0010_CER	妖精在欺负人魂……\n可凭我一个人什么也做不到……
LV_002015_0010_CER	小柴猫，那边有妖精在欺负人魂！\n我们快去救他！
LV_002025_0010_CER	不行……我还是不能丢下那个人魂不管！
LV_002030_0010_CER	刚才得到的新力量……
LV_002030_0020_CER	用上那股力量，\n之前过不去的地方应该就能通过了！
LV_002035_0010_NAR	“我长这根舌头是为了品尝猎物。\n你到底要用我这舌头用多久啊？”
LV_002035_0015_NAR	小柴猫不满地喊叫道。
LV_002035_0020_CER	你也想去森林深处吧？\n那就别抱怨啦。
LV_002035_0110_NAR	“哼，谁让你事事都得靠我出力呢。”
LV_002035_0115_NAR	小柴猫讥笑道。
LV_002035_0120_CER	怎么了嘛！没有我谁来用元素之力啊。\n别说得好像只有你最厉害！
LV_002040_0010_CER	这是什么地方？\n是妖精们的游乐场吗……？
LV_002040_0020_CER	还是说，这里是人类曾经住过的地方……？
LV_002040_0030_CER	我也想跟妈妈一起玩……
LV_002045_0010_NAR	必须放下那座吊桥才能进到里面去。
LV_002050_0010_CER	我得当心，千万不能被发现了……
LV_002055_0010_NAR	帮助了人魂，\n瑟蕾莎的心情稍微轻松了一些。
LV_002055_0020_CER	妖精们也太过分了。\n我要把所有人魂都救出来！
LV_002065_0010_CER	柯尔姆，你个子小小的，\n走起路来倒挺快的呢。
LV_002065_0110_CER	在遇见你之前，\n我都不敢相信人魂是真实存在的。
LV_002070_0010_NAR	瑟蕾莎忍不住开心大叫。\n她还是个孩子呢。
LV_002080_0010_CER	呼啊……
LV_002080_0020_NAR	瑟蕾莎不禁打了个哈欠，\n她的身体感到了疲惫。
LV_002080_0030_NAR	瑟蕾莎决定在这里休息一下。
LV_002085_0010_NAR	瑟蕾莎再次朝森林深处进发。
LV_002085_0020_NAR	跟人魂们一起玩很开心，\n但瑟蕾莎还有非做不可的事。
LV_002090_0010_CER	那是……什么？
LV_002090_0020_NAR	远处能看到一座类似大帐篷的建筑物。\n那如血液般鲜红的外观，\n仿佛在邀请瑟蕾莎过去。
LV_002095_0010_CER	我以前看过这种街头表演。\n没想到现在会轮到自己上场……！
_01	
LV_002900_0000_CER	那个小丑帽搞什么啊！\n总来妨碍我！
LV_002905_0000_NAR	“我能感受到一股强大的力量……”\n小柴猫似乎感知到了什么。
LV_002905_0010_CER	元素核心就在这附近。\n肯定就在前方的马戏团帐篷里。
LV_002910_0000_CER	等等，这是什么声音！？\n朝这里过来了！
LV_002915_0000_CER	好有趣！\n会一直通到哪里去呢？
LV_002920_0000_CER	朝这边过来了……！？\n那、那是什么啊！？
LV_002925_0000_CER	咦！？\n我们……交换了位置！？
LV_002930_0000_CER	迷迭香？对哦……这是驱魔花。\n你不用勉强自己过来。
LV_002935_0000_CER	嘿嘿！\n怎么样？我一个人救出了所有人哦？
CE_002800_0000_CER	那个踩着球的很碍事。\n我们把那家伙拖下来吧！
CE_002805_0000_CER	唉，每次都会被躲开！\n该怎么做才能让大炮射中呢……！
CE_002810_0000_CER	你的杂耍我已经看腻了！\n小柴猫，上吧！
CE_002815_0000_CER	嘿、嘿、嘿、看招！
Text/Episode3
BK_3020_0000_NAR	可怕怪物的身体仿佛铁一般坚硬。\n小柴猫的爪子都快要裂开了。
BK_3020_0010_NAR	怪物盯上了瑟蕾莎。\n\n她明白自己必须战斗，\n但双腿发软，动弹不得。
BK_3020_0050_NAR	龙形怪物\n还在搜寻瑟蕾莎一行。
BK_3020_0060_NAR	小柴猫挣扎着想化作野兽，\n但身体不听使唤。
BK_3020_0080_NAR	“都怪你这胆小鬼！”\n小柴猫吼叫着怒斥瑟蕾莎……
BK_3020_0090_NAR	但瑟蕾莎吓坏了。\n她抱紧小柴猫，\n总算是逃走了。
SM_003010_0000_NAR	两人到了安全的地方，\n但小柴猫对瑟蕾莎的行为十分愤怒。
SM_003010_0010_CER	“……”
SM_003010_0020_NAR	瑟蕾莎呆立在原地，说不出话来。\n自己居然被吓得落荒而逃，\n她也很愧疚。
SM_003010_0030_CER	“就连小柴猫也完全不是\n那个怪物的对手……\n\n我……\n我该怎么办……”
SM_003010_0040_NAR	瑟蕾莎用细不可闻的声音说道，\n而小柴猫并没有回话。
SM_003010_0050_NAR	就连引以为豪的爪子\n也没能伤到那个怪物分毫，\n小柴猫想到这一点也不由得懊恼起来。
SM_003010_0060_NAR	“总之你别来妨碍我！”\n小柴猫最后只能憋出这么一句话。
SM_003010_0070_CER	“……”
SM_003010_0080_NAR	懊悔不已的瑟蕾莎\n并没有听见小柴猫说的话。
BK_3030_0000_NAR	那个可怕的怪物又一次出现了。
BK_3030_0010_NAR	“你给我退下！”\n小柴猫冲瑟蕾莎大喊。
BK_3030_0020_NAR	瑟蕾莎不假思索地躲到暗处，\n而小柴猫毫不犹豫地扑向了怪物。
BK_3030_0040_NAR	然而，小柴猫的爪子\n还是被怪物的身体弹开了。
BK_3030_0050_NAR	一步，又一步，\n小柴猫被怪物逼到了绝境。
BK_3030_0070_CER	“小柴猫！”
BK_3030_0080_NAR	糟了！再这样下去，\n小柴猫会被吃掉的吧？
BK_3030_0090_CER	“我……我……”
BK_3030_0100_CER	“我……又帮不上忙吗？”
BK_3030_0110_CER	“我不想再这样下去了！”
BK_3030_0120_CER	“我不会再逃避了……！”
BK_3030_0130_CER	“因为我要成为强大的魔女！”
PH_3020_0000_CER	我也有能做到的事！
PH_3020_0010_CER	就是那个！
SM_003020_0000_NAR	打碎怪物的甲壳后，\n它慌张地逃跑了。
SM_003020_0020_CER	“小柴猫，你还好吗！？没受伤吧？”
SM_003020_0030_NAR	小柴猫逞强没有作声，\n但看起来没受什么重伤。
SM_003020_0040_CER	“太好了……”
SM_003020_0050_CER	“也不知道那个怪物会不会回来。\n不过，既然能破坏那个甲壳，\n那我们大概有办法对付它！”
SM_003020_0060_NAR	瑟蕾莎有了点自信，\n她挺起了胸膛，\n可小柴猫沉默不语，似乎不太高兴。
SM_003020_0070_NAR	要不是瑟蕾莎的出色表现，\n自己现在可能已经成了\n那个怪物的晚餐……\n\n但瑟蕾莎明明比自己还弱，\n自己却被她所救，\n这怎么也让它高兴不起来。
SM_003020_0080_CER	“要是害怕那种东西，\n就成不了强大的魔女了。\n\n下次我一定会干掉它！\n我一定能做到。”
SM_003020_0090_NAR	瑟蕾莎干劲十足地说道。\n她的眼神要比刚来森林时有神了一些。
SM_003020_0100_NAR	小柴猫仍不理睬瑟蕾莎，\n假装没听见她的话。
BK_3000_0000_NAR	咬咬嚼嚼……
BK_3000_0010_CER	“那家伙……！”
BK_3000_0020_NAR	“这次一定要干掉它！”\n瑟蕾莎狠狠瞪向怪物。
BK_3000_0030_CER	“我已经不怕你了！”
SM_003030_0000_NAR	打倒了可怕的贾巴沃克，\n瑟蕾莎十分高兴。
SM_003030_0010_NAR	可小柴猫只是扭过头，\n一脸事不关己的样子。
SM_003030_0020_CER	“你这是什么态度呀。”
SM_003030_0030_NAR	小柴猫便开始向瑟蕾莎发牢骚了。\n它不是让她动作再利落点，\n就是嫌她跑得太慢。
SM_003030_0050_NAR	瑟蕾莎难得的好心情\n都被毁得一干二净。
SM_003030_0060_CER	“能干掉那家伙，\n也有我的一份功劳吧。\n你就不能说声谢谢嘛！”
SM_003030_0080_CER	“啊！”
SM_003030_0090_NAR	吵架的事先放一边。\n两人追着狼，\n势头十足地冲了出去。
BK_8110_0000_CER	“又是新的力量！”
BK_8110_0010_CER	“小柴猫，你怎么了？\n突然变得这么安分……\n你对这个力量没兴趣吗？”
BK_8110_0030_CER	“虽然这个力量可能没法送你回家……\n但一定能派上什么用场。”
SM_003035_0000_LUC	“你居然打倒了\n那么凶猛的贾巴沃克……\n\n你跟其他孩子果然不一样……\n你身上有一种特殊的强大之处。”
SM_003035_0010_CER	“是、是吗……？”
SM_003035_0020_CER	“我还不知道你的名字。\n你能告诉我吗……？”
SM_003035_0030_LUC	“我叫莱卡翁。\n你呢？”
SM_003035_0040_CER	“我是……瑟蕾莎。”
SM_003035_0050_LUC	“瑟蕾莎……真是个美丽的名字。”
SM_003035_0060_CER	“莱卡翁，\n你到底是谁？\n为什么会在这种地方……？”
SM_003035_0070_LUC	“我被囚禁在森林深处，\n无法逃离……”
SM_003035_0080_LUC	“但你这位魔女\n一定可以解开我的诅咒。”
SM_003035_0085_LUC	“而且……”
SM_003035_0090_CER	“而且？”
SM_003035_0100_LUC	“你的噩梦……\n你十分渴望与母亲再会，\n而我也深有同感。\n\n所以，我想帮助你。”
SM_003035_0110_CER	“你该不会也和母亲……？”
SM_003035_0120_LUC	“嗯……我的母亲\n一直在森林外面等我回去。”
SM_003035_0130_LUC	“我也想见母亲……”
SM_003035_0140_LUC	“所以，瑟蕾莎，\n我希望你能解开我的诅咒。\n破坏最后的元素核心，\n来到我的身边……”
SM_003035_0150_LUC	“然后我们就一起离开森林吧。\n我也会帮你救出你的母亲。\n\n这样一来，我们都能再次\n和家人一起生活了。”
SM_003035_0160_CER	“莱卡翁……\n嗯！我会加油的！”
SM_003035_0170_CER	“我想更了解你！\n我们肯定能好好相处的。”
SM_003035_0180_LUC	“我也想更了解你。\n因为我们能分担同样的痛苦……”
SM_003040_0000_NAR	我又见到莱卡翁了……\n一想到方才的梦，\n瑟蕾莎就莫名地激动不已。
SM_003040_0010_NAR	小柴猫一脸嫌弃地瞥了眼\n双颊微红的瑟蕾莎。
SM_003040_0020_CER	“咦……？\n没、没什么。\n\n说起来我还没跟你\n提起过这件事呢。”
SM_003040_0040_NAR	瑟蕾莎跟小柴猫说明了\n自己来森林的理由。\n\n她在梦里见到了莱卡翁，\n她想得到力量帮助母亲，\n而那份力量就在森林深处……
SM_003040_0060_NAR	听了瑟蕾莎的讲述，\n小柴猫惊讶得无话可说，\n她居然会相信自己的梦，\n为此还打算去危险的森林深处。
SM_003040_0070_CER	“可他说的元素核心和狼\n的确都出现了吧？\n\n那可不是单纯的梦，\n莱卡翁说的都是真的！”
SM_003040_0080_NAR	小柴猫不回到魔界可是会丧命的，\n它对深信愚蠢梦境的瑟蕾莎感到生气。
SM_003040_0090_NAR	“万一我回不去，\n我就把你撕碎了吃掉！”\n小柴猫怎么吼都不解气。
SM_003040_0100_CER	“你就知道乱吼……”
SM_003040_0110_CER	“我什么都没说哦。\n好了，我们走吧。”
SM_003050_0000_MOR	“瑟蕾莎，你平安无事就好。”
SM_003050_0010_NAR	摩根娜的幻影出现了。\n看到瑟蕾莎平安无事，她似乎放下了心。\n\n然后她看着瑟蕾莎的脸说道。
SM_003050_0020_MOR	“你的神态好像不太一样了？\n感觉比以前更成熟了……”
SM_003050_0030_CER	“摩根娜，\n我们打倒了很厉害的怪物哦！”
SM_003050_0040_NAR	瑟蕾莎有些兴奋地讲起\n击退贾巴沃克一事。
SM_003050_0050_MOR	“那只是你运气好。\n我不是叮嘱过你要待在安全的地方吗！”
SM_003050_0060_MOR	“不过，如果你说的都是真的，\n那你似乎是有所成长了呢。”
SM_003050_0070_NAR	摩根娜很少开口夸奖瑟蕾莎，\n这让她十分欣喜。\n她强忍住想跳起来欢呼的冲动。
SM_003050_0080_MOR	“你现在或许能用更强的魔术了。\n\n你也可以试试看能不能进一步\n发挥出恶魔的力量。”
SM_003050_0090_MOR	“先不说这些了，我算是做好了准备，\n已经可以救你出来了哦。”
SM_003050_0100_CER	“咦……？”
SM_003050_0110_MOR	“但要破坏妖精们的结界，\n需要大规模的魔导术。\n\n我现在开始一点点叠加魔法，\n估计要到黎明才能完成。\n你得忍耐到那时候。”
SM_003050_0120_CER	“我、我知道了。”
SM_003050_0130_MOR	“如何制服恶魔，\n将其用作自身的武器，\n这将决定魔女的品格。”
SM_003050_0140_MOR	“你今后也要谨记这番话……”
SM_003050_0150_NAR	摩根娜的身姿一消失，\n小柴猫就发出了不满的声音。
SM_003050_0170_CER	“你别放在心上。虽然摩根娜那么说了，\n可我从没把你当成单纯的武器看待。\n\n不过，我还是希望你能再听话点。”
SM_003050_0180_NAR	听瑟蕾莎这么说，\n小柴猫哼了一声。
SM_003050_0200_CER	“你这种态度太不招人喜欢了！”
SM_003050_0210_NAR	瑟蕾莎好不容易得到了摩根娜的夸奖，\n但她的喜悦心情又消失得无影无踪。
SM_003080_0000_FAS	“小妹妹，你好。真叫人吃惊，\n你居然能顺利来到这里。”
SM_003080_0010_FAS	“贾巴沃克可是数一数二的\n凶残妖精，它一直都在等着你们，\n不料却反被你们解决了。”
SM_003080_0020_FAS	“真没想到居然有魔女能\n打倒那个凶暴的家伙。”
SM_003080_0030_FAS	“哦？\n你们都成功破坏了元素核心，\n但你还是一脸不高兴呢。”
SM_003080_0040_FAS	“是哪里受伤了吗？”
SM_003080_0050_CER	“我没受伤。”
SM_003080_0060_CER	“还是告诉我最后的元素核心在哪里吧。”
SM_003080_0070_CER	“你应该知道的吧？”
SM_003080_0080_FAS	“嗯……\n你知道有句话叫\n‘欲速则不达’吗？”
SM_003080_0090_CER	“这是两码事！”
SM_003080_0100_CER	“好了，快点告诉我！”
SM_003080_0110_FAS	“你也真是的……”
SM_003080_0120_FAS	“最后一个元素核心就在\n这个森林里最棘手的地方。”
SM_003080_0130_FAS	“那就是要塞。\n里面全是些在妖精里头粗暴的家伙。”
SM_003080_0140_FAS	“没有人能活着离开那个要塞。\n听了这些话，你还打算去吗？”
SM_003080_0150_CER	“我、我当然要去。\n我可是魔女。\n而且我比刚来这座森林时\n已经变强了许多！”
SM_003080_0160_FAS	“但愿如此……”
SM_003080_0170_FAS	“算了，只要小妹妹你跟伙伴配合默契，\n应该也没问题吧？”
SM_003080_0180_FAS	“我也受够粗暴的妖精们了。\n希望能看到你们的出色表现哦！”
SM_003080_0190_FAS	“对了。我知道这座森林里的\n‘秘密通道’。”
SM_003080_0200_FAS	“说不定有几条通道能通往\n你们曾经去过的地方。”
SM_003080_0210_FAS	“我随时都能带路。\n有需要的话就喊我一声吧。”
SM_003080_0220_FAS	“别客气，\n就当是你们帮我教训了\n粗暴妖精的谢礼吧。”
_31	
LV_003005_0000_CER	这是……？
LV_003005_0010_CER	该不会有人刚刚在这里\n一直看着我们吧……？
LV_003010_0000_CER	啊，这里是……
LV_003010_0010_NAR	我们刚刚才来过这里，\n兜兜转转又绕回原地了。
LV_003015_0000_CER	我……我有点害怕待在高处……\n只要不看脚下就一定没事……！
LV_003020_0000_CER	这是……什么？爪痕？
LV_003020_0010_CER	这怎么可能嘛，\n不会有这么大的爪痕啦。
LV_003025_0000_NAR	一棵倒在地上的巨大树木，\n仿佛一只张开血盆大口的怪物。
LV_003025_0010_NAR	待在这个阿瓦隆森林里，\n感觉所有东西都会袭击自己。
LV_003030_0000_CER	刚、刚刚那是……什么！？
LV_003035_0000_NAR	“不是要去找下个元素核心吗？\n快去吧！”
LV_003035_0010_NAR	小柴猫如此喊道，\n像是在责备瑟蕾莎。
LV_003035_0020_NAR	可瑟蕾莎已经\n连反驳的力气都没有了。
LV_003040_0000_NAR	前方的那个是水之祠吗？\n它前面立着一个奇怪的东西，\n是用粗大的铁棒搭成的。
LV_003040_0010_NAR	那是一个很大很大的笼子，\n甚至能包住一整个房子。
LV_003045_0000_NAR	“那家伙要是再出现，我就让它吃不了兜着走。”
LV_003045_0010_NAR	小柴猫故意大声地自言自语道，\n像是在说给瑟蕾莎听似的。
LV_003045_0020_NAR	瑟蕾莎愈发不安起来。
LV_003045_0030_CER	我……我……
LV_003050_0000_CER	这一带搞不好\n是那个大怪物的领地……
LV_003050_0010_NAR	话一说出口，\n瑟蕾莎便害怕起来了。
LV_003050_0020_NAR	但事到如今已不能回头。
LV_003055_0000_CER	那个怪物……就在附近……
LV_003060_0000_CER	必须帮助小柴猫！
LV_003060_0010_CER	应该……应该有什么办法。
LV_003065_0000_CER	甲壳的碎片……？\n就算它是个厉害的怪物，\n我们也是能伤到它的！
LV_003070_0000_CER	我……不会再逃避了。\n小柴猫，我们上吧！
LV_003070_0010_NAR	“我才不会从它面前逃走。”
LV_003070_0020_NAR	虽然小柴猫一脸不满地嘟囔着，\n但它也跃跃欲试地想要战斗。
LV_003075_0000_NAR	附近散落着很多坏掉的笼子。
LV_003075_0010_CER	好多笼子……
LV_003075_0020_NAR	这么多的笼子到底是用来干什么的……？\n瑟蕾莎想了一半，不敢再细想下去。
LV_003080_0000_CER	白狼！\n太好了，你也平安无事。
LV_003080_0010_CER	拜托了！\n请带我去找最后的元素核心吧。
CE_003000_0000_CER	我只要努力也是能做到的！
CE_003010_0000_CER	小柴猫！\n使用石元素的力量！
CE_003020_0000_CER	呀！
CE_003020_0010_CER	唔，好痛……呜呜……
CE_003030_0000_CER	等等，怎么回事？\n它该不会正在气头上吧……！？
CE_003040_0000_CER	小柴猫！！
CE_003040_0010_CER	得快去救它！
CE_003050_0000_CER	开饭啦，\n多吃点，吃到肚子炸裂吧！！
LV_003900_0000_CER	好棒哦！\n就像在空中飞翔一样！
LV_003905_0000_CER	不行……\n我打不赢它！
LV_003905_0010_NAR	怪物的身体宛如钢铁般坚硬。\n小柴猫发出了懊恼的吼声。
LV_003910_0000_CES	一天到晚就知道逃，你只有\n脚底抹油的本事算是一等一的！
LV_003910_0020_CER	我也……不想逃跑啊！
LV_003910_0030_CES	你已经不想再遇上吓人的事了吧？\n你这胆小鬼，那就老老实实地待在一边发抖吧！
LV_003910_0040_CER	我不想……一直当个胆小鬼！
LV_003910_0050_CES	那你又能做到什么？\n没人指望你能做出什么成绩来！
LV_003910_0060_CER	妈……妈妈愿意相信我！
LV_003915_0000_NAR	瑟蕾莎拼命忍住眼泪，\n逼着自己一直向前走。
LV_003915_0010_NAR	一旦哭出来，就又要变回弱小的自己了。\n她不断地这么告诫着自己，发誓要变强。
CE_003800_0000_CER	要是吃了一记那种重击……\n不行，瑟蕾莎，你不能去想这些！
LV_003920_0000_CER	呜呜……\n我……已经……
LV_003920_0010_CER	怎、怎么了！？
LV_003920_0020_CER	我不要听……！\n不要……！别再说了……！
LV_003920_0030_NAR	“别磨蹭了，快前进！”\n小柴猫发出了低沉的吼声，\n像是在催促她。
CE_003805_0000_CER	啊……！\n这个说不定有用……！
Text/Episode4
BK_4000_0000_NAR	妖精们藏在阴影里，\n偷偷地观察瑟蕾莎他们。
BK_4000_0010_NAR	妖精们忽然站起来，\n开始念起了不知是什么的咒语。
BK_4000_0020_ROS	“莎……瑟蕾莎……！”
BK_4000_0030_CER	“谁在叫我？”
BK_4000_0040_NAR	实在是太惊人了，\n瑟蕾莎母亲的身姿\n居然出现在了他们的面前。
BK_4000_0050_CER	“妈妈……？是妈妈吗！？”
BK_4000_0055_ROS	“瑟蕾莎，过来吧……\n我可爱的瑟蕾莎……”
IN_40000_0010_NAR	瑟蕾莎就像是被吸过去了一般\n朝着母亲走去。
IN_40000_0020_NAR	瑟蕾莎慌忙跑了过去。
BK_4090_0010_CER	“妈妈，等等我！\n别再丢下我一个人！”
BK_4090_0040_NAR	妈妈的叫喊声回荡在整个森林里。\n那声音宛如利刃，\n狠狠刺进了瑟蕾莎的心。
SM_004010_0010_CER	“妈妈！！”
SM_004010_0020_NAR	瑟蕾莎嚎啕大哭着，\n终于清醒了过来。\n这一切都是妖精们制造的幻影。
SM_004010_0030_NAR	可即便只是幻影，\n那也足以伤透瑟蕾莎的心了。
SM_004010_0040_NAR	小柴猫发出吼叫，\n催促瑟蕾莎赶快站起来。
SM_004010_0060_NAR	但是瑟蕾莎仍然蹲在地上，\n哭个不停。
SM_004010_0070_NAR	“要不是我撕碎了幻影，\n你就要一头栽下悬崖了！”\n\n小柴猫渐渐抬高了声音。
SM_004010_0080_CER	“小柴猫是笨蛋！\n你怎么能这样对待妈妈！”
SM_004010_0100_NAR	小柴猫的话让瑟蕾莎一跃而起。\n\n她的眼中满是愤怒与泪水。
SM_004010_0110_NAR	“我救了你一命，你还这么骂我！\n都怪你呆站着，\n才会中了妖精们的无聊幻术！”\n\n小柴猫也不服输地还了嘴。
SM_004010_0120_CER	“像你这种野蛮的恶魔\n根本就不懂我现在的心情！”
SM_004010_0130_CER	“而且你老是把我当弱者看待，\n可你光凭自己不也什么都做不到吗！”
SM_004010_0140_NAR	“要不是有我在，\n你早就被妖精们吃进肚子里了！”\n\n积怨已久的小柴猫也不甘示弱地反驳道，\n他们吵得越来越激烈。
SM_004010_0150_NAR	于是，瑟蕾莎的怒火\n终于彻底爆发了。
SM_004010_0160_CER	“是我把你召唤出来的！\n区区恶魔\n只要老实听魔女吩咐就行了！”
SM_004010_0170_NAR	听了瑟蕾莎的这句话，\n小柴猫猛然一愣。
LV_004010_0003_CER	妈妈！
BK_4070_0000_NAR	然后，它压低声音吼了一声。
BK_4070_0010_CER	“我、我也不管你了！”
BK_4070_0030_CER	“我要和你绝交！”
BK_4070_0040_NAR	瑟蕾莎的声音在森林中回荡，\n随之而来的是沉重的静默。
SM_004020_0000_CER	“哼，我也已经能熟练运用魔导术了，\n就算小柴猫不在也不碍事。”
SM_004020_0010_CER	“离开了我，它才要头疼呢……\n就算它待会儿后悔也来不及了！”
SM_004020_0020_CER	“小柴猫……！？”
SM_004020_0030_NAR	她没有得到任何回应。
SM_004020_0040_NAR	瑟蕾莎紧张地咽了口唾沫。
SM_004020_0060_NAR	看到跳出来的兔子，\n她这才松了一口气……
SM_004020_0070_CER	“我、我才不害怕呢。\n我可是魔女！”
SM_004020_0075_CER	“我也会立刻找到狼的！”
