CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	发生连接错误。
Coop_InGame_EvtDozer_First	{color[0100]}烤架鱼{color[ffff]}出现了……瞄准背上的弱点，\n重要的东西在看不见的地方……它们也是这样。
Coop_InGame_EvtDozer_Increment	嗯，烤架鱼增加到了2只……\n它们大概也觉得一个人的话比较寂寞吧。
Coop_InGame_EvtFog_Start	{color[0100]}起雾{color[ffff]}了……这下麻烦了。\n但是，正是在绝望中才能看见希望的光。
Coop_InGame_EvtFog_Start_WaterLow	{color[0100]}干涸的土地{color[ffff]}上聚集了{color[0100]}大量的鲑鱼{color[ffff]}，\n但是，这{color[0100]}雾{color[ffff]}……请多加注意。
Coop_InGame_EvtGeyser_Start	是{color[0100]}喷泉{color[ffff]}…… 附近藏着{color[0100]}金鲑鱼{color[ffff]}。\n干等着也不是办法，大家一起去找吧。
Coop_InGame_EvtGeyser_Appear	{color[0100]}金鲑鱼{color[ffff]}出现了。\n不要着急……机会到来时更要打起精神。
Coop_InGame_EvtGeyser_Reset	嗯……{color[0100]}金鲑鱼{color[ffff]}似乎藏在某处呢。
Coop_InGame_EvtMissile_Start	{color[0100]}干涸的土地{color[ffff]}上来了{color[0100]}大量的大胖鱼{color[ffff]}。\n活用设置好的大炮吧。
Coop_InGame_EvtRush_Start	是{color[0100]}光蝇{color[ffff]}……鲑鱼们变得骚动起来了。\n当身体发光时，一定要多加小心。
Coop_InGame_EvtNone_Start_WaterLow	{color[0100]}干涸的的土地{color[ffff]}上来了{color[0100]}大量的鲑鱼{color[ffff]}。\n必须要全员一起上才行。
CommonMsg\Talk\TalkShop.msbt
Weapon_Offline_00	欢迎光临～！{[0004]}……哎呀，您正处于离线状态啊！\n请您连接上{color[0100]}互联网{color[ffff]}之后再来吧！
Head_Offline_00	欢迎光临——{[0004]}啊，客人，您正处于离线状态啊！\n等您连接上{color[0100]}互联网{color[ffff]}之后再光临本店吧！
Clothes_Offline_00	欢迎光临。{[0004]}……您好像正处于离线状态。\n快回去连接{color[0100]}互联网{color[ffff]}吧？记得再来哦？
Shoes_Offline_00	欢迎光……{[0100|05000000]}……{[0100|05000000]}哎呀？{[0004]}啊，您好像正处于离线状态呢。\n请连接上{color[0100]}互联网{color[ffff]}之后再光临本店吧——☆
Goods_Offline_00	欢迎光临——{[0004]}……是处于离线状态的客人啊。\n请您连接上{color[0100]}互联网{color[ffff]}之后再来吧……
CommonMsg\UniformName\UniformNameGearName_Head.msbt
FST000	{[0506]}
CAP000	{[0506]}
CAP002	{[0506]}
CAP003	{[0506]}
CAP005	{[0506]}
CAP012	{[0506]}
CAP020	{[0506]}
CAP021	{[0506]}
CAP028	{[0506]}
CAP036	{[0506]}
NCP008	{[0506]}
EYE001	{[0506]}
EYE003	{[0506]}
EYE008	{[0506]}
EYE009	{[0506]}
EYE011	{[0506]}
EYE012	{[0506]}
EYE016	{[0506]}
EYE021	{[0506]}
EYE025	{[0506]}
EYE026	{[0506]}
EYE027	{[0506]}
HAT004	{[0506]}
HAT008	{[0506]}
HAT015	{[0506]}
HAT016	{[0506]}
HAT017	{[0506]}
HDP001	{[0506]}
HDP004	{[0506]}
HDP007	{[0506]}
HDP008	{[0506]}
VIS001	{[0506]}
VIS003	{[0506]}
VIS004	{[0506]}
MET007	{[0506]}
MET012	{[0506]}
MET013	{[0506]}
MET014	{[0506]}
MSK005	{[0506]}
MSK008	{[0506]}
MSK011	{[0506]}
MSK014	{[0506]}
MSK016	{[0506]}
HBD003	{[0506]}
HBD007	{[0506]}
HBD009	{[0506]}
MSN109	{[0506]}
MSN306	{[0506]}
CommonMsg\UniformName\UniformNameGearName_Shoes.msbt
SLO000	{[0506]}
SLO008	{[0506]}
SLO009	{[0506]}
SLO021	{[0506]}
SLO022	{[0506]}
SLO024	{[0506]}
SHI000	{[0506]}
SHI001	{[0506]}
SHI004	{[0506]}
SHI005	{[0506]}
SHI016	{[0506]}
SHI017	{[0506]}
SHI018	{[0506]}
SHI042	{[0506]}
SHI043	{[0506]}
SHI045	{[0506]}
SHT001	{[0506]}
SHT004	{[0506]}
SHT013	{[0506]}
SHT020	{[0506]}
SHT022	{[0506]}
SHT023	{[0506]}
SHT024	{[0506]}
SHT025	{[0506]}
SDL000	{[0506]}
SDL001	{[0506]}
SDL003	{[0506]}
SDL004	{[0506]}
SDL005	{[0506]}
SDL007	{[0506]}
SDL008	{[0506]}
SDL011	{[0506]}
SDL012	{[0506]}
SDL013	{[0506]}
SDL017	{[0506]}
SDL018	{[0506]}
TRS000	{[0506]}
TRS001	{[0506]}
BOT000	{[0506]}
BOT001	{[0506]}
BOT006	{[0506]}
BOT007	{[0506]}
BOT012	{[0506]}
BOT021	{[0506]}
SLP002	{[0506]}
LTS010	{[0506]}
LTS013	{[0506]}
LTS014	{[0506]}
MSN306	{[0506]}
CommonMsg\UniformName\UniformNameWeaponName_Main.msbt
Shooter_Short_00	{[0506]}
Shooter_First_00	{[0506]}
Shooter_Precision_00	{[0506]}
Shooter_Blaze_00	{[0506]}
Shooter_Normal_00	{[0506]}
Shooter_Normal_H	{[0506]}
Shooter_Gravity_00	{[0506]}
Shooter_QuickMiddle_00	{[0506]}
Shooter_Expert_00	{[0506]}
Shooter_Heavy_00	{[0506]}
Shooter_Long_00	{[0506]}
Blaster_Short_00	{[0506]}
Blaster_Middle_00	{[0506]}
Blaster_Long_00	{[0506]}
Blaster_LightShort_00	{[0506]}
Blaster_Light_00	{[0506]}
Blaster_LightLong_00	{[0506]}
Shooter_TripleQuick_00	{[0506]}
Shooter_TripleMiddle_00	{[0506]}
Shooter_Flash_00	{[0506]}
Roller_Compact_00	{[0506]}
Roller_Normal_00	{[0506]}
Roller_Heavy_00	{[0506]}
Roller_Hunter_00	{[0506]}
Brush_Mini_00	{[0506]}
Brush_Normal_00	{[0506]}
Charger_Quick_00	{[0506]}
Charger_Normal_00	{[0506]}
Charger_NormalScope_00	{[0506]}
Charger_Long_00	{[0506]}
Charger_LongScope_00	{[0506]}
Charger_Light_00	{[0506]}
Charger_Keeper_00	{[0506]}
Slosher_Strong_00	{[0506]}
Slosher_Diffusion_00	{[0506]}
Slosher_Launcher_00	{[0506]}
Slosher_Bathtub_00	{[0506]}
Slosher_Washtub_00	{[0506]}
Spinner_Quick_00	{[0506]}
Spinner_Standard_00	{[0506]}
Spinner_Hyper_00	{[0506]}
Spinner_Downpour_00	{[0506]}
Spinner_Serein_00	{[0506]}
Maneuver_Short_00	{[0506]}
Maneuver_Normal_00	{[0506]}
Maneuver_Gallon_00	{[0506]}
Maneuver_Dual_00	{[0506]}
Maneuver_Stepper_00	{[0506]}
Shelter_Normal_00	{[0506]}
Shelter_Wide_00	{[0506]}
Shelter_Compact_00	{[0506]}
CommonMsg\UniformName\UniformNameWeaponName_Special.msbt
SpInkStorm	{[0506]}
SpUltraShot	{[0506]}
SpUltraStamp	{[0506]}
SpGachihoko	{[0506]}
SpGreatBarrier	{[0506]}
SpJetpack	{[0506]}
SpShockSonar	{[0506]}
SpSuperHook	{[0506]}
SpSuperLanding	{[0506]}
SpSkewer	{[0506]}
SpChariot	{[0506]}
SpNiceBall	{[0506]}
SpBlower	{[0506]}
SpMultiMissile	{[0506]}
SpMicroLaser	{[0506]}
SpTripleTornado	{[0506]}
CommonMsg\UniformName\UniformNameWeaponName_Sub.msbt
Bomb_Splash	{[0506]}
Bomb_Suction	{[0506]}
Bomb_Quick	{[0506]}
Bomb_Curling	{[0506]}
Bomb_Robot	{[0506]}
Trap	{[0506]}
Sprinkler	{[0506]}
PointSensor	{[0506]}
PoisonMist	{[0506]}
Shield	{[0506]}
Beacon	{[0506]}
Bomb_Fizzy	{[0506]}
Bomb_Torpedo	{[0506]}
LineMarker	{[0506]}
CommonMsg\VS\VSAwardName.msbt
Battle	对战 No.1
GachiareaPaint	真格区域涂墨 No.1
GachiareaFrontHold	真格区域前线把控 No.1
GachiyaguraInvasion	计数推进 No.1
GachiyaguraBest	刷新最佳计数
GachihokoInvasion	计数推进 No.1
GachihokoBest	刷新最佳计数
GachiasariInvasion	计数推进 No.1
GachiasariHold	真格蛤蜊运送时间 No.1
Paint	涂墨点数 No.1
Standout	夺目时间 No.1
NawabariPaintMyTeamArea	本阵涂墨 No.1
NawabariPaintOpTeamArea	敌阵涂墨 No.1
SuperJumpTarget	同伴跳跃目标 No.1
Kill	击倒数 No.1
KillAssist	助攻数 No.1
GachiareaStay	真格区域干涉 No.1
GachiyaguraCheckPointPass	关卡突破 No.1
GachiyaguraStop	真格塔楼拦截 No.1
GachihokoCheckPointPass	关卡突破 No.1
GachihokoHold	真格鱼虎运送时间 No.1
GachihokoStop	真格鱼虎拦截 No.1
GachiasariStop	真格蛤蜊拦截 No.1
NawabariDefenseMyTeamArea	本阵防守 No.1
MoveDistance	移动距离 No.1
DamageRecovery	承受伤害 No.1
InkConsumption	墨汁消耗量 No.1
FirstSplat	先泼制人
UltraShot	终极发射 No.1
GreatBarrier	巨大防护罩 No.1
MicroLaser	喇叭镭射5.1ch No.1
MultiMissile	多重导弹 No.1
InkStorm	墨雨云 No.1
NiceBall	赞气弹 No.1
UltraStamp	终极印章 No.1
Jetpack	喷射背包 No.1
SuperHook	触手喷射 No.1
ShockSonar	弹跳声呐 No.1
Blower	吸墨机 No.1
Chariot	螃蟹坦克 No.1
Skewer	鲨鱼坐骑 No.1
TripleTornado	三重龙卷风 No.1
EnergyStand	能量站 No.1
Battle2	对战 No.2
GachiareaPaint2	真格区域涂墨 No.2
GachiareaFrontHold2	真格区域前线把控 No.2
GachiyaguraInvasion2	计数推进 No.2
GachihokoInvasion2	计数推进 No.2
GachiasariInvasion2	计数推进 No.2
GachiasariHold2	真格蛤蜊运送时间 No.2
Paint2	涂墨点数 No.2
Standout2	夺目时间 No.2
NawabariPaintMyTeamArea2	本阵涂墨 No.2
NawabariPaintOpTeamArea2	敌阵涂墨 No.2
SuperJumpTarget2	同伴跳跃目标 No.2
Kill2	击倒数 No.2
KillAssist2	助攻数 No.2
Ref_No1	 No.1
Ref_No2	 No.2
CommonMsg\VS\VSRuleName.msbt
Pnt	占地对战
Pnt_2L	占地\n对战
Var	真格区域
Var_2L	真格\n区域
Vgl	真格鱼虎对战
Vgl_2L	真格鱼虎\n对战
Vlf	真格塔楼
Vlf_2L	真格\n塔楼
Vcl	真格蛤蜊
Vcl_2L	真格\n蛤蜊
Tcl	三色夺宝对战
Tcl_2L	三色夺宝\n对战
CommonMsg\VS\VSStageName.msbt
Yunohana	温泉花大峡谷
District	鳗鲶区
Yagara	烟管鱼市场
Temple	竹蛏疏洪道
Scrap	鱼肉碎金属
Kaisou	真鲭跨海大桥
Upland	海女美术大学
Carousel	醋饭海洋世界
CommonMsg\Weapon\WeaponExp_Special.msbt
SpInkStorm	投掷可以生成墨汁雨云的装置。\n墨汁雨云从装置着落地开始缓缓移动。
SpUltraShot	发射在飞行时旋转的强力墨汁，最多发射3次。\n按{[030c|0000803f00000000]}可以同时射出3发墨汁。
SpUltraStamp	使用巨大的印章进行攻击。\n按住{[030c|0000803f00000000]}时，边使用印章进行敲击边前进。\n松开{[030a|0000803f00000000]}后，可以投掷印章从远处进行攻击，\n并结束特殊武器攻击。
SpGreatBarrier	在脚边设置能够生成大型防护罩的装置。\n防护罩能够防御来自外部的墨汁攻击，但无法阻止对手直接入侵。\n内部的装置或顶部的零件受到伤害时，防护罩会更快被破坏。
SpJetpack	喷射墨汁跳到空中，用附属发射器进行攻击。\n按{[0301|0000803f00000000]}可以暂时提升高度。
SpShockSonar	设置可以产生声波的装置，逼出潜伏起来的对手。\n声波会通过地面传导，对接触到的对手造成伤害并进行标记。\n可以利用跳跃来避开声波。
SpSuperHook	变身为全身包裹墨汁的模样，伸长触手在场地内飞来飞去。\n按{[030a|0000803f00000000]}可粘在墙壁上，按{[030c|0000803f00000000]}可使用主要武器。\n墨汁用完后将解除变身，并使用超级跳跃返回原来的位置。
SpSkewer	乘上用墨汁的力量推进的泳圈，向前方突击。\n按{[030c|0000803f00000000]}或偏离路线时，便会爆炸来造成伤害。
SpChariot	乘上多足坦克，发射墨汁或加农炮压制对手。\n按{[030c|0000803f00000000]}连射墨汁，按{[030a|0000803f00000000]}发射加农炮。\n背部为弱点。按{[030b|0000803f00000000]}可变为移动形态保护自己。
SpNiceBall	蓄力制作墨汁块，将其投掷可以产生爆炸。\n发送或从同伴处收到“称赞”信号后，\n可以加快蓄力。\n发来“称赞”信号的同伴可以增加少许特殊武器蓄力槽。
SpBlower	吸收对手的墨汁攻击越多，发射出的墨汁弹就越强。\n按{[030c|0000803f00000000]}可以生成空气旋涡来吸收对手的墨汁攻击。\n当计量槽全满或经过一定时间后，\n松开{[030c|0000803f00000000]}就可以发射墨汁弹。
SpMultiMissile	按{[030c|0000803f00000000]}可以对游标内的对手发射导弹。\n最多可以锁定5个目标。\n对每个目标发射的导弹数量会根据锁定的目标数量发生改变。
SpMicroLaser	配置6个喇叭型激光发射装置来进行攻击。\n锁定对方玩家后，装置会自动追击对方。\n发动时也可使用主要武器与次要武器。
SpTripleTornado	在设置引导装置的地方引发墨汁龙卷风，最多设置3个。\n按{[030a|0000803f00000000]}投掷引导装置进行设置后，\n便会从上空向该处发射龙卷风生成弹。
SpEnergyStand	设置一个冰箱，里面放着能暂时强化部分能力的饮料。\n冰箱内共有4瓶饮料，每人仅限饮用1瓶。\n在效果持续时间内阵亡时，效果将会消失，但可以立刻复活。
CommonMsg\Weapon\WeaponExp_Sub.msbt
Bomb_Splash	落地不久后会爆炸的炸弹。\n爆炸可以涂抹周围，也可以击倒对手。
Bomb_Suction	能够吸附在地面或墙面上的炸弹。\n比斯普拉炸弹引爆时间更长，\n爆炸冲击波的范围更广。
Bomb_Quick	发生碰撞后立刻爆炸的炸弹。\n虽然它爆炸范围小，威力低，\n但是墨汁的消耗量少，可以连续投掷。
Bomb_Curling	能够边涂抹地面边前进，随后爆炸的炸弹。\n碰到墙壁后会反弹。\n按住{[030a|0000803f00000000]}可以调整引爆时间。
Bomb_Robot	能够自动追踪对手的炸弹。\n可以探测投放地点周围，发现对手后自动行动，\n靠近对手后停止并爆炸。
Trap	设置在脚下的陷阱，对手靠近时会启动并标记对手，\n涂上对手的颜色后，也会自动启动。\n可以同时设置2个。
Sprinkler	能够吸附在地面或墙面喷射墨汁的装置。\n刚设置时威力强大，但会随时间慢慢减弱。\n只能同时设置1个。
PointSensor	能够标记投掷地点附近的对手的装置。\n可以让所有同伴知道对手的位置。
PoisonMist	将某种生物的体液雾化后装入瓶中。\n进入雾中的对手的移动速度会变慢，墨汁也会持续减少。\n进入雾中的时间越长，效果越好。
Shield	在面前设置墨汁防护墙，防御对手的入侵和攻击的装置。\n遭到对手攻击后，会加快损坏速度。\n只能同时设置1个。
Beacon	发出能够被鱿鱼感知到的信号的装置。\n选择同伴的跳跃信标并按{[0300|0000803f00000000]}，\n就会朝该处进行超级跳跃。\n最多可以同时设置3个，一般只能使用1次，\n如果是没有装备跳跃信标的同伴使用，可以使用2次。
Bomb_Fizzy	由溶解了气体的墨汁填充而成的炸弹。\n按{[030a|0000803f00000000]}握持期间可以蓄力，\n根据蓄力大小，最多连续爆炸3次。\n倾斜手柄、推动摇杆或按按键\n可以加快力量积蓄。
Bomb_Torpedo	朝对手飞去的次要武器。\n投掷到对手的附近，就会变形向对手飞去，\n在中弹的地方会爆炸并喷溅出墨汁。\n攻击对手的鱼雷可以将其击落。
LineMarker	以直线飞行并在轨迹上留下一条线的次要武器。\n将会标记触碰到线的对手，\n并对直接命中的对手造成伤害。\n命中墙壁或地面时会反弹。
CommonMsg\Weapon\WeaponName_Main.msbt
Shooter_Short_00	广域标记枪
Shooter_First_00	新叶射击枪
Shooter_Precision_00	窄域标记枪
Shooter_Blaze_00	专业模型枪MG
Shooter_Normal_00	斯普拉射击枪
Shooter_Normal_H	英雄射击枪 复制
Shooter_Gravity_00	.52加仑
Shooter_QuickMiddle_00	N-ZAP85
Shooter_Expert_00	顶尖射击枪
Shooter_Heavy_00	.96加仑
Shooter_Long_00	喷射清洁枪
Blaster_Short_00	新星爆破枪
Blaster_Middle_00	火热爆破枪
Blaster_Long_00	远距爆破枪
Blaster_LightShort_00	冲涂爆破枪
Blaster_Light_00	快速爆破枪
Blaster_LightLong_00	快速爆破枪 精英
Shooter_TripleQuick_00	L3卷管枪
Shooter_TripleMiddle_00	H3卷管枪
Shooter_Flash_00	开瓶喷泉枪
Roller_Compact_00	碳纤维滚筒
Roller_Normal_00	斯普拉滚筒
Roller_Heavy_00	电动马达滚筒
Roller_Hunter_00	可变式滚筒
Brush_Mini_00	巴勃罗
Brush_Normal_00	北斋
Charger_Quick_00	鱿快洁α
Charger_Normal_00	斯普拉蓄力狙击枪
Charger_NormalScope_00	斯普拉准星枪
Charger_Long_00	公升4K
Charger_LongScope_00	4K准星枪
Charger_Light_00	14式竹筒枪·甲
Charger_Keeper_00	高压油管枪
Slosher_Strong_00	飞溅泼桶
Slosher_Diffusion_00	洗笔桶
Slosher_Launcher_00	回旋泼桶
Slosher_Bathtub_00	满溢泡澡泼桶
Slosher_Washtub_00	爆炸泼桶
Spinner_Quick_00	斯普拉旋转枪
Spinner_Standard_00	桶装旋转枪
Spinner_Hyper_00	消防栓旋转枪
Spinner_Downpour_00	圆珠笔
Spinner_Serein_00	鹦鹉螺号47
Maneuver_Short_00	溅镀枪
Maneuver_Normal_00	斯普拉机动枪
Maneuver_Gallon_00	开尔文525
Maneuver_Dual_00	双重清洁枪
Maneuver_Stepper_00	四重弹跳手枪 黑
Shelter_Normal_00	遮阳防空伞
Shelter_Wide_00	露营防空伞
Stringer_Normal_00	三发猎鱼弓
Stringer_Short_00	LACT-450
Shelter_Compact_00	特工配件
Saber_Normal_00	工作刮水刀
Blaster_Light_Coop	快速爆破枪
Blaster_LightLong_Coop	快速爆破枪 精英
Blaster_LightShort_Coop	冲涂爆破枪
Blaster_Long_Coop	远距爆破枪
Blaster_Middle_Coop	火热爆破枪
Blaster_Short_Coop	新星爆破枪
Brush_Mini_Coop	巴勃罗
Brush_Normal_Coop	北斋
Charger_Keeper_Coop	高压油管枪
Charger_Light_Coop	14式竹筒枪·甲
Charger_Long_Coop	公升4K
Charger_Normal_Coop	斯普拉蓄力狙击枪
Charger_Quick_Coop	鱿快洁α
Maneuver_Dual_Coop	双重清洁枪
Maneuver_Gallon_Coop	开尔文525
Maneuver_Normal_Coop	斯普拉机动枪
Maneuver_Short_Coop	溅镀枪
Maneuver_Stepper_Coop	四重弹跳手枪 黑
Roller_Compact_Coop	碳纤维滚筒
Roller_Heavy_Coop	电动马达滚筒
Roller_Hunter_Coop	可变式滚筒
Roller_Normal_Coop	斯普拉滚筒
Shelter_Compact_Coop	特工配件
Shelter_Normal_Coop	遮阳防空伞
Shelter_Wide_Coop	露营防空伞
Shooter_Blaze_Coop	专业模型枪MG
Shooter_Expert_Coop	顶尖射击枪
Shooter_First_Coop	新叶射击枪
Shooter_Flash_Coop	开瓶喷泉枪
Shooter_Gravity_Coop	.52加仑
Shooter_Heavy_Coop	.96加仑
Shooter_Long_Coop	喷射清洁枪
Shooter_Normal_Coop	斯普拉射击枪
Shooter_Precision_Coop	窄域标记枪
Shooter_QuickMiddle_Coop	N-ZAP85
Shooter_Short_Coop	广域标记枪
Shooter_TripleMiddle_Coop	H3卷管枪
Shooter_TripleQuick_Coop	L3卷管枪
Slosher_Bathtub_Coop	满溢泡澡泼桶
Slosher_Diffusion_Coop	洗笔桶
Slosher_Launcher_Coop	回旋泼桶
Slosher_Strong_Coop	飞溅泼桶
Slosher_Washtub_Coop	爆炸泼桶
Spinner_Downpour_Coop	圆珠笔
Spinner_Hyper_Coop	消防栓旋转枪
Spinner_Quick_Coop	斯普拉旋转枪
Spinner_Serein_Coop	鹦鹉螺号47
Spinner_Standard_Coop	桶装旋转枪
Stringer_Normal_Coop	三发猎鱼弓
Saber_Normal_Coop	工作刮水刀
Free	-
Shooter_RivalLv1_00	-
Shooter_RivalLv2_00	-
Blaster_RivalLv1_00	-
Blaster_RivalLv2_00	-
Brush_RivalLv1_00	-
Brush_RivalLv2_00	-
Maneuver_RivalLv1_00	-
Maneuver_RivalLv2_00	-
Roller_RivalLv1_00	-
Roller_RivalLv2_00	-
Shelter_RivalLv1_00	-
Shelter_RivalLv2_00	-
Slosher_RivalLv1_00	-
Slosher_RivalLv2_00	-
Shooter_MissionLv1_00	ヒーローシューターLv1
Shooter_MissionLv2_00	ヒーローシューターLv2
Shooter_MissionLv3_00	ヒーローシューターLv3
Blaster_LightLong_Msn	快速爆破枪 精英
Blaster_LightShort_Msn	冲涂爆破枪
Blaster_Light_Msn	快速爆破枪
Blaster_Long_Msn	远距爆破枪
Blaster_Middle_Msn	火热爆破枪
Blaster_Short_Msn	新星爆破枪
Brush_Mini_Msn	巴勃罗
Brush_Normal_Msn	北斋
Charger_Keeper_Msn	高压油管枪
Charger_Light_Msn	14式竹筒枪·甲
Charger_LongScope_Msn	4K准星枪
Charger_Long_Msn	公升4K
Charger_NormalScope_Msn	斯普拉准星枪
Charger_Normal_Msn	斯普拉蓄力狙击枪
Charger_Quick_Msn	鱿快洁α
Maneuver_Dual_Msn	双重清洁枪
Maneuver_Gallon_Msn	开尔文525
Maneuver_Normal_Msn	斯普拉机动枪
Maneuver_Short_Msn	溅镀枪
Maneuver_Stepper_Msn	四重弹跳手枪 黑
Roller_Compact_Msn	碳纤维滚筒
Roller_Heavy_Msn	电动马达滚筒
Roller_Hunter_Msn	可变式滚筒
Roller_Normal_Msn	斯普拉滚筒
Saber_Normal_Msn	工作刮水刀
Shelter_Compact_Msn	特工配件
Shelter_Normal_Msn	遮阳防空伞
Shelter_Wide_Msn	露营防空伞
Shooter_Blaze_Msn	专业模型枪MG
Shooter_Expert_Msn	顶尖射击枪
Shooter_First_Msn	新叶射击枪
Shooter_Flash_Msn	开瓶喷泉枪
Shooter_Gravity_Msn	.52加仑
Shooter_Heavy_Msn	.96加仑
Shooter_Long_Msn	喷射清洁枪
Shooter_Normal_Msn	斯普拉射击枪
Shooter_Precision_Msn	窄域标记枪
Shooter_QuickMiddle_Msn	N-ZAP85
Shooter_Short_Msn	广域标记枪
Shooter_TripleMiddle_Msn	H3卷管枪
Shooter_TripleQuick_Msn	L3卷管枪
Slosher_Bathtub_Msn	满溢泡澡泼桶
Slosher_Diffusion_Msn	洗笔桶
Slosher_Launcher_Msn	回旋泼桶
Slosher_Strong_Msn	飞溅泼桶
Slosher_Washtub_Msn	爆炸泼桶
Spinner_Downpour_Msn	圆珠笔
Spinner_Hyper_Msn	消防栓旋转枪
Spinner_Quick_Msn	斯普拉旋转枪
Spinner_Serein_Msn	鹦鹉螺号47
Spinner_Standard_Msn	桶装旋转枪
Stringer_Normal_Msn	三发猎鱼弓
Stringer_Short_Coop	LACT-450Coop
CommonMsg\Weapon\WeaponName_Special.msbt
SpInkStorm	墨雨云
SpUltraShot	终极发射
SpUltraStamp	终极印章
SpGachihoko	真格鱼虎
SpGreatBarrier	巨大防护罩
SpJetpack	喷射背包
SpShockSonar	弹跳声呐
SpSuperHook	触手喷射
SpSuperLanding	超级着陆
SpSkewer	鲨鱼坐骑
SpChariot	螃蟹坦克
SpNiceBall	赞气弹
SpBlower	吸墨机
SpMultiMissile	多重导弹
SpMicroLaser	喇叭镭射5.1ch
SpTripleTornado	三重龙卷风
SpEnergyStand	能量站
SpIkuraShoot	-
SpGreatBarrier_Rival	-
SpInkStorm_Rival	-
SpJetpack_Rival	-
SpMultiMissile_Rival	-
SpShockSonar_Rival	-
SpSuperLanding_Rival	-
SpBlower_Mission	吸墨机
SpChariot_Mission	螃蟹坦克
SpInkStorm_Mission	墨雨云
SpMicroLaser_Mission	喇叭镭射5.1ch
SpMultiMissile_Mission	多重导弹
SpShockSonar_Mission	弹跳声呐
SpSkewer_Mission	鲨鱼坐骑
SpSuperHook_Mission	触手喷射
SpTripleTornado_Mission	三重龙卷风
SpUltraShot_Mission	终极发射
SpUltraStamp_Mission	终极印章
SpJetpack_Mission	喷射背包
SpUltraShot_Coop	终极发射
SpJetpack_Coop	喷射背包
SpShockSonar_Coop	弹跳声呐
SpSuperLanding_Coop	超级着陆
SpSkewer_Coop	鲨鱼坐骑
SpChariot_Coop	螃蟹坦克
SpNiceBall_Coop	赞气弹
SpMicroLaser_Coop	喇叭镭射5.1ch
SpTripleTornado_Coop	三重龙卷风
CommonMsg\Weapon\WeaponName_Sub.msbt
Bomb_Splash	斯普拉炸弹
Bomb_Suction	吸盘炸弹
Bomb_Quick	快速炸弹
Bomb_Curling	冰壶炸弹
Bomb_Robot	机器人炸弹
Trap	墨汁陷阱
Sprinkler	洒墨器
PointSensor	定点侦测器
PoisonMist	毒雾
Shield	斯普拉防护墙
Beacon	跳跃信标
Bomb_Fizzy	碳酸炸弹
Bomb_Torpedo	鱼雷
LineMarker	标线器
SalmonBuddy	小鲑鱼
Bomb_Curling_Rival	-
Bomb_Quick_Rival	-
Bomb_Robot_Rival	-
Bomb_Splash_Rival	-
Bomb_Splash_Big_Coop	-
Bomb_Splash_Coop	-
CommonMsg\Weapon\WeaponParamName.msbt
Range	射程
Blaze	连射力
Power	攻击力
CommonMsg\Weapon\WeaponTypeName.msbt
Shooter	射击枪
Roller	滚筒
Charger	蓄力狙击枪
Slosher	泼桶
Spinner	旋转枪
Maneuver	机动枪
Shelter	防空伞
Blaster	爆破枪
Brush	画笔
Stringer	猎鱼弓
Saber	刮水刀
EventFlowMsg\LobbyLocal_FirstEnter.msbt
First_00	欢迎来到{color[0100]}鱿乐天地{color[ffff]}！Nintendo Switch主机之间\n可以在这里通过{color[0100]}本地联机{color[ffff]}一同游玩！
First_01	只要和接待处的水母交谈，\n就可以选择想要游玩的模式哦！
First_02	自由决定规则和场地，\n与同伴一起享受游戏吧！
EventFlowMsg\Mission_AfterBreakKebaInkTutorial.msbt
Comment_00	哦，它把核心吃掉了！！{[0100|1e000000]}\n小小的身体里充满了力量啊——！
Comment_01	这样就能继续前进了！
EventFlowMsg\Mission_AfterClearBossStage_0.msbt
C4_S01_01	3号，辛苦你啦——！{[0100|1e000000]}\n不过爷爷好像不在呢……
C4_S01_02	总之，先把拿到的宝物放在这里吧。
C4_S01_03	{[0405]}……\x0f\x04\x05回答。{[0004]}请求回答——！
C4_S01_04	啊，是来自爷爷的无线电通话！
C4_S01_05	爷爷，你现在在哪里啊？！
C4_S01_06	你们平安无事啊！
C4_S01_07	我们才想说这话呢！真是的！
C4_S01_08	这里一片漆黑，我也不知道是哪里，\n感觉是在一个狭小的房间里……{[0004]}我会试试能不能从这里脱身的。
C4_S01_09	我们也会去找你的，你不要勉强自己哦。{[0100|1e000000]}\n如果发生什么事，就立刻联系我们吧～
C4_S01_10	爷爷没事真是太好了！{[0100|1e000000]}\n好，我们去调查下一个反应吧！
C4_S01_11	可以通过菜单直接跳跃到已经去过的茶壶，{[0100|1e000000]}\n你可以试试看哦～
EventFlowMsg\Mission_AfterClearBossStage_1.msbt
C4_S02_00	3号，干得漂亮～♪{[0004]}虽然没找到爷爷，\n但收获了宝物呢。
C4_S02_01	{[0406]}沙沙！\x0f\x04\x06{[0100|1e000000]}{[0406]} 沙——！\x0f\x04\x06{[0004]}……请求回答——！
C4_S02_02	是来自爷爷的无线电通话！喂——！
C4_S02_03	请求回答……{[0100|0f000000]}哦哦，是1号啊！{[0004]}我一直在想方设法离开这个房间，\n但还是没能找到出口！{[0004]}{[0405]}……？\x0f\x04\x05{[0004]}唔，好像有人来了！
C4_S02_04	你醒了啊，鱼干前司令。
C4_S02_05	唔！本鱿正是鱼干……{[0004]}你是什么人！报上名来！
