CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	通信エラーが発生しました
buildingSnipe00	敵の攻撃をかわしながら\nゴールを目指すミッションです
buildingSnipeA	ヒーローそうび：\n持ちこみのそうび一式です
buildingSnipeB	キャンピングシェルター：\n{[030c|0000803f00000000]}長押しでカサを開いて 敵の攻撃をガードします
buildingSnipeC	ボールドマーカー：\n射程が短く 機動力の高いシューターです
barriar00	敵のバリアに対処しながら\nゴールを目指すミッションです
barriarA	ヒーローそうび：\n持ちこみのそうび一式です
barriarB	トライストリンガー：\n{[030c|0000803f00000000]}長押しで チャージショットが使えます
barriarC	スクリュースロッシャー：\n強力なスクリュー弾を 山なりに飛ばします
dozer00	時間内に すべてのイクラを集めるミッションです
dozer01	フィールドに入るか イクラを取ったら、カウントダウン開始です
dozerA	ボールドマーカー：\nサブのカーリングボムを 上手に使うのがポイントです
dozerB	パブロ：\nコジャケを敵に当てると 動きを止めることができます
dozerC	リッター4K：\n{[030c|0000803f00000000]}長押しでチャージして撃てば、イクラを一気に取れます
kagidumeClimb00	ショクワンダーで飛び回りながら\nゴールを目指すミッションです
kagidumeClimbA	ショクワンダー : \n{[030a|0000803f00000000]}で遠くのカベに張りつくことができます
railBoxStringer00	ライドレールに乗って\nすべてのマトを壊すミッションです
railBoxStringerA	バレルスピナー：\n{[030c|0000803f00000000]}長押しでチャージして 弾をまき散らします
railBoxStringerB	ラピッドブラスター：\nまとまっているマトを 爆風で一気に壊せます
railBoxStringerC	トライストリンガー：\n{[030c|0000803f00000000]}長押しでチャージしてカベに当てると、インクが爆発します
superLanding00	スーパーチャクチを使いこなして\nゴールを目指すミッションです
superLandingA	スーパーチャクチ：\n高く飛び上がって力をため、地面にたたきつけて攻撃します
fogMaze00	霧の中を進んで ゴールを目指すミッションです
fogMazeA	.52ガロン：\n一発の攻撃力が高いシューターです
fogMazeB	パラシェルター：\n{[030c|0000803f00000000]}長押しで カサが開きます
fogMazeC	ダイナモローラー：\n広範囲を塗れる 重量級のローラーです
shortRail00	ライドレールに乗って ゴールを目指すミッションです
shortRail01	スイッチをONにすると、次のライドレールが現れます
shortRailA	ジェットスイーパー：\n射程が長いシューターです
shortRailB	トライストリンガー：\n{[030c|0000803f00000000]}長押しで チャージショットが使えます
shortRailC	14式竹筒銃・甲：\n素早くチャージできるチャージャーです
ninjaParkour00	ショクワンダーを使って\n頂上にあるゴールを目指すミッションです
ninjaParkourA	ショクワンダー : \n{[030a|0000803f00000000]}で遠くのカベに張りつくことができます
shootingLong00	射程の長いブキを使って\nゴールを目指すミッションです
shootingLongA	エクスプロッシャー：\n爆発する強力な弾を 遠くまで飛ばします
shootingLongB	クーゲルシュライバー：\n撃ち始めとその後で、射程が変わるスピナーです
shootingLongC	ダイナモローラー：\n広範囲を塗れる 重量級のローラーです
lineMarker00	ラインマーカーで さまざまなしかけにチャレンジしながら\nゴールを目指すミッションです
lineMarkerA	ボールドマーカー：\nサブのラインマーカーは、カベや地面に当たると はね返ります
fogZones00	敵を倒して 閉ざされたゴールを開くミッションです
fogZones01	ヒーローそうび：\n持ちこみのそうび一式です
fogZones02	クラッシュブラスター：\n連射に優れたブラスターです
fogZones03	ジムワイパー：\n{[030c|0000803f00000000]}長押しで 強力なタメ斬りができます
takoTower00	敵の守りを突破して\n頂上にあるゴールを目指すミッションです
takoTowerA	ヒーローそうび：\n持ちこみのそうび一式です
takoTowerB	スクイックリンα：\n素早くチャージできるチャージャーです
takoTowerC	ヴァリアブルローラー：\nヨコ振りで素早く、タテ振りで遠くまで インクを飛ばします
takoAllStars00	いろいろな種類の敵が登場するミッションです
takoAllStars01	ヒーローそうび：\n持ちこみのそうび一式です
takoAllStars02	ノヴァブラスター：\n爆風が大きく広がるブラスターです
takoAllStars03	わかばシューター：\nインク消費の少ないシューターです
inkLimitHard00	限られたインクを使って\nゴールを目指すミッションです
inkLimitHard01	インクの使いどころを見極めて進んでください
inkLimitHardA	シャープマーカー：\n精度の高いショットを撃つことができるシューターです
curlingDoNotStep00	敵のインクに ふれないように進んで\n時間内にゴールを目指すミッションです
curlingDoNotStep01	このミッションでは インクが回復しません
curlingDoNotStepA	カーリングボム：\nカベに当たると はね返ります
roller00	ローラーで敵を倒しながら\nゴールを目指すミッションです
rollerA	スプラローラー：\n基本的な性能で使いやすいローラーです
rollerB	カーボンローラー：\n軽快に動けるローラーです
escapeFromSinking00	頂上にあるゴールを目指すミッションです
escapeFromSinkingA	ボールドマーカー：\n射程が短く 機動力の高いシューターです
escapeFromSinkingB	カーボンローラー：\nタテ振り、ヨコ振りの使い分けが大切です
escapeFromSinkingC	スプラスピナー：\nチャージするタイミングが大切です
fireWorks00	動く足場に気をつけながら\n頂上にあるゴールを目指すミッションです
fireWorksA	トライストリンガー：\n{[030c|0000803f00000000]}長押しで チャージショットが使えます
fireWorksB	N-ZAP85：\n連射に優れたシューターです
fireWorksC	スクリュースロッシャー：\n強力なスクリュー弾を 山なりに飛ばします
race00	時間内にゴールを目指すミッションです
race01	チェックポイントを通過すると、残り時間が追加されます
raceA	プロモデラーMG：\n塗り性能の高いシューターです
jetPack00	ジェットパックを使って\nゴールを目指すミッションです
jetPack01	のびたピロピロは 一定時間で元にもどります\nご注意ください
jetPackA	ジェットパック：\n{[030c|0000803f00000000]}でショット、{[030b|0000803f00000000]}でセンプクです
chase00	カギを持った敵を追いかけて\nゴールを目指すミッションです
chaseA	スプラシューター：\nサブのトラップを 上手に使うのがポイントです
chaseB	スプラスコープ：\n{[030c|0000803f00000000]}長押しでチャージしている間 遠くまでよく見えます
chaseC	オーバーフロッシャー：\nバウンドする４発の弾を発射します
stamp00	時間内に すべての敵を倒すミッションです
stamp01	効率よく倒せる順番を考えましょう
stamp02	最初の１体を倒したら、カウントダウン開始です
stampA	ウルトラハンコ：\n{[030c|0000803f00000000]}でたたき、{[030a|0000803f00000000]}でハンコを投げます
stampB	なし：\nステージ内のスペシャルカンヅメをご利用ください
MorayKingA	この先は 関係者以外立ち入り禁止です
SharkKingA	この先は 関係者以外立ち入り禁止です
MantaKingA	この先は 関係者以外立ち入り禁止です
SurmonBudyRA	この先は キケン物持ちこみ禁止です
Ex00	{[0405]}… … …\x0f\x04\x05
ExA	{[0405]}… …\x0f\x04\x05
CommonMsg\Mission\TalkWorldAori.msbt
Area1_0	ここの人たちって みんな面長だったんだねー
Area1_1	雪に見えるけど冷たくない！ インクも塗れるし、不思議ー！
Area1_3	ここでコンサートしたら お客さん何人くらい入るかな？
Area1_4	司令は ヒマそーに見えて、\n実は すごい作戦とか考えてるんだと思う！
Area1_7	この景色見てると、スノボに行きたくなるなー
Area2_1	ここは工場だったらしいよ！ ホタ…２号が言ってた！
Area2_2	ここでバトルするなら、どう攻めようかなー
Area2_4	上に行くなら {color[0100]}インクレール{color[ffff]}が使えそうだね！
Area2_5	こんなデカい工場があれば なんでも作れちゃうかもー！
Area3_0	ツルツルのとこ、氷っぽいのに さわっても とけないよ！
Area3_1	なんとなく さみしい感じのする場所だね
Area3_2	オレンジ色の建物は 家なんだって！\nだれも居ない…よね？
Area4_0	クンクン… なんかココ… ちょっとニオう？
Area4_1	せんすいかんに乗って、海底で宝探しゲームとかしたいなー！
Area4_2	３号 ３号！ せんすいかんの免許持ってない？
Area4_3	カナアミの上を歩く時って、ちょっとドキドキしない？
Area5_0	この場所、ちょこちょこ {color[0100]}カンケツセン{color[ffff]}があるみたいだね！
Area5_1	ここでは 植物とか育ててたんだって！ ソースは２号！
Area5_2	インクを作物にかけると めっちゃ育つらしいよ！\n何年か前に ネットで見た！
Area6_0	２号は 「ビルの屋上 テンション上がる」って言うけど、\n下を見ると こわくない？
Area6_1	「ここは研究シセツだったみたいやね」\n…どう？ ２号っぽかった？
Area6_2	{color[0100]}ライドレール{color[ffff]}に乗れば わたっていけそうだね！
Area6_3	意外って言われるけど、アタシ 高すぎるのは苦手なんだ… 
Progress_ortana_00	今日も元気にしゅっぱーーつ！
Progress_ortana_01	２号って、数字いっぱい見ても 頭痛くならないんだって！
Progress_ortana_02	最近ソロ活動が多かったから、チームでいられるの うれしいな！
Progress_ortana_03	コジャケちゃんと３号って、どこで出会ったの？
Progress_ortana_04	たくさん塗ったりすると出る {[0320|0000803f00000000]}のゲージをためると\n{color[0100]}強化ポイント{color[ffff]}ゲットだよ！
Progress_ortana_05	行ったことあるヤカンには、マップからジャーンプ！
Progress_ortana_06	ヒーローそうびは どんどんパワーアップしてこー！
Progress_ortana_07_00	見て見て ３号！ キレイな空ー！
Progress_ortana_07_01	…でも、本物じゃないんだよね？
Progress_surimi_00	すりみ連合、かっこよかったねー！\nアタシたちも もっと決めポーズの練習しなきゃ！
Progress_surimi_03	アタシのこと知ってるタコさん、ここには居ないのかな…？
Progress_surimi_04	ケバインクの{color[0100]}コアを消す{color[ffff]}ことでも {[0320|0000803f00000000]}のゲージがたまるっぽい！
Progress_surimi_05	イクラ足りなくなったら、次のヤカンに行くといいかも！
Progress_surimi_06	{color[0100]}銀のヤカン{color[ffff]}は、チャレンジにイクラが必要みたいだよ\n入る前にイクラ確認しとこ！
Progress_surimi_07	{color[0100]}金のヤカン{color[ffff]}は、ヒーローそうびで チャレンジできるみたい\nそうび強化してくのも手だね！
Progress_surimi_08	イルカさんは、どっちかっていうと ツッコミっぽいよねー
Progress_boss1_00	ゴーゴー オルタナ探検隊♪ 隊長は？ ３号だ！！
Progress_boss1_01	３号は シオカラーズって知ってる？
Progress_boss1_02	タテ持ちは、注意そらして背中撃つ！\n…っていうけど、アタシは ゴリ押し派！
Progress_boss1_03	オタカラで 何か楽しいことできないかなー… うーむ…
Progress_boss2_00	オルタナの調査、進んだね！ マップも うまってきたー！
Progress_boss2_01	ねー ３号、\nNew!カラストンビ部隊に入ってくれて ありがとね！
Progress_boss3_00	３号、準備できたら じーちゃんを助けに行こう！
Progress_clear_00	じーちゃん、お湯かけたら もどせないかな？
Progress_clear_01	３号も おやつ食べてく？
Progress_clear_02	ロケットの運転したいって言ったら ２号におこられた…
Progress_clear_03	宇宙で戦ってる３号、かっこよかったー！ コジャケちゃんも！
Progress_clear_04	いつの間にか 新しいロケットが出来てたよ！ びっくり！
Bored_00	ってコレ、さっきも言ったっけ？！
Bored_01	あれー？ 他にも話したいコトあったのに、忘れちゃった！
Bored_02	あ！ 今の話、もう３号には したことあったかも…
Bored_03	…あれっ？ さっきも同じ話、した？
Gift_00	さっき拾った{color[0100]}イクラ{color[ffff]}、３号にあげる！\nコジャケちゃんと使ってね！
Gift_01	ポケットから {color[0100]}イクラ{color[ffff]}出てきたー！\nちょっとは ３号の役に立つかな？
Gift_02	この{color[0100]}イクラ{color[ffff]}、司令から！\n「少ないが 足しにしてくれ」だって！
LaunchPad_00	２号のカリスマ爆発で 仲間も増えたし、\n絶対じーちゃんを助け出せるよね！
CommonMsg\Mission\TalkWorldAtarime.msbt
Normal_00	タコワサ軍団から オオデンチナマズを取り返すぞィ！
Normal_01	そのスーツ、フィット感はアレじゃが よく似合っとるぞ！
Normal_02	タコワサ軍団…許すまじッ！
Normal_03	オオデンチナマズがぬすまれるのは もう何度目かのゥ…
Normal_04	相棒がおるっちゅーのは 心強いよのゥ
Normal_05	ケバインクはキケンじゃ… さわってはイカんぞ！
Normal_06	３号の好物は何じゃ？ ワシはオハギが好きじゃ
Normal_07	基地の入口は、インクで撃てば こじ開けられるぞィ！
Normal_08	コジャケを投げる時は {[030a|0000803f00000000]}長押しで よ～くねらうんじゃ！
Normal_09	アーマーは時間がたつと自動で回復するぞィ
Normal_10	まっすぐ見たいときは 手を楽にして{[0303|0000803f00000000]}じゃ
Normal_11	カナアミは{[030b|0000803f00000000]}を押しとけば ぬけられるぞィ！
Normal_12	インクをしっかり塗ることが 勝利への近道じゃぞ
Normal_14	カベの後ろで深呼吸！ 戦場の鉄則じゃ！
Normal_15	撃って撃って撃ちまくれ！ 戦場の鉄則ーーーッ！
Location_00	戦いの前に 腹ごしらえしていくか？
Location_01	あの塔が逆立ちしとる理由はな… よぅわからんのじゃ
Location_02	よい戦いっぷりじゃ！ ワシの目に くるいは無かったわィ！
Location_03	１号と２号は いつも副業で飛び回っておるんじゃ
Location_04	３号よ、ワシはココから見守っておるぞィ！
Location_05	高いのゥ…
Bored_00	{[0405]}{color[0000]}（アイタタ… こしが痛むわィ）{color[ffff]}\x0f\x04\x05
Bored_01	{[0405]}{color[0000]}（オハギ食べたいのゥ…）{color[ffff]}\x0f\x04\x05
Bored_02	{[0405]}{color[0000]}（昨日の昼メシ、ウマかったのゥ… 何を食べたんじゃったか）{color[ffff]}\x0f\x04\x05
Bored_03	{[0405]}{color[0000]}（バンカラ地方は 天日干しするには ちと暑いのゥ…）{color[ffff]}\x0f\x04\x05
Bored_04	さあ行けィ！ タコどもを こらしめてやるんじゃー！
Bored_05	どうした３号、ワシに聞きたいことでもあるんか？
Bored_06	{[0405]}……………\x0f\x04\x05おぉ、寝とったわィ！
CommonMsg\Mission\TalkWorldCommander.msbt
Progress_01	「未知の場所は 気をつけて進むんだ」\nと、司令は言っとるよ
Progress_04	「今回の件も タコワサ将軍のしわざなのだろうか…」\nと、司令は言っとるよ
Progress_07	司令が無口なのは シャイなだけやし、気にせんといて
Progress_08	司令は{[0405]}………\x0f\x04\x05 なんも言っとらんよ
Progress_10	「すりみ連合… 一体何が目的なんだ」\nと、司令は言っとるよ
Progress_13	「New!カラストンビ部隊も にぎやかになった」\nと、司令は言っとるよ
Progress_16	「イメチェンしても しょせんタコに毛が生えた程度だ」\nと、司令は言っとるよ
Progress_19	「オタカラか… 何かに使えるかもしれない」\nと、司令は言っとるよ
Progress_22	「アタリメ元司令… 無事でいてくれ」\nと、司令は言っとるよ
Progress_25	「２号サンのために カフェオレを入れよう」\nと、司令は言っとるよ …ウソだけど
Progress_28	「迷ったときは思い切って つっこむのもアリだ」\nと、司令は言っとるけど… ムチャせんようにね
Progress_31	「敗北と共に成長がある、あきらめずにチャレンジしよう」\nと、司令は言っとるよ
Progress_34	「このぼうしは アタリメ元司令から受けついだ物だ」\nと、司令は言っとるよ
Progress_37	「あのロケット… イヤな予感がする」\nと、司令は言っとるよ
Progress_40	「戦いに備えて そうびは万全にしておこう」\nと、司令は言っとるよ
Progress_43	司令…… 寝とる？
Progress_45	「マップを見れば 新たな発見があるかもしれない」\nと、司令は言っとるよ …無いかもしれんけど
Progress_48	あ、司令 何かしゃべった？\n気づかんかった、メンゴね～
Progress_50	「究極の戦場の鉄則、それは… 戦わずして勝つ！」\nと、司令は言っとるよ
Progress_53	ついに３号も司令の声、聞こえるようになった？
Progress_54	「準備ができたら {color[0100]}オタカラ{color[ffff]}のところへ行くんだ」\nと、司令は言っとるよ
Bored_01	「カベの後ろで深呼吸… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_03	「初めて見る敵は 出方をうかがう… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_07	「戦うなら広いトコ… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_09	「{[0308|cdcc4c3f00000000]}かたむけ 左右を見回す… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_11	「カベにもぐって{[0301|0000803f00000000]}長押しで イカノボリ… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_13	「撃って撃って撃ちまくれ… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_15	「カユいところにはサブウェポン… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_17	「見えないトコの ボム注意… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_19	「押してダメなら退いてみよ… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_21	「安全なトコから ねらいを付ける… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_23	「登る先 指さし確認して登る… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_25	「退路は常に意識する… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_27	「右見て 左見て もっかい右見る… 戦場の鉄則！」\nと、司令は言っとるよ
Bored_29	「いざとなったら スーパーチャクチ… 戦場の鉄則！」\nと、司令は言っとるよ
LaunchPad_00	「案外たよれる仲間になるかも… イテテ」\nって、{[0100|0f000000]}とりま司令は休んどいて
CommonMsg\Mission\TalkWorldHotaru.msbt
Normal_00	なやみゴトとかある？ テキト～で良かったら聞くよ
Normal_01	いろんなデータ取ってみたけど、地上と全然ちがうじゃん…
Normal_02	３号のスーツは 司令のお下がりなんよ
Normal_03	カベに空の映像か～ オクタリアンの基地と似とるね
Normal_04	カサ 無意識にクルクルしちゃうんよね～
Normal_05	そこら中に書いてある文字… 読めそうで読めないんよね
Normal_08	３号は 休みの日とか何してんの？
Normal_09	そうび強化するなら まず{color[0100]}イリコニウム{color[ffff]}でロック解除ね
Normal_12	ヒーロースーツが壊れたら、センプクで素早く復活！ ね
Progress_00	がんばれ３号、ウチらはココで基地を守ってるかんね
Progress_01	クレーターに居た時って、おじいちゃん元気そうやった？
Progress_02	すりみ連合が とうぞくやってるとか マジか…
Progress_03	キツいって感じたら、ヒーローそうび強化するのがオススメ～
Progress_04	３号… おじいちゃんのコト、お願いね
Progress_05	オタカラ うばわれんように司令と見張っとくわ
Progress_06	パイプラインは とちゅうで引き返せないみたいやね
Progress_07	なんかオタカラが ケバインクに反応しとるような…
Progress_08	３号と似たような目のコを 知っとるんよね～
Progress_09	３号、１号がやらかさないか たまに見といてね
Progress_10	おつ～、３号のがんばりで 調査のほうは順調やね
Progress_11	すりみ連合、とうぞくとアイドル両立とか いそがしそ～
Progress_12	司令も 昔おじいちゃんにスカウトされたんよ
Progress_13	オルタナにも野菜とかあるんやね {color[0000]}{[0405]}（トマトは無くていいぞ…）\x0f\x04\x05{color[ffff]}
Progress_14	おじいちゃん、干からびてから 余計元気になってんだけど…
Progress_15	３号も 相棒は大切にするんよ
Progress_16	クマサン商会、今もフツ～に営業してるけど\nだれが引きついだんやろ…？
Progress_17	あれから すりみ連合が 「アネゴアネゴ」うるさいんよ…
Progress_18	ロケットに向かう準備できたら {color[0100]}オタカラ{color[ffff]}のとこに行ってね
Progress_19	ケバインクのコアは、コジャケくんに じゃんじゃん食べてもらお～
Progress_21	調査の進め方は ３号が決めていいかんね
Bored_00	{[0405]}{color[0000]}（カフェオレ飲もっかな～…）{color[ffff]}\x0f\x04\x05
Bored_01	{[0405]}{color[0000]}（地下なのに日差しが強いとは これイカに…）{color[ffff]}\x0f\x04\x05
Bored_02	{[0405]}{color[0000]}（…アタシも座っちゃおっかな～）{color[ffff]}\x0f\x04\x05
Bored_03	{[0405]}{color[0000]}（…あ、ラジオで話すネタ 思いついた）{color[ffff]}\x0f\x04\x05
Bored_04	{[0405]}{color[0000]}（３号ってボケなんかな？ ツッコミ？ それとも…）{color[ffff]}\x0f\x04\x05
Bored_05	{[0405]}{color[0000]}（ココ寒くないんよね～… あったかい服おろしたのに）{color[ffff]}\x0f\x04\x05
Bored_06	{[0405]}{color[0000]}（うぅ、この間の悪さ… アオリちゃん助けて…）{color[ffff]}\x0f\x04\x05
Bored_07	{[0405]}{color[0000]}（フリートークは アオリちゃんの担当っしょ…）{color[ffff]}\x0f\x04\x05
Bored_08	{[0405]}{color[0000]}（…チラッ）{color[ffff]}\x0f\x04\x05
Bored_09a	{[0405]}{color[0000]}（これ以上話すことは無いぞ、３号）{color[ffff]}\x0f\x04\x05
Bored_09b	{[0405]}{color[0000]}（…って、司令から言ってくれんかな～）{color[ffff]}\x0f\x04\x05
Bored_10	{[0405]}{color[0000]}（…あっ、しばらく休むって事務所に言ったっけ？！）{color[ffff]}\x0f\x04\x05
LaunchPad_00	どっかから すりみ連合の視線が…{[0100|1e000000]}\nま～いいや、おじいちゃん助けに行くよ！
RewardsExploration_00	３号のおかげで オルタナの調査めっちゃ進んだわ～ サンキュ～♪{[0100|1e000000]}\n１号とアタシで{color[0100]}地図{color[ffff]}作ったから あげるね～
CommonMsg\Plaza\PlazaOekaki.msbt
Msg_FirstExplain	手書きイラストを、インターネットに投稿することができます。\nイラストは、他のユーザーに公開されることがあるので\n人のいやがることを書いたり、自分や他人の個人情報を\n書かないようにしましょう。\n手書きイラストは、バンカラ街の\nカンバンや ラクガキとして表示されます。
BtnC_FirstExplain	OK
Msg_CannotPost	インターネット接続していないか、 保護者による使用制限の\n「ほかの人との自由なコミュニケーション」が\n制限されているため 投稿することができません
BtnC_CannotPost	OK
CommonMsg\Plaza\PlazaVendor.msbt
Offline	ウッス{[0004]}ん？ アンタ、オフラインってやつだろ\n{color[0100]}インターネット{color[ffff]}に つないでから また来いよナ
CommonMsg\SystemWindow\SystemMsg_Lobby.msbt
Msg_ConnectOnline	インターネットに接続しています…
Msg_NetworkReady_Local	ローカル通信の準備をしています…
Msg_Match_Fix	バトルを開始します！
Msg_Match_Fix_CoopLocal	ゲームを開始します！
Msg_QuitConfirm	部屋から抜けますか？
BtnL_QuitConfirm	やめとく
BtnR_QuitConfirm	抜ける
Msg_DeactivateConfirm	部屋を解散しますか？\n（参加中のプレイヤー全員が部屋から抜けます）
BtnL_DeactivateConfirm	やめとく
BtnR_DeactivateConfirm	解散する
Msg_MemberShortage	必要な人数が そろっていません\n人数がそろうまで お待ちください
Msg_Processing_MakeRoom	部屋を作っています…
Msg_Processing_Join	合流しています…
Msg_NotFoundScenario	保存されているシナリオがありません\nシナリオは、クマサン商会にある クマサン端末から保存できます
Msg_MemberFixing	メンバーの募集を しめ切っています…
CommonMsg\SystemWindow\SystemMsg_MainMenu.msbt
Msg_PlayerMakeConfirm	プレイヤーとコジャケのスタイルを変更しますか？\n（おカネ、ブキ、ギアなどのデータは受け継がれます）
BtnL_PlayerMakeConfirm	やめとく
BtnR_PlayerMakeConfirm	変更する
CommonMsg\Talk\TalkCoop.msbt
Coop_InGame_AppearTarget	{color[0100]}オオモノシャケ{color[ffff]}が 現れたようだね\nあわてることはないよ… だが、急いで見つけるんだ
Coop_InGame_AppearBank	イクラコンテナを セットしておくからね…\nキミたちのがんばりに 期待しているよ
Coop_InGame_DisappearBank	イクラコンテナは こちらで回収しておくよ\nいい調子だ… 次もがんばってくれたまえ
Coop_InGame_DisappearBank_Final	おつかれさま、今回はこれで おしまいだよ\nふむ… じゃあヘリに乗って もどってきてくれたまえ
Coop_InGame_EvtRally_Start	{color[0100]}ハコビヤ{color[ffff]}が出てきたね…\nあせる必要はないよ、全員で向かうんだ
Coop_InGame_EvtRally_Start_WaterLow	{color[0100]}干上がった土地{color[ffff]}のほうに {color[0100]}ハコビヤ{color[ffff]}が出てきたね…\nあせる必要はないよ、全員で向かうんだ
Coop_InGame_EvtRally_Prepare	どうやら {color[0100]}ハコビヤ{color[ffff]}が\nイクラコンテナのほうを 見ているようだ…
Coop_InGame_EvtRally_Attack	{color[0100]}イクラコンテナ{color[ffff]}が 危ない！\n急いで コンテナへ集まりなさい
Coop_InGame_EvtDozer_First	{color[0100]}グリル{color[ffff]}が出てきた… 背中の弱点を ねらうんだ\n大事なものは見えないところにある… かれらが そうであるように
Coop_InGame_EvtDozer_Increment	ふむ、グリルが ２体に増えたね…\nかれらもまた ひとりぼっちは さみしいのだろうか
Coop_InGame_EvtFog_Start	{color[0100]}霧{color[ffff]}だ… 困ったね\nだが、絶望の中にこそ 希望の光が見えたりするものだ
Coop_InGame_EvtFog_Start_WaterLow	{color[0100]}干上がった土地{color[ffff]}のほうに {color[0100]}シャケの大群{color[ffff]}が 集まってきた\nだが、 この{color[0100]}霧{color[ffff]}だ… 十分気をつけなさい
Coop_InGame_EvtGeyser_Start	{color[0100]}カンケツセン{color[ffff]}だ… 近くに {color[0100]}キンシャケ{color[ffff]}が かくれているね\n待っていても始まらない、みんなで探すんだ
Coop_InGame_EvtGeyser_Appear	{color[0100]}キンシャケ{color[ffff]}が 出たようだ\nあわてず急いで… チャンスの時こそ 気を引きしめなさい
Coop_InGame_EvtGeyser_Reset	ふむ… どこかに {color[0100]}キンシャケ{color[ffff]}が かくれているようだ
Coop_InGame_EvtMissile_Start	{color[0100]}干上がった土地{color[ffff]}のほうに {color[0100]}ドスコイの大群{color[ffff]}がやってきた\n設置してあるキャノンを うまく使ってくれたまえ
Coop_InGame_EvtRush_Start	{color[0100]}ヒカリバエ{color[ffff]}だ… シャケたちが さわがしくなったね\n体が光ったら とにかく気をつけなさい
Coop_InGame_EvtNone_Start_WaterLow	{color[0100]}干上がった土地{color[ffff]}のほうに {color[0100]}シャケの大群{color[ffff]}がやってきた\nこれは全員で 向かってくれたまえ
CommonMsg\Talk\TalkShop.msbt
Weapon_Offline_00	いらっしゃいやし～！{[0004]}…ってキミ、オフラインじゃないでしか！\n{color[0100]}インターネット{color[ffff]}に つなげてから来るでし！
Head_Offline_00	っしゃいあせー{[0004]}あ、 お客さんオフラインすね\n{color[0100]}インターネット{color[ffff]}につないでから 来店お願いしぁす
Clothes_Offline_00	ヨクキテクレタヨネ{[0004]}… アナタ オフライン ッポイ ハヨイエカエレ\n{color[0100]}インターネット {color[ffff]}ツナグデショ？ マタクルデショ？
Shoes_Offline_00	いらっしゃ…{[0100|05000000]} …{[0100|05000000]} アレレ？{[0004]}あっ、 キミは オフラインってやつだね\n{color[0100]}インターネット{color[ffff]}につないでから また来てねー☆
Goods_Offline_00	いらっせーませー{[0004]}…ってオフラインだ\n{color[0100]}インターネット{color[ffff]}つないでからまたどうぞー
CommonMsg\UniformName\UniformNameGearName_Head.msbt
FST000	{[0506]}
CAP000	{[0506]}
CAP002	{[0506]}
CAP003	{[0506]}
CAP005	{[0506]}
CAP012	{[0506]}
CAP020	{[0506]}
CAP021	{[0506]}
CAP028	{[0506]}
CAP036	{[0506]}
NCP008	{[0506]}
EYE001	{[0506]}
EYE003	{[0506]}
EYE008	{[0506]}
EYE009	{[0506]}
EYE011	{[0506]}
EYE012	{[0506]}
EYE016	{[0506]}
EYE021	{[0506]}
EYE025	{[0506]}
EYE026	{[0506]}
EYE027	{[0506]}
HAT004	{[0506]}
HAT008	{[0506]}
HAT015	{[0506]}
HAT016	{[0506]}
HAT017	{[0506]}
HDP001	{[0506]}
HDP004	{[0506]}
HDP007	{[0506]}
HDP008	{[0506]}
VIS001	{[0506]}
VIS003	{[0506]}
VIS004	{[0506]}
MET007	{[0506]}
MET012	{[0506]}
MET013	{[0506]}
MET014	{[0506]}
MSK005	{[0506]}
MSK008	{[0506]}
MSK011	{[0506]}
MSK014	{[0506]}
MSK016	{[0506]}
HBD003	{[0506]}
HBD007	{[0506]}
HBD009	{[0506]}
MSN109	{[0506]}
MSN306	{[0506]}
CommonMsg\UniformName\UniformNameGearName_Shoes.msbt
SLO000	{[0506]}
SLO008	{[0506]}
SLO009	{[0506]}
SLO021	{[0506]}
SLO022	{[0506]}
SLO024	{[0506]}
SHI000	{[0506]}
SHI001	{[0506]}
SHI004	{[0506]}
SHI005	{[0506]}
SHI016	{[0506]}
SHI017	{[0506]}
SHI018	{[0506]}
SHI042	{[0506]}
SHI043	{[0506]}
SHI045	{[0506]}
SHT001	{[0506]}
SHT004	{[0506]}
SHT013	{[0506]}
SHT020	{[0506]}
SHT022	{[0506]}
SHT023	{[0506]}
SHT024	{[0506]}
SHT025	{[0506]}
SDL000	{[0506]}
SDL001	{[0506]}
SDL003	{[0506]}
SDL004	{[0506]}
SDL005	{[0506]}
SDL007	{[0506]}
SDL008	{[0506]}
SDL011	{[0506]}
SDL012	{[0506]}
SDL013	{[0506]}
SDL017	{[0506]}
SDL018	{[0506]}
TRS000	{[0506]}
TRS001	{[0506]}
BOT000	{[0506]}
BOT001	{[0506]}
BOT006	{[0506]}
BOT007	{[0506]}
BOT012	{[0506]}
BOT021	{[0506]}
SLP002	{[0506]}
LTS010	{[0506]}
LTS013	{[0506]}
LTS014	{[0506]}
MSN306	{[0506]}
CommonMsg\UniformName\UniformNameWeaponName_Main.msbt
Shooter_Short_00	{[0506]}
