CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	發生通訊錯誤。
Coop_Tutorial_Rescue_00	一旦遭到鮭魚擊倒或是掉入海裡就會陷入{color[0100]}泳圈槽狀態{color[ffff]}……\n這是一個不妙的狀態。
Coop_Tutorial_Rescue_01	不過只要讓同伴向你噴灑墨汁，\n你就能夠恢復成原本的狀態……
Coop_Tutorial_Rescue_02	今天我就特例幫你噴灑吧……
Coop_Tutorial_Targets_00	實習 2\n打工基礎指南 第二課
Coop_Tutorial_Targets_01	即便同樣是巨大鮭魚，也不能一概而論，\n目前有{color[0100]}11種巨大鮭魚{color[ffff]}存在……
Coop_Tutorial_Targets_02	挑個你想了解的對手來學習對抗的方法吧，\n我會幫你把巨大鮭魚召喚過來的。
Coop_Tutorial_Targets_03	你想要挑選下一個對手嗎？
Coop_Tutorial_Enemy_PickIkura	那可以請你幫我取得金鮭魚卵嗎？
Coop_Tutorial_Enemy_BankIkura	很好，把金鮭魚卵搬運到鮭魚卵容器吧！
Coop_Tutorial_DeadSkip_00	嗯……看來你陷入了苦戰呢，\n先暫時拋下這隻鮭魚別管吧……
Coop_Tutorial_Bomber_00	- 巨大鮭魚 {color[0100]}炸彈魚{color[ffff]} -
Coop_Tutorial_Bomber_01	炸彈魚是種會投擲巨大{color[0100]}炸彈{color[ffff]}的鮭魚，\n牠的身體很堅硬，能夠抵禦墨汁……
Coop_Tutorial_Bomber_02	攻擊牠{color[0100]}頭上膨脹的炸彈{color[ffff]}\n就能引爆並擊倒牠了……
Coop_Tutorial_Cup_00	- 巨大鮭魚 {color[0100]}墊肩飛魚{color[ffff]} -
Coop_Tutorial_Cup_01	墊肩飛魚會在空中飛舞並同時發射{color[0100]}多重導彈{color[ffff]}，\n是種非常難纏的鮭魚。
Coop_Tutorial_Cup_02	朝著2個發射口{color[0100]}投進炸彈{color[ffff]}即可從內部摧毀並擊倒牠……\n最好先把這點記下來。
Coop_Tutorial_Snake_00	- 巨大鮭魚 {color[0100]}蛇魚{color[ffff]} -
Coop_Tutorial_Snake_01	蛇魚會操控如同蛇一樣的機器，\n一旦碰到機器就會受到傷害……
Coop_Tutorial_Snake_02	身為操控員的鮭魚就坐在最後面，\n所以必須想辦法繞過去擊倒牠……
Coop_Tutorial_Tower_00	- 巨大鮭魚 {color[0100]}高塔魚{color[ffff]} -
Coop_Tutorial_Tower_01	高塔魚是種像塔一樣高的鮭魚……\n牠會從海岸處噴射高壓墨汁展開攻擊……
Coop_Tutorial_Tower_02	攻擊可以打掉堆疊的{color[0100]}鍋子{color[ffff]}……\n只要打掉所有的鍋子就能擊倒牠了。
Coop_Tutorial_Diver_00	- 巨大鮭魚 {color[0100]}鼴鼠魚{color[ffff]} -
Coop_Tutorial_Diver_01	鼴鼠魚是種會潛入墨汁展開追擊的鮭魚，\n會窮追不捨，然後從腳下突然竄出……
Coop_Tutorial_Diver_02	在牠竄出來的地方放置炸彈，\n{color[0100]}讓牠捕食炸彈{color[ffff]}就能擊倒牠了。
Coop_Tutorial_Shield_00	- 巨大鮭魚 {color[0100]}鐵板魚{color[ffff]} -
Coop_Tutorial_Shield_01	鐵板魚是種會舉著巨大{color[0100]}鐵板{color[ffff]}前進的鮭魚，\n從正面攻擊只會遭到防禦……
Coop_Tutorial_Shield_02	持續攻擊就能使牠失去平衡且無法動彈，\n可以趁這個機會攻擊背部……
Coop_Tutorial_Rocket_00	- 巨大鮭魚 {color[0100]}蝙蝠魚{color[ffff]} -
Coop_Tutorial_Rocket_01	蝙蝠魚是種會發射火箭製造雨雲的鮭魚，\n在牠撐著傘的時候攻擊是起不了作用的。
Coop_Tutorial_Rocket_02	趁牠的身體離開傘的時候攻擊吧……\n如果攻擊火箭的話，還可以將火箭{color[0100]}打回去{color[ffff]}。
Coop_Tutorial_Pillar_00	- 巨大鮭魚 {color[0100]}柱魚{color[ffff]} -
Coop_Tutorial_Pillar_01	柱魚是種會插進{color[0100]}柱子{color[ffff]}\n並一邊旋轉一邊噴灑墨汁的鮭魚……
Coop_Tutorial_Pillar_02	必須將爬到柱子上旋轉的鮭魚全數擊倒……\n擊倒後{color[0100]}柱子仍會留在原地{color[ffff]}，可以好好地活用。
Coop_Tutorial_Dolphin_00	- 巨大鮭魚 {color[0100]}潛水魚{color[ffff]} -
Coop_Tutorial_Dolphin_01	潛水魚是種會投擲墨汁圓環並{color[0100]}潛入{color[ffff]}其中的鮭魚，\n如果待在圓環裡可是會陣亡的喔……
Coop_Tutorial_Dolphin_02	可以在牠潛入之前搶先用墨汁塗滿圓環內側……\n只要讓牠潛入失敗就能創造出擊倒牠的機會。
Coop_Tutorial_Saucer_00	- 巨大鮭魚 {color[0100]}鍋蓋魚{color[ffff]} -
Coop_Tutorial_Saucer_01	鍋蓋魚是種會搭乘展開了{color[0100]}防護罩{color[ffff]}的機器在空中漂浮的鮭魚，\n如果待在牠下面可是會被壓扁的喔……
Coop_Tutorial_Saucer_02	得在被壓扁之前趕快拉開距離，\n可以在牠壓下來之後爬上去擊倒牠……
Coop_Tutorial_Artillery_00	- 巨大鮭魚 {color[0100]}鐵球魚{color[ffff]} -
Coop_Tutorial_Artillery_01	是會在海邊設置{color[0100]}發射台{color[ffff]}，使用從海裡運來的炮彈展開炮擊的鮭魚。\n炮彈落地後會產生衝擊波，記得靠{color[0100]}跳躍{color[ffff]}閃躲喔！
Coop_Tutorial_Artillery_02	在取得金鮭魚卵的狀態下靠近{color[0100]}發射台{color[ffff]}並按下{[0300|0000803f00000000]}試試看吧！\n可以直接將金鮭魚卵發射到鮭魚卵容器附近喔！
Coop_Tutorial_WaveClear_01	辛苦了。\n那這次的實習就到此結束囉……
Coop_Tutorial_WaveClear_Nobody	咦？你沒有想要了解的對手嗎？\n嗯……那這次的實習就到此結束吧。
Coop_Result_C1_Success_00	嘿，辛苦了。\n這次收集到了{[0200|00010000]}顆金鮭魚卵……不錯，做得很好。
Coop_Result_C1_Success_Boss_00	真是厲害……居然成功地擊倒了頭目鮭魚。\n也許已經沒有任何事物能嚇得倒{color[0100]}相信著大海的你們{color[ffff]}了……
Coop_Result_C1_Success_Many_00	什麼？居然收集到了這麼多的金鮭魚卵……\n這可以說是你們{color[0100]}被大海所寵愛{color[ffff]}的證明吧。
Coop_Result_C1_Success_Master_00	我可以感受到你們{color[0100]}對大海深深的愛{color[ffff]}……\n往後也要以{color[0100]}打工達人{color[ffff]}的身分繼續精進喔！
Coop_Result_C1_Success_Legend_00	看來你對大海的愛已經多到連自己都{color[0100]}化為大海{color[ffff]}了……\n以{color[0100]}傳說打工仔{color[ffff]}的身分成為大家的榜樣吧！
Coop_Result_C1_Success_Legend_Boss_00	沒想到……居然成功地戰勝了頭目鮭魚。\n也許{color[0100]}真正可畏{color[ffff]}的並不是大海，而是你們才對……
Coop_Result_C1_Success_Legend_Many_00	真是壯觀的成果……我已經目瞪口呆了。\n想必你們會成為{color[0100]}海上的傳說{color[ffff]}，永遠受到世人傳頌吧……
Coop_Result_C1_Success_DifficultyMax_00	……沒想到居然成功地通過了{color[0100]}危險度333%{color[ffff]}的打工，\n難道你們打算成為連同大海都能掌握的{color[0100]}無盡宇宙{color[ffff]}嗎？
Coop_Result_C1_Failure_AllDead_00	看來你們好像全軍覆沒了……\n但沒關係，不用擔心，因為已經收集到{[0200|00010000]}顆金鮭魚卵了。
Coop_Result_C1_Failure_TimeUp_00	時間到了……是說，真虧你有辦法撐下來。\n你收集到了{[0200|00010000]}顆金鮭魚卵，已經足夠了。
Coop_Result_C1_Failure_Boss_AllDead_00	很遺憾讓各位留下了可怕的回憶……\n我很感謝你們鼓起勇氣挺身而戰喔！
Coop_Result_C1_Failure_Boss_TimeUp_00	沒想到居然會有頭目鮭魚出現……\n我很感謝你們堅持奮戰到最後一刻喔！
Coop_Result_C1_Failure_GoldenIkura0_00	嗯……現在派你去作業現場可能還是太早了……\n在下一次開始之前，你先去讀一下打工守則吧。
Coop_Result_C2_Success_00	說真的……你們的工作成果實在是非常出色。\n我很期待你們接下來的活躍表現喔！
Coop_Result_C2_Success_RareWeapon_00	你有發現武器跟平時不一樣嗎……？\n那是我特製的武器，用起來順不順手呢？
Coop_Result_C2_Failure_WaterLow_00	乾潮的時候場地會變大，所以成員也更容易分散，\n小心別在不知不覺間被鮭魚給包圍了……
Coop_Result_C2_Failure_WaterHigh_00	滿潮的時候很快就會出現一大群鮭魚……\n與同伴團結一致互相掩護吧！
Coop_Result_C2_Failure_00	鮭魚是沒辦法爬上牆壁的，\n所以只要先對牆壁塗墨以防萬一就能安心了。
Coop_Result_C2_Failure_01	鮭魚會從某個方向一起蜂擁而來……\n來襲的方向也會隨著時間經過而有所改變。
Coop_Result_C2_Failure_02	距離鮭魚卵容器很遠的時候，就按下{[0300|0000803f00000000]}投擲金鮭魚卵吧，\n位在容器附近的同伴說不定可以幫你交付喔……
Coop_Result_C2_Failure_03	就算變成魷魚潛伏在墨水中也一樣會被鮭魚發現……\n因為牠們能透過氣味準確地找出目標的位置。
Coop_Result_C2_Failure_04	投擲金鮭魚卵會消耗墨汁……\n在被敵人包圍的時候必須特別注意這點。
Coop_Result_C2_Failure_05	如果有拾蛋魚會經過鮭魚卵容器附近的話，\n那就大膽地試著利用這點吧。
Coop_Result_C2_Failure_06	在對抗鮭魚時，不同的武器有不同的優勢……\n嘗試根據武器改變視為主要目標的鮭魚種類如何？
Coop_Result_C2_Failure_07	對巨大鮭魚置之不理的話就會變成大麻煩，建議優先擊倒……\n在數量變多之後，也要隨時注意擊倒的順序。
Coop_Result_C2_Failure_SakelienBomber_00	靠射程短的武器對抗炸彈魚是很危險的……\n最好要有人使用蓄力狙擊槍之類的武器從遠處提供輔助。
Coop_Result_C2_Failure_SakelienCupTwins_00	朝墊肩飛魚投擲炸彈時不必慌張，\n找個安全且容易投擲的位置吧。
Coop_Result_C2_Failure_SakelienSnake_00	蛇魚會對自己盯上的獵物窮追不捨……\n可以故意引誘牠，或是跟同伴合作擊倒牠。
Coop_Result_C2_Failure_SakelienTower_00	可以用橫向移動的方式躲避高塔魚的攻擊……\n如果同伴被盯上了，那就趕過去幫忙擊倒吧！
Coop_Result_C2_Failure_Sakediver_00	只要讓鼴鼠魚捕食炸彈就能馬上擊倒牠……\n為了確保能隨時使用炸彈，最好多加留意墨汁的存量。
Coop_Result_C2_Failure_SakelienShield_00	只要持續攻擊鐵板魚就能阻止牠的行動……\n或許將攻擊的地點與方向也考量在內是最好的。
Coop_Result_C2_Failure_Sakerocket_00	盡可能地將蝙蝠魚的火箭擊落吧……\n只要能將火箭打回去並順利攻擊到主體就能直接擊倒牠囉。
Coop_Result_C2_Failure_SakePillar_00	一旦發現柱魚最好馬上就對側面塗墨……\n只要使用魷魚登頂爬上去就能暫時放心了。
Coop_Result_C2_Failure_SakeDolphin_00	只要對著圓環裡塗墨就能輕鬆地擊倒潛水魚了……\n墨汁不夠的時候就先撤退重整旗鼓吧。
Coop_Result_C2_Failure_SakeSaucer_00	把鍋蓋魚打下來之後就盡快踩上去吧，\n如此一來就能順便把鮭魚們壓扁，可說是一石二鳥喔！
Coop_Result_C2_Failure_SakeArtillery_00	只要把金鮭魚卵放進鐵球魚的發射台，\n就能直接發射到鮭魚卵容器附近……建議善加利用。
Coop_Result_C2_Failure_Rush_00	要是被蠅火蟲給纏上了就得小心……\n因為你會成為所有鮭魚的目標。
Coop_Result_C2_Failure_Geyser_00	在尋找金鮭魚的時候所有人應該要分工合作，\n金鮭魚應該就位在散發著強光的噴泉附近……
Coop_Result_C2_Failure_Dozer_00	被烤架魚盯上的人必須先想辦法逃跑，\n沒有跟同伴合作的話是很難擊倒牠的……
Coop_Result_C2_Failure_Rally_00	當走私魚開始接近時就應該到鮭魚卵容器的位置集合，\n否則費盡苦心取得的金鮭魚卵就會被牠吸走。
Coop_Result_C2_Failure_Fog_00	起霧的時候懂得出聲與同伴互相溝通是非常重要的，\n按下{[030e|295c4f3f00000000]}即可呼叫同伴。
Coop_Result_C2_Failure_Missile_00	面對群聚的大胖魚時，最好利用大炮來對抗，\n同時也別忘了收集金鮭魚卵……
Coop_Result_C2_Failure_Tamaire_00	使用炸彈是會消耗大量墨汁的，\n所以想要擊倒泥鮭魚時，最好還是跟同伴一起行動喔……
Coop_Result_C2_Failure_Relay_00	在搬運大量金鮭魚卵時，與同伴之間的合作是很重要的，\n搬運、傳給同伴、交付……妥善分工並各司其職吧。
Coop_Result_C2_Failure_Boss_00	撇開這件事不談……這次也收集到了很多金鮭魚卵呢，\n我很期待你們面對更進一步的挑戰喔！
Coop_InGame_AppearBank_BigRun	我已經把鮭魚卵容器設置好囉……\n請各位努力地保護城鎮吧！
Coop_InGame_AppearTarget_BigRun	鮭魚居然從那種地方出現了……\n別慌，在能力所及的範圍之內應對吧。
Coop_InGame_DisappearBank_BigRun	鮭魚撤退了……保持這股氣勢吧！\n鮭魚卵容器就由我這邊回收了。
Coop_InGame_DisappearBank_Final_BigRun	辛苦了，大家都很努力呢。\n都是多虧有各位才成功地阻止了鮭魚喔！
Coop_Result_C1_Success_00_BigRun	感謝各位幫忙保護城鎮，真是得救了。\n而且還順便收集到了{[0200|00010000]}顆金鮭魚卵呢……
Coop_Result_C1_Failure_AllDead_00_BigRun	看來你們好像全軍覆沒了……但沒關係，不用介意，\n這{[0200|00010000]}顆金鮭魚卵肯定能幫到大家的。
Coop_Result_C1_Failure_TimeUp_00_BigRun	時間到了……不過還真虧你有辦法擋下鮭魚，\n而且還收集到了{[0200|00010000]}顆金鮭魚卵，那就不用擔心了。
CommonMsg\Talk\TalkShop.msbt
Weapon_Welcome_00	歡迎光臨～！\n這些武器能讓你在對戰時更魷力喔！
Weapon_WelcomeS	歡迎光臨～！
Weapon_First_00	你好～！\n歡迎來到寒武紀軍備！\n對戰用的武器這裡應有盡有！{[0004]}武器的種類分為\n按下{[030c|0000803f00000000]}使用的{color[0100]}主要武器{color[ffff]}、\n按下{[030a|0000803f00000000]}使用的{color[0100]}次要武器{color[ffff]}，以及{color[0100]}特殊武器{color[ffff]}！{[0004]}你可以隨時按下{[0303|0000803f00000000]}試射店裡的武器，\n儘管隨意嘗試，不用客氣。
Weapon_First_01	你可以用{[031c|295c4f3f00000000]}{color[0100]}武器兌換證{color[ffff]}\n兌換店裡的武器！
Weapon_EndCloseUp_00	只要參加對戰提升等級，\n或是熟練地使用武器，\n就可以獲得{[031c|295c4f3f00000000]}武器兌換證了！
Weapon_FirstWithSaveTransfer_00	你好～！\n歡迎來到寒武紀軍備！\n對戰用的武器這裡應有盡有！{[0004]}……是說！\n你用那種武器可是沒辦法讓自己變魷型的！\n只要好好地運用新武器，\n你很快就可以成為超魷型的人了！
Weapon_FirstWithSaveTransfer_01	你可以用{[031c|295c4f3f00000000]}{color[0100]}武器兌換證{color[ffff]}\n兌換店裡的武器！
Weapon_EndCloseUpWithSaveTransfer_00	只要參加對戰提升等級，\n或是熟練地使用武器，\n就可以獲得{[031c|295c4f3f00000000]}武器兌換證了！{[0004]}……是說！\n原來你已經有\n{[031d|295c4f3f00000000]}{color[0100]}金色武器兌換證{color[ffff]}了嗎！？{[0004]}那可是很珍貴的！\n只要有了{[031d|295c4f3f00000000]}金色武器兌換證，\n就算是超出你能力所及的武器\n也一樣可以兌換！
Weapon_Offline_00	歡迎光臨～！{[0004]}……等等，你現在處於離線狀態耶！\n等你在{color[0100]}大廳{color[ffff]}連接{color[0100]}網路{color[ffff]}之後再來吧！
Weapon_RankShortage_00	歡迎光臨～！\n……是說！\n你該不會就只有那麼一把武器吧？{[0004]}只要熟練地運用新武器，\n你很快就可以成為超魷型的人了！{[0004]}……雖然話是這麼說，\n但只有等級1還是太過缺乏經驗了！{[0004]}如果想要運用我的武器，\n你至少得先達到{color[0100]}等級2{color[ffff]}才行。{[0004]}前往{color[0100]}大廳{color[ffff]}參加幾次{color[0100]}占地對戰{color[ffff]}\n提升等級後再來吧。
Weapon_License_00	以你目前的{color[0100]}等級{color[ffff]}，\n想要運用那把武器還為時尚早，\n不過……{[0004]}如果你無論如何都想要現在拿到的話，\n我可以特別破例\n讓你用{color[0100]}3張{color[ffff]}{[031c|295c4f3f00000000]}武器兌換證進行兌換！
Weapon_GoldLicense_00	以你目前的{color[0100]}等級{color[ffff]}，\n想要運用那把武器還為時尚早，\n不過……{[0004]}如果你無論如何都想要現在拿到的話，\n我可以特別破例\n讓你用{color[0100]}1張{color[ffff]}{[031d|295c4f3f00000000]}金色武器兌換證進行兌換！
Weapon_GoldLicenseConfirm_00	你沒有{[031c|295c4f3f00000000]}武器兌換證耶……\n雖然也是可以讓你\n用{color[0100]}1張{color[ffff]}{[031d|295c4f3f00000000]}金色武器兌換證進行兌換……{[0004]}但這樣子會有點浪費就是了。\n你想要使用{[031d|295c4f3f00000000]}金色武器兌換證\n進行兌換嗎？
Weapon_LowRankS	達到等級{[0200|00020000]}之後，\n就可以用{[031c|0000803f00000000]}×1兌換！
Weapon_BuyS	你想要兌換嗎？
Weapon_BuyGoldS	你想要兌換嗎？
Weapon_ShootingRangeS	你想要試射嗎？
Weapon_EquipS	你想要直接裝備嗎？
Weapon_LicenseShortage_00	你沒有兌換證耶……\n既然如此，\n我就不能把我的寶物交給你了……
Weapon_SoldOut_00	你應該已經持有那把武器了！
Weapon_ThankYou_00	多謝惠顧～！\n想要更換武器的話\n就透過{[0305|0000803f00000000]}{color[0100]}自訂{color[ffff]}選單挑選吧！
Weapon_ThankYouGoldLicense_00	多謝惠顧～！\n想要更換武器的話\n就透過{[0305|0000803f00000000]}{color[0100]}自訂{color[ffff]}選單挑選吧！{[0004]}你持有的{[031d|295c4f3f00000000]}金色武器兌換證\n還剩{color[0100]}{[0200|00010000]}張{color[ffff]}！
Weapon_ThankYouLastGoldLicense_00	多謝惠顧～！\n想要更換武器的話\n就透過{[0305|0000803f00000000]}{color[0100]}自訂{color[ffff]}選單挑選吧！{[0004]}你持有的{[031d|295c4f3f00000000]}金色武器兌換證\n已經用完囉！
Weapon_UnlockA_00	有新的武器\n是以你目前的等級可以運用的喔！\n趕快去兌換然後好好運用吧！
Weapon_UnlockA_01	你目前的等級已經可以\n使用{color[0100]}{[0401|00000000]}{color[ffff]}了！
Weapon_UnlockB_00	此外……\n你目前的等級也已經可以\n使用{color[0100]}{[0401|00000000]}{color[ffff]}了！
Head_Welcome_00	歡迎光臨～
Head_WelcomeS	歡迎光臨！
Head_WelcomeRank04_00	你好～\n歡迎光臨golden ratio。\n客人……你看起來很魷型呢！
Head_ExpFirst_00	這間店裡面販售的\n是用來穿戴在頭上的裝備。{[0004]}裝備上頭還有附加{color[0100]}裝備能力{color[ffff]}，\n可以在對戰時派上用場。{[0004]}裝備能力有很多不同的種類存在，\n例如……{[0004]}總而言之，\n你只要按下{[030b|0000803f00000000]}就會知道了，\n去確認看看吧！
Head_ExpFirstS	記得確認喔！
Head_WelcomeRank10_00	你好～\n歡迎光臨golden ratio。{[0004]}啊，客人，\n你看起來相當魷型呢，\n我們也會準備超魷型的裝備給你喔，\n對吧，店長！
Head_WelcomeRank10S	包在我身上！
Head_WelcomeRank20_00	你好～\n歡迎光臨golden ratio。{[0004]}哇，客人，\n你看起來超級魷型的耶！\n你的光顧也為這間店\n增添了不少光輝呢！
Head_WelcomeRank20S	太感謝了！
Head_WelcomeRank30_00	你好～\n歡迎光臨golden ratio。{[0004]}哦……客人，\n你未免也太魷型了吧！\n真是耀眼呢！{[0004]}我們也會努力地\n讓這間店像你一樣有格調的！\n對吧，店長！
Head_WelcomeRank30S	沒錯，我們會努力的！
Head_Offline_00	歡迎光臨～{[0004]}啊，客人你現在處於離線狀態呢！\n請你在{color[0100]}大廳{color[ffff]}連接{color[0100]}網路{color[ffff]}之後\n再來光顧吧！
Head_OfflineS	要再來喔！
Head_RankShortage_00	歡迎光臨～{[0004]}……雖然有點難以啟齒，\n但是客人你不怎麼魷型呢。\n等你達到{color[0100]}等級4{color[ffff]}之後再來吧。{[0004]}我想只要前往{color[0100]}大廳{color[ffff]}參加{color[0100]}占地對戰{color[ffff]}\n應該就可以提升等級了。\n麻煩你囉！
Head_RankShortageS	等你喔！
Head_BuyS	你想要買下來嗎？
Head_EquipS	你想要直接裝備嗎？
Head_MoneyShortage_00	你的錢不夠喔……
Head_MoneyShortageS	可惜！
Head_RarityMax_00	那個裝備的稀有度已經達到上限，\n沒辦法再提升了。
Head_RarityMaxS	極限了！
Head_BasicSkillSame_00	基本裝備能力相同的話\n買了也是沒意義的喔！
Head_BasicSkillSameS	還是算了吧！
Head_SoldOut_00	看來已經沒有庫存了……
Head_SoldOutS	居然賣光了！
Head_ExpRarityUpAndReplace_00	啊，今天店裡有上架\n客人你已經持有的裝備，\n所以你可以{color[0100]}提升稀有度{color[ffff]}或是{color[0100]}換購{color[ffff]}喔！{[0004]}選擇{color[0100]}提升稀有度{color[ffff]}的話，\n可以增加裝備能力的能力槽，\n並增加獲得的經驗值。\n選擇{color[0100]}換購{color[ffff]}的話，就能把舊裝備換成新品。{[0004]}……總之，大概就是這樣，\n如果你有需要的話千萬別客氣。
Head_RarityUp_00	客人，\n你好像已經持有那個裝備了耶。\n你想要{color[0100]}提升稀有度{color[ffff]}或是{color[0100]}換購{color[ffff]}嗎？
Head_ReplaceConfirm_00	{color[0100]}稀有度{color[ffff]}跟{color[0100]}追加裝備能力{color[ffff]}都會被重置喔，\n確定沒問題嗎？
Head_ThankYou_00	多謝惠顧～\n想要更換裝備的話\n就透過{[0305|0000803f00000000]}{color[0100]}自訂{color[ffff]}選單挑選吧！
Head_ThankYouS	謝謝～！
Head_ThanksBadgeA_00	……客人，方便打擾一下嗎？{[0004]}我們真的很感謝你一直以來的光顧，\n所以……那個……{[0004]}這是只有常客才會收到的紀念{color[0100]}徽章{color[ffff]}……\n要是你不嫌棄的話還請收下。
Head_ThanksBadgeAS	不用客氣喔！
Head_ThanksBadgeB_00	啊，那個……\n客人，方便打擾一下嗎？{[0004]}真的很感謝你一直以來對本店的愛戴，\n店長的內心也對客人你滿懷感激。{[0004]}這是只有夠特別的顧客才會收到的{color[0100]}徽章{color[ffff]}。\n如果你願意收下的話，我們會很高興的。
Head_ThanksBadgeBS	要好好珍惜喔！
Clothes_Welcome_00	歡臨光迎。\n
Clothes_WelcomeS	歡臨光迎。
Clothes_WelcomeRank04_00	你好，\n歡臨光迎昔日服裝店。{[0004]}你是個魷型的傢伙，\n店門大開。\n但是弄髒店裡珍貴的服裝\n就得驅逐。
Clothes_ExpFirst_00	附加在服裝上的{color[0100]}裝備能力{color[ffff]}\n能讓對戰有利喔！{[0004]}裝備能力有很多種呢，\n你想知道細節嗎？按下{[030b|0000803f00000000]}吧。
Clothes_WelcomeRank10_00	你好，\n歡臨光迎昔日服裝店。{[0004]}你現在的打扮還算魷型，\n應該會買下這間店的服裝吧？\n還想變得更魷型吧？
Clothes_WelcomeRank20_00	你好，\n歡臨光迎昔日服裝店。{[0004]}你現在的打扮相當魷型，\n買下更多服裝，讓你變得更魷型，\n然後一起邁向更高境界。
Clothes_WelcomeRank30_00	你好，\n歡臨光迎昔日服裝店。{[0004]}你的打扮驚人地魷型，\n很久沒看到你這樣的人才，\n想成為時尚界人士嗎？\n我會不惜餘力幫助你。
Clothes_Offline_00	歡臨光迎。{[0004]}……你似乎處於離線狀態，速速請回。\n你能在{color[0100]}大廳{color[ffff]}連接{color[0100]}網路{color[ffff]}吧？\n還會再度光顧吧？
Clothes_RankShortage_00	歡臨光迎。{[0004]}……不夠魷型的傢伙不得入店，\n至少先以{color[0100]}等級4{color[ffff]}為目標如何？{[0004]}你會前往{color[0100]}大廳{color[ffff]}吧？\n會去參加{color[0100]}占地對戰{color[ffff]}吧？\n能提升等級喔！能變得更魷型喔！
Clothes_BuyS	你要買那個嗎？
Clothes_EquipS	你要直接裝備嗎？
Clothes_MoneyShortage_00	……不夠金錢，不賣服裝。
Clothes_RarityMax_00	那件服裝稀有度達到上限了吧？\n已經無法再提升了吧？
Clothes_BasicSkillSame_00	換購基本裝備能力相同的服裝，\n沒意義，太浪費。
Clothes_SoldOut_00	你已經買下那件服裝了，\n這間店賺到一點小錢了。
Clothes_ExpRarityUpAndReplace_00	今天進貨的服裝跟你持有的相同，\n你要買嗎？\n可以{color[0100]}提升稀有度{color[ffff]}或是{color[0100]}換購{color[ffff]}呢。{[0004]}為服裝{color[0100]}提升稀有度{color[ffff]}\n可以增加裝備能力的能力槽，\n並增加獲得的經驗值。\n{color[0100]}換購{color[ffff]}可以把舊服裝換成新品。{[0004]}如果想購買已經持有的服裝，\n會選自己比較喜歡的那個吧？
Clothes_RarityUp_00	那件服裝跟你持有的相同，\n你想要{color[0100]}提升稀有度{color[ffff]}或是{color[0100]}換購{color[ffff]}嗎？
Clothes_ReplaceConfirm_00	{color[0100]}稀有度{color[ffff]}跟{color[0100]}追加裝備能力{color[ffff]}都會被重置呢，\n真的沒問題嗎？確定？
Clothes_ThankYou_00	多謝惠顧。\n想要更換服裝的話\n就透過{[0305|0000803f00000000]}{color[0100]}自訂{color[ffff]}選單挑選吧！
Clothes_ThankYouButFestT_00	多謝惠顧。\n但是現在不能更換服裝喔！\n祭典還沒結束吧？
Clothes_ThanksBadgeA_00	我有話要說。{[0004]}你已經買下很多服裝了呢，\n而且很珍惜地穿在身上了呢。{[0004]}真的是非常感謝你，\n所以我準備了禮物，\n要授予你這個{color[0100]}徽章{color[ffff]}呢。{[0004]}很魷型吧？你會佩戴吧？
Clothes_ThanksBadgeB_00	我有話要說。{[0004]}你在這間店裡\n已經買下很多、很多的服裝，\n而且非常、非常地珍惜那些服裝。{[0004]}你是這間店的特殊顧客，\n獲贈特殊的紀念品，\n這是我珍藏的{color[0100]}徽章{color[ffff]}喔！{[0004]}感謝你一直以來的愛戴，\n以後也請多多光顧。
Shoes_Welcome_00	歡迎光臨☆
Shoes_WelcomeS	歡迎光臨☆
Shoes_WelcomeRank04_00	你好，\n歡迎光臨椰子俱樂部☆{[0004]}喔唷？你很魷型耶！\n穿上這間店的鞋子讓自己變得更魷型吧☆
Shoes_ExpFirst_00	鞋子上面會附加{color[0100]}裝備能力{color[ffff]}，\n可以在對戰時增強你的力量喔！{[0004]}按下{[030b|0000803f00000000]}查看細節吧，\n啾咪☆
Shoes_WelcomeRank10_00	你好，\n歡迎光臨椰子俱樂部☆{[0004]}喔唷？你現在非常魷型耶！\n我會幫你準備合適的鞋子，\n快讓自己變得更加魷型吧☆
Shoes_WelcomeRank20_00	你好，\n歡迎光臨椰子俱樂部☆{[0004]}哇喔，你現在超級魷型呢☆\n如果你還想要變得更魷型的話……\n那我也得重新審視店裡的商品才行了。
Shoes_WelcomeRank30_00	你好，\n歡迎光臨椰子俱樂部☆{[0004]}哎呀呀，你未免魷型過頭了吧！\n你的腳步都散發出了光芒，好耀眼！\n真的很慶幸這間店有你的光顧，\n太感恩了！啾咪咪～☆
Shoes_Offline_00	歡迎光臨…{[0100|05000000]}…{[0100|05000000]}咦？{[0004]}啊，你現在處於離線狀態呢，\n等你在{color[0100]}大廳{color[ffff]}連接{color[0100]}網路{color[ffff]}之後\n再來光顧吧——☆
Shoes_RankShortage_00	歡迎光…{[0100|05000000]}…{[0100|05000000]}咦？{[0004]}你有點俗氣耶，還好嗎？\n努力地讓自己變得魷型吧☆{[0004]}只要前往{color[0100]}大廳{color[ffff]}\n參加{color[0100]}占地對戰{color[ffff]}就能提升等級了，\n如此一來很快就能變魷型囉！{[0004]}先達到{color[0100]}等級4{color[ffff]}之後再來吧，\n等你喔～☆
Shoes_BuyS	你想要買下來嗎？
Shoes_EquipS	你想要直接裝備嗎？
Shoes_MoneyShortage_00	啊，你的錢不夠喔～
Shoes_RarityMax_00	哎呀呀，那個鞋子的稀有度\n已經沒辦法再提升了喔～
